CSV Report,2023-08-16_RNA_melting_VS.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,500 mM MgCl2_260.00nm_90.0-21.0C,,500 mM MgCl2_260.00nm_21.0-90.0C,,500 mM MgCl2_260.00nm_90.0-21.0C_R1,,500 mM MgCl2_260.00nm_21.0-90.0C_R1,,100 mM MgCl2_260.00nm_90.0-21.0C,,100 mM MgCl2_260.00nm_21.0-90.0C,,100 mM MgCl2_260.00nm_90.0-21.0C_R1,,100 mM MgCl2_260.00nm_21.0-90.0C_R1,,50 mM MgCl2_260.00nm_90.0-21.0C,,50 mM MgCl2_260.00nm_21.0-90.0C,,50 mM MgCl2_260.00nm_90.0-21.0C_R1,,50 mM MgCl2_260.00nm_21.0-90.0C_R1,,10 mM MgCl2_260.00nm_90.0-21.0C,,10 mM MgCl2_260.00nm_21.0-90.0C,,10 mM MgCl2_260.00nm_90.0-21.0C_R1,,10 mM MgCl2_260.00nm_21.0-90.0C_R1,,500 mM MgCl2_400.00nm_90.0-21.0C,,500 mM MgCl2_400.00nm_21.0-90.0C,,500 mM MgCl2_400.00nm_90.0-21.0C_R1,,500 mM MgCl2_400.00nm_21.0-90.0C_R1,,100 mM MgCl2_400.00nm_90.0-21.0C,,100 mM MgCl2_400.00nm_21.0-90.0C,,100 mM MgCl2_400.00nm_90.0-21.0C_R1,,100 mM MgCl2_400.00nm_21.0-90.0C_R1,,50 mM MgCl2_400.00nm_90.0-21.0C,,50 mM MgCl2_400.00nm_21.0-90.0C,,50 mM MgCl2_400.00nm_90.0-21.0C_R1,,50 mM MgCl2_400.00nm_21.0-90.0C_R1,,10 mM MgCl2_400.00nm_90.0-21.0C,,10 mM MgCl2_400.00nm_21.0-90.0C,,10 mM MgCl2_400.00nm_90.0-21.0C_R1,,10 mM MgCl2_400.00nm_21.0-90.0C_R1,
,86,0.308999753203699,25,0.287825287268954,86,0.375920694294874,25,0.412992684096117,86,0.292392835051585,25,0.25361025524609,86,0.341406150456287,25,0.310770070633428,86,0.304509564245907,25,0.263477757794538,86,0.340672541279975,25,0.29191352681497,86,0.335258448829539,25,0.299024255767033,86,0.37197614681161,25,0.326754878464738,86,0.0328389904827414,25,0.0302587390351636,86,0.0301354638981012,25,0.0720017521490688,86,0.0150123238118886,25,0.00896124732014757,86,0.00900234804359892,25,0.0131517411831796,86,0.0121464941045701,25,0.012424629406868,86,0.0122571251153182,25,0.0124819165511252,86,0.033931212897125,25,0.0282584016635406,86,0.0282807221345341,25,0.0282275875089538
,85,0.309680295024506,26,0.288387733711635,85,0.376974263456725,26,0.412338507277443,85,0.292229607994954,26,0.254127360928807,85,0.341465534067618,26,0.311546629568414,85,0.30438927919476,26,0.264244430651877,85,0.340829510540114,26,0.29241184661546,85,0.335048668570842,26,0.299550240619756,85,0.372928652837509,26,0.327229284412435,85,0.0316382811445777,26,0.0302788489276357,85,0.0301379286469107,26,0.0706971609310709,85,0.0133975073648437,26,0.00896182833220881,85,0.00898985501546738,26,0.012906419069338,85,0.0121268444415645,26,0.0124242205327511,85,0.0122749654792594,26,0.0124780032351803,85,0.0323356466840677,26,0.0282807914926009,85,0.0282691903708667,26,0.0282379352807746
,84,0.310371222666684,27,0.288984139017633,84,0.377984143355465,27,0.411694784848413,84,0.292435902481645,27,0.254748888069757,84,0.341399340090764,27,0.31232124295661,84,0.304310420602484,27,0.265087398119324,84,0.341073327727991,27,0.292925183229401,84,0.335367762740101,27,0.299838567825616,84,0.373032131281743,27,0.327738355132463,84,0.0311152241097164,27,0.030265448840294,84,0.0301354274399497,27,0.0693353424388138,84,0.0123314484542699,27,0.00896914670496091,84,0.00900349474790794,27,0.0126566081026353,84,0.012160782081618,27,0.0124328369175402,84,0.0122833523654775,27,0.012456776278887,84,0.0313025025777602,27,0.0282688830915727,84,0.0282890579968851,27,0.0282165499826437
,83,0.310646359759606,28,0.289596592902371,83,0.379003446598039,28,0.411098699983603,83,0.292648306713281,28,0.255461422572838,83,0.341558927481776,28,0.313120103338173,83,0.3038285295545,28,0.265661045108225,83,0.340988033233684,28,0.293448935866261,83,0.335831365746222,28,0.300236842542228,83,0.373570566705687,28,0.328310388967988,83,0.0307354290663257,28,0.0302410122335466,83,0.030128806112736,28,0.0680348596358678,83,0.0115958825940256,28,0.00897379035130011,83,0.00900445850799297,28,0.0124183528477302,83,0.0121196620975175,28,0.0123952397771083,83,0.0122796151472667,28,0.0124689399807407,83,0.0306361752542012,28,0.0282491544364405,83,0.0282655624672222,28,0.0282280306197848
,82,0.311201359294764,29,0.290219767189849,82,0.380017954514312,29,0.410558814958263,82,0.2926363860039,29,0.256077447047072,82,0.341721446358983,29,0.313935564417048,82,0.303411005662197,29,0.265802406955017,82,0.340359816852801,29,0.294034793199661,82,0.335865285872389,29,0.301133667210321,82,0.374678797750755,29,0.328897989816751,82,0.0305913649839108,29,0.0302240954331261,82,0.0301533773457326,29,0.0666930307842161,82,0.0110862571035403,29,0.00895462676036204,82,0.00900152070759501,29,0.0121828747540153,82,0.0121450656613148,29,0.0123654509543374,82,0.0122772143226173,29,0.0124784157955291,82,0.0301749784150439,29,0.0282358193964126,82,0.028274537358316,29,0.0282458640640983
,81,0.311707821122579,30,0.290908281251518,81,0.380880900614752,30,0.41010466584895,81,0.292367192841947,30,0.256603719441979,81,0.341838818912856,30,0.314819367238576,81,0.30296290458397,30,0.26608847463926,81,0.339574855409584,30,0.294665101765876,81,0.335870627252078,30,0.301905710835218,81,0.375072965335244,30,0.32956052399097,81,0.0304528135854081,30,0.0302367919794004,81,0.0301273563373373,30,0.0654053836221707,81,0.010661898375321,30,0.00896747128672289,81,0.00900829515161884,30,0.0119274907540117,81,0.0121264528116064,30,0.0124124647212184,81,0.0122603443115161,30,0.0124738952328362,81,0.0297879912183128,30,0.0282473153740546,81,0.0282655550128147,30,0.0282423660169345
,80,0.312097262623243,31,0.291613919780155,80,0.381635814349999,31,0.409663223319994,80,0.292049856624332,31,0.257120684443843,80,0.341709362293128,31,0.3157921883265,80,0.302500065289033,31,0.266712654517663,80,0.338833985951744,31,0.295288722627747,80,0.335609912245899,31,0.302166846606303,80,0.375390427930078,31,0.330197943752639,80,0.0303964891937386,31,0.0302523901326207,80,0.0301047873223186,31,0.0641933659714009,80,0.010320362846839,31,0.00897935616213285,80,0.00899766046615898,31,0.0116929207746097,80,0.012119388695882,31,0.0124329358412013,80,0.0122293671537209,31,0.012475218179248,80,0.0294818981699643,31,0.028256605022564,80,0.0282341510484078,31,0.028250555653365
,79,0.312248731878762,32,0.29233458139091,79,0.382340263906842,32,0.409271732818581,79,0.291351929787287,32,0.257773757665746,79,0.341441700122818,32,0.316702066517123,79,0.301828291759743,32,0.267227984430439,79,0.338063142920556,32,0.295900258157274,79,0.335214897903918,32,0.302820530579559,79,0.375015590941748,32,0.330871579624049,79,0.0303833183091452,32,0.0302442251090901,79,0.0300908013944995,32,0.0630587572366967,79,0.00998867710003244,32,0.00896861030490665,79,0.00899460162006852,32,0.0114972215315076,79,0.0121329401312471,32,0.012399136587779,79,0.0122004796317142,32,0.0124657249840697,79,0.0292565115369667,32,0.0282576964285424,79,0.0282220908391624,32,0.0282650804840685
,78,0.312747346540888,33,0.29310232767424,78,0.383120650216398,33,0.409063755639349,78,0.290936300270769,33,0.258421130233617,78,0.34128028321068,33,0.317564306483748,78,0.301071936736378,33,0.26762329797784,78,0.337459667671625,33,0.296550573645188,78,0.335011915369395,33,0.303569241803809,78,0.37476885543189,33,0.331561321098912,78,0.0303539182590736,33,0.0302505385424028,78,0.0301008257455503,33,0.0619593940059699,78,0.00974138801399498,33,0.0089675136442256,78,0.00898594688528513,33,0.0113118826293876,78,0.01211836702472,33,0.0123919568476435,78,0.0122251048659455,33,0.0124506692512194,78,0.0290591943546048,33,0.0282714016443674,78,0.0282293835228683,33,0.028256230991238
,77,0.313066973920476,34,0.293857665822813,77,0.383822720882645,34,0.408933808498018,77,0.290808514810698,34,0.259055078842048,77,0.341158122405834,34,0.31843858423325,77,0.300422627099326,34,0.268215334754123,77,0.33686975048176,34,0.297223329961518,77,0.334372670490491,34,0.304064595713311,77,0.374704517954144,34,0.332285858441557,77,0.0303541024550086,34,0.0302495182444867,77,0.0301094220448153,34,0.0609730927589004,77,0.00957924978652901,34,0.00896591839104715,77,0.00899016313887257,34,0.0111381617393604,77,0.0121264742848723,34,0.012377392713248,77,0.0122482234580053,34,0.0124315238996766,77,0.0288630080614293,34,0.0282784804405634,77,0.0282549801346393,34,0.0282623542905482
