CSV Report,2023-08-16_RNA_melting_VS.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,500 mM MgCl2_260.00nm_90.0-21.0C,,500 mM MgCl2_260.00nm_21.0-90.0C,,500 mM MgCl2_260.00nm_90.0-21.0C_R1,,500 mM MgCl2_260.00nm_21.0-90.0C_R1,,100 mM MgCl2_260.00nm_90.0-21.0C,,100 mM MgCl2_260.00nm_21.0-90.0C,,100 mM MgCl2_260.00nm_90.0-21.0C_R1,,100 mM MgCl2_260.00nm_21.0-90.0C_R1,,50 mM MgCl2_260.00nm_90.0-21.0C,,50 mM MgCl2_260.00nm_21.0-90.0C,,50 mM MgCl2_260.00nm_90.0-21.0C_R1,,50 mM MgCl2_260.00nm_21.0-90.0C_R1,,10 mM MgCl2_260.00nm_90.0-21.0C,,10 mM MgCl2_260.00nm_21.0-90.0C,,10 mM MgCl2_260.00nm_90.0-21.0C_R1,,10 mM MgCl2_260.00nm_21.0-90.0C_R1,,500 mM MgCl2_400.00nm_90.0-21.0C,,500 mM MgCl2_400.00nm_21.0-90.0C,,500 mM MgCl2_400.00nm_90.0-21.0C_R1,,500 mM MgCl2_400.00nm_21.0-90.0C_R1,,100 mM MgCl2_400.00nm_90.0-21.0C,,100 mM MgCl2_400.00nm_21.0-90.0C,,100 mM MgCl2_400.00nm_90.0-21.0C_R1,,100 mM MgCl2_400.00nm_21.0-90.0C_R1,,50 mM MgCl2_400.00nm_90.0-21.0C,,50 mM MgCl2_400.00nm_21.0-90.0C,,50 mM MgCl2_400.00nm_90.0-21.0C_R1,,50 mM MgCl2_400.00nm_21.0-90.0C_R1,,10 mM MgCl2_400.00nm_90.0-21.0C,,10 mM MgCl2_400.00nm_21.0-90.0C,,10 mM MgCl2_400.00nm_90.0-21.0C_R1,,10 mM MgCl2_400.00nm_21.0-90.0C_R1,
,76,0.313044064638711,35,0.294635911627324,76,0.384298656092761,35,0.408803138905109,76,0.290416982999322,35,0.259764903739978,76,0.341139943054445,35,0.319401292226306,76,0.29969130111938,35,0.268835764938642,76,0.336135877436034,35,0.297918430416531,76,0.333519256320009,35,0.304814748793693,76,0.374925991867429,35,0.333021945059331,76,0.030314619402059,35,0.0302433834255418,76,0.0301047011589848,35,0.0600664230685343,76,0.00947097131914473,35,0.00896680170382963,76,0.00899654211104019,35,0.0109846549305138,76,0.0121386890051942,35,0.0123641793196048,76,0.0122405670167827,35,0.0124385185923701,76,0.0286848092869968,35,0.0282810306713709,76,0.0282418639462823,35,0.0282685686094488
,75,0.313504614133784,36,0.295384925911735,75,0.384840277305373,36,0.408739431370473,75,0.289621889260165,36,0.260454337564672,75,0.341176824345111,36,0.320377760906005,75,0.29884763910869,36,0.269521116991595,75,0.335247463662629,36,0.298576695726891,75,0.332887797238645,36,0.305476229974546,75,0.375240870702231,36,0.333740173041658,75,0.0303369321018605,36,0.0302380089696038,75,0.0301418716131664,36,0.05923192294195,75,0.00933000366814865,36,0.00896249179638005,75,0.00900906660944005,36,0.0108319508786778,75,0.0121453690679979,36,0.012411759892815,75,0.0122585567829704,36,0.012429034200009,75,0.0285766915037138,36,0.0282722058401306,75,0.0282461644971496,36,0.0282601390362904
,74,0.313590212298863,37,0.296185196048675,74,0.385284188422304,37,0.408734350140276,74,0.288705830955554,37,0.261174453069891,74,0.340958820903625,37,0.321339749431134,74,0.29777701562378,37,0.270159670556256,74,0.334306505782938,37,0.299230509197356,74,0.332451238027614,37,0.306164407707519,74,0.375259705804496,37,0.334451505800318,74,0.0303240538538238,37,0.030254180929457,74,0.0301534914981656,37,0.0584611397534387,74,0.00917384288805346,37,0.00896594641623141,74,0.00903351960827794,37,0.0107212181001215,74,0.0121603058422093,37,0.0124253344591142,74,0.0122703090695469,37,0.0124387609988827,74,0.0284793612265437,37,0.0282739530015352,74,0.0282640735715102,37,0.0282687131584865
,73,0.31344985123719,38,0.296979271383836,73,0.385659788023718,38,0.408842747978097,73,0.288236699666062,38,0.261949402025655,73,0.340600476498256,38,0.322268647598161,73,0.296814500722208,38,0.270646790926522,73,0.333390138315141,38,0.299923080994466,73,0.331818677916427,38,0.306950513478468,73,0.375183556048584,38,0.335220460351468,73,0.0303113785518418,38,0.0302821125302042,73,0.0301537310345065,38,0.0577636698877039,73,0.00909087247937858,38,0.00899546207784359,73,0.0090571953083561,38,0.0106241826050841,73,0.0121632819260023,38,0.0124024542736917,73,0.0122844108712297,38,0.0124395249905496,73,0.028406322939604,38,0.0283124183676459,73,0.0282899748467584,38,0.0282770053769345
,72,0.313477275161835,39,0.297674607074,72,0.386070136556143,39,0.409018347183174,72,0.287717773975862,39,0.262667185882014,72,0.340372388993926,39,0.323175796579458,72,0.295862313126518,39,0.271333832015647,72,0.332450006244988,39,0.30059618197843,72,0.330989992403419,39,0.307691572825355,72,0.374232688010385,39,0.335952152485627,72,0.0303321845218105,39,0.030285560823753,72,0.0301296369770437,39,0.0571759184562924,72,0.00906365920711351,39,0.00897467540331989,72,0.00905366836745471,39,0.0105290852221603,72,0.0121637549049596,39,0.0123997004894795,72,0.0122484039731099,39,0.0124310807367202,72,0.0284142458405859,39,0.028322308906171,72,0.0282822238056449,39,0.028296105923623
,71,0.313542331738909,40,0.298463489739514,71,0.386377985227188,40,0.409222248994404,71,0.286976232766445,40,0.263409990243423,71,0.340215786990822,40,0.324145261044716,71,0.294948427748657,40,0.271986286207845,71,0.331540904771726,40,0.301253594346161,71,0.330329731070944,40,0.308495981308565,71,0.373698321489728,40,0.336671519259394,71,0.0303556526277022,40,0.0302417270884322,71,0.0300982734428232,40,0.0566377126166847,71,0.0090047311648277,40,0.008945167687981,71,0.00903109366935027,40,0.0104423562753919,71,0.0122050219187261,40,0.0123467092919203,71,0.0122277274013074,40,0.0124344488924609,71,0.028403903360549,40,0.0282803750456479,71,0.0282312331070774,40,0.0282843748482243
,70,0.313183234225616,41,0.299208717757391,70,0.386683711249892,41,0.409521849342953,70,0.286254443039305,41,0.264183448348548,70,0.339944790701561,41,0.325152053598946,70,0.294031423515532,41,0.27262064158384,70,0.330713200741586,41,0.301905058679981,70,0.330044549593424,41,0.309275627326305,70,0.372975419163875,41,0.337399047086603,70,0.0302889645753164,41,0.0302240503340669,70,0.0301142127112466,41,0.0561989751182364,70,0.00897472564883838,41,0.00897101631821962,70,0.00901612305501523,41,0.0103680957420201,70,0.0122032635384326,41,0.012343759183194,70,0.0122353754894425,41,0.0124228818602412,70,0.0283043957738169,41,0.0282714916474247,70,0.0282074798363025,41,0.028269320500786
,69,0.312852723171482,42,0.299969530842212,69,0.386963147321029,42,0.409949007532103,69,0.285460727186728,42,0.264938916242262,69,0.339686815670644,42,0.326219289261027,69,0.293041430720616,42,0.273278483015075,69,0.329961153875131,42,0.302590010977586,69,0.329624224356704,42,0.310100678492657,69,0.372271606805224,42,0.338132705139188,69,0.0303027964689562,42,0.030242347436553,69,0.0301443233465003,42,0.0558518486260383,69,0.00897674067821633,42,0.00897442268624211,69,0.00902344311696381,42,0.0102994943202067,69,0.0121563034572915,42,0.0123503945744689,69,0.0122714317114572,42,0.0124116782280016,69,0.0282851128463996,42,0.0282848197211169,69,0.0282175709385065,42,0.0282689220348342
,68,0.312606049652799,43,0.300774681108455,68,0.387264031299861,43,0.410477214126183,68,0.28463264164996,43,0.265700075665308,68,0.339316353316902,43,0.327197034147769,68,0.292360389595887,43,0.273969829327808,68,0.329195134607439,43,0.303279532531813,68,0.328432960241656,43,0.31089658739815,68,0.371479389546902,43,0.338863585512477,68,0.0303276958705033,43,0.0302602486009737,68,0.0301438878649981,43,0.0556196857287214,68,0.00898363376126913,43,0.00896487609515207,68,0.00901942126666305,43,0.0102576085017692,68,0.0121933894412833,43,0.0123458141521984,68,0.0122819077133463,43,0.0124001101507874,68,0.0282741861279707,43,0.0282824842825322,68,0.0282221287622079,43,0.0282796993396556
,67,0.312200456115419,44,0.30152425864857,67,0.387509772706396,44,0.410999259802379,67,0.283911396164121,44,0.266485927898191,67,0.338922771652028,44,0.328212324904046,67,0.291969538099896,44,0.27474497526211,67,0.328429333695917,44,0.303938691697723,67,0.327674219837004,44,0.311727115689,67,0.370743435788893,44,0.339589569651014,67,0.0303094052702198,44,0.0302479303081185,67,0.0301191635290051,44,0.0554959902495473,67,0.00899168648595176,44,0.00897476682467486,67,0.00900123007089478,44,0.0101976921260964,67,0.0122430988656377,44,0.0123438402753299,67,0.0122595275637885,44,0.0123675861949609,67,0.0282873409476477,44,0.0282883812958845,67,0.0281849243807021,44,0.0282635671956977
,66,0.311877264217402,45,0.302347984812272,66,0.387748627403937,45,0.411521652175778,66,0.283177775949972,45,0.267265069133673,66,0.338557759691681,45,0.329210663131242,66,0.29131191206449,45,0.275500180173401,66,0.327667096411762,45,0.304547138086606,66,0.327081880800081,45,0.312576576929397,66,0.370016846577011,45,0.340215706974072,66,0.0303360862659731,45,0.0302654124492476,66,0.030181475295855,45,0.0555060623136788,66,0.00899006618834573,45,0.00899475056545211,66,0.00901903814457043,45,0.0101734808992592,66,0.0122273488485642,45,0.0123590089564379,66,0.0122873655013382,45,0.012381266322495,66,0.0283159494670564,45,0.0283068941795753,66,0.0282094978828839,45,0.0282472234294537
,65,0.31163895484296,46,0.303126450851662,65,0.387993958537176,46,0.41221096277602,65,0.28240319540281,46,0.268085224053427,65,0.338156289077294,46,0.330182244992387,65,0.290686028984136,46,0.276263820946226,65,0.32692686985538,46,0.305184908379786,65,0.326180014493112,46,0.313360812309025,65,0.369329692635055,46,0.34086570182247,65,0.0303226652455993,46,0.0302636812078586,65,0.0301992869270984,46,0.0556031044746677,65,0.00898151884458057,46,0.00900224683997114,65,0.00905479828984461,46,0.010145207461575,65,0.012213142940473,46,0.0123518087892156,65,0.0122682409930563,46,0.0123848390801292,65,0.0282954491392532,46,0.0282812616537052,65,0.0282211697773349,46,0.0282616377721205
,64,0.311439169051345,47,0.303888464813409,64,0.388150909144217,47,0.41297364136065,64,0.281740565057602,47,0.268901275899574,64,0.337777505675731,47,0.331211738112899,64,0.290003553250497,47,0.277079711939877,64,0.326230702518452,47,0.305802585178383,64,0.325409402667019,47,0.314179010546618,64,0.368654004788006,47,0.341439012268031,64,0.0303278086461111,47,0.030252555099213,64,0.0301596064309974,47,0.0557843826436557,64,0.00897378288102311,47,0.00899908537845047,64,0.00903323997026897,47,0.0101341118886057,64,0.012218968027787,47,0.0123513818539255,64,0.0122393808894655,47,0.0123582282685427,64,0.0282834945980278,47,0.0282678734613844,64,0.0281611626221095,47,0.0282763568890179
,63,0.311161028668834,48,0.304663652032821,63,0.388327496104628,48,0.413930782603175,63,0.281099183328841,48,0.269736174113228,63,0.337253003140606,48,0.33220907281736,63,0.289209312259002,48,0.27790548449772,63,0.325526701105472,48,0.306391747226759,63,0.324670334641617,48,0.315053677654323,63,0.36799291690043,48,0.341974933373241,63,0.0303145833832444,48,0.0302722317029373,63,0.0302130617962947,48,0.0561248013968599,63,0.00898275726662998,48,0.00898415478264869,63,0.00905210983968482,48,0.0101180810407711,63,0.0122249312593513,48,0.012349069494634,63,0.0122931514495736,48,0.0123299787145914,63,0.0282803914939814,48,0.0282842317897517,63,0.0281677852174553,48,0.0282472024172236
,62,0.310790880299945,49,0.305404133588636,62,0.388526274511219,49,0.41509814742063,62,0.280443083163149,49,0.270554237449151,62,0.336728975777707,49,0.333197528631061,62,0.288534717319871,49,0.278708318328585,62,0.324795746834551,49,0.306992513326376,62,0.324018401102221,49,0.315945482935879,62,0.367308727040829,49,0.342406113957653,62,0.0302941139680565,49,0.0302731383100616,62,0.0302565147906574,49,0.0567151433590217,62,0.00897910414573016,49,0.00897917315026927,62,0.00906931311141697,49,0.0101106353129427,62,0.0121817993770523,49,0.0123230266188864,62,0.0123183312436169,49,0.0123287614959804,62,0.0282652652181069,49,0.0282872349617378,62,0.0282312573988929,49,0.0282387180317166
,61,0.310444798128899,50,0.306162599447059,61,0.388645196395512,50,0.416374810956281,61,0.279726756781166,50,0.27143616778849,61,0.336302135801342,50,0.334147916421298,61,0.287716696342349,50,0.279530163390491,61,0.324068070116995,50,0.307547236553697,61,0.323289169250611,50,0.316841202183128,61,0.366606611077744,50,0.342745760330125,61,0.030281929248905,50,0.0302662592553881,61,0.0302679866343047,50,0.0574484301194131,61,0.00896303143324936,50,0.0089933182018323,61,0.00906303209077258,50,0.0101228125865032,61,0.0121689110304604,50,0.0123244510022905,61,0.0122983182343904,50,0.0123347778257063,61,0.0282507918494787,50,0.0282806802342766,61,0.0282160906197505,50,0.0282446495828495
,60,0.310179029858737,51,0.306902454438645,60,0.388703189520892,51,0.417787806624357,60,0.279055025963022,51,0.272295953174853,60,0.33591179099285,51,0.335118630997539,60,0.287087184647283,51,0.280362093312013,60,0.323353421286075,51,0.308146811930172,60,0.322609731632081,51,0.317742911269181,60,0.365919788214339,51,0.342943528045875,60,0.0302808259816172,51,0.0302908640010606,60,0.0302886383791908,51,0.0582251820026389,60,0.00899415304851037,51,0.00900766046985664,60,0.00907453276990774,51,0.0101518897752135,60,0.012157892222849,51,0.0123403373729124,60,0.0123070808687706,51,0.0123397864844158,60,0.0282543621794161,51,0.0283027269202159,60,0.0282030817864854,51,0.0282546637026702
,59,0.309773910404743,52,0.30765523842637,59,0.388813793049578,52,0.419509716353973,59,0.278291722618385,52,0.273157929748267,59,0.335446964394425,52,0.336106413140868,59,0.286234403588982,52,0.281257512652153,59,0.322585017558363,52,0.308727150362911,59,0.3219023521274,52,0.318677585754553,59,0.365180801505564,52,0.342913080384422,59,0.0302623477506618,52,0.0302741782923787,59,0.0303416143897086,52,0.0592879544910165,59,0.00898510036424644,52,0.00900097604347109,59,0.00909658536816799,52,0.0101900059069983,59,0.0121566685918286,52,0.012310794850453,59,0.0123176466481326,52,0.0123299896280938,59,0.0282484230773533,52,0.0282897046769506,59,0.0281980455819316,52,0.0282540302347988
,58,0.309329243518344,53,0.308429319335928,58,0.38896293746981,53,0.421422504583088,58,0.277553630571996,53,0.274008353456264,58,0.334974436638563,53,0.337148046286969,58,0.285525106327194,53,0.282194244420442,58,0.321831638417084,53,0.309299350082528,58,0.321170180311944,53,0.319649505221454,58,0.364440339317533,53,0.342672325584513,58,0.0302639311608824,53,0.0302459000013317,58,0.0303517689856022,53,0.0605794497115458,58,0.00897533669320704,53,0.00900763935836035,58,0.00909989235669989,53,0.0102441125251173,58,0.0121735166208315,53,0.0123108479982764,58,0.0122820012493138,53,0.0123430957798322,58,0.02824606763997,53,0.028270014743184,58,0.0281795689946448,53,0.0282759671226476
,57,0.308864311842503,54,0.309191900009584,57,0.389014820824188,54,0.423521491916951,57,0.276801688650387,54,0.274834038060693,57,0.334451192030714,54,0.338108310809919,57,0.28471789762752,54,0.283112611866904,57,0.321033747546862,54,0.309866316439594,57,0.320451097162948,54,0.320702836655503,57,0.363658496889795,54,0.342368498690342,57,0.0302703040804232,54,0.0302615131853367,57,0.0303795759449013,54,0.0620791934665433,57,0.00896882555113671,54,0.00899964703067951,57,0.00910191734894665,54,0.0103168635336364,57,0.0121757607332155,54,0.0123311107709722,57,0.012259055782108,54,0.0123649529234113,57,0.0282434148934346,54,0.0282850309423166,57,0.0281622746855621,54,0.0282817839111612
,56,0.308475377355682,55,0.309996571287088,56,0.389019969821682,55,0.425923386117617,56,0.27606041815554,55,0.275691510554407,56,0.333805218309927,55,0.339096125394764,56,0.283951415272727,55,0.284024897999089,56,0.320190434288407,55,0.310354925894565,56,0.319730760216166,55,0.321752093772065,56,0.362821507074845,55,0.342276854610802,56,0.0302982720513157,55,0.0302682382765105,56,0.0304267537452817,55,0.0638331126496158,56,0.00895761600355442,55,0.00900001965672513,56,0.00911523798931806,55,0.0103918412730975,56,0.0122059204553598,55,0.0123154290774586,56,0.0122894957793106,55,0.0123434226565836,56,0.0282496502767063,55,0.0282774012564147,56,0.0281794445282305,55,0.0282579065029439
,55,0.308075887569842,56,0.310798234172561,55,0.388987543833332,56,0.428616577792437,55,0.275324433371072,56,0.276562814177072,55,0.333118387597098,56,0.340078446187687,55,0.283203126316024,56,0.284966894406871,55,0.319379379072231,56,0.310640584775689,55,0.318997893935347,56,0.32295737614441,55,0.361997612438007,56,0.344700693275866,55,0.0302902062896315,56,0.0302587368974282,55,0.030454947657022,56,0.0658769450918069,55,0.00897689418131092,56,0.00900739578795423,55,0.00912450288934563,56,0.0105058189036584,55,0.0122071528653308,56,0.0123221342002693,55,0.0122826476185987,56,0.0123306139675153,55,0.0282414580561428,56,0.0282626008745901,55,0.0281951423989777,56,0.0282657209765236
,54,0.307566682081534,57,0.311594665938695,54,0.388959439385527,57,0.431510752370258,54,0.274570817721074,57,0.277422631030686,54,0.332368524385172,57,0.341126464484985,54,0.282384838054999,57,0.285822664918758,54,0.318527095502926,57,0.30963569476949,54,0.31825991815881,57,0.324101274223247,54,0.361337577219039,57,0.350341804863465,54,0.0302943875896691,57,0.0302721718939235,54,0.0304910605608261,57,0.0683472269204721,54,0.0090123400806793,57,0.00899490729666935,54,0.00913824227877576,57,0.0106589414240916,54,0.0122286518108671,57,0.012311031338196,54,0.0122704837137228,57,0.0123690402230588,54,0.0282566839722575,57,0.0282721808943689,54,0.0281889635333282,57,0.0282690437095569
,53,0.307009080331782,58,0.312399782892754,53,0.388932091730064,58,0.434793530658075,53,0.273794112986712,58,0.27826124826177,53,0.331664228795046,58,0.34216787651072,53,0.281587662566693,58,0.286699832025165,53,0.317717407235325,58,0.307881861622648,53,0.317502515115505,58,0.324773869582598,53,0.360602976274626,58,0.353733680687672,53,0.0303073044074778,58,0.0302675521815825,53,0.0305559229522745,58,0.0712149251575619,53,0.00903283022686191,58,0.00898893925565591,53,0.00913258247240505,58,0.010819390059461,53,0.0122612818537945,58,0.0123124578178412,53,0.0122878406446074,58,0.0123632140821548,53,0.0282817911518844,58,0.0282625618461669,53,0.0282091392665729,58,0.0282395880096236
,52,0.306412775523967,59,0.313143891955129,52,0.388820733761106,59,0.438755676187281,52,0.273008047087411,59,0.279116758239453,52,0.331016985820891,59,0.343317397152554,52,0.280742853512497,59,0.287565194862066,52,0.316904874849272,59,0.3091753315448,52,0.316718483957528,59,0.325744473000787,52,0.359581033474038,59,0.354433277229492,52,0.0302936794352274,59,0.0302600167938962,52,0.0306013623185708,59,0.0746435178374327,52,0.00900461020108656,59,0.00899621320053623,52,0.00914968847305283,59,0.011039286904335,52,0.0122386482662526,59,0.0123066340059935,52,0.0122872905986685,59,0.0123812260479382,52,0.0282599533205581,59,0.0282458648082196,52,0.028206369609556,59,0.028235622473469
,51,0.305734669714844,60,0.313985469328152,51,0.388630870143483,60,0.443223358328392,51,0.272213922902233,60,0.279961163416769,51,0.330236569938098,60,0.344495699586609,51,0.282285392196048,60,0.289098148195396,51,0.316043874624045,60,0.309934417041592,51,0.315913202112222,60,0.327043047291915,51,0.358674619636159,60,0.354832071056863,51,0.0302778016470229,60,0.0302917372782979,51,0.0306734335760995,60,0.0785950356790288,51,0.00898032950948197,60,0.0089997965067776,51,0.0091517023933482,60,0.0112909492757349,51,0.0122066578419219,60,0.012342831972074,51,0.0122890360700932,60,0.0123724799160881,51,0.0282343365897781,60,0.0282577932567048,51,0.0281963790031115,60,0.0282333464255358
,50,0.30521334418165,61,0.314805410396972,50,0.388449241249877,61,0.44839555567849,50,0.271438644642134,61,0.280838311732116,50,0.329443003910718,61,0.345833079488291,50,0.282195279046785,61,0.290310178112952,50,0.315173335314405,61,0.310373146560943,50,0.315136410773944,61,0.328172572571786,50,0.356952830806327,61,0.354275686911928,50,0.0303099765593604,61,0.0302532527118748,50,0.0307491902077361,61,0.0831570965948281,50,0.00898300118374278,61,0.00900745293933824,50,0.00917601578655805,61,0.0116285091879994,50,0.0122416624632087,61,0.012299668027956,50,0.0123239495501005,61,0.0123621178899396,50,0.0282473820249421,61,0.0282357637378447,50,0.0282240535406581,61,0.0282192885010692
,49,0.304766967726868,62,0.315639869525954,49,0.388340585564736,62,0.454237520688867,49,0.270653890998168,62,0.281695030475062,49,0.328783099913493,62,0.34729486774445,49,0.278410152331131,62,0.290521673880269,49,0.314360057581374,62,0.310491863925366,49,0.314376855165965,62,0.328964028682877,49,0.355154902587681,62,0.353437406049303,49,0.030338530713483,62,0.0302117560260699,49,0.0308076762968429,62,0.0883697726737816,49,0.00898941789383362,62,0.00900636568246648,49,0.00919023729622372,62,0.012032532435411,49,0.0122740337158486,62,0.0122610762296358,49,0.0123193567814917,62,0.0123592124556907,49,0.0282709189061665,62,0.0282142879374141,49,0.0282475906643801,62,0.0282161023260965
,48,0.304297150053963,63,0.316569545419325,48,0.388286166887808,63,0.460916911781784,48,0.269887968179544,63,0.28254674647773,48,0.328026975045784,63,0.348840271432026,48,0.278013999222786,63,0.291478580257188,48,0.313532004687986,63,0.31026182125746,48,0.313663876521422,63,0.329840369899465,48,0.354406005912649,63,0.353964778068105,48,0.0303359167601255,63,0.0302214964007019,48,0.030902647185487,63,0.0943204689329434,48,0.00900559936693561,63,0.0090019869704437,48,0.00918705578096488,63,0.012458381562092,48,0.0122819732090789,63,0.0122634710151271,48,0.0123160321498375,63,0.0123669577165428,48,0.0282679725202696,63,0.0282298857144605,48,0.0282303903262998,63,0.0282424315581536
,47,0.303516269883267,64,0.317513662491752,47,0.388201865736434,64,0.468848694979422,47,0.269154029714819,64,0.283440101961459,47,0.327216227600547,64,0.350418178573739,47,0.277355592491836,64,0.292408111367419,47,0.312640147096201,64,0.309171612067388,47,0.312856043221768,64,0.331107542347168,47,0.353464962349879,64,0.355321923607752,47,0.0303065423426935,64,0.0302251823884763,47,0.0310409862510661,64,0.1013840575909,47,0.0090078472905448,64,0.00900937954501163,47,0.00921109131891813,64,0.0129391574430337,47,0.0122833934875551,64,0.0122606413984543,47,0.012345739003389,64,0.0123554502460536,47,0.0282447874351554,64,0.0282396167349799,47,0.0282312301298509,64,0.0282509377911124
,46,0.3026968911179,65,0.318475709830924,46,0.388137299977813,65,0.477927533601886,46,0.268376572846437,65,0.284292766064866,46,0.326445711131201,65,0.352121209740504,46,0.276605478563821,65,0.293449416605714,46,0.311789030340536,65,0.306268716947564,46,0.31208641971452,65,0.332149516124743,46,0.352385973476232,65,0.356966701081565,46,0.03029649007579,65,0.0302469766222787,46,0.0312840652040526,65,0.109571963617194,46,0.0089964842738003,65,0.00902205016534837,46,0.00923203338877356,65,0.0136727239741752,46,0.0123019990022821,65,0.0122854451532835,46,0.012342522105018,65,0.0123710374008512,46,0.0282521917418952,65,0.0282387973107594,46,0.028235303496525,65,0.0282488982182626
,45,0.302143675150698,66,0.319429967342154,45,0.388054630914954,66,0.487915346567359,45,0.267629364072405,66,0.285163338446477,45,0.32567071462905,66,0.353837011473348,45,0.275879346513097,66,0.294476131587947,45,0.310964898045638,66,0.302229840942188,45,0.311516499574574,66,0.332804848038649,45,0.351283350925789,66,0.358360930680916,45,0.0303229777516815,66,0.0302473238554466,45,0.0316183372210023,66,0.118684864833249,45,0.00900480517126419,66,0.00903979381256824,45,0.00925268787928021,66,0.0145931364654339,45,0.0123461392334412,66,0.0122967858514697,45,0.012358687881142,66,0.0123669469071697,45,0.028257737664411,66,0.0282389454648508,45,0.028232314700943,66,0.0282329252546941
,44,0.301766249540274,67,0.320346552460311,44,0.387960641135457,67,0.499743166159809,44,0.266882455886944,67,0.286070053190514,44,0.32481896413115,67,0.355762977248551,44,0.275058824336003,67,0.29548536481958,44,0.310079402689343,67,0.301353658428151,44,0.311169621972432,67,0.333913070264382,44,0.350192077169476,67,0.359279887579848,44,0.0303441792047426,67,0.0302145605558877,44,0.032091666779027,67,0.129461066642581,44,0.00900418729184815,67,0.00903210176700081,44,0.00926702053872367,67,0.0157513520934244,44,0.0123578127217742,67,0.0122626954727765,44,0.0124024615599498,67,0.0123649399085185,44,0.0282701873645017,67,0.0282151655298649,44,0.0282403398069848,67,0.0282341059047054
,43,0.301061744991851,68,0.321411871467711,43,0.387936299958757,68,0.514121088200897,43,0.26614173251612,68,0.287078366944255,43,0.323990648666435,68,0.35800046629413,43,0.274401177316673,68,0.296697745184107,43,0.30923123172708,68,0.302253714859316,43,0.310404593519297,68,0.334988862523538,43,0.349079580346758,68,0.361043491335778,43,0.0303472310529993,68,0.0302049529219804,43,0.0326423791446673,68,0.142567858130016,43,0.00901022464417866,68,0.00902945484440883,43,0.00924815298430139,68,0.0172195318269986,43,0.0123595515616085,68,0.0122529371289572,43,0.0123584770320412,68,0.0123770768680715,43,0.0282755173309177,68,0.0282151707204282,43,0.0282435587347165,68,0.0282536602074749
,42,0.300285029779394,69,0.322426005687307,42,0.388045257747221,69,0.53064170053411,42,0.265424500104039,69,0.288089844575743,42,0.323131639314977,69,0.360552628843255,42,0.273718606167298,69,0.297762891485982,42,0.308376340504428,69,0.300806308709239,42,0.309345284088751,69,0.33604168528804,42,0.347915513372095,69,0.363567461550907,42,0.030302118310936,69,0.0302297604214839,42,0.0333581947195691,69,0.157373662640824,42,0.00900725294529611,69,0.00902042934707652,42,0.00925401130978266,69,0.0190499714759086,42,0.0123320825205886,69,0.0122561669521238,42,0.0123968262003443,69,0.012374699494215,42,0.0282502469100464,69,0.0282191195355288,42,0.0282404930748054,69,0.0282443931567393
,41,0.299640366168288,70,0.323506106820285,41,0.388273289283702,70,0.549663747915102,41,0.264699352662494,70,0.289083069848765,41,0.322282420456155,70,0.363485971352892,41,0.273019809341506,70,0.298834253461903,41,0.307503356532919,70,0.300552085153832,41,0.308608136695575,70,0.337104600567892,41,0.346799051758879,70,0.36543635429327,41,0.0303008274414667,70,0.0302479826686994,41,0.0342290903543626,70,0.17429379229353,41,0.00900108983397191,70,0.00902020219424501,41,0.00926749507460752,70,0.021323884673628,41,0.0123516144423087,70,0.012263735017009,41,0.0124537187635985,70,0.0123695527596731,41,0.0282505398605918,70,0.0282289623561604,41,0.0282689485280374,70,0.0282295079681802
,40,0.29886952138229,71,0.324627425698081,40,0.388622520818194,71,0.571412260708714,40,0.263992246389862,71,0.290199881785939,40,0.321471820807085,71,0.366907666062819,40,0.272372636866582,71,0.300052886836513,40,0.306656412188497,71,0.300048723667688,40,0.308032524011018,71,0.338215103501656,40,0.345687608616251,71,0.366689934990221,40,0.0303151299305869,71,0.0302333534283413,40,0.0352398316349103,71,0.193373674548161,40,0.00902451147408186,71,0.00902914545016376,40,0.00927402781756957,71,0.0240061500275139,40,0.0123711673037523,71,0.0122711607565801,40,0.0124668515063069,71,0.012382531708436,40,0.0282593873746311,71,0.0282310948040762,40,0.0282678435896347,71,0.0282237786167621
,39,0.298087199019096,72,0.325653422188735,39,0.389140390132327,72,0.597314869714583,39,0.263278349027876,72,0.291303979559048,39,0.320621276262751,72,0.371524227007477,39,0.271727193772419,72,0.301643569978798,39,0.305776245743826,72,0.301282523588026,39,0.307475776500566,72,0.339412572123142,39,0.344513785758507,72,0.368414467198124,39,0.0303216440471133,72,0.0302435105935389,39,0.0363590431353486,72,0.215685388251726,39,0.00899936017282088,72,0.0090279110110942,39,0.0092851952949988,72,0.0276379987111847,39,0.0123734619980365,72,0.0122896047434197,39,0.0124399367754593,72,0.0123591761630107,39,0.0282630713737309,72,0.0282383625893649,39,0.0282501211333423,72,0.0282337120747986
