CSV Report,2023-11-17_RNA_melting_MgCl2_NaCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,10_mM_MgCl2_260.00nm_90.0-21.0C,,10 mM MgCl2_260.00nm_21.0-90.0C,,10 mM MgCl2_260.00nm_90.0-21.0C_R1,,10 mM MgCl2_260.00nm_21.0-90.0C_R1,,5 mM MgCl2_260.00nm_90.0-21.0C,,5 mM MgCl2_260.00nm_21.0-90.0C,,5 mM MgCl2_260.00nm_90.0-21.0C_R1,,5 mM MgCl2_260.00nm_21.0-90.0C_R1,,1 mM MgCl2_260.00nm_90.0-21.0C,,1 mM MgCl2_260.00nm_21.0-90.0C,,1 mM MgCl2_260.00nm_90.0-21.0C_R1,,1 mM MgCl2_260.00nm_21.0-90.0C_R1,,0.1 mM MgCl2_260.00nm_90.0-21.0C,,0.1 mM MgCl2_260.00nm_21.0-90.0C,,0.1 mM MgCl2_260.00nm_90.0-21.0C_R1,,0.1 mM MgCl2_260.00nm_21.0-90.0C_R1,,10 mM MgCl2_400.00nm_90.0-21.0C,,10 mM MgCl2_400.00nm_21.0-90.0C,,10 mM MgCl2_400.00nm_90.0-21.0C_R1,,10 mM MgCl2_400.00nm_21.0-90.0C_R1,,5 mM MgCl2_400.00nm_90.0-21.0C,,5 mM MgCl2_400.00nm_21.0-90.0C,,5 mM MgCl2_400.00nm_90.0-21.0C_R1,,5 mM MgCl2_400.00nm_21.0-90.0C_R1,,1 mM MgCl2_400.00nm_90.0-21.0C,,1 mM MgCl2_400.00nm_21.0-90.0C,,1 mM MgCl2_400.00nm_90.0-21.0C_R1,,1 mM MgCl2_400.00nm_21.0-90.0C_R1,,0.1 mM MgCl2_400.00nm_90.0-21.0C,,0.1 mM MgCl2_400.00nm_21.0-90.0C,,0.1 mM MgCl2_400.00nm_90.0-21.0C_R1,,0.1 mM MgCl2_400.00nm_21.0-90.0C_R1,
,86,0.310018136666076,25,0.260409658141279,86,0.325225631069385,25,0.274939874082548,86,0.29854197361663,25,0.244898152634803,86,0.312937519645879,25,0.259414367251744,86,0.321534275982263,25,0.262799958519503,86,0.333050863896292,25,0.274265973955434,86,0.354527569643173,25,0.298169101652331,86,0.369641479465142,25,0.309228485589079,86,0.0247931032534854,25,0.0245576466253317,86,0.0246784143297849,25,0.0244170021394397,86,0.00628825418196948,25,0.00618569567667742,86,0.00627704517631278,25,0.00617418705041899,86,0.00571592906148699,25,0.00562244979890703,86,0.00578405968810112,25,0.00554895683957173,86,0.0257921442770621,25,0.0257496485735351,86,0.0257483013708326,25,0.0256727465148324
,85,0.309793105088949,26,0.260841063623124,85,0.324698358962796,26,0.275422149862891,85,0.298485737812239,26,0.245416214771107,85,0.312426607536455,26,0.26015780616074,85,0.32105333651935,26,0.263368316524063,85,0.332643154062227,26,0.274847300207263,85,0.354110414546569,26,0.299004965075661,85,0.36922190293126,26,0.309845118154449,85,0.0247778910252538,26,0.0245708844018794,85,0.0246564070796598,26,0.0244044158306954,85,0.00626766653920322,26,0.00619251273239757,85,0.00627427119632265,26,0.00618353572775037,85,0.00572897968360358,26,0.0056313093961242,85,0.00578724682122498,26,0.00555830806128279,85,0.0257979531744347,26,0.0257825300885715,85,0.0257267484889617,26,0.0256760857268504
,84,0.309250413189502,27,0.260863547130819,84,0.324139904633607,27,0.275798334083058,84,0.297824071218971,27,0.245754425307577,84,0.311948527362988,27,0.26058961918339,84,0.320292127722372,27,0.263925041702253,84,0.332208122568652,27,0.275359916704255,84,0.353601985810424,27,0.299347906784743,84,0.368780907367706,27,0.310216755740492,84,0.0247623559217885,27,0.0245715749145716,84,0.0246696762202435,27,0.0244485883872258,84,0.00624872812236305,27,0.00617570425090287,84,0.00630010536389392,27,0.00619142327002947,84,0.00574148292266551,27,0.00562596160041687,84,0.00578299614020717,27,0.00558562864203827,84,0.025769766750234,27,0.0257939742056987,84,0.025749304552759,27,0.0256977299012295
,83,0.308594626178314,28,0.26110413960316,83,0.323550202401661,28,0.276289608134128,83,0.297070217783236,28,0.246001586763879,83,0.311401140924403,28,0.260867325099622,83,0.319394512239612,28,0.264298803562199,83,0.331725100012968,28,0.275752091505488,83,0.353134717261711,28,0.299460943906282,83,0.368380556056306,28,0.310675539062638,83,0.024776209276441,28,0.0245401161586007,83,0.0246749930372764,28,0.0244549090922506,83,0.00623886544845649,28,0.00616663670966749,83,0.00629919960548731,28,0.00618680154391894,83,0.00575170902575701,28,0.00561787768659004,83,0.00577502821409304,28,0.00557324635736139,83,0.0257590602269081,28,0.0257492416435473,83,0.0257511270171356,28,0.0256863248822849
,82,0.307925565231956,29,0.261810224717044,82,0.322892745591167,29,0.276914263192722,82,0.296243645437811,29,0.24647963953708,82,0.310747957015471,29,0.261418133237774,82,0.31878273427644,29,0.264666244218928,82,0.331180904883303,29,0.276182265020081,82,0.352681328558278,29,0.300167547311947,82,0.367944611603268,29,0.311458738442021,82,0.0248142503506958,29,0.0245295970041444,82,0.0246481309038102,29,0.0244044601605075,82,0.00624728476219878,29,0.00617160439586113,82,0.00630215813324453,29,0.00616190443231127,82,0.00576892579109774,29,0.00560882590615747,82,0.00578018083036364,29,0.00554995968051887,82,0.0257882169294065,29,0.0257389166852293,82,0.0257313273384925,29,0.0256563805587171
,81,0.307117281701862,30,0.262126109854106,81,0.322169287090912,30,0.277426707523787,81,0.295307658003433,30,0.247017946469675,81,0.310030776837897,30,0.262165019408297,81,0.318151120563124,30,0.265216977626695,81,0.330573945827383,30,0.276823230210475,81,0.352264249999585,30,0.301145334207012,81,0.367376904325793,30,0.312151928956996,81,0.0247672319502136,30,0.0245529791512678,81,0.0246527045046071,30,0.024397532000193,81,0.00623852117633063,30,0.00617957390546414,81,0.0063145954419293,30,0.00616188259235559,81,0.00573495839607384,30,0.00561525049060928,81,0.0057863924718592,30,0.00554897141443767,81,0.0257865870993434,30,0.0257639633877222,81,0.025746931384649,30,0.0256694271009503
,80,0.306188725680968,31,0.262476326420509,80,0.321433120098376,31,0.277989216326406,80,0.294433659634406,31,0.2474328696277,80,0.309657494143485,31,0.262683164792834,80,0.317556133295057,31,0.265845754065604,80,0.329987678669951,31,0.277477345221371,80,0.351891534884612,31,0.301534065963194,80,0.36687185070199,31,0.312704538718996,80,0.0247399636769798,31,0.0245637430437936,80,0.0246756328367458,31,0.0243999282068641,80,0.00623625237156116,31,0.0061905302636249,80,0.00630724008533853,31,0.00617480350599295,80,0.0057095206322894,31,0.00565196645088823,80,0.00577396651909843,31,0.00552469009932287,80,0.025780002496845,31,0.0257636688052121,80,0.0257489164025638,31,0.025662831075047
,79,0.305315121206713,32,0.26310522807013,79,0.320629009678963,32,0.278621684349823,79,0.293609093390497,32,0.247887987509397,79,0.308952150396346,32,0.263225366751609,79,0.317033109017318,32,0.266315181135381,79,0.329342588809474,32,0.277974514480415,79,0.351532808246751,32,0.302127170662946,79,0.366370692862319,32,0.313458990980346,79,0.0247407259574681,32,0.0245533203687564,79,0.0246762241934307,32,0.0244140921528789,79,0.00622462387077128,32,0.00619157460044906,79,0.00630878651387922,32,0.00617784379680439,79,0.00572075608984405,32,0.00563515242831786,79,0.00575902443768437,32,0.00552932864062228,79,0.0257822477144509,32,0.0257464520557577,79,0.0257400503520436,32,0.0256632472357253
,78,0.304300741114915,33,0.263527789607587,78,0.319785104486877,33,0.279222743730825,78,0.292748295349313,33,0.248487456467935,78,0.307956366836697,33,0.263986232851587,78,0.31635242748303,33,0.266847227359577,78,0.328699687480886,33,0.278567567344345,78,0.351098042630059,33,0.30302473701327,78,0.365835513279605,33,0.31428955006073,78,0.0247507016916893,33,0.0245529580471326,78,0.024666863306372,33,0.0244144909872863,78,0.00622843119090677,33,0.0062046276867597,78,0.0063108231126434,33,0.00616592411768074,78,0.00574608130178563,33,0.00561467726714826,78,0.00575324432994477,33,0.0055464372327094,78,0.0257963736788624,33,0.0257596878485189,78,0.0257355058256157,33,0.0256624883057087
,77,0.303151622620629,34,0.264062482990852,77,0.318854501077768,34,0.27986787343205,77,0.29158994530671,34,0.248963399061659,77,0.306948059057053,34,0.264583185710662,77,0.315513463765781,34,0.267499013939067,77,0.327977964949211,34,0.279278386429522,77,0.350564431264178,34,0.30365573559909,77,0.36529299614346,34,0.314984551355052,77,0.0247944625606065,34,0.0245600553080003,77,0.0246701008772647,34,0.0244293176163843,77,0.00623573282782388,34,0.0062020557140119,77,0.00629996147469167,34,0.00615915391640186,77,0.00579146849785524,34,0.00563950711418756,77,0.00574803226392825,34,0.0055649439752707,77,0.0258020411949841,34,0.0257805335468405,77,0.0257534687567989,34,0.0256705170206231
,76,0.302039667974082,35,0.264590111926188,76,0.317875846458731,35,0.280511267246227,76,0.290481862776867,35,0.249428912632484,76,0.305840408950359,35,0.265246737164685,76,0.314691000996822,35,0.268105749201743,76,0.327175108499005,35,0.279883683096957,76,0.350071965740247,35,0.304492805148258,76,0.364691039478559,35,0.315868899808811,76,0.0248001541172875,35,0.02454446356323,76,0.0246450950681906,35,0.0244281362381395,76,0.00623095188180249,35,0.0061707285616082,76,0.0062978837078644,35,0.00616824933639634,76,0.00575751685420384,35,0.00563891084687677,76,0.00574091801319945,35,0.00555639460681215,76,0.0257968506629265,35,0.0257732319573303,76,0.0257454099580916,35,0.0256627803807034
,75,0.300838745523553,36,0.265009259841397,75,0.316887825844451,36,0.281180097688668,75,0.289346503432149,36,0.249984613948928,75,0.304697197057932,36,0.265946335720384,75,0.313757052785876,36,0.268725103543029,75,0.326319102782458,36,0.280578093314418,75,0.34953945169197,36,0.305312453978099,75,0.364064832548134,36,0.316720712621805,75,0.0247732438293751,36,0.024562360477622,75,0.0246377847533672,36,0.0244002845427303,75,0.00624605666809524,36,0.00618262033255152,75,0.00630539248214057,36,0.00615789049065163,75,0.00572481957826743,36,0.00562744911498506,75,0.00574813035823705,36,0.00555092269825082,75,0.0258232677227827,36,0.0257687138709921,75,0.0257340777363199,36,0.0256338314543859
