CSV Report,2023-11-17_RNA_melting_MgCl2_NaCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,10_mM_MgCl2_260.00nm_90.0-21.0C,,10 mM MgCl2_260.00nm_21.0-90.0C,,10 mM MgCl2_260.00nm_90.0-21.0C_R1,,10 mM MgCl2_260.00nm_21.0-90.0C_R1,,5 mM MgCl2_260.00nm_90.0-21.0C,,5 mM MgCl2_260.00nm_21.0-90.0C,,5 mM MgCl2_260.00nm_90.0-21.0C_R1,,5 mM MgCl2_260.00nm_21.0-90.0C_R1,,1 mM MgCl2_260.00nm_90.0-21.0C,,1 mM MgCl2_260.00nm_21.0-90.0C,,1 mM MgCl2_260.00nm_90.0-21.0C_R1,,1 mM MgCl2_260.00nm_21.0-90.0C_R1,,0.1 mM MgCl2_260.00nm_90.0-21.0C,,0.1 mM MgCl2_260.00nm_21.0-90.0C,,0.1 mM MgCl2_260.00nm_90.0-21.0C_R1,,0.1 mM MgCl2_260.00nm_21.0-90.0C_R1,,10 mM MgCl2_400.00nm_90.0-21.0C,,10 mM MgCl2_400.00nm_21.0-90.0C,,10 mM MgCl2_400.00nm_90.0-21.0C_R1,,10 mM MgCl2_400.00nm_21.0-90.0C_R1,,5 mM MgCl2_400.00nm_90.0-21.0C,,5 mM MgCl2_400.00nm_21.0-90.0C,,5 mM MgCl2_400.00nm_90.0-21.0C_R1,,5 mM MgCl2_400.00nm_21.0-90.0C_R1,,1 mM MgCl2_400.00nm_90.0-21.0C,,1 mM MgCl2_400.00nm_21.0-90.0C,,1 mM MgCl2_400.00nm_90.0-21.0C_R1,,1 mM MgCl2_400.00nm_21.0-90.0C_R1,,0.1 mM MgCl2_400.00nm_90.0-21.0C,,0.1 mM MgCl2_400.00nm_21.0-90.0C,,0.1 mM MgCl2_400.00nm_90.0-21.0C_R1,,0.1 mM MgCl2_400.00nm_21.0-90.0C_R1,
,74,0.299569109543181,37,0.265608932782602,74,0.315780384852233,37,0.281835510240796,74,0.288201693349601,37,0.25053065042281,74,0.30340621460514,37,0.266567385698295,74,0.312710654099007,37,0.269415309255841,74,0.325319111925271,37,0.281277383008189,74,0.348906956769386,37,0.306152276774367,74,0.363323597870583,37,0.317649956121165,74,0.024719777640755,37,0.0245624879993111,74,0.0246310979303222,37,0.0244464591428832,74,0.00625255613497487,37,0.006180855085935,74,0.00631663762450894,37,0.00616458161403516,74,0.00569113633459972,37,0.00562727313291008,74,0.00573055637931051,37,0.00555077359007396,74,0.0257988603797887,37,0.0257550440312886,74,0.0257455652165438,37,0.0256594272213994
,73,0.298324521482631,38,0.266157903832626,73,0.314655883747136,38,0.282513835227387,73,0.286966301078827,38,0.251130758505716,73,0.30204135085428,38,0.267315898839747,73,0.311592060594509,38,0.270116834293956,73,0.324251334909848,38,0.281996613609073,73,0.348187504878822,38,0.307145651964544,73,0.362593024798566,38,0.318628041249255,73,0.0247438105935083,38,0.0245404965660638,73,0.0246323623192128,38,0.0244073217962699,73,0.00624539463847631,38,0.00616898470892553,73,0.00630597930616816,38,0.00618584757981274,73,0.00569696634670886,38,0.0056167587914157,73,0.0057307424101762,38,0.00552035402095072,73,0.0257783361838621,38,0.0257375180020808,73,0.0257446098353123,38,0.0256453640998994
,72,0.297099968878234,39,0.266667714349726,72,0.313697773786647,39,0.283170022470679,72,0.285645384338486,39,0.251714826695815,72,0.30072532743026,39,0.267954078228758,72,0.310390438912916,39,0.270854841775721,72,0.32313217482686,39,0.282784751243108,72,0.34744552273068,39,0.308001150671904,72,0.361845107363105,39,0.319652641533225,72,0.0247579859784521,39,0.0245480593579131,72,0.0246497905907201,39,0.0244043171551296,72,0.00623150795382824,39,0.00617627814627928,72,0.00631580088184084,39,0.0061657557190537,72,0.00570949436097882,39,0.0056056759527547,72,0.00573454769230864,39,0.00553631913904671,72,0.0257628985104581,39,0.0257363824433083,72,0.0257557549176953,39,0.0256366977156616
,71,0.295908761229163,40,0.267276426159353,71,0.312722186549153,40,0.283874190663966,71,0.284304993656858,40,0.252372021874424,71,0.299425989733205,40,0.268703889890328,71,0.309114536635815,40,0.271638383179343,71,0.321893699696858,40,0.283610811852862,71,0.346622396374975,40,0.309081323787403,71,0.360929477793589,40,0.320686133339286,71,0.0247031044454066,40,0.0245325373335359,71,0.0246310706895232,40,0.0244318455885344,71,0.00623152481824999,40,0.00617484279172273,71,0.00632114902400199,40,0.00615617830795136,71,0.00568948816645147,40,0.00560175322956609,71,0.00571747996417232,40,0.00554678683959032,71,0.0257662785157176,40,0.0257381564288304,71,0.0257558142786501,40,0.0256448524661483
,70,0.29464938198474,41,0.267934904565466,70,0.311734658062473,41,0.284604758311754,70,0.282928549886825,41,0.253025256577908,70,0.298137936061114,41,0.269386452063794,70,0.307770398860494,41,0.272503144925141,70,0.320623072765706,41,0.284505000296825,70,0.345707736283884,41,0.310202933377182,70,0.359923608264384,41,0.321828451201474,70,0.0247075069358143,41,0.0245319679076713,70,0.0246002307539515,41,0.0244530565795959,70,0.00622236551329832,41,0.00617396076482721,70,0.00627918743312811,41,0.00617071463982184,70,0.00568483700860246,41,0.00558615902232787,70,0.00570444855501667,41,0.00557229164272042,70,0.0257749153315464,41,0.0257301953618813,70,0.0257288471854079,41,0.0256601646495773
,69,0.293540420548432,42,0.268568911305003,69,0.310735030910879,42,0.285306973503302,69,0.281556190122276,42,0.253697169226831,69,0.296867662545116,42,0.270134447442542,69,0.306367898781642,42,0.273408578133369,69,0.31925947730619,42,0.285398521266597,69,0.344669683029515,42,0.311228378385254,69,0.35879196566305,42,0.322951992318878,69,0.0247327418961365,42,0.024561477637676,69,0.024620290076156,42,0.0244285940913854,69,0.00624530560928357,42,0.00617380356968786,69,0.00627546906448188,42,0.00615014162016375,69,0.00570315374443718,42,0.00561345654394108,69,0.00574745701222944,42,0.00555159250075012,69,0.0257825973663142,42,0.0257395975574342,69,0.0257502521728788,42,0.0256544140521399
,68,0.292442120393293,43,0.269236720160473,68,0.309684752273338,43,0.286033881165003,68,0.280302668406254,43,0.254446090793476,68,0.295717478377768,43,0.270985293891654,68,0.304970627239167,43,0.274354379722468,68,0.317853921614906,43,0.286357448739555,68,0.343496718337685,43,0.31241201672179,68,0.357542072882027,43,0.324105537277888,68,0.0247422035466771,43,0.0245519601507143,68,0.0246238197981918,43,0.0244109776060934,68,0.00624410091628197,43,0.00616270576555875,68,0.00627365296096331,43,0.00616012611618865,68,0.0056999657263738,43,0.00560841395172839,68,0.00572315728023763,43,0.00554673362564468,68,0.0257807535321007,43,0.0257374256634438,68,0.0257427055515737,43,0.0256404194988616
,67,0.291433365910059,44,0.269892781712991,67,0.30873027981342,44,0.286778100539018,67,0.279086116335606,44,0.255217634073345,67,0.294556638060496,44,0.271797069189215,67,0.303511362535732,44,0.275300857306507,67,0.316392730683642,44,0.287343567348316,67,0.342316528706452,44,0.313579763203504,67,0.356264746542986,44,0.325305717540088,67,0.0247065805840776,44,0.024547836671939,67,0.0246066140957165,44,0.0243975243677013,67,0.00624825771025691,44,0.00616245848334607,67,0.00626869372280295,44,0.00614671707000907,67,0.00569250900101407,44,0.00560640551739752,67,0.00568919293422227,44,0.00553652019391988,67,0.0257607234139161,44,0.0257508204098841,67,0.0257235025120105,44,0.0256326424198259
,66,0.290424626449501,45,0.270596047768075,66,0.307808200952126,45,0.287535821897132,66,0.277961038037886,45,0.255985742902597,66,0.293454266875156,45,0.27262983705735,66,0.30209032307275,45,0.276305980663183,66,0.314931437651256,45,0.288366363981302,66,0.341034384991672,45,0.314715659124257,66,0.354903621392171,45,0.326519264485716,66,0.0247584080272679,45,0.0245481849295252,66,0.0246282478959701,45,0.0244189141137285,66,0.00624686883993086,45,0.00615181019956954,66,0.00626453350333161,45,0.00614716119566138,66,0.00569940092333803,45,0.00562903618206021,66,0.00571893499418565,45,0.00553003199180193,66,0.0257676681944992,45,0.0257464827293533,66,0.0257414744669482,45,0.0256449268696459
,65,0.289511782379783,46,0.27140770204809,65,0.306844026619388,46,0.288334876823933,65,0.276911962338298,46,0.256833139738554,65,0.292380914620631,46,0.273502720238795,65,0.300720228209679,46,0.27741531356882,65,0.313455748425641,46,0.289456923684621,65,0.339684613748984,46,0.315906180304792,65,0.353424012343728,46,0.327720909328526,65,0.0247424641815462,46,0.0245367370935723,65,0.024619847960221,46,0.0244292185268288,65,0.00625592568119734,46,0.00615079128918623,65,0.00626383953128079,46,0.00616265877724771,65,0.00570430540937369,46,0.0056190443370037,65,0.00570829112289742,46,0.00553135732409115,65,0.0257837338350216,46,0.0257352233532674,65,0.0257241392750698,46,0.0256601431287806
,64,0.288659347538235,47,0.272219636052108,64,0.305946623457696,47,0.289175326793131,64,0.275878556496014,47,0.257699118381837,64,0.291372680345093,47,0.274419260915884,64,0.299300790697803,47,0.278508826376185,64,0.312069029162879,47,0.290583145396682,64,0.338394659978509,47,0.317071185186771,64,0.352029154667412,47,0.328924529410826,64,0.0247461571543972,47,0.0245325643730012,64,0.0246251560585969,47,0.0244149607080694,64,0.00626931534672545,47,0.00616602336911017,64,0.00628679828422775,47,0.00614548513999761,64,0.00570480513368042,47,0.00560864202107732,64,0.0056876991779035,47,0.00553826664384363,64,0.0258009617914182,47,0.0257316816738902,64,0.0257244444431092,47,0.0256567764031001
,63,0.287686351496794,48,0.273058150121777,63,0.305016860626925,48,0.290020862735188,63,0.274882028471454,48,0.258634162779891,63,0.290395797763306,48,0.275349561913175,63,0.297978473680604,48,0.279673744666828,63,0.310709193292224,48,0.291744369820685,63,0.336995038125914,48,0.318227267826986,63,0.350502612008393,48,0.330108659276613,63,0.0247388501897119,48,0.0245448881280516,63,0.0246048794823686,48,0.024414995233056,63,0.00624644463750262,48,0.00616842516478364,63,0.00626056841391544,48,0.00613479329871699,63,0.00571461933659933,48,0.00562178389662382,63,0.00569621609697255,48,0.00553408202188683,63,0.0258041743156063,48,0.0257555042170653,63,0.0257182481955691,48,0.0256208082416782
,62,0.286828835396858,49,0.273932747908698,62,0.30412267565873,49,0.290933575427152,62,0.273889406527201,49,0.259586961826448,62,0.289460389659827,49,0.276305718169125,62,0.296710718426744,49,0.280824443466301,62,0.309448485193417,49,0.292891795642256,62,0.335591796475412,49,0.319375046588906,62,0.34901251523655,49,0.33130172916258,62,0.0247271859671392,49,0.0245815800774181,62,0.0245847149893804,49,0.0244179700452375,62,0.0062512451438695,49,0.00616133087587635,62,0.00623967029233674,49,0.0061471978274187,62,0.00572091122782745,49,0.00564293169505723,62,0.00569726304715597,49,0.00554761714331792,62,0.0257791868060082,49,0.0257595796617531,62,0.0256976586460548,49,0.0256279151303661
,61,0.286017053813463,50,0.274819580896512,61,0.303253386722607,50,0.291808000713966,61,0.272947988850612,50,0.260549027941659,61,0.288503475554501,50,0.277330538713441,61,0.295516881517002,50,0.281978232597173,61,0.308199441753491,50,0.294074752160867,61,0.334224268162743,50,0.320453730369362,61,0.347510381051891,50,0.332465675597038,61,0.0246899931283913,50,0.024586334856528,61,0.0245496640539777,50,0.0244037931279433,61,0.0062534475899811,50,0.00615512236902142,61,0.00626218155213092,50,0.00614590774528935,61,0.00568561969751869,50,0.00563436860978798,61,0.00566484123380903,50,0.00552108241653224,61,0.0257548992909725,50,0.0257468561821883,61,0.0256911498720424,50,0.0256120838662356
,60,0.285116937039639,51,0.275793110598827,60,0.302459866213205,51,0.292751158154246,60,0.27204731944649,51,0.261563580973022,60,0.287581955376109,51,0.278311027536933,60,0.294385830474961,51,0.2831645291877,60,0.307065262334213,51,0.295237952384557,60,0.332747139958848,51,0.321679083477244,60,0.346086303960386,51,0.333621929801426,60,0.0246988058197221,51,0.0245997010189482,60,0.0245675665505197,51,0.024401425627738,60,0.0062493553434658,51,0.00616228544539133,60,0.0062431861006636,51,0.00614616974849055,60,0.00570486244071318,51,0.00563890603144237,60,0.0056703795745334,51,0.00551379866104929,60,0.025773483296922,51,0.0257518173813904,60,0.0257053153910803,51,0.0256251417360512
,59,0.284266112051124,52,0.276792426922681,59,0.301575106298881,52,0.293713933116182,59,0.271115160074415,52,0.262589660337243,59,0.286664382538985,52,0.279387097281781,59,0.293272969761684,52,0.284338960380387,59,0.305976132350838,52,0.296510944890855,59,0.331439580638009,52,0.322913215548561,59,0.344734427226527,52,0.334731651060649,59,0.0247320930284392,52,0.0245920540418628,59,0.0245969996167815,52,0.0244507369380264,59,0.00623364443188817,52,0.0061768976463604,59,0.00622923565002259,52,0.00617553315186521,59,0.00569561489872986,52,0.00562707645056615,59,0.00569372334659085,52,0.00554357180796619,59,0.0257836289875159,52,0.0257317457630838,59,0.0257221366011353,52,0.025643345165751
,58,0.283401740558676,53,0.277809879955046,58,0.30076252916395,53,0.294633107684942,58,0.270216872821564,53,0.263646316343687,58,0.285749221543812,53,0.28041605686432,58,0.292232580682123,53,0.285562568870914,58,0.30490416595929,53,0.297696456140005,58,0.330198984580712,53,0.32401110186308,58,0.34343555618233,53,0.335897197353076,58,0.0246958822279379,53,0.0245859429125226,58,0.0245736506625203,53,0.0244301899438176,58,0.00621867630213543,53,0.00618680517438718,58,0.00623250219686835,53,0.00617453946531791,58,0.00568339064454323,53,0.00563430071620924,58,0.00568504993007186,53,0.00554569378775615,58,0.0257915639178757,53,0.025734777163867,58,0.0256935151047102,53,0.0256323310113101
,57,0.282547168021607,54,0.278837966026475,57,0.299965401270482,54,0.295583556582811,57,0.269301121054892,54,0.26474217862173,57,0.284812833482581,54,0.281421635888643,57,0.291195252843678,54,0.286739876501133,57,0.303797639801453,54,0.298858040400378,57,0.328992098919943,54,0.325121531990725,57,0.342108127984592,54,0.337108077178743,57,0.0247359138484209,54,0.0245597111110628,57,0.0245561739161429,54,0.0244091279255969,57,0.00623727874157649,54,0.00621190839534934,57,0.00624527332764748,54,0.00615031773969842,57,0.005682050144896,54,0.00562128804445339,57,0.00568116889971087,54,0.00552765511920405,57,0.0257882615786457,54,0.0257350243719709,57,0.0256928490521628,54,0.0256055432623809
,56,0.281727248534775,55,0.279861211449762,56,0.299052790252276,55,0.296537382490124,56,0.268367346466147,55,0.265826363415014,56,0.283844161645041,55,0.282484700196507,56,0.290178290173348,55,0.28790763520008,56,0.302718211385962,55,0.300029772060194,56,0.327864469944553,55,0.326293708504356,56,0.340939207973472,55,0.338203704266314,56,0.0247151067888623,55,0.0245667801119162,56,0.0245552109918982,55,0.0244186396899607,56,0.00623890543804928,55,0.00620621236590127,56,0.00625089108808066,55,0.00615784728364579,56,0.0056565016239568,55,0.00562622986259633,56,0.00566909693626143,55,0.00551080050942735,56,0.0257612520356091,55,0.0257289452249599,56,0.0257158427964532,55,0.0256031777032929
,55,0.280780598758921,56,0.280885981411398,55,0.298090045013609,56,0.297564721717179,55,0.26738701170442,56,0.266863023880979,55,0.282894663611727,56,0.283527751601839,55,0.289153874623517,56,0.289043969905574,55,0.301657509008544,56,0.301271130415569,55,0.326792334756311,56,0.327445019191171,55,0.339726565930092,56,0.339417274697992,55,0.0246861867490865,56,0.0245894928550453,55,0.0245538121247121,56,0.0244292793468109,55,0.00623978867347122,56,0.00619108292135244,55,0.00626838385818221,56,0.00615540583376831,55,0.00569090859799582,56,0.0056397745994879,55,0.00567538135817507,56,0.00552184404073802,55,0.0257889950498224,56,0.0257507901577265,55,0.0257237611121918,56,0.0256302722857935
,54,0.27989721627933,57,0.281933914390327,54,0.297289255192813,57,0.298576854923921,54,0.266445160951888,57,0.267932652568499,54,0.281944683150293,57,0.284558481182233,54,0.288135199534167,57,0.290207788850334,54,0.300648200729275,57,0.302444420904771,54,0.325767912968316,57,0.328662634353413,54,0.338683087812364,57,0.340676177556087,54,0.0246881763369586,57,0.0245897501567334,54,0.0245460317128106,57,0.024417026628262,54,0.00627011224392421,57,0.00619045501342357,54,0.00623613724940704,57,0.00616241268505741,54,0.00569381931520647,57,0.00563799016708709,54,0.00565900215525103,57,0.005510276654374,54,0.0257757431347149,57,0.0257436535250087,54,0.0256969547684814,57,0.025617473250206
,53,0.278955272868463,58,0.282934213871545,53,0.296371853605745,58,0.29958501012201,53,0.26548400493468,58,0.269015675273534,53,0.28094602751233,58,0.285648618769835,53,0.287100323864257,58,0.291362799214877,53,0.299524437059957,58,0.303619665441869,53,0.324696419416914,58,0.329980263191983,53,0.337672447935331,58,0.341990057840901,53,0.0246415911349383,58,0.0245794402845865,53,0.0245195284301045,58,0.0244329574102293,53,0.00626426262715152,58,0.00620129492554595,53,0.0062304240443059,58,0.00617760925526026,53,0.00566052571124738,58,0.00563633547334013,53,0.00565181751220468,58,0.00551718917089533,53,0.0257366499583656,58,0.0257388628896863,53,0.0256921571210485,58,0.0256224196802762
,52,0.278056895126332,59,0.283942424180042,52,0.295505535077243,59,0.300601031071134,52,0.26448208831005,59,0.270013155198461,52,0.280009613742942,59,0.286699597169405,52,0.28602348245167,59,0.292523768296797,52,0.298495632888192,59,0.304817737042993,52,0.323707272091388,59,0.331280159250831,52,0.336775091999288,59,0.343338245370374,52,0.0246576666294891,59,0.0245453404170522,52,0.0245262367552092,59,0.024437551536294,52,0.00623094338421996,59,0.00619386887652299,52,0.00623337265712718,59,0.00616875846049003,52,0.00566281884526537,59,0.00561038341212848,52,0.00563962103659457,59,0.00552316282331337,52,0.025759150715325,59,0.0257204340743334,52,0.0256806858020484,59,0.0256267759250389
,51,0.277155788156874,60,0.284943300502944,51,0.294573581880151,60,0.301598955164119,51,0.263522976020349,60,0.271075722354471,51,0.278979795982744,60,0.287689786341668,51,0.284976456791056,60,0.293798707532375,51,0.297350278050747,60,0.30599192161322,51,0.322738475212514,60,0.332706635610471,51,0.335697424761239,60,0.344759190429656,51,0.0246799790503889,60,0.024564087453944,51,0.0245250435692708,60,0.0244368064258864,51,0.00624391610030679,60,0.00620628954733332,51,0.00623976720472227,60,0.00614998572104957,51,0.00568198019289348,60,0.0056351631356584,51,0.00563892689639077,60,0.00551665801197205,51,0.025775497321882,60,0.0257392677303014,51,0.0256733224806084,60,0.0256193875775494
,50,0.276217524843021,61,0.285950747880419,50,0.293709725522037,61,0.302516760649515,50,0.262524538109201,61,0.272098058612916,50,0.27801943593848,61,0.288721753061502,50,0.283922814263897,61,0.294929787155241,50,0.2962483516634,61,0.307189788934339,50,0.321683657311477,61,0.334126335253301,50,0.334496712475721,61,0.34625584860812,50,0.0246383485900487,61,0.0245932005492146,50,0.0245167234990607,61,0.024436012689319,50,0.00625403494975764,61,0.00622936272218753,50,0.00624543114973926,61,0.00615761444967007,50,0.00567011214207997,61,0.00566609415860471,50,0.00562943057117448,61,0.0055239918017999,50,0.0257464741764396,61,0.0257604850150228,50,0.0256522344666571,61,0.0256131875295418
,49,0.275452402865398,62,0.286951624706113,49,0.292827892349084,62,0.303435271587664,49,0.261514925368884,62,0.273127987149215,49,0.277051339660276,62,0.289733297516813,49,0.282872102303818,62,0.296128309334267,49,0.295144687505288,62,0.30836659375516,49,0.320669374620133,62,0.335663637302356,49,0.333412492595501,62,0.347815259572605,49,0.0246532892718239,62,0.024601585200235,49,0.0245141370557716,62,0.0244131252484831,49,0.00623590838041372,62,0.00622598658011771,49,0.00624630073560364,62,0.00617406785424774,49,0.00566340841086187,62,0.00566900071833624,49,0.00564372744884971,62,0.00551814928997209,49,0.0257422600802825,62,0.0257630574420759,49,0.0256668179394458,62,0.0256009378511592
,48,0.274951565206629,63,0.287965918503899,48,0.29193101088326,63,0.304384979252273,48,0.260519020841199,63,0.274204899949557,48,0.276098609084342,63,0.291016377314872,48,0.281811778247077,63,0.297397117534124,48,0.294011193318567,63,0.309723057992198,48,0.319655284815011,63,0.337377833734295,48,0.332350078136292,63,0.349461275777256,48,0.0246948369099412,63,0.0246104682108149,48,0.0244882839822052,63,0.0244417110363966,48,0.00624088491287715,63,0.0062688013350794,48,0.00623890100532215,63,0.00620014470443847,48,0.00567665236524298,63,0.00568438182670641,48,0.00563439737375193,63,0.00554795681328556,48,0.0257766958705979,63,0.0257479021979818,48,0.0256623327433123,63,0.0256266068490141
,47,0.274239989125243,64,0.288947691864286,47,0.291059244334766,64,0.305313880886706,47,0.259580968424318,64,0.275390783289103,47,0.275169881813334,64,0.292544716214151,47,0.280712296104641,64,0.29879177617714,47,0.29289112748357,64,0.311133350723779,47,0.318607955077832,64,0.338968135511807,47,0.331198560613754,64,0.351182385050152,47,0.0246846956240979,64,0.0245737547871092,47,0.0245131924366284,64,0.0244393504412458,47,0.0062383192086264,64,0.00634879616476794,47,0.0062391231267084,64,0.00625354315123589,47,0.00565435373919187,64,0.00567709779849343,47,0.0056524496682304,64,0.00556022821992575,47,0.0257654312076279,64,0.0257207126417688,47,0.0256984790673526,64,0.0256391812647632
,46,0.273066794956898,65,0.290034383155007,46,0.290232723417538,65,0.306234364602697,46,0.258659244289713,65,0.27712078413674,46,0.274248401351935,65,0.293722653068359,46,0.27958422303702,65,0.300190706594312,46,0.291800116193435,65,0.312549027862223,46,0.317505172594234,65,0.340566311098454,46,0.330048900287383,65,0.352925431408471,46,0.0246561304900583,65,0.02456220714994,46,0.0245262557027342,65,0.0244305540349441,46,0.00622264360838761,65,0.00640774857615276,46,0.00622461903938876,65,0.0062901947793306,46,0.00565121046721899,65,0.00567046188091939,46,0.00565591263937073,65,0.00554751193290767,46,0.0257495482835872,65,0.0257165153082685,46,0.0257179750905303,65,0.025642161260986
,45,0.272200865708179,66,0.291164849298531,45,0.289406320897056,66,0.307195855562015,45,0.257793252689858,66,0.278956296415006,45,0.273341998738596,66,0.294605475639164,45,0.278500947915449,66,0.301669664795548,45,0.290678711174077,66,0.314001452824175,45,0.316348286294716,66,0.342399718618382,45,0.328870882151204,66,0.354577694109385,45,0.0246770717109063,66,0.0245670310239846,45,0.0245124253267016,66,0.0244418936048579,45,0.00623451709341982,66,0.00641669420799439,45,0.0062280405626443,66,0.0063020011801162,45,0.00567275443051163,66,0.00567675652449562,45,0.00566228829414865,66,0.0055539385753506,45,0.0257524146297625,66,0.0257173363110381,45,0.0256956906820869,66,0.0256308603404674
,44,0.271411756980385,67,0.292140088757383,44,0.288642163385257,67,0.308190946797492,44,0.25692346581641,67,0.279899629508746,44,0.272475895873089,67,0.295541118990508,44,0.277440224476561,67,0.303306088346486,44,0.289635329235732,67,0.315557106150727,44,0.315266794968442,67,0.344093138995187,44,0.327734596054375,67,0.356313062596552,44,0.02467334796228,67,0.0245769873624345,44,0.0244766285995272,67,0.024462290843049,44,0.00623246202062161,67,0.00635402958058169,44,0.00623337768107069,67,0.00629788923490145,44,0.00568143744406093,67,0.00567407983405361,44,0.00560393861094755,67,0.00559146880482692,44,0.0257598292860016,67,0.0257225564372369,44,0.025652594689478,67,0.0256342639437556
,43,0.270753236486947,68,0.293284503883122,43,0.287861879996577,68,0.309388831245113,43,0.256100675791609,68,0.280947936431722,43,0.271667870369971,68,0.296662381032741,43,0.276433743177118,68,0.304935695118285,43,0.288589809651497,68,0.317129320223103,43,0.314143623883739,68,0.345685017076737,43,0.326548536379474,68,0.357923044316015,43,0.024704077235286,68,0.0246051313150175,43,0.0244941256226877,68,0.0244547617486597,43,0.00624911066520044,68,0.00635795128234718,43,0.00622884234749552,68,0.00629805543285769,43,0.00569515173422669,68,0.00568162115936149,43,0.0056335246687361,68,0.00559493759637376,43,0.0257629112807597,68,0.0257485527371135,43,0.0256691182895536,68,0.0256302635325754
,42,0.270004207024986,69,0.294549588840715,42,0.287090440363336,69,0.310535367319934,42,0.255319470395958,69,0.282219610117761,42,0.270878284373292,69,0.297991046660675,42,0.27546232531597,69,0.30659683626437,42,0.28756421001854,69,0.318768180637793,42,0.313286001597526,69,0.347064904343672,42,0.325344479476435,69,0.359558939666974,42,0.0246675706182598,69,0.0246362244259369,42,0.0245232762909218,69,0.024438918950985,42,0.00625129074982121,69,0.00635082322408009,42,0.00621352822588362,69,0.00627941486179431,42,0.00569717549566902,69,0.00571451243202412,42,0.00566322346614617,69,0.00558860493463007,42,0.0257648243895288,69,0.0257741848349628,42,0.025705838287061,69,0.0256393251025184
,41,0.269310978001072,70,0.295763293148187,41,0.286319381600997,70,0.311504759886943,41,0.254554579164108,70,0.283649436644596,41,0.270153423859248,70,0.299382506939643,41,0.274488965784821,70,0.308316478176847,41,0.286551217697262,70,0.320330584649764,41,0.312786645796746,70,0.348375714356008,41,0.324169155899625,70,0.361185248830885,41,0.0246575024423619,70,0.0246282531139288,41,0.0245112596467271,70,0.0244727306074383,41,0.00624167392377018,70,0.00635802129855222,41,0.00623612696667744,70,0.00629060849446059,41,0.0056899604280702,70,0.0057217865527037,41,0.00565023731446174,70,0.00559983035063121,41,0.0257637710747417,70,0.0257646778679403,41,0.0257055229926829,70,0.0256565445586789
,40,0.268622830483354,71,0.297042068658299,40,0.285655319538691,71,0.312744164405215,40,0.253838045883568,71,0.285196238992627,40,0.269529688132668,71,0.300738069311811,40,0.273551042407438,71,0.310024328357672,40,0.285635798825346,71,0.321966777593481,40,0.31199658103074,71,0.349731437676868,40,0.323007358786831,71,0.362675118136359,40,0.0246588529856304,71,0.024624840211791,40,0.0244763277848701,71,0.0244867221060407,40,0.00624330113925482,71,0.00636829771433568,40,0.00622644154298816,71,0.00631616158279751,40,0.00567183668986725,71,0.00571789172140343,40,0.00561015098925061,71,0.00561682182898343,40,0.0257606608208902,71,0.025746593730412,40,0.0256585996552476,71,0.0256567898869881
,39,0.268005338657274,72,0.298514951127716,39,0.284955757200671,72,0.314018152967467,39,0.253142834524411,72,0.286792333058655,39,0.268841763011976,72,0.30206711844188,39,0.272653508544817,72,0.311630921911731,39,0.284727596191303,72,0.323653200531007,39,0.31084965408291,72,0.350957070805921,39,0.321893882340285,72,0.364152530353208,39,0.0246672422562748,72,0.0246310137385932,39,0.0244695151864285,72,0.0244900893705136,39,0.00625483796757128,72,0.00633771100342671,39,0.00623084138072772,72,0.00628731500070828,39,0.00567975376536995,72,0.00570779046308991,39,0.00560021558353804,72,0.00562842073750049,39,0.0257721486060623,72,0.0257629799037375,39,0.0256698381543874,72,0.0256587913702156
,38,0.267342650743978,73,0.300104300081928,38,0.284195759467105,73,0.315414125758499,38,0.252498371233076,73,0.288448603808467,38,0.268075779230853,73,0.30336789649128,38,0.271809088136572,73,0.313270059624225,38,0.283809907519758,73,0.325035559045097,38,0.309588879195824,73,0.352197407898327,38,0.320748988043848,73,0.365528269328249,38,0.0246584295306736,73,0.0246220568160027,38,0.0244819442414524,73,0.0245081511631258,38,0.00625206082683523,73,0.00632665569596242,38,0.00623695599085039,73,0.00627458286069977,38,0.00567891249199813,73,0.00569337833496308,38,0.00563399651697691,73,0.0056253504800523,38,0.0257734167657169,73,0.0257635909202335,38,0.0256769864671096,73,0.0256603040879577
