CSV Report,2023-11-10_RNA_melting_MgCl2_KCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,500 mM MgCl2_260.00nm_90.0-21.0C,,500 mM MgCl2_260.00nm_21.0-90.0C,,500 mM MgCl2_260.00nm_90.0-21.0C_R1,,500 mM MgCl2_260.00nm_21.0-90.0C_R1,,50 mM MgCl2_260.00nm_90.0-21.0C,,50 mM MgCl2_260.00nm_21.0-90.0C,,50 mM MgCl2_260.00nm_90.0-21.0C_R1,,50 mM MgCl2_260.00nm_21.0-90.0C_R1,,25 mM MgCl2_260.00nm_90.0-21.0C,,25 mM MgCl2_260.00nm_21.0-90.0C,,25 mM MgCl2_260.00nm_90.0-21.0C_R1,,25 mM MgCl2_260.00nm_21.0-90.0C_R1,,10 mM MgCl2_260.00nm_90.0-21.0C,,10 mM MgCl2_260.00nm_21.0-90.0C,,10 mM MgCl2_260.00nm_90.0-21.0C_R1,,10 mM MgCl2_260.00nm_21.0-90.0C_R1,,500 mM MgCl2_400.00nm_90.0-21.0C,,500 mM MgCl2_400.00nm_21.0-90.0C,,500 mM MgCl2_400.00nm_90.0-21.0C_R1,,500 mM MgCl2_400.00nm_21.0-90.0C_R1,,50 mM MgCl2_400.00nm_90.0-21.0C,,50 mM MgCl2_400.00nm_21.0-90.0C,,50 mM MgCl2_400.00nm_90.0-21.0C_R1,,50 mM MgCl2_400.00nm_21.0-90.0C_R1,,25 mM MgCl2_400.00nm_90.0-21.0C,,25 mM MgCl2_400.00nm_21.0-90.0C,,25 mM MgCl2_400.00nm_90.0-21.0C_R1,,25 mM MgCl2_400.00nm_21.0-90.0C_R1,,10 mM MgCl2_400.00nm_90.0-21.0C,,10 mM MgCl2_400.00nm_21.0-90.0C,,10 mM MgCl2_400.00nm_90.0-21.0C_R1,,10 mM MgCl2_400.00nm_21.0-90.0C_R1,
,76,0.348407656081026,35,0.30718951811185,76,0.376779420644044,35,0.342894729025843,76,0.305793647278126,35,0.256187394758754,76,0.328334482254212,35,0.277318968921771,76,0.30896086134992,35,0.256685856943277,76,0.32841080070175,35,0.276453705573765,76,0.363124338653893,35,0.308405894568557,76,0.378104033985268,35,0.324072675412579,76,0.0291780957869509,35,0.028912416048825,76,0.0287617954186375,35,0.0285846935152815,76,0.0071709025801138,35,0.00775932549239669,76,0.00724386694543598,35,0.00742103984745566,76,0.0061372615071599,35,0.00617958032980863,76,0.00619271707110631,35,0.00612198767524902,76,0.0415432131129971,35,0.0416182179039203,76,0.0417040404344793,35,0.0416700425949007
,75,0.347120062721549,36,0.308137678732991,75,0.375122127316326,36,0.34354248266459,75,0.303905183548106,36,0.25687739579429,75,0.326626748307904,36,0.278194109105239,75,0.306830698235977,36,0.257346870261703,75,0.32663705027198,36,0.277253571771958,75,0.360905377967429,36,0.309041079903781,75,0.376171272880924,36,0.324844048465902,75,0.0291576025868935,36,0.0288997990434508,75,0.0287570719267748,36,0.0285748918055057,75,0.00719146609201829,36,0.00775512893730406,75,0.00724866517597337,36,0.00741364984795591,75,0.00612453131535052,36,0.00616009965682989,75,0.00619573719370089,36,0.00612255254146774,75,0.0415471427485777,36,0.0416096903742303,75,0.0416979195450554,36,0.0416793779398032
,74,0.345885634051479,37,0.308943386670219,74,0.374116733069051,37,0.344160020080886,74,0.302189422171685,37,0.257635187643028,74,0.325074360634389,37,0.279078362355365,74,0.304861683446307,37,0.258083705106498,74,0.324932954051861,37,0.27817747846697,74,0.358738204006498,37,0.30968621476691,74,0.374143857028362,37,0.325641754925571,74,0.0292124519489916,37,0.0288902129577939,74,0.0287516382058862,37,0.0286060152529775,74,0.00723069674550769,37,0.00775547058759433,74,0.00726270492048009,37,0.00740733344193689,74,0.00614570704525709,37,0.00617865189464008,74,0.00617875410360201,37,0.00613270268099215,74,0.0415856965267444,37,0.0415967939256624,74,0.0416757042765591,37,0.0416971120969616
,73,0.344731601188805,38,0.309732166934521,73,0.373190515810619,38,0.344737558809979,73,0.300388606620297,38,0.258409534613645,73,0.323412159014445,38,0.279982898489349,73,0.302936184161475,38,0.258773524517558,73,0.323158528781198,38,0.279085626057231,73,0.356626524619508,38,0.310334101367352,73,0.372174490617206,38,0.326459957239449,73,0.0292045072638924,38,0.0288355009292988,73,0.0287188781059903,38,0.0285753022946601,73,0.00722632669301398,38,0.00774584974746301,73,0.00727419294977349,38,0.00737831387425037,73,0.00614261812177871,38,0.00617130593781513,73,0.00617210361096167,38,0.00612012713247728,73,0.0415957965189958,38,0.0415455716433028,73,0.0416722656638857,38,0.0416662790028831
,72,0.34345215497343,39,0.3106509067913,72,0.372212925300411,39,0.345425796519794,72,0.298630947223877,39,0.259208737952758,72,0.321757295798532,39,0.280877610052301,72,0.301023495680267,39,0.259487538196969,72,0.321436870119397,39,0.279968314919887,72,0.354480836465662,39,0.311026434260205,72,0.370396819147639,39,0.327263025866838,72,0.0291610089577859,39,0.0288282146388337,72,0.028696194978689,39,0.0285850251200722,72,0.00723302994060677,39,0.00773872124628692,72,0.00726869785631636,39,0.00736441303893821,72,0.00612916273021265,39,0.00616231481938309,72,0.00617654435294109,39,0.00612442597869124,72,0.0415816555160323,39,0.0415366218127551,72,0.0416891886281594,39,0.04165328184269
,71,0.342253080901228,40,0.311552461822622,71,0.371263851601419,40,0.346125899208098,71,0.296869620133065,40,0.260015081282755,71,0.320176706387949,40,0.281783049314015,71,0.299099159556461,40,0.260259676220787,71,0.319730588001959,40,0.280897259811003,71,0.352418731587899,40,0.311789507060232,71,0.368811548461278,40,0.32811252756814,71,0.0291209013166076,40,0.028845659011378,71,0.0286876595834768,40,0.0285903646486705,71,0.00724203631482352,40,0.00773184340906256,71,0.00725993454120579,40,0.00737191876643939,71,0.00612424843727304,40,0.00617425074952192,71,0.00619124771609315,40,0.00612359539283137,71,0.0415629124717659,40,0.0415543931248229,71,0.0417014813180192,40,0.0416707170287915
,70,0.341170040366883,41,0.312626466074641,70,0.370355798895052,41,0.346766419556564,70,0.295300381464127,41,0.260872882823578,70,0.3186458021686,41,0.282713966354402,70,0.297424135214178,41,0.261113178102661,70,0.318145351706308,41,0.281837770772588,70,0.350680391181598,41,0.312600269772868,70,0.367334513385411,41,0.329016112936607,70,0.0291655023210541,41,0.0288825588318143,70,0.0286906048612063,41,0.0285779752893842,70,0.00727935163541968,41,0.00769955202184823,70,0.00726748475164857,41,0.00735495218912245,70,0.00618224101950951,41,0.0061609042228255,70,0.0062051773594252,41,0.00611361629921014,70,0.0416202986297285,41,0.0415260544880832,70,0.0416865691261273,41,0.0416541416317735
,69,0.340151116778175,42,0.31342543962864,69,0.3694187232414,42,0.34732530458482,69,0.293738833437348,42,0.261714798720481,69,0.317193708731625,42,0.283697011826567,69,0.295806586213088,42,0.261910564045399,69,0.316628854690883,42,0.282791512534605,69,0.348996163180575,42,0.313352152991847,69,0.365688082704792,42,0.329875213776104,69,0.0292140386277472,42,0.0288291867020244,69,0.0287090937400926,42,0.0285304351918896,69,0.00729324507001026,42,0.00769448369944969,69,0.0072871614053892,42,0.00733801398087121,69,0.00618297664023081,42,0.00614485992486433,69,0.00620864002886114,42,0.00610640933065417,69,0.0416408488427004,42,0.0415071318858592,69,0.0416838538979892,42,0.041633668189132
,68,0.339126138602983,43,0.314325359623716,68,0.368460354584463,43,0.347974136752714,68,0.292229923909997,43,0.262620682234123,68,0.315850921989194,43,0.284670691777719,68,0.294206770248465,43,0.262780975857964,68,0.315165846341472,43,0.283765495917101,68,0.347514961844464,43,0.314117153224171,68,0.364007237494721,43,0.330771613112747,68,0.0291199533447651,43,0.0288317730230639,68,0.0287073165457789,43,0.0285575636536485,68,0.00729766641834495,43,0.00771696775151839,68,0.00730879294928923,43,0.00732777663292309,68,0.00614373936196596,43,0.00614947950009236,68,0.00621551630328443,43,0.00611228002550553,68,0.0416057290609079,43,0.0415216092263446,68,0.0416813215646875,43,0.0416339774572416
,67,0.338122949171783,44,0.315470941521295,67,0.36754022513818,44,0.348663190352024,67,0.290808820683292,44,0.263523709815339,67,0.314450662825365,44,0.285653250886916,67,0.292582552960503,44,0.26365305617216,67,0.313663605681715,44,0.284730190988948,67,0.34621475001506,44,0.315064110463489,67,0.362323687995916,44,0.331713709360523,67,0.0291033953787173,44,0.0289017844324611,67,0.0287070117724385,44,0.0285453065850158,67,0.00732971503314476,44,0.00769864692910157,67,0.00730773256375481,44,0.00734718864770831,67,0.00616178048207484,44,0.00613405081668692,67,0.00620907761811661,44,0.00610301016157055,67,0.0416160290407387,44,0.0415441340668759,67,0.0416956956119744,44,0.0416356469902317
,66,0.337100760537134,45,0.316172216894289,66,0.366624789651176,45,0.349336295834245,66,0.289433176562639,45,0.264459534491944,66,0.31305621228019,45,0.286699688952716,66,0.291095677910232,45,0.264589907687585,66,0.312258751729549,45,0.28574909011431,66,0.344756551334038,45,0.315948960905655,66,0.360717553170796,45,0.332694623496245,66,0.029067100225627,45,0.0288486777601476,66,0.0286818383337031,45,0.0285810956169077,66,0.00732880069655917,45,0.00767763455162774,66,0.00728380983267427,45,0.00738036363168057,66,0.00613715742564223,45,0.00616396733515736,66,0.00618861030693728,45,0.00612777182533392,66,0.0416151840585872,45,0.0415455177451748,66,0.0416805163428094,45,0.0416413123599849
,65,0.336124776069133,46,0.316947324152593,65,0.365744658092086,46,0.350029388240275,65,0.288115256578162,46,0.265413743564033,65,0.311715720157555,46,0.287606024217982,65,0.289716273121866,46,0.265544631157313,65,0.31091064601801,46,0.286756301738441,65,0.34311493570279,46,0.316928535801274,65,0.359147543214965,46,0.333669187115326,65,0.0290821083920966,46,0.0287940005166531,65,0.0287030023355213,46,0.0285816543766191,65,0.00733925732298588,46,0.0076910290557298,65,0.00727064586358998,46,0.00735610651726271,65,0.0061611640685065,46,0.00617312746374637,65,0.00617440629069959,46,0.00612385648311295,65,0.0416217301795273,46,0.0415289140632743,65,0.0416715486414308,46,0.0416238147243229
,64,0.335091862547527,47,0.317857645179123,64,0.36488670239321,47,0.350622626625498,64,0.28683898746844,47,0.266425008105524,64,0.31047524047586,47,0.288600437622635,64,0.288349353160576,47,0.266580795549054,64,0.309644875563607,47,0.287833105804007,64,0.341555569392495,47,0.318001450941093,64,0.357679942593461,47,0.334734404276951,64,0.0290957055210211,47,0.0287883851581327,64,0.0287055573975498,47,0.0285519001192433,64,0.00734330942897023,47,0.00768096209190724,64,0.00726356754358797,47,0.0073442584999524,64,0.0061971593695816,47,0.00616482598140459,64,0.00619289598169591,47,0.00610873732483103,64,0.0416300881980044,47,0.0415208352228623,64,0.0416816322054572,47,0.04162031891134
,63,0.334188561671787,48,0.319076130184817,63,0.363927714380178,48,0.351276148022398,63,0.285575707890643,48,0.267418461283116,63,0.309256478087008,48,0.289584393439053,63,0.287033251302789,48,0.267629610103645,63,0.308319935404911,48,0.28887688053343,63,0.340048820709485,48,0.319075651716413,63,0.356291121057235,48,0.335791632625014,63,0.0290776110568339,48,0.0288357614481889,63,0.0286410796044127,48,0.0285128590875804,63,0.00734363607304922,48,0.00764692420927396,63,0.0072928666050113,48,0.00732223313831767,63,0.00618105097991097,48,0.00614520337317469,63,0.00618710750156577,48,0.0060988972456918,63,0.0416023867389991,48,0.0415018302502874,63,0.0416788413148952,48,0.0416090441533615
,62,0.333309879813268,49,0.320196010935824,62,0.363032439696403,49,0.351973848564098,62,0.284364987159219,49,0.268445464862308,62,0.307982352201114,49,0.290514125844765,62,0.285802736426345,49,0.268645548839435,62,0.307043877884717,49,0.289943659130017,62,0.338644598427477,49,0.320113607507478,62,0.354986226243648,49,0.336898482812464,62,0.0290667482833312,49,0.0288860554768675,62,0.0286352714388299,49,0.0285217500611564,62,0.00733528666472621,49,0.00763208628961268,62,0.00728482556151059,49,0.0072976220306119,62,0.00617430938230161,49,0.00613881865249822,62,0.00617625867393391,49,0.00608486953100369,62,0.0416102773759203,49,0.0414986002992982,62,0.0416530351962924,49,0.0416091543565053
,61,0.332468426135946,50,0.320915849293698,61,0.362166173732117,50,0.352617497894067,61,0.283134290477981,50,0.269557037661306,61,0.306790239959937,50,0.291581094281677,61,0.28451583785774,50,0.269778097389472,61,0.305799783026176,50,0.291077717043697,61,0.33723361263914,50,0.32124749096383,61,0.353822024786357,50,0.338021856850944,61,0.0291191489493124,50,0.028816651999264,61,0.028640399849151,50,0.0284996348349789,61,0.00735346011769478,50,0.00762977983602358,61,0.00728168753401364,50,0.00730228997186227,61,0.00616352851827298,50,0.00613905046083195,61,0.00616520822559596,50,0.00609773937381255,61,0.0416197685719705,50,0.0414915443679255,61,0.0416520740861686,50,0.0415970804384496
,60,0.331390366613341,51,0.321771036288805,60,0.361366862097035,51,0.35330933056089,60,0.282002225102744,51,0.270611949088544,60,0.305578501755844,51,0.2926479902783,60,0.283267524802534,51,0.270901884009319,60,0.304543275920625,51,0.292206629532217,60,0.335915338943198,51,0.322391586011521,60,0.352513328512343,51,0.33919050297901,60,0.0290695924969309,51,0.0287768154974201,60,0.0286216287220199,51,0.028461141578672,60,0.00737018452763189,51,0.00760635709613036,60,0.00727127050125362,51,0.00731360870722604,60,0.00614213798548473,51,0.00613863426871905,60,0.00613777964316744,51,0.00607766456721064,60,0.04161100145909,51,0.0414822238249276,60,0.0416569011120905,51,0.0415765998214491
,59,0.330513288846627,52,0.323066082659943,59,0.360630835569061,52,0.354014986884228,59,0.280793596076019,52,0.271756743038727,59,0.304435981667718,52,0.293522817749532,59,0.282025106069186,52,0.272091257901473,59,0.303382057161702,52,0.293379769011925,59,0.334704198698324,52,0.323621152042197,59,0.351145504405886,52,0.340432574435166,59,0.0290498085408577,52,0.028843625401936,59,0.0286383777806997,52,0.0284471614183251,59,0.00736741069498228,52,0.00758542550326021,59,0.00727191035941544,52,0.00725113077406691,59,0.0061449639711523,52,0.00611550458829934,59,0.00616072238870725,52,0.00606052466942288,59,0.0416102796795353,52,0.0414822037880746,59,0.0416385583198456,52,0.0415870742564099
,58,0.329541425963013,53,0.324616480271117,58,0.359746434989769,53,0.354780585199019,58,0.279716625479555,53,0.272955404269874,58,0.303278305794671,53,0.294577745679429,58,0.280836546110363,53,0.273318257994939,58,0.302174220845504,53,0.294552601227643,58,0.333551370904772,53,0.324903350488315,58,0.349870803689556,53,0.341698013484651,58,0.0289599792313121,53,0.0290282284880532,58,0.0285936300899125,53,0.0284556105396644,58,0.00737942088350644,53,0.00759027188019595,58,0.00729733482180355,53,0.00722599268052504,58,0.00613211320079637,53,0.00612672110896148,58,0.00617959953443551,53,0.0060630499262487,58,0.0416032312720188,53,0.0414939907944848,58,0.0416638173762416,53,0.041575523172107
,57,0.32852188932816,54,0.325004473073108,57,0.358841817532175,54,0.355641709583998,57,0.278793423044878,54,0.274101450509581,57,0.302129163828613,54,0.295714709138611,57,0.279644881093017,54,0.27449173171003,57,0.300975354978957,54,0.295715713993882,57,0.332327515889001,54,0.326199123163479,57,0.348622231825684,54,0.342923235420392,57,0.0288713243273521,54,0.0288813524689836,57,0.0285099925047373,54,0.0285282112328434,57,0.00738628008965784,54,0.00758190795453648,57,0.00728036772723105,54,0.0072596107025564,57,0.00614206106367062,54,0.00614024798131633,57,0.00614776847552561,54,0.00609649126315409,57,0.0416224776843611,54,0.0415010188812232,57,0.0416745131830217,54,0.0415789191743288
,56,0.327547872766177,55,0.325743184512953,56,0.358079005532147,55,0.356420034862495,56,0.27770319086174,55,0.275280619900244,56,0.300970485659185,55,0.296831053131689,56,0.278476699093181,55,0.275757918825469,56,0.299714876891153,55,0.296949183581741,56,0.330960442500132,55,0.327440041387673,56,0.347343815792669,55,0.344157552771046,56,0.0288586710316299,55,0.0287630337172189,56,0.0284942127533392,55,0.0285768276716597,56,0.00741379939112089,55,0.00755628795285744,56,0.00728359642085755,55,0.00728994614938702,56,0.0061513274554078,55,0.00610675433353614,56,0.00615243780703855,55,0.00612069129810098,56,0.0416297101045385,55,0.0414975576264888,56,0.0416536857118281,55,0.0415962558789967
,55,0.326655201148656,56,0.326798619275535,55,0.357295949961977,56,0.357175017437682,55,0.276422891462472,56,0.276473738310554,55,0.299993120677292,56,0.297896685515627,55,0.277274307814006,56,0.277037262978439,55,0.298539159634636,56,0.298218027834678,55,0.329723303930449,56,0.328786115464253,55,0.346167579371869,56,0.345497259400895,55,0.0288043349235186,56,0.028764363094947,55,0.0284594117001097,56,0.028515559392047,55,0.00741693368861516,56,0.00755326509535392,55,0.00735037036820596,56,0.00728857881270957,55,0.00613438084052826,56,0.00611568848225196,55,0.00616793208634929,56,0.00607391371540935,55,0.0415949816152707,56,0.0415187115639119,55,0.0416642469652317,56,0.0415691821443797
,54,0.32578319869713,57,0.327894228950653,54,0.356526783491833,57,0.357924590176317,54,0.275331244031888,57,0.27764975844944,54,0.298884446955543,57,0.299012644105343,54,0.276146242963611,57,0.27824389753191,54,0.297415697848806,57,0.299442671416482,54,0.328487440131179,57,0.330064291570094,54,0.344888734444352,57,0.346829643809772,54,0.0287272334727038,57,0.0287897436816567,54,0.0284251666742677,57,0.028402540736188,54,0.00743823462805697,57,0.00753838807777374,54,0.00736799022396848,57,0.00726531050423223,54,0.00613364876992989,57,0.00612269282628962,54,0.00616231729557093,57,0.00605079471973218,54,0.0415853250660814,57,0.0414964753598149,54,0.0416535581871993,57,0.04156694918637
,53,0.32487814443309,58,0.328886943407086,53,0.35580989388728,58,0.358654547507596,53,0.274214560215978,58,0.278840716317788,53,0.297710209994367,58,0.300346582369484,53,0.274975634827659,58,0.279465431482306,53,0.29626408260901,58,0.300776543767666,53,0.327198472865353,58,0.331364580584973,53,0.34366417526305,58,0.348240307114393,53,0.0287168303437281,58,0.0287930469217331,53,0.0284187139037947,58,0.0283977631089641,53,0.0074734773769443,58,0.00751272692864704,53,0.00737241352163442,58,0.00730701082206426,53,0.0061374565044601,58,0.00613306883484416,53,0.0061375408995492,58,0.00606866141453632,53,0.0415919444459466,58,0.0415055156983819,53,0.041640185768665,58,0.0415801815513236
,52,0.323866377146372,59,0.330287739691681,52,0.355084122471026,59,0.359466728671686,52,0.273132815457643,59,0.280082314317022,52,0.296593970201805,59,0.300997658389063,52,0.27381003664927,59,0.28077797000605,52,0.295137318758762,59,0.302030509000504,52,0.325989937077251,59,0.332779193916275,52,0.342431535150224,59,0.349596483504873,52,0.0287366522473015,59,0.028855630647621,52,0.0284227653121462,59,0.0284388346928139,52,0.00748235223789273,59,0.00746179386659411,52,0.00739714357166066,59,0.00714490797053393,52,0.0061431981504622,59,0.00611588664633883,52,0.0061584614448039,59,0.0060813608850941,52,0.0415879768048188,59,0.0415218963699956,52,0.0416568859888108,59,0.0416105059352108
,51,0.323020722804663,60,0.331704634822473,51,0.354340658295897,60,0.360265000753147,51,0.272036829648922,60,0.28136787797172,51,0.295567515053822,60,0.302075805046814,51,0.2726443307126,60,0.282077998042216,51,0.293986997779221,60,0.303368893665131,51,0.324776420391527,60,0.334123353090395,51,0.341176898070003,60,0.350961972023381,51,0.0287328514902445,60,0.0288921266464031,51,0.0284264022361696,60,0.0283991450009215,51,0.00751664844798991,60,0.00744487007759649,51,0.00742113308067865,60,0.0071242429121144,51,0.00612904410908694,60,0.00609416545796135,51,0.00619041263013785,60,0.00606969231616544,51,0.0415621214083702,60,0.0415350276412043,51,0.0416591902173113,60,0.0416015505283498
,50,0.322153858131219,61,0.332353081409673,50,0.353630746183394,61,0.361106261252112,50,0.27107274902302,61,0.282644615605236,50,0.294492589501708,61,0.303061730533107,50,0.271604705495984,61,0.28338042008761,50,0.292909272958975,61,0.304775074776934,50,0.323536990652362,61,0.335468508857789,50,0.339972919833809,61,0.352311243504754,50,0.0287204219455986,61,0.0288175997519371,50,0.0284224038394036,61,0.0283979158534705,50,0.00756495840020141,61,0.00741322995738158,50,0.00741945567262411,61,0.00707923136134467,50,0.00614444907062979,61,0.00611886281189226,50,0.00618134582323699,61,0.00604388013539739,50,0.0415529957522797,61,0.0415451252803356,50,0.0416359482316942,61,0.0415861663416192
,49,0.321097504114369,62,0.333271168596812,49,0.35299363061455,62,0.362070629241677,49,0.270012514697018,62,0.28393817031577,49,0.29340036750158,62,0.304207897317483,49,0.270688376537204,62,0.284719612097419,49,0.291820899832465,62,0.306340622204035,49,0.322329822690442,62,0.336862889075531,49,0.338827263021954,62,0.353681785236458,49,0.0286752070349927,62,0.0288418200147853,49,0.0284346233003596,62,0.0284519696400721,49,0.0075892345331729,62,0.00737477976483051,49,0.00741358535821014,62,0.00707126628224897,49,0.00616464554821108,62,0.00613348393520229,49,0.00616640824495409,62,0.00603612486240613,49,0.0415482426253044,62,0.0415534147604922,49,0.0416189067055678,62,0.0415988068611153
,48,0.320279309698574,63,0.334634859625461,48,0.352280413209628,63,0.363102202869982,48,0.268999214796812,63,0.285302111373146,48,0.292399735260155,63,0.305443959903544,48,0.269570288399215,63,0.286076392588505,48,0.290737115757356,63,0.307695194362991,48,0.321216943823824,63,0.338293171473805,48,0.337652071160427,63,0.355131845835397,48,0.028718923750987,63,0.0289014810646202,48,0.0284475733501519,63,0.028482459117802,48,0.00760121515015419,63,0.00737034412270399,48,0.00742606371635809,63,0.0070836898738736,48,0.00616238328626873,63,0.00614878933436881,48,0.00619834785555529,63,0.00603433688223914,48,0.0415494799853709,63,0.0415729565006615,48,0.0416389183512328,63,0.041614553916263
,47,0.319327417077777,64,0.336040332802545,47,0.35164027276579,64,0.364149617747733,47,0.268001401811196,64,0.28668977652352,47,0.29138607615164,64,0.306711009554788,47,0.268518001848943,64,0.287477908557934,47,0.289708903317431,64,0.30896729658211,47,0.320075003075445,64,0.339788664828007,47,0.336533246906837,64,0.356579016641583,47,0.0287102158780177,64,0.0289893605324537,47,0.0284454511050779,64,0.0285454947377418,47,0.00763610563703031,64,0.0073576567902194,47,0.00742187547629383,64,0.00710553264880389,47,0.00615361351859497,64,0.00612144147674636,47,0.00617005081720302,64,0.00603351125714677,47,0.0415407526874601,64,0.0415911887124266,47,0.0416313363801508,64,0.0416176206266277
,46,0.318437847466652,65,0.33726260570216,46,0.350939619897488,65,0.365085897722386,46,0.267030143415398,65,0.288084680428426,46,0.290463357805874,65,0.307722815240318,46,0.267590286572912,65,0.288868716977175,46,0.288720636545021,65,0.310380275258789,46,0.318970592284703,65,0.341234894451316,46,0.335501299401387,65,0.358036935679903,46,0.0287090127464394,65,0.0291080617943338,46,0.0284387251050641,65,0.0285897367962094,46,0.0076677521866983,65,0.00735407079047863,46,0.00747748543259844,65,0.00707867530601159,46,0.00616784643631182,65,0.00612222252079954,46,0.00618198459261111,65,0.00603998274751506,46,0.0415232986144175,65,0.0415860501181654,46,0.0416156793815176,65,0.041604504768246
,45,0.317602560054049,66,0.338397529964719,45,0.350391503637998,66,0.36617779073472,45,0.266058250113508,66,0.289571375346478,45,0.289428125591008,66,0.308648259928727,45,0.26643517564722,66,0.290372692808101,45,0.287771401585781,66,0.311943922758209,45,0.317904034185726,66,0.342736540531173,45,0.334409676425026,66,0.359571392049345,45,0.0287084153864977,66,0.0290905453998198,45,0.0284644101953343,66,0.028639695742189,45,0.00767695912315539,66,0.00734444933926486,45,0.00748614743202326,66,0.00698554555777432,45,0.006180306426537,66,0.00613086413573411,45,0.0061662643476696,66,0.00609145285335743,45,0.0415240957000833,66,0.0415826768521733,45,0.0416234164088533,66,0.0416301020271484
,44,0.316636991007697,67,0.339671175465816,44,0.349706394970451,67,0.367395799194534,44,0.265090518264017,67,0.291063922199255,44,0.288493946204923,67,0.3105962193459,44,0.265623019144284,67,0.292032770170206,44,0.286788249104397,67,0.313529897370366,44,0.316904047858811,67,0.344384581614482,44,0.333351635631684,67,0.361187123411079,44,0.0286942979988311,67,0.0291103037472106,44,0.0284550472826815,67,0.0286822939306078,44,0.00768446291875054,67,0.00736056926578279,44,0.00749847285761158,67,0.00720540640804014,44,0.00619188893471767,67,0.00613929303417177,44,0.00615734337779472,67,0.00609773570207496,44,0.0415280757878062,67,0.0415946976358466,44,0.0416117357162245,67,0.0416493171971754
,43,0.315831431610131,68,0.340876070687903,43,0.34904615415367,68,0.368588241764254,43,0.264200638315987,68,0.292566048907987,43,0.287483318097459,68,0.312058643791807,43,0.264758763489643,68,0.293697273438447,43,0.285767145062277,68,0.315104918738133,43,0.315946249013611,68,0.345971422997897,43,0.332338909659697,68,0.362803111259801,43,0.0287164040314026,68,0.0290946907983417,43,0.0284657689829297,68,0.0286747553568179,43,0.00768680045503336,68,0.00736258011139219,43,0.00749659785196745,68,0.00726411089332751,43,0.00618503277421701,68,0.00613720711175701,43,0.00617300858811243,68,0.00607427260901216,43,0.0415221716911531,68,0.0415747966893071,43,0.0416064574007527,68,0.0416347195866943
,42,0.315007082212534,69,0.342062706892038,42,0.3483358054076,69,0.369633900434353,42,0.263349958493475,69,0.294196658622334,42,0.286489888259523,69,0.312332970292804,42,0.263709485962667,69,0.29538883285958,42,0.284780344601977,69,0.316778210063628,42,0.315069299691094,69,0.347681475246156,42,0.331364841091457,69,0.364437771065958,42,0.0287152625180258,69,0.0290543754810536,42,0.028459585767441,69,0.0286467139363195,42,0.00771680947679659,69,0.00734574482552655,42,0.00749164340596826,69,0.00693845138341534,42,0.00617914722214336,69,0.00613840637701124,42,0.00617591438266321,69,0.00606941843402309,42,0.0415305604981076,69,0.0415789209772996,42,0.0416016042408159,69,0.0416252747618777
,41,0.314114076826719,70,0.343393675995895,41,0.347706279896431,70,0.370998994070882,41,0.262455571189294,70,0.295903198146203,41,0.285494947934649,70,0.313701228768957,41,0.262888548483701,70,0.297169017371246,41,0.283849156795176,70,0.318531618392884,41,0.314207652398659,70,0.349570171112044,41,0.330450794145566,70,0.366289371944108,41,0.0286813749967788,70,0.0290898249932577,41,0.0284528165283862,70,0.0286854917225159,41,0.007730953941752,70,0.00733427964519731,41,0.00749013177396814,70,0.00703063566062072,41,0.00617804106778162,70,0.00614364717731519,41,0.00618496843080844,70,0.0060670043432643,41,0.0415370374679584,70,0.0415853916457098,41,0.0416065321703652,70,0.0416323433586248
,40,0.313191349746321,71,0.344772192709727,40,0.347094911448227,71,0.372083914422244,40,0.261544366108567,71,0.297715061300411,40,0.284567674928802,71,0.315224507687952,40,0.262061713007914,71,0.299083972541023,40,0.28287732534501,71,0.320303379623015,40,0.313297209305577,71,0.351496659395742,40,0.329517982976291,71,0.3680810797212,40,0.0286669323262391,71,0.0291142531262856,40,0.0284269258715723,71,0.0286617554996571,40,0.00772427507676677,71,0.00730796016377802,40,0.00750282118732587,71,0.00711605285832859,40,0.006176474690594,71,0.00614595756671632,40,0.00612873632651455,71,0.00609562491479955,40,0.041541114393261,71,0.0415547715719545,40,0.041588367072577,71,0.0416469166215707
