CSV Report,2023-11-10_RNA_melting_MgCl2_KCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,500 mM MgCl2_260.00nm_90.0-21.0C,,500 mM MgCl2_260.00nm_21.0-90.0C,,500 mM MgCl2_260.00nm_90.0-21.0C_R1,,500 mM MgCl2_260.00nm_21.0-90.0C_R1,,50 mM MgCl2_260.00nm_90.0-21.0C,,50 mM MgCl2_260.00nm_21.0-90.0C,,50 mM MgCl2_260.00nm_90.0-21.0C_R1,,50 mM MgCl2_260.00nm_21.0-90.0C_R1,,25 mM MgCl2_260.00nm_90.0-21.0C,,25 mM MgCl2_260.00nm_21.0-90.0C,,25 mM MgCl2_260.00nm_90.0-21.0C_R1,,25 mM MgCl2_260.00nm_21.0-90.0C_R1,,10 mM MgCl2_260.00nm_90.0-21.0C,,10 mM MgCl2_260.00nm_21.0-90.0C,,10 mM MgCl2_260.00nm_90.0-21.0C_R1,,10 mM MgCl2_260.00nm_21.0-90.0C_R1,,500 mM MgCl2_400.00nm_90.0-21.0C,,500 mM MgCl2_400.00nm_21.0-90.0C,,500 mM MgCl2_400.00nm_90.0-21.0C_R1,,500 mM MgCl2_400.00nm_21.0-90.0C_R1,,50 mM MgCl2_400.00nm_90.0-21.0C,,50 mM MgCl2_400.00nm_21.0-90.0C,,50 mM MgCl2_400.00nm_90.0-21.0C_R1,,50 mM MgCl2_400.00nm_21.0-90.0C_R1,,25 mM MgCl2_400.00nm_90.0-21.0C,,25 mM MgCl2_400.00nm_21.0-90.0C,,25 mM MgCl2_400.00nm_90.0-21.0C_R1,,25 mM MgCl2_400.00nm_21.0-90.0C_R1,,10 mM MgCl2_400.00nm_90.0-21.0C,,10 mM MgCl2_400.00nm_21.0-90.0C,,10 mM MgCl2_400.00nm_90.0-21.0C_R1,,10 mM MgCl2_400.00nm_21.0-90.0C_R1,
,86,0.355097957759123,25,0.299842638651511,86,0.38647619955203,25,0.33682937971309,86,0.322023623540004,25,0.250085550051976,86,0.343589914006327,25,0.269716831823556,86,0.32754758645737,25,0.251006265167709,86,0.345782913659327,25,0.268891502038336,86,0.384031715847638,25,0.30322006071053,86,0.398312951440047,25,0.317162304531199,86,0.0303225004640512,25,0.0290212742909005,86,0.0288675553426488,25,0.028680603185519,86,0.0072527084794902,25,0.00783192910038435,86,0.00716860957129221,25,0.00748348192116102,86,0.0061293897927223,25,0.00626331824865207,86,0.00622551586297107,25,0.00620889235676723,86,0.0416783007345961,25,0.0417591800472282,86,0.0416893493323356,25,0.0418165424835532
,85,0.354782949883405,26,0.300350911598297,85,0.385319024265592,26,0.337502776787845,85,0.320191743448957,26,0.250764808901366,85,0.342144157009565,26,0.270357817392531,85,0.326028159000091,26,0.251720190271828,85,0.344164986647584,26,0.269847346626848,85,0.382047605550725,26,0.303849178702849,85,0.396186683972455,26,0.317971133629332,85,0.0296329078211238,26,0.0289606982642217,85,0.0288767466684914,26,0.0287078106104753,85,0.0071723627129078,26,0.00783559899879509,85,0.00714750321803245,26,0.00749337089371498,85,0.00611587248124334,26,0.00623819789547335,85,0.00623020411706413,26,0.00620441843890409,85,0.041621100252637,26,0.0417426836197737,85,0.0416743420971014,26,0.0417930507154418
,84,0.354410512631886,27,0.300944001353604,84,0.384078975657517,27,0.338085203088489,84,0.31841575441808,27,0.251407367812574,84,0.340670063641502,27,0.270983288985937,84,0.32425721593615,27,0.252378082192677,84,0.342519307240932,27,0.27065945147082,84,0.380062079268712,27,0.304308924454903,84,0.394049561439114,27,0.318459511259994,84,0.0293497442262539,27,0.0289443589045572,84,0.0288662970534193,27,0.0287174438810186,84,0.00713866479536508,27,0.00783940856728525,84,0.00715068463521221,27,0.00747409806814133,84,0.00612013765619587,27,0.00623744595859617,84,0.00621530704989901,27,0.0062053346762973,84,0.0416073544124848,27,0.0417339133119073,84,0.0416821431052775,27,0.0417703398784053
,83,0.353936400672357,28,0.301674119688745,83,0.382868922418089,28,0.33851969863115,83,0.316862069681602,28,0.251914843759905,83,0.339098540109902,28,0.271708430359733,83,0.322597648268617,28,0.252821552867194,83,0.340839326953981,28,0.271264922148771,83,0.378017232942493,28,0.304538847149651,83,0.392022937332981,28,0.318951167237625,83,0.0292478239174529,28,0.0289647714586053,83,0.0288163490107036,28,0.0286723990688402,83,0.00712590773124826,28,0.00783917874224555,83,0.00716922184331825,28,0.00746968327611823,83,0.00612386430136328,28,0.00622945002786443,83,0.00619921582792883,28,0.00622309864152478,83,0.0415893055666963,28,0.0417052744256437,83,0.0416856671499769,28,0.0417847789157732
,82,0.353344826459604,29,0.302381282667333,82,0.381647338259106,29,0.339144498124358,82,0.315414846694736,29,0.25229418825345,82,0.337500519110046,29,0.272444065405731,82,0.320677083816348,29,0.253050001689202,82,0.339076514951506,29,0.271716656044359,82,0.375903512650058,29,0.305023847803845,82,0.390054026458982,29,0.319791578518574,82,0.0292614256970485,29,0.0289464701840995,82,0.028813964315234,29,0.0286422144188147,82,0.00714672765301277,29,0.00781352419406164,82,0.00716201012782602,29,0.00744730015706127,82,0.00611803433395411,29,0.00619629274264626,82,0.00619185239803985,29,0.0061909499859662,82,0.0415703480430471,29,0.041679527036157,82,0.0416754037530846,29,0.0417508729537514
,81,0.353395342894698,30,0.30308618289083,81,0.380484675863991,30,0.339750442413445,81,0.314006296081199,30,0.252823987792404,81,0.336018843846619,30,0.27319508122028,81,0.318752628690467,30,0.253526244664627,81,0.337391130662906,30,0.272376675042456,81,0.373856338519085,30,0.305725798812303,81,0.388049715321478,30,0.320643915826799,81,0.0292669686943074,30,0.0289292432494351,81,0.0288191981328069,30,0.0286167178964814,81,0.00715884733093928,30,0.00780061796245243,81,0.00717987804031529,30,0.00743203868055776,81,0.00611218400435709,30,0.00621077913282205,81,0.00617963123148986,30,0.00614554607268008,81,0.0415632692749546,30,0.0416821919520618,81,0.0416755998264032,30,0.0417098202035358
,80,0.352651882539998,31,0.3038851129369,80,0.379465836805695,31,0.340360482154986,80,0.312413889750996,31,0.253568702030187,80,0.334491133929195,31,0.27400514391656,80,0.316715698330919,31,0.254275015153679,80,0.335651575366365,31,0.273316909513622,80,0.371853388183882,31,0.3061578048941,80,0.386122994162933,31,0.321277771672145,80,0.0292132180036678,31,0.0289481706815664,80,0.0288031399349725,31,0.0286063724416255,80,0.00715964577366942,31,0.00780054438676482,80,0.00718726657632717,31,0.00743995980928402,80,0.00612796122719287,31,0.00622775530029877,80,0.00616017107443115,31,0.00613464176558491,80,0.0415853868117477,31,0.0416808019038181,80,0.0416758948071574,31,0.0417211380606349
,79,0.351763602469534,32,0.304696502999925,79,0.378413139088944,32,0.340979179634762,79,0.310748229333811,32,0.254214063535392,79,0.332927361192048,32,0.274794310385978,79,0.31470764962375,32,0.254852924022358,79,0.33382351076305,32,0.274076083757191,79,0.369724611307859,32,0.306651433494988,79,0.384185695978316,32,0.321910965178629,79,0.0292709777945544,32,0.0289402201386492,79,0.0287720397961586,32,0.0285997042347476,79,0.00717001815791022,32,0.00778705212080461,79,0.00718441890739598,32,0.007421312222808,79,0.00615048232184755,32,0.00620852735247268,79,0.00614561294078934,32,0.00612799012142472,79,0.0415890004424257,32,0.0416618327749092,79,0.0416466284705885,32,0.0417059912274809
,78,0.350579163532388,33,0.305481350289308,78,0.377450759383281,33,0.341647054251125,78,0.309153974349512,33,0.254798820698571,78,0.331517040811136,33,0.275635159911771,78,0.312898523440101,33,0.255366431990943,78,0.332121592098574,33,0.274765016320685,78,0.367511318892049,33,0.307251131646371,78,0.382159218132713,33,0.322623095499831,78,0.0292179073301473,33,0.0289134842225424,78,0.0287428203722387,33,0.0286031562172004,78,0.00718022039675004,33,0.00778396490276326,78,0.00719962332230773,33,0.00741340963459349,78,0.00615474672959201,33,0.00621116494327239,78,0.00614375471160559,33,0.0061340085115492,78,0.0415521748414279,33,0.0416449069266259,78,0.0416610782454535,33,0.0417058572912407
,77,0.349461354323103,34,0.30631426923653,77,0.377692676582567,34,0.342264880877519,77,0.307473813221777,34,0.25548419703049,77,0.329989618437186,34,0.276468021060162,77,0.310974408217041,34,0.256026251151496,77,0.330223694184815,34,0.27559318825192,77,0.365389001706002,34,0.307792281159368,77,0.380207360191656,34,0.323331806638044,77,0.029193443944321,34,0.028922061555401,77,0.0287479282435686,34,0.0286271493134374,77,0.00718403000828896,34,0.00777567358726408,77,0.00722577361382248,34,0.00742219143438562,77,0.00616554316728653,34,0.00621827857165387,77,0.00616377591684512,34,0.00614828878523947,77,0.0415546665827706,34,0.0416366637160621,77,0.0416759193780153,34,0.0417110626471893
