CSV Report,2023-11-01_RNA_melting_HEPES_NaCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,4.15 mM NaCl_260.00nm_90.0-21.0C,,4.15 mM NaCl_260.00nm_21.0-90.0C,,4.15 mM NaCl_260.00nm_90.0-21.0C_R1,,4.15 mM NaCl_260.00nm_21.0-90.0C_R1,,1.66 mM NaCl_260.00nm_90.0-21.0C,,1.66 mM NaCl_260.00nm_21.0-90.0C,,1.66 mM NaCl_260.00nm_90.0-21.0C_R1,,1.66 mM NaCl_260.00nm_21.0-90.0C_R1,,0.8 mM NaCl_260.00nm_90.0-21.0C,,0.8 mM NaCl_260.00nm_21.0-90.0C,,0.8 mM NaCl_260.00nm_90.0-21.0C_R1,,0.8 mM NaCl_260.00nm_21.0-90.0C_R1,,0.08 mM NaCl_260.00nm_90.0-21.0C,,0.08 mM NaCl_260.00nm_21.0-90.0C,,0.08 mM NaCl_260.00nm_90.0-21.0C_R1,,0.08 mM NaCl_260.00nm_21.0-90.0C_R1,,4.15 mM NaCl_400.00nm_90.0-21.0C,,4.15 mM NaCl_400.00nm_21.0-90.0C,,4.15 mM NaCl_400.00nm_90.0-21.0C_R1,,4.15 mM NaCl_400.00nm_21.0-90.0C_R1,,1.66 mM NaCl_400.00nm_90.0-21.0C,,1.66 mM NaCl_400.00nm_21.0-90.0C,,1.66 mM NaCl_400.00nm_90.0-21.0C_R1,,1.66 mM NaCl_400.00nm_21.0-90.0C_R1,,0.8 mM NaCl_400.00nm_90.0-21.0C,,0.8 mM NaCl_400.00nm_21.0-90.0C,,0.8 mM NaCl_400.00nm_90.0-21.0C_R1,,0.8 mM NaCl_400.00nm_21.0-90.0C_R1,,0.08 mM NaCl_400.00nm_90.0-21.0C,,0.08 mM NaCl_400.00nm_21.0-90.0C,,0.08 mM NaCl_400.00nm_90.0-21.0C_R1,,0.08 mM NaCl_400.00nm_21.0-90.0C_R1,
,86,0.553140591579994,25,0.348013009763567,86,0.557367138819774,25,0.349779135282063,86,0.376452447866966,25,0.310817339575989,86,0.391466673621618,25,0.323489604777557,86,0.343542245710733,25,0.311395411628783,86,0.358396994837333,25,0.323509261453257,86,0.338882798872309,25,0.309091235399873,86,0.348647617092766,25,0.313778405084112,86,0.0252276709999757,25,0.0256189602990537,86,0.0243902254630001,25,0.0247030537213987,86,0.00963037893654533,25,0.0100609236081835,86,0.00910675390983561,25,0.00923993625489139,86,0.00505382565846217,25,0.00493418550214786,86,0.00444837272223239,25,0.00422934315524078,86,0.0268902629004058,25,0.026787090133453,86,0.0260605105888689,25,0.0259738874058863
,85,0.55157048319641,26,0.350256478089174,85,0.554186390145894,26,0.352192450349347,85,0.376382257539545,26,0.312159167660088,85,0.390674376744592,26,0.324889028357543,85,0.34435324560157,26,0.312150635907283,85,0.358395724738618,26,0.327507153352121,85,0.338440725528298,26,0.310030878591495,85,0.348763048935955,26,0.314969249306428,85,0.0252809932869356,26,0.0255796542266785,85,0.0244790952545099,26,0.0247406196246972,85,0.00963738635464506,26,0.0100509294338188,85,0.00918023268442011,26,0.00925982402530717,85,0.00509019856864409,26,0.00491936416063812,85,0.0045064865310724,26,0.00425878842725741,85,0.0268966850968522,26,0.0267733686694415,85,0.0261309811382558,26,0.0259880400348291
,84,0.548522293559917,27,0.352694274798712,84,0.550666234593262,27,0.354583512449221,84,0.375599272843702,27,0.313551079236369,84,0.389971414610064,27,0.326294497608409,84,0.343532480604629,27,0.313000574736724,84,0.358513492158188,27,0.330059323117524,84,0.339060012455905,27,0.31095643377189,84,0.348838178639721,27,0.316173894574543,84,0.0252817593907494,27,0.0255871959116534,84,0.0245388425387522,27,0.0247427047652473,84,0.00963473255853637,27,0.0100373644037688,84,0.00921393850378833,27,0.00925361646217955,84,0.00509998553337397,27,0.00490805138571655,84,0.00453852383282835,27,0.00425347241375883,84,0.0268782797867086,27,0.0267722127087966,84,0.0261569147544344,27,0.0259978494194665
,83,0.545254807321987,28,0.355321607194812,83,0.546913655817237,28,0.357223912922335,83,0.375126400434353,28,0.314962037620826,83,0.389670955477191,28,0.32774381194498,83,0.343413840876129,28,0.313882269675329,83,0.35859549588281,28,0.328960012377992,83,0.339082714665738,28,0.311754671434316,83,0.349015562314763,28,0.317292361444292,83,0.0253062783442673,28,0.0256604306883195,83,0.0245265514947087,28,0.02469824919988,83,0.00964230416491235,28,0.0100502852776473,83,0.00921054261870975,28,0.00924378632209272,83,0.00510527712534783,28,0.00493943583843306,83,0.00450263343346625,28,0.00421346537484124,83,0.0268681928245871,28,0.0268163292888544,83,0.0261087760283598,28,0.025969458600486
,82,0.541863104473507,29,0.358031845155093,82,0.543204936923276,29,0.359897861973564,82,0.374705193078657,29,0.316428887380892,82,0.389498309848975,29,0.329255924535578,82,0.343719582050959,29,0.314767186635595,82,0.358682037067589,29,0.328705430248636,82,0.338696833845648,29,0.312403974867417,82,0.349274229644927,29,0.318199144447344,82,0.0253091682998583,29,0.025630038475063,82,0.024522692942538,29,0.0246546285204184,82,0.00966767847012883,29,0.0100332186091266,82,0.0092300117391005,29,0.00923263123970654,82,0.0051033201339016,29,0.00493503962788822,82,0.00448288885689973,29,0.00419149774806468,82,0.0268711223385009,29,0.0268010467747832,82,0.026133779461797,29,0.0259463702009852
,81,0.538362641316587,30,0.360728238075741,81,0.539415281157876,30,0.362509810182268,81,0.374294119651392,30,0.317872399850976,81,0.389396117627151,30,0.330752137796258,81,0.343988167697225,30,0.315666329226242,81,0.358775935852403,30,0.32912209669021,81,0.338417337682035,30,0.313087234851327,81,0.34948910300431,30,0.318990237470176,81,0.0253065897149981,30,0.0255614843668542,81,0.0245347759980033,30,0.0246708613324811,81,0.00967088286886559,30,0.0100093286128309,81,0.00923595373281806,30,0.00922996493840474,81,0.00511592932693646,30,0.0048975551559942,81,0.0044913224848617,30,0.00422160725013497,81,0.026891780224176,30,0.0267489162172526,81,0.026133285378895,30,0.0259741587388654
,80,0.535005204981079,31,0.363463037030631,80,0.535885933214657,31,0.36524711638316,80,0.373886510298797,31,0.319316977789856,80,0.389296014116987,31,0.332232733514727,80,0.344261928766269,31,0.316639097361086,80,0.358872181557974,31,0.330032452201228,80,0.338515396979412,31,0.313889400756053,80,0.349524872272686,31,0.319993385458968,80,0.0253262718438149,31,0.0255600345438808,80,0.0245095120902345,31,0.0247062427419062,80,0.00968438401596013,31,0.0100281877658329,80,0.00924113328839011,31,0.00923740560220044,80,0.00512011773495242,31,0.00489681502055966,80,0.00447089449694647,31,0.00422822551826559,80,0.0268905092119069,31,0.0267428419426148,80,0.0260952687967054,31,0.0260026298572775
,79,0.531731491468969,32,0.366248272163935,79,0.532284834412567,32,0.367945976364108,79,0.373434667543499,32,0.320737468639496,79,0.388967714138711,32,0.333689518112795,79,0.344434647645169,32,0.317657464442423,79,0.358873948240802,32,0.331203465820489,79,0.338644299294849,32,0.314670335498449,79,0.34942020707301,32,0.320943039793573,79,0.0253413294537109,32,0.025563492119305,79,0.0245068781007373,32,0.0247160598542971,79,0.00969304183969044,32,0.0100472087205749,79,0.00926753292505779,32,0.00923661556559568,79,0.00510971855627777,32,0.00490113833185337,79,0.00445313760814184,32,0.00421245178791599,79,0.0268739270158803,32,0.0267377966303188,79,0.0261121810140088,32,0.026000165095075
,78,0.528279741943426,33,0.369024144803946,78,0.528754515192873,33,0.370864291416397,78,0.372903816899698,33,0.322172429215746,78,0.388455091446576,33,0.335160228854795,78,0.34442614615334,33,0.318770677945106,78,0.358848486708548,33,0.332361816281025,78,0.338867769941747,33,0.315376593382354,78,0.349327381114018,33,0.321765840918554,78,0.0253392148288288,33,0.0255599957022639,78,0.0245255376615117,33,0.0246845989295894,78,0.00969173438950729,33,0.0100541909657947,78,0.00928421365522043,33,0.00923766499356468,78,0.0051071131776895,33,0.00491259447671561,78,0.00445749284918632,33,0.00421090430421774,78,0.0268735163250498,33,0.0267443229826308,78,0.026119513100895,33,0.0259862098291402
,77,0.524740905016125,34,0.371786018371519,77,0.525073195032724,34,0.373694987850482,77,0.372405005552793,34,0.323530893819027,77,0.387834604125041,34,0.336622235123844,77,0.344380370831531,34,0.319891821283874,77,0.358782493408005,34,0.333386753464699,77,0.33904696875704,34,0.316153633780211,77,0.349271655662279,34,0.322659764473159,77,0.0253498615169403,34,0.0255884580362455,77,0.0245376679426771,34,0.0246856079109382,77,0.00971209014062163,34,0.0100464322869245,77,0.00927690731924463,34,0.0092465668921622,77,0.00510802156948754,34,0.00493282777559885,77,0.00446585592266102,34,0.00422053387222135,77,0.026879347172587,34,0.0267835601002384,77,0.0261077333281904,34,0.0259838695026948
