CSV Report,2023-11-01_RNA_melting_HEPES_NaCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,4.15 mM NaCl_260.00nm_90.0-21.0C,,4.15 mM NaCl_260.00nm_21.0-90.0C,,4.15 mM NaCl_260.00nm_90.0-21.0C_R1,,4.15 mM NaCl_260.00nm_21.0-90.0C_R1,,1.66 mM NaCl_260.00nm_90.0-21.0C,,1.66 mM NaCl_260.00nm_21.0-90.0C,,1.66 mM NaCl_260.00nm_90.0-21.0C_R1,,1.66 mM NaCl_260.00nm_21.0-90.0C_R1,,0.8 mM NaCl_260.00nm_90.0-21.0C,,0.8 mM NaCl_260.00nm_21.0-90.0C,,0.8 mM NaCl_260.00nm_90.0-21.0C_R1,,0.8 mM NaCl_260.00nm_21.0-90.0C_R1,,0.08 mM NaCl_260.00nm_90.0-21.0C,,0.08 mM NaCl_260.00nm_21.0-90.0C,,0.08 mM NaCl_260.00nm_90.0-21.0C_R1,,0.08 mM NaCl_260.00nm_21.0-90.0C_R1,,4.15 mM NaCl_400.00nm_90.0-21.0C,,4.15 mM NaCl_400.00nm_21.0-90.0C,,4.15 mM NaCl_400.00nm_90.0-21.0C_R1,,4.15 mM NaCl_400.00nm_21.0-90.0C_R1,,1.66 mM NaCl_400.00nm_90.0-21.0C,,1.66 mM NaCl_400.00nm_21.0-90.0C,,1.66 mM NaCl_400.00nm_90.0-21.0C_R1,,1.66 mM NaCl_400.00nm_21.0-90.0C_R1,,0.8 mM NaCl_400.00nm_90.0-21.0C,,0.8 mM NaCl_400.00nm_21.0-90.0C,,0.8 mM NaCl_400.00nm_90.0-21.0C_R1,,0.8 mM NaCl_400.00nm_21.0-90.0C_R1,,0.08 mM NaCl_400.00nm_90.0-21.0C,,0.08 mM NaCl_400.00nm_21.0-90.0C,,0.08 mM NaCl_400.00nm_90.0-21.0C_R1,,0.08 mM NaCl_400.00nm_21.0-90.0C_R1,
,76,0.521026585054581,35,0.374681557956885,76,0.52156699138636,35,0.376427062106685,76,0.371823003794629,35,0.324928889742001,76,0.387171296151901,35,0.33804116909184,76,0.344409194915947,35,0.32111984440013,76,0.358651861836922,35,0.334562238667986,76,0.339090059142245,35,0.316965117382463,76,0.349263586902983,35,0.323520312638732,76,0.0253593538945807,35,0.0256020296537068,76,0.0245220603388334,35,0.0247028232737801,76,0.00972284524755665,35,0.0100267303052657,76,0.00927501488802826,35,0.00922712822621811,76,0.00508619993308531,35,0.00492986891605307,76,0.00447108159082728,35,0.00424556340743347,76,0.0268799589142687,35,0.0267726878727549,76,0.0261143854296128,35,0.0259987707988656
,75,0.517530183180059,36,0.377544456072748,75,0.518278227745663,36,0.379249265696078,75,0.371189686965024,36,0.326316116304525,75,0.386441107771447,36,0.33942810342786,75,0.344231512927953,36,0.322355128498713,75,0.358518764346428,36,0.335853635273972,75,0.339026028384958,36,0.317816141662004,75,0.349303810445894,36,0.32433278656292,75,0.0253216534887444,36,0.0255709923721828,75,0.0245647768069983,36,0.0247062567032445,75,0.00973452142233729,36,0.0100247913732671,75,0.00930779392559668,36,0.00919613005960821,75,0.00505696184274829,36,0.00491411296324195,75,0.00450771647851715,36,0.00426685086957345,75,0.0268727562733621,36,0.0267481865931123,75,0.0261441668780063,36,0.0260060534765064
,74,0.513916030268422,37,0.380406836427161,74,0.514853797136977,37,0.382157050726675,74,0.370518293713766,37,0.327723907465542,74,0.3856663147584,37,0.34088786788326,74,0.343907454589024,37,0.323583090718375,74,0.358108213337808,37,0.337081675258394,74,0.338857821394509,37,0.318668430375222,74,0.349299861407836,37,0.325225638443312,74,0.0253337815573651,37,0.0255597156448841,74,0.0245932140414553,37,0.024700411129895,74,0.00976805669183336,37,0.0100152286214769,74,0.0093378241623586,37,0.00919153145913984,74,0.00507062675016172,37,0.00491461022450613,74,0.00448869181862537,37,0.00426528340244804,74,0.0268872552765364,37,0.0267494252830407,74,0.0261355761911104,37,0.0260093278027635
,73,0.510316398462948,38,0.383406840101385,73,0.511358550269451,38,0.385140650842753,73,0.369798260873171,38,0.329152298764628,73,0.384733998717197,38,0.342339347887541,73,0.343919293458181,38,0.324783196967553,73,0.357865520963178,38,0.338155348693615,73,0.338645348472857,38,0.319566978499788,73,0.349301871592062,38,0.326045702222071,73,0.0253667412194954,38,0.0255762946155275,73,0.0246068929375242,38,0.0246864627789996,73,0.0097840728429816,38,0.00998756256819287,73,0.00932852573692194,38,0.00919555595114536,73,0.00507295465865717,38,0.00492701253631926,73,0.00449443566583944,38,0.00424356010718372,73,0.026898227021095,38,0.0267394738427994,73,0.0261444675084207,38,0.0260037227399727
,72,0.506829809160941,39,0.38630611033207,72,0.507956162210572,39,0.388086227939289,72,0.369089231754048,39,0.330650383546205,72,0.383858814833197,39,0.34385634535667,72,0.343746057613443,39,0.325916688652187,72,0.357700403817911,39,0.3393134960356,72,0.338366644391162,39,0.320449618362639,72,0.349206139536885,39,0.326923170640522,72,0.0253632183939718,39,0.0255804545125827,72,0.0245809801310561,39,0.0246979367480666,72,0.00981342031834125,39,0.0100008492403487,72,0.00931696001644828,39,0.00920740529354329,72,0.00506899449582705,39,0.00493356581249404,72,0.00446725515758669,39,0.00424044112107931,72,0.0268891980348426,39,0.0267692368736596,72,0.0261147771724839,39,0.026015953900002
,71,0.503498056556039,40,0.389427492936182,71,0.504566585711562,40,0.391054262820867,71,0.368270856261656,40,0.332138203526154,71,0.382979439186043,40,0.345372748191842,71,0.343385361202814,40,0.327018400775541,71,0.357436988073784,40,0.34040514185045,71,0.338066846755046,40,0.321363092121044,71,0.349108542488975,40,0.327798102174597,71,0.025398933073472,40,0.025581208457689,71,0.0245851521768793,40,0.0246750338180492,71,0.00983933930611959,40,0.010007715560215,71,0.00934032245631273,40,0.00919459640807717,71,0.00507606809052047,40,0.00493470218668729,71,0.00446961717382077,40,0.00423726713568616,71,0.0268961135220753,40,0.0267727712518734,71,0.0261121238852999,40,0.0260154899439393
,70,0.500031703099858,41,0.392453017661811,70,0.501146365988777,41,0.394129269085362,70,0.367444823926792,41,0.333646584545902,70,0.382197112208042,41,0.346953127467324,70,0.342960389002484,41,0.328058907541805,70,0.357006774780753,41,0.341409962389033,70,0.33781090767247,41,0.322277900644403,70,0.348871503223404,41,0.328717449901918,70,0.025393338709156,41,0.0255668868229633,70,0.0246068365751989,41,0.0247000644707613,70,0.00983986661206683,41,0.00998371993680206,70,0.00934720624956242,41,0.00918665938417683,70,0.00507562933672673,41,0.00493212390140722,70,0.00446999114272057,41,0.00426332216799765,70,0.0268868699887619,41,0.0267497887828472,70,0.0261375003724569,41,0.026011373659023
,69,0.496636617627243,42,0.395450835455624,69,0.497800074556837,42,0.39721160569952,69,0.36664871848789,42,0.335256395504628,69,0.38136371552936,42,0.348587823209107,69,0.342580118853933,42,0.328979622033944,69,0.35646422077204,42,0.342427485200658,69,0.337605145966196,42,0.323155491744849,69,0.348586539073034,42,0.329656400219544,69,0.0253830681323827,42,0.0255466324929368,69,0.0246112893021378,42,0.0246951656341531,69,0.00985682215061962,42,0.00998677048346343,69,0.00936554316356798,42,0.00917123812387689,69,0.00508871576178942,42,0.00493696759603637,69,0.00445346107865644,42,0.00425662373697422,69,0.0268857342498755,42,0.0267559790169905,69,0.026125903588894,42,0.0259965814185365
,68,0.493419790735234,43,0.398659677987162,68,0.494528257314745,43,0.400474607000477,68,0.365930484257944,43,0.336875067301598,68,0.380533315840042,43,0.350222032856542,68,0.342332155707587,43,0.329864872516453,68,0.355994581166261,43,0.343335389892212,68,0.337418697851857,43,0.324076766540498,68,0.348307330658182,43,0.330626394867551,68,0.0253986133179379,43,0.0255504670400633,68,0.0246213619525397,43,0.0246645287612093,68,0.00985685219481904,43,0.00998652879708828,68,0.00938432910804294,43,0.00916807636398577,68,0.00508326410753745,43,0.00496253848311468,68,0.00444119158516587,43,0.00424002177781171,68,0.0268971307896764,43,0.0267741650482124,68,0.0261050670426657,43,0.0260054417955323
,67,0.490062566235006,44,0.402045958527727,67,0.491240502746516,44,0.403800332671906,67,0.365166435566823,44,0.33843297068206,67,0.379730146101449,44,0.351900085589551,67,0.342071521844759,44,0.330737160207547,67,0.355576631321188,44,0.344194405840428,67,0.337206309301879,44,0.325005104924118,67,0.34800308378037,44,0.331646539677975,67,0.0254188702350576,44,0.0255243939355905,67,0.0246501652450327,44,0.0246996209239208,67,0.00986071474120115,44,0.00995591889087401,67,0.00938427332200653,44,0.00916837001773101,67,0.00507820946722013,44,0.00494726240748865,67,0.00445224955607935,44,0.00427468581284812,67,0.0269025316891411,44,0.0267621579427362,67,0.0261223889115582,44,0.0260163712516114
,66,0.486670722295128,45,0.405459988117978,66,0.487867735996496,45,0.407114293054072,66,0.364268813860735,45,0.340096938502452,66,0.378900465733775,45,0.353609778519932,66,0.341782641278148,45,0.331588586599244,66,0.355299079707844,45,0.345053035622762,66,0.336987592048255,45,0.325935082916206,66,0.347694984244104,45,0.332673746317785,66,0.0254058629967408,45,0.025525186026452,66,0.0246430800780858,45,0.0247138435579252,66,0.00988570646138301,45,0.00995201654812448,66,0.00939332794676056,45,0.00916913988791132,66,0.0050746126663249,45,0.00494428342367491,66,0.00447202982004027,45,0.00430206176320591,66,0.0269015848001586,45,0.0267524643509209,66,0.0261291676029,45,0.0260226913925979
,65,0.483327800229153,46,0.40880740994719,65,0.48459302553083,46,0.410461996894352,65,0.363395158019696,46,0.341706227121589,65,0.378111133003539,46,0.355261271099919,65,0.341489163018796,46,0.332281453053757,65,0.355057578467873,46,0.345844160329303,65,0.336794507049271,46,0.326773401126707,65,0.34739678740697,46,0.333756345400182,65,0.025405767213451,46,0.025550589369306,65,0.0246142916086714,46,0.0246693065203946,65,0.00989814108181125,46,0.00997224346461644,65,0.00941618655383654,46,0.00915065816851472,65,0.00506780253646817,46,0.00495646599921414,65,0.00446981037842999,46,0.00427165595087233,65,0.026878372534896,46,0.0267675316973013,65,0.026129140476341,46,0.0260071559241181
,64,0.480019848955021,47,0.41219193716291,64,0.48126727219297,47,0.413925329749279,64,0.362561734243047,47,0.34323577731606,64,0.377257709651361,47,0.356864853181271,64,0.34122208179913,47,0.332959145766508,64,0.354766118683565,47,0.346560965530458,64,0.336619707474835,47,0.327650006640881,64,0.347103365635587,47,0.334849772851535,64,0.0254500849635639,47,0.025517348259146,64,0.0245991548854187,47,0.0246397850307527,64,0.00992507186380908,47,0.00995596972516344,64,0.00942070834606618,47,0.00914418846470182,64,0.00507243440162012,47,0.00493428414295798,64,0.00442882079346002,47,0.00428409134130137,64,0.0269044957711649,47,0.0267453140402057,64,0.0261055431218879,47,0.0260067929912622
,63,0.476627674615164,48,0.415742797576052,63,0.477923024609039,48,0.417451699734416,63,0.361754055098882,48,0.344729491541938,63,0.376395597948906,48,0.358499163899676,63,0.340950989164234,48,0.333643756641797,63,0.354505902108799,48,0.347305858168002,63,0.336426853199127,48,0.32849913425773,63,0.346875527101557,48,0.336003329683764,63,0.0254311096876547,48,0.0254932103285084,63,0.0246232891005138,48,0.0246225889890339,63,0.00994156915692528,48,0.00994157391856182,63,0.00941582763835062,48,0.0091449391676206,63,0.00505239921176345,48,0.00495245988182481,63,0.00443330120300471,48,0.00426310127186465,63,0.0268931415846009,48,0.0267401797797177,63,0.0261033345161738,48,0.0260029197517275
,62,0.473327770707499,49,0.419392121598714,62,0.474641381978422,49,0.421215014405126,62,0.360937190783147,49,0.346201453328098,62,0.375539814000358,49,0.360027369987021,62,0.34068511193826,49,0.334346593995872,62,0.354162530446529,49,0.348093470958001,62,0.336200552459841,49,0.329364436699909,62,0.34659125249302,49,0.337169644333983,62,0.0253975476520782,49,0.0254866619407218,62,0.0246283643559037,49,0.0246434279376742,62,0.00992720271903886,49,0.00994503543783334,62,0.00941181979888545,49,0.00913696823015077,62,0.00504112586253525,49,0.0049789439781663,62,0.00444478210990428,49,0.00428689930389638,62,0.0268677955163964,49,0.0267526334117087,62,0.0261087790464843,49,0.0260217520871209
,61,0.470111708177362,50,0.423090408450691,61,0.471344786892978,50,0.424831117836358,61,0.360149667533758,50,0.347573731140475,61,0.374625420831672,50,0.361471761217594,61,0.340382782439421,50,0.335015461095283,61,0.353774025372371,50,0.348806349680762,61,0.335911668594335,50,0.330210594057053,61,0.346240739809598,50,0.338323947613211,61,0.0254415044148058,50,0.0254989602365786,61,0.0246449798236503,50,0.0246502303949003,61,0.00993355380023377,50,0.00995616230840282,61,0.00943418005930402,50,0.0091327683584555,61,0.00507351641626843,50,0.00499104173042559,61,0.00446147989290376,50,0.00430009163559836,61,0.0268842211581129,50,0.0267583993790474,61,0.0261118043447894,50,0.0260289962220516
,60,0.466741899234148,51,0.426896695807547,60,0.468012136904914,51,0.428647667795708,60,0.359356331244292,51,0.348852103619233,60,0.373727877000987,51,0.362897111631183,60,0.340037442192244,51,0.335662111045662,60,0.353363408071434,51,0.349516530090358,60,0.335522124061164,51,0.331028805117372,60,0.345888298717679,51,0.339479324885327,60,0.0254678422037269,51,0.0254898794511645,60,0.0246344391615548,51,0.0246705767885975,60,0.00997088278077551,51,0.00994476196279756,60,0.00942654571067714,51,0.00915720664735542,60,0.0050954927235144,51,0.00498803424334809,60,0.00443727074716714,51,0.00432262553867575,60,0.0269058502794302,51,0.0267509126768519,60,0.0260927722304376,51,0.0260496005341141
,59,0.463405973323348,52,0.430671633897638,59,0.464618353842639,52,0.432364550657508,59,0.358520058577497,52,0.350171631496414,59,0.37281511335572,52,0.364282087461501,59,0.339650676450341,52,0.336313834280033,59,0.35293371845588,52,0.350292335030285,59,0.335141751602406,52,0.33190203287239,59,0.345483318314563,52,0.340685933424674,59,0.0254692892392576,52,0.0254645933856216,59,0.0246241278213661,52,0.0246745325190813,59,0.00997286563836419,52,0.00992721445806507,59,0.00944010473470417,52,0.00914574143161783,59,0.00507808597953109,52,0.00496332468868351,59,0.00441257262784915,52,0.00431351868506507,59,0.0269082974602595,52,0.0267368278028233,59,0.0260990371581387,52,0.0260354233443993
,58,0.460083612740479,53,0.434596402965846,58,0.461353689409163,53,0.436009357219562,58,0.357624382987335,53,0.351446617643453,58,0.371851536083167,53,0.365600313788953,58,0.33926003508056,53,0.336950181694827,58,0.352544379517387,53,0.351050360125987,58,0.334743099924768,53,0.332750005387188,58,0.345080724608055,53,0.341875916071125,58,0.0254629798606553,53,0.0254595314520148,58,0.0246572301975814,53,0.0246331051602906,58,0.00995872409413878,53,0.00992583612103307,58,0.00942540898161248,53,0.00912432088556832,58,0.00505135830876175,53,0.00497258301983741,58,0.00443036279200941,53,0.00431131628058262,58,0.0268933197894398,53,0.0267439415017609,58,0.0261006212201349,53,0.0260056192470322
,57,0.456524452327332,54,0.438418512490651,57,0.458102449524609,54,0.439944234163321,57,0.35663591104248,54,0.352623179651358,57,0.370844951469483,54,0.366933849264332,57,0.339175344457165,54,0.337605501330193,57,0.352116910487869,54,0.351801256856603,57,0.334359381039935,54,0.333578875931495,57,0.34465248328131,54,0.343060266971801,57,0.0254293272007177,54,0.0254830067746257,57,0.0246776743091686,54,0.0246112690628887,57,0.00994727105815149,54,0.0099265581321418,57,0.00937307168172687,54,0.00911063045192578,57,0.00503920174129606,54,0.00500581739360074,57,0.0044139593863847,54,0.00429316764497346,57,0.0268818345169057,54,0.0267750629271965,57,0.0260992450623697,54,0.0259967142901136
,56,0.453197436676757,55,0.442293967661643,56,0.454492197312881,55,0.443717439986698,56,0.355688448643337,55,0.353804723436383,56,0.369839760430826,55,0.368171699189782,56,0.339265357701843,55,0.338254666314234,56,0.351619390997537,55,0.352522380647746,56,0.334030961928129,55,0.334368490041449,56,0.344109900210349,55,0.344117678224852,56,0.0255000056522054,55,0.025478643329135,56,0.0246639032831875,55,0.0246056592163429,56,0.00991915255216179,55,0.00991060761793948,56,0.00929757109219463,55,0.00912081845933799,56,0.00507407967759788,55,0.00501643845807749,56,0.00442262818719051,55,0.00428259645851175,56,0.0268733108386389,55,0.0267882752151072,56,0.026086439074612,55,0.0259945601488976
,55,0.449713451778516,56,0.446179470141587,55,0.45115897948385,56,0.447443229867296,55,0.354670207082818,56,0.355061559765104,55,0.368772053558608,56,0.369392500945487,55,0.338743211616676,56,0.338900265915999,55,0.351111124829334,56,0.353235567901602,55,0.333680037635776,56,0.33512295792785,55,0.34359408823629,56,0.345155110824526,55,0.0254674787108864,56,0.025471588273251,55,0.0246973082894422,56,0.0245931518794462,55,0.00991703499275726,56,0.00987840093705181,55,0.00924063056897123,56,0.00910155428937631,55,0.00503980244261912,56,0.00501949765850993,55,0.00442778766303257,56,0.00430888230694447,55,0.0268410443803157,56,0.0267873719576243,55,0.0260851877086876,56,0.026001670181345
,54,0.446172372432892,57,0.44992177747329,54,0.447682665775396,57,0.451278251948665,54,0.353667814730503,57,0.356271964506934,54,0.367734333100366,57,0.370578302727345,54,0.338163152214512,57,0.339509397169001,54,0.350665717223025,57,0.35389010409306,54,0.333266967955903,57,0.33581279091338,54,0.343000332380194,57,0.346088328762739,54,0.0254541602030568,57,0.0254430450766952,54,0.024709375061475,57,0.0245992016561209,54,0.00990020263373544,57,0.00986522874343548,54,0.00920154224875284,57,0.00907280472315254,54,0.00502788275870358,57,0.00503840046795247,54,0.0044294674751784,57,0.00432087181107948,54,0.0268371981081443,57,0.0267860918770173,54,0.0260804246354601,57,0.0260308391789224
,53,0.442603694726844,58,0.453694435354784,53,0.444043119991116,58,0.455044470676556,53,0.352665537809621,58,0.357225283555055,53,0.36662529253639,58,0.371722888488875,53,0.337613099487867,58,0.340060632948346,53,0.350131689875177,58,0.354463820362181,53,0.332854931305916,58,0.336427892553589,53,0.342407332349114,58,0.34689054154506,53,0.0254773257034582,58,0.0254079199838168,53,0.0247044662959064,58,0.0245931922723554,53,0.00988987142049066,58,0.00985084333290848,53,0.00918950254535149,58,0.00906138794246871,53,0.00502401190699843,58,0.00504281042379231,53,0.00443164656896558,58,0.00432172975651282,53,0.0268303515572162,58,0.0267785652660762,53,0.0260728294469783,58,0.0260289577302683
,52,0.439010597014989,59,0.457763368684424,52,0.440301904152973,59,0.458817113482441,52,0.351635629676368,59,0.358321313320619,52,0.365531364931002,59,0.372885642344054,52,0.337085110613113,59,0.340631150119643,52,0.349610134446027,59,0.354996341265138,52,0.332429556752417,59,0.337054216515727,52,0.3417484531431,59,0.347560080051306,52,0.0254950849164396,59,0.025377140109401,52,0.0247074115036165,59,0.024526543240959,52,0.00989964223161752,59,0.00985997732840459,52,0.00918776301484893,59,0.00908308924481509,52,0.00503662939821168,59,0.00503486971526947,52,0.00440955264440545,59,0.00428515158601503,52,0.0268195426466879,59,0.0267682258640799,52,0.0260526474620408,59,0.0259839947017355
,51,0.435314796127741,60,0.461505470866138,51,0.436774105430526,60,0.462483511907874,51,0.35056476663925,60,0.359438312769976,51,0.364416134760133,60,0.374011586015718,51,0.336504183142754,60,0.341196507844437,51,0.349080171260812,60,0.35550554313176,51,0.331939840300631,60,0.33764282165258,51,0.341014552903384,60,0.348141999966423,51,0.0255544920315662,60,0.0253210146939856,51,0.0247431530118917,60,0.0244809832180775,51,0.00992332860605235,60,0.00986423922016631,51,0.00917381474061099,60,0.00911786096982348,51,0.00504149554423514,60,0.00501076064210697,51,0.00442378861807696,60,0.00428372414497825,51,0.0268140599078355,60,0.0267638920388212,51,0.0260562247139143,60,0.0259892739051587
,50,0.431558801261712,61,0.465020897556699,50,0.433105322116141,61,0.466095864955248,50,0.349461001540784,61,0.360506942765293,50,0.363339264895711,61,0.375134761717153,50,0.33592430695922,61,0.341685762768671,50,0.348559730932728,61,0.355980620474369,50,0.331465662191301,61,0.338146172190903,50,0.340288927328064,61,0.34862157072455,50,0.0255409582768253,61,0.0253100010401027,50,0.0247186066449888,61,0.0244969519195419,50,0.0099421143755353,61,0.00990668873031767,50,0.00916771678570376,61,0.00919037874894027,50,0.00503491788471613,61,0.0050100256684718,50,0.00439480619745583,61,0.00432744978765209,50,0.0268142022547745,61,0.0267857739827103,50,0.0260252134057933,61,0.0260385540426241
,49,0.428031084098894,62,0.468676307428892,49,0.429379560044014,62,0.469804421635037,49,0.348370130254385,62,0.361655431432074,49,0.362748337882035,62,0.376261036352582,49,0.335406952967177,62,0.342198008630848,49,0.34792444096691,62,0.356451043223868,49,0.330968131241197,62,0.338579262161342,49,0.33939933541481,62,0.349012058223584,49,0.025600113388412,62,0.0253117842543704,49,0.0247433835531176,62,0.0244748737291927,49,0.0099667291099033,62,0.0100393799114794,49,0.00915576323006613,62,0.00931922341571714,49,0.00504228348598423,62,0.00503191921327911,49,0.00442899785451918,62,0.00433264656757901,49,0.026818459698492,62,0.0268047728925848,49,0.0260657161588671,62,0.0260599005855511
,48,0.424458799062239,63,0.472254594830356,48,0.425779746964599,63,0.473374017848227,48,0.347099657260719,63,0.362886812834153,48,0.361271249993743,63,0.377351523453808,48,0.334765788666924,63,0.342674461465137,48,0.347383493377031,63,0.356873716942443,48,0.330421684583614,63,0.338910212222578,48,0.338592667099734,63,0.349341282217511,48,0.0255739234596005,63,0.0253131835514696,48,0.0247830254492522,63,0.024442948261212,48,0.00995540042565902,63,0.010245294643464,48,0.00918744722835413,63,0.00947572301804892,48,0.00500192446644738,63,0.00505656892946105,48,0.00442241804687057,63,0.00429578548781133,48,0.0267987488049484,63,0.0268135875472502,48,0.0260710430383497,63,0.0260334579921123
,47,0.42077059732243,64,0.475698870078398,47,0.422135543547108,64,0.476795174938505,47,0.345862782690425,64,0.364041656715842,47,0.359640313182733,64,0.378340701744327,47,0.33420678794045,64,0.343215521018607,47,0.346750450027169,64,0.357243340512007,47,0.329810098776727,64,0.339231285587007,47,0.337616938419768,64,0.34961459614296,47,0.0255596113668583,64,0.0253033876191737,47,0.0247793633990176,64,0.0244359714986068,47,0.00996063561731434,64,0.0103896898791021,47,0.00921366290384303,64,0.00958513681419491,47,0.00502647366333533,64,0.0050736471470675,47,0.00441565039222411,64,0.00428506073629084,47,0.0268143429820247,64,0.0268111118888868,47,0.0260633216336457,64,0.0260169116481957
,46,0.417237022824382,65,0.479195821692294,46,0.418629625674843,65,0.480118144113483,46,0.344510765531564,65,0.36505540809234,46,0.358277932437159,65,0.3792518372386,46,0.333595909702829,65,0.343802586660451,46,0.346148619795182,65,0.35763737031204,46,0.329162979965137,65,0.339511060601792,46,0.336681457270881,65,0.349913655207481,46,0.0255805240093527,65,0.0252776218686274,46,0.0247699406829169,65,0.0244397457476794,46,0.00997263589418331,65,0.0104095544413778,46,0.00920519574698912,65,0.0095909955399856,46,0.00502396062166988,65,0.00505825027389066,46,0.00441756241654647,65,0.00430887429023593,46,0.0268024558802283,65,0.0268118841478108,46,0.0260670437114114,65,0.0260291794877523
,45,0.413608176369029,66,0.482637973039339,45,0.415215831377935,66,0.48366793812649,45,0.343167594876868,66,0.366025193668053,45,0.356946166981241,66,0.380205497951922,45,0.33297888230098,66,0.34439770438737,45,0.345554586173155,66,0.358102400782695,45,0.328484657117912,66,0.339764605855408,45,0.335715457317096,66,0.350256799898149,45,0.0255929415438752,66,0.0252684083570233,45,0.0247861580019132,66,0.0244451602216169,45,0.00998279245066383,66,0.0103919930099845,45,0.00920263956568667,66,0.00958061283594299,45,0.00501341293292088,66,0.00504129155598112,45,0.00440298255919111,66,0.00432649296249588,45,0.0267835186685347,66,0.0267931293983109,45,0.0260429585801822,66,0.0260419983455915
,44,0.410164651950292,67,0.486022338986398,44,0.411895044260771,67,0.487080278243127,44,0.341696705358905,67,0.366935723932342,44,0.35549740713827,67,0.381121428062509,44,0.332319029003755,67,0.34502384212504,44,0.344899456416558,67,0.358552036542024,44,0.327747140871137,67,0.340012595359683,44,0.334761517936454,67,0.350579398198305,44,0.0255748201422158,67,0.0252805731545589,44,0.0247763193790944,67,0.0244574214495238,44,0.00999617351293362,67,0.0103985756458837,44,0.00919996806420793,67,0.00957672942765975,44,0.00501223216029825,67,0.00506015885795271,44,0.00438784426952774,67,0.0043466754452983,44,0.0267840179382747,67,0.0267822438776745,44,0.0260347307308198,67,0.026076244886298
,43,0.406752647891066,68,0.489449356398732,43,0.408496336462125,68,0.490695601119967,43,0.340191429092855,68,0.36786011944967,43,0.353925881653939,68,0.382100517455471,43,0.331618043791585,68,0.34565164625727,43,0.344144629931943,68,0.359050339641795,43,0.326941076868102,68,0.340246922489404,43,0.333714263986649,68,0.350921519286504,43,0.0256095056569443,68,0.0253021688263083,43,0.0247762108272711,68,0.0244746816750649,43,0.0100002466433403,68,0.010405731076637,43,0.00921956878014865,68,0.00957568068200496,43,0.00501558888280541,68,0.00510200654055917,43,0.00438127663903323,68,0.0043692207056069,43,0.026796810845051,68,0.0267962776792834,43,0.026049841192421,68,0.0260732855192859
,42,0.403484523861469,69,0.493063413403971,42,0.405169461466437,69,0.494566280918182,42,0.338665052864973,69,0.368824550480893,42,0.352319528598791,69,0.383088206026298,42,0.330887794076723,69,0.346229255038241,42,0.343370156107843,69,0.359569560170938,42,0.326111908158371,69,0.340487820419983,42,0.332704183401733,69,0.351270442339859,42,0.0256307680471625,69,0.02528141099816,42,0.024775899555091,69,0.0244641340251519,42,0.0100082158713543,69,0.0103918963426443,42,0.00923562284294046,69,0.00957939325051086,42,0.00502149698475434,69,0.00511815734180643,42,0.00437032546839371,69,0.0043586258530033,42,0.0268071902987636,69,0.0268143627965516,42,0.026036380505268,69,0.0260571735244019
,41,0.400216566408383,70,0.496575251467463,41,0.40192511065314,70,0.497965048255916,41,0.337079916953448,70,0.369774086967859,41,0.350713215993921,70,0.384038045501578,41,0.330096859977998,70,0.346691239261611,41,0.34254115436257,70,0.360123584620722,41,0.325248486801647,70,0.340696251298086,41,0.331684896940046,70,0.351581877594855,41,0.0256122387873961,70,0.0252746840289469,41,0.0247637771658783,70,0.0244204488805642,41,0.010025378190012,70,0.0103793063909003,41,0.00922775921993607,70,0.00956093881976342,41,0.00499856685094135,70,0.00511057487524529,41,0.0043509079710339,70,0.00432990790138127,41,0.0268079297893405,70,0.0268216325283546,41,0.026015032882812,70,0.0260288996338153
,40,0.396954563320853,71,0.500100716172913,40,0.398650501931462,71,0.501725361962267,40,0.335558225124746,71,0.370704775254454,40,0.34909878769017,71,0.385027232062221,40,0.329268208042011,71,0.347035441343754,40,0.341674526360421,71,0.360707342282226,40,0.324337377919834,71,0.340934196388066,40,0.330692724043244,71,0.351878573116758,40,0.025599965145034,71,0.0252763351160624,40,0.0247707937132475,71,0.0244388325942238,40,0.0100230844651104,71,0.0103872618461312,40,0.00925681270919666,71,0.00954434292292108,40,0.00497666710867579,71,0.00509950573123433,40,0.00436354686510025,71,0.00436346943880956,40,0.0267886496619413,71,0.0268211512633975,40,0.0260480055528656,71,0.0260480910377053
