CSV Report,2024-01-26_RNA_melting_KCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,516 mM KCl_260.00nm_90.0-21.0C,,516 mM KCl_260.00nm_21.0-90.0C,,516 mM KCl_260.00nm_90.0-21.0C_R1,,516 mM KCl_260.00nm_21.0-90.0C_R1,,116 mM KCl_260.00nm_90.0-21.0C,,116 mM KCl_260.00nm_21.0-90.0C,,116 mM KCl_260.00nm_90.0-21.0C_R1,,116 mM KCl_260.00nm_21.0-90.0C_R1,,66 mM KCl_260.00nm_90.0-21.0C,,66 mM KCl_260.00nm_21.0-90.0C,,66 mM KCl_260.00nm_90.0-21.0C_R1,,66 mM KCl_260.00nm_21.0-90.0C_R1,,31 mM KCl_260.00nm_90.0-21.0C,,31 mM KCl_260.00nm_21.0-90.0C,,31 mM KCl_260.00nm_90.0-21.0C_R1,,31 mM KCl_260.00nm_21.0-90.0C_R1,,516 mM KCl_400.00nm_90.0-21.0C,,516 mM KCl_400.00nm_21.0-90.0C,,516 mM KCl_400.00nm_90.0-21.0C_R1,,516 mM KCl_400.00nm_21.0-90.0C_R1,,116 mM KCl_400.00nm_90.0-21.0C,,116 mM KCl_400.00nm_21.0-90.0C,,116 mM KCl_400.00nm_90.0-21.0C_R1,,116 mM KCl_400.00nm_21.0-90.0C_R1,,66 mM KCl_400.00nm_90.0-21.0C,,66 mM KCl_400.00nm_21.0-90.0C,,66 mM KCl_400.00nm_90.0-21.0C_R1,,66 mM KCl_400.00nm_21.0-90.0C_R1,,31 mM KCl_400.00nm_90.0-21.0C,,31 mM KCl_400.00nm_21.0-90.0C,,31 mM KCl_400.00nm_90.0-21.0C_R1,,31 mM KCl_400.00nm_21.0-90.0C_R1,
,66,0.596761856828009,45,0.470376706761024,66,0.616215588297116,45,0.485075787268453,66,0.606937339389923,45,0.467779446542657,66,0.630339169294702,45,0.485038675087772,66,0.626314667787845,45,0.483585998885217,66,0.651415156306512,45,0.501766892989773,66,0.660901633105233,45,0.517553365129418,66,0.689965191662025,45,0.538535679998184,66,0.0280185049982864,45,0.027962690832461,66,0.0279372158726266,45,0.0279085671568725,66,0.0128339353307134,45,0.0124641630320724,66,0.0128609263204096,45,0.0125569930067892,66,0.011878346189886,45,0.0114240013997858,66,0.0117855707972394,45,0.0114587608491791,66,0.0288379339702792,45,0.0285870814495728,66,0.0287621665102407,45,0.0285812952947037
,65,0.590334365220157,46,0.475100044190904,65,0.609856151030619,46,0.490033895967004,65,0.599934118392298,46,0.473040389827003,65,0.62316010613822,46,0.490247888724568,65,0.619456379172819,46,0.488932789276218,65,0.644328868153427,46,0.507107119433851,65,0.654590201683986,46,0.522789299017038,65,0.682906302977762,46,0.544072225492643,65,0.0280303576260266,46,0.0279681484793657,65,0.0279545922323658,46,0.0279643123669836,65,0.0128359214208418,46,0.0124790657844531,65,0.0128671911622238,46,0.0125565371590067,65,0.0118991854363049,46,0.0114579683638777,65,0.0118112166844948,46,0.0114963378876192,65,0.0288908026400505,46,0.028628381139559,65,0.028783572756147,46,0.028612060423197
,64,0.583911114335066,47,0.47994207264747,64,0.603306913126532,47,0.495158685186085,64,0.593076585605304,47,0.478232166303293,64,0.615521538380416,47,0.495870638269022,64,0.61268207347252,47,0.494206634841695,64,0.63668523313401,47,0.512860802135927,64,0.648037851454202,47,0.528047693441706,64,0.675794834289995,47,0.549618795293407,64,0.0280329152404848,47,0.0279990876910862,64,0.0279099807097586,47,0.0279340453273268,64,0.0128167755793526,47,0.0125104192979103,64,0.0128429556245553,47,0.0125330982996618,64,0.0119100398957702,47,0.0114975231842116,64,0.0117629221709179,47,0.0115139518491515,64,0.0289056940687015,47,0.0286631865308292,64,0.0287884307682008,47,0.0286183624093627
,63,0.577893327663841,48,0.484825404455813,63,0.596837409425202,48,0.500258071214012,63,0.58614252743072,48,0.483474485622426,63,0.608418576676658,48,0.501488791128688,63,0.605765891418658,48,0.499600056131532,63,0.629550290157658,48,0.518640588206,63,0.641241849085999,48,0.533619409433,63,0.668905406947512,48,0.555343869921484,63,0.0280243459275853,48,0.0280274832289864,63,0.0278922535022202,48,0.0279357807617288,63,0.0128087810429725,48,0.0125291494886203,63,0.0128621554364183,48,0.0125636303455924,63,0.0119028158547889,48,0.0115393482982331,63,0.0117596690080853,48,0.0115328427068048,63,0.0288946413971921,48,0.0286695027774372,63,0.0287724831116815,48,0.0286551852446239
,62,0.571767996172272,49,0.489926600012997,62,0.59048633047196,49,0.505311644925423,62,0.579395174589947,49,0.488861948639476,62,0.601248921229916,49,0.506904374120918,62,0.598947025372879,49,0.505118111569132,62,0.622281256247652,49,0.524136193446204,62,0.634392698780473,49,0.539133765219636,62,0.661568428694579,49,0.560964476410476,62,0.0280399392110118,49,0.0280106939281776,62,0.0278984146416748,49,0.027949974694219,62,0.0128292190767393,49,0.0125412483964068,62,0.0128474628044863,49,0.0125889349841565,62,0.0119169614370139,49,0.01154142054699,62,0.011770323281099,49,0.0115545239338248,62,0.0289018627290258,49,0.0286844728779095,62,0.028754144115207,49,0.0286651098400224
,61,0.565976708117098,50,0.495108668681977,61,0.584479309170502,50,0.510610654956175,61,0.572540470310979,50,0.494087398052674,61,0.594396389326136,50,0.512411797646647,61,0.591977582778632,50,0.510483479913421,61,0.615236764849832,50,0.529785666902297,61,0.627784278789176,50,0.544689045243393,61,0.654432332229051,50,0.566763206292625,61,0.0280455008824123,50,0.0280168766774846,61,0.027903145725305,50,0.0279745523807149,61,0.0128311329473989,50,0.0125653217925954,61,0.0128262731506731,50,0.0126030974378413,61,0.0119127760967906,50,0.0115462887054227,61,0.0117778021881753,50,0.0116005617605711,61,0.0288917193025847,50,0.0286860895695181,61,0.0287579196493864,50,0.0286727242737029
,60,0.560350770267995,51,0.500290638252897,60,0.578635111140524,51,0.515927721159647,60,0.566119628472091,51,0.499871856311171,60,0.58752048485004,51,0.518299830633029,60,0.58538645684488,51,0.516498672418634,60,0.608068310044647,51,0.535866154594633,60,0.621202972760715,51,0.550608706652896,60,0.647517862455068,51,0.572824594249967,60,0.0280409476360324,51,0.028044881172183,60,0.0278862174650846,51,0.0279573875176952,60,0.0128176187349269,51,0.0126042546568919,60,0.0128358549866269,51,0.0126334634180224,60,0.0119067179382016,51,0.0115994097915804,60,0.0117602521625481,51,0.0116079082292485,60,0.0288726493979183,51,0.0287530891877848,60,0.0287742777331775,51,0.0286800926691119
,59,0.554619623285815,52,0.505417061847294,59,0.573010298176013,52,0.521457830006664,59,0.5595257903905,52,0.505384459306326,59,0.58095027629976,52,0.524100512918579,59,0.578537138998487,52,0.522223886500614,59,0.601147171397104,52,0.541775147335083,59,0.614141899329453,52,0.556482771163621,59,0.640444410265877,52,0.578747391622845,59,0.0280064728830693,52,0.0280908390137607,59,0.02789356401798,52,0.0279467188866294,59,0.0128242461780888,52,0.0126524807118524,59,0.0128230665026753,52,0.0126554785551424,59,0.0118771433448855,52,0.0116584035520004,59,0.0117563172464292,52,0.0116059520073444,59,0.0288339243731983,52,0.0288075595976669,59,0.0287600195950054,52,0.0286665910002944
,58,0.549002133525283,53,0.510813956361143,58,0.567107563390709,53,0.52680044926969,58,0.55333023878237,53,0.510863920158082,58,0.57419760459327,53,0.529813193896581,58,0.571996837757483,53,0.527954412976459,58,0.594009555821964,53,0.547698625320791,58,0.607407579026484,53,0.562400769413272,58,0.633326008297955,53,0.584906336747086,58,0.0280123532174563,53,0.0280988102457938,58,0.0278880564308278,53,0.0279388337275107,58,0.0128435312375255,53,0.0126664955580631,58,0.0128274952425516,53,0.0126637600971987,58,0.0118877086968549,53,0.0116808486967514,58,0.0117578266946189,53,0.0116219752866976,58,0.0288594863187455,53,0.0287699636535972,58,0.0287576644817096,53,0.028666509402418
,57,0.543832167646241,54,0.516056227299535,57,0.561504205302684,54,0.53232693833124,57,0.547077110760599,54,0.516503936245896,57,0.567847738261782,54,0.535728698907677,57,0.565450739785549,54,0.533825920480621,57,0.587284148769607,54,0.553866321512079,57,0.600787285852669,54,0.568573732492869,57,0.626059250455407,54,0.591281019069311,57,0.0280444894705221,54,0.0280869272362314,57,0.0279139655015183,54,0.027942545061447,57,0.0128308068432753,54,0.0126760129131089,57,0.012834435455601,54,0.0126878545944601,57,0.0119000408656434,54,0.0116918614253906,57,0.0117529227538745,54,0.0116442216765292,57,0.0288930048043571,54,0.0287937459463063,57,0.0287337646470352,54,0.0287080627086642
,56,0.538216668856914,55,0.521405758333904,56,0.555798542829992,55,0.53782112747942,56,0.54120435364259,55,0.52249671046075,56,0.561581855550622,55,0.541695726344434,56,0.55926017202579,55,0.540148094928789,56,0.580641273612692,55,0.560094734402972,56,0.594150868732489,55,0.574964882106556,56,0.619379571635662,55,0.597864253407593,56,0.0281061565945276,55,0.0280988653736811,56,0.0279493176773505,55,0.0279151293933044,56,0.0128277354235847,55,0.0127092313176195,56,0.0128232145734346,55,0.0126962581807271,56,0.0119088503516865,55,0.0117220239445243,56,0.0117456820045752,55,0.0116324927682611,56,0.0288652613829001,55,0.0288206321636215,56,0.0287623280622373,55,0.0287063963828464
,55,0.532904395759562,56,0.526950753126665,55,0.550191783622174,56,0.54350023301336,55,0.535101953537361,56,0.52840322020632,55,0.555304907969611,56,0.547776373234523,55,0.552849805824062,56,0.546384553882332,55,0.574003067632762,56,0.566455494956612,55,0.587731307604616,56,0.581461141088975,55,0.612305783184343,56,0.604292044829485,55,0.0281148272642247,56,0.0281047928395012,55,0.0279652715059662,56,0.0278810478784179,55,0.0128074155669403,56,0.0127353396768198,55,0.0128068075578002,56,0.0126992583391068,55,0.0118898315436084,56,0.0117217545698106,55,0.0117487931289428,56,0.0116149096336216,55,0.0288821275402788,56,0.0288032515655796,55,0.0287827951202265,56,0.0286941532288362
,54,0.527644093295626,57,0.532759969649224,54,0.544916415514897,57,0.549006714041458,54,0.529166805173556,57,0.534486894432164,54,0.549266140935146,57,0.553939941555318,54,0.546638981061489,57,0.552693975853034,54,0.567653536774868,57,0.572967442490477,54,0.581397833190149,57,0.58812650915961,54,0.605940672142346,57,0.611236367999758,54,0.028111251131922,57,0.0280720209953695,54,0.0279938233306601,57,0.0278845978806295,54,0.0127854504614422,57,0.0127591148451188,54,0.0128050735420548,57,0.0127158682994558,54,0.0118592516094159,57,0.0117184631908671,54,0.0117570983715235,57,0.0116368773208923,54,0.0288845040632928,57,0.0287966385526854,54,0.0287793299904845,57,0.0287098436495015
,53,0.52234104602167,58,0.538347513882056,53,0.53932843749427,58,0.554947129770602,53,0.523489030800939,58,0.540893492437736,53,0.54323324894141,58,0.560432573528516,53,0.540710745742755,58,0.559360455413075,53,0.561316659236373,58,0.579840470587,53,0.575114803725516,58,0.595094286214235,53,0.599354166473727,58,0.6180180810129,53,0.0281473888379032,58,0.0280348203537601,53,0.0280034781532367,58,0.0278656727227304,53,0.012791080902462,58,0.0127628006665304,53,0.0128067004895216,58,0.0127181841209724,53,0.0118964564195576,58,0.0117107299877704,53,0.0117489382869557,58,0.0116435997385128,53,0.0288784747511537,58,0.0287691670240704,53,0.0287502276428769,58,0.0286940385734738
,52,0.517345513319679,59,0.543968516461813,52,0.533889054867109,59,0.560656205892051,52,0.517861324091649,59,0.546994825602483,52,0.537309235132894,59,0.566970262516604,52,0.534854488032431,59,0.565825017401593,52,0.555121577357532,59,0.58672299791094,52,0.569233705281369,59,0.60194450444747,52,0.59285353361575,59,0.625138320513624,52,0.0281722912348698,59,0.0280201328472869,52,0.0280099973043779,59,0.0278742990095731,52,0.0127953151911895,59,0.0127582991793795,52,0.0128295929198969,59,0.0127351304276214,52,0.0119066034176681,59,0.0117129095426588,52,0.0117521143963652,59,0.0116866777301023,52,0.0288775494331322,59,0.0287865820489862,52,0.0287549592234711,59,0.0286795201114907
,51,0.512242315871886,60,0.549409576653337,51,0.528544638776509,60,0.566463186411344,51,0.51238578542266,60,0.553417999907495,51,0.531699803449331,60,0.573727484379811,51,0.529119625980724,60,0.572555611061402,51,0.54929176404769,60,0.593744208477564,51,0.563281064479991,60,0.608744904025675,51,0.586829875636563,60,0.632212388766572,51,0.028170205616047,60,0.0280252281408931,51,0.0280526258789824,60,0.027837226145654,51,0.0127954552437356,60,0.012784958667047,51,0.0127987200647414,60,0.0127311895156884,51,0.0119077855572605,60,0.0117467126413339,51,0.0117560152802636,60,0.0116686144318702,51,0.0288585605695978,60,0.028787479660735,51,0.0287554567951165,60,0.0286529901295098
,50,0.506806825300993,61,0.554915528755949,50,0.523220224820699,61,0.572258304034973,50,0.506798171447129,61,0.560158670488499,50,0.525858720255205,61,0.580589499273102,50,0.523229086220443,61,0.579589839505576,50,0.543217108676367,61,0.600923437476311,50,0.557264464800454,61,0.615874218833744,50,0.580622878673976,61,0.639586117755593,50,0.0282279207200433,61,0.0279912734273209,50,0.0280693286756612,61,0.0278276049786777,50,0.0128046812243478,61,0.0127924194529411,50,0.0127807528817343,61,0.012744632402396,50,0.0119142161589862,61,0.0117557914618371,50,0.0117548699781875,61,0.0116763401403229,50,0.0288827107917501,61,0.0287532407190664,50,0.0287809178745327,61,0.028693581315246
,49,0.501684121513251,62,0.561002101083236,49,0.517984587515046,62,0.578268614843163,49,0.50146881606739,62,0.566929389134904,49,0.520137918095125,62,0.587316824430442,49,0.517713699735113,62,0.586777024361448,49,0.537331944852207,62,0.608332743943726,49,0.551370894653456,62,0.622923613385591,49,0.574462264653913,62,0.646736265211053,49,0.0282041845719986,62,0.0279765554010683,49,0.0280757944606887,62,0.027815801372373,49,0.0127874291568851,62,0.0127939200913695,49,0.0127781312800987,62,0.0127399696334286,49,0.0118815721762433,62,0.0117629994521796,49,0.011777131659734,62,0.0116964646596035,49,0.0288882816062145,62,0.028781874639503,49,0.028808120762941,62,0.0287291000568905
,48,0.496700505530351,63,0.566840566989588,48,0.512637312621865,63,0.58431476254306,48,0.495928879504362,63,0.573661413693022,48,0.514581107058223,63,0.59434857014745,48,0.512051828021475,63,0.593821399253478,48,0.531623389620734,63,0.615980889346239,48,0.545827855501292,63,0.630606262877333,48,0.568753714769264,63,0.654073854176776,48,0.0282086504264968,63,0.0279821967356769,48,0.0281033305664736,63,0.0277992262787714,48,0.0128018134414153,63,0.0127871951119197,48,0.0127906434159173,63,0.0127572085075055,48,0.0118908797714021,63,0.0117766911991927,48,0.0117555856470848,63,0.011704246794323,48,0.028900311512131,63,0.0287987110187387,48,0.0288112950746933,63,0.0287215233226309
,47,0.491561620121442,64,0.572886024571235,47,0.507555461412179,64,0.590580008034896,47,0.490670489136182,64,0.58041695022887,47,0.508996935368748,64,0.601323241505791,47,0.506658595231989,64,0.600786548661456,47,0.525892343247227,64,0.623354759205069,47,0.540341883735383,64,0.638131703304231,47,0.562870366029558,64,0.661589928645884,47,0.0282592627059588,64,0.0279471946197599,47,0.0281179908650044,64,0.0278110007047595,47,0.0128155202587148,64,0.0127903634547584,47,0.0127970550132363,64,0.0127694937553379,47,0.0119047754142955,64,0.0117611872656335,47,0.0117691291873758,64,0.0117105598083959,47,0.0289196579239791,64,0.0287770546180555,47,0.028793026098868,64,0.0287067623230204
,46,0.486831266774943,65,0.579108887197606,46,0.502651954663004,65,0.596869689439644,46,0.485662663503498,65,0.587667971731139,46,0.503762363392347,65,0.608221234174992,46,0.501533525908084,65,0.608129715243,46,0.520550867750138,65,0.630780814730084,46,0.535010886042414,65,0.644972591293758,46,0.557191974918987,65,0.668883349902145,46,0.0282775137023305,65,0.0279542795566654,46,0.0280914900436185,65,0.0278335142640339,46,0.0128105831793242,65,0.0128001852209498,46,0.0127978730565902,65,0.0127756536813166,46,0.0118975647467577,65,0.0117558458651304,46,0.0117499390190268,65,0.0117220659923825,46,0.0289250129594334,65,0.0287699073239668,46,0.0287782376371285,65,0.0286839817216744
,45,0.4820839453711,66,0.585316402900738,45,0.497640456183335,66,0.603570377198784,45,0.480459060310052,66,0.595199063880762,45,0.49831966854709,66,0.615433832763651,45,0.496212870536697,66,0.615707881483345,45,0.515006189830569,66,0.638361713251413,45,0.529701406149213,66,0.65234443696482,45,0.5517043373802,66,0.676291265082396,45,0.0282877899187279,66,0.0279695850884262,45,0.0281210607417941,66,0.0278215498422208,45,0.0127966144142729,66,0.0128225136941143,45,0.0127727810787176,66,0.0127820827533835,45,0.0118947327172732,66,0.0117852507940908,45,0.0117402179410181,66,0.0117371894310031,45,0.0289087362513211,66,0.0288045913393185,45,0.0287956378693515,66,0.0286686516695869
,44,0.477253095489794,67,0.591979450668574,44,0.492783894172071,67,0.610144316816642,44,0.475334386459779,67,0.602215950637087,44,0.492917320632913,67,0.62255424885738,44,0.490964205736461,67,0.62279920188481,44,0.509501916537093,67,0.645919174908771,44,0.524424311309995,67,0.659362700160809,44,0.546148695781895,67,0.683619689771314,44,0.0282777968318416,67,0.0279330247935847,44,0.0281469844781279,67,0.0278345246733678,44,0.0127834227590647,67,0.01282023608761,44,0.0127535537558964,67,0.0128021946915585,44,0.0118639899531266,67,0.0117865009429359,44,0.0117496006489629,67,0.0117581590357707,44,0.0289021595158243,67,0.0287925766162638,44,0.0288110545157364,67,0.0286930663085339
,43,0.472566932141665,68,0.598647853047725,43,0.487819366390813,68,0.617236436011878,43,0.470104250217187,68,0.60970987097143,43,0.487563086335343,68,0.6296075721343,43,0.485668767687592,68,0.630266913474125,43,0.50398898051414,68,0.653444803719157,43,0.519300704514969,68,0.666400999967887,43,0.540671911141702,68,0.691079351284056,43,0.028264174321486,68,0.0279239073711326,43,0.0281510127592321,68,0.0278667540743687,43,0.0127625745496612,68,0.0128078031073398,43,0.0127676403754399,68,0.0128171638365529,43,0.0118327713847686,68,0.0117593503128485,43,0.0117709622071339,68,0.0117784321226992,43,0.0288753238699025,68,0.0287813899600561,43,0.0288271253504904,68,0.0287277561320564
,42,0.467874252176738,69,0.605668905120209,42,0.483094213015467,69,0.624245392071789,42,0.465168574603198,69,0.617078645070726,42,0.482418150674021,69,0.63679481949219,42,0.480656465279889,69,0.637596635220831,42,0.499266136599001,69,0.66119036578456,42,0.514023461847875,69,0.673691959411223,42,0.535252894364489,69,0.698371457008711,42,0.0282451324064871,69,0.0279618470026444,42,0.0281502787604653,69,0.0278330940655559,42,0.0127616858210334,69,0.012838129804499,42,0.0127550594486299,69,0.0128392638048092,42,0.0118370204949775,69,0.011795258995784,42,0.0117436447875953,69,0.0117634711396958,42,0.0288748019835528,69,0.0288092496858059,42,0.0288583080574202,69,0.0287100535676235
,41,0.463509663090714,70,0.612742957450873,41,0.478327959508746,70,0.631507350149184,41,0.459935801583847,70,0.624568746166227,41,0.477106652545055,70,0.643515781893268,41,0.475357418211118,70,0.644967306737688,41,0.493701522581921,70,0.668529467706832,41,0.509003899124163,70,0.680793471735133,41,0.529945782922831,70,0.705986861379675,41,0.0282582827519493,70,0.0279881069213691,41,0.0281425566455659,70,0.0277969409603911,41,0.0127507760591429,70,0.0128617261261649,41,0.012751767572285,70,0.0128262953119018,41,0.0118344255990517,70,0.011829872909503,41,0.0117293530949908,70,0.011728027963404,41,0.0289058400569348,70,0.0288404192366173,41,0.0288358464420264,70,0.0286830203567654
,40,0.458979194946556,71,0.620063526152699,40,0.473750161841889,71,0.639044213189344,40,0.455017621269398,71,0.632130881700164,40,0.472035343931682,71,0.650430039318127,40,0.47035229830268,71,0.65229764578256,40,0.48834987329597,71,0.676430531373739,40,0.504138153590425,71,0.687776304753209,40,0.524586023820168,71,0.713778364931383,40,0.0282482267584139,71,0.0279918811400849,40,0.0281407947048704,71,0.0278115827038933,40,0.0127236820696177,71,0.0128682006679746,40,0.0127521788232632,71,0.0128261055672122,40,0.0118051318447056,71,0.0118315193796157,40,0.0117287112614452,71,0.0117449114882545,40,0.0289024706751602,71,0.0288257145045195,40,0.0288079360487872,71,0.0286729095713593
,39,0.454498585249396,72,0.627477477616179,39,0.469143562647212,72,0.646458376988399,39,0.450010460293365,72,0.639608988899538,39,0.466739251548617,72,0.657266012783746,39,0.46519999512283,72,0.659630620052949,39,0.482889106763301,72,0.684362757216959,39,0.498831945281044,72,0.695001881251378,39,0.519199397037163,72,0.721142775415025,39,0.0282319656613188,72,0.0279537340452484,39,0.0281086657915142,72,0.0278318534105489,39,0.0126967536873489,72,0.0128501013650435,39,0.0127110123940413,72,0.0128381966222015,39,0.0117687647046324,72,0.0118119459642084,39,0.011695456491776,72,0.0117665768273674,39,0.0288373800485698,72,0.0287971946498478,39,0.0288144638590273,72,0.0287042777964723
,38,0.450168684845756,73,0.635221930739289,38,0.464693478780069,73,0.654179415565719,38,0.445087339469435,73,0.646767468805967,38,0.461782614881544,73,0.664153120014198,38,0.460122084135329,73,0.666807881117216,38,0.477718698593968,73,0.69228205355361,38,0.493772212187501,73,0.703069662245335,38,0.51387711913636,73,0.730808927177229,38,0.0282099151113005,73,0.0279724782534291,38,0.0280860276395712,73,0.0278196969990899,38,0.0126786250098636,73,0.0128476347345486,38,0.0126678136162779,73,0.0128201475729538,38,0.0117203651719664,73,0.0118067059211326,38,0.0116462015221524,73,0.0117459559084938,38,0.0287934083600474,73,0.028831707571318,38,0.0287853121681117,73,0.0287181337554671
,37,0.446013301104085,74,0.643358946530884,37,0.460402967714441,74,0.662868250325031,37,0.440298213184944,74,0.653802694563995,37,0.456707331724204,74,0.670769880082634,37,0.455181268106126,74,0.673845088810429,37,0.472468022672365,74,0.700061595187585,37,0.488934322780361,74,0.711389914318,37,0.508763687969483,74,0.739571213026017,37,0.0282073032890163,74,0.0279803907926182,37,0.0281391175326652,74,0.0278039396653465,37,0.0126399333180996,74,0.0128742368713647,37,0.0126865088752806,74,0.0128113215456434,37,0.0116800435979561,74,0.0118202924492164,37,0.0116817572078912,74,0.0117444522139312,37,0.0287744559147669,74,0.0288457071750179,37,0.0287728717799697,74,0.0287076814321984
,36,0.441990662735321,75,0.651723046927188,36,0.456037342405418,75,0.671454197120362,36,0.435581366977191,75,0.66203737786041,36,0.451771123731118,75,0.677236729208893,36,0.450260962084353,75,0.68189676703932,36,0.467294665345251,75,0.70751549262264,36,0.484052717162317,75,0.718210519607373,36,0.50347867800207,75,0.745206071211911,36,0.0282119173850292,75,0.0279508496967681,36,0.0281379089097494,75,0.0278318457805681,36,0.0126097853140482,75,0.0128907929294839,36,0.012659482918168,75,0.0128451261332254,36,0.0116673330812927,75,0.0118185742215381,36,0.0116651075767285,75,0.0117644128880989,36,0.0287485280102029,75,0.0288211709091365,36,0.0287613281388572,75,0.0286982944198816
,35,0.437841427507426,76,0.659054042324901,35,0.451843235299571,76,0.678881168255134,35,0.430986775818722,76,0.669442765434634,35,0.446925168618447,76,0.683503327053023,35,0.44544525279345,76,0.689038433033515,35,0.462191537907427,76,0.714847622023763,35,0.479176007348089,76,0.725401998648217,35,0.498328548325836,76,0.752960162365144,35,0.028186053774965,76,0.0279432243668281,35,0.0281087250724238,76,0.0278372310315257,35,0.0126080214211404,76,0.0128730617117286,35,0.012632738911432,76,0.0128543307710516,35,0.0116314674671561,76,0.0118239653443936,35,0.0116226519465536,76,0.0117404230754103,35,0.0287384097034619,76,0.0288067618674059,35,0.0287214372751109,76,0.0287029913942391
,34,0.433889550528237,77,0.666551042048224,34,0.447795519793405,77,0.686943745231603,34,0.426474104030229,77,0.677348395187543,34,0.442411348181037,77,0.690112732263182,34,0.440752555123046,77,0.696865864367264,34,0.457440093155902,77,0.722648946294091,34,0.474429328104881,77,0.732855290672333,34,0.493341139221774,77,0.760658846093884,34,0.0281502081244878,77,0.0279378871612345,34,0.0280951350985138,77,0.0278434079554055,34,0.0125717835403589,77,0.0128788645350942,34,0.0126331922589572,77,0.0128342572531294,34,0.0115793761374417,77,0.0118427140248139,34,0.0115850256779213,77,0.0117615978543446,34,0.028733579040962,77,0.0288030225617315,34,0.0287356610313438,77,0.0287139609052068
,33,0.43008430791434,78,0.674132594096719,33,0.443905616059135,78,0.694827182187024,33,0.421971157523825,78,0.684833430509931,33,0.437771476453837,78,0.696584150271903,33,0.435987458842967,78,0.704455297513961,33,0.452599280805357,78,0.730378327971991,33,0.469639954276882,78,0.740275769744535,33,0.488479404139019,78,0.768787178587346,33,0.0281566575633429,78,0.0279561748080885,33,0.0281146462886207,78,0.0278430541788677,33,0.012552276116476,78,0.0129124157613095,33,0.0126285886908062,78,0.0128371738561296,33,0.0115717954422506,78,0.0118551012908344,33,0.0116090151773759,78,0.0117861115996889,33,0.0287243638734218,78,0.0288345419953871,33,0.0287260923650559,78,0.0287112003438985
,32,0.426306810761425,79,0.681973826902737,32,0.440146912733808,79,0.702843777065062,32,0.417809233916774,79,0.6923308482481,32,0.43344660320796,79,0.702791415210845,32,0.431562392073924,79,0.711972072649448,32,0.448013522224256,79,0.738189285477945,32,0.46505141941443,79,0.747712822043458,32,0.483709167001463,79,0.776331828926025,32,0.028146827843309,79,0.027985937772889,32,0.0281224566674665,79,0.027847050687881,32,0.012537082064184,79,0.0129180409423095,32,0.0126214172761617,79,0.0128645859330439,32,0.0115661257991733,79,0.0118745975039424,32,0.0116192124618078,79,0.0117930187266233,32,0.0286740329610734,79,0.0288396626092636,32,0.0287138314736252,79,0.0287134322092697
,31,0.422851354976226,80,0.689292883379939,31,0.436380408092433,80,0.710562449815931,31,0.41364571614385,80,0.699678819347882,31,0.429086726337816,80,0.708287783541819,31,0.427185113296777,80,0.719225275719118,31,0.443394829521414,80,0.74621110552531,31,0.460507675131156,80,0.754553406231003,31,0.478934287606242,80,0.783884732132447,31,0.0281015325938551,80,0.0279795503834131,31,0.0280728045113507,80,0.0278562448033348,31,0.0125088750633428,80,0.0129033763346113,31,0.0125903717918678,80,0.0128562055271896,31,0.0115103932799288,80,0.0118667785284643,31,0.0115520240498507,80,0.0117841691518803,31,0.0286525325382727,80,0.0288228969434879,31,0.0287299941171006,80,0.0287117218347084
,30,0.419187012705299,81,0.696722007679978,30,0.432650947677981,81,0.718106607252099,30,0.409497817897886,81,0.707395170019851,30,0.424811441442882,81,0.712177751643618,30,0.422817567203131,81,0.726860403166194,30,0.438887464623704,81,0.754057308779746,30,0.456186371705258,81,0.761815684504189,30,0.47433100581419,81,0.791047393756436,30,0.0280789124222356,81,0.0279456575391056,30,0.0280858825007259,81,0.0278526412097971,30,0.0124931953428962,81,0.0128972621685652,30,0.0125838869845179,81,0.0128545161467287,30,0.0114984050944714,81,0.011843409792753,30,0.0115539927949867,81,0.0117764405249173,30,0.0286679384967836,81,0.0287932726793868,30,0.028718400772271,81,0.0287171255284813
,29,0.415736707953798,82,0.704385030494696,29,0.429194949194833,82,0.725844087308,29,0.405574802348458,82,0.715267109724239,29,0.420757097694049,82,0.713833293499608,29,0.418642713985736,82,0.734581139631512,29,0.434625944796849,82,0.761871205035695,29,0.451924852824008,82,0.76932800107032,29,0.469823276324157,82,0.798444648254194,29,0.0281083500331874,82,0.0279479608146817,29,0.0280736123839023,82,0.0278652910158302,29,0.0125055383973755,82,0.0129108549723891,29,0.01255113415809,82,0.0128716459790089,29,0.0114940876844951,82,0.0118398297123015,29,0.0115417035053175,82,0.0117864689828305,29,0.0286392028046048,82,0.0288046453767393,29,0.0286796396587896,82,0.0287229951820759
