CSV Report,2024-01-26_RNA_melting_KCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,516 mM KCl_260.00nm_90.0-21.0C,,516 mM KCl_260.00nm_21.0-90.0C,,516 mM KCl_260.00nm_90.0-21.0C_R1,,516 mM KCl_260.00nm_21.0-90.0C_R1,,116 mM KCl_260.00nm_90.0-21.0C,,116 mM KCl_260.00nm_21.0-90.0C,,116 mM KCl_260.00nm_90.0-21.0C_R1,,116 mM KCl_260.00nm_21.0-90.0C_R1,,66 mM KCl_260.00nm_90.0-21.0C,,66 mM KCl_260.00nm_21.0-90.0C,,66 mM KCl_260.00nm_90.0-21.0C_R1,,66 mM KCl_260.00nm_21.0-90.0C_R1,,31 mM KCl_260.00nm_90.0-21.0C,,31 mM KCl_260.00nm_21.0-90.0C,,31 mM KCl_260.00nm_90.0-21.0C_R1,,31 mM KCl_260.00nm_21.0-90.0C_R1,,516 mM KCl_400.00nm_90.0-21.0C,,516 mM KCl_400.00nm_21.0-90.0C,,516 mM KCl_400.00nm_90.0-21.0C_R1,,516 mM KCl_400.00nm_21.0-90.0C_R1,,116 mM KCl_400.00nm_90.0-21.0C,,116 mM KCl_400.00nm_21.0-90.0C,,116 mM KCl_400.00nm_90.0-21.0C_R1,,116 mM KCl_400.00nm_21.0-90.0C_R1,,66 mM KCl_400.00nm_90.0-21.0C,,66 mM KCl_400.00nm_21.0-90.0C,,66 mM KCl_400.00nm_90.0-21.0C_R1,,66 mM KCl_400.00nm_21.0-90.0C_R1,,31 mM KCl_400.00nm_90.0-21.0C,,31 mM KCl_400.00nm_21.0-90.0C,,31 mM KCl_400.00nm_90.0-21.0C_R1,,31 mM KCl_400.00nm_21.0-90.0C_R1,
,86,0.733946830152864,25,0.395190497888863,86,0.759315781810279,25,0.407782170457473,86,0.742013489750529,25,0.38203218507715,86,0.771724301480342,25,0.396565864493461,86,0.759242686007269,25,0.394299022597124,86,0.792192786853618,25,0.409624112492834,86,0.79221279138485,25,0.427129212345991,86,0.829023706448772,25,0.443977307041455,86,0.0280757552224751,25,0.0280721090024725,86,0.0279492532762097,25,0.0279994781929822,86,0.0129048580699435,25,0.0123824685489993,86,0.0128920841198546,25,0.0124625004478821,86,0.0118673916816155,25,0.0113643200852777,86,0.0118764150431731,25,0.0113814415549393,86,0.0289221395891908,25,0.0286554110113031,86,0.0287964440973416,25,0.0286414259123889
,85,0.728444105535023,26,0.398009371852579,85,0.752259742510623,26,0.410653656986813,85,0.73568750420119,26,0.385542907832767,85,0.765017785838575,26,0.400046370042603,85,0.753654907154708,26,0.397859083270792,85,0.785559959148883,26,0.413113782412139,85,0.786998525397753,26,0.430932450771991,85,0.822214646798009,26,0.447683754675621,85,0.0280865238946399,26,0.0280561402583993,85,0.0279435606397389,26,0.0280431595785004,85,0.0128731112364274,26,0.0123871343032927,85,0.0128982515680604,26,0.0124752829911218,85,0.0118895370042786,26,0.0113552963660654,85,0.0118601811868799,26,0.0114197228086976,85,0.0288772935296616,26,0.0286347040426622,85,0.0288076298060708,26,0.0286675414633648
,84,0.721997435230361,27,0.400816167095134,84,0.745339766974972,27,0.413602111121449,84,0.728790971555629,27,0.389074968456696,84,0.757969278878175,27,0.403520118388755,84,0.746858127524238,27,0.401539022186174,84,0.778406131826988,27,0.416766748382693,84,0.780731392532282,27,0.434488043020573,84,0.81508127641425,27,0.451286676022931,84,0.0280750486442421,27,0.0280406766908342,84,0.0279633986576302,27,0.0280549251376524,84,0.0128579644324668,27,0.0123782505778857,84,0.0128880130992337,27,0.0124607077871874,84,0.0118721831403187,27,0.0113247154681553,84,0.0118661511230372,27,0.0114189590541663,84,0.0288447433834269,27,0.028598571966988,84,0.0287964274572622,27,0.0286695372042001
,83,0.714863069168492,28,0.403845205099714,83,0.738288454716877,28,0.4167193753129,83,0.721914350395588,28,0.392312790533655,83,0.751095396081605,28,0.406806500905238,83,0.739877078226939,28,0.4050103904022,83,0.771451082674245,28,0.420285602552431,83,0.77396299656361,28,0.437566765686679,83,0.8078743416688,28,0.454869386491094,83,0.0281009377694271,28,0.0280488259307863,83,0.0279747471118974,28,0.0280341230202481,83,0.012866938966977,28,0.0123897498614376,83,0.0128769293664087,28,0.0124524810408619,83,0.0119025412033834,28,0.0113212473622948,83,0.0118425683332623,28,0.0114170958909369,83,0.02884777007893,28,0.0286057416778258,83,0.0287925782299929,28,0.0286458401252638
,82,0.707745492625322,29,0.407129642742634,82,0.731084523594194,29,0.419871030490177,82,0.714971500688332,29,0.39576039694171,82,0.743996868701989,29,0.410523839276799,82,0.732907682580873,29,0.408661594900317,82,0.764356304872181,29,0.424221362306943,82,0.766893437222315,29,0.441427527364965,82,0.800752898995668,29,0.459073106501936,82,0.0281061936267294,29,0.0280444559197604,82,0.0279833340819603,29,0.0280177457277321,82,0.0128718307618163,29,0.0124111705032719,82,0.0128869350676097,29,0.0124628863210374,82,0.0119267333544364,29,0.011333442156481,82,0.0118570306051894,29,0.0114007268075747,82,0.0288665786253693,29,0.0286111030989169,82,0.0287821067355757,29,0.0286170544977303
,81,0.70095430452217,30,0.410284075654161,81,0.72365282041735,30,0.423351127929284,81,0.708421555873148,30,0.399577055413095,81,0.736683715795988,30,0.414621489132201,81,0.726423410203456,30,0.412620182878237,81,0.757008388249702,30,0.428548756988096,81,0.759871761838132,30,0.445914320909994,81,0.793653598396841,30,0.463627785328585,81,0.0281345147888226,30,0.0280408161096658,81,0.0279662374871837,30,0.0279773761500007,81,0.0128584436185043,30,0.0124145889163383,81,0.0128970868462041,30,0.0124722991789862,81,0.0119343906908649,30,0.0113449377069852,81,0.0118599642590099,30,0.0113765223945203,81,0.0288874274581356,30,0.0286046199829831,81,0.0287926031747975,30,0.0286099565449467
,80,0.693968814089135,31,0.413600133827718,80,0.716465751470964,31,0.426812899643238,80,0.701657469513393,31,0.403470964263922,80,0.729563280574437,31,0.418446273133021,80,0.719696856911881,31,0.416691887692789,80,0.749882601809586,31,0.432614344691198,80,0.752875212222944,31,0.449795015684869,80,0.786527601246271,31,0.467779902966667,80,0.0280909807227649,31,0.028029378295645,80,0.0279356244070102,31,0.0279961521894154,80,0.0128442584052535,31,0.0124220797692544,80,0.0128871407413156,31,0.0124833463064958,80,0.0119009509853527,31,0.0113346811702799,80,0.011807530596795,31,0.0113892971978445,80,0.0288901439538291,31,0.0285847214848943,80,0.0287786914491374,31,0.0286152659718288
,79,0.68691272655871,32,0.417128829566849,79,0.709228391950286,32,0.430233549726168,79,0.694960280651551,32,0.407254762489988,79,0.722283083601238,32,0.422258831351888,79,0.712994704223032,32,0.420713240561278,79,0.74261224458225,32,0.436690928710435,79,0.745956412578452,32,0.453930072799403,79,0.779461029853955,32,0.472233859989188,79,0.028078336288059,32,0.0279961946300227,79,0.0279559970540888,32,0.0280062238213345,79,0.0128542007038359,32,0.0124088706989229,79,0.0128747368462737,32,0.012484093611757,79,0.0118922452113925,32,0.011312106450245,79,0.0118274373016573,32,0.0113859052992153,79,0.0288720478187755,32,0.0286147752372198,79,0.028776633881331,32,0.0286294780483163
,78,0.680050490346592,33,0.420592100014056,78,0.702241267206227,33,0.433913014770875,78,0.688095202818168,33,0.411317418072783,78,0.715566049037351,33,0.426697278425496,78,0.706170597386849,33,0.424968985150281,78,0.73587990450858,33,0.441340263860758,78,0.739042314806808,33,0.458522388892546,78,0.772281803862367,33,0.477160287262503,78,0.0280784403215823,33,0.0279936370579727,78,0.0279685251923677,33,0.0279898396385564,78,0.0128547941366491,33,0.012391830455188,78,0.0128829548355436,33,0.0124896527338727,78,0.0119090163150555,33,0.0113247408754914,78,0.0118490802673699,33,0.0113923714405508,78,0.0288575490618216,33,0.0286183024761783,78,0.0287914890547784,33,0.0286558297806471
,77,0.67272339291612,34,0.424120962781399,77,0.694798775915018,34,0.437525135984134,77,0.681396300701697,34,0.415526737108429,77,0.708379357595323,34,0.430964805718525,77,0.699490989400745,34,0.429420864581932,77,0.728665412769173,34,0.445808958071365,77,0.732108974416725,34,0.462951195648668,77,0.765451719040448,34,0.481834118890695,77,0.0280694485505764,34,0.0280277394271636,77,0.0279548268116013,34,0.0280081712907775,77,0.0128559879313039,34,0.0124049753938603,77,0.0128944042890371,34,0.012498918665288,77,0.011915103308155,34,0.0113504298817937,77,0.0118388077346249,34,0.0114138825390743,77,0.0288627511736282,34,0.0285936086522055,77,0.0287655546901434,34,0.0286315675511768
