CSV Report,2023-11-09_RNA_melting_MgCl2_KCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,10 mM MgCl2_260.00nm_90.0-21.0C,,10 mM MgCl2_260.00nm_21.0-90.0C,,10 mM MgCl2_260.00nm_90.0-21.0C_R1,,10 mM MgCl2_260.00nm_21.0-90.0C_R1,,5 mM MgCl2_260.00nm_90.0-21.0C,,5 mM MgCl2_260.00nm_21.0-90.0C,,5 mM MgCl2_260.00nm_90.0-21.0C_R1,,5 mM MgCl2_260.00nm_21.0-90.0C_R1,,1 mM MgCl2_260.00nm_90.0-21.0C,,1 mM MgCl2_260.00nm_21.0-90.0C,,1 mM MgCl2_260.00nm_90.0-21.0C_R1,,1 mM MgCl2_260.00nm_21.0-90.0C_R1,,0.1 mM MgCl2_260.00nm_90.0-21.0C,,0.1 mM MgCl2_260.00nm_21.0-90.0C,,0.1 mM MgCl2_260.00nm_90.0-21.0C_R1,,0.1 mM MgCl2_260.00nm_21.0-90.0C_R1,,10 mM MgCl2_400.00nm_90.0-21.0C,,10 mM MgCl2_400.00nm_21.0-90.0C,,10 mM MgCl2_400.00nm_90.0-21.0C_R1,,10 mM MgCl2_400.00nm_21.0-90.0C_R1,,5 mM MgCl2_400.00nm_90.0-21.0C,,5 mM MgCl2_400.00nm_21.0-90.0C,,5 mM MgCl2_400.00nm_90.0-21.0C_R1,,5 mM MgCl2_400.00nm_21.0-90.0C_R1,,1 mM MgCl2_400.00nm_90.0-21.0C,,1 mM MgCl2_400.00nm_21.0-90.0C,,1 mM MgCl2_400.00nm_90.0-21.0C_R1,,1 mM MgCl2_400.00nm_21.0-90.0C_R1,,0.1 mM MgCl2_400.00nm_90.0-21.0C,,0.1 mM MgCl2_400.00nm_21.0-90.0C,,0.1 mM MgCl2_400.00nm_90.0-21.0C_R1,,0.1 mM MgCl2_400.00nm_21.0-90.0C_R1,
,86,0.289458687606307,25,0.244204448799873,86,0.296193751682183,25,0.251651676894025,86,0.285215830462679,25,0.233825594241586,86,0.297053677329104,25,0.24560872044248,86,0.313325486277656,25,0.258515756021615,86,0.322051566188092,25,0.266475029309104,86,0.34247835364836,25,0.289874677180816,86,0.354655450932397,25,0.299056033277239,86,0.0245486664803376,25,0.0250723886372884,86,0.0245114756543193,25,0.0250037328437612,86,0.00593839329419307,25,0.00587450343226443,86,0.00591796746885663,25,0.00585245486149456,86,0.00630445184981197,25,0.00648225581858757,86,0.0061169146140292,25,0.00627786895920188,86,0.0252016937303041,25,0.0253950025143908,86,0.0250355085523693,25,0.0253484971510224
,85,0.289207596750285,26,0.24456962657983,85,0.295578264700064,26,0.252150782834994,85,0.284755258883738,26,0.234238968241832,85,0.296513439493244,26,0.24607802986419,85,0.313471602426866,26,0.258952649502794,85,0.321602287146258,26,0.26699166674342,85,0.342418072550722,26,0.290305309026139,85,0.3542526450908,26,0.299586770696237,85,0.0245241636654619,26,0.0250562889622003,85,0.0245072051966927,26,0.024990238566237,85,0.00590546989454795,26,0.00587951640987046,85,0.00592907807128104,26,0.0058520231044865,85,0.00626199791440401,26,0.00646315232390242,85,0.00610772801908345,26,0.00625976070893661,85,0.0251342757822654,26,0.0253916372919856,85,0.0250365759993343,26,0.0253735545144257
,84,0.288551292498298,27,0.244903984622117,84,0.295045680307812,27,0.2525318865468,84,0.284043584978395,27,0.234548626162121,84,0.295988477030867,27,0.246488208333649,84,0.313246225846449,27,0.259280779599701,84,0.321067317094174,27,0.267400016290748,84,0.341925772245902,27,0.290779460252796,84,0.353799343160999,27,0.300056701280918,84,0.0244991308537104,27,0.0250520716003633,84,0.0245155097821308,27,0.0249770848383603,84,0.00594310871108257,27,0.00587007396756572,84,0.0059195299008641,27,0.00583479539687339,84,0.00622945928226332,27,0.00644151491294834,84,0.00609493072131463,27,0.00618349477890047,84,0.0251073661215188,27,0.0254129860690551,84,0.0250202975432835,27,0.0253704122617466
,83,0.287817960000168,28,0.245171867456169,83,0.294440444204239,28,0.252868650303318,83,0.283310000441814,28,0.234860470337089,83,0.295410558477967,28,0.246877347127317,83,0.31249594741863,28,0.259619663611365,83,0.320558945380858,28,0.267810072754109,83,0.341393115896845,28,0.291373081530579,83,0.353383499326261,28,0.300639080081457,83,0.0244894114545263,28,0.0250313593282275,83,0.0245193377225144,28,0.0249634891820884,83,0.00591386683942664,28,0.00585310477619771,83,0.00591928392228536,28,0.00584546624168494,83,0.00618527787397964,28,0.00643246546881512,83,0.00610183296861595,28,0.00618972773314118,83,0.0250938630105792,28,0.0253844997315332,83,0.0250334246547851,28,0.0253441618862462
,82,0.287052743517847,29,0.245442033166841,82,0.293795899947339,29,0.253338764542563,82,0.282620643499741,29,0.23526913844239,82,0.294754745648104,29,0.247382259353722,82,0.311697302347744,29,0.26000057747121,82,0.320040837842483,29,0.268264189836327,82,0.340969595550701,29,0.291949126420274,82,0.352950374396004,29,0.301274338724116,82,0.024476958666003,29,0.0250099545329264,82,0.0245131645717167,29,0.0249795643634163,82,0.00587728424714183,29,0.00588064444718896,82,0.00593587728018469,29,0.00587106144092681,82,0.00617549755382838,29,0.00642931483008351,82,0.0060707372357651,29,0.00618544955064431,82,0.0250759579603905,29,0.0253739980534552,82,0.0250185498262709,29,0.025333347879586
,81,0.28618364967744,30,0.245872588677235,81,0.29305717911652,30,0.25385732646742,81,0.281970552198377,30,0.235710191168494,81,0.294048492240059,30,0.24791649785488,81,0.311071401564103,30,0.260483623207403,81,0.319478405439545,30,0.268783922173589,81,0.340736756686823,30,0.292475081701916,81,0.352588413219702,30,0.301887958046297,81,0.0244598496661845,30,0.0250081451894323,81,0.0245260760829487,30,0.0249770631309199,81,0.00589994721295833,30,0.00589559569782339,81,0.00593136767011046,30,0.00586431809092575,81,0.00617848293283229,30,0.00638962901694026,81,0.00608013133625134,30,0.00614974960455434,81,0.0250942674946765,30,0.0253679197605764,81,0.0250284057305761,30,0.0253279595236426
,80,0.285296535161117,31,0.24632097085254,80,0.292322160261346,31,0.254359028253841,80,0.281213165716929,31,0.236102780732333,80,0.293291401203256,31,0.24839942885649,80,0.310487414700639,31,0.261094712809701,80,0.318920796870493,31,0.269341269037786,80,0.340543219122018,31,0.293144261696566,80,0.352239924484163,31,0.302568795289095,80,0.0244646173484853,31,0.0250150505443363,80,0.0245290087577571,31,0.0249787614694333,80,0.00589447425036012,31,0.00587358030208705,80,0.0059449067566888,31,0.00587230891979652,80,0.00618076018867229,31,0.00640617843689009,80,0.00609376790960521,31,0.0061438947356617,80,0.0251250263839255,31,0.0253649342151633,80,0.0250393266724425,31,0.0253372686707752
,79,0.284344509415788,32,0.246626949309009,79,0.291518009438474,32,0.254867353399683,79,0.280365767451759,32,0.23654723178745,79,0.292538700908351,32,0.248880713518031,79,0.309883281038175,32,0.261580078025131,79,0.31835875049372,32,0.269892398934555,79,0.340127923375671,32,0.293842151833738,79,0.351843384160629,32,0.30329907684132,79,0.0245000721775679,32,0.0250305611908638,79,0.0245379302841271,32,0.0250054586477486,79,0.00587915613707493,32,0.0058899333889131,79,0.00594865927764029,32,0.0058715643988052,79,0.00619376304753298,32,0.00646414136073292,79,0.00608250889978294,32,0.00615743578008466,79,0.0251253055029313,32,0.0253856433520181,79,0.0250454182592684,32,0.0253620709323459
,78,0.283320814163383,33,0.247016140456864,78,0.290674579594246,33,0.25539829775096,78,0.279458580209076,33,0.237026058459005,78,0.291697802404323,33,0.249452321264388,78,0.309261749084842,33,0.261931646328496,78,0.317730759424359,33,0.270390019704562,78,0.339758112047819,33,0.294513504267038,78,0.351401643114518,33,0.304023871709204,78,0.0245208425368625,33,0.0250167411694679,78,0.0245072328714674,33,0.0250024210930927,78,0.00588048560255658,33,0.00590247049703079,78,0.0059335768666832,33,0.00585456014401066,78,0.00617831928514839,33,0.00639599709237693,78,0.00605205265154218,33,0.00616486602448469,78,0.0250817623072926,33,0.0253784134778492,78,0.0250449378458914,33,0.0253524407805202
,77,0.282158344715973,34,0.247498784321519,77,0.289771500380395,34,0.255920722734159,77,0.278437080287597,34,0.23743486872167,77,0.29075722652956,34,0.249978604120367,77,0.308568187183273,34,0.262603816015892,77,0.31707375421276,34,0.270876224684038,77,0.339409611288923,34,0.29526717065231,77,0.350932452664026,34,0.304754877524959,77,0.0244943512898332,34,0.0250103223725576,77,0.0244886105421235,34,0.0249733219192456,77,0.00586400634199168,34,0.00590270658568288,77,0.00592316512757332,34,0.00584716892768245,77,0.00615428878935045,34,0.0064251602732602,77,0.00603632112332914,34,0.00614843309896876,77,0.0250819048312362,34,0.0253927928666956,77,0.0250047317121636,34,0.0253428134640234
