CSV Report,2024-01-25_RNA_melting_KCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,26 mM KCl_260.00nm_90.0-21.0C,,26 mM KCl_260.00nm_21.0-90.0C,,26 mM KCl_260.00nm_90.0-21.0C_R1,,26 mM KCl_260.00nm_21.0-90.0C_R1,,21 mM KCl_260.00nm_90.0-21.0C,,21 mM KCl_260.00nm_21.0-90.0C,,21 mM KCl_260.00nm_90.0-21.0C_R1,,21 mM KCl_260.00nm_21.0-90.0C_R1,,17 mM KCl_260.00nm_90.0-21.0C,,17 mM KCl_260.00nm_21.0-90.0C,,17 mM KCl_260.00nm_90.0-21.0C_R1,,17 mM KCl_260.00nm_21.0-90.0C_R1,,8.3 mM KCl_260.00nm_90.0-21.0C,,8.3 mM KCl_260.00nm_21.0-90.0C,,8.3 mM KCl_260.00nm_90.0-21.0C_R1,,8.3 mM KCl_260.00nm_21.0-90.0C_R1,,26 mM KCl_400.00nm_90.0-21.0C,,26 mM KCl_400.00nm_21.0-90.0C,,26 mM KCl_400.00nm_90.0-21.0C_R1,,26 mM KCl_400.00nm_21.0-90.0C_R1,,21 mM KCl_400.00nm_90.0-21.0C,,21 mM KCl_400.00nm_21.0-90.0C,,21 mM KCl_400.00nm_90.0-21.0C_R1,,21 mM KCl_400.00nm_21.0-90.0C_R1,,17 mM KCl_400.00nm_90.0-21.0C,,17 mM KCl_400.00nm_21.0-90.0C,,17 mM KCl_400.00nm_90.0-21.0C_R1,,17 mM KCl_400.00nm_21.0-90.0C_R1,,8.3 mM KCl_400.00nm_90.0-21.0C,,8.3 mM KCl_400.00nm_21.0-90.0C,,8.3 mM KCl_400.00nm_90.0-21.0C_R1,,8.3 mM KCl_400.00nm_21.0-90.0C_R1,
,66,0.642470543749933,45,0.502233674894974,66,0.661235510997485,45,0.515753994662826,66,0.619798592065096,45,0.479955074194071,66,0.642270298383607,45,0.495832080194083,66,0.618142313611321,45,0.481236595157819,66,0.64176937399459,45,0.4987794810299,66,0.607602924527485,45,0.511380720564339,66,0.631276809214799,45,0.529285377718644,66,0.0296366968431148,45,0.0295813076569644,66,0.0296687378957605,45,0.0294703947659329,66,0.00950337105960464,45,0.00948384930124093,66,0.00941843707868766,45,0.00945419634651325,66,0.00915061915564628,45,0.00915372954939709,66,0.00919764423502224,45,0.0090575918212318,66,0.0326041221852627,45,0.0329163897249268,66,0.0325880477165603,45,0.0326929846376284
,65,0.636475040283283,46,0.507401660070165,65,0.654807253182481,46,0.521117903570912,65,0.613908645172671,46,0.484919355053776,65,0.635745586751637,46,0.501081537056716,65,0.612429493190185,46,0.486166616306328,65,0.635411978486178,46,0.504123631172979,65,0.603944917480557,46,0.515306086319121,65,0.627210615903927,46,0.533604241284801,65,0.029634839468899,46,0.0295673860761837,65,0.0296366847349115,46,0.0294993111540852,65,0.00950650020951462,46,0.00948825249179929,65,0.00941196383942971,46,0.00944120091071398,65,0.00912942897975359,46,0.00913848589753008,65,0.0091872479686075,46,0.00905605769374159,65,0.0326548368548959,46,0.0329004646620788,65,0.0325762681515787,46,0.0326701016319677
,64,0.630330581652951,47,0.51267671286883,64,0.648155487030586,47,0.526471249503793,64,0.607799105373076,47,0.490345455044185,64,0.62952020641206,47,0.506472817725704,64,0.606493134231619,47,0.491615373089377,64,0.62934221532089,47,0.509617960078166,64,0.600230439784435,47,0.519394985816165,64,0.623231839770076,47,0.537787450434604,64,0.0296242083282514,47,0.0295406708290482,64,0.0296350761067338,47,0.0294656760170179,64,0.00952513542432485,47,0.00947531951988216,64,0.00943064206778222,47,0.00942280505769823,64,0.00915541495630225,47,0.0091258988830354,64,0.00918039162621154,47,0.00904271908154305,64,0.0326795152624556,47,0.0328420894876622,64,0.0325665959869687,47,0.0326428116897631
,63,0.62408394837204,48,0.518047726416402,63,0.641961619087951,48,0.531973509305057,63,0.601842792696781,48,0.495747330257167,63,0.623030661423202,48,0.51173367289015,63,0.600637078307704,48,0.497112335625721,63,0.623064439758306,48,0.514936942124087,63,0.596276624346045,48,0.523612059238509,63,0.619254447971574,48,0.542162864904073,63,0.0296399739725628,48,0.0295118152373621,63,0.0296390978126937,48,0.0295010577666072,63,0.00952354668251521,48,0.00946310303857247,63,0.00944143920318167,48,0.00944213174472287,63,0.00920753731884055,48,0.00910221418950771,63,0.00919248031576154,48,0.00906640048611643,63,0.0326555045082925,48,0.0327972866047,63,0.0325818871218192,48,0.0326488577946926
,62,0.617609714290109,49,0.523576767692683,62,0.635283898375293,49,0.537421905061356,62,0.595948942775162,49,0.501140264128656,62,0.61662174678437,49,0.517481132765216,62,0.594563429888444,49,0.50258538209047,62,0.616767253070481,49,0.520739575063787,62,0.592462743884967,49,0.527858065651858,62,0.61515662381681,49,0.546519411019903,62,0.029662698870362,49,0.0295389448673927,62,0.0296363589400518,49,0.0294819193562595,62,0.00952790933815137,49,0.00946138583625502,62,0.00943814479121069,49,0.00945991477984814,62,0.00915130502152994,49,0.00912183222108978,62,0.00915875183425111,49,0.00907631787915245,62,0.0326664221652332,49,0.0328212631798695,62,0.0325889162984657,49,0.0326390554659321
,61,0.611302148130075,50,0.529161176938714,61,0.62856165458198,50,0.543184851115358,61,0.590068159841793,50,0.50676250618546,61,0.610049248680854,50,0.523231652819323,61,0.588696125312089,50,0.508118991310061,61,0.610340269172139,50,0.52653927340571,61,0.588529682880829,50,0.532260069671879,61,0.611033464262342,50,0.550964717904566,61,0.0296162121950455,50,0.029555002131396,61,0.0296477254619257,50,0.0294778484683945,61,0.00954789799050293,50,0.00947390143734551,61,0.00944275192397189,50,0.00945343894919036,61,0.00911689714383446,50,0.00913623482210367,61,0.00916463053557676,50,0.00908956338132703,61,0.0326683277670346,50,0.0328418964339447,61,0.0326166143065626,50,0.0326420209737592
,60,0.604818657029147,51,0.534799007924262,60,0.621746421301903,51,0.548927247690116,60,0.583581530011609,51,0.51243719751497,60,0.60331009206395,51,0.529189383386985,60,0.582453702695116,51,0.513828571250995,60,0.603790245751129,51,0.532504713901234,60,0.584653447238817,51,0.536706479624313,60,0.606787122151426,51,0.555575975734805,60,0.0296141774241603,51,0.0295272381094255,60,0.0296336020365552,51,0.0295059219942822,60,0.00954603524379136,51,0.00947046936532911,60,0.00945619820526542,51,0.0094539206780018,60,0.00912981343566764,51,0.00913060760763649,60,0.00916575249470069,51,0.00907459321321426,60,0.0327072769906683,51,0.0328023294542592,60,0.032613451268768,51,0.0326497210870067
,59,0.59852542095745,52,0.540744333706497,59,0.615091939551205,52,0.554964064730519,59,0.57731952739358,52,0.518470270466011,59,0.596771390615751,52,0.535233017324118,59,0.576373459361818,52,0.519887999586463,59,0.597470905275616,52,0.538604104951035,59,0.580684044945752,52,0.541222692127462,59,0.60266294611679,52,0.560425617018835,59,0.0296317330993727,52,0.0295122027579783,59,0.0295982339707985,52,0.0295136408518363,59,0.00952040883870075,52,0.00946082447441796,59,0.00944047225960538,52,0.0094523065845518,59,0.00913210535642023,52,0.0091620689002493,59,0.00913254607501024,52,0.00905644354515644,59,0.0327201709507107,52,0.0328036229490706,59,0.0326016788868953,52,0.0326340347568657
,58,0.592040944546498,53,0.546573391609328,58,0.608349998131929,53,0.560984200098954,58,0.570975345391747,53,0.524339821559396,58,0.590032440405968,53,0.541266433575273,58,0.570223740201369,53,0.525747164858131,58,0.59092836881815,53,0.544699491841321,58,0.576651360125447,53,0.545711054386082,58,0.598979814569041,53,0.565066157897648,58,0.0296612405818252,53,0.0295231700511507,58,0.0296144377763904,53,0.0295679121539192,58,0.00953055476181217,53,0.00945357811637084,58,0.00945981437809417,53,0.00942339772334783,58,0.00913678709173048,53,0.00913407400117156,58,0.00916390724769763,53,0.0090982734829249,58,0.0326707652488483,53,0.0328062034828819,58,0.0326198511195947,53,0.0326613326101207
,57,0.585700741803958,54,0.552668263960624,57,0.601887672958679,54,0.567294527005082,57,0.564608613864795,54,0.530429820264774,57,0.583519146399494,54,0.547726912080405,57,0.564089249114004,54,0.531833926561072,57,0.584661191444146,54,0.551190524227301,57,0.572685975665237,54,0.550423199955642,57,0.594613713603205,54,0.569963577424717,57,0.0296359733512249,54,0.0295600205208838,57,0.0296414517925155,54,0.0295622095938424,57,0.00954601092935259,54,0.00943129854475345,57,0.00946159299192957,54,0.00941877832773094,57,0.00914207765377439,54,0.00912221501159558,57,0.00916674485261766,54,0.00910772206635867,57,0.0326611384905514,54,0.0327881887687402,57,0.0326396085072143,54,0.0326512446746722
,56,0.579200548287591,55,0.558976969910223,56,0.595002066671533,55,0.573959274543111,56,0.558467104659768,55,0.53667779173724,56,0.576570210475242,55,0.554155829683907,56,0.558141874062559,55,0.538085281048414,56,0.577962132641887,55,0.557607784352321,56,0.568450232933694,55,0.555046750854891,56,0.590166836355468,55,0.574660308250316,56,0.0296231973832198,55,0.0295389947732875,56,0.029633301865682,55,0.0295578787638327,56,0.00953572154485839,55,0.00943225559043115,56,0.00943828992092632,55,0.0094350917405407,56,0.0091500211554369,55,0.00914423805079347,56,0.00917126298933224,55,0.00909809843629481,56,0.0326841513579579,55,0.0327862893853571,56,0.032643089715483,55,0.0326333687886927
,55,0.57267213042577,56,0.565391650020551,55,0.588515782241526,56,0.580174383267889,55,0.551807257418252,56,0.543161729677856,55,0.570155326863132,56,0.560751681972723,55,0.551567039305854,56,0.544508623717396,55,0.571715627576588,56,0.564199057217065,55,0.56417426007707,56,0.559617165993588,55,0.585850854057808,56,0.57975927968219,55,0.02963334232142,56,0.029523542484251,55,0.0296473110759562,56,0.0295743133125821,55,0.00951921407299779,56,0.0094657078511576,55,0.00945649930612361,56,0.00943572993672367,55,0.00913828934179736,56,0.00917072983334534,55,0.00919374350024205,56,0.00909824657599613,55,0.0326955766753867,56,0.0327872528721454,55,0.0326511182746593,56,0.0326112271235526
,54,0.566386259184121,57,0.572097062125982,54,0.582074866958588,57,0.58685936580773,54,0.545399154579366,57,0.549675656302082,54,0.563522875638216,57,0.567453833468676,54,0.54525584954859,57,0.550988981963206,54,0.565331352850837,57,0.570965298840983,54,0.559926381604701,57,0.564338672459739,54,0.581064611248749,57,0.584825686133237,54,0.0296331398054961,57,0.0295076300843523,54,0.0296482586258877,57,0.0295555205542922,54,0.00953459973662302,57,0.00946728048330108,54,0.00944683588726034,57,0.00944366196030373,54,0.00911841213725014,57,0.00913520217791291,54,0.00920094111130758,57,0.00906327272642935,54,0.0326865183076552,57,0.0327678892321809,54,0.0326513887333737,57,0.0326010130664393
,53,0.56010813989464,58,0.578619243429349,53,0.575407927282756,58,0.59383658987137,53,0.539138972370945,58,0.556233496166924,53,0.556825517303338,58,0.574246970969295,53,0.539107666331963,58,0.557485299224444,53,0.558880136995849,58,0.577926647827326,53,0.555448939854219,58,0.56898449593927,53,0.576369437860221,58,0.589255312341476,53,0.0296312306594104,58,0.0294933152007569,53,0.0296467788257356,58,0.0295763943055727,53,0.00954150906491496,58,0.00944528162757131,53,0.00942627563126113,58,0.0094566283952939,53,0.0091262204681415,58,0.0091078265242471,53,0.00918358716675364,58,0.00910257358375384,53,0.0327099534513097,58,0.0327419272588066,53,0.0326388737071925,58,0.0325948114884637
,52,0.554057193807508,59,0.585913862586392,52,0.569224862679453,59,0.600810546085473,52,0.533000788051373,59,0.562889214254971,52,0.550584706703627,59,0.581082741697654,52,0.533033577432457,59,0.564007945334572,52,0.552695204123665,59,0.584691710176868,52,0.550967193382448,59,0.573501140624753,52,0.571876717117111,59,0.593684395835655,52,0.0296472297603554,59,0.0295140170477036,52,0.0296148062101339,59,0.0295887308713151,52,0.00954755602888306,59,0.00946489500871661,52,0.00943147519295152,59,0.00943126729440744,52,0.00914643090942212,59,0.00915700240777646,52,0.00916653498400194,59,0.00910431799210282,52,0.0327301453251798,59,0.0327572222300202,52,0.0327051180600067,59,0.032592025881688
,51,0.548170722670749,60,0.592654918613012,51,0.563166257681546,60,0.607749286460236,51,0.526814926379467,60,0.569550013450259,51,0.544178211655497,60,0.58776097939083,51,0.526925018017607,60,0.570547677810952,51,0.546339687552797,60,0.591291917656233,51,0.546457288177279,60,0.577873633408436,51,0.567021845484493,60,0.598091824327608,51,0.029648948694948,60,0.0295410187210746,51,0.0296261559749435,60,0.0295913014830532,51,0.00956813779130202,60,0.00948878142073084,51,0.0094380641768993,60,0.00946329014127812,51,0.00914002526183184,60,0.0091887581155784,51,0.00916997101235107,60,0.0091177346293879,51,0.0327235904816075,60,0.0327591329703131,51,0.032686052301367,60,0.0325988834249139
,50,0.542210410845948,61,0.599366334614376,50,0.55692608016929,61,0.614667411917073,50,0.520813410164883,61,0.576080252087644,50,0.537799296381946,61,0.594667365239575,50,0.521029532848544,61,0.576975643420947,50,0.540011490370265,61,0.598069421257037,50,0.541981511013771,61,0.582080634241749,50,0.562313464571666,61,0.602616410250035,50,0.0296763911878977,61,0.0295721325260094,50,0.0296414023389841,61,0.0296179414832554,50,0.00956459578229128,61,0.0094898646626804,50,0.00945489191233999,61,0.00947647904074063,50,0.00915096443543126,61,0.00922112185633222,50,0.00918805836868999,61,0.00912719171002364,50,0.0327748883306221,61,0.032767792831737,50,0.0326976312408506,61,0.0326044834538879
,49,0.536379996610378,62,0.605815104739473,49,0.551093618223971,62,0.621400452364568,49,0.51486345113006,62,0.582460699164474,49,0.531633102990602,62,0.60144153575691,49,0.515161412776226,62,0.583241396962973,49,0.533865495682111,62,0.604654843767422,49,0.537610857806725,62,0.586511493567428,49,0.557649052535471,62,0.606907062457578,49,0.0296783615179317,62,0.0295730692306303,49,0.0296412073759996,62,0.0296365376943192,49,0.00956066589704458,62,0.00946661394386582,49,0.00945150917393841,62,0.00947630423942679,49,0.00917263282845736,62,0.0092272525973503,49,0.00918769753386071,62,0.00910952609096611,49,0.0327784722323753,62,0.0328122560017008,49,0.0327084550131628,62,0.0325853488154147
,48,0.530859850472882,63,0.612832070684021,48,0.545120830307722,63,0.628279712024809,48,0.509172678735523,63,0.589058074189932,48,0.525939259481824,63,0.608153860875247,48,0.509549712853223,63,0.589883777349897,48,0.528146439663513,63,0.611158567373144,48,0.53311603320089,63,0.590967749233404,48,0.552973641672533,63,0.611169943979271,48,0.0296525664950597,63,0.0295480563016362,48,0.029600319371821,63,0.029630457048845,48,0.00955555682378906,63,0.0094764123619729,48,0.00944686227226405,63,0.00949620938553447,48,0.00914069303872261,63,0.00921119021266569,48,0.00917253669261666,63,0.00909607856575759,48,0.032720859372599,63,0.0328140887927707,48,0.0326624244150795,63,0.0325854614955669
,47,0.525375465930809,64,0.61979752056428,47,0.539462609920661,64,0.635460389610025,47,0.503657303618909,64,0.595620882492796,47,0.520006780580067,64,0.61504799213988,47,0.504100467331176,64,0.596380756140299,47,0.522270007672897,64,0.618002231638745,47,0.528817049919162,64,0.595051448821627,47,0.548378218076039,64,0.615509123583033,47,0.0296425549891529,64,0.0295623257375858,47,0.0295918494443714,64,0.0296038284757537,47,0.00954622818737063,64,0.00950217732360091,47,0.00944392428532925,64,0.00953134000816767,47,0.00912624634014655,64,0.00920207117575074,47,0.00917723058175851,64,0.00909800419524622,47,0.0327189306730322,64,0.032743382693386,47,0.0326703958333233,64,0.0325739897715769
,46,0.51997643370103,65,0.62627227654045,46,0.533774750839294,65,0.642582510818743,46,0.498312527898881,65,0.601971734017435,46,0.514395305368588,65,0.62182555330372,46,0.498790177099828,65,0.60262642389151,46,0.516685277997573,65,0.624849551355302,46,0.524645670420607,65,0.599313992729658,46,0.543907459387614,65,0.619979638695745,46,0.0296519005548494,65,0.0295403652260903,46,0.029610328512601,65,0.0295955242452767,46,0.00954030373255261,65,0.00948999366755564,46,0.00946031195064424,65,0.00955159350053052,46,0.00914020137333493,65,0.00919325928251561,46,0.0091817631159265,65,0.00908106518959954,46,0.0327437288403144,65,0.0327188981402568,46,0.032698838847996,65,0.0325427999432856
,45,0.514658515032618,66,0.633184283279244,45,0.528528973621589,66,0.64935420424883,45,0.492874324424289,66,0.608519845632737,45,0.508829226956241,66,0.62878656389157,45,0.493368713275113,66,0.609277907492165,45,0.511222796305337,66,0.631832094538109,45,0.520785828928594,66,0.603588456285487,45,0.539835774457258,66,0.624416148051999,45,0.0296146363325185,66,0.0295049795030711,45,0.0296056031847184,66,0.0296290152178737,45,0.0095612796362545,66,0.0094589711718108,45,0.00947572321302815,66,0.00955788100689164,45,0.00913051296001202,66,0.00918826188773296,45,0.00918417055595749,66,0.00910437686586448,45,0.0327545510449679,66,0.0327076214530451,45,0.0327069025656009,66,0.0325734923269709
,44,0.509440982650495,67,0.640360658732986,44,0.523209616327077,67,0.65608103512189,44,0.487557882561356,67,0.615027390876719,44,0.50330417008947,67,0.635364492824317,44,0.488181583866162,67,0.615887030344684,44,0.505742257414204,67,0.638417912188937,44,0.516764545979146,67,0.607931622563513,44,0.535499511597934,67,0.628802606918501,44,0.029625266404993,67,0.0295326642001867,44,0.0296095945594672,67,0.0296558482439448,44,0.00957646162497001,67,0.00945597838023958,44,0.00948591999393609,67,0.00956854881761333,44,0.00915582186035312,67,0.00921117048222424,44,0.00916476158302013,67,0.00913424204871899,44,0.0327569706374091,67,0.0327197642805687,44,0.0327040389319865,67,0.0325919382149878
,43,0.504294716191847,68,0.647136368682483,43,0.517929702063086,68,0.663067955780608,43,0.482368806044525,68,0.621396783256779,43,0.498031832290363,68,0.642152926378502,43,0.48306927530824,68,0.622184320024746,43,0.500540533295361,68,0.645181362108017,43,0.512657431179682,68,0.612152043768272,43,0.531360902917783,68,0.633302598382371,43,0.029654281412467,68,0.0295700730843421,43,0.0296081662089974,68,0.0296448000540741,43,0.00955761244823474,68,0.00947923946214497,43,0.00947424664404561,68,0.0095812054337992,43,0.00917443724604086,68,0.00920542144708377,43,0.00917243187828342,68,0.00915639468874104,43,0.0327751022316608,68,0.0327316657182652,43,0.0327109499217931,68,0.0325603684768447
,42,0.499329589198985,69,0.653210467270007,42,0.512757076633955,69,0.670113421922551,42,0.477326745277116,69,0.627582026117023,42,0.492826328105557,69,0.648746044465316,42,0.478061233001898,69,0.628326556027222,42,0.495432688732241,69,0.651749184451293,42,0.508768124250992,69,0.61627873354878,42,0.527421398437541,69,0.637696826529577,42,0.0296532957467122,69,0.02954727557882,42,0.0295843624846794,69,0.0296189486057987,42,0.00955436411375072,69,0.00948392283427169,42,0.00946334245983853,69,0.00958584083834105,42,0.00914770594812814,69,0.00918547278385153,42,0.00916829035237712,69,0.00913921768489666,42,0.0327901540183891,69,0.0327026034823857,42,0.0327015623042827,69,0.0325420733638672
,41,0.494317968082836,70,0.659937670767485,41,0.507669680422159,70,0.676421177723283,41,0.472236424404612,70,0.634429955132485,41,0.487511252210594,70,0.655105636135481,41,0.473076363674771,70,0.635101008055084,41,0.490143340877117,70,0.658037920344785,41,0.504990889950419,70,0.620533677419003,41,0.52340958041011,70,0.642003061156451,41,0.0296326713126526,70,0.029546880760377,41,0.0296182167535574,70,0.02964293521998,41,0.00956588337028503,70,0.00946770833471119,41,0.00949168605545497,70,0.00956614537757265,41,0.00914031605167382,70,0.00919583611596131,41,0.00917726182714531,70,0.00915297482127663,41,0.0328191412300131,70,0.0326934878613178,41,0.0327345695579073,70,0.0325489586212916
,40,0.48923762130857,71,0.666609875339881,40,0.502613559870582,71,0.68347553461913,40,0.46719809749942,71,0.640974617736187,40,0.482518160760924,71,0.662030313956712,40,0.468138822862956,71,0.641351318565985,40,0.485229828347151,71,0.664800574866527,40,0.501292220979109,71,0.624758722564603,40,0.519480032706298,71,0.646604465118064,40,0.0296476452620605,71,0.0295542170325375,40,0.0296214788250664,71,0.0296631600212581,40,0.00958000985303875,71,0.00946590136148253,40,0.00948660119258468,71,0.00956879874573356,40,0.00915677433571354,71,0.00921432955865424,40,0.00917654607529384,71,0.009178459274018,40,0.032833918391614,71,0.032695985308812,40,0.0327306567329982,71,0.0325546897955002
,39,0.484308332976452,72,0.673213125795865,39,0.497510988297331,72,0.690359500088131,39,0.462292596260974,72,0.647806056360639,39,0.477456128116981,72,0.669448082656268,39,0.463351443488929,72,0.64767410696441,39,0.480264304905821,72,0.671888586255758,39,0.497581142109182,72,0.629020834203306,39,0.515764774426998,72,0.651239451703931,39,0.0296441561245583,72,0.0295624166677802,39,0.0295750541912243,72,0.0296674539843132,39,0.00959761788079,72,0.00946915352998196,39,0.00951257104148603,72,0.00955958647463205,39,0.00917383397176393,72,0.00924057800913264,39,0.00914265479199112,72,0.00916594646520017,39,0.0328203077487306,72,0.0327076338652734,39,0.0327140128781863,72,0.0325516332243456
,38,0.479551978769631,73,0.67973915883685,38,0.49250579219816,73,0.697550232630839,38,0.457493877837548,73,0.655601299492152,38,0.472414911730593,73,0.677011802103011,38,0.458660750123011,73,0.654093067027942,38,0.475342193998253,73,0.678639303895538,38,0.494088795021639,73,0.633540970219928,38,0.511988899319511,73,0.655648506673722,38,0.029618499051291,73,0.0296038628695057,38,0.0295641475787058,73,0.029661464023467,38,0.00956355955262221,73,0.00947084036595422,38,0.00949411845166548,73,0.00954482863040233,38,0.00914484286954027,73,0.00923993605954334,38,0.00911005852465145,73,0.00914777423774298,38,0.0328057366052287,73,0.0327060062584398,38,0.0326948150626545,73,0.0325463404399258
,37,0.474850707929122,74,0.686542236363016,37,0.487576702064234,74,0.704506159715952,37,0.452639205398466,74,0.663745803201981,37,0.467372772272126,74,0.684585360186942,37,0.453898002696119,74,0.660845704509924,37,0.470392771504289,74,0.685273299814838,37,0.490514546789888,74,0.637984477257477,37,0.508225412594986,74,0.660327517094807,37,0.0296156633421935,74,0.0296009372456303,37,0.0296037636549554,74,0.0296186177993705,37,0.00955036443383729,74,0.00946926032090744,37,0.00949534303252191,74,0.00954617323435979,37,0.00912118850907388,74,0.00921737856019557,37,0.0091162052944479,74,0.00913051872398089,37,0.0328306591195235,74,0.0326982018579483,37,0.0327095836312043,74,0.0325469986724348
,36,0.470034520468837,75,0.692984118309151,36,0.482602217250621,75,0.711645780289104,36,0.447778710009989,75,0.670082599511131,36,0.462404101112426,75,0.691630862327554,36,0.449197768369844,75,0.667372228874405,36,0.46551619208383,75,0.692374093943525,36,0.487264684776973,75,0.642428085901445,36,0.504687391657275,75,0.66510422507415,36,0.0296233711758101,75,0.0295916975096819,36,0.0296055805742762,75,0.0295957841417558,36,0.00956366982086776,75,0.009487706409259,36,0.0095146981222088,75,0.0095426141853372,36,0.00910535823388091,75,0.00923104867925661,36,0.00915045572988078,75,0.00912942212162183,36,0.0328936552208135,75,0.0326945263316073,36,0.0327708037310736,75,0.0325312331059447
,35,0.465403702376261,76,0.699963504336736,35,0.477812712718632,76,0.718783987227697,35,0.443095908243503,76,0.677490725993113,35,0.457485611228145,76,0.699018928854261,35,0.444674267546082,76,0.674582141239055,35,0.460696002742426,76,0.699959564386342,35,0.483840384511684,76,0.646883468734792,35,0.501064875661512,76,0.670027077502168,35,0.0296136273796216,76,0.0295658591240668,35,0.029588738786017,76,0.029585129652784,35,0.00956494099283984,76,0.00947515629017043,35,0.00950608592125406,76,0.00948318026437428,35,0.00913663489078753,76,0.00922471501008734,35,0.00912459963466951,76,0.009137135997739,35,0.0328791385840118,76,0.0326614684238108,35,0.0327440473374887,76,0.0325057295943113
,34,0.460686896265319,77,0.706712144897124,34,0.47297171413419,77,0.725730939156737,34,0.438445838509127,77,0.684805877607632,34,0.452491849765356,77,0.706003946719028,34,0.440074258202388,77,0.681551582900065,34,0.455761568714316,77,0.706719076079211,34,0.480402170053663,77,0.651280245376415,34,0.49740930039621,77,0.674665523562125,34,0.029631373326043,77,0.0295807240268076,34,0.0295718728022996,77,0.0295368739892122,34,0.00955815910873656,77,0.00946450027897923,34,0.00949172780210588,77,0.00945819085909524,34,0.00913893938791334,77,0.00923244987326722,34,0.00910796600788622,77,0.00911790667979476,34,0.032848590367855,77,0.0326575899009197,34,0.0327284802017393,77,0.0324603279754645
,33,0.455921354536108,78,0.713236472761367,33,0.468214278366483,78,0.73324050917822,33,0.433743922058739,78,0.692222797100982,33,0.447706636230318,78,0.714073725223418,33,0.435440366232928,78,0.688436470255756,33,0.45106573958233,78,0.714343122282877,33,0.476966633507297,78,0.655776687581258,33,0.49389297813337,78,0.679637650832294,33,0.0296326492860732,78,0.0296017498563974,33,0.0295868085044995,78,0.029550306462072,33,0.00956073224931788,78,0.0094810446266685,33,0.00954223010070348,78,0.00948553837755871,33,0.009126387297844,78,0.00925398677978549,33,0.00913069245045436,78,0.00911874956639294,33,0.0328815457124501,78,0.0326706856118243,33,0.0327412735901643,78,0.0324581299872328
,32,0.451444462597365,79,0.720011407290478,32,0.463552496652947,79,0.740767412782781,32,0.428934850207615,79,0.70011312720931,32,0.44293824145812,79,0.722129951648334,32,0.43071733535679,79,0.695468587470418,32,0.446364616439817,79,0.721629467744684,32,0.473658508602198,79,0.660700290097987,32,0.490343876208676,79,0.684494139773878,32,0.0296309068038859,79,0.0295881212087494,32,0.0295516578313267,79,0.0295987111806305,32,0.00956307785887272,79,0.00946738293200047,32,0.00951806965499245,79,0.0094772111998341,32,0.00912679179748586,79,0.00925450871253636,32,0.00911191024420902,79,0.00914751648724436,32,0.0329040012422426,79,0.032669790967653,32,0.0327576892470338,79,0.0324828043857218
,31,0.446854568080331,80,0.726757536455982,31,0.45900536505922,80,0.747919476731927,31,0.424477802340429,80,0.708158314440838,31,0.438302960018117,80,0.729983226155388,31,0.426298904916608,80,0.702379206317179,31,0.441794729783584,80,0.728658032469948,31,0.470290453131668,80,0.665258699931752,31,0.486734383931561,80,0.689276899083449,31,0.0296252139674175,80,0.0295682283757142,31,0.0295658085008663,80,0.0296071881903603,31,0.0095802186200992,80,0.00945474128558374,31,0.00952286665203827,80,0.0094756274602822,31,0.00915831169950359,80,0.00923755787010304,31,0.00909377905555865,80,0.00915079124515236,31,0.0328938430694937,80,0.0326488500873792,31,0.0327447460328587,80,0.0324792386930468
,30,0.442490968543131,81,0.733628153822682,30,0.454498309490223,81,0.755682213233106,30,0.420142447904607,81,0.716306632946041,30,0.433754455504546,81,0.737577043873494,30,0.422131031255151,81,0.709391748217897,30,0.437278009925524,81,0.735614959466478,30,0.466921124348225,81,0.669982915713698,30,0.483382078780094,81,0.694222128141094,30,0.029618686038976,81,0.0295912345272311,30,0.0295694324717631,81,0.0295896289880528,30,0.00957965543126375,81,0.0094434998465152,30,0.00954201308091083,81,0.00947132868915606,30,0.00916367241906616,81,0.00922974524279801,30,0.00914651891164444,81,0.00914683879839164,30,0.0328943728122604,81,0.0326361214794139,30,0.032763481333882,81,0.0324870594300994
,29,0.438242722056062,82,0.740434984845396,29,0.449995706205198,82,0.763350043233128,29,0.415728673999843,82,0.72479803336846,29,0.429168300731063,82,0.745685461046138,29,0.417825979546851,82,0.716601608439773,29,0.432724801596085,82,0.743192828240982,29,0.463670492238555,82,0.674804616624175,29,0.479716681790692,82,0.699383594851969,29,0.0296446130000202,82,0.0296009787750518,29,0.0295619718937894,82,0.0296119856711552,29,0.00956723396643368,82,0.00944581509548814,29,0.00953084472749505,82,0.00947840204834758,29,0.0091649890471014,82,0.00921673716962663,29,0.00911386295567061,82,0.00918328827313093,29,0.0329214216900984,82,0.032627203300071,29,0.0327730761883759,82,0.0324872359661969
