CSV Report,2023-11-15_RNA_melting_MgCl2_KCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,500 mM MgCl2_260.00nm_90.0-21.0C,,500 mM MgCl2_260.00nm_21.0-90.0C,,500 mM MgCl2_260.00nm_90.0-21.0C_R1,,500 mM MgCl2_260.00nm_21.0-90.0C_R1,,50 mM MgCl2_260.00nm_90.0-21.0C,,50 mM MgCl2_260.00nm_21.0-90.0C,,50 mM MgCl2_260.00nm_90.0-21.0C_R1,,50 mM MgCl2_260.00nm_21.0-90.0C_R1,,25 mM MgCl2_260.00nm_90.0-21.0C,,25 mM MgCl2_260.00nm_21.0-90.0C,,25 mM MgCl2_260.00nm_90.0-21.0C_R1,,25 mM MgCl2_260.00nm_21.0-90.0C_R1,,10 mM MgCl2_260.00nm_90.0-21.0C,,10 mM MgCl2_260.00nm_21.0-90.0C,,10 mM MgCl2_260.00nm_90.0-21.0C_R1,,10 mM MgCl2_260.00nm_21.0-90.0C_R1,,500 mM MgCl2_400.00nm_90.0-21.0C,,500 mM MgCl2_400.00nm_21.0-90.0C,,500 mM MgCl2_400.00nm_90.0-21.0C_R1,,500 mM MgCl2_400.00nm_21.0-90.0C_R1,,50 mM MgCl2_400.00nm_90.0-21.0C,,50 mM MgCl2_400.00nm_21.0-90.0C,,50 mM MgCl2_400.00nm_90.0-21.0C_R1,,50 mM MgCl2_400.00nm_21.0-90.0C_R1,,25 mM MgCl2_400.00nm_90.0-21.0C,,25 mM MgCl2_400.00nm_21.0-90.0C,,25 mM MgCl2_400.00nm_90.0-21.0C_R1,,25 mM MgCl2_400.00nm_21.0-90.0C_R1,,10 mM MgCl2_400.00nm_90.0-21.0C,,10 mM MgCl2_400.00nm_21.0-90.0C,,10 mM MgCl2_400.00nm_90.0-21.0C_R1,,10 mM MgCl2_400.00nm_21.0-90.0C_R1,
Collection Time,2023-11-15 09:58:19 (+01:00),,2023-11-15 09:58:19 (+01:00),,2023-11-15 09:58:19 (+01:00),,2023-11-15 09:58:19 (+01:00),,2023-11-15 09:58:19 (+01:00),,2023-11-15 09:58:19 (+01:00),,2023-11-15 09:58:19 (+01:00),,2023-11-15 09:58:19 (+01:00),,2023-11-15 09:58:19 (+01:00),,2023-11-15 09:58:19 (+01:00),,2023-11-15 09:58:19 (+01:00),,2023-11-15 09:58:19 (+01:00),,2023-11-15 09:58:19 (+01:00),,2023-11-15 09:58:19 (+01:00),,2023-11-15 09:58:19 (+01:00),,2023-11-15 09:58:19 (+01:00),,2023-11-15 09:58:19 (+01:00),,2023-11-15 09:58:19 (+01:00),,2023-11-15 09:58:19 (+01:00),,2023-11-15 09:58:19 (+01:00),,2023-11-15 09:58:19 (+01:00),,2023-11-15 09:58:19 (+01:00),,2023-11-15 09:58:19 (+01:00),,2023-11-15 09:58:19 (+01:00),,2023-11-15 09:58:19 (+01:00),,2023-11-15 09:58:19 (+01:00),,2023-11-15 09:58:19 (+01:00),,2023-11-15 09:58:19 (+01:00),,2023-11-15 09:58:19 (+01:00),,2023-11-15 09:58:19 (+01:00),,2023-11-15 09:58:20 (+01:00),,2023-11-15 09:58:20 (+01:00),
Cell Number,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,
Module Serial Number,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,
Instrument Serial Number,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
Instrument Name,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs
,90,0.297614102673214,21,0.272637297719574,90,0.326229204431758,21,0.308858049688992,90,0.290835046625694,21,0.247593580936881,90,0.310620080726816,21,0.26683445251323,90,0.295853646096305,21,0.249886161973293,90,0.313330357001881,21,0.266376004560596,90,0.324073368690991,21,0.274925352037596,90,0.335348969109009,21,0.287098944398129,90,0.0533744245033882,21,0.0317635281581959,90,0.0313942554006023,21,0.0314692693443049,90,0.0137744824932999,21,0.0138964861940417,90,0.0135711902666695,21,0.0137946222618052,90,0.00821964647079572,21,0.00838721462111021,90,0.00829428984649444,21,0.00828342787404516,90,0.025841746059374,21,0.026172301278892,90,0.025685316572586,21,0.0260690915308655
,89,0.2962601004664,22,0.272671352955823,89,0.327032129047619,22,0.308985401249427,89,0.29171681287708,22,0.247673858646902,89,0.311385642468792,22,0.266816154502834,89,0.296871272857068,22,0.249879275889598,89,0.314068969066623,22,0.266319852668436,89,0.324351016306163,22,0.2750183958579,89,0.336179253670641,22,0.287141471326843,89,0.0425469626226709,22,0.0317439849497463,89,0.0313465401326745,22,0.0315115621238764,89,0.013761704515688,22,0.0139253287418252,89,0.0135777659823845,22,0.0137671244641042,89,0.0082477862672507,22,0.00837204580057733,89,0.0082777744854649,22,0.00826437457087513,89,0.025810766103564,22,0.026212034437696,89,0.025697514493779,22,0.0260806467156094
,88,0.298967428983632,23,0.272998263911149,88,0.327239901783876,23,0.309216658283614,88,0.292124949707225,23,0.247853464724708,88,0.311553115851936,23,0.267040246314068,88,0.297407136497459,23,0.250002359220111,88,0.313925678375209,23,0.266465458204592,88,0.324445946934803,23,0.275127728181382,88,0.336372037179066,23,0.287265792474005,88,0.0375469901208953,23,0.0317845468716406,88,0.031342458052403,23,0.0315435850460392,88,0.0137697564229974,23,0.0139335247036346,88,0.0135785923429908,23,0.0137694681820694,88,0.00825772363376398,23,0.00837220082837242,88,0.0082872180500038,23,0.00827565264012736,88,0.02578328116572,23,0.0262438308940465,88,0.0257132712256898,23,0.0260775702905257
,87,0.299316016893694,24,0.273441681270515,87,0.327407605330456,24,0.309517171333312,87,0.29258812633345,24,0.248341809584667,87,0.311404842314819,24,0.267641103995134,87,0.297518763113584,24,0.250346923485675,87,0.313726669452649,24,0.266912098892226,87,0.324081936643733,24,0.275350174236075,87,0.336219583522645,24,0.287626110366444,87,0.0345596469142454,24,0.0317647552180552,87,0.031329263057598,24,0.031485997083286,87,0.0137466564792907,24,0.0138887923772871,87,0.0135889553874098,24,0.0137683744659168,87,0.00824530695555585,24,0.00837443292496956,87,0.00830818731976728,24,0.00824457965872292,87,0.0257449188828923,24,0.0262111218080326,87,0.025719240382836,24,0.0260574239549474
