CSV Report,2023-08-23_RNA_melting_NaCl_VS.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,500 mM CaCl2_260.00nm_90.0-21.0C,,500 mM CaCl2_260.00nm_21.0-90.0C,,500 mM CaCl2_260.00nm_90.0-21.0C_R1,,500 mM CaCl2_260.00nm_21.0-90.0C_R1,,100 mM CaCl2_260.00nm_90.0-21.0C,,100 mM CaCl2_260.00nm_21.0-90.0C,,100 mM CaCl2_260.00nm_90.0-21.0C_R1,,100 mM CaCl2_260.00nm_21.0-90.0C_R1,,500 mM MgCl2_260.00nm_90.0-21.0C,,500 mM MgCl2_260.00nm_21.0-90.0C,,500 mM MgCl2_260.00nm_90.0-21.0C_R1,,500 mM MgCl2_260.00nm_21.0-90.0C_R1,,100 mM MgCl2_260.00nm_90.0-21.0C,,100 mM MgCl2_260.00nm_21.0-90.0C,,100 mM MgCl2_260.00nm_90.0-21.0C_R1,,100 mM MgCl2_260.00nm_21.0-90.0C_R1,,500 mM CaCl2_400.00nm_90.0-21.0C,,500 mM CaCl2_400.00nm_21.0-90.0C,,500 mM CaCl2_400.00nm_90.0-21.0C_R1,,500 mM CaCl2_400.00nm_21.0-90.0C_R1,,100 mM CaCl2_400.00nm_90.0-21.0C,,100 mM CaCl2_400.00nm_21.0-90.0C,,100 mM CaCl2_400.00nm_90.0-21.0C_R1,,100 mM CaCl2_400.00nm_21.0-90.0C_R1,,500 mM MgCl2_400.00nm_90.0-21.0C,,500 mM MgCl2_400.00nm_21.0-90.0C,,500 mM MgCl2_400.00nm_90.0-21.0C_R1,,500 mM MgCl2_400.00nm_21.0-90.0C_R1,,100 mM MgCl2_400.00nm_90.0-21.0C,,100 mM MgCl2_400.00nm_21.0-90.0C,,100 mM MgCl2_400.00nm_90.0-21.0C_R1,,100 mM MgCl2_400.00nm_21.0-90.0C_R1,
,30,0.313576366780703,81,0.347537406629879,30,0.35337661703361,81,0.0778869900228743,30,0.261561585496954,81,0.298904583051059,30,0.289448755875408,81,0.0285705750083171,30,0.281772245175045,81,0.320626289250712,30,0.314477067782079,81,0.0389245812648423,30,0.295723567024345,81,0.34413306006875,30,0.323943120059677,81,0.0727521111318952,30,0.0245094833915548,81,0.0244938877391335,30,0.0243253272192742,81,-0.241295483928322,30,0.00992920028716035,81,0.00612752522154881,30,0.00530016384198802,81,-0.260683547383093,30,0.00618008140363861,81,0.00654273335690956,30,0.00633045808658524,81,-0.258911014816063,30,0.0259504257700716,81,0.026762530244568,30,0.02666168090787,81,-0.236400941368926
,29,0.312925217222969,82,0.348556723760252,29,0.352991884879393,82,0.0811505249488128,29,0.260840312174364,82,0.300102773087619,29,0.288684685224849,82,0.031707066777981,29,0.281094830929595,82,0.321570373641669,29,0.313920219362265,82,0.0425987654115742,29,0.29515119051369,82,0.345570321968571,29,0.323086084420094,82,0.0726106474497799,29,0.0245088097955286,82,0.024529998357061,29,0.0242977085129697,82,-0.238583209255193,29,0.00990915156278748,82,0.00582255767520772,29,0.00532194865135315,82,-0.258203844627883,29,0.00620036310711727,82,0.00655091043949627,29,0.00634105701995302,82,-0.2564045061014,29,0.025979912035361,82,0.0267890910900384,29,0.0266535838160507,82,-0.237456033077943
,28,0.312201071525865,83,0.349560582614718,28,0.352589093949451,83,0.0810807725335963,28,0.260185821151315,83,0.301461742555814,28,0.287893513753212,83,0.0321767786328588,28,0.280377536205195,83,0.322584911590408,28,0.313405736603915,83,0.0436316776973759,28,0.294557430002546,83,0.347016325773843,28,0.322413062064437,83,0.0753612071760513,28,0.0245301168987232,83,0.0245417760545018,28,0.0243112639603561,83,-0.240139324840356,28,0.00994018781172502,83,0.00554772494689355,28,0.00535671113586983,83,-0.259360161679852,28,0.00622074815492145,83,0.00656748685014937,28,0.0063359865743252,83,-0.257578389026755,28,0.0260043262303508,83,0.0267905510893132,28,0.0266823382436467,83,-0.23633874195301
,27,0.311555697860569,84,0.350915985408409,27,0.352248971810738,84,0.0935585542023969,27,0.259651844101423,84,0.302649849540888,27,0.287223771272394,84,0.044355001966891,27,0.279781282858433,84,0.32360131272014,27,0.312906635958364,84,0.0552230592935072,27,0.294053845771604,84,0.348338924835137,27,0.321691690827072,84,0.0861929635338541,27,0.0245422056090587,84,0.0245266289626191,27,0.0243100139095797,84,-0.226499650041352,27,0.00995715116362731,84,0.0053265255576544,27,0.0053472489569318,84,-0.246433085351508,27,0.00623093609533167,84,0.00660079833798212,27,0.00634376032136038,84,-0.244653236270156,27,0.0260124827086874,84,0.0267872455078933,27,0.0266938335035159,84,-0.224888407143009
,26,0.310885220719948,85,0.352403098274093,26,0.351922555741118,85,0.0925113874382163,26,0.259007077131427,85,0.304032916160273,26,0.286474255224413,85,0.0456923608699699,26,0.279154434712068,85,0.324695447432536,26,0.312392331521253,85,0.0559571317454125,26,0.293536382307293,85,0.349667105144064,26,0.321001306706326,85,0.0900608781143222,26,0.0245174291909919,85,0.0245073163931197,26,0.0243024650613394,85,-0.224565845102602,26,0.00992250332808221,85,0.00513076491243897,26,0.00533234113787015,85,-0.242015724944125,26,0.00621759227710578,85,0.00659347992689453,26,0.00632301251869005,85,-0.240256052829474,26,0.0260301141594269,85,0.0267811451236071,26,0.0266907620627036,85,-0.217740251472414
,25,0.310199233488209,86,0.35350614556772,25,0.351545698709407,86,0.120489620899142,25,0.258317826226276,86,0.305565270708626,25,0.285635844012865,86,0.0716636771160151,25,0.278494881174013,86,0.325841338609932,25,0.311798733246312,86,0.0816117907635684,25,0.293069082807106,86,0.351066782252263,25,0.320196994351671,86,0.11183043154617,25,0.0245099725507782,86,0.0244712882576565,25,0.0243188602170072,86,-0.18905271048178,25,0.00989116457332787,86,0.00500873923170881,25,0.0053360130804352,86,-0.208616918999906,25,0.00618408263694026,86,0.0065816703123671,25,0.0063490283928797,86,-0.206859415751845,25,0.0260656123021022,86,0.0267668862885496,25,0.0267319246898436,86,-0.188969974052449
,24,0.30944974853775,87,0.354707621569169,24,0.351124990673458,87,0.0922226217529,24,0.257516021869934,87,0.306861551616032,24,0.284718744163903,87,0.0432683935729649,24,0.277767128411281,87,0.327096679103677,24,0.311210194058575,87,0.0526121057136738,24,0.292637029949849,87,0.352515836136862,24,0.319448569000214,87,0.086984795815299,24,0.0245035267585952,87,0.0244664792961832,24,0.0243163052418398,87,-0.214081227434208,24,0.00987520324074489,87,0.0049450290187792,24,0.00536394948724411,87,-0.233683539588403,24,0.00617999467425056,87,0.0065950280736081,24,0.00635754860084798,87,-0.231890475777754,24,0.0261378486807925,87,0.0267615892004146,24,0.0267591865290023,87,-0.210974817501794
,23,0.3087037353264,88,0.355852943838551,23,0.350738822047347,88,0.11817985544956,23,0.256754982532931,88,0.308123078618959,23,0.283926010702735,88,0.0674191584118268,23,0.277139974541499,88,0.328357631417926,23,0.310690546958015,88,0.0762746411583711,23,0.292298606781784,88,0.353952672472813,23,0.318774129632565,88,0.110508235201851,23,0.0244869494491071,88,0.0245052489502858,23,0.0243231030883508,88,-0.177073151227953,23,0.00981794191774015,88,0.00489087358614671,23,0.00534998330804838,88,-0.199517662411032,23,0.0061968112452264,88,0.00660805612618337,23,0.00635166442040473,88,-0.197715120335771,23,0.0262356800230176,88,0.0267808827908086,23,0.0267911925011501,88,-0.177334630172784
,22,0.308043891458367,89,0.357051981345645,22,0.350355658660213,89,0.192128159661757,22,0.256164561848298,89,0.309292615692337,22,0.283141161435233,89,0.143922849510339,22,0.276578350441577,89,0.329465504320172,22,0.310177296333091,89,0.152360359305935,22,0.29198038910605,89,0.355290332277046,22,0.31818379779717,89,0.187159499996713,22,0.0244962883649304,89,0.0245123102739018,22,0.0243248965651088,89,-0.0874579228085157,22,0.00975266400700671,89,0.00484969986551732,22,0.00532846443104782,89,-0.10706180059862,22,0.00616776395464669,89,0.00659260035129679,22,0.00636009146923907,89,-0.105261722342096,22,0.0262951712957087,89,0.0267930525822608,22,0.0268222393234673,89,-0.0848909880289498
,21.2999992370605,0.307614269620967,89.6999969482422,0.357973636245562,21.2999992370605,0.350108598828851,89.6999969482422,0.195449137575048,21.2999992370605,0.255722714908743,89.6999969482422,0.310056140774105,21.2999992370605,0.282665527962894,89.6999969482422,0.14740097121882,21.2999992370605,0.276184809460842,89.6999969482422,0.330148015291061,21.2999992370605,0.309832887279503,89.6999969482422,0.155583400655167,21.2999992370605,0.291793710026059,89.6999969482422,0.356216741344976,21.2999992370605,0.317775031298238,89.6999969482422,0.190423081882489,21.2999992370605,0.0244501536649772,89.6999969482422,0.024494176914912,21.2999992370605,0.0243059270097253,89.6999969482422,-0.0851594905753345,21.2999992370605,0.00972369416897885,89.6999969482422,0.00483807558139573,21.2999992370605,0.00531529866104711,89.6999969482422,-0.10475267361854,21.2999992370605,0.00613398414297085,89.6999969482422,0.00657634020178439,21.2999992370605,0.00634928720537128,89.6999969482422,-0.102949938358726,21.2999992370605,0.0263633850719401,89.6999969482422,0.0267880645344171,21.2999992370605,0.0268601864433276,89.6999969482422,-0.0828351844907679
