CSV Report,2023-08-23_RNA_melting_NaCl_VS.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,500 mM CaCl2_260.00nm_90.0-21.0C,,500 mM CaCl2_260.00nm_21.0-90.0C,,500 mM CaCl2_260.00nm_90.0-21.0C_R1,,500 mM CaCl2_260.00nm_21.0-90.0C_R1,,100 mM CaCl2_260.00nm_90.0-21.0C,,100 mM CaCl2_260.00nm_21.0-90.0C,,100 mM CaCl2_260.00nm_90.0-21.0C_R1,,100 mM CaCl2_260.00nm_21.0-90.0C_R1,,500 mM MgCl2_260.00nm_90.0-21.0C,,500 mM MgCl2_260.00nm_21.0-90.0C,,500 mM MgCl2_260.00nm_90.0-21.0C_R1,,500 mM MgCl2_260.00nm_21.0-90.0C_R1,,100 mM MgCl2_260.00nm_90.0-21.0C,,100 mM MgCl2_260.00nm_21.0-90.0C,,100 mM MgCl2_260.00nm_90.0-21.0C_R1,,100 mM MgCl2_260.00nm_21.0-90.0C_R1,,500 mM CaCl2_400.00nm_90.0-21.0C,,500 mM CaCl2_400.00nm_21.0-90.0C,,500 mM CaCl2_400.00nm_90.0-21.0C_R1,,500 mM CaCl2_400.00nm_21.0-90.0C_R1,,100 mM CaCl2_400.00nm_90.0-21.0C,,100 mM CaCl2_400.00nm_21.0-90.0C,,100 mM CaCl2_400.00nm_90.0-21.0C_R1,,100 mM CaCl2_400.00nm_21.0-90.0C_R1,,500 mM MgCl2_400.00nm_90.0-21.0C,,500 mM MgCl2_400.00nm_21.0-90.0C,,500 mM MgCl2_400.00nm_90.0-21.0C_R1,,500 mM MgCl2_400.00nm_21.0-90.0C_R1,,100 mM MgCl2_400.00nm_90.0-21.0C,,100 mM MgCl2_400.00nm_21.0-90.0C,,100 mM MgCl2_400.00nm_90.0-21.0C_R1,,100 mM MgCl2_400.00nm_21.0-90.0C_R1,
,86,0.32780361296228,25,0.308263762958188,86,0.364457213809776,25,0.350560541369343,86,0.279181562658597,25,0.256596134622436,86,0.315860503575821,25,0.283713852509526,86,0.308863762360745,25,0.276803403676872,86,0.334025400039578,25,0.310460442517946,86,0.334390934690692,25,0.292703266347252,86,0.361320460512451,25,0.318556965010815,86,0.0336286014068339,25,0.024472781803517,86,0.0245175842634346,25,0.0242638180398763,86,0.0325605160088899,25,0.00980237404176524,86,0.00479425351505691,25,0.00534849523550787,86,0.00782877713441079,25,0.00616773641142705,86,0.00657582158866439,25,0.00633195451389636,86,0.0281886683793083,25,0.0267284510273426,86,0.0267666317264624,25,0.0268795335410726
,85,0.330679437875684,26,0.308775248427844,85,0.364663503878422,26,0.350920023649095,85,0.280495586395701,26,0.257367517152389,85,0.315821880784865,26,0.284425023010065,85,0.309527478197999,26,0.277450599507322,85,0.334079459634334,26,0.310917321178998,85,0.334447651009663,26,0.293228043003304,85,0.360985011998468,26,0.319249175827611,85,0.0303005837340681,26,0.0244427836126326,85,0.0245388106106231,26,0.0242787477629193,85,0.028491502665262,26,0.00983236482246912,85,0.00480661815942265,26,0.00536683897481082,85,0.00701240720772041,26,0.00616173870866157,85,0.00659893183775729,26,0.00634758155695492,85,0.0271822359363421,26,0.0267146673486509,85,0.0267835887957474,26,0.0268870460318261
,84,0.332436087156888,27,0.309390278550618,84,0.364814175142774,27,0.351283502213433,84,0.281046522382193,27,0.257737612568097,84,0.315741013962323,27,0.285073648283355,84,0.309744360119889,27,0.278126119887115,84,0.334105530552033,27,0.311372025121294,84,0.334641054898955,27,0.293666573025932,84,0.360668479732269,27,0.319846286620896,84,0.0282212744302612,27,0.0244236553187283,84,0.0245313843507754,27,0.0242904548068114,84,0.0251058864967417,27,0.00983068992888122,84,0.00480372779120973,27,0.00535525436003181,84,0.00664523944997669,27,0.00615636844086874,84,0.00660273116474967,27,0.0063413942815642,84,0.0265066220062822,27,0.0267257462912565,84,0.0267829624131065,27,0.0269048611776138
,83,0.333694594350049,28,0.310102656387631,83,0.364898564253515,28,0.351623992074667,83,0.282326920657272,28,0.258079776503508,83,0.315667748857975,28,0.285717581243473,83,0.309987552377487,28,0.278797271488356,83,0.334071123409572,28,0.311851845672274,83,0.334248292039782,28,0.294152759042303,83,0.360380840178194,28,0.320449635158014,83,0.0269603177526771,28,0.024411429749001,83,0.0245125194185499,28,0.0243087459305236,83,0.0226130091012738,28,0.00980826983599501,83,0.00481354454467242,28,0.00537122648625501,83,0.00652497516792198,28,0.00613630317093567,83,0.00660769667249549,28,0.00632852390003865,83,0.0261444416398455,28,0.0267778561360823,83,0.0267819193911558,28,0.0269425436819881
,82,0.334378523368707,29,0.310855242144675,82,0.364918819052506,29,0.351954920785228,82,0.283552189796566,29,0.258885278297258,82,0.315591487919536,29,0.286502204119766,82,0.31023782404486,29,0.279379451850174,82,0.334003423098343,29,0.312376195537581,82,0.333797339019173,29,0.294761424602265,82,0.360007257407857,29,0.321232509649032,82,0.0262119852066138,29,0.02443454410552,82,0.0245132435015971,29,0.0242872501972325,82,0.0207037815137607,29,0.00982133821142157,82,0.0047972009420515,29,0.00537607364086118,82,0.00650632606988596,29,0.00615489429356978,82,0.00658619283487836,29,0.00631801734091648,82,0.0259720459810175,29,0.0267852140604146,82,0.0267861281480049,29,0.0269364497410173
,81,0.334938759067474,30,0.311565405848111,81,0.364973999274606,30,0.352335440339658,81,0.284720931155934,30,0.259836503196793,81,0.315485283481643,30,0.287379497305394,81,0.310386367038877,30,0.279980737541717,81,0.333991632985047,30,0.312923548824553,81,0.333462817397009,30,0.295348074493687,81,0.35964767087111,30,0.322061523605584,81,0.0257170106684089,30,0.0244208214999593,81,0.024502392052037,30,0.0242724704745288,81,0.0191624609345931,30,0.00986172029858124,81,0.0048001118903039,30,0.00534618677745506,81,0.006468348233667,30,0.00615544861439419,81,0.0065853903823177,30,0.00630506874039546,81,0.0259008874640737,30,0.0267480882775723,81,0.0267922739551551,30,0.0269182298630719
,80,0.335263296259171,31,0.31213630637002,80,0.364989409073602,31,0.352744042506375,80,0.286422670326841,31,0.260317019005625,80,0.315451220913319,31,0.28809833552147,80,0.310468882022274,31,0.280674260127846,80,0.333909863066375,31,0.313497165075441,80,0.333068209318954,31,0.295869272279304,80,0.359200973952966,31,0.322803994668702,80,0.0253460300612339,31,0.0244155718495922,80,0.0244916105612617,31,0.0242925008354246,80,0.0181378343542126,31,0.0098735904486595,80,0.00478241657167185,31,0.00535205918323439,80,0.00641759889489313,31,0.00615333615607753,80,0.00655731939065157,31,0.00631628206788713,80,0.0258512873843549,31,0.0267437319170747,80,0.0267630854171933,31,0.0269240151369463
,79,0.335291192779977,32,0.312797293048597,79,0.365154855527532,32,0.353089706554274,79,0.287174112217558,32,0.260874005882803,79,0.315388111801738,32,0.288779962073456,79,0.310440724353152,32,0.281423793784526,79,0.33380363543874,32,0.314022191542505,79,0.332610588801759,32,0.296476189085879,79,0.3587299432578,32,0.323576621311328,79,0.0250912536975044,32,0.024424899456472,79,0.0244879504850895,32,0.0242648245026985,79,0.0171160542832828,32,0.00988428065463776,79,0.00480304337190139,32,0.00534953466017855,79,0.00641728037183381,32,0.00616551898012829,79,0.00654878565065862,32,0.00630098352961634,79,0.0258371947138857,32,0.0267366547147407,79,0.026768165754312,32,0.0269172726149553
,78,0.335154209132242,33,0.313490067436419,78,0.3655297919353,33,0.353421638090419,78,0.287615234672402,33,0.261742157465295,78,0.315224801541913,33,0.289609997201483,78,0.310326104371217,33,0.282135521791064,78,0.333713050822476,33,0.314502570820752,78,0.332011606372207,33,0.297140551757809,78,0.358213879899528,33,0.32442784757852,78,0.0250089636681728,33,0.0244221628148667,78,0.0244659981372449,33,0.0242865096150376,78,0.0164005491143762,33,0.00989967374755995,78,0.00480852368620121,33,0.00533082402253404,78,0.00643940525264855,33,0.00616389396267428,78,0.00652745180194169,33,0.00632712574679489,78,0.0258578857691238,33,0.0267338670030121,78,0.0267602385081185,33,0.0269619109914517
,77,0.33501112208473,34,0.314129053172036,77,0.36563795751967,34,0.35378675296538,77,0.28781832909393,34,0.262285822979776,77,0.314980428322176,34,0.290407925738731,77,0.310143605894688,34,0.282811032510614,77,0.333523996169643,34,0.315015442745837,77,0.331260879508916,34,0.297752338574821,77,0.357658627268334,34,0.325232334720191,77,0.0249495149862659,34,0.0244483247031826,77,0.0244431216150972,34,0.0243305702817544,77,0.0157451928927991,34,0.00988463879118039,77,0.00480215881465572,34,0.00534359849020076,77,0.00644443116454838,34,0.00615653015623753,77,0.00649152551547793,34,0.00636350723213628,77,0.0258712555361088,34,0.0267596284813459,77,0.0267415840999601,34,0.0269873039522141
,76,0.334819261548876,35,0.314822038625448,76,0.365579755578825,35,0.354108564307145,76,0.288133126836301,35,0.262992081839136,76,0.314702251897877,35,0.291123610570042,76,0.309868504330395,35,0.28358858983603,76,0.333370518193574,35,0.31553727323571,76,0.330479881097176,35,0.298422961243838,76,0.35710726709864,35,0.326053464216219,76,0.0248875207975386,35,0.0244368879163584,76,0.0244639065310297,35,0.0242768432228997,76,0.0153123968415921,35,0.00988869693939025,76,0.00480210689194403,35,0.00536219638194149,76,0.00644323156747012,35,0.0061377780526414,76,0.00650472876349597,35,0.00632138129638374,76,0.0258434123477745,35,0.0267659002857584,76,0.0267650378809492,35,0.0269507337469621
,75,0.334568270904817,36,0.315491157306025,75,0.365405475203289,36,0.354463253857335,75,0.288163069953573,36,0.263709662183793,75,0.314448959471561,36,0.291922024970279,75,0.309557995970803,36,0.284347719054408,75,0.33319560869925,36,0.316083501992665,75,0.329635986483276,36,0.299122945705235,75,0.356494089064829,36,0.326909118127109,75,0.0247736303539676,36,0.0244563490708701,75,0.0244759536079571,36,0.0242699044485385,75,0.0149185405479334,36,0.00989886893867654,75,0.00480768146320863,36,0.00531422892701753,75,0.00642065792601852,36,0.00615349188891187,75,0.0065129223186066,36,0.00630079373496493,75,0.0258022119982095,36,0.0267737477567865,75,0.0267822715312151,36,0.0269340658742899
,74,0.334438876991312,37,0.316117506218936,74,0.365216325503337,37,0.354848034831846,74,0.288331499910466,37,0.264247546078693,74,0.314133501053379,37,0.292646971659447,74,0.30918076422406,37,0.285057141870993,74,0.332996067238656,37,0.31659704093667,74,0.328797413962142,37,0.299803179135418,74,0.355875147207061,37,0.327770783388454,74,0.024771839481983,37,0.0244829045035312,74,0.024470183425877,37,0.0242942138481816,74,0.0146511890664531,37,0.00987662710079573,74,0.00481993513057776,37,0.00530455939668221,74,0.00638742244442229,37,0.00617409476169941,74,0.00651238476048661,37,0.0063170289542003,74,0.0258005484866216,37,0.0267841845179912,74,0.0267789131822594,37,0.0269631362596355
,73,0.334562123992542,38,0.316759156689728,73,0.36505247454471,38,0.355197992077489,73,0.288210028184116,38,0.264933906722246,73,0.313770816216007,38,0.293397852667683,73,0.308799328309033,38,0.285823887601901,73,0.332826464217997,38,0.317114343904953,73,0.327986303593175,38,0.300521873331624,73,0.355271695322519,38,0.328636381761789,73,0.0247384039534072,38,0.0244558627641658,73,0.0244411702534976,38,0.0242915137564181,73,0.0143921475354556,38,0.0098696616000418,73,0.00478264889282651,38,0.00532430400041971,73,0.00636796939689243,38,0.00615431308733623,73,0.00649639430220922,38,0.00632038113895791,73,0.0258267776966354,38,0.0267714039520372,73,0.0267576116083033,38,0.0269773434902486
,72,0.334464910379247,39,0.3173754947143,72,0.364868439068332,39,0.355527404056194,72,0.287603844594097,39,0.265700188167045,72,0.313443680327634,39,0.294110275521669,72,0.308355708706344,39,0.286607514869782,72,0.332626894958235,39,0.317584922191453,72,0.327150957662237,39,0.301230526739105,72,0.354600967759534,39,0.329493197555159,72,0.0247213077083254,39,0.0244779162221381,72,0.0244477601560612,39,0.0242783318613134,72,0.0140209623769068,39,0.00989620082522478,72,0.00482606690743971,39,0.00531620396744263,72,0.00639008486049956,39,0.00618237179798218,72,0.00651039887066849,39,0.00628564496351507,72,0.0258490504112397,39,0.0267900270405263,72,0.0267630193857518,39,0.0269521831701062
,71,0.334452317115148,40,0.317965927119586,71,0.364706430364426,40,0.355863976283167,71,0.287100327099507,40,0.266432298889503,71,0.313091903280968,40,0.294808992622084,71,0.307860487820316,40,0.287321071430875,71,0.332441653671522,40,0.318044182782101,71,0.326279317493007,40,0.301960044209273,71,0.354002021726555,40,0.330343513744039,71,0.0246771004951963,40,0.0244689827622932,71,0.0244787589226084,40,0.0242760267633935,71,0.013750582864769,40,0.0098916704235057,71,0.00485713785364874,40,0.00528448135595621,71,0.00636864616932035,40,0.0062019356898246,71,0.00653119603560742,40,0.0062913660707546,71,0.0258400140944471,40,0.0267889771960798,71,0.0267877202368425,40,0.0269375685199392
,70,0.334259636789667,41,0.318548092047069,70,0.364807855021401,41,0.356268884331739,70,0.286722017025372,41,0.26698944603823,70,0.312669358564253,41,0.29553141422955,70,0.307412653701979,41,0.288093078026918,70,0.332188431767799,41,0.31858974002983,70,0.325478067968236,41,0.302690958962115,70,0.353391591195068,41,0.331198636311299,70,0.0246728321622408,41,0.024451312411543,70,0.0244859223574872,41,0.0243085851966892,70,0.0135509982129557,41,0.00987449092183778,70,0.00481966059441284,41,0.00526264308628073,70,0.00639363069437135,41,0.00618232123851645,70,0.00652937826378432,41,0.00630539124159912,70,0.0258273499061209,41,0.026768825258358,70,0.0267722754069444,41,0.0269457926770999
,69,0.334104818638909,42,0.319196838425743,69,0.364501732989205,42,0.356594271641036,69,0.286293148609195,42,0.26774270566949,69,0.312255495287647,42,0.296202583820907,69,0.306905368127386,42,0.28888871487355,69,0.331907909327595,42,0.319061012913506,69,0.324712580972863,42,0.303520688343229,69,0.352773001919577,42,0.332077687173797,69,0.0246912720972251,42,0.0244748102600364,69,0.0244522626516615,42,0.0243073363760898,69,0.0133321992609507,42,0.00990225255942342,69,0.00481916372684198,42,0.00525664442399015,69,0.00638400211095283,42,0.006200009263655,69,0.00649053945509228,42,0.00628915396940664,69,0.0258385578976034,42,0.0267929157062129,69,0.0267373947247106,42,0.0269498937325964
,68,0.33392198598678,43,0.319813002251253,68,0.364184822118206,43,0.356891231664906,68,0.285961096781316,43,0.268472835739682,68,0.311815668156962,43,0.296857257718378,68,0.30642372657169,43,0.289688077763188,68,0.331576536242954,43,0.319537011512303,68,0.323980068700468,43,0.304310809429169,68,0.352100174803228,43,0.332923026282271,68,0.0246892496778849,43,0.0244599078052811,68,0.0244372812836254,43,0.0242894071893247,68,0.0132192461900886,43,0.00992829162383088,68,0.00483777085189455,43,0.00525396816092076,68,0.00634884202578845,43,0.00617931171087037,68,0.00647768683411767,43,0.00628533687706759,68,0.0258510246605857,43,0.0267994010279461,68,0.0267407450361742,43,0.0269440012064079
