CSV Report,2023-09-21_RNA_melting_HEPES_KCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,4.15 mM KCl_260.00nm_90.0-21.0C,,4.15 mM KCl_260.00nm_21.0-90.0C,,4.15 mM KCl_260.00nm_90.0-21.0C_R1,,4.15 mM KCl_260.00nm_21.0-90.0C_R1,,1.66 mM KCl_260.00nm_90.0-21.0C,,1.66 mM KCl_260.00nm_21.0-90.0C,,1.66 mM KCl_260.00nm_90.0-21.0C_R1,,1.66 mM KCl_260.00nm_21.0-90.0C_R1,,0.8 mM KCl_260.00nm_90.0-21.0C,,0.8 mM KCl_260.00nm_21.0-90.0C,,0.8 mM KCl_260.00nm_90.0-21.0C_R1,,0.8 mM KCl_260.00nm_21.0-90.0C_R1,,0.08 mM KCl_260.00nm_90.0-21.0C,,0.08 mM KCl_260.00nm_21.0-90.0C,,0.08 mM KCl_260.00nm_90.0-21.0C_R1,,0.08 mM KCl_260.00nm_21.0-90.0C_R1,,4.15 mM KCl_400.00nm_90.0-21.0C,,4.15 mM KCl_400.00nm_21.0-90.0C,,4.15 mM KCl_400.00nm_90.0-21.0C_R1,,4.15 mM KCl_400.00nm_21.0-90.0C_R1,,1.66 mM KCl_400.00nm_90.0-21.0C,,1.66 mM KCl_400.00nm_21.0-90.0C,,1.66 mM KCl_400.00nm_90.0-21.0C_R1,,1.66 mM KCl_400.00nm_21.0-90.0C_R1,,0.8 mM KCl_400.00nm_90.0-21.0C,,0.8 mM KCl_400.00nm_21.0-90.0C,,0.8 mM KCl_400.00nm_90.0-21.0C_R1,,0.8 mM KCl_400.00nm_21.0-90.0C_R1,,0.08 mM KCl_400.00nm_90.0-21.0C,,0.08 mM KCl_400.00nm_21.0-90.0C,,0.08 mM KCl_400.00nm_90.0-21.0C_R1,,0.08 mM KCl_400.00nm_21.0-90.0C_R1,
Collection Time,2023-09-21 10:00:37 (+02:00),,2023-09-21 10:00:37 (+02:00),,2023-09-21 10:00:37 (+02:00),,2023-09-21 10:00:37 (+02:00),,2023-09-21 10:00:37 (+02:00),,2023-09-21 10:00:37 (+02:00),,2023-09-21 10:00:37 (+02:00),,2023-09-21 10:00:37 (+02:00),,2023-09-21 10:00:37 (+02:00),,2023-09-21 10:00:37 (+02:00),,2023-09-21 10:00:37 (+02:00),,2023-09-21 10:00:37 (+02:00),,2023-09-21 10:00:37 (+02:00),,2023-09-21 10:00:37 (+02:00),,2023-09-21 10:00:37 (+02:00),,2023-09-21 10:00:37 (+02:00),,2023-09-21 10:00:37 (+02:00),,2023-09-21 10:00:37 (+02:00),,2023-09-21 10:00:37 (+02:00),,2023-09-21 10:00:37 (+02:00),,2023-09-21 10:00:37 (+02:00),,2023-09-21 10:00:37 (+02:00),,2023-09-21 10:00:37 (+02:00),,2023-09-21 10:00:37 (+02:00),,2023-09-21 10:00:37 (+02:00),,2023-09-21 10:00:37 (+02:00),,2023-09-21 10:00:37 (+02:00),,2023-09-21 10:00:37 (+02:00),,2023-09-21 10:00:37 (+02:00),,2023-09-21 10:00:37 (+02:00),,2023-09-21 10:00:37 (+02:00),,2023-09-21 10:00:37 (+02:00),
Cell Number,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,
Module Serial Number,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,
Instrument Serial Number,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
Instrument Name,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs
,90,0.571976533803352,21,0.358640763953937,90,0.588578125683362,21,0.363255560653259,90,0.378324981412221,21,0.311585859826708,90,0.394265745780025,21,0.321679661966778,90,0.35534725026003,21,0.325857570395751,90,0.371578494470788,21,0.338423805110865,90,0.361946810755612,21,0.340411056829105,90,0.37640472182054,21,0.348015479944752,90,0.0243655751645177,21,0.0243863572874544,90,0.0243102098616123,21,0.0243019599090105,90,0.00560893048759664,21,0.0052191729676581,90,0.0056212192407605,21,0.00526107866827598,90,0.00663064091567236,21,0.00689066160197423,90,0.00688687053746795,21,0.00692954860929355,90,0.0245263849107094,21,0.0244449118227974,90,0.0245952649128727,21,0.0243561043381304
,89,0.577326464946712,22,0.359204665007686,89,0.588191672364516,22,0.363648340725484,89,0.379926699893993,22,0.311914743428138,89,0.396162793473241,22,0.322098309558315,89,0.356204058902798,22,0.326085446097938,89,0.371755066949577,22,0.338561456863523,89,0.362585157864028,22,0.340595712999786,89,0.377179228598311,22,0.348148311354347,89,0.0243667181533067,22,0.0243775511777246,89,0.0243322278606956,22,0.0243287549578359,89,0.00561803333442383,22,0.00516101539357814,89,0.00558070563078289,22,0.00527039868649725,89,0.00665636907792066,22,0.00686934442786476,89,0.00688571569952971,22,0.00695182503246178,89,0.0245329396851568,22,0.0244196812338611,89,0.0246108985542892,22,0.0243898433719864
,88,0.578115248316256,23,0.360442359454107,88,0.585864706758449,23,0.364792520623299,88,0.381294439453427,23,0.312770519144097,88,0.396862240060006,23,0.322885332802924,88,0.356866411220914,23,0.326573964235939,88,0.371978232001546,23,0.338987139735075,88,0.363576523327513,23,0.341118774304726,88,0.377575759515346,23,0.348649778954834,88,0.0244007480346536,23,0.0243478859702416,88,0.0243277322579772,23,0.024330490059119,88,0.00556956498576653,23,0.0051693635895578,88,0.00556916594211744,23,0.00527555060594175,88,0.00669574228980178,23,0.00686512875642783,88,0.00687964881848986,23,0.00694277617884397,88,0.0245730908624862,23,0.0244102562928828,88,0.0245921827251326,23,0.0243889904288075
,87,0.57617921304352,24,0.362628621837381,87,0.582557913505761,24,0.366800785912209,87,0.381811753297976,24,0.314135176388019,87,0.395170143804644,24,0.324190043560144,87,0.357127286706483,24,0.327241060003217,87,0.37192629991261,24,0.33967192856945,87,0.364528790430622,24,0.341830953997776,87,0.377883286910505,24,0.34935785244166,87,0.0243609852625213,24,0.0243396711692524,87,0.0243073161744481,24,0.0243068107221382,87,0.00556909938692576,24,0.00518527661129,87,0.00558493947686817,24,0.00527668926017556,87,0.00669392612377449,24,0.00687790159935945,87,0.00687129963978544,24,0.00692867087893061,87,0.0245827604005707,24,0.0244346342665229,87,0.0245846639346768,24,0.0243827560549462
