CSV Report,2023-08-23_RNA_melting_2_VS.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,50 mM CaCl2_260.00nm_90.0-21.0C,,50 mM CaCl2_260.00nm_21.0-90.0C,,50 mM CaCl2_260.00nm_90.0-21.0C_R1,,50 mM CaCl2_260.00nm_21.0-90.0C_R1,,25 mM CaCl2_260.00nm_90.0-21.0C,,25 mM CaCl2_260.00nm_21.0-90.0C,,25 mM CaCl2_260.00nm_90.0-21.0C_R1,,25 mM CaCl2_260.00nm_21.0-90.0C_R1,,50 mM MgCl2_260.00nm_90.0-21.0C,,50 mM MgCl2_260.00nm_21.0-90.0C,,50 mM MgCl2_260.00nm_90.0-21.0C_R1,,50 mM MgCl2_260.00nm_21.0-90.0C_R1,,25 mM MgCl2_260.00nm_90.0-21.0C,,25 mM MgCl2_260.00nm_21.0-90.0C,,25 mM MgCl2_260.00nm_90.0-21.0C_R1,,25 mM MgCl2_260.00nm_21.0-90.0C_R1,,50 mM CaCl2_400.00nm_90.0-21.0C,,50 mM CaCl2_400.00nm_21.0-90.0C,,50 mM CaCl2_400.00nm_90.0-21.0C_R1,,50 mM CaCl2_400.00nm_21.0-90.0C_R1,,25 mM CaCl2_400.00nm_90.0-21.0C,,25 mM CaCl2_400.00nm_21.0-90.0C,,25 mM CaCl2_400.00nm_90.0-21.0C_R1,,25 mM CaCl2_400.00nm_21.0-90.0C_R1,,50 mM MgCl2_400.00nm_90.0-21.0C,,50 mM MgCl2_400.00nm_21.0-90.0C,,50 mM MgCl2_400.00nm_90.0-21.0C_R1,,50 mM MgCl2_400.00nm_21.0-90.0C_R1,,25 mM MgCl2_400.00nm_90.0-21.0C,,25 mM MgCl2_400.00nm_21.0-90.0C,,25 mM MgCl2_400.00nm_90.0-21.0C_R1,,25 mM MgCl2_400.00nm_21.0-90.0C_R1,
,86,0.271462290777837,25,0.240647375809176,86,0.299763763239757,25,0.262886610402344,86,0.271216826873132,25,0.237532271058571,86,0.298183666879865,25,0.257540727389662,86,0.283801136613343,25,0.238642664373306,86,0.300297093689885,25,0.249693015375013,86,0.318589825029167,25,0.270323646185601,86,0.335823992255814,25,0.287716256980415,86,0.0490081886671436,25,0.027147822896653,86,0.0238060132103683,25,0.0231098711386959,86,0.0242428087407142,25,0.00682094533390256,86,0.00530551178365346,25,0.00550260638835505,86,0.00440242551526477,25,0.0039096863226569,86,0.00429429082263147,25,0.00390012775433034,86,0.0244228713961667,25,0.0236200385738318,86,0.0243717734645542,25,0.0236885443729705
,85,0.272640074903354,26,0.241330237905596,85,0.299566690798532,26,0.263504647796049,85,0.272833494118012,26,0.237913724319176,85,0.298040995725962,26,0.258261864773205,85,0.283764944871117,26,0.239098874970622,85,0.299806206526208,26,0.250463999707719,85,0.318140702800648,26,0.270691063316535,85,0.335474890280202,26,0.288183172511735,85,0.0459802395080742,26,0.0272129639945197,85,0.0237918878929832,26,0.023109604717899,85,0.0216826549136008,26,0.00680293005043341,85,0.00530149205312575,26,0.00551950437438212,85,0.00439942061075561,26,0.0038968186106459,85,0.0042845437609878,26,0.00388895112386202,85,0.024398160741406,26,0.0236256683349105,85,0.0243622912673935,26,0.0236868595073752
,84,0.272807292665395,27,0.241779036518931,84,0.299384836006199,27,0.264131484559401,84,0.273310210345811,27,0.23829040796732,84,0.297814311874856,27,0.258901913027395,84,0.283426497839117,27,0.239584784048119,84,0.299137451718035,27,0.251309060104299,84,0.317685648684633,27,0.271005929540372,84,0.334892886363382,27,0.288775605922278,84,0.0434916938316067,27,0.0272341374362683,84,0.0237901053897751,27,0.0230852543990213,84,0.0197284340988341,27,0.00682328243787446,84,0.00526810065101579,27,0.00552187602175814,84,0.00442134336756745,27,0.00389228342022332,84,0.00427685394049025,27,0.00385843576988343,84,0.0243800276661924,27,0.0236283099722373,84,0.0243716530063909,27,0.0236990813778407
,83,0.272887887828144,28,0.241947095648856,83,0.299158070916608,28,0.264750592671145,83,0.273815819584718,28,0.238827791488311,83,0.297583965081468,28,0.259486017785432,83,0.282894589662324,28,0.240040929532152,83,0.298443067918003,28,0.252110149121893,83,0.317134655423392,28,0.271411791197172,83,0.334214098559531,28,0.289422935803257,83,0.0415273339437422,28,0.0271845618624104,83,0.0237614834715521,28,0.0230854512054876,83,0.018109320964444,28,0.00684850269157562,83,0.00527643669357447,28,0.00554439152701658,83,0.00441449020977248,28,0.00390691528931178,83,0.00426304915043239,28,0.00388652137776642,83,0.0243581272516533,28,0.0236329319516017,83,0.0243656015500595,28,0.0237125043822179
,82,0.273466486411189,29,0.242340207007278,82,0.298972520951614,29,0.26540014938568,82,0.2743934662284,29,0.239504907286948,82,0.297317664288854,29,0.260270378718093,82,0.282444214721936,29,0.240473871665552,82,0.297547372506707,29,0.252609699978063,82,0.316405835589914,29,0.271886623571223,82,0.333548498439707,29,0.289969242382764,82,0.0400836915796437,29,0.0271776837587895,82,0.023755908899283,29,0.0230710163207037,82,0.0169659096810091,29,0.00686032836661304,82,0.00529093675978198,29,0.00555204234953602,82,0.0043927563597964,29,0.00390498290504216,82,0.00423961354657508,29,0.00387455437320484,82,0.0243598946615684,29,0.0236495017179145,82,0.0243493636881147,29,0.0236934975473709
,81,0.273882034099368,30,0.243206810180415,81,0.298757297971454,30,0.266167124181395,81,0.274541972320697,30,0.240085958049791,81,0.297019646848232,30,0.261116836438261,81,0.282020119197841,30,0.24095056003212,81,0.296264108491096,30,0.252998837188575,81,0.315647859410444,30,0.272333899885054,81,0.332898092128336,30,0.290514412733011,81,0.0389797665403363,30,0.0272927116650408,81,0.0237559164987648,30,0.0230832099916034,81,0.0160431861889119,30,0.00687698979235864,81,0.00527469090511592,30,0.00555280585652437,81,0.0043568963190687,30,0.00391402091890429,81,0.00424235807173753,30,0.00385357669682366,81,0.0243146942465699,30,0.02366604038749,81,0.0243314211339752,30,0.023690084079436
,80,0.274068710082217,31,0.243761546724034,80,0.298521506198111,31,0.266933311951348,80,0.274549752163262,31,0.240562738498049,80,0.296689758063823,31,0.261860331273144,80,0.281365241360449,31,0.241466307477218,80,0.294637732298759,31,0.253622500650161,80,0.314820686522825,31,0.272795238090446,80,0.332269007120486,31,0.291137754054777,80,0.037989598748624,31,0.027325951206688,80,0.023707202541498,31,0.0231188007847992,80,0.015375320801316,31,0.00687378873737463,80,0.00526660496999108,31,0.00555494066373771,80,0.00431205434797028,31,0.00394974604379934,80,0.00423407796068809,31,0.0038736557595095,80,0.0243004098408402,31,0.0236848747555607,80,0.0243183792424865,31,0.0237058895827158
,79,0.274190308464433,32,0.244099356468108,79,0.2982413466945,32,0.267590449359396,79,0.274537343064643,32,0.241234525467624,79,0.296358680946795,32,0.262609699096139,79,0.280556667309172,32,0.242010614226813,79,0.293246217073277,32,0.254456001764041,79,0.314056495119329,32,0.273295101909014,79,0.331594936640296,32,0.291755015350711,79,0.0371960651980389,32,0.0272825771610921,79,0.0237021449040359,32,0.0231068031147535,79,0.0148377131243515,32,0.00688316937564924,79,0.0052504037580467,32,0.00555692172826913,79,0.00431526063321136,32,0.00395082424076157,79,0.00423037535106269,32,0.0038787707282938,79,0.0243117059937026,32,0.0236757322299008,79,0.0243314690070168,32,0.0237157315971457
,78,0.274207317364142,33,0.24477600527162,78,0.297893154292703,33,0.268356807687658,78,0.274387861569682,33,0.241907620639588,78,0.296055334205114,33,0.263421627084916,78,0.279746139541594,33,0.242491363512332,78,0.293386607159855,33,0.255229190380549,78,0.313198658944267,33,0.273783404777306,78,0.33087247363159,33,0.292405064884165,78,0.0366040386237532,33,0.027352281014813,78,0.0236935287646445,33,0.0230870958811732,78,0.014350531208447,33,0.00692133569290984,78,0.0052537157296961,33,0.00555145594623898,78,0.00434213583574234,33,0.00395659160609483,78,0.00424132547558529,33,0.00387163345751359,78,0.0243163077298046,33,0.0236784659371587,78,0.0243184202378698,33,0.0237206768312042
,77,0.273994337511077,34,0.245360599241383,77,0.297548863084438,34,0.269115776479696,77,0.274126639704985,34,0.242493086824045,77,0.29562384926862,34,0.264219870667296,77,0.278878071485966,34,0.24307763278533,77,0.292924599188881,34,0.255937316233957,77,0.312206744482942,34,0.27431086666131,77,0.330037993507493,34,0.293133954595012,77,0.0361064857300861,34,0.0273839592732654,77,0.0236664001875149,34,0.0231087944627947,77,0.013984350867279,34,0.00694547906410987,77,0.00529538451730682,34,0.00555512382535506,77,0.00431545243671021,34,0.00397156493658516,77,0.00423502060624493,34,0.0038828349306448,77,0.0242719012613336,34,0.0236956482783207,77,0.0242908463545698,34,0.0237449137146838
,76,0.273749712594736,35,0.245856022367932,76,0.297169472071772,35,0.269881119685391,76,0.273423101894612,35,0.243142119209477,76,0.295178878941682,35,0.265014580743166,76,0.277845157358941,35,0.243661935094045,76,0.292023723637546,35,0.256668531490675,76,0.311126937424283,35,0.274861474936766,76,0.329114863919934,35,0.293846274999024,76,0.0356811456504707,35,0.0273843153425872,76,0.0236487494388436,35,0.023130831120143,76,0.013541053572286,35,0.00697477923607557,76,0.00532993977864805,35,0.00559901122957752,76,0.00428818474920315,35,0.00395482845081539,76,0.00422002284252131,35,0.00389113275716126,76,0.0242997143443919,35,0.0237028552984241,76,0.0242795415015012,35,0.0237619473362516
