CSV Report,2023-08-23_RNA_melting_2_VS.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,50 mM CaCl2_260.00nm_90.0-21.0C,,50 mM CaCl2_260.00nm_21.0-90.0C,,50 mM CaCl2_260.00nm_90.0-21.0C_R1,,50 mM CaCl2_260.00nm_21.0-90.0C_R1,,25 mM CaCl2_260.00nm_90.0-21.0C,,25 mM CaCl2_260.00nm_21.0-90.0C,,25 mM CaCl2_260.00nm_90.0-21.0C_R1,,25 mM CaCl2_260.00nm_21.0-90.0C_R1,,50 mM MgCl2_260.00nm_90.0-21.0C,,50 mM MgCl2_260.00nm_21.0-90.0C,,50 mM MgCl2_260.00nm_90.0-21.0C_R1,,50 mM MgCl2_260.00nm_21.0-90.0C_R1,,25 mM MgCl2_260.00nm_90.0-21.0C,,25 mM MgCl2_260.00nm_21.0-90.0C,,25 mM MgCl2_260.00nm_90.0-21.0C_R1,,25 mM MgCl2_260.00nm_21.0-90.0C_R1,,50 mM CaCl2_400.00nm_90.0-21.0C,,50 mM CaCl2_400.00nm_21.0-90.0C,,50 mM CaCl2_400.00nm_90.0-21.0C_R1,,50 mM CaCl2_400.00nm_21.0-90.0C_R1,,25 mM CaCl2_400.00nm_90.0-21.0C,,25 mM CaCl2_400.00nm_21.0-90.0C,,25 mM CaCl2_400.00nm_90.0-21.0C_R1,,25 mM CaCl2_400.00nm_21.0-90.0C_R1,,50 mM MgCl2_400.00nm_90.0-21.0C,,50 mM MgCl2_400.00nm_21.0-90.0C,,50 mM MgCl2_400.00nm_90.0-21.0C_R1,,50 mM MgCl2_400.00nm_21.0-90.0C_R1,,25 mM MgCl2_400.00nm_90.0-21.0C,,25 mM MgCl2_400.00nm_21.0-90.0C,,25 mM MgCl2_400.00nm_90.0-21.0C_R1,,25 mM MgCl2_400.00nm_21.0-90.0C_R1,
,75,0.27350993602932,36,0.246445507047209,75,0.29674572073322,36,0.270628952080508,75,0.273145098757614,36,0.243790298293812,75,0.294696222705641,36,0.265832590522503,75,0.276896122789735,36,0.244227318114567,75,0.291425467123806,36,0.257378118678327,75,0.310011368176823,36,0.275382194510702,75,0.328175963968501,36,0.294596992943246,75,0.0353704914270122,36,0.0274277369551546,75,0.0236324529145088,36,0.0231101127010695,75,0.0132836484084861,36,0.0069787596139427,75,0.00532557263538869,36,0.00558938736172453,75,0.00428132325121112,36,0.00397044941153738,75,0.00421552203569845,36,0.00387536011628053,75,0.0243149678032893,36,0.0237241303518955,75,0.0242916514992382,36,0.0237579588107909
,74,0.27311994591167,37,0.246980899980188,74,0.296303326828591,37,0.271412714100764,74,0.272987835131087,37,0.244356853155468,74,0.2941211636687,37,0.266577826983856,74,0.275895475342914,37,0.244809440406908,74,0.290311542686565,37,0.258098486145333,74,0.308835573256071,37,0.275950983267677,74,0.32726459189286,37,0.295382574619806,74,0.035035745262534,37,0.0274227622806106,74,0.0236456035763712,37,0.0230981642599443,74,0.0131186179305698,37,0.00697098148546763,74,0.00530506904629514,37,0.005586022025708,74,0.0042799309319738,37,0.00399014708643295,74,0.00423024036486196,37,0.00386089970386986,74,0.0242750411122716,37,0.0237093985318842,74,0.0243065577311991,37,0.0237528907483377
,73,0.272619558997145,38,0.247601644803069,73,0.29580823519533,38,0.272155552748991,73,0.27254910410165,38,0.245089504353777,73,0.293550248904718,38,0.267361773976074,73,0.274896440410044,38,0.2454525885993,73,0.289154671724083,38,0.258854448905115,73,0.307686473789558,38,0.276575677949191,73,0.326299227497494,38,0.296158281954663,73,0.0347772154631002,38,0.0273786990876037,73,0.0236390597490923,38,0.0231175868459537,73,0.0129286400693948,38,0.00698237734668011,73,0.00531155243902607,38,0.00558823636644906,73,0.00428902236271677,38,0.00395048187198444,73,0.00422456558770428,38,0.0039003811469156,73,0.0242731765491754,38,0.0236871000838544,73,0.0242956055315115,38,0.0237548980079429
,72,0.272052228707372,39,0.248205928870888,72,0.295296468605259,39,0.272900113763712,72,0.271897391541448,39,0.245734182994629,72,0.292958879572208,39,0.268091885864507,72,0.27389928454675,39,0.246114421917474,72,0.288281820888732,39,0.259548488271344,72,0.306518668636705,39,0.277180123757179,72,0.325380501701184,39,0.296874779589423,72,0.0345296713951603,39,0.0274502046247956,72,0.0236180233198279,39,0.0231607218109465,72,0.0127304688576633,39,0.00700482246917183,72,0.00529704411050054,39,0.00557966430045778,72,0.00426371591364052,39,0.003980959329586,72,0.00421592553929922,39,0.00392528013779668,72,0.0242731514084537,39,0.02373620600151,72,0.02426974051764,39,0.0237797007161782
,71,0.271383238770939,40,0.248855555638248,71,0.2948032858413,40,0.273605140235318,71,0.271178131056214,40,0.246415286818817,71,0.292334567598532,40,0.26891596550903,71,0.272933464799134,40,0.246755344838846,71,0.287580029096788,40,0.260283564192932,71,0.305431391838329,40,0.277752216316438,71,0.324525362124882,40,0.297616830310512,71,0.0342028911792632,40,0.0274567729421315,71,0.02359420831347,40,0.0231563329623578,71,0.0124718583201173,40,0.0070195750836713,71,0.00528925719172677,40,0.00559550668992206,71,0.00423762334227478,40,0.00397053950908246,71,0.00419890086847707,40,0.00390557690887905,71,0.0242300308192174,40,0.0237020274289921,71,0.0242498248224651,40,0.023778266412577
,70,0.270708139558571,41,0.249395730087675,70,0.294300962011754,41,0.274319336731799,70,0.270401773364576,41,0.24712073427357,70,0.291637626364247,41,0.26962464981778,70,0.271982828181705,41,0.247440374543854,70,0.286730041823591,41,0.260980413886452,70,0.304362353141496,41,0.278404364051443,70,0.323681562915289,41,0.298358129794398,70,0.0339408739738046,41,0.0274565844447138,70,0.0236146263991812,41,0.0231506507546089,70,0.0122075690494404,41,0.00702584607251988,70,0.00532115710668635,41,0.00560932557569962,70,0.00421656713581519,41,0.00397502647645423,70,0.00419961979732104,41,0.00391687337154234,70,0.0242118281289761,41,0.0236981919777261,70,0.0242875747631266,41,0.0237469079164138
,69,0.270298531835553,42,0.249986835657277,69,0.293775764432109,42,0.275009315160807,69,0.269745580409261,42,0.24775473070094,69,0.290956271384948,42,0.270377359309947,69,0.271098511358254,42,0.248099531034628,69,0.28588535343527,42,0.261719780244655,69,0.30339132162214,42,0.279066879605012,69,0.322872366709572,42,0.299128574867494,69,0.0337626357910715,42,0.0275095026277265,69,0.023584762413857,42,0.0231413069750711,69,0.011975334874783,42,0.00701857049174416,69,0.00531831480086787,42,0.00559485257598574,69,0.00418424425650845,42,0.00399486564231448,69,0.00415962249060165,42,0.00393222526814202,69,0.0242065891643867,42,0.0237281314681471,69,0.0242728537154097,42,0.0237695028419369
,68,0.269952374760672,43,0.250507169087901,68,0.293227081408498,43,0.275691520518712,68,0.269099358368683,43,0.248451614296152,68,0.290288242110256,43,0.271162416442711,68,0.27028195974662,43,0.248820847724568,68,0.285048993845096,43,0.262469178999307,68,0.302471713191599,43,0.279763693712232,68,0.322060175698855,43,0.29990586862481,68,0.0335463882673409,43,0.0274808070873123,68,0.0235415778511542,43,0.023163758708511,68,0.0117101962402373,43,0.00703296939521471,68,0.00530512646088285,43,0.00558271520669622,68,0.00416195159928504,43,0.00398864182367408,68,0.00411254464473623,43,0.00392147146503206,68,0.0241834906726622,43,0.0237513738149086,68,0.024224392170258,43,0.0237839495375071
,67,0.269256851438269,44,0.251139342126889,67,0.292690722270339,44,0.276410749834289,67,0.268312170296418,44,0.249194526717681,67,0.289681015712594,44,0.271903768296316,67,0.269440728649514,44,0.249529411025098,67,0.284242451214692,44,0.263192662540181,67,0.301518451392037,44,0.280414112304283,67,0.32124323688309,44,0.30072348562822,67,0.0332174040148301,44,0.0275313496886285,67,0.0235303330313184,44,0.0232001909503224,67,0.0113724916402878,44,0.00705211567920803,67,0.00530869381909546,44,0.00560410494734678,67,0.00414413440437517,44,0.00400344325026887,67,0.00408994222901359,44,0.00393319357589013,67,0.0241720193519505,44,0.0237438983196453,67,0.0242140926725026,44,0.0238118372870996
,66,0.268628121342044,45,0.251744984842156,66,0.29215589569756,45,0.277113109651843,66,0.267567911963428,45,0.249898496274137,66,0.289009786765999,45,0.272640528681275,66,0.268595956723814,45,0.250306642641848,66,0.283456895679544,45,0.263906627928595,66,0.300622001741389,45,0.281162603782624,66,0.320477388675583,45,0.301515362720608,66,0.0329191445444625,45,0.0275397525790174,66,0.0234988811972897,45,0.0232163159015923,66,0.0110094544480235,45,0.00705186589384165,66,0.00530505252946333,45,0.00560380804498022,66,0.00413889373404521,45,0.00399481956532957,66,0.0040554851395451,45,0.00396042440631043,66,0.0241633658355095,45,0.0237341673594082,66,0.0242125915568799,45,0.0238359866444611
,65,0.268115329639871,46,0.25218919269257,65,0.291575544805978,46,0.277776863175248,65,0.266813324598664,46,0.250600494234746,65,0.288303687512574,46,0.273379477597668,65,0.267777100981414,46,0.251085890407632,65,0.282691846301556,46,0.264555750313382,65,0.299730668770915,46,0.281924890599337,65,0.319679025782889,46,0.302223920644064,65,0.0326457348761255,46,0.0275131643853618,65,0.0234978411262128,46,0.0232434402554091,65,0.0106215499554441,46,0.00707563493855156,65,0.00532456818174494,46,0.00556439366521917,65,0.00413771197201763,46,0.00401199385252752,65,0.00408064649299884,46,0.00397218630622983,65,0.0241425387151751,46,0.0237570113951267,65,0.0242097697629669,46,0.0238426208459958
,64,0.267445944086404,47,0.252657048702528,64,0.290986340489855,47,0.278492438722795,64,0.266048978171021,47,0.251295685594001,64,0.287614502684526,47,0.274129517850945,64,0.266966005997927,47,0.251812089680584,64,0.281891777284803,47,0.26525573126427,64,0.298931068793172,47,0.282687888840758,64,0.318897997551485,47,0.30305686765059,64,0.0323036774192015,47,0.0275258286250537,64,0.0234744661036232,47,0.0232293700198654,64,0.0101993185964906,47,0.00706916653957993,64,0.0053435385964168,47,0.00554232577961817,64,0.00412418481411798,47,0.00405524363900321,64,0.00408478165711117,47,0.00395960490324275,64,0.0241491430856419,47,0.0237896403216319,64,0.0241943380121697,47,0.0238348237698949
,63,0.266748603166406,48,0.253206797407866,63,0.290388024326449,48,0.279155260591581,63,0.265308592958483,48,0.252030849382131,63,0.286905565932467,48,0.274894362404435,63,0.266209423474319,48,0.252638712677253,63,0.28104311230192,48,0.265974916467824,63,0.298094138238085,48,0.283496988579185,63,0.31815813981355,48,0.303900942154509,63,0.0319573749506536,48,0.027501550143772,63,0.0234563176445826,48,0.023259034425539,63,0.0097719136439858,48,0.00704262661674316,63,0.00533234485468846,48,0.00556320269030715,63,0.00412825825877438,48,0.00403307171215915,63,0.0040569374991633,48,0.00397906130235745,63,0.0241576702698139,48,0.0237845719469107,63,0.0241842449831488,48,0.0238571853486748
,62,0.26621369832106,49,0.253678979487073,62,0.28980821924252,49,0.27974874226884,62,0.264549446682018,49,0.252660929172245,62,0.286232653963571,49,0.275696542581621,62,0.265435845611452,49,0.253443711239492,62,0.280234845971548,49,0.266631595528118,62,0.297406329627782,49,0.28436548877462,62,0.317399583622386,49,0.304684119114915,62,0.031643237131784,49,0.0274719748060896,62,0.0234519123564508,49,0.0232703005057929,62,0.00933918815662163,49,0.00701399928671711,62,0.00532949352735777,49,0.00555316775746663,62,0.00409924878837251,49,0.00400953400906233,62,0.00404376190421492,49,0.00400199075994794,62,0.0241275849940694,49,0.0237954215577469,62,0.0241707635193335,49,0.023871153364213
,61,0.265761451626894,50,0.25411233311472,61,0.289248642930515,50,0.280398854468525,61,0.263717411883371,50,0.25331847635081,61,0.285562118849153,50,0.276395700990682,61,0.264658479347087,50,0.254193405935621,61,0.27947682773047,50,0.267347614322221,61,0.296531113760104,50,0.285243484600182,61,0.316718603514515,50,0.305546814693878,61,0.0313745016422216,50,0.0274807291051107,61,0.0234249960443975,50,0.023280286101242,61,0.00889556300269541,50,0.00701108840048319,61,0.00531393565932337,50,0.00555120789600609,61,0.00410494811657364,50,0.00401987084323666,61,0.0040300233248919,50,0.00399855182052536,61,0.0241202557132239,50,0.0238141870267969,61,0.0241483211103021,50,0.0238814732900008
,60,0.265043713466531,51,0.254676521660178,60,0.288633605348345,51,0.281027313684245,60,0.262735140740759,51,0.254039419856985,60,0.284892362683655,51,0.277104885305788,60,0.263876183786428,51,0.255053811736335,60,0.278662761269689,51,0.268029975823201,60,0.295701523804344,51,0.286115907452205,60,0.315955311845618,51,0.306385954325396,60,0.0311006085169634,51,0.0274640959394657,60,0.0234009941751428,51,0.0232871914898275,60,0.00849648095475718,51,0.0069727678598649,60,0.00532169749585903,51,0.00553556256969971,60,0.00412140265512463,51,0.00397846831931723,60,0.00401722628752862,51,0.00400497176774454,60,0.0241355656256171,51,0.0237922927135746,60,0.0241149473581249,51,0.0238909783519188
,59,0.264159069971143,52,0.255271882140539,59,0.287986614904654,52,0.281642235228531,59,0.262292606744634,52,0.254661622524476,59,0.284228464325117,52,0.277834115083989,59,0.263077795727114,52,0.255900046147727,59,0.277850215535198,52,0.268690067743838,59,0.294835741926095,52,0.287012049796685,59,0.315077602894675,52,0.30724290203412,59,0.0307433157945345,52,0.0274845209100109,59,0.0233862189901331,52,0.0232501189781833,59,0.00827407132937433,52,0.00693864990106895,59,0.00535180739343108,52,0.00550779733419189,59,0.00409821130769062,52,0.00398012753617369,59,0.00401714765951542,52,0.00399094699567848,59,0.0241088443176185,52,0.023804905059968,59,0.0240628078059746,52,0.0238919086835447
,58,0.263498363288482,53,0.255903142222105,58,0.287324530278173,53,0.282288892785115,58,0.261673888590785,53,0.255358005855881,58,0.283536121410456,53,0.278535216496361,58,0.262339672328671,53,0.256804699659169,58,0.277028761004817,53,0.269437835306039,58,0.293972958076857,53,0.287978164205775,58,0.314221742210691,53,0.308156269401721,58,0.0303989209395584,53,0.0275436756904639,58,0.0233320530276864,53,0.0232296395993443,58,0.00803193479383346,53,0.00692001775887116,58,0.00536161790149118,53,0.00549419586384865,58,0.0041059646670942,53,0.00395105686928563,58,0.00402278232094679,53,0.0039794888358187,58,0.0240526283663813,53,0.023824088638515,58,0.0240176291677465,53,0.0239205228168179
,57,0.262919729913048,54,0.256459353688529,57,0.286704375408061,54,0.282943296618381,57,0.260841504606452,54,0.256049892111954,57,0.282899321390636,54,0.279225198471404,57,0.261517531649346,54,0.257622529306962,57,0.276277415615211,54,0.270156629962241,57,0.293400426280141,54,0.28884300283398,57,0.313392871275515,54,0.308981131433354,57,0.0301197418764722,54,0.0276593803010136,57,0.0232844544448837,54,0.0232366310322674,57,0.00781216653033321,54,0.00689404848160525,57,0.0053506689395891,54,0.00548645367479055,57,0.00405998736841341,54,0.00394094691888129,57,0.00402159584769467,54,0.00395502947654666,57,0.0240068162782057,54,0.0238363364031455,57,0.0239860962929942,54,0.0239026406491001
,56,0.262167956938584,55,0.25721938451332,56,0.286074107166793,55,0.283540468286958,56,0.260175137089703,55,0.256743175442963,56,0.282235263959432,55,0.27995540461594,56,0.260701769945504,55,0.258499296308156,56,0.27544412966161,55,0.270878677996744,56,0.29245897431331,55,0.289834451844836,56,0.312589394018859,55,0.309892366637876,56,0.0298349478224346,55,0.0277969767021232,56,0.0233052860318555,55,0.0232544200989723,56,0.00766903319000233,55,0.00687834065137773,56,0.00533160651365449,55,0.00546397733873339,56,0.00403766610218551,55,0.003959766581057,56,0.00402478831118751,55,0.00395801278194063,56,0.0240066087782034,55,0.0238654525338929,56,0.0240050508342538,55,0.0239018252065365
,55,0.261602556819215,56,0.257800992557392,55,0.28547895906845,56,0.284211178513215,55,0.259326147104767,56,0.257407905866616,55,0.281558460126614,56,0.280649396988491,55,0.259882295629414,56,0.259472564412006,55,0.274597752975617,56,0.271599301422413,55,0.291529108195339,56,0.290744257186942,55,0.311810024666639,56,0.310754193814464,55,0.0296119870063011,56,0.027856406449684,55,0.0232931773171455,56,0.0232839207109653,55,0.00755051623637212,56,0.00682570907906503,55,0.00533539962332396,56,0.00543972099343474,55,0.00403843334846118,56,0.00390766352810651,55,0.00403235234121428,56,0.00395185693689501,55,0.0240051944538102,56,0.0238540823746126,55,0.0239833121744998,56,0.02390585560134
,54,0.261091649119292,57,0.258358999439357,54,0.284841368991631,57,0.284865713060637,54,0.258649315989247,57,0.258086642320498,54,0.280884073667395,57,0.281338261858867,54,0.259092221804457,57,0.260531546984288,54,0.273780375576191,57,0.272296920537649,54,0.290708765125691,57,0.291664667042652,54,0.31096860809867,57,0.311587780371174,54,0.0294370272213177,57,0.0280078120276066,54,0.0232672458298149,57,0.0232673158748113,54,0.00745876270274727,57,0.00681439024301509,54,0.00533640862968915,57,0.00542234229796648,54,0.0040471944724288,57,0.00390717913883672,54,0.00400838525372662,57,0.0039360193683958,54,0.0239735930429094,57,0.0238792783528408,54,0.0239446045638251,57,0.0238975817776738
,53,0.260423663946404,58,0.259210370935485,53,0.284230110865139,58,0.285520939127784,53,0.258036175927432,58,0.258829454293779,53,0.280201257809781,58,0.282078253463958,53,0.258290602055502,58,0.261437126358914,53,0.272969209971549,58,0.273107476549397,53,0.289773427831979,58,0.292541918765973,53,0.310120906231944,58,0.312458673017803,53,0.0292433918963233,58,0.0282248939034319,53,0.023262561315378,58,0.0232399770296535,53,0.0074112859407095,58,0.00680912134155408,53,0.00534009942488358,58,0.00537855168540267,53,0.00407960525313935,58,0.00387598108203518,53,0.00399854222383029,58,0.00391005845170172,53,0.0239724869095035,58,0.0238587759419141,53,0.0239290564408464,58,0.023885255439905
,52,0.259705333784441,59,0.260388453792633,52,0.28359492325807,59,0.286134362115275,52,0.257246519034408,59,0.259582869936342,52,0.279500206954267,59,0.282812035191893,52,0.257478992258885,59,0.2623306053261,52,0.272137734955805,59,0.273882775244326,52,0.288924390427304,59,0.293493837313096,52,0.309286559982337,59,0.313314704833246,52,0.0290155365495146,59,0.0285564999005588,52,0.023244611831445,59,0.0232360771594384,52,0.00736219230475601,59,0.00679240848820915,52,0.00536098695251991,59,0.00533124105651451,52,0.00411284537551894,59,0.00388099091353859,52,0.00401808483479791,59,0.0039036533651279,52,0.0239563249171831,59,0.0238461580467463,52,0.0239488883365062,59,0.0239039581628258
,51,0.259111226437599,60,0.260645803851736,51,0.282965386033927,60,0.286749634071305,51,0.256525694528844,60,0.260370504263363,51,0.278795637727108,60,0.283535555425541,51,0.256692359784653,60,0.263244341936652,51,0.271277651396989,60,0.274644610731714,51,0.288075546033304,60,0.294421956976695,51,0.308446377574168,60,0.314152560205075,51,0.0288443159910263,60,0.0286589087373937,51,0.0232328088822813,60,0.02325452210379,51,0.00734026094758418,60,0.00679815292857165,51,0.00537242048303583,60,0.00530159790917688,51,0.00413504479426857,60,0.00386738597453046,51,0.00403375639701332,60,0.00391886060554697,51,0.0239540263693756,60,0.0238511587277457,51,0.0239490422262358,60,0.0239297370823596
,50,0.258447097304206,61,0.261144638031953,50,0.282322629762723,61,0.287383044181419,50,0.25573458485797,61,0.261197940064063,50,0.278071712256102,61,0.284270755872994,50,0.25593067351051,61,0.264142385957474,50,0.270443975590771,61,0.27542772085383,50,0.287243577668641,61,0.29538272439168,50,0.307640849021419,61,0.314980788180928,50,0.0286902121785689,61,0.0288391298972674,50,0.0232114068845905,61,0.0232643013906047,50,0.00730132389372058,61,0.00685330029655297,50,0.00540525090759154,61,0.00531746378329626,50,0.00415000671700875,61,0.00388412637543086,50,0.00401543021472246,61,0.00393071972796425,50,0.0239423955571905,61,0.0238991618666616,50,0.0239384084092764,61,0.0239394925090506
,49,0.257785461619595,62,0.261715974826411,49,0.281702876661719,62,0.288126830281849,49,0.254964885659143,62,0.262241262274525,49,0.277390079087656,62,0.285048441166941,49,0.255088916141254,62,0.265073979014986,49,0.269699625649821,62,0.27631780550918,49,0.28635710093353,62,0.296443882815232,49,0.306763542225359,62,0.315950910434017,49,0.0285961825070919,62,0.0291104877425101,49,0.023237833373711,62,0.0232704169608793,49,0.00727656819263597,62,0.00695770356831589,49,0.00543516733800966,62,0.00532354236812233,49,0.00417126874878379,62,0.00395930758488483,49,0.0040522666908479,62,0.00393701835762629,49,0.0239278861937978,62,0.0240273949779858,49,0.0239501591188708,62,0.0239985699145888
,48,0.257077111507943,63,0.262351838665749,48,0.28106267576663,63,0.289023201893643,48,0.254226226988575,63,0.263362460957961,48,0.276644321891757,63,0.28589081308005,48,0.254299910686324,63,0.266004497215864,48,0.268920081950305,63,0.277161154185873,48,0.28545996463802,63,0.29757538714261,48,0.305937325452813,63,0.317027716844538,48,0.0284695730778214,63,0.0293750849706988,48,0.0232675055735826,63,0.0233718972509172,48,0.00725533176562546,63,0.00708952817819119,48,0.00543610001934771,63,0.00532822678044061,48,0.00417497565391598,63,0.00398820531983843,48,0.00408947729342529,63,0.00395905334356036,48,0.0239215024422346,63,0.02418996933909,48,0.0239605051311563,63,0.0241621209920329
,47,0.256339180611459,64,0.263040293924391,47,0.280373192170534,64,0.289896837279121,47,0.253489778011144,64,0.264142860754412,47,0.275927129010134,64,0.28683757996983,47,0.253516964330621,64,0.266872942873789,47,0.26809496002639,64,0.278043886380013,47,0.284651688076152,64,0.298612669215967,47,0.305177460817431,64,0.318265728347187,47,0.0283454780365106,64,0.0297031773059595,47,0.0232386986977956,64,0.0235164720679232,47,0.00726068382442867,64,0.00718848461019632,47,0.00545822114874097,64,0.00534014027302603,47,0.00420169142766541,64,0.00402358884834693,47,0.00407194975801948,64,0.00401190370293027,47,0.0239344016898658,64,0.0243014715168511,47,0.0239215238792738,64,0.024301702634263
,46,0.255672639144577,65,0.263723872178664,46,0.279718666606107,65,0.290705098812733,46,0.25278189571346,65,0.265039874861685,46,0.275184327399275,65,0.287639254933746,46,0.252814721746284,65,0.267817767646595,46,0.267271539234459,65,0.279014258539443,46,0.283884678113548,65,0.299560609011957,46,0.304365988051602,65,0.319401227877235,46,0.0282180382594326,65,0.0299464302884801,46,0.0232539305363407,65,0.0235617123607122,46,0.00723902487297186,65,0.00731943117737742,46,0.00547849848355697,65,0.00533434476194209,46,0.00417198131605733,65,0.00402837818984839,46,0.00409492311844417,65,0.00403032965021193,46,0.0239084585517764,65,0.024273844052795,46,0.0239210238927414,65,0.0243181462630063
,45,0.255040653183134,66,0.264473486100737,45,0.279056816737657,66,0.291457644614761,45,0.252012366891924,66,0.265903118413901,45,0.27443106479004,66,0.288444746148584,45,0.252041197767275,66,0.268731472391119,45,0.266565748837746,66,0.279880254684562,45,0.283033662303712,66,0.300555078181759,45,0.303629958204017,66,0.319983845174346,45,0.0281016746861709,66,0.0301525216229619,45,0.0232234025885241,66,0.0235617199843649,45,0.00721019391890459,66,0.00751337394678129,45,0.00547851365412059,66,0.00531597891403835,45,0.00411214109262789,66,0.00402448094409995,45,0.00406979124718909,66,0.00400243303435624,45,0.0238549265879093,66,0.0242452744410048,45,0.0238994145241114,66,0.0242732886042647
,44,0.254281871522079,67,0.265412612754471,44,0.278451969239799,67,0.292235848597287,44,0.251313972884991,67,0.266835927351074,44,0.273708536619902,67,0.289345900125119,44,0.251269279383978,67,0.26969312462779,44,0.265865488798502,67,0.280736598321108,44,0.28227448796695,67,0.301556834612801,44,0.302908595578644,67,0.320775875792318,44,0.028021296256217,67,0.0304153883728589,44,0.0232132881772689,67,0.0235851679005292,44,0.00720298902449367,67,0.0077454807343987,44,0.00545182290641015,67,0.00529976672113809,44,0.00411428159967755,67,0.00406048135064597,44,0.00404754938633024,67,0.0040392528503669,44,0.0238555620636546,67,0.0242720602704118,44,0.0238668317276257,67,0.0242599160606811
,43,0.253488801694839,68,0.26657834751832,43,0.277785225045653,68,0.293082685157952,43,0.250511389412319,68,0.267742760840425,43,0.272970203839123,68,0.290248617999048,43,0.250509977643257,68,0.270688060416985,43,0.265052202505276,68,0.281664151378867,43,0.281449723594994,68,0.302565664279803,43,0.302103872995085,68,0.321762495748184,43,0.0279114968558529,68,0.0306595766912979,43,0.0232118881642541,68,0.0236116572103638,43,0.00717199003957091,68,0.00798403340332514,43,0.00548335778272706,68,0.00530298705654296,43,0.00410295775960032,68,0.00407037787759375,43,0.00406175674779286,68,0.00404762830597236,43,0.0238213275165119,68,0.0242875084190098,43,0.0238914001812736,68,0.0242536382649731
,42,0.252816246359843,69,0.267387223173449,42,0.276956622980587,69,0.294339751810369,42,0.249731929585864,69,0.268694915907471,42,0.272231582901656,69,0.291240316989026,42,0.249768423129502,69,0.271764148662368,42,0.264293696247594,69,0.282579645628959,42,0.280761661982859,69,0.303636033443431,42,0.301314994310123,69,0.322606720588633,42,0.027832215552574,69,0.0306590914105102,42,0.0231998134159592,69,0.023611927290964,42,0.00716400998308834,69,0.00822635695656157,42,0.0055114820149147,69,0.00530037777740394,42,0.00411370163173682,69,0.00403440239303264,42,0.00407597346651926,69,0.00404077356574924,42,0.023823183785217,69,0.0242839480875302,42,0.0238934119339561,69,0.0242771416490422
,41,0.252244950833737,70,0.268126428883228,41,0.276257260871293,70,0.295578232520972,41,0.249003166761305,70,0.269700394042998,41,0.271491293727872,70,0.292233366677437,41,0.249119240145383,70,0.272739193457257,41,0.263572393955573,70,0.283428441048348,41,0.2800722477949,70,0.304884992117482,41,0.30059811249687,70,0.323545882888967,41,0.0278601646860003,70,0.0306322487597164,41,0.0231499959110134,70,0.0236247761081816,41,0.00716155838904653,70,0.00843781517982443,41,0.00550344362561498,70,0.00529360924886501,41,0.00414488388587587,70,0.00404665605682909,41,0.00402666960572214,70,0.00406790610070608,41,0.023825529805163,70,0.0242661403470686,41,0.0238415655150517,70,0.0242999044065621
,40,0.251451448007284,71,0.269123141834772,40,0.275586982428923,71,0.296028495916567,40,0.248291398063626,71,0.2707157717871,40,0.270779083915086,71,0.293249949485404,40,0.248422070213524,71,0.273883087301051,40,0.262868153671842,71,0.284360646467357,40,0.279418794626945,71,0.306167626663194,40,0.299829718539007,71,0.324598558523915,40,0.0278005873553124,71,0.0306117820768709,40,0.0231524260890402,71,0.0236478896555309,40,0.00714747150075907,71,0.00857260639088646,40,0.00551537984852159,71,0.0053081506201134,40,0.00414018704462442,71,0.00406307818388493,40,0.00403297214367531,71,0.00408316947572638,40,0.0238528136914462,71,0.024261497264057,40,0.0238383397093282,71,0.0243077546692585
,39,0.250641576841627,72,0.270367121113608,39,0.274882135701689,72,0.296883067477979,39,0.247628043953598,72,0.271734507643291,39,0.270038527780854,72,0.294242295942325,39,0.24772646799739,72,0.275102704294887,39,0.262099360731731,72,0.285228817128035,39,0.278770282893621,72,0.307411683639721,39,0.299062706289717,72,0.32563017875818,39,0.027693835408946,72,0.0305705371494472,39,0.0231526189085745,72,0.0236882140271022,39,0.00710811312901408,72,0.00866135012002591,39,0.00553685530225887,72,0.00529716916445272,39,0.004122250173302,72,0.00408979933985317,39,0.00405173930179136,72,0.00410834486839131,39,0.0238383035382209,72,0.0242968213657696,39,0.0238377732735278,72,0.024325014897604
