CSV Report,2024-02-15_RNA_melting_MgCl2_only_HEPES.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,100 mM MgCl2_260.00nm_90.0-21.0C,,100 mM MgCl2_260.00nm_21.0-90.0C,,100 mM MgCl2_260.00nm_90.0-21.0C_R1,,100 mM MgCl2_260.00nm_21.0-90.0C_R1,,50 mM MgCl2_260.00nm_90.0-21.0C,,50 mM MgCl2_260.00nm_21.0-90.0C,,50 mM MgCl2_260.00nm_90.0-21.0C_R1,,50 mM MgCl2_260.00nm_21.0-90.0C_R1,,25 mM MgCl2_260.00nm_90.0-21.0C,,25 mM MgCl2_260.00nm_21.0-90.0C,,25 mM MgCl2_260.00nm_90.0-21.0C_R1,,25 mM MgCl2_260.00nm_21.0-90.0C_R1,,10 mM MgCl2_260.00nm_90.0-21.0C,,10 mM MgCl2_260.00nm_21.0-90.0C,,10 mM MgCl2_260.00nm_90.0-21.0C_R1,,10 mM MgCl2_260.00nm_21.0-90.0C_R1,,100 mM MgCl2_400.00nm_90.0-21.0C,,100 mM MgCl2_400.00nm_21.0-90.0C,,100 mM MgCl2_400.00nm_90.0-21.0C_R1,,100 mM MgCl2_400.00nm_21.0-90.0C_R1,,50 mM MgCl2_400.00nm_90.0-21.0C,,50 mM MgCl2_400.00nm_21.0-90.0C,,50 mM MgCl2_400.00nm_90.0-21.0C_R1,,50 mM MgCl2_400.00nm_21.0-90.0C_R1,,25 mM MgCl2_400.00nm_90.0-21.0C,,25 mM MgCl2_400.00nm_21.0-90.0C,,25 mM MgCl2_400.00nm_90.0-21.0C_R1,,25 mM MgCl2_400.00nm_21.0-90.0C_R1,,10 mM MgCl2_400.00nm_90.0-21.0C,,10 mM MgCl2_400.00nm_21.0-90.0C,,10 mM MgCl2_400.00nm_90.0-21.0C_R1,,10 mM MgCl2_400.00nm_21.0-90.0C_R1,
,86,0.320802150037296,25,0.278479965531492,86,0.344042994236059,25,0.300722227411949,86,0.303322844439926,25,0.258805378683777,86,0.328430898559772,25,0.281720068992928,86,0.317628442567753,25,0.269100801847643,86,0.330667474660166,25,0.282801482012624,86,0.341820126402791,25,0.290590866853878,86,0.356196748632186,25,0.307615448832215,86,0.0446232902353632,25,0.0238023925767284,86,0.0239053777880549,25,0.0237079938070341,86,0.0228559923385281,25,0.00593302196264609,86,0.00604594494701235,25,0.00588333780087788,86,0.00700040223893952,25,0.00594422614002914,86,0.00611790881630151,25,0.0059762261663241,86,0.0251037674024105,25,0.0250054268192076,86,0.0249853650002597,25,0.0250231029826039
,85,0.320058580894796,26,0.279378156357475,85,0.343900525574354,26,0.301377304983532,85,0.302329713287938,26,0.259614884624734,85,0.328137276471418,26,0.282367287782482,85,0.317364492689867,26,0.269594768610123,85,0.329988824731346,26,0.283356854814907,85,0.341495306658121,26,0.291046393137595,85,0.355468847829672,26,0.30843536816918,85,0.0411863360958742,26,0.023795148975332,85,0.0238798984899873,26,0.0236747835537434,85,0.0201295196258565,26,0.00594006084331915,85,0.00603788506300386,26,0.00588707491955914,85,0.00637266139175758,26,0.00595555259506688,85,0.00609077939574864,26,0.00597396854052603,85,0.0251107446390792,26,0.0250125281189507,85,0.0249602014946028,26,0.0250122564890778
,84,0.319603579653373,27,0.280187452000759,84,0.343575342502146,27,0.301986158728087,84,0.301527267667457,27,0.260030327137143,84,0.327820931983756,27,0.282977250867218,84,0.317014101136838,27,0.270058237515441,84,0.329587352139552,27,0.283891478897313,84,0.340833609957409,27,0.291388265231681,84,0.354788333032542,27,0.309350910231812,84,0.0385827983783306,27,0.0237981934011908,84,0.0238853132375089,27,0.0236724138948455,84,0.0180331162239441,27,0.00594260648408733,84,0.00602018316783177,27,0.00591723232645718,84,0.00610603769130821,27,0.00595127351681012,84,0.00608845856822842,27,0.00595857131881443,84,0.0251177657155068,27,0.0250006897273239,84,0.0249818834766754,27,0.025045817011348
,83,0.319951954837443,28,0.280657891497994,83,0.343282428085248,28,0.302788385955911,83,0.30111076991962,28,0.260078048161743,83,0.327476287234077,28,0.283534128956503,83,0.316409133851666,28,0.270547457347582,83,0.329217209688997,28,0.284437389090805,83,0.34024832162414,28,0.291800339828081,83,0.35411630996598,28,0.310251321386319,83,0.0367886760953051,28,0.0238281609546121,83,0.0238990314563709,28,0.0237086390910917,83,0.0164620627362048,28,0.0059633986396038,83,0.00604476141190042,28,0.00592025326475446,83,0.00602605734474922,28,0.00597531996443618,83,0.00609085913797868,28,0.00594725017882131,83,0.0251473325499953,28,0.0250089246731758,83,0.0250045449385993,28,0.0250493264357911
,82,0.319932051945761,29,0.28076225782498,82,0.342954884936422,29,0.303518370046739,82,0.300795335765257,29,0.260590212916764,82,0.327146219334024,29,0.28426398467282,82,0.315824364101632,29,0.271161914197528,82,0.328704928547898,29,0.28510741239732,82,0.339629337466145,29,0.29233407187816,82,0.353473427665642,29,0.31115954835978,82,0.0353619296896431,29,0.0238329976112858,82,0.0238726930164393,29,0.0237402184176431,82,0.015180291540062,29,0.00597988284211134,82,0.00606217483054726,29,0.00589753187278207,82,0.00600335056203957,29,0.00599496756462849,82,0.00608570240688843,29,0.00594876006717553,82,0.0251398185016867,29,0.0250236914155542,82,0.0250029371726,29,0.0250567193174947
,81,0.319925320107764,30,0.281212687008072,81,0.342537483588795,30,0.304082469703553,81,0.300579946134207,30,0.261539239980393,81,0.326750594155426,30,0.285081567323386,81,0.3153073671929,30,0.271663457904568,81,0.328128649599115,30,0.285754098241769,81,0.338915952505312,30,0.292864008660969,81,0.352817576621279,30,0.31171858523256,81,0.03414494156897,30,0.0238304455673002,81,0.0238671861015129,30,0.0237076385404813,81,0.0141420926510875,30,0.00597111674354033,81,0.00605141579873803,30,0.0059032461503534,81,0.00593899979336633,30,0.0059747317371223,81,0.00609172024381122,30,0.00595398314426049,81,0.0251069747809271,30,0.025027849318008,81,0.0249617889871131,30,0.0250582805726063
,80,0.31985453694388,31,0.282060385816244,80,0.342068978755126,31,0.304990668606994,80,0.300505273947751,31,0.26200584381528,80,0.326257371727913,31,0.285803365734819,80,0.314734746431056,31,0.272050750863427,80,0.327422157603034,31,0.286380863329153,80,0.338163904068764,31,0.29332062155065,80,0.35212146772566,31,0.312135020560283,80,0.0331393713892029,31,0.0238406242586376,80,0.0239464253588859,31,0.0237622049708583,80,0.0133268131002667,31,0.00595412174862029,80,0.00603990781840486,31,0.00591666963879197,80,0.00589124102139405,31,0.00597171664287416,80,0.00611280813414922,31,0.00595221540379303,80,0.0250931970026762,31,0.0249983255176695,80,0.0249937702256363,31,0.0250581513217317
,79,0.319674358740248,32,0.28270353211222,79,0.341506726365151,32,0.305897945688407,79,0.300247377218559,32,0.262320927125673,79,0.325692574358272,32,0.286516500646881,79,0.314005174538063,32,0.272531705167261,79,0.326683190690737,32,0.287069161474825,79,0.337071036200789,32,0.293825004616533,79,0.35133578245417,32,0.312798578060651,79,0.0323812045971323,32,0.0238233619211625,79,0.0239110798571342,32,0.0237806556025794,79,0.0125126605166672,32,0.00595120318247851,79,0.00604019357435835,32,0.00591220361219661,79,0.00590622465392285,32,0.00597357254182841,79,0.00609055895588177,32,0.00592975541241494,79,0.0251002912576545,32,0.0249733534912383,79,0.0249984148914024,32,0.0250504791560203
,78,0.319312886065954,33,0.283109033663781,78,0.340958373553914,33,0.306701196078817,78,0.299795920849086,33,0.263135312248028,78,0.325105932024433,33,0.287385996434968,78,0.313149808041986,33,0.273077691773848,78,0.325913608186113,33,0.287834096077948,78,0.335778644936422,33,0.294311648477118,78,0.350487352606708,33,0.313560636648399,78,0.0316530220400506,33,0.0237831349634715,78,0.0238648278593215,33,0.0237456050268306,78,0.0117448715159573,33,0.00596131528972155,78,0.00603757130836292,33,0.00589569771914387,78,0.00591740611965786,33,0.00596259210190237,78,0.00608082068530403,33,0.00591698519657131,78,0.0250969214073406,33,0.0249740032703088,78,0.0249611949000912,33,0.02504871467627
,77,0.31878716385989,34,0.283846843681888,77,0.340468814656167,34,0.307401279059189,77,0.299243733296252,34,0.263770515615684,77,0.324509931411941,34,0.288197345724824,77,0.312267053818857,34,0.273693654747593,77,0.325156241435677,34,0.288543202196729,77,0.334387006076426,34,0.294786680048596,77,0.349802838793758,34,0.314220791977454,77,0.0309684398246118,34,0.0237882688701406,77,0.0238830400484467,34,0.0237026860971992,77,0.011010644972732,34,0.00597184532275851,77,0.00603273253504003,34,0.00589493478240161,77,0.00592315773955936,34,0.00596042290385653,77,0.00605611995727917,34,0.00592410295729276,77,0.0250953433705195,34,0.0249940563914495,77,0.0249562662291729,34,0.025059758125212
