CSV Report,2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,10 mM MgCl2_260.00nm_90.0-21.0C,,10 mM MgCl2_260.00nm_21.0-90.0C,,10 mM MgCl2_260.00nm_90.0-21.0C_R1,,10 mM MgCl2_260.00nm_21.0-90.0C_R1,,5 mM MgCl2_260.00nm_90.0-21.0C,,5 mM MgCl2_260.00nm_21.0-90.0C,,5 mM MgCl2_260.00nm_90.0-21.0C_R1,,5 mM MgCl2_260.00nm_21.0-90.0C_R1,,1 mM MgCl2_260.00nm_90.0-21.0C,,1 mM MgCl2_260.00nm_21.0-90.0C,,1 mM MgCl2_260.00nm_90.0-21.0C_R1,,1 mM MgCl2_260.00nm_21.0-90.0C_R1,,0.1 mM MgCl2_260.00nm_90.0-21.0C,,0.1 mM MgCl2_260.00nm_21.0-90.0C,,0.1 mM MgCl2_260.00nm_90.0-21.0C_R1,,0.1 mM MgCl2_260.00nm_21.0-90.0C_R1,,10 mM MgCl2_400.00nm_90.0-21.0C,,10 mM MgCl2_400.00nm_21.0-90.0C,,10 mM MgCl2_400.00nm_90.0-21.0C_R1,,10 mM MgCl2_400.00nm_21.0-90.0C_R1,,5 mM MgCl2_400.00nm_90.0-21.0C,,5 mM MgCl2_400.00nm_21.0-90.0C,,5 mM MgCl2_400.00nm_90.0-21.0C_R1,,5 mM MgCl2_400.00nm_21.0-90.0C_R1,,1 mM MgCl2_400.00nm_90.0-21.0C,,1 mM MgCl2_400.00nm_21.0-90.0C,,1 mM MgCl2_400.00nm_90.0-21.0C_R1,,1 mM MgCl2_400.00nm_21.0-90.0C_R1,,0.1 mM MgCl2_400.00nm_90.0-21.0C,,0.1 mM MgCl2_400.00nm_21.0-90.0C,,0.1 mM MgCl2_400.00nm_90.0-21.0C_R1,,0.1 mM MgCl2_400.00nm_21.0-90.0C_R1,
,86,0.329182837882566,25,0.277869812455586,86,0.347049282262687,25,0.294356065106871,86,0.317539553872736,25,0.260916775807258,86,0.33291232229615,25,0.274772126076689,86,0.331695279394134,25,0.271433797461163,86,0.340084335957869,25,0.274126607608157,86,0.37004110972768,25,0.309742220311004,86,0.385427327203443,25,0.320425389542617,86,0.0226159945840017,25,0.0234112508131079,86,0.0225419309206322,25,0.0231003695466409,86,0.00497524634103248,25,0.00482599762084935,86,0.00500633848081494,25,0.00480808927693373,86,0.00358017208962678,25,0.00348039112676087,86,0.00367767597964944,25,0.00341824417845628,86,0.0256956887354107,25,0.0257957839062332,86,0.0256486111493096,25,0.0256108924444847
,85,0.32878205014059,26,0.278350786434958,85,0.346544975694767,26,0.294936179888954,85,0.316956873136183,26,0.261315174068956,85,0.332486429909236,26,0.275260724841508,85,0.331502193233515,26,0.271850093691213,85,0.338428858275478,26,0.274667828350731,85,0.370306424708854,26,0.310100379690222,85,0.384947618291295,26,0.320882091852359,85,0.0226318492414576,26,0.0233850687858509,85,0.0225255904311836,26,0.023049074033327,85,0.00498048783226533,26,0.00482392365136736,85,0.00499415648378433,26,0.0048109986343644,85,0.00357606330904795,26,0.00344210304589664,85,0.00366273214379435,26,0.00338406334383557,85,0.0256834674158535,26,0.0257741570948618,85,0.0256337639712247,26,0.0255668125509329
,84,0.328527192337765,27,0.278637811183797,84,0.346140035463581,27,0.29543380873147,84,0.316533391155529,27,0.261595554435245,84,0.331976404996779,27,0.275738826777996,84,0.330960249134376,27,0.272200195041008,84,0.337458567632519,27,0.275176667161432,84,0.370737622605879,27,0.310528955449508,84,0.384442527691297,27,0.321393727125897,84,0.0226545922617334,27,0.0233043381546753,84,0.0225592376693796,27,0.0230228521018843,84,0.00496620739011163,27,0.00480840990468144,84,0.00497831438416675,27,0.0048112816727787,84,0.00356422740817526,27,0.00339228241637846,84,0.00367207847659986,27,0.00335655262443283,84,0.0256886949610482,27,0.0257170770351141,84,0.0256362266429905,27,0.0255503317471701
,83,0.328733702210695,28,0.278852833564353,83,0.34572860127133,28,0.29594149962141,83,0.316148814466589,28,0.261954729614667,83,0.331394758574166,28,0.276269845435033,83,0.330406426790549,28,0.272588255948845,83,0.335934053879925,28,0.275579561717685,83,0.370291558281031,28,0.31116076657345,83,0.383902840691839,28,0.322020131208211,83,0.0226862917184508,28,0.0232656388012264,83,0.0225727636086959,28,0.0230416515449642,83,0.00497228054481357,28,0.00479921609883371,83,0.00498018367427634,28,0.0048120048670492,83,0.0036136481936411,28,0.0033513802134507,83,0.00365951070896351,28,0.00336138899105482,83,0.0257081655711151,28,0.0256758022630931,83,0.0256313916835274,28,0.0255661078409345
,82,0.327572997191987,29,0.27928284421043,82,0.345110917051614,29,0.296534779497555,82,0.315723919914676,29,0.262476883546657,82,0.330787165382343,29,0.276872529290552,82,0.329933619508709,29,0.273079107746052,82,0.332245486416151,29,0.275959939160977,82,0.369650752566163,29,0.311803688064486,82,0.383410462378667,29,0.32270417481096,82,0.02272853182124,29,0.0232476403421964,82,0.0225541504179289,29,0.0230389241369423,82,0.00501812261400364,29,0.00478454415320098,82,0.0050131230882482,29,0.00480315586905405,82,0.00363110221393481,29,0.00331389049387939,82,0.00363110903353836,29,0.00334444673421164,82,0.0257266442291252,29,0.0256353982938722,82,0.0256248098588497,29,0.0255474741904343
,81,0.326918584964279,30,0.279850867554179,81,0.344413184259252,30,0.297183063639085,81,0.31524048221164,30,0.262991200356833,81,0.330050473811599,30,0.277435548693118,81,0.329444721565201,30,0.273670073222509,81,0.329636194804663,30,0.276460755378808,81,0.369065257499139,30,0.312432550551991,81,0.382947431181765,30,0.323326702357447,81,0.0226970333444791,30,0.023190023478129,81,0.0225317163307893,30,0.0230086587692312,81,0.00503351903326387,30,0.00477715191179507,81,0.00502994313029642,30,0.00479311522937419,81,0.00360937320845863,30,0.00327219891401138,81,0.00360722227892157,30,0.00331944410864981,81,0.0257167201896236,30,0.0256094373967387,81,0.0256240257915957,30,0.025529425635738
,80,0.326161537493874,31,0.280239353877358,80,0.343627808827544,31,0.297767082134129,80,0.314636262567248,31,0.263388757061413,80,0.329219368767931,31,0.27800978706188,80,0.32887907138887,31,0.274169120593909,80,0.329134800283201,31,0.27710789353921,80,0.368576555923977,31,0.3130754970534,80,0.382485308321176,31,0.324020069214007,80,0.0226974868506558,31,0.0232088118612338,80,0.0224977293341136,31,0.0229822584269685,80,0.00502037679839277,31,0.00476875616253745,80,0.00500642017380403,31,0.00475911583807819,80,0.00363990295621352,31,0.00330891187607987,80,0.00358086587565187,31,0.00331677746287404,80,0.025740209116195,31,0.025628713766305,80,0.0255933215938983,31,0.0255228899974926
,79,0.325210851717008,32,0.280593201336843,79,0.342713366303497,32,0.298317035450171,79,0.313810585098305,32,0.263890866333377,79,0.328300509541914,32,0.278649586858007,79,0.328235018314862,32,0.274651900715438,79,0.328645153715107,32,0.277634107139508,79,0.368206268031738,32,0.313710894697347,79,0.382028708754545,32,0.324746840215433,79,0.0227525423689802,32,0.0232266838688255,79,0.0224937441069271,32,0.0229548472123524,79,0.00503125901202309,32,0.00476541165402833,79,0.004996451343161,32,0.00476063936077299,79,0.00363564241807661,32,0.00332160878070123,79,0.0035569952003257,32,0.0033046486130315,79,0.0257747112911665,32,0.0256177539400365,79,0.0255928552870804,32,0.0254985826794057
,78,0.324192151572262,33,0.281167211252185,78,0.341790217861733,33,0.298983802620856,78,0.312878809180875,33,0.264429665722969,78,0.327330394313212,33,0.279281133417005,78,0.327519258783738,33,0.275229954892817,78,0.328195352409267,33,0.278103907321703,78,0.367855977621506,33,0.314432816865804,78,0.381533753071286,33,0.325450068748014,78,0.0227497013925837,33,0.0231909792352956,78,0.0225088373394578,33,0.0229586186017501,78,0.00501067097282462,33,0.00476851708360453,78,0.00500693622424595,33,0.00478998039171984,78,0.0036066686562699,33,0.00327736827566339,78,0.00353365588107011,33,0.00330760151795525,78,0.0257582363685057,33,0.0255887053777506,78,0.0256155912672169,33,0.0254756476929244
,77,0.323031777643635,34,0.281644176240704,77,0.340777040685404,34,0.299699845258089,77,0.311799973993167,34,0.264930801920118,77,0.326287085429623,34,0.27988634024471,77,0.326798065144569,34,0.275833458606171,77,0.327757771635025,34,0.278774509947839,77,0.367429192586516,34,0.315242911465161,77,0.38102253006661,34,0.326307112340765,77,0.0227643472472171,34,0.0232068938014499,77,0.0225004620000567,34,0.0229282632828666,77,0.00502297723718302,34,0.00476261394738953,77,0.00499390027149884,34,0.00476999905506304,77,0.0035974225471087,34,0.00329450970960333,77,0.00351095278656228,34,0.00328764636009344,77,0.0257669112616261,34,0.0256008162873972,77,0.0256076910761229,34,0.0254846398033757
,76,0.321820158162592,35,0.282135080582489,76,0.339682861063493,35,0.300328763090691,76,0.310567412007875,35,0.265488776854891,76,0.325247042304847,35,0.280560210444902,76,0.326043843385949,35,0.276426867170427,76,0.327181189685574,35,0.279407516825193,76,0.367060671161457,35,0.316081744067305,76,0.380483942915715,35,0.327165944011679,76,0.022735081989533,35,0.0231885418307694,76,0.0225331215448266,35,0.0228951613157272,76,0.00500827630385411,35,0.00475363932750688,76,0.00497511785888382,35,0.00474863819463048,76,0.00356727550477412,35,0.00327740501659621,76,0.00353501752664173,35,0.00326474877498739,76,0.0257628628512795,35,0.0255830603367381,76,0.0256207650139914,35,0.0254659341269962
,75,0.320583397175551,36,0.282723895060501,75,0.33855681177743,36,0.301009732589655,75,0.309318545148377,36,0.266038142624079,75,0.324069993959642,36,0.28121926630164,75,0.325150363570327,36,0.277081516177412,75,0.326491187621982,36,0.280003454894577,75,0.366473121797425,36,0.316913891908158,75,0.379840879489208,36,0.328023271132015,75,0.0227501310844669,36,0.0231662346661264,75,0.0225536901828407,36,0.0228969795603936,75,0.00502807599018742,36,0.00474470445852293,75,0.00497203445016735,36,0.00476460877607744,75,0.00358916115351752,36,0.00325302433594077,75,0.00355525172771914,36,0.00327820671108504,75,0.0257695566060937,36,0.0255625554320115,75,0.0256254740553895,36,0.0254847030980642
,74,0.319612830121066,37,0.283273292883297,74,0.337407089516395,37,0.301729661274819,74,0.308061351217917,37,0.266616085329635,74,0.322729402331236,37,0.281880616237594,74,0.324176196506292,37,0.277785663481906,74,0.325573222729471,37,0.280716820334208,74,0.365834179535549,37,0.3178312190384,74,0.37925243352707,37,0.329025010635505,74,0.0227868652010684,37,0.0231785812078624,74,0.0225405805592443,37,0.0229043796332539,74,0.00505395425616474,37,0.00474999886721004,74,0.00497275018917904,37,0.00476986873260337,74,0.00360356500619745,37,0.0032812021631032,74,0.00353632699730568,37,0.00329843755369294,74,0.0257705778694191,37,0.0255718141026413,74,0.0255959257831845,37,0.0254857544300937
,73,0.318117796172533,38,0.283836954605923,73,0.336208876609072,38,0.302439650367813,73,0.306697013035163,38,0.267257604459387,73,0.321453577285299,38,0.282583656366857,73,0.323026860349132,38,0.278501038290716,73,0.324480256294874,38,0.281425868917687,73,0.365101500800562,38,0.318821851191286,73,0.378296141021602,38,0.330039644592745,73,0.0227481333052102,38,0.0231744861710506,73,0.0225444584864325,38,0.022933546283956,73,0.0050471085501848,38,0.00475454128704804,73,0.00495923543853603,38,0.00475655883751469,73,0.00355381815959793,38,0.00326881292880397,73,0.00351674332950666,38,0.00331399633447223,73,0.0257626578932843,38,0.0255692719417228,73,0.0255882247201002,38,0.0254990086104623
,72,0.316796327001261,39,0.284449413301071,72,0.335049940268136,39,0.303167140491138,72,0.305291146774228,39,0.267920589680917,72,0.320030469346684,39,0.28330666249119,72,0.321898862053693,39,0.279320628611186,72,0.323283396898682,39,0.282192641853998,72,0.364330198389615,39,0.319875720837985,72,0.377275521146713,39,0.331072660126389,72,0.0227790474828815,39,0.0231667851031081,72,0.0225622673456923,39,0.0229439662710128,72,0.00506586665318852,39,0.00476178541492855,72,0.00493722666059849,39,0.0047521328701805,72,0.00355903190144891,39,0.00325889883942884,72,0.00354674623447286,39,0.00330826660853866,72,0.0257751175254654,39,0.025563075323435,72,0.0256261392088479,39,0.0255292667964441
,71,0.315463710590102,40,0.285048901660059,71,0.333864635690046,40,0.303896197882817,71,0.303761057239108,40,0.26858036314985,71,0.31862848644171,40,0.284023701024182,71,0.320615414327512,40,0.280161766166822,71,0.322033916647676,40,0.282991095533793,71,0.363493110015346,40,0.320956296672536,71,0.376378555655632,40,0.332139480130179,71,0.0227958184098858,40,0.0231356695381903,71,0.0225425986167155,40,0.0229490493060063,71,0.00504692400090048,40,0.00474245809191891,71,0.00492359919032612,40,0.00476609060079344,71,0.00360036088033446,40,0.00326562945353093,71,0.00353624397856092,40,0.00331818408313347,71,0.0257729643855321,40,0.0255622344120426,71,0.0255991899527803,40,0.0255180719012819
,70,0.3141243304272,41,0.285676951340746,70,0.332663762665222,41,0.30468466390481,70,0.30228949033514,41,0.269253390830247,70,0.317225818510502,41,0.284790415396767,70,0.319294758425325,41,0.281037575041233,70,0.320634154276895,41,0.283837112171064,70,0.362412240089371,41,0.32209316273118,70,0.375242985588317,41,0.333314258477059,70,0.0227981165649541,41,0.0231207514093864,70,0.0225718277918593,41,0.0229219488887311,70,0.00506949128146203,41,0.00471735341560387,70,0.00495570670823673,41,0.00475551836881169,70,0.00365237534560706,41,0.00326965022074338,70,0.00354677862565388,41,0.00332632712020991,70,0.0257814480162122,41,0.0255560562332219,70,0.025598064597627,41,0.0254889910647364
,69,0.312900144668982,42,0.286377998271623,69,0.331515663413371,42,0.305422748671944,69,0.300846787268956,42,0.269978970235225,69,0.315822707963082,42,0.285546190410833,69,0.317887364982964,42,0.281986622131214,69,0.319066673754536,42,0.284656528914338,69,0.361354697010775,42,0.323219727388982,69,0.373963830126597,42,0.334487566917725,69,0.022855594129122,42,0.0231009026022828,69,0.0225682471366978,42,0.0228991308336409,69,0.00508131400090908,42,0.0047211593363968,69,0.00496579648180019,42,0.00476189858505722,69,0.00362444788201863,42,0.00326752870234498,69,0.00353203181682511,42,0.00330530037332075,69,0.0258002669924681,42,0.0255382372150147,69,0.0255873979036417,42,0.0254723598092306
,68,0.311696435816841,43,0.287064461977358,68,0.3304330919013,43,0.306210253437394,68,0.299379221451569,43,0.270766351233808,68,0.314450798896676,43,0.286377210167424,68,0.316322408351389,43,0.282968267753158,68,0.317552724194032,43,0.285598977366999,68,0.360109771765419,43,0.324380529767646,68,0.372725653534555,43,0.335719009811097,68,0.0228594512170089,43,0.0231031825869447,68,0.022571812223503,43,0.02287756620935,68,0.00507399706240019,43,0.00473848779527518,68,0.00495479833481182,43,0.00476717760861169,68,0.00361441267833797,43,0.00325674227956723,68,0.00352652035860584,43,0.00328457563738924,68,0.0257948584718102,43,0.0255365706354205,68,0.0255935683558029,43,0.0254765153702717
,67,0.310509817281345,44,0.287805306460855,67,0.329423920311724,44,0.307038516630518,67,0.298038168930198,44,0.271570976370176,67,0.313233979178792,44,0.287237953045261,67,0.314738453459022,44,0.283972414582704,67,0.316122112006908,44,0.286591677781504,67,0.358801952617129,44,0.325589896709636,67,0.371376733108472,44,0.336962063258439,67,0.0228579763123747,44,0.0230971770299309,67,0.0225754598475234,44,0.0228786010738003,67,0.0050514097321255,44,0.00473337956081934,67,0.00494704901904287,44,0.00476829822413217,67,0.00359907411730937,44,0.00325594094502301,67,0.00354137821820511,44,0.00328634626650774,67,0.0257928620173635,44,0.0255313566378289,67,0.0255906085007455,44,0.025483084246687
,66,0.309427188723503,45,0.288580342116659,66,0.328453435476947,45,0.30786651667464,66,0.296836301533513,45,0.272426781490169,66,0.312017369018615,45,0.28807709350734,66,0.313241354546004,45,0.285066873719088,66,0.31464799287613,45,0.287556913543079,66,0.357497612867986,45,0.326827387952876,66,0.36984571000501,45,0.338207838813482,66,0.0228545001664712,45,0.0230586109531133,66,0.0225761213600368,45,0.0228649548339659,66,0.00504516725618218,45,0.00471993735629817,66,0.00494243468123374,45,0.00475831638308119,66,0.00360757125803764,45,0.00323552590620509,66,0.00354382502450988,45,0.00328469344850556,66,0.0257925055370665,45,0.0255164818405928,66,0.0255721827126214,45,0.02547474298606
,65,0.308398284538535,46,0.289379104818138,65,0.327458847465074,46,0.308702536604652,65,0.295596782210444,46,0.27330546997492,65,0.310817698666536,46,0.28902238000123,65,0.311637088123372,46,0.286158721255228,65,0.313120026727923,46,0.288629260440706,65,0.35600427212515,46,0.328017425893265,65,0.368277297734622,46,0.339430567875202,65,0.0228745045954908,46,0.0230312082530798,65,0.0225939648309281,46,0.0228732649343647,65,0.00506481599666244,46,0.00472956075626556,65,0.00493687736519949,46,0.00476283304889672,65,0.00360902687701754,46,0.00323265161342032,65,0.00353439241267086,46,0.00330588858240122,65,0.0258000327364869,46,0.025512672301123,65,0.0255972761673172,46,0.0254823949575974
,64,0.307388393199599,47,0.29023234491561,64,0.326496912304997,47,0.309586196137249,64,0.294434653087185,47,0.274260283259126,64,0.309685078857488,47,0.289936551184191,64,0.310106790532757,47,0.287278901461926,64,0.31168114531298,47,0.289746277689587,64,0.354424655990157,47,0.329180756925794,64,0.366708257882555,47,0.340671608211318,64,0.022871185615923,47,0.0230511968641146,64,0.0225714112530136,47,0.0228576464966905,64,0.00507545439530694,47,0.00474642148587582,64,0.00493396957073633,47,0.00474515806481282,64,0.00360751992347496,47,0.00326471628684427,64,0.00348253274826055,47,0.00330320832997293,64,0.0257982073458471,47,0.0255221623869965,64,0.025577252056358,47,0.0254730701170676
