CSV Report,2024-02-21_RNA_melting_MgCl2_Na_only_HEPES.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,500 mM MgCl2_260.00nm_90.0-21.0C,,500 mM MgCl2_260.00nm_21.0-90.0C,,500 mM MgCl2_260.00nm_90.0-21.0C_R1,,500 mM MgCl2_260.00nm_21.0-90.0C_R1,,100 mM MgCl2_260.00nm_90.0-21.0C,,100 mM MgCl2_260.00nm_21.0-90.0C,,100 mM MgCl2_260.00nm_90.0-21.0C_R1,,100 mM MgCl2_260.00nm_21.0-90.0C_R1,,50 mM MgCl2_260.00nm_90.0-21.0C,,50 mM MgCl2_260.00nm_21.0-90.0C,,50 mM MgCl2_260.00nm_90.0-21.0C_R1,,50 mM MgCl2_260.00nm_21.0-90.0C_R1,,25 mM MgCl2_260.00nm_90.0-21.0C,,25 mM MgCl2_260.00nm_21.0-90.0C,,25 mM MgCl2_260.00nm_90.0-21.0C_R1,,25 mM MgCl2_260.00nm_21.0-90.0C_R1,,500 mM MgCl2_400.00nm_90.0-21.0C,,500 mM MgCl2_400.00nm_21.0-90.0C,,500 mM MgCl2_400.00nm_90.0-21.0C_R1,,500 mM MgCl2_400.00nm_21.0-90.0C_R1,,100 mM MgCl2_400.00nm_90.0-21.0C,,100 mM MgCl2_400.00nm_21.0-90.0C,,100 mM MgCl2_400.00nm_90.0-21.0C_R1,,100 mM MgCl2_400.00nm_21.0-90.0C_R1,,50 mM MgCl2_400.00nm_90.0-21.0C,,50 mM MgCl2_400.00nm_21.0-90.0C,,50 mM MgCl2_400.00nm_90.0-21.0C_R1,,50 mM MgCl2_400.00nm_21.0-90.0C_R1,,25 mM MgCl2_400.00nm_90.0-21.0C,,25 mM MgCl2_400.00nm_21.0-90.0C,,25 mM MgCl2_400.00nm_90.0-21.0C_R1,,25 mM MgCl2_400.00nm_21.0-90.0C_R1,
,86,0.360788047530599,25,0.329178197283913,86,0.398221625293855,25,0.379434065409266,86,0.313208810180357,25,0.270455300053769,86,0.340604921104164,25,0.299158831685053,86,0.314128578612739,25,0.274669221289868,86,0.342888296205409,25,0.298523734293497,86,0.341084623076013,25,0.299852318135725,86,0.370832560917001,25,0.322751463521335,86,0.0248960699539115,25,0.0240085856037511,86,0.0241150880860835,25,0.0238984727534398,86,0.0194246232058434,25,0.00695583950928231,86,0.00681597443075224,25,0.00697068757040855,86,0.0196182615210759,25,0.00593194412171051,86,0.0055459046519729,25,0.00583063001722465,86,0.0265715738203309,25,0.0256586115799164,86,0.0256516171289669,25,0.0255922778403591
,85,0.361384829671329,26,0.32987103340981,85,0.398444282461997,26,0.380000561662567,85,0.312931731080713,26,0.271206285714944,85,0.3405236185247,26,0.299924728426251,85,0.315379826798106,26,0.275167086352192,85,0.342749973657587,26,0.299254666665128,85,0.345198434773897,26,0.300452036514948,85,0.370529023081818,26,0.323447597377517,85,0.0244454803384891,26,0.0239878372084954,85,0.0241052099302925,26,0.0238828220704981,85,0.016635377216551,26,0.00695871071618855,85,0.00678283017703959,26,0.00697598172210841,85,0.017113881680832,26,0.00591289199699326,85,0.00556029741722359,26,0.0058382855420407,85,0.0260418015491408,26,0.0256537379034307,85,0.0256641353095169,26,0.0255950008313539
,84,0.361919674717232,27,0.330498079434563,84,0.398716753431096,27,0.380562019734953,84,0.313244732189649,27,0.271783822014778,84,0.340396673038889,27,0.300617536409538,84,0.316733607828531,27,0.27544641630818,84,0.342515402500879,27,0.29977459922179,84,0.345918610899742,27,0.30074359974683,84,0.370309928671426,27,0.324046299171221,84,0.0243261181236602,27,0.0239254787752819,84,0.0241340900700269,27,0.0238942706902839,84,0.0147033163530655,27,0.00694377308824088,84,0.00674374152505568,27,0.00699180626184237,84,0.0151086632256613,27,0.00584774566308264,84,0.00553885168338674,27,0.00585482442782714,84,0.0257859511849505,27,0.0255991142814526,84,0.0256356655267063,27,0.0256020718646288
,83,0.362504855211341,28,0.331237586755488,83,0.398976300329542,28,0.381089098691695,83,0.313492675680636,28,0.272072606822037,83,0.340203147550504,28,0.301337668447963,83,0.316686202469192,28,0.275838632919175,83,0.342218932428709,28,0.300346875499178,83,0.345368010956325,28,0.301057508199825,83,0.369920152912318,28,0.324679750994764,83,0.0242450698560752,28,0.0238977932787437,83,0.0240783101770236,28,0.0238507421092229,83,0.013204435718055,28,0.00694354541994041,83,0.00674841473843214,28,0.00699845972179618,83,0.0133987431345979,28,0.00582686594588802,83,0.00550580346530442,28,0.00582428521285206,83,0.0256739929650667,28,0.0255784481960926,83,0.0256230507751491,28,0.0255834305274198
,82,0.363003880346993,29,0.331967459499146,82,0.399098037311316,29,0.381610644778583,82,0.313318374152019,29,0.272523428722465,82,0.339961109676676,29,0.302064489636382,82,0.316294827085807,29,0.276464148484516,82,0.341827492451099,29,0.301119721394,82,0.344490678693028,29,0.301723914935494,82,0.369439257453891,29,0.325449062435072,82,0.0242237354563221,29,0.0239165218683104,82,0.0240123557099669,29,0.0238602685966404,82,0.0121118150774087,29,0.00695850197781038,82,0.00675415392004194,29,0.00699340590597756,82,0.0121164544744791,29,0.00585455240025119,82,0.00548079727328534,29,0.00583632814570324,82,0.0256769188641926,29,0.0255981354894674,82,0.02559653299971,29,0.0255918138030839
,81,0.363339097097611,30,0.332638175117391,81,0.399190715562871,30,0.382127189422646,81,0.313069183317493,30,0.273369570811616,81,0.339663220076431,30,0.302870416233935,81,0.315856921683665,30,0.277079889881293,81,0.341419667777688,30,0.301957830281045,81,0.343612205539729,30,0.30242464453535,81,0.368980821336737,30,0.326221667547646,81,0.0242859998854774,30,0.0239305253319796,81,0.0240195085812563,30,0.0238885598530458,81,0.0112494431721265,30,0.00696024293183045,81,0.00676184740233047,30,0.00698934636286959,81,0.0110271369363211,30,0.00588057351679222,81,0.00550961062995984,30,0.00584131178559091,81,0.0256914517718378,30,0.0256142077916975,81,0.0256129817678799,30,0.0256022140679332
,80,0.363501436360973,31,0.333340021246435,80,0.399235133703849,31,0.38262834353405,80,0.312726089646134,31,0.274059143347702,80,0.339439470609732,31,0.303656022812684,80,0.315478398990758,31,0.277574008391402,80,0.340938884190663,31,0.302657972660754,80,0.342950232729605,31,0.302818017969258,80,0.36842198592929,31,0.326958146956282,80,0.0242429324950396,31,0.0239345973989462,80,0.0240284113613438,31,0.023859444681757,80,0.0105813667634985,31,0.00694350014523192,80,0.00675055798467444,31,0.00698567603890176,80,0.0101276521067386,31,0.00588362804055166,80,0.0055269567310581,31,0.00580780294546542,80,0.0256548563151578,31,0.0256133717283569,80,0.025616093350942,31,0.0255837863890934
,79,0.363689125210771,32,0.334175579736418,79,0.399286186965606,32,0.383180316139045,79,0.312287802013748,32,0.274586248105524,79,0.339128213201925,32,0.304474193091124,79,0.314971988549784,32,0.278195419740155,79,0.340385555609691,32,0.303469824530452,79,0.342417761832729,32,0.303382694432006,79,0.367833406093413,32,0.327755611332515,79,0.0241999871513613,32,0.0239513347251891,79,0.0240290188259849,32,0.0238488232434489,79,0.0100318958367468,32,0.00693831311313389,79,0.00676002221318041,32,0.00699751477194769,79,0.00932790168982307,32,0.00588387545747989,79,0.00550905624552974,32,0.00582545898782284,79,0.0256357125901906,32,0.0256141014700405,79,0.0256003682869507,32,0.0255965405169458
,78,0.363749044075961,33,0.335011018598137,78,0.399327637420725,33,0.383759015967036,78,0.311857118982208,33,0.275344048929591,78,0.338716303488159,33,0.305261074086323,78,0.31438526383857,33,0.278827776117046,78,0.33985776409125,33,0.304274457147418,78,0.341908044875119,33,0.304060111032728,78,0.367149796603303,33,0.328573438732849,78,0.0242202784989183,33,0.0239563454067525,78,0.0240335447666764,33,0.0238628464127362,78,0.00955884199269606,33,0.00694468263860877,78,0.00677824702652677,33,0.00700728014923288,78,0.00861575418192798,33,0.00588806794785059,78,0.00552766854915228,33,0.00584891646464645,78,0.0256565711516007,33,0.02562689227683,78,0.0256093859898757,33,0.0256177816179263
,77,0.363503201814787,34,0.335805122930882,77,0.399293812991779,34,0.384292783371056,77,0.311260319955047,34,0.276085112972734,77,0.338221069533761,34,0.306049425834487,77,0.313823731949786,34,0.279422462708875,77,0.339246266579802,34,0.305042765467582,77,0.341223121031969,34,0.304611130637823,77,0.366412461146079,34,0.329367096882411,77,0.0242289937968962,34,0.023917461984745,77,0.0240370317761773,34,0.0238674759437432,77,0.00917343471886076,34,0.00693311774675906,77,0.00676207784532001,34,0.00700175594965406,77,0.00798641973698465,34,0.00587783587034738,77,0.00552297487470491,34,0.00582387415437867,77,0.0256581594052454,34,0.0256107624928857,77,0.0256169590647563,34,0.025598513695173
