CSV Report,2023-09-21_RNA_melting_NaCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,516 mM NaCl_260.00nm_90.0-21.0C,,516 mM NaCl_260.00nm_21.0-90.0C,,516 mM NaCl_260.00nm_90.0-21.0C_R1,,516 mM NaCl_260.00nm_21.0-90.0C_R1,,116 mM NaCl_260.00nm_90.0-21.0C,,116 mM NaCl_260.00nm_21.0-90.0C,,116 mM NaCl_260.00nm_90.0-21.0C_R1,,116 mM NaCl_260.00nm_21.0-90.0C_R1,,66 mM NaCl_260.00nm_90.0-21.0C,,66 mM NaCl_260.00nm_21.0-90.0C,,66 mM NaCl_260.00nm_90.0-21.0C_R1,,66 mM NaCl_260.00nm_21.0-90.0C_R1,,41 mM NaCl_260.00nm_90.0-21.0C,,41 mM NaCl_260.00nm_21.0-90.0C,,41 mM NaCl_260.00nm_90.0-21.0C_R1,,41 mM NaCl_260.00nm_21.0-90.0C_R1,,516 mM NaCl_400.00nm_90.0-21.0C,,516 mM NaCl_400.00nm_21.0-90.0C,,516 mM NaCl_400.00nm_90.0-21.0C_R1,,516 mM NaCl_400.00nm_21.0-90.0C_R1,,116 mM NaCl_400.00nm_90.0-21.0C,,116 mM NaCl_400.00nm_21.0-90.0C,,116 mM NaCl_400.00nm_90.0-21.0C_R1,,116 mM NaCl_400.00nm_21.0-90.0C_R1,,66 mM NaCl_400.00nm_90.0-21.0C,,66 mM NaCl_400.00nm_21.0-90.0C,,66 mM NaCl_400.00nm_90.0-21.0C_R1,,66 mM NaCl_400.00nm_21.0-90.0C_R1,,41 mM NaCl_400.00nm_90.0-21.0C,,41 mM NaCl_400.00nm_21.0-90.0C,,41 mM NaCl_400.00nm_90.0-21.0C_R1,,41 mM NaCl_400.00nm_21.0-90.0C_R1,
,66,0.261934814378891,45,0.20932538733749,66,0.26519352903459,45,0.211995961067468,66,0.664318890065881,45,0.510567564835975,66,0.686443216641638,45,0.527384913979517,66,0.687016017395559,45,0.527095919821465,66,0.709052174656578,45,0.54407550366728,66,0.614236610889445,45,0.481097709680632,66,0.640322547011262,45,0.500626420864368,66,0.0240076891611445,45,0.0238405184842277,66,0.0239324107265364,45,0.023855362882045,66,0.0107756496229894,45,0.0107988202152146,66,0.0107919327065258,45,0.0108085675227869,66,0.00469684967683096,45,0.00442346332333301,66,0.00456581470094034,45,0.00442072237035172,66,0.025847643181646,45,0.0257061170536203,66,0.02581643871874,45,0.0256919568535665
,65,0.259293397440627,46,0.211290231808318,65,0.262516495374315,46,0.213952945099263,65,0.656888432836086,46,0.516513684158806,65,0.678712294767396,46,0.533384374585748,65,0.679639814569416,46,0.533192877677405,65,0.701334063128462,46,0.550269560177527,65,0.608590486025604,46,0.486044416306652,65,0.634057257707271,46,0.505679220771022,65,0.0239777555598369,46,0.0238330436528718,65,0.023922001015176,46,0.0238557165685951,65,0.0108120112949234,46,0.0107995030355629,65,0.0107732547925939,46,0.0108019529462757,65,0.00467407071995171,46,0.00442181111314715,65,0.00455764635577559,46,0.00442347082641936,65,0.0258422999291239,46,0.025689635118316,65,0.025783892768593,46,0.0256915944129501
,64,0.256775805222753,47,0.213347134350719,64,0.259988734122974,47,0.215990777987492,64,0.649449699747034,47,0.5223685603974,64,0.670867500587955,47,0.539470687306161,64,0.672266876714679,47,0.539227952018148,64,0.693491016493471,47,0.556529110396305,64,0.602767365899202,47,0.491023204047514,64,0.627835313827022,47,0.510889655207958,64,0.0239494952567295,47,0.023870808654379,64,0.0238792508159033,47,0.0238395371070765,64,0.010785355765739,47,0.0107966423015198,64,0.0107620896083841,47,0.0108036424818442,64,0.00463642707254972,47,0.00445804537655353,64,0.00451883464777018,47,0.00441691982714167,64,0.0258270229508765,47,0.0257236588111582,64,0.0257498480238099,47,0.025692128494107
,63,0.254299156413433,48,0.215339810357926,63,0.257449835170522,48,0.217996597721503,63,0.641827015017067,48,0.528237641770616,63,0.663128045383927,48,0.545394925663537,63,0.664617699579669,48,0.545162467980385,63,0.685676371278252,48,0.562594295379633,63,0.596758219560203,48,0.496042839359715,63,0.621809059638794,48,0.516057005357537,63,0.0239896724833882,48,0.0238563576680127,63,0.0238941670616755,48,0.0238397379194312,63,0.0107631991605099,48,0.0107868141085446,63,0.0107712860351149,48,0.0108125081770362,63,0.00461905649886415,48,0.00443196948654148,63,0.00452822484381597,48,0.00442460909064333,63,0.0258296372855373,48,0.0257075850181603,63,0.0257492746899913,48,0.0256853723462692
,62,0.25184345920913,49,0.217426078137635,62,0.25503687168459,49,0.220040849937982,62,0.634213265384298,49,0.534360202712431,62,0.655406115997101,49,0.551520032109307,62,0.656920396430565,49,0.551357390474912,62,0.677846261481943,49,0.568835847169766,62,0.59085260613998,49,0.501028685680788,62,0.615509557775279,49,0.521379376496704,62,0.0239910593897888,49,0.0238191838238321,62,0.0239149379492149,49,0.0238531905981887,62,0.0107781809305682,49,0.0107907719744684,62,0.0107678882684013,49,0.0107958889929815,62,0.00462802428676761,49,0.00440595653599419,62,0.00455695803674304,49,0.00443650313551966,62,0.0258487551935171,49,0.0256760167312548,62,0.0257496894654302,49,0.0256576369553376
,61,0.249388611468092,50,0.219578993525152,61,0.252564604087097,50,0.222167216304121,61,0.626856579315871,50,0.540170867191013,61,0.647831779715183,50,0.557634077358344,61,0.649370462247042,50,0.557381692892592,61,0.67004139235477,50,0.575214054434232,61,0.584930094614619,50,0.506229266951284,61,0.609202197961482,50,0.526603141720343,61,0.023964921961725,50,0.0238250023121271,61,0.0238881558799575,50,0.0238435184087945,61,0.0108054544899871,50,0.0107867747117014,61,0.0107799722390501,50,0.0107804383988717,61,0.00463397634064471,50,0.0044125287322809,61,0.00451768038867428,50,0.00440719632538,61,0.025842885240045,50,0.0256972999587955,61,0.0257369665812116,50,0.0256648134264624
,60,0.247082927132145,51,0.221634656451956,60,0.250069215581438,51,0.224391640441375,60,0.619662449846888,51,0.546176435788937,60,0.640357983976934,51,0.563871580748045,60,0.641821554410963,51,0.56358083343212,60,0.662243742223311,51,0.581753782062913,60,0.5788609216585,51,0.511375685155272,60,0.602823147132942,51,0.532015755358566,60,0.0239548570677808,51,0.0238725754361813,60,0.0238684663063823,51,0.0238492375662604,60,0.0108096257868516,51,0.010793954598028,60,0.0107694105366254,51,0.0108087482170503,60,0.00463388820900441,51,0.00446003183875956,60,0.0045160421297153,51,0.00444449298386113,60,0.0258094864227049,51,0.0257105324074976,60,0.0257254420750508,51,0.025694255495889
,59,0.244795003273782,52,0.223788648929478,59,0.247616274970049,52,0.226599543059845,59,0.612928588330284,52,0.552259413808212,59,0.632915935710922,52,0.570102017100757,59,0.6346685899047,52,0.569878493393634,59,0.654375375228482,52,0.588198755954642,59,0.572769501117537,52,0.516452916147354,59,0.59644108687932,52,0.537757159847813,59,0.0239357846496741,52,0.0238800966560017,59,0.0238741430333473,52,0.0238744839616131,59,0.0107913423271293,52,0.0108183696546812,59,0.0107791044771944,52,0.0108231507620627,59,0.00457526295892035,52,0.00448032890630442,59,0.00451699274103323,52,0.00444662473451749,59,0.0258027308196486,52,0.0257156325838546,59,0.0257196297030796,52,0.0257169773778626
,58,0.242460179099837,53,0.226049214856151,58,0.245330547834405,53,0.228844590637743,58,0.606091700540397,53,0.558413632776144,58,0.625677034174752,53,0.576556148074053,58,0.627330874713436,53,0.576301312167582,58,0.646721541383569,53,0.595027031952773,58,0.566672178942955,53,0.522229017165398,58,0.590089385924386,53,0.543518060994592,58,0.0239401577505156,53,0.0238623166443123,58,0.0238886819468172,53,0.0238823308951448,58,0.0108492721583745,53,0.0107758082264275,58,0.0107930021801859,53,0.0107985147855249,58,0.00458020704255202,53,0.00444454737461616,58,0.00451109097073264,53,0.00443970172847323,58,0.0258157820512001,53,0.0256897518150224,58,0.0257622436509402,53,0.0256856700631037
,57,0.240150843848696,54,0.228296690692261,57,0.243036765526901,54,0.231050871580241,57,0.599248051846012,54,0.564813999497699,57,0.618798270506828,54,0.58297693378307,57,0.620107544426262,54,0.582976619081855,57,0.639424027153646,54,0.601779739895583,57,0.56087796219356,54,0.527885193244104,57,0.583813970347695,54,0.549360565195936,57,0.0239445707081142,54,0.0238669579808048,57,0.0239198072021763,54,0.0238627743373679,57,0.0108465526391681,54,0.0107521389369839,57,0.0107811218350019,54,0.0107885615031544,57,0.00460455609097549,54,0.00443460101833508,57,0.00453176377798754,54,0.00444040085800266,57,0.0258375720766968,54,0.0256819033277242,57,0.0257626199890008,54,0.0256885883687202
,56,0.237859936373197,55,0.230499703136171,56,0.24073434402987,55,0.233314303679679,56,0.592361249502962,55,0.570983694968043,56,0.61207251436825,55,0.589667188740562,56,0.61289948592086,55,0.589423740046031,56,0.632293491646977,55,0.608804798115262,56,0.554615380858267,55,0.533508258584288,56,0.577639262161373,55,0.555224915818982,56,0.0239351532226652,55,0.0238723215861962,56,0.0239031236048332,55,0.0238834944492179,56,0.0108281518663777,55,0.0107414164157198,56,0.0107809718545105,55,0.0108009270115137,56,0.00458596261414482,55,0.00444775138996932,56,0.00452676921694524,55,0.00443867564846151,56,0.0258414101163556,55,0.0256907910718201,56,0.0257392936978834,55,0.0256951809384778
,55,0.235563726999192,56,0.232803195200745,55,0.238441618507009,56,0.23562949704786,55,0.585690965552101,56,0.577559372009713,55,0.605098854888309,56,0.596408387272473,55,0.605770960184544,56,0.59631625432281,55,0.624866310981637,56,0.615798193461803,55,0.548641566376771,56,0.539606654924392,55,0.571363177465576,56,0.561490545907518,55,0.0239283922037459,56,0.0238498050260282,55,0.0238805373789298,56,0.0238505907940776,55,0.0108298475276601,56,0.0107649098465767,55,0.0107988371489783,56,0.0107881754244166,55,0.00457228540773596,56,0.00445928807616158,55,0.00448609108650135,56,0.00441245762591696,55,0.0258221660962539,56,0.0256902763184538,55,0.0257619667729347,56,0.0256640257639693
,54,0.233329173197197,57,0.235026123923075,54,0.236168492896444,57,0.237819344536535,54,0.579261131566771,57,0.583961394913423,54,0.598415716644716,57,0.603227405244054,54,0.598965165579368,57,0.603078192693,54,0.617795123970664,57,0.62290856138125,54,0.542632706426948,57,0.545667847597187,54,0.565016205639235,57,0.567547820992507,54,0.0239508456531688,57,0.0238332637353665,54,0.0238534038550436,57,0.0238358319549605,54,0.010839835092236,57,0.0107417244303147,54,0.0107774759515363,57,0.0107870757080968,54,0.00460582791517851,57,0.00445427910536742,54,0.004464210395464,57,0.00441857937964951,54,0.0258148054539004,57,0.0257056698968323,54,0.0257056611914407,57,0.0256716151659268
,53,0.23119792430682,58,0.237330651434334,53,0.233920027396958,58,0.240156176516735,53,0.573045596314594,58,0.590733036079988,53,0.591694871003269,58,0.610022059230524,53,0.592461743156679,58,0.610195745050275,53,0.61072292680887,58,0.63028134950617,53,0.536701490270868,58,0.551792163780207,53,0.558799436449939,58,0.573884981833087,53,0.02395581293145,58,0.0238678645662817,53,0.0238584209422044,58,0.0238482665611309,53,0.0108389053055618,58,0.0107582359767504,53,0.0107808252166387,58,0.0107676567667641,53,0.00458651506007905,58,0.00446325155893612,53,0.00450446168355819,58,0.00442844931583276,53,0.0258251305795873,58,0.0257148099285824,53,0.0257264816577069,58,0.0256689692241186
,52,0.229064859666745,59,0.239615860708817,52,0.231652820270507,59,0.242634769641912,52,0.56672707261899,59,0.597618999230778,52,0.585242093286818,59,0.617171019147082,52,0.585889972962396,59,0.617489976836932,52,0.603915485297143,59,0.637964626148561,52,0.53102633625076,59,0.558075997958382,52,0.552582251476215,59,0.580362032738965,52,0.0239397767522111,59,0.023878137547155,52,0.0238805868024542,59,0.0238424887949265,52,0.0108165701305854,59,0.0107531522724965,52,0.0108034853336589,59,0.0107649965316753,52,0.00456979650044318,59,0.00448110677060199,52,0.00448741496584334,59,0.00444541980077947,52,0.0258535369227373,59,0.0257131421802051,52,0.0257536165731613,59,0.0256717511888285
,51,0.226811321372229,60,0.241955470439754,51,0.229448838992887,60,0.244873023114554,51,0.560455766689556,60,0.604650643016468,51,0.579004632472082,60,0.624110449297115,51,0.579335051590268,60,0.624863857780146,51,0.597403788503322,60,0.645284851246736,51,0.525131613694656,60,0.564512576735036,51,0.546884807780791,60,0.586494761672103,51,0.0239121230182168,60,0.0238484524543454,51,0.0238430895628417,60,0.0238212366641485,51,0.0108290385437596,60,0.0107359495017186,51,0.0108123207914039,60,0.0107649576459767,51,0.00457910716271905,60,0.00448992653056282,51,0.0044660575361049,60,0.00444998441619486,51,0.0257972045244694,60,0.0256894876354164,51,0.0257365105033165,60,0.0256559125858321
,50,0.22458307519525,61,0.244403040601995,50,0.227356814612969,61,0.247226046675256,50,0.554258945078534,61,0.611911859171682,50,0.572600405208004,61,0.631440579577387,50,0.572879642888044,61,0.632392017083417,50,0.590726695711815,61,0.652986274150299,50,0.519473423928586,61,0.570847353090581,50,0.541097085852734,61,0.592909217579483,50,0.0239342779223489,61,0.0237863028019443,50,0.023885348996623,61,0.0238409601550872,50,0.0108267473205441,61,0.0107155590500923,50,0.0108115195789855,61,0.0107544242066623,50,0.00457749648994877,61,0.00445262348331304,50,0.00448739772799016,61,0.00446606106851706,50,0.0258145513098961,61,0.0256880715703305,50,0.02575945854281,61,0.0256721110390024
,49,0.222501050443898,62,0.246779349206068,49,0.225104461073037,62,0.249658926823663,49,0.548208085441701,62,0.619467149012734,49,0.566352359567782,62,0.638814619394989,49,0.566653977789114,62,0.640103627125353,49,0.584273395424289,62,0.660748616837077,49,0.514160155778687,62,0.577328300369186,49,0.535471198220943,62,0.599753323037521,49,0.023946719068892,62,0.0238080676488194,49,0.0238678441562033,62,0.0238336951802603,49,0.01080774380219,62,0.0107251260683184,49,0.0107947496100118,62,0.0107413648868909,49,0.00458144598777752,62,0.00446736773124388,49,0.00446843868715361,62,0.00447280351824164,49,0.0257990035018938,62,0.0257110843534027,49,0.0257136265929013,62,0.0256874367810714
,48,0.22035092241845,63,0.249236812505688,48,0.223041310569879,63,0.252266244470923,48,0.542344477108662,63,0.626903047280342,48,0.560473077965288,63,0.646586496238451,48,0.560537786521633,63,0.647787552988102,48,0.578250328984561,63,0.668833279690498,48,0.509067638508812,63,0.583636598604068,48,0.530112362295366,63,0.606251071979148,48,0.0239320131200754,63,0.0237920018634275,48,0.023886170057581,63,0.0237964922696519,48,0.010854525675758,63,0.0106987470604803,48,0.0108079081129581,63,0.0107399918481891,48,0.00456443665779526,63,0.00443714854462107,48,0.00448305756821135,63,0.00446985936366523,48,0.0258207590764195,63,0.0257091185829167,48,0.0257314495578927,63,0.0256589188925531
,47,0.218310397536502,64,0.251745773591328,47,0.22096456153689,64,0.254760201200282,47,0.536612516519132,64,0.634489570843724,47,0.554210466935491,64,0.654422433677395,47,0.554682877955499,64,0.655634390131532,47,0.571877569132716,64,0.676851085382818,47,0.50390718029312,64,0.590050826787474,47,0.524622888981688,64,0.612851202974703,47,0.0239481463404478,64,0.0238004126960597,47,0.0238867196728301,64,0.0238275175180175,47,0.0108500397236741,64,0.0107102960176265,47,0.0108197368243214,64,0.0107441939761797,47,0.00456753040384156,64,0.00447152388795869,47,0.0045002202294793,64,0.00449044948993018,47,0.0258068018093437,64,0.0257178673997842,47,0.0257569458813118,64,0.0256693693119494
,46,0.216281625089168,65,0.254216741192938,46,0.218830980932289,65,0.257369543327769,46,0.530571499802925,65,0.64199893703671,46,0.548160326892434,65,0.662267010709757,46,0.54846773464888,65,0.663264602619885,46,0.565693119283782,65,0.684814767204715,46,0.498873085998713,65,0.596393234192971,46,0.519255547789888,65,0.619360705950207,46,0.0239745288706909,65,0.0238493278835321,46,0.0239093016803079,65,0.0238630973653292,46,0.010838751911161,65,0.0107205227258699,46,0.0108141625455847,65,0.010761123097302,46,0.0045890875701219,65,0.00451110813253172,46,0.00450266534984725,65,0.00450830764059693,46,0.0258402542976319,65,0.0257265581774235,46,0.0257312220395483,65,0.0256963517404768
,45,0.214332395024018,66,0.256885287000221,45,0.216784881704121,66,0.25998272015044,45,0.524898763907985,66,0.650274238497276,45,0.54215759334648,66,0.67028912646481,45,0.542641202187639,66,0.671471850930448,45,0.559573254801015,66,0.692851665662152,45,0.493855524332488,66,0.602914521124844,45,0.513929120487653,66,0.625806782219245,45,0.0239874686618979,66,0.0238630623528644,45,0.0239137977720294,66,0.0238708333196424,45,0.0108661848110482,66,0.0107220165122993,45,0.0108277967429314,66,0.0107592868094079,45,0.00459596613107995,66,0.00449567859847788,45,0.0045182404681441,66,0.00449819492037652,45,0.0258038726220594,66,0.0257348059003822,45,0.0257415667721794,66,0.0256961345104771
,44,0.212311843338732,67,0.259708303026503,44,0.214781686114028,67,0.262713975318025,44,0.519101851175325,67,0.658690502300199,44,0.536158353073027,67,0.678478143274164,44,0.536694787593761,67,0.679765232909678,44,0.553423142606288,67,0.70105282241227,44,0.48903415181284,67,0.609541621953983,44,0.508904102743067,67,0.632510331169443,44,0.0239858522109018,67,0.0238258778919504,44,0.0239267546086055,67,0.0238311687276055,44,0.0108400206746527,67,0.0107251365012149,44,0.0108226360039682,67,0.0107298416765512,44,0.00458035022169194,67,0.0044749111307202,44,0.00454265013022256,67,0.00446385733042292,44,0.025811581511615,67,0.0257071560769301,44,0.025748863095861,67,0.0256806460917127
,43,0.210388863829795,68,0.262390857582088,43,0.212814899673577,68,0.265516762127692,43,0.513422003880248,68,0.666240057877504,43,0.530426946677001,68,0.686860462470243,43,0.530859508652048,68,0.687363081382135,43,0.547499713953368,68,0.709385352251391,43,0.484113740598776,68,0.616167789490909,43,0.503786291356012,68,0.639414810591848,43,0.0239422296760425,68,0.0238007427645119,43,0.0239128883280278,68,0.023881314717736,43,0.0108432487760941,68,0.0107058640042816,43,0.0108238358141985,68,0.0107421091538083,43,0.00454282580196153,68,0.00445392367101619,43,0.00450791830361041,68,0.00448261315437794,43,0.0257733304808299,68,0.0256950440524196,43,0.0257292484666573,68,0.0257041326644529
,42,0.208503341042177,69,0.265125748851242,42,0.210920637083868,69,0.268358264342937,42,0.507723736991355,69,0.674314703836141,42,0.524527121276222,69,0.695119976327405,42,0.524936906691218,69,0.695648879540526,42,0.541433978087135,69,0.717507267584085,42,0.479407877777686,69,0.622757777306142,42,0.498744031046952,69,0.646097003875444,42,0.0239164544517452,69,0.0238783094653048,42,0.0239125469047215,69,0.0238848460731648,42,0.0108507467366569,69,0.0107191771731548,42,0.0108377158913824,69,0.0107477322132796,42,0.00451038749767778,69,0.00450163296459785,42,0.00449578690399918,69,0.00449142516584054,42,0.0258015027666787,69,0.0257358617732276,42,0.0257530436957052,69,0.0257182293852613
,41,0.206638448798129,70,0.267925705745123,41,0.209057325876156,70,0.27129829525539,41,0.502281991666018,70,0.682332333730992,41,0.518697188638499,70,0.703347489913436,41,0.51932044403824,70,0.70371931217531,41,0.535456586517806,70,0.725782530338334,41,0.474709611393546,70,0.62918561077726,41,0.493664103955225,70,0.652759039255737,41,0.0239290397800655,70,0.0238876708368249,41,0.0238562815631181,70,0.0238488681376647,41,0.010884921546964,70,0.0107352584023348,41,0.0108289724589823,70,0.0107301045869405,41,0.00454488072175948,70,0.00453179543041345,41,0.00446308755722999,70,0.00449514063495838,41,0.0258046712169725,70,0.0257169524304844,41,0.0256989157733902,70,0.0257087704644209
,40,0.204795352912417,71,0.270818764470716,40,0.207244099458386,71,0.27428547935798,40,0.496544725461132,71,0.690171801601121,40,0.513128618167576,71,0.711783367005318,40,0.513411524086868,71,0.711580730719383,40,0.529702813099154,71,0.73427106783996,40,0.469774465754798,71,0.635589931529701,40,0.488766794856938,71,0.659647584835486,40,0.0239399574084538,71,0.0238582093377747,40,0.0238699210330534,71,0.0238606185955037,40,0.010851293130639,71,0.0106990525685112,40,0.0108420238882095,71,0.0107279033164936,40,0.00452417131439198,71,0.00453137320026341,40,0.0044658042598121,71,0.00450139851623097,40,0.0257499508662693,71,0.0257168615787462,40,0.0257041108784833,71,0.0256936550618947
,39,0.203020666968022,72,0.273700675909772,39,0.20544367793765,72,0.277265939279547,39,0.491234660622842,72,0.697594834719922,39,0.50732979823431,72,0.719985612736335,39,0.507849701082606,72,0.719047072075768,39,0.52370488926827,72,0.742061155854734,39,0.465073625999525,72,0.642059609774101,39,0.483966740376638,72,0.666240797687923,39,0.0239281872898557,72,0.0238853838916664,39,0.0238582383923125,72,0.0238421390390067,39,0.0108567510126147,72,0.0107027673630515,39,0.0108501157897683,72,0.0107449164670151,39,0.00450225925135225,72,0.00452402163146047,39,0.0044655556658946,72,0.00448831548114322,39,0.0257678857547139,72,0.0257272327056128,39,0.0256984977678889,72,0.025683345937841
,38,0.201252107222005,73,0.276801692962386,38,0.203727767340402,73,0.280315161682792,38,0.485919824400105,73,0.706242300601344,38,0.501992086876999,73,0.728437493039395,38,0.50224127325286,73,0.727724375826388,38,0.518159909135149,73,0.750335825046943,38,0.460350313565306,73,0.648832839558714,38,0.479074646030968,73,0.673097833125705,38,0.0239140293231324,73,0.0238809223348878,38,0.0238882850468791,73,0.0238459181510219,38,0.0108908141183436,73,0.0107070283579967,38,0.0108411559667855,73,0.0107514271394667,38,0.00448954252651522,73,0.00453195004070399,38,0.00449852877586215,73,0.00450394749818223,38,0.0257698463332698,73,0.0257484313946415,38,0.0257212871146512,73,0.0257079926665126
,37,0.199469974555751,74,0.279839388436437,37,0.201993420500366,74,0.283315995831385,37,0.480549465640687,74,0.714296633847629,37,0.496462764255159,74,0.736987380926463,37,0.496664901931589,74,0.735858468009484,37,0.512320437323376,74,0.758662804483593,37,0.455680617260353,74,0.655582869107727,37,0.474178977015285,74,0.679943579274446,37,0.0238951541717986,74,0.0238913493389225,37,0.0238965631293406,74,0.0238802443496997,37,0.0108672918437796,74,0.0107287565363161,37,0.0108492365462831,74,0.0107288425935291,37,0.00449301115929876,74,0.00456553556437119,37,0.00447777853016013,74,0.00449710036121276,37,0.0257599931827912,74,0.0257605931831806,37,0.0257016693695984,74,0.0257067514416107
,36,0.197879529647661,75,0.282981404688122,36,0.20026486794403,75,0.286363951545906,36,0.475575598706701,75,0.722213612950562,36,0.491398421083366,75,0.745551968456683,36,0.491370827079183,75,0.74375478977084,36,0.50696938996653,75,0.76702184077392,36,0.451221913001121,75,0.662455763332526,36,0.46944467352017,75,0.687104766438276,36,0.0239120372958267,75,0.0239092101242412,36,0.0238698467507697,75,0.023878867699435,36,0.0108809739692098,75,0.0107115426051692,36,0.0108571661424077,75,0.0107169135632786,36,0.00448120790965453,75,0.00456513099992793,36,0.00445891801321831,75,0.00449447479164179,36,0.0257390653756868,75,0.0257491906627878,36,0.0256939041999807,75,0.0257302735798471
,35,0.19626897020015,76,0.285950609577404,35,0.198621317852806,76,0.289404607552476,35,0.470462803350351,76,0.730270429212337,35,0.486048681069794,76,0.753888977507158,35,0.4859842349958,76,0.75172308803492,35,0.501290285709988,76,0.775216862339832,35,0.446825775703442,76,0.669212962589567,35,0.464627584071334,76,0.694315599444104,35,0.0239099266463156,76,0.0239051534417718,35,0.0238936282953356,76,0.0238649800864299,35,0.0108661419842432,76,0.0106974089419746,35,0.0108800478529047,76,0.0107296367572818,35,0.00451402760560778,76,0.00456717947068613,35,0.00446555706118904,76,0.0045077079678425,35,0.0257946714299978,76,0.0257599198786053,35,0.0257193186766823,76,0.0257331427525219
,34,0.194680388014139,77,0.289052533930062,34,0.19702012008898,77,0.29258663532418,34,0.465606939347813,77,0.738133812053826,34,0.481008604252793,77,0.762399477320405,34,0.480849857443999,77,0.759673741871006,34,0.496017403768656,77,0.78376029536119,34,0.442367045815177,77,0.676147094844214,34,0.459995673260947,77,0.70157457107308,34,0.023897918966967,77,0.0238956908023497,34,0.0238909389566076,77,0.02386803232349,34,0.0108636497557589,77,0.0107083635377769,34,0.0108760123733555,77,0.0107221332351396,34,0.00449782478866313,77,0.00455915695394687,34,0.00449957515366943,77,0.00452456256471167,34,0.0257721963043372,77,0.0257473045259671,34,0.0257375001391095,77,0.0257353135205393
,33,0.193126903449371,78,0.29199442431979,33,0.1954489661612,78,0.295708373099759,33,0.460858243501192,78,0.746094873315951,33,0.476213653751,78,0.770778775733357,33,0.475751195988899,78,0.767454260482957,33,0.490858366284134,78,0.792329867854625,33,0.437758086758199,78,0.682920700681542,33,0.455460039426664,78,0.708705379027712,33,0.0239067054856031,78,0.0238749866932227,33,0.0238683790540225,78,0.0238834989683392,33,0.0108807855735025,78,0.0107038212694843,33,0.0108760877522998,78,0.010716485667149,33,0.00451643999470638,78,0.00455153386842346,33,0.00446205907755129,78,0.0045211394034293,33,0.0258145991905719,78,0.0257564112594193,33,0.0257173784385026,78,0.0257184873997096
,32,0.19166294261457,79,0.295140133701872,32,0.193919054966604,79,0.298817244800674,32,0.456376087822461,79,0.7548297675653,32,0.471374695597163,79,0.77936281206927,32,0.470976368734236,79,0.776001803767318,32,0.485743193299187,79,0.801181063386142,32,0.43353362056673,79,0.690234921920472,32,0.451080819369403,79,0.715969207907672,32,0.023923599025058,79,0.0239066312910084,32,0.02382291546101,79,0.0238995724820058,32,0.0108893866812566,79,0.01070778344435,32,0.0108784714531636,79,0.0107379378192303,32,0.0045272844042057,79,0.00457698227126153,32,0.00442253938778374,79,0.0045307277753013,32,0.0257313674126207,79,0.0257706650663897,32,0.0256954503889198,79,0.0257083089259531
,31,0.190233742733287,80,0.298107803995259,31,0.192452562683566,80,0.301935997372596,31,0.451885947862719,80,0.76323388403805,31,0.466830128124585,80,0.788041047464365,31,0.466218151924387,80,0.784415435502691,31,0.480949655822088,80,0.809960949372909,31,0.429397754927375,80,0.697433715948306,31,0.446647770510232,80,0.723535514880046,31,0.0239080688466632,80,0.023881782189042,31,0.0238545143127732,80,0.0239003273520808,31,0.0108924690997126,80,0.0107170439308129,31,0.0108800469962889,80,0.0107202843968252,31,0.0045124554979217,80,0.00455687789403763,31,0.00443571766762814,80,0.0045684490008018,31,0.0257362100126094,80,0.0257443941412321,31,0.0257333811631722,80,0.0257433580710011
,30,0.188736916081381,81,0.301065023100381,30,0.190990356794343,81,0.30506510970667,30,0.447522810071494,81,0.771340732674455,30,0.46219509904711,81,0.796941492294468,30,0.461538975810769,81,0.792594356664925,30,0.476002532113427,81,0.818403781040658,30,0.425233848059586,81,0.704405935726768,30,0.442269866120038,81,0.730957803754623,30,0.0238479734426736,81,0.023881212944228,30,0.0238526862946529,81,0.0239090506071563,30,0.0108874892130926,81,0.01070862306193,30,0.01088703141973,81,0.0107104339864618,30,0.00446623558945438,81,0.00453013633015533,30,0.00446659973252628,81,0.00457209304648058,30,0.0256934061158853,81,0.0257384539947269,30,0.0257397469662425,81,0.0257386791695118
,29,0.187236336009279,82,0.304037659460124,29,0.18960340283562,82,0.308235696945524,29,0.443027125460123,82,0.779322315590039,29,0.457847051311721,82,0.805783187048892,29,0.456766909241761,82,0.800500948562344,29,0.471448157887507,82,0.827111664100751,29,0.421064686429017,82,0.711419415845215,29,0.438165079273004,82,0.738476868310837,29,0.0238935458762687,82,0.0239477151674557,29,0.0238851391225573,82,0.0238771035849058,29,0.0108770277458132,82,0.0106986963091208,29,0.0108874918379691,82,0.010719283012982,29,0.00448902615044096,82,0.00454984301761847,29,0.00447641918116601,82,0.00453438148739344,29,0.025729388375985,82,0.0257731151998929,29,0.0257420261269666,82,0.0257157639072615
