CSV Report,2023-09-21_RNA_melting_NaCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,516 mM NaCl_260.00nm_90.0-21.0C,,516 mM NaCl_260.00nm_21.0-90.0C,,516 mM NaCl_260.00nm_90.0-21.0C_R1,,516 mM NaCl_260.00nm_21.0-90.0C_R1,,116 mM NaCl_260.00nm_90.0-21.0C,,116 mM NaCl_260.00nm_21.0-90.0C,,116 mM NaCl_260.00nm_90.0-21.0C_R1,,116 mM NaCl_260.00nm_21.0-90.0C_R1,,66 mM NaCl_260.00nm_90.0-21.0C,,66 mM NaCl_260.00nm_21.0-90.0C,,66 mM NaCl_260.00nm_90.0-21.0C_R1,,66 mM NaCl_260.00nm_21.0-90.0C_R1,,41 mM NaCl_260.00nm_90.0-21.0C,,41 mM NaCl_260.00nm_21.0-90.0C,,41 mM NaCl_260.00nm_90.0-21.0C_R1,,41 mM NaCl_260.00nm_21.0-90.0C_R1,,516 mM NaCl_400.00nm_90.0-21.0C,,516 mM NaCl_400.00nm_21.0-90.0C,,516 mM NaCl_400.00nm_90.0-21.0C_R1,,516 mM NaCl_400.00nm_21.0-90.0C_R1,,116 mM NaCl_400.00nm_90.0-21.0C,,116 mM NaCl_400.00nm_21.0-90.0C,,116 mM NaCl_400.00nm_90.0-21.0C_R1,,116 mM NaCl_400.00nm_21.0-90.0C_R1,,66 mM NaCl_400.00nm_90.0-21.0C,,66 mM NaCl_400.00nm_21.0-90.0C,,66 mM NaCl_400.00nm_90.0-21.0C_R1,,66 mM NaCl_400.00nm_21.0-90.0C_R1,,41 mM NaCl_400.00nm_90.0-21.0C,,41 mM NaCl_400.00nm_21.0-90.0C,,41 mM NaCl_400.00nm_90.0-21.0C_R1,,41 mM NaCl_400.00nm_21.0-90.0C_R1,
,86,0.316997519011142,25,0.178907242003258,86,0.32253037349274,25,0.181069822999304,86,0.812619365520923,25,0.417900203397018,86,0.84096745282176,25,0.431948721759282,86,0.833804162559285,25,0.429970680572251,86,0.864732450561362,25,0.443918783091579,86,0.731048538797071,25,0.397866279694838,86,0.767890593798478,25,0.413811311662042,86,0.0239233330631982,25,0.0238550996518252,86,0.0239395414913716,25,0.0238652309064062,86,0.0107986704306931,25,0.0108644912385131,86,0.0106908739986094,25,0.0108416762068479,86,0.00482532010401093,25,0.00445893792210962,86,0.00466333626485856,25,0.00443460631437019,86,0.0259457275562101,25,0.0257421429787858,86,0.025813173066566,25,0.0257513927874752
,85,0.314903651585131,26,0.180129585447673,85,0.319584898826338,26,0.182303090921026,85,0.805528464568805,26,0.421734566954554,85,0.832946908546189,26,0.435650291202721,85,0.827227558283594,26,0.433776004914272,85,0.856521539184808,26,0.447658249785996,85,0.727205183347613,26,0.401178085173486,85,0.760851624729289,26,0.417191997171041,85,0.02394221729036,26,0.0238746194080074,85,0.0239267000228656,26,0.0238286899960843,85,0.0107852946651475,26,0.0108502717803525,85,0.0107029983090217,26,0.010850107072718,85,0.0048180561429352,26,0.0044560984676497,85,0.00468293546396885,26,0.00439712272411777,85,0.0259093160576422,26,0.0257370057334185,85,0.0257839069839016,26,0.0257163788727638
,84,0.312377531893293,27,0.181238998675018,84,0.31684597661548,27,0.183476545427087,84,0.798114251447129,27,0.425223514808943,84,0.825306788044605,27,0.439139019634409,84,0.819425063641805,27,0.437394819206121,84,0.848647168612704,27,0.451291799741189,84,0.72124307550235,27,0.404348151895513,84,0.756301774010799,27,0.420450264646803,84,0.023952026624461,27,0.0238494339665552,84,0.0239568669005884,27,0.0238302249194724,84,0.0107856576501768,27,0.0108422908665866,84,0.0106995375549125,27,0.0108509928216959,84,0.00479484483134925,27,0.00446161883399577,84,0.00470468228640351,27,0.00441827986220449,84,0.0258809838484954,27,0.0257384700612109,84,0.0258074642884415,27,0.0257248541373964
,83,0.309481356580473,28,0.182447868423369,83,0.31409935933975,28,0.184710222434795,83,0.790553758456665,28,0.428689568371179,83,0.817877513842089,28,0.442897364661825,83,0.812207170870705,28,0.44102183428313,83,0.841166689175188,28,0.455298475363392,83,0.715330407431883,28,0.407631853878918,83,0.750511089021794,28,0.424045495925723,83,0.0239682291768877,28,0.0238717226351473,83,0.0239908467815489,28,0.0238180765853234,83,0.0107873003663634,28,0.0108599136533324,83,0.0107043261613287,28,0.0108487354009652,83,0.00478426083761189,28,0.00445377518499654,83,0.00468579196367687,28,0.00439091699626223,83,0.0258957539450459,28,0.0257530235584137,83,0.0258366115343636,28,0.0257202950384027
,82,0.306575431169948,29,0.183695126356459,82,0.311127258199755,29,0.185969880126812,82,0.783023116888376,29,0.432631377704386,82,0.809936025144129,29,0.446980886658626,82,0.804604964481206,29,0.44523842601401,82,0.833224856210703,29,0.459593487873986,82,0.709738364197985,29,0.411282112104974,82,0.743328191357682,29,0.427737914507408,82,0.0239541919308117,29,0.0238529286790404,82,0.0239678959435741,29,0.0237998900945829,82,0.0107874985408579,29,0.0108546514049776,82,0.0107014852244571,29,0.0108385281060724,82,0.00477905000250016,29,0.0044364482381083,82,0.00464683445018206,29,0.0043530497778503,82,0.0258926531502248,29,0.0257459269407079,82,0.0258284647584848,29,0.0256939071903965
,81,0.303749240143994,30,0.185061983850481,81,0.308096509540537,30,0.187298610996974,81,0.775223366121234,30,0.436731977981438,81,0.802089368761374,30,0.451221450292829,81,0.79686987489662,30,0.449505354890027,81,0.825287985727521,30,0.463988642569732,81,0.704520026815053,30,0.414996165677591,81,0.736339835441654,30,0.431552864818173,81,0.0239762850818513,30,0.0238501143556378,81,0.0239565853651771,30,0.023783116871082,81,0.0107771488404101,30,0.010858444975109,81,0.0107028468489288,30,0.0108339513804655,81,0.00478727825994112,30,0.00445196598732305,81,0.00465345756532926,30,0.00435246542521889,81,0.0259535130301946,30,0.0257439500911388,81,0.0258228950510582,30,0.0256834840498105
,80,0.300991885008863,31,0.186387382998463,80,0.305268658907659,31,0.188712465500587,80,0.767782974587882,31,0.440872789208407,80,0.794321594762959,31,0.455342831728943,80,0.789451851755536,31,0.453830450956265,80,0.817306766938241,31,0.468387852796424,80,0.699246158110461,31,0.41877773245132,80,0.729256333850979,31,0.435485933728134,80,0.0239796403911787,31,0.0238343525565353,80,0.0239567741306728,31,0.0237921596284026,80,0.0107684273389341,31,0.0108547714811057,80,0.010715881270982,31,0.0108400355667768,80,0.00477847534677442,31,0.00445085279475173,80,0.00464127348479696,31,0.00437450659768919,80,0.0258875908136009,31,0.025718914068473,80,0.0257891084607277,31,0.0257072032384088
,79,0.298332116864828,32,0.187785003738784,79,0.302381177168685,32,0.190099119582588,79,0.760487099572309,32,0.445112768497829,79,0.786861185956831,32,0.459730445528448,79,0.782244888265614,32,0.458411453343327,79,0.809649733742668,32,0.473081508862273,79,0.693039656578159,32,0.422733700629778,79,0.722773456521423,32,0.439440986081133,79,0.0239798537692707,32,0.0237987916024355,79,0.0239187310001104,32,0.0238101512217995,79,0.0107632300583832,32,0.0108516505751983,79,0.0107214926369319,32,0.0108345189879764,79,0.00480290746648904,32,0.00441153222360698,79,0.00460684817655783,32,0.0043938968339989,79,0.0259152042023183,32,0.0256933648868634,79,0.0257563843680028,32,0.0257034101795067
,78,0.295474246871544,33,0.189253569227091,78,0.299484358077771,33,0.191527238275069,78,0.753022610270595,33,0.44959236707929,78,0.778771391330272,33,0.464157965583929,78,0.774713223737721,33,0.463088449673346,78,0.801413480402236,33,0.477703073000827,78,0.687148807626775,33,0.426827080334052,78,0.716195480018387,33,0.443618499318103,78,0.0240318412829529,33,0.0238459807846037,78,0.023914212380852,33,0.0238119530014048,78,0.0107850877361943,33,0.0108436617821837,78,0.0107249313266643,33,0.0108283360355069,78,0.00480810783711409,33,0.00443868073561553,78,0.00461129712055995,33,0.00436933942168484,78,0.0259367929392576,33,0.0257202337365734,78,0.0257687072853311,33,0.0256852959382436
,77,0.29263246448074,34,0.190675603119958,77,0.296428993493722,34,0.193039480763615,77,0.745747353924458,34,0.453972916727494,77,0.770817658763069,34,0.468840025716562,77,0.767478716097275,34,0.467714600406898,77,0.79335765469257,34,0.482615496907195,77,0.681316400646122,34,0.430922756231705,77,0.709601217438259,34,0.447825442301015,77,0.0240218149068748,34,0.0238521283942972,77,0.0239341435476664,34,0.0238422782982667,77,0.010792863946042,34,0.0108263736495902,77,0.0107147857269713,34,0.0108225518541144,77,0.00478905683604077,34,0.00443325699136563,77,0.00460752946320437,34,0.00438205286767045,77,0.0259649552173062,34,0.0257144898333545,77,0.0257576806454826,34,0.0256958623444442
