CSV Report,2024-01-22_RNA_melting_HEPES_KCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,4.15 mM KCl_260.00nm_90.0-21.0C,,4.15 mM KCl_260.00nm_21.0-90.0C,,4.15 mM KCl_260.00nm_90.0-21.0C_R1,,4.15 mM KCl_260.00nm_21.0-90.0C_R1,,1.66 mM KCl_260.00nm_90.0-21.0C,,1.66 mM KCl_260.00nm_21.0-90.0C,,1.66 mM KCl_260.00nm_90.0-21.0C_R1,,1.66 mM KCl_260.00nm_21.0-90.0C_R1,,0.8 mM KCl_260.00nm_90.0-21.0C,,0.8 mM KCl_260.00nm_21.0-90.0C,,0.8 mM KCl_260.00nm_90.0-21.0C_R1,,0.8 mM KCl_260.00nm_21.0-90.0C_R1,,0.08 mM KCl_260.00nm_90.0-21.0C,,0.08 mM KCl_260.00nm_21.0-90.0C,,0.08 mM KCl_260.00nm_90.0-21.0C_R1,,0.08 mM KCl_260.00nm_21.0-90.0C_R1,,4.15 mM KCl_400.00nm_90.0-21.0C,,4.15 mM KCl_400.00nm_21.0-90.0C,,4.15 mM KCl_400.00nm_90.0-21.0C_R1,,4.15 mM KCl_400.00nm_21.0-90.0C_R1,,1.66 mM KCl_400.00nm_90.0-21.0C,,1.66 mM KCl_400.00nm_21.0-90.0C,,1.66 mM KCl_400.00nm_90.0-21.0C_R1,,1.66 mM KCl_400.00nm_21.0-90.0C_R1,,0.8 mM KCl_400.00nm_90.0-21.0C,,0.8 mM KCl_400.00nm_21.0-90.0C,,0.8 mM KCl_400.00nm_90.0-21.0C_R1,,0.8 mM KCl_400.00nm_21.0-90.0C_R1,,0.08 mM KCl_400.00nm_90.0-21.0C,,0.08 mM KCl_400.00nm_21.0-90.0C,,0.08 mM KCl_400.00nm_90.0-21.0C_R1,,0.08 mM KCl_400.00nm_21.0-90.0C_R1,
,86,0.583602429063162,25,0.381649408166343,86,0.610063249633198,25,0.393625824691642,86,0.397286238897595,25,0.331793796905306,86,0.413295381166056,25,0.346168986308724,86,0.387620303071768,25,0.355293004486193,86,0.400937073280112,25,0.367680764886665,86,0.356012389802866,25,0.308949592602629,86,0.370053265156571,25,0.319710024213103,86,0.0295257315701503,25,0.0294436563374212,86,0.0293773604241325,25,0.0292904690965954,86,0.0112271808845784,25,0.011861638082135,86,0.0121910049756882,25,0.0120001226261716,86,0.0216810567870806,25,0.0218989039028968,86,0.0216987525699456,25,0.0217976845128688,86,0.0283149325710903,25,0.0282881921842129,86,0.0282538977742851,25,0.0281845008069976
,85,0.58206253539206,26,0.384068614831125,85,0.606130832233887,26,0.396404279251957,85,0.397077202241945,26,0.333185466233859,85,0.412516890337301,26,0.347337363660365,85,0.388419383323593,26,0.356000924647644,85,0.40115915631954,26,0.36848976570698,85,0.355986675202018,26,0.310031087334238,85,0.370159424445806,26,0.320570108908063,85,0.0295526537582906,26,0.0294144324428088,85,0.0293801808722132,26,0.0293020668711175,85,0.0112326264136737,26,0.0119201530378747,85,0.0122046083766946,26,0.0120349194589861,85,0.0217219490270728,26,0.0218890845634458,85,0.0217128199187715,26,0.0218099041102244,85,0.0283150670743948,26,0.0282821773045559,85,0.0282603753550177,26,0.0282078979330943
,84,0.581359143391294,27,0.386774999151496,84,0.602417106802008,27,0.399004685593227,84,0.396488869409396,27,0.334724902872293,84,0.411903021689862,27,0.349065508583597,84,0.38889478910485,27,0.356917100866184,84,0.401414960124215,27,0.369413328508196,84,0.355868265717676,27,0.311221528016501,84,0.370284278602016,27,0.321553016561729,84,0.0295553320379382,27,0.0294398554410672,84,0.0293914360580102,27,0.0293056389748271,84,0.0112228551400089,27,0.0119558314946336,84,0.0121858753083418,27,0.0120624581258054,84,0.0217501315380097,27,0.0218898965418604,84,0.021684893449864,27,0.0218294879502306,84,0.0282977073309055,27,0.0282819201598087,84,0.0282529849525526,27,0.0282131257834114
,83,0.578919874977036,28,0.389491578675312,83,0.598909457406557,28,0.401610998711802,83,0.395928343420511,28,0.336286316392709,83,0.411275794189917,28,0.350966417680391,83,0.388824583204793,28,0.357839437877619,83,0.401647107123218,28,0.37044477133938,83,0.355930339130837,28,0.312383454824201,83,0.370361967435294,28,0.322585292007311,83,0.0295423493069298,28,0.0294426563787591,83,0.0293988430944388,28,0.0293234454804154,83,0.0112174151789271,28,0.0119768910884519,83,0.0121694411815914,28,0.0120844883665188,83,0.0217382838802928,28,0.0218949891550549,83,0.0216880392753465,28,0.0218250540848816,83,0.0282979631109987,28,0.0282927483753136,83,0.0282468730331453,28,0.0282106488819075
,82,0.575850333786726,29,0.392264666264576,82,0.595490389923507,29,0.404325027456312,82,0.395363960626998,29,0.33793910170928,82,0.410662338177072,29,0.352478295356959,82,0.388532658893077,29,0.358706674113288,82,0.401764292530944,29,0.371317798743625,82,0.3559499879142,29,0.313370121831704,82,0.370350777339672,29,0.323303742402178,82,0.0295754890413674,29,0.0294421975972676,82,0.0294001846866859,29,0.0292979034255741,82,0.0112186529334021,29,0.0120056295313426,82,0.012184983045125,29,0.0120964313979607,82,0.0217454153431767,29,0.0218785924828434,82,0.021701523300885,29,0.0218017234226351,82,0.0283146104147573,29,0.0282958277683127,82,0.0282494955240272,29,0.0281981584180911
,81,0.57250494798542,30,0.395168796492227,81,0.591977706663181,30,0.407047720163244,81,0.394862066961557,30,0.339457930583876,81,0.410069066163943,30,0.353973350905386,81,0.388428374678024,30,0.359555244245619,81,0.40177411734127,30,0.372133944523788,81,0.355902848390136,30,0.314338103069181,81,0.370298031818346,30,0.323947569307552,81,0.0296126846683317,30,0.0294697584887125,81,0.0293976479695161,30,0.0292658506008291,81,0.0112217955133913,30,0.0120245600904908,81,0.0121920998769321,30,0.0121008336054722,81,0.0217363976222565,30,0.021908181261655,81,0.0216870206059078,30,0.0217832304159784,81,0.0283218861592288,30,0.0283089683540855,81,0.0282504048082902,30,0.0281854171066187
,80,0.569144532092227,31,0.397947816650253,80,0.588463410797475,31,0.409870903311416,80,0.394379725802185,31,0.340818597740463,80,0.40942430203154,31,0.355471281316912,80,0.388459343262399,31,0.360478423071351,80,0.401713623075229,31,0.373111837993752,80,0.356088770693126,31,0.315510547827123,80,0.370243531888567,31,0.324965739937643,80,0.0295630371587912,31,0.0294627980795821,80,0.0293876530528187,31,0.0292812305266258,80,0.0112294056782055,31,0.0120428729192116,80,0.0121749029158556,31,0.0121122356138751,80,0.0217198148238013,31,0.0219018869684278,80,0.0216817310332501,31,0.0217854298134524,80,0.0283239864067625,31,0.0283156685853578,80,0.0282419395297103,31,0.0281998515015143
,79,0.565741063851727,32,0.400871763306838,79,0.585408261888895,32,0.412585987152939,79,0.393825908133327,32,0.342264759658341,79,0.408816121257152,32,0.357158507056447,79,0.388420814188202,32,0.361530221456818,79,0.401664200918291,32,0.374201850225198,79,0.356301507452868,32,0.316775720999998,79,0.370174662236919,32,0.326004637929433,79,0.029578668799396,32,0.0294607388099177,79,0.0293870536806471,32,0.0292967284587836,79,0.0112580983278583,32,0.0120582549743681,79,0.0121764603020325,32,0.0121213776792322,79,0.0217246492487498,32,0.0218866220076214,79,0.0216750367663429,32,0.0217922030854545,79,0.028305362053825,32,0.0283153409356477,79,0.028252112332774,32,0.0282163487302681
,78,0.562292087709034,33,0.403830803402215,78,0.582354220525269,33,0.415492797055962,78,0.393215597758139,33,0.343659826752348,78,0.408177654464943,33,0.358424104686172,78,0.388384751342214,33,0.362611435627597,78,0.401596768451273,33,0.375267648889269,78,0.356468024412576,33,0.317950466224997,78,0.370138865188071,33,0.326934615461442,78,0.02955510390604,33,0.0294606392628338,78,0.0294101992989897,33,0.0292725156659069,78,0.0112797083207411,33,0.0120440088740227,78,0.0121866113704252,33,0.0121153687497746,78,0.0217181219157862,33,0.0218786568378951,78,0.0216977767505667,33,0.0217651695965833,78,0.0283055606370398,33,0.028310799769023,78,0.0282750335705585,33,0.0282018100891988
,77,0.559156396801756,34,0.406720187414999,77,0.578673627378171,34,0.418327600162305,77,0.392548045899208,34,0.345096943591462,77,0.407652069327405,34,0.359777702299562,77,0.388351771307037,34,0.363829859026246,77,0.401737874136362,34,0.376490430446673,77,0.356673656045926,34,0.319226748025645,77,0.370007401226542,34,0.328019910986147,77,0.0295765781105259,34,0.0294182511654834,77,0.0293833104805351,34,0.0292721541296425,77,0.0112641822549489,34,0.0120477689867798,77,0.0121781362895083,34,0.0121186940205619,77,0.0217347570113494,34,0.0218513208073798,77,0.0216714336870066,34,0.02174666481511,77,0.0283207944449067,34,0.0282810367547724,77,0.0282683925460805,34,0.0281941633616533
