CSV Report,2024-01-22_RNA_melting_HEPES_KCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,4.15 mM KCl_260.00nm_90.0-21.0C,,4.15 mM KCl_260.00nm_21.0-90.0C,,4.15 mM KCl_260.00nm_90.0-21.0C_R1,,4.15 mM KCl_260.00nm_21.0-90.0C_R1,,1.66 mM KCl_260.00nm_90.0-21.0C,,1.66 mM KCl_260.00nm_21.0-90.0C,,1.66 mM KCl_260.00nm_90.0-21.0C_R1,,1.66 mM KCl_260.00nm_21.0-90.0C_R1,,0.8 mM KCl_260.00nm_90.0-21.0C,,0.8 mM KCl_260.00nm_21.0-90.0C,,0.8 mM KCl_260.00nm_90.0-21.0C_R1,,0.8 mM KCl_260.00nm_21.0-90.0C_R1,,0.08 mM KCl_260.00nm_90.0-21.0C,,0.08 mM KCl_260.00nm_21.0-90.0C,,0.08 mM KCl_260.00nm_90.0-21.0C_R1,,0.08 mM KCl_260.00nm_21.0-90.0C_R1,,4.15 mM KCl_400.00nm_90.0-21.0C,,4.15 mM KCl_400.00nm_21.0-90.0C,,4.15 mM KCl_400.00nm_90.0-21.0C_R1,,4.15 mM KCl_400.00nm_21.0-90.0C_R1,,1.66 mM KCl_400.00nm_90.0-21.0C,,1.66 mM KCl_400.00nm_21.0-90.0C,,1.66 mM KCl_400.00nm_90.0-21.0C_R1,,1.66 mM KCl_400.00nm_21.0-90.0C_R1,,0.8 mM KCl_400.00nm_90.0-21.0C,,0.8 mM KCl_400.00nm_21.0-90.0C,,0.8 mM KCl_400.00nm_90.0-21.0C_R1,,0.8 mM KCl_400.00nm_21.0-90.0C_R1,,0.08 mM KCl_400.00nm_90.0-21.0C,,0.08 mM KCl_400.00nm_21.0-90.0C,,0.08 mM KCl_400.00nm_90.0-21.0C_R1,,0.08 mM KCl_400.00nm_21.0-90.0C_R1,
,76,0.556134810538187,35,0.409662377547522,76,0.575205739451554,35,0.421079381745104,76,0.391916172848414,35,0.346556071865895,76,0.407023376029573,35,0.361178801063784,76,0.38822054375421,35,0.36507672091961,76,0.401624031437687,35,0.377737637124055,76,0.356789921103685,35,0.320593712776637,76,0.369845236114884,35,0.329157226776889,76,0.0295438939628292,35,0.0293983364716063,76,0.0293562114199767,35,0.0292932081984779,76,0.011260330277781,35,0.0120728790545096,76,0.0121812058662638,35,0.0121339377572699,76,0.021677981689547,35,0.0218462546302326,76,0.0216310858727575,35,0.0217729720958859,76,0.0283028627635283,35,0.0282763991531629,76,0.0282304447867733,35,0.0282218394139284
,75,0.552945915329347,36,0.412822519046171,75,0.571662391977859,36,0.423860503830526,75,0.391291982272535,36,0.347951541180416,75,0.406247224304519,36,0.362460151408324,75,0.388126888449318,36,0.366335825531949,75,0.401249969597383,36,0.379002784531237,75,0.356841853466643,36,0.321811899174081,75,0.36968447986655,36,0.330306314841065,75,0.0295189885199213,36,0.029390132501989,75,0.0293828360189871,36,0.0292926765712101,75,0.0112426112121227,36,0.0120505321976489,75,0.0121971375152957,36,0.0121502875910687,75,0.0216562923092246,36,0.0218275980012137,75,0.0216629917626394,36,0.02177246259153,75,0.0282909715652503,36,0.0282712183587406,75,0.0282530680543651,36,0.0282190109402053
,74,0.549946152816313,37,0.415774142940179,74,0.568305571334213,37,0.426696021898121,74,0.390576139865167,37,0.349341825516713,74,0.405503702927963,37,0.363891974538138,74,0.388028706948357,37,0.367585344017957,74,0.401024442530851,37,0.38030147816552,74,0.356774019450407,37,0.32317619822972,74,0.369480522640134,37,0.331476542491398,74,0.0295377554088219,37,0.0294074358931073,74,0.0293912061311245,37,0.0292536207739678,74,0.011249828046647,37,0.0120527463768316,74,0.0121893733996365,37,0.0121320866295304,74,0.0216825350629789,37,0.0218315538458186,74,0.0216792532689816,37,0.0217141303353412,74,0.0282994520531666,37,0.0282849028883735,74,0.0282580091954371,37,0.0282001263383967
,73,0.546832239017453,38,0.418769959804113,73,0.564921719511205,38,0.429325380163845,73,0.389850423088135,38,0.350796905768354,73,0.404725615073713,38,0.365248790713883,73,0.387826869653303,38,0.36879418860196,73,0.400879462291052,38,0.381544910823898,73,0.356612754563263,38,0.324492256155833,73,0.369236595065326,38,0.332641593597305,73,0.0295498619444714,38,0.0294292103061887,73,0.0293437092877102,38,0.0292619999596558,73,0.0112713190985303,38,0.0120805678879034,73,0.0121630512178804,38,0.0121435613466028,73,0.021682126640675,38,0.0218489120692192,73,0.0216524500923985,38,0.0217229687170659,73,0.028299446672798,38,0.0282967464963097,73,0.0282353688879634,38,0.0281926884708505
,72,0.543806725296087,39,0.421918652730825,72,0.561269317579798,39,0.432102470892585,72,0.389042682870753,39,0.352266303550065,72,0.403832863922553,39,0.366698450520811,72,0.387597042780334,39,0.369980200983324,72,0.400762530151307,39,0.382815539370605,72,0.356320784457263,39,0.325751356544469,72,0.368991309038383,39,0.333870592969968,72,0.0295254849910854,39,0.0294405075993838,72,0.0293561253072122,39,0.0292437728286038,72,0.0112772338457799,39,0.0120628057597587,72,0.012186807224292,39,0.0121346630923115,72,0.0216808266315403,39,0.0218636309462794,72,0.0216640755053879,39,0.0217034346966908,72,0.0283019171231536,39,0.028299179676759,72,0.0282267689193663,39,0.0281877353794887
,71,0.54017598968386,40,0.425094832402908,71,0.557679592115365,40,0.434754216082622,71,0.38830303145581,40,0.353790753661742,71,0.403000496814993,40,0.368197592062973,71,0.387397996510794,40,0.371144016457379,71,0.400576007250457,40,0.383970001416807,71,0.356107349311836,40,0.327024033871832,71,0.368747736808319,40,0.335076155843424,71,0.0295440880187764,40,0.029431176006601,71,0.0293944696377184,40,0.0292405631510371,71,0.0112872547622051,40,0.0120671688560272,71,0.012193522206281,40,0.0121401052847592,71,0.021685490385667,40,0.0218631331477614,71,0.0216917532483303,40,0.0217180343600374,71,0.0282963096783308,40,0.0283133342884588,71,0.0282596666858608,40,0.0281916348011259
,70,0.536908936460584,41,0.428326101312193,70,0.554262325311088,41,0.437175267243981,70,0.387559119537476,41,0.35532085983498,70,0.40216122202372,41,0.369749749444815,70,0.387170507203286,41,0.372177973430544,70,0.400415626355251,41,0.385047149800975,70,0.355998355955692,41,0.328319893080222,70,0.368482118822937,41,0.336371137789631,70,0.0295013225399663,41,0.029436429732646,70,0.0293405710568385,41,0.0292437226878575,70,0.011299978524293,41,0.012076865642774,70,0.0121609804324152,41,0.0121600584278236,70,0.0216873744506867,41,0.021843011203475,70,0.0216416194217663,41,0.021709890669587,70,0.0282902957449657,41,0.0283126318586888,70,0.0282440138676991,41,0.028197740991197
,69,0.533589406215773,42,0.431596174199585,69,0.550792669096054,42,0.43972952963756,69,0.386769210638032,42,0.35694409266182,69,0.401381344343627,42,0.371353083838297,69,0.386915784194872,42,0.373167374076741,69,0.40020192622497,42,0.386143021288466,69,0.355754614931203,42,0.329544770313701,69,0.36819647224311,42,0.337610314669989,69,0.0295007054794692,42,0.0294446562683767,69,0.0293490563835156,42,0.0292763381179097,69,0.0112974461139003,42,0.0120683084348113,69,0.0121630845665263,42,0.0121481613493054,69,0.021689841268655,42,0.0218416869402878,69,0.0216373244626472,42,0.0217232254622098,69,0.0282831671060752,42,0.0282965895104672,69,0.0282168589385493,42,0.0282007055922697
,68,0.530395122506017,43,0.435050432177649,68,0.547209418704849,43,0.442164519844105,68,0.385948421903884,43,0.358573119464797,68,0.400559407636428,43,0.37299787577757,68,0.386679854222896,43,0.374090491985268,68,0.399930025499179,43,0.387109150862644,68,0.355443471285974,43,0.33080898326883,68,0.36779484760643,43,0.338888950300803,68,0.0294977378930437,43,0.0294243566285077,68,0.0293658152269761,43,0.0292555885735915,68,0.0112826258699091,43,0.0120683822912135,68,0.0121784395846541,43,0.0121403183445901,68,0.0216838088049236,43,0.0218380652140702,68,0.0216587158349682,43,0.0217219199947665,68,0.0282614813544801,43,0.0282785751194383,68,0.0282231150917961,43,0.028182160645291
,67,0.527203368400459,44,0.438351955204954,67,0.543889437638252,44,0.444388374030053,67,0.385182043653373,44,0.360232844058921,67,0.3997646953829,44,0.374727577205894,67,0.386437842917179,44,0.374962148477417,67,0.399698773757393,44,0.388036894066286,67,0.355086434702871,44,0.332087834424795,67,0.367434592902293,44,0.340175570029958,67,0.0295082341036353,44,0.0294451422330742,67,0.0293456732479441,44,0.0292241570819795,67,0.0113001933395523,44,0.0120666321466741,67,0.0121743447158781,44,0.0121498307946213,67,0.0216857234285811,44,0.0218308903662255,67,0.0216574460450229,44,0.021699591013557,67,0.0282655000202112,44,0.0282928828772592,67,0.0282135972724603,44,0.0281698166293239
,66,0.524098757217485,45,0.441878620011302,66,0.540289859132028,45,0.446404659020778,66,0.384422818177904,45,0.361948391751766,66,0.398958132695761,45,0.376419404405945,66,0.38615598523393,45,0.375797013301868,66,0.399420870737176,45,0.388907394658043,66,0.35471430477473,45,0.333356070322595,66,0.367058895904926,45,0.341487833912244,66,0.0295166311971907,45,0.0294416267451821,66,0.0293402738621191,45,0.029232606128994,66,0.0113241213084963,45,0.0120664927175917,66,0.0121441324264028,45,0.0121359116255227,66,0.0216987598050028,45,0.021834359690719,66,0.0216660873475118,45,0.021681806489709,66,0.0282964882385878,45,0.0282934018462165,66,0.0282157979446859,45,0.0281594724053731
,65,0.520967044928704,46,0.445467858397359,65,0.536806695805313,46,0.448331492177346,65,0.383672700558837,46,0.363583588615978,65,0.398125937564885,46,0.378113877229975,65,0.385850523447737,46,0.376583922179052,65,0.399177643162776,46,0.389767910058625,65,0.354322351942001,46,0.334620525549737,65,0.366611719355102,46,0.34280488598388,65,0.0295058717911857,46,0.0294149574901437,65,0.0293332767847144,46,0.0292548739415062,65,0.0113338273651244,46,0.0120771669165769,65,0.0121579036241911,46,0.0121319965922391,65,0.0217115105535736,46,0.0218210243034751,65,0.0216702487711674,46,0.0216820778467576,65,0.0283125070722295,46,0.0282891713526599,65,0.0282020677442662,46,0.0281559654183635
,64,0.517778232293422,47,0.44919652881429,64,0.533436912904833,47,0.450247288505237,64,0.382835814220082,47,0.365231330711298,64,0.397385947473248,47,0.379786429958135,64,0.385534666240304,47,0.377415417308389,64,0.399157248944711,47,0.390614469354665,64,0.353928009162179,47,0.33598814457545,64,0.36608991091705,47,0.344132251298429,64,0.0295168846534133,47,0.0293990112838645,64,0.0293519803137674,47,0.0292667935607009,64,0.011346819497788,47,0.0120803878746791,64,0.0121780339766003,47,0.0121294457778088,64,0.0217162504317268,47,0.0217867324008744,64,0.0216582553951264,47,0.0216963331712556,64,0.0282980199649986,47,0.0282742143408392,64,0.028217752522096,47,0.0281608818595234
,63,0.514554538339935,48,0.452964001949717,63,0.529926339951696,48,0.45274196747342,63,0.382000597707621,48,0.366815899590549,63,0.397085043505876,48,0.381357839294128,63,0.385188263133001,48,0.378212673159376,63,0.398904899460716,48,0.391447394907151,63,0.353539612525935,48,0.337330928048696,63,0.365525534910853,48,0.345489017072717,63,0.0295038933863784,48,0.0293989265090499,63,0.0293627642472226,48,0.0292686659677221,63,0.0113393122998592,48,0.012082833009978,63,0.0121659639481696,48,0.0121107640647142,63,0.0217153004241521,48,0.0217955480068955,63,0.021676035467129,48,0.0217015884446188,63,0.0282859398458436,48,0.0282841357320354,63,0.0282286004667384,48,0.0281671169994892
,62,0.511284914546679,49,0.456813176962381,62,0.526434445710869,49,0.455736925024294,62,0.381196684793827,49,0.368325616775139,62,0.396115648523374,49,0.382883688326427,62,0.384859816967167,49,0.379028258413413,62,0.398551809320977,49,0.392267093728445,62,0.353104218095055,49,0.338750983924236,62,0.364954346772972,49,0.346830417263532,62,0.0294824790406281,49,0.0294085403743305,62,0.0293378120951596,49,0.0292778347878207,62,0.0113259601403138,49,0.0120948923756846,62,0.0121385784613038,49,0.0121386906377571,62,0.0217141744309175,49,0.0218195329053128,62,0.0216566021318808,49,0.0217128404257858,62,0.0282968139627115,49,0.0282965734257496,62,0.0282058744232474,49,0.0281810974817941
,61,0.508107107413643,50,0.460682826151728,61,0.522947173676769,50,0.459264465623413,61,0.380370345593586,50,0.369756733921209,61,0.395072616064126,50,0.384334459176604,61,0.384514696232932,50,0.37984206157833,61,0.398253163432451,50,0.39309114485869,61,0.352699045616501,50,0.340218272543765,61,0.364374167167382,50,0.348295756088052,61,0.0294785173331128,50,0.0294126185525091,61,0.0293368320294189,50,0.0292788763329713,61,0.0113335426307861,50,0.0120881765325936,61,0.0121247660637273,50,0.0121514278885058,61,0.021715332140912,50,0.0218244585174524,61,0.0216602013832032,50,0.0217109715646485,61,0.0282807979907206,50,0.0283005134623475,61,0.028179276405411,50,0.0281994164556247
,60,0.504900110807101,51,0.464704040592473,60,0.520242836454108,51,0.46309790900243,60,0.379473753868963,51,0.371111239133148,60,0.394211512922865,51,0.385767507060763,60,0.384133232113935,51,0.380676258024934,60,0.397917879675009,51,0.394019909394197,60,0.352256448065919,51,0.341699400192135,60,0.363637605187152,51,0.349804977490026,60,0.0294794272429012,51,0.0293907060450189,60,0.0293639690489692,51,0.0292839109607116,60,0.011344629193932,51,0.0120831110227732,60,0.0121344048324635,51,0.0121516615234776,60,0.0217259449399513,51,0.0217973628746454,60,0.0216837536166435,51,0.021709226828263,60,0.0282768764358126,51,0.0282869701965817,60,0.0281942124099393,51,0.0281936577232222
,59,0.501586674282135,52,0.469112370948782,59,0.516624451511958,52,0.467062887438317,59,0.378609906820943,52,0.372402758622999,59,0.393288470026756,52,0.38707271036714,59,0.383777278329514,52,0.381486617895351,59,0.397596163474314,52,0.394880571384504,59,0.351741006846449,52,0.34317619648898,59,0.362906469654839,52,0.351342957891854,59,0.0294976786496126,52,0.0293941618417492,59,0.0293487775868717,52,0.0292745604438382,59,0.0113605889235294,52,0.0120855251420924,59,0.0121447996045337,52,0.0121662752896691,59,0.0217229993969022,52,0.0217933546448073,59,0.021673274682125,52,0.0216686281997403,59,0.0282752723899972,52,0.0282797726837728,59,0.0281951677001925,52,0.0281695839350371
,58,0.498197297123626,53,0.473536168975609,58,0.51288136944085,53,0.471238848947768,58,0.377810792285674,53,0.373730863876925,58,0.392304494998904,53,0.388343405920846,58,0.3834398705299,53,0.382330526238069,58,0.397258700124986,53,0.395724224037026,58,0.351241773144877,53,0.344699118158515,58,0.362101393467095,53,0.352933411032648,58,0.0294825960244524,53,0.0294116927751453,58,0.0293450617745424,53,0.0292715668907883,58,0.0113716304445773,53,0.012078305717762,58,0.0121475797138666,53,0.0121497320577784,58,0.021702867372046,53,0.0218095342314652,58,0.0216877192379877,53,0.0216796419434662,58,0.0282643712206843,53,0.0282848625688224,58,0.0282069785380735,53,0.0281666818312392
,57,0.494719399679251,54,0.477499820041505,57,0.50939814331408,54,0.476066114423945,57,0.376945552103997,54,0.375006316147204,57,0.391387670968745,54,0.389618535804821,57,0.383051291432501,54,0.383168781324568,57,0.39688722552861,54,0.396560132156974,57,0.350595251203411,54,0.346248428424743,57,0.361177369464298,54,0.354597197608357,57,0.0294853305825237,54,0.029394795411835,57,0.029334801091509,54,0.029268100606806,57,0.0113769216434032,54,0.0120917970990037,57,0.0121346759250723,54,0.0121585129643701,57,0.0217383093115455,54,0.0217906677436335,57,0.0216761529260069,54,0.0216768087255898,57,0.0282740257056773,54,0.0282693423696356,57,0.0281884836346893,54,0.028172943357816
,56,0.491050665309507,55,0.481516961968116,56,0.505658272935803,55,0.481797745075789,56,0.3759742168764,55,0.37624105345878,56,0.390407895252653,55,0.390931392223954,56,0.382634389806615,55,0.383927251816366,56,0.39649819807492,55,0.397338461324816,56,0.349952563974655,55,0.347662595017397,56,0.36020119548404,55,0.356201671546973,56,0.0294979258345577,55,0.0293960437490641,56,0.0293158730315605,55,0.0292528220330578,56,0.0113661763589969,55,0.012120714139041,56,0.0121256994402091,55,0.0121633228610186,56,0.0217519522358328,55,0.0217884161054641,56,0.0216381952761355,55,0.0216610047153679,56,0.0282830814905229,55,0.0282724496929682,56,0.0281630257175615,55,0.0281735854883362
,55,0.487600694258106,56,0.485615286946987,55,0.501925243678679,56,0.488834312599818,55,0.375013448288946,56,0.377479413259851,55,0.389378186542212,56,0.392168171219746,55,0.382234175336574,56,0.384620167892593,55,0.396071915461033,56,0.39797126925582,55,0.349227131805279,56,0.349118525652901,55,0.359129972718037,56,0.357792400336701,55,0.0294737052927927,56,0.0293868993533871,55,0.0293215581504221,56,0.029219247600284,55,0.0113534324137892,56,0.0121092306681974,55,0.0121426426929435,56,0.0121503281600968,55,0.0217322950244659,56,0.0217695941302446,55,0.021650796708342,56,0.0216436371313287,55,0.0282826588395023,56,0.0282720349839536,55,0.0281896240761347,56,0.0281553914523856
,54,0.484022643081535,57,0.489568061714224,54,0.498173977556117,57,0.494140400847105,54,0.373958978835744,57,0.378720823076881,54,0.388336405919265,57,0.393421039781879,54,0.381763784582036,57,0.385259654039093,54,0.395653748780247,57,0.398510587827536,54,0.34837418383142,57,0.350481368272994,54,0.357974692242195,57,0.359334954833068,54,0.0294695311860015,57,0.0293547734594618,54,0.0293408581512527,57,0.0292171427146743,54,0.0113784278927401,57,0.0120886621004116,54,0.0121365754705869,57,0.0121506554438045,54,0.0217330743133583,57,0.0217461478039238,54,0.0216887783062374,57,0.0216385925145327,54,0.0282788079172048,57,0.0282568049471103,54,0.0281989656279261,57,0.0281435617501288
,53,0.480344871959482,58,0.49336644408087,53,0.494384334718466,58,0.497758887046367,53,0.372911345857282,58,0.379944920590579,53,0.387253898753569,58,0.394662564387941,53,0.381354586707905,58,0.385778710417314,53,0.395198236991719,58,0.398954328402806,53,0.347480219922398,58,0.351713736916832,53,0.356808230723275,58,0.360807999478992,53,0.0294840228900477,58,0.0293710950003962,53,0.0293473965781603,58,0.0292130726778858,53,0.0114004086274814,58,0.0121027186549047,53,0.0121247253923237,58,0.0121651336439219,53,0.0217480143367066,58,0.0217710291471601,53,0.0216959324343706,58,0.0216102171796394,53,0.0282940343534364,58,0.0282608689806765,53,0.0281945692853344,58,0.0281404273738104
,52,0.476619965981555,59,0.497132451119075,52,0.490347376448387,59,0.501242533049243,52,0.371860637697297,59,0.381169321986421,52,0.386168393495225,59,0.395906865599934,52,0.380952026999749,59,0.386277767092944,52,0.394732812578079,59,0.399388553457012,52,0.346536840848852,59,0.352919424224945,52,0.355556074279858,59,0.362166632850287,52,0.0295202179143056,59,0.0294223757790065,52,0.0293395932515342,59,0.0292445892879321,52,0.0113863258669639,59,0.0121192773426637,52,0.01211353043629,59,0.0121660085851167,52,0.021790270578841,59,0.0218269500556544,52,0.0216967565213434,59,0.0216456698778102,52,0.0283143764728549,59,0.0282904128116381,52,0.0281957866839792,59,0.0281420172691967
,51,0.472887655735478,60,0.500855679320959,51,0.486357620792317,60,0.504508294006536,51,0.370720685715997,60,0.382358378325339,51,0.384962154053669,60,0.397180861246651,51,0.380420945306975,60,0.386721831857699,51,0.394229449010182,60,0.399727021003007,51,0.345467559973282,60,0.354000759981153,51,0.354271228304536,60,0.363420088167864,51,0.0295209165307207,60,0.0294258596684929,51,0.0292943658042366,60,0.0292508746776967,51,0.0113665963293788,60,0.0121437173026908,51,0.0120947705075599,60,0.0121839765709268,51,0.0217879758545362,60,0.0218384821937712,51,0.021692468784249,60,0.0216576384748297,51,0.0282987913494555,60,0.0282961608489425,51,0.0281937148800313,60,0.0281505823417091
,50,0.468920794232526,61,0.504385593845299,50,0.482408570327904,61,0.507365881650832,50,0.369578180836595,61,0.383477080050374,50,0.383843006035647,61,0.39847115409883,50,0.379895499768916,61,0.387050074015035,50,0.393720987173807,61,0.400028620672923,50,0.344350864596336,61,0.354894369556216,50,0.353005476615449,61,0.364540315083962,50,0.029483520273534,61,0.0293891882774507,50,0.029318422801231,61,0.0292548014290019,50,0.0113930382000099,61,0.0121519013913508,50,0.0120948508864487,61,0.0121889304038521,50,0.0217763597700085,61,0.0218177421020358,50,0.0216976782913014,61,0.0216665927761785,50,0.0282839133215427,61,0.0282891546956232,50,0.0281935534606844,61,0.0281520037761434
,49,0.465003552738289,62,0.507733626855925,49,0.478539624682379,62,0.510037905371989,49,0.368363156391659,62,0.384622990132406,49,0.382585756829177,62,0.399707078802402,49,0.379410794883383,62,0.387387958841017,49,0.393132961435436,62,0.400361662034412,49,0.343212540000731,62,0.355650184271934,49,0.351721557404755,62,0.365491358145434,49,0.0295237801550995,62,0.0294026261090698,49,0.0293432664555044,62,0.0292399882493649,49,0.0114113351040502,62,0.0121686698304648,49,0.0120898031254075,62,0.0121843752193085,49,0.021803284915945,62,0.0218293854264518,49,0.0217226331539493,62,0.0216568448616946,49,0.0282995731172273,62,0.0282973066097346,49,0.0281927246029091,62,0.0281378480972834
,48,0.46123706544618,63,0.511151459467573,48,0.474651689809403,63,0.512813128101115,48,0.367074968539593,63,0.385740903301224,48,0.381336061573235,63,0.400975897767419,48,0.378881524799381,63,0.387724224809551,48,0.39255976235748,63,0.400773279892381,48,0.342000635212765,63,0.35628374672937,48,0.35043311479839,63,0.36634407143723,48,0.0295321551811042,63,0.02941209423101,48,0.0293378983013063,63,0.0292063062837325,48,0.0113973094443032,63,0.0121677326955285,48,0.0121117945557613,63,0.0121632489907939,48,0.0218196901876175,63,0.0218043428027463,48,0.0217234321856294,63,0.0216131645689594,48,0.0283025263096995,63,0.0282750987477428,48,0.0282023079603804,63,0.0281237099319762
,47,0.457413663775244,64,0.514791542465893,47,0.470675783678223,64,0.515409783288447,47,0.366423957790053,64,0.386801799342125,47,0.379948490239262,64,0.40220220121035,47,0.378313834181642,64,0.38804870318756,47,0.391950623361398,64,0.401200118825672,47,0.340770324391746,64,0.356792196199256,47,0.349126446028639,64,0.367041528220887,47,0.0295310224246309,64,0.0293725877103995,47,0.0293336198986624,64,0.0292199126390207,47,0.0114039911251742,64,0.0121530862910053,47,0.012104531204058,64,0.0121702505243805,47,0.021822802944177,64,0.0217816243666442,47,0.0217412009827579,64,0.0216199609917276,47,0.0283014965875829,64,0.0282469856964502,47,0.0282201669923443,64,0.0281320571876835
,46,0.453773972290517,65,0.518171243856368,46,0.466937446550792,65,0.517996754674665,46,0.367009687364233,65,0.387856155055556,46,0.378532083274132,65,0.403404622441576,46,0.377730280490187,65,0.3883939760217,46,0.391334416035552,65,0.401632220113662,46,0.33956182068439,65,0.357211366771457,46,0.347855111776287,65,0.367638044077898,46,0.0295272176384716,65,0.0293795202844073,46,0.0293482564144729,65,0.029219835182598,46,0.0114047362263781,65,0.0121497065193815,46,0.012115634306656,65,0.0121701542489489,46,0.0218163547817406,65,0.0217897293142134,46,0.0217572269074778,65,0.021616278409119,46,0.0282915828252789,65,0.02825022552086,46,0.0282293844272416,65,0.0281308751683045
,45,0.450153807303405,66,0.521668704626628,45,0.463087996719032,66,0.520983706249277,45,0.365493415159734,66,0.388904586988826,45,0.377006637346188,66,0.40459728531646,45,0.377103597327412,66,0.388751183983914,45,0.39065921655188,66,0.402183196867884,45,0.338285427801225,66,0.357607247216884,45,0.346546974429588,66,0.368213633599636,45,0.0295152912892839,66,0.0293822915223319,45,0.0293437542211306,66,0.0291966734478755,45,0.0114305776898752,66,0.012148256614019,45,0.0121058403752735,66,0.012171017622929,45,0.021827368646462,66,0.0217794380530673,45,0.021753450209065,66,0.0216275908648432,45,0.0283019867811515,66,0.0282400462147294,45,0.0282156650656628,66,0.0281202054329367
,44,0.44643991624813,67,0.52501613033916,44,0.459464399361999,67,0.524059042406591,44,0.362688031766058,67,0.390027875704302,44,0.375423417498146,67,0.405703544501029,44,0.376382822065845,67,0.38908053876226,44,0.389932758290035,67,0.402694244999677,44,0.337014378369394,67,0.357931629201469,44,0.345218933507229,67,0.368719881157536,44,0.0295493864691971,67,0.0294010966690434,44,0.0293529260723429,67,0.0292237292430446,44,0.0114535477882134,67,0.0121699874378369,44,0.0121156071371519,67,0.0121860255391318,44,0.021844282252433,67,0.0218113126545414,44,0.0217574492780666,67,0.021640808386023,44,0.0283135409398249,67,0.0282717300691679,44,0.0282124677361478,67,0.0281274639012927
,43,0.442991981717378,68,0.528447809643372,43,0.455746061588109,68,0.527318260506923,43,0.360724208300362,68,0.391190781274606,43,0.373768078435493,68,0.406757941542654,43,0.375726533950811,68,0.389411764107823,43,0.389169026418997,68,0.40316120000945,43,0.335799997171877,68,0.358222418597312,43,0.343877489776516,68,0.369217974109136,43,0.0295467896416673,68,0.0294066697684856,43,0.0293582370065015,68,0.0292308293674507,43,0.0114465683686387,68,0.0121779737368394,43,0.0121038171161767,68,0.0121888942342977,43,0.0218428782682972,68,0.0218017780150778,43,0.0217726542935082,68,0.0216291373344706,43,0.0283044058847396,68,0.0282727159215741,43,0.0282325947364995,68,0.0281313151653703
,42,0.439457377469399,69,0.531948492551547,42,0.452240405735067,69,0.53070900720731,42,0.358895271324126,69,0.392339190065997,42,0.372096960847009,69,0.407766799743713,42,0.374983478806302,69,0.389838252439445,42,0.388379511709719,69,0.403602143809879,42,0.334559844873444,69,0.358608557902237,42,0.342577996108869,69,0.369749912979403,42,0.0295015418614449,69,0.0294226149025154,42,0.0293547534407612,69,0.0292433712816238,42,0.0114562478724076,69,0.0122012532696847,42,0.0120903636344046,69,0.0122122237625633,42,0.0218243100329807,69,0.0218012701595863,42,0.0217585195500406,69,0.021635389719876,42,0.0282942613592877,69,0.0282820026530746,42,0.0282149376152461,69,0.0281569929778024
,41,0.436072265661329,70,0.535592903728492,41,0.44869966710842,70,0.534255181170888,41,0.357207829343713,70,0.393384044179511,41,0.370479317934683,70,0.408747149438162,41,0.374194984186365,70,0.390304735802146,41,0.387533282187176,70,0.403995713860435,41,0.333279472646148,70,0.358990056945194,41,0.341263850367278,70,0.370235375324203,41,0.029520402940822,70,0.029425176113401,41,0.0293367375732858,70,0.0292633582741118,41,0.0114692663476244,70,0.0121959273831705,41,0.0120970957547746,70,0.0122317538023158,41,0.0218342114139382,70,0.0217974240698605,41,0.0217457455704348,70,0.0216600479494786,41,0.0283090353214677,70,0.0282872046787472,41,0.0281960546136691,70,0.0281724363128966
,40,0.432734885054149,71,0.539026551141124,40,0.445324657775469,71,0.537605265544355,40,0.355655604060886,71,0.394296516456785,40,0.368810581990939,71,0.40968537865167,40,0.373381306574949,71,0.390780343999107,40,0.386614724827793,71,0.404332265408035,40,0.332060863880742,71,0.359357566589381,40,0.339899994889705,71,0.37076294140273,40,0.0295131347816483,71,0.0294148076313338,40,0.0293493030128231,71,0.0292536622769532,40,0.0114691291587946,71,0.0121956067453769,40,0.0121126422993954,71,0.0122211978162211,40,0.0218438739767854,71,0.0217937821634954,40,0.0217517910418493,71,0.021648834050885,40,0.0283018829452446,71,0.028275399664046,40,0.0282088825272417,71,0.0281482241803855
,39,0.429454370180553,72,0.542451866075434,39,0.442008488047739,72,0.541213993466159,39,0.354156588036456,72,0.395150068691816,39,0.367216038700728,72,0.410719027278425,39,0.37248041724104,72,0.391283659401576,39,0.385699906124782,72,0.404677914374132,39,0.330854463737577,72,0.359750566019813,39,0.338609808686577,72,0.371265534343933,39,0.0295013321970031,72,0.0294119652478638,39,0.029373880703704,72,0.0292368858094444,39,0.0114489424277602,72,0.0122006498573484,39,0.0121001808398895,72,0.0122078983742889,39,0.02184294737598,72,0.0217897097818331,39,0.0217796335443074,72,0.0216314756739945,39,0.0282968489783129,72,0.0282721956949473,39,0.0282244960982228,72,0.028130817073546
