CSV Report,2024-01-29_RNA_melting_NaCl_HEPES.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,4.15 mM NaCl_260.00nm_90.0-21.0C,,4.15 mM NaCl_260.00nm_21.0-90.0C,,4.15 mM NaCl_260.00nm_90.0-21.0C_R1,,4.15 mM NaCl_260.00nm_21.0-90.0C_R1,,1.66 mM NaCl_260.00nm_90.0-21.0C,,1.66 mM NaCl_260.00nm_21.0-90.0C,,1.66 mM NaCl_260.00nm_90.0-21.0C_R1,,1.66 mM NaCl_260.00nm_21.0-90.0C_R1,,0.8 mM NaCl_260.00nm_90.0-21.0C,,0.8 mM NaCl_260.00nm_21.0-90.0C,,0.8 mM NaCl_260.00nm_90.0-21.0C_R1,,0.8 mM NaCl_260.00nm_21.0-90.0C_R1,,0.08 mM NaCl_260.00nm_90.0-21.0C,,0.08 mM NaCl_260.00nm_21.0-90.0C,,0.08 mM NaCl_260.00nm_90.0-21.0C_R1,,0.08 mM NaCl_260.00nm_21.0-90.0C_R1,,4.15 mM NaCl_400.00nm_90.0-21.0C,,4.15 mM NaCl_400.00nm_21.0-90.0C,,4.15 mM NaCl_400.00nm_90.0-21.0C_R1,,4.15 mM NaCl_400.00nm_21.0-90.0C_R1,,1.66 mM NaCl_400.00nm_90.0-21.0C,,1.66 mM NaCl_400.00nm_21.0-90.0C,,1.66 mM NaCl_400.00nm_90.0-21.0C_R1,,1.66 mM NaCl_400.00nm_21.0-90.0C_R1,,0.8 mM NaCl_400.00nm_90.0-21.0C,,0.8 mM NaCl_400.00nm_21.0-90.0C,,0.8 mM NaCl_400.00nm_90.0-21.0C_R1,,0.8 mM NaCl_400.00nm_21.0-90.0C_R1,,0.08 mM NaCl_400.00nm_90.0-21.0C,,0.08 mM NaCl_400.00nm_21.0-90.0C,,0.08 mM NaCl_400.00nm_90.0-21.0C_R1,,0.08 mM NaCl_400.00nm_21.0-90.0C_R1,
,76,0.566012663501891,35,0.415294648341158,76,0.585471810262204,35,0.428523804136608,76,0.429819701167689,35,0.376346520590719,76,0.428225082259543,35,0.374739212744003,76,0.395421341327507,35,0.370753749611002,76,0.407862016528093,35,0.381368650819156,76,0.424343698301009,35,0.403768099702206,76,0.430360814344274,35,0.408212801823615,76,0.0278398300970801,35,0.027931167164726,76,0.0277504778302456,35,0.0278055838265802,76,0.00992678340199159,35,0.00983551758581179,76,0.00992853658563103,35,0.00986494453222606,76,0.00994687979616986,35,0.0098180209014772,76,0.0100971179585005,35,0.00983167933753759,76,0.0275353473386463,35,0.0274789118660365,76,0.0274104580733455,35,0.0274070080915749
,75,0.562647655731166,36,0.418255264972282,75,0.581762241462033,36,0.43151034649022,75,0.429116533306755,36,0.377969518821627,75,0.427679685425534,36,0.376143324844252,75,0.395378279727697,36,0.372165179485791,75,0.407749549429786,36,0.382771880618018,75,0.424339609005281,36,0.404836844778006,75,0.430248472935848,36,0.409336565745536,75,0.0278601903219684,36,0.0279351786692258,75,0.0277474321771516,36,0.0277608976937394,75,0.0099373483299425,36,0.00982092526220797,75,0.00994060438863861,36,0.00987248799765873,75,0.00994663289328479,36,0.00981257944365221,75,0.0101042555829181,36,0.00979763984736097,75,0.027530214184737,36,0.0274806037671671,75,0.0274296987997149,36,0.0273685260795679
,74,0.559124096470032,37,0.421432129716636,74,0.578257669383857,37,0.434674455823262,74,0.428491480943642,37,0.37957680624398,74,0.427231004230092,37,0.377778541745802,74,0.395260072907941,37,0.373566393033407,74,0.407578235186883,37,0.384195400040081,74,0.424324408518688,37,0.405966371379662,74,0.430073869378474,37,0.410534613795189,74,0.0277983707211715,37,0.0279079001509291,74,0.0277544381690663,37,0.0277593176051036,74,0.00994819573942759,37,0.00982417323465892,74,0.00994617128517413,37,0.00986118466649963,74,0.00994092206057379,37,0.00980142868639986,74,0.0100879470605448,37,0.0097781168501034,74,0.0274949920393463,37,0.0274634142061569,74,0.0274490581467996,37,0.0273460434547108
,73,0.555660655721147,38,0.424357692656501,73,0.574678028162973,38,0.437962156403978,73,0.427945158302539,38,0.381229595944952,73,0.426475156193229,38,0.379429291531339,73,0.395161638372503,38,0.374928765219158,73,0.407425782470184,38,0.385605900924995,73,0.424244070338514,38,0.406966095123219,73,0.429909892432936,38,0.411690655576452,73,0.0278341176922243,38,0.0279163694787523,73,0.0277441372622165,38,0.0277517004269122,73,0.0099753000995371,38,0.00983895574417829,73,0.00994868777042728,38,0.00984686487379025,73,0.00993116115557165,38,0.00983339869181044,73,0.0100829559434602,38,0.00977320401923461,73,0.0275163208571204,38,0.0274743513388627,73,0.0274270313024031,38,0.0273437051542354
,72,0.552446085906021,39,0.42753413571016,72,0.570981723505544,39,0.441168573062339,72,0.427275253979342,39,0.38287769734859,72,0.425490675156629,39,0.381015127909053,72,0.395013504578656,39,0.376237591369291,72,0.407222850761533,39,0.386929060401112,72,0.424104863398332,39,0.407960977868086,72,0.429727766832113,39,0.412825926100245,72,0.0278848107191127,39,0.0279301068370304,72,0.0277520348126914,39,0.0277648558365316,72,0.00997289618859489,39,0.00984394542322684,72,0.00996473038464603,39,0.00986079292876421,72,0.00994645809142051,39,0.00985161672576124,72,0.0100946072033535,39,0.0098151808967012,72,0.0275345862835808,39,0.0274904001535034,72,0.027407762270497,39,0.0273824251598229
,71,0.548920297080852,40,0.430816589836014,71,0.567524007154647,40,0.444520258414203,71,0.426579584936267,40,0.384694693007714,71,0.424410694833461,40,0.382751894771868,71,0.394897055805751,40,0.3775481054367,71,0.406921267970726,40,0.38827405923644,71,0.423960162990035,40,0.408924241190538,71,0.429529386168291,40,0.413942474583231,71,0.0278522820825017,40,0.0278967659246751,71,0.0277676996760021,40,0.0277869732099124,71,0.00995128225725085,40,0.00984692839583486,71,0.00996084848330655,40,0.00986827905672166,71,0.00998348648738333,40,0.00982741707771356,71,0.0100977049602433,40,0.00983953926597198,71,0.0275464390162504,40,0.0274629218500157,71,0.0274218071070086,40,0.0274121726337092
,70,0.545583902616967,41,0.434086922969819,70,0.564049236968267,41,0.447766571750603,70,0.425948542203821,41,0.386526888784604,70,0.423318288251955,41,0.384462146547657,70,0.394805164710134,41,0.378722079288267,70,0.406663976106581,41,0.389454173949606,70,0.423770317217353,41,0.409838813994312,70,0.42937300581662,41,0.414958661686229,70,0.0278655850498361,41,0.0278843817652739,70,0.0277268463929059,41,0.0277955835992708,70,0.00995823268180596,41,0.00983323112084134,70,0.00995446967773298,41,0.00985386304714772,70,0.00998328021828031,41,0.0098292263517259,70,0.0100643214807436,41,0.00985260678000455,70,0.0275482107135742,41,0.0274645415057588,70,0.0273980642701901,41,0.0273992616551146
,69,0.542157547259664,42,0.437376732967684,69,0.560576945475509,42,0.451177830965573,69,0.425275575195605,42,0.38832964672474,69,0.42229715883566,42,0.38621906118458,69,0.39472628933128,42,0.379785616318179,69,0.406443509395092,42,0.390539535620846,69,0.42357197243795,42,0.410659003506414,69,0.429207476767555,42,0.415924289335334,69,0.0278592801551258,42,0.0278893751709013,69,0.0277265089190542,42,0.0277927386059786,69,0.009954358991869,42,0.0098332158725419,69,0.00995981250903421,42,0.00985564344090424,69,0.00994467704698189,42,0.00982759922958219,69,0.0100567198731614,42,0.00983756373382451,69,0.027519194284509,42,0.0274621621749277,69,0.0273937453420866,42,0.0273825364811338
,68,0.538787097190399,43,0.440891850227475,68,0.557046029162412,43,0.454746193340695,68,0.424514556891759,43,0.390250257116739,68,0.4213105828843,43,0.388015786480514,68,0.394539953856971,43,0.380786292118297,68,0.406225875421368,43,0.391593696522041,68,0.423338804914381,43,0.41146741248311,68,0.428989627260954,43,0.41694757808011,68,0.0278011149927726,43,0.0278724740857279,68,0.0277377168735985,43,0.0277893048137764,68,0.00995080910998592,43,0.00984627701968465,68,0.00995955513434947,43,0.00986614110777798,68,0.00990587916842778,43,0.00980745005424465,68,0.0100410673793156,43,0.00984731716176011,68,0.0274788741774761,43,0.0274581746294562,68,0.0274097966943181,43,0.0273771930601675
,67,0.535375324842381,44,0.444241435217633,67,0.553464837029407,44,0.458278782084925,67,0.42372148872018,44,0.39209876597907,67,0.420412061044476,44,0.38986494155388,67,0.394197214278276,44,0.381701809104531,67,0.40600440654588,44,0.392588997310896,67,0.42309538652672,44,0.412227945999098,67,0.428762504291897,44,0.417840264201378,67,0.0278356656014783,44,0.027884128211617,67,0.0277431728668543,44,0.0277418858013375,67,0.0100257173406419,44,0.00985053373686589,67,0.00998468034549026,44,0.00986456779163495,67,0.00991063372350009,44,0.00984509554699473,67,0.0100460500251649,44,0.00983079936510375,67,0.0275007691359128,44,0.0274641165971366,67,0.0274059039689059,44,0.0273597693715229
,66,0.532075082723787,45,0.447748668974637,66,0.549975624698607,45,0.462033630058381,66,0.422874205633324,45,0.394059668924884,66,0.419512868204252,45,0.391746291273988,66,0.393972557247592,45,0.382571645228331,66,0.405810732069764,45,0.393560719955451,66,0.422921463493645,45,0.412945700699029,66,0.428497569477669,45,0.41868194146148,66,0.0278775542530754,45,0.0279212199086354,66,0.0277188729502671,45,0.0277573477441806,66,0.0101336919512283,45,0.00992199080585789,66,0.00996804074158643,45,0.00989258154440023,66,0.00993101298884552,45,0.00989021802499573,66,0.0100118533927006,45,0.00983495347949401,66,0.027525136513243,45,0.027482340591901,66,0.0273820805931742,45,0.0273554429540344
,65,0.528818529449626,46,0.451446954161966,65,0.546500356845561,46,0.465746536382408,65,0.421831753528795,46,0.39598806115428,65,0.418627156650436,46,0.393520323324721,65,0.393782556741535,46,0.383360463756008,65,0.405444145102985,46,0.394408122473211,65,0.422767718381015,46,0.413626028147739,65,0.428226751135315,46,0.419461148180738,65,0.0278587399448143,46,0.0279252669915734,65,0.0276734649367224,46,0.027735725221694,65,0.0100639968539837,46,0.0099805289788027,65,0.00996242521322679,46,0.00990365636608198,65,0.00992300961621764,46,0.00990297084774976,65,0.00997931687784871,46,0.00983428209312381,65,0.0275268945242167,46,0.027498487672241,65,0.0273558472379849,46,0.0273518605505385
,64,0.52559499709248,47,0.455242650081112,64,0.542933135598681,47,0.469599144218449,64,0.420878513969947,47,0.397704642598809,64,0.41778375738832,47,0.395232935486147,64,0.393473965700117,47,0.384187970146221,64,0.405049495893249,47,0.395239336903541,64,0.422528795580249,47,0.414340690085167,64,0.428012804012753,47,0.420272992848905,64,0.0278079470306186,47,0.027906551575846,64,0.0277199303125637,47,0.0277418842752517,64,0.00995749460002864,47,0.0098738654426536,64,0.00995664240766669,47,0.00988957113003311,64,0.00991608736356552,47,0.00987863791987854,64,0.0100163455609877,47,0.00984113294845025,64,0.0275277724038977,47,0.0274727775462639,64,0.0273902236240619,47,0.0273468844374507
,63,0.522167942100135,48,0.459084554419923,63,0.539489255416935,48,0.473491271095589,63,0.420046165723219,48,0.399405253083048,63,0.416813454609266,48,0.396944106541185,63,0.393117240559527,48,0.384909806837283,63,0.404658755650131,48,0.396079750776286,63,0.422240157254549,48,0.415001528814406,63,0.427781789660671,48,0.420985985294892,63,0.0278118513391646,48,0.0278912065480015,63,0.0277245715876476,48,0.0277284201845688,63,0.010045683095266,48,0.00987314004424474,63,0.00994691396177196,48,0.00991418382641658,63,0.00992138598560649,48,0.00990098454760303,63,0.0100134387972486,48,0.00986246061626993,63,0.02754669104451,48,0.0274531394621709,63,0.0273868536145218,48,0.0273463627163988
,62,0.51876572122403,49,0.462833552525353,62,0.535981835762651,49,0.477402415555369,62,0.419124353412922,49,0.401041016806904,62,0.415921000132478,49,0.398592623381455,62,0.392781605528278,49,0.385601861841293,62,0.404293713536677,49,0.396889699894786,62,0.421964185615278,49,0.415668130483482,62,0.427594378324889,49,0.42171144054974,62,0.0278398831159973,49,0.0278548406717976,62,0.0277416440008042,49,0.0277303561675295,62,0.0100845025491679,49,0.0098851360848666,62,0.00997077400194071,49,0.00994074358675235,62,0.00991623382136914,49,0.00991149976315014,62,0.0100296218493356,49,0.00989414820535021,62,0.0275336491287153,49,0.0274432091729086,62,0.0273926542527592,49,0.0273446217121907
,61,0.515588468751205,50,0.466731028084464,61,0.532469455002196,50,0.481404992552989,61,0.418037279348199,50,0.402596102646637,61,0.414988264807568,50,0.400128487118855,61,0.39246804148362,50,0.38629562987291,61,0.403879681187298,50,0.397620439103262,61,0.421668515685997,50,0.416350926519117,61,0.427330489982652,50,0.422406263356233,61,0.027850014207377,50,0.0278780454802546,61,0.02770911552578,50,0.0277583991456497,61,0.00997144663608867,50,0.00991976244514998,61,0.00996742820030731,50,0.00995145160160669,61,0.00991811496072652,50,0.0099152653281223,61,0.010001727890805,50,0.00991056503444531,61,0.0275024521157364,50,0.0274738772440827,61,0.0273789470216775,50,0.0273455123935685
,60,0.512165045665004,51,0.470775098776833,60,0.528850601676531,51,0.485482734455109,60,0.4171078861128,51,0.403992914615524,60,0.413974990573923,51,0.401566548926151,60,0.392083092691869,51,0.386960551746837,60,0.403436352139046,51,0.398452389596242,60,0.42138184955169,51,0.417033421025563,60,0.427029146665235,51,0.423102160059626,60,0.0278179909598247,51,0.0279076665470131,60,0.0276782177227349,51,0.027724291619397,60,0.00997970293121062,51,0.00989985086984516,60,0.00996310326308617,51,0.00994075060095313,60,0.009917591210905,51,0.00995318883933522,60,0.00998195655826101,51,0.00988669158149824,60,0.0275075628427696,51,0.027501245408158,60,0.0273528568776822,51,0.0273296846342346
,59,0.508686102731575,52,0.474736135128295,59,0.525425817921099,52,0.489656844019957,59,0.416110664772671,52,0.405401808794377,59,0.413028021382734,52,0.402993183286131,59,0.391673405586914,52,0.387676909786052,59,0.403058027443845,52,0.399317155103701,59,0.421078783385487,52,0.417734209816148,59,0.426721273949984,52,0.42383591800652,59,0.0278433653620669,52,0.0278855702416738,59,0.0276881513148594,52,0.027719592266219,59,0.00998653663048058,52,0.00990177462979424,59,0.00995959710123058,52,0.00996918801121134,59,0.00991813893018813,52,0.00995211843108206,59,0.00999305740441413,52,0.00990042802957404,59,0.0275199501661296,52,0.0274710692207393,59,0.0273590921453235,52,0.0273357076716525
,58,0.505213066292354,53,0.478898673975613,58,0.521828968874664,53,0.494068299980289,58,0.415080844558124,53,0.406667613515629,58,0.411941741736424,53,0.404351395818395,58,0.391286484797847,53,0.388327845782481,58,0.402545588364277,53,0.400149186847893,58,0.420736698454198,53,0.418465335280148,58,0.426345045777543,53,0.424566905381134,58,0.0278441552615325,53,0.027878576567923,58,0.0277017171855269,53,0.0277297382479378,58,0.00999248046860608,53,0.00990606188486254,58,0.00997209524846863,53,0.00999529375046136,58,0.0099096018146634,53,0.00996113799261453,58,0.00999545719212695,53,0.00993848364028738,58,0.0275288587578231,53,0.0274398599909985,58,0.0273749384588379,53,0.0273473955868719
,57,0.501734657726883,54,0.482895170374324,57,0.518115720459216,54,0.498170759044748,57,0.414020950696212,54,0.407885961047991,57,0.410929918244165,54,0.405628306516908,57,0.390853737736652,54,0.388984633254507,57,0.402094050945857,54,0.400991198818397,57,0.420344542262952,54,0.419234903564809,57,0.425994553676953,54,0.425309226162219,57,0.0278602264077963,54,0.0278663807282401,57,0.0277418084194943,54,0.0277368822292006,57,0.00999615931538901,54,0.00990627042287199,57,0.00999320562542203,54,0.0099673389561804,57,0.00989077933741708,54,0.00995261478844362,57,0.0100232457241041,54,0.00992311646394129,57,0.0275141204661686,54,0.0274098831660927,57,0.0273983176785682,54,0.0273423535585891
,56,0.498150821602694,55,0.487042904904387,56,0.51453917815116,55,0.502265489189415,56,0.413946249893031,55,0.409105644479688,56,0.409845652869015,55,0.406882396436809,56,0.390455793270647,55,0.389776854444323,56,0.401587510892494,55,0.4018688925224,56,0.420012894199223,55,0.420019921718331,56,0.425589900392385,55,0.426083310532023,56,0.0278573287697333,55,0.0278449043890978,56,0.0277571441897288,55,0.0277243207237691,56,0.00998669325520198,55,0.00992687174069826,56,0.00998444154804202,55,0.00995040696214823,56,0.0098847460531143,55,0.00995884323802058,56,0.0100135707015057,55,0.00993461391584887,56,0.027500933184459,55,0.0274068220486288,56,0.0273847831867522,55,0.0273420293943821
,55,0.494757745363847,56,0.490929791844671,55,0.510706085981673,56,0.506358934715121,55,0.413450740239465,56,0.410184261602823,55,0.408730000176523,56,0.408119561557959,55,0.390021384479901,56,0.390554757072404,55,0.401017132182221,56,0.402717923759912,55,0.419708276509363,56,0.420768146174888,55,0.425152555656172,56,0.426843039175277,55,0.0279043780892239,56,0.0278417976275867,55,0.0277517002189366,56,0.027722666747167,55,0.00999256563609719,56,0.00994911498958848,55,0.00997934379202901,56,0.00995794160983836,55,0.00989584548429188,56,0.00998868529208204,55,0.00998182702526245,56,0.00995760886288897,55,0.02750802893193,56,0.0274312218199347,55,0.0273765223917409,56,0.0273153492124961
,54,0.490926228139045,57,0.494766280601871,54,0.507017561606955,57,0.510275124380884,54,0.411382153545968,57,0.411178619499277,54,0.407614291822082,57,0.409332669161738,54,0.389511835334606,57,0.391305796690363,54,0.400522263887638,57,0.403486918779362,54,0.419324420207418,57,0.421472679626114,54,0.424772673787048,57,0.427610621972946,54,0.0279192313558737,57,0.0278063474322166,54,0.0277573986725838,57,0.0276950428976653,54,0.00999157181997082,57,0.00995589465846703,54,0.0099953759346865,57,0.0099469309348512,54,0.0099011984191639,57,0.00996733380109043,54,0.00998579290304104,57,0.00992874538226752,54,0.0274827162920235,57,0.0273962437353076,54,0.0273636087348373,57,0.0273027893356297
,53,0.487281569298302,58,0.498562555760712,53,0.503093245931466,58,0.514246231727978,53,0.410006306958861,58,0.412253020230281,53,0.406490996096851,58,0.410588772634038,53,0.389057427895188,58,0.392038046837672,53,0.40000044418329,58,0.404349582291218,53,0.418919364842777,58,0.422131661092332,53,0.424329700792996,58,0.428386204984004,53,0.0279085420784279,58,0.0277840565312174,53,0.027799348970847,58,0.0276552445560317,53,0.00999630412079093,58,0.00996358078241652,53,0.00998210464999508,58,0.00993141316582641,53,0.00990563186756755,58,0.00998631348741598,53,0.0100147075189553,58,0.00991901241281269,53,0.0274871858198737,58,0.0274073273930388,53,0.027400371472271,58,0.027299419006651
,52,0.483630282981767,59,0.502199056667609,52,0.499204006160709,59,0.51802816509804,52,0.408757025985749,59,0.413297479295736,52,0.405275849313107,59,0.411803920817079,52,0.388539924632271,59,0.392771012481971,52,0.399447988164266,59,0.405038497555388,52,0.418476223556,59,0.422789028034959,52,0.423905519791232,59,0.429104727206441,52,0.0279664749330443,59,0.0278152414531504,52,0.0278401462585514,59,0.0276544888832348,52,0.0100156615813408,59,0.00995663025067349,52,0.00998483751947921,59,0.0099197446373553,52,0.00992240338608581,59,0.0100250069251684,52,0.0100190714486508,59,0.00994630174184296,52,0.0275117809612554,59,0.0274456457436493,52,0.0273760112775726,59,0.0272915379811381
,51,0.479689960920236,60,0.505977622720962,51,0.495111139638252,60,0.521868919211188,51,0.407403454716332,60,0.414326829380266,51,0.404021654846931,60,0.41304670696086,51,0.387945568504901,60,0.393525430129063,51,0.398872533033736,60,0.405756497331929,51,0.418007957983522,60,0.423387874938563,51,0.423467287805053,60,0.429900091344881,51,0.0279755122062776,60,0.0278007100586918,51,0.0278695245621563,60,0.0276604130947704,51,0.0100135988938651,60,0.00997818536663536,51,0.00998701384903532,60,0.00989976498685356,51,0.00992072727500805,60,0.0100366657908363,51,0.0100155794925536,60,0.00997062948540308,51,0.0275126351249905,60,0.0274414242305728,51,0.0273880668084553,60,0.0273041008744807
,50,0.475678461762975,61,0.509644523640724,50,0.490982982508952,61,0.525530866273595,50,0.405995099936864,61,0.415365134129072,50,0.402717480245332,61,0.414322254386014,50,0.387329110385945,61,0.394185700423538,50,0.398255421974634,61,0.40639704808759,50,0.417504728819685,61,0.423872163449727,50,0.422933555072655,61,0.430570341026663,50,0.027985909504051,61,0.0277847476434908,50,0.0278457994139464,61,0.027612052991706,50,0.0100141065457806,61,0.00998090772354685,50,0.00998527914119391,61,0.00992735792467002,50,0.00990065151805793,61,0.0100581195491626,50,0.00998712417660286,61,0.0099551999062306,50,0.0274828926884075,61,0.0274540749968428,50,0.027388438071252,61,0.0273038709814671
,49,0.47187330032981,62,0.513290062457658,49,0.487050259027822,62,0.52906296494179,49,0.404652862535204,62,0.416497509872611,49,0.401380917433493,62,0.41554732776804,49,0.386774461877496,62,0.394776331481647,49,0.397686362535706,62,0.406887812727622,49,0.417019747907622,62,0.424275641789962,49,0.422441831790275,62,0.431170750925867,49,0.0279707721761734,62,0.0277929400836251,49,0.0278418978486715,62,0.0276138141633582,49,0.0100057975559564,62,0.00996943495231825,49,0.00998093021455535,62,0.00994814446647197,49,0.00988756325203622,62,0.0100888935084584,49,0.00996817321265783,62,0.00996444633571884,49,0.0274818215146692,62,0.0274819796964335,49,0.0273664603633823,62,0.0273266233730626
,48,0.468021892374534,63,0.516854703394366,48,0.483102770311053,63,0.532622799599778,48,0.40323537794669,63,0.417618585816488,48,0.400002835111208,63,0.416745334052529,48,0.386214293035904,63,0.395294462629961,48,0.397104445187532,63,0.407346454066917,48,0.416508390571115,63,0.424602579136827,48,0.421918090119916,63,0.431694594090599,48,0.028001582046483,63,0.0277861602400815,48,0.0278763695783052,63,0.0275928448387555,48,0.0100187712582898,63,0.00995818713533832,48,0.00997601115138372,63,0.00996022902010574,48,0.00992303254582518,63,0.0100721203305878,48,0.00998325493716482,63,0.00995473398244852,48,0.0275175463258716,63,0.0274784631087533,48,0.0273965362466158,63,0.0273213697894958
,47,0.464132534841957,64,0.520322949803993,47,0.479188767480799,64,0.536401346743043,47,0.401742430677997,64,0.41876430461536,47,0.398529757518339,64,0.417949305905189,47,0.385593385263652,64,0.395746570542002,47,0.396467429552741,64,0.407778143461792,47,0.415957069752318,64,0.424841583350084,47,0.42140055431779,64,0.432149985035417,47,0.0279985087296409,64,0.0277838405842373,47,0.0278712468016058,64,0.0275951626361018,47,0.010022799849659,64,0.00997200860023876,47,0.0099792472613022,64,0.0099404825085451,47,0.00992979030085342,64,0.01008255654928,47,0.0100095680025711,64,0.00996684900039473,47,0.0274997550252693,64,0.0274560384763363,47,0.027394119778773,64,0.0273247398107789
,46,0.460466985976236,65,0.523995525083719,46,0.475359283655788,65,0.540251321619756,46,0.400200608553662,65,0.419943736278391,46,0.39696724552208,65,0.419147071963352,46,0.385002948480819,65,0.396134414883055,46,0.395782926655557,65,0.408150585851588,46,0.415418912558373,65,0.425046446974494,46,0.4207764843276,65,0.432525328514559,46,0.0279894497307508,65,0.0277675429738096,46,0.0278470691596166,65,0.0275917712534403,46,0.0100129873468755,65,0.00999974762443737,46,0.00996384450765113,65,0.00994008958683317,46,0.00992384008719572,65,0.0101024259646861,46,0.0099687423390359,65,0.00997845770519409,46,0.0275031796965724,65,0.0274626400117768,46,0.0273632322958163,65,0.0273140786981844
,45,0.456866770855069,66,0.52770472418954,45,0.471557962501571,66,0.543927664397363,45,0.398541657671431,66,0.421233961754495,45,0.39537799753126,66,0.420374945859567,45,0.384351262766198,66,0.396516794637548,45,0.395102854451617,66,0.408520533288229,45,0.414841269206258,66,0.42525818329872,45,0.420189054984442,66,0.432838503590172,45,0.0280298646780812,66,0.0277718511492187,45,0.027879288138968,66,0.0276133963788093,45,0.0100013607728609,66,0.00999217211453584,45,0.00998595104332043,66,0.0099453440379197,45,0.00994852964978777,66,0.0100919223572551,45,0.0100045806437588,66,0.00999067812855442,45,0.0275222795005596,66,0.0274693806454216,45,0.0274208354463285,66,0.02732275717152
,44,0.453128057862623,67,0.531205191107701,44,0.467719050877233,67,0.547729780540217,44,0.396820321416599,67,0.422441730857131,44,0.393658988770513,67,0.421573772315267,44,0.383655419778765,67,0.396799013700069,44,0.394316081074994,67,0.408842335839291,44,0.414224639215652,67,0.425419934878394,44,0.419474201225155,67,0.433143790167963,44,0.0280269619847535,67,0.0277907111033536,44,0.0278878498048637,67,0.0276213550147919,44,0.0099844419479354,67,0.00999829526293016,44,0.00995777408573379,67,0.00995220345170981,44,0.00993975665852318,67,0.0101090394286338,44,0.00998777477726439,67,0.0100037340457133,44,0.0275187029588676,67,0.0274604996998255,44,0.0274055169982878,67,0.0273269495263418
,43,0.449581713578466,68,0.535052921839155,43,0.463928673222878,68,0.551705259562867,43,0.395018852168854,68,0.423628156713412,43,0.391930672580264,68,0.422788553290817,43,0.382896004885241,68,0.397075408012933,43,0.393519816112992,68,0.409164198083597,43,0.413577061826024,68,0.425582800567618,43,0.418729553445003,68,0.433403606522831,43,0.0280176029867155,68,0.027776362375737,43,0.0278872481942891,68,0.0276105007530377,43,0.00999141837800901,68,0.00999823366220605,43,0.0099564670812695,68,0.00994550666802668,43,0.00991738946438066,68,0.0100944544454186,43,0.00997905393923876,68,0.00999869199089002,43,0.0275198615380817,68,0.0274695694021243,43,0.0273971613586601,68,0.02731214304548
,42,0.445969570966414,69,0.538929514829403,42,0.460308210308453,69,0.555655746202272,42,0.393202056664609,69,0.424886703917384,42,0.390103600653947,69,0.423902516072686,42,0.382069545208151,69,0.397395742553714,42,0.392639795261814,69,0.40945376574472,42,0.412883667955736,69,0.425776617288513,42,0.417928410942601,69,0.43359579026141,42,0.0280170546675116,69,0.0277621706225174,42,0.0279025622304996,69,0.0275975513322319,42,0.0100039391047101,69,0.0100090142300979,42,0.00997311497249233,69,0.00994838702257821,42,0.0099094454375675,69,0.0100919554210619,42,0.00999215297016165,69,0.00999761080043609,42,0.0275324424097949,69,0.0274727904566236,42,0.0274181742910217,69,0.0273009108062736
,41,0.442531312683512,70,0.542464258330455,41,0.456773756364915,70,0.559400797222388,41,0.391377305485983,70,0.426104372329558,41,0.388295097632724,70,0.425171282127809,41,0.381200043736833,70,0.397700475711458,41,0.391728125844957,70,0.409774363813725,41,0.412188196753566,70,0.425947736047491,41,0.417090885551153,70,0.433796665403894,41,0.0280305385928981,70,0.0277443986868343,41,0.0278999038034996,70,0.0276063227405829,41,0.010002379980971,70,0.00999819594635677,41,0.00993471510287285,70,0.00995609776737228,41,0.0099077457458505,70,0.0100792777807048,41,0.00993652621647852,70,0.00999578511229358,41,0.0275307677398482,70,0.0274519947656241,41,0.0273958837712023,70,0.0273050796439581
,40,0.439287995672394,71,0.546057938686064,40,0.453268493823716,71,0.563371743357015,40,0.389505032338332,71,0.42725704272747,40,0.386513387928395,71,0.426575125664319,40,0.380301682166706,71,0.39797085588539,40,0.390751286482896,71,0.410109404632287,40,0.411444563532287,71,0.426116198666678,40,0.416174680546317,71,0.43404503646215,40,0.0280276131715613,71,0.0277537847826597,40,0.0278985140344669,71,0.0276016576024895,40,0.0099823362109081,71,0.00997709169814344,40,0.00997639131280072,71,0.00995443205461228,40,0.00989517908984846,71,0.0100781369183741,40,0.00994288134421039,71,0.00999410025526283,40,0.0274958920253743,71,0.0274665567859596,40,0.0274204536388886,71,0.0273077246996797
