CSV Report,2024-01-29_RNA_melting_NaCl_HEPES.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,4.15 mM NaCl_260.00nm_90.0-21.0C,,4.15 mM NaCl_260.00nm_21.0-90.0C,,4.15 mM NaCl_260.00nm_90.0-21.0C_R1,,4.15 mM NaCl_260.00nm_21.0-90.0C_R1,,1.66 mM NaCl_260.00nm_90.0-21.0C,,1.66 mM NaCl_260.00nm_21.0-90.0C,,1.66 mM NaCl_260.00nm_90.0-21.0C_R1,,1.66 mM NaCl_260.00nm_21.0-90.0C_R1,,0.8 mM NaCl_260.00nm_90.0-21.0C,,0.8 mM NaCl_260.00nm_21.0-90.0C,,0.8 mM NaCl_260.00nm_90.0-21.0C_R1,,0.8 mM NaCl_260.00nm_21.0-90.0C_R1,,0.08 mM NaCl_260.00nm_90.0-21.0C,,0.08 mM NaCl_260.00nm_21.0-90.0C,,0.08 mM NaCl_260.00nm_90.0-21.0C_R1,,0.08 mM NaCl_260.00nm_21.0-90.0C_R1,,4.15 mM NaCl_400.00nm_90.0-21.0C,,4.15 mM NaCl_400.00nm_21.0-90.0C,,4.15 mM NaCl_400.00nm_90.0-21.0C_R1,,4.15 mM NaCl_400.00nm_21.0-90.0C_R1,,1.66 mM NaCl_400.00nm_90.0-21.0C,,1.66 mM NaCl_400.00nm_21.0-90.0C,,1.66 mM NaCl_400.00nm_90.0-21.0C_R1,,1.66 mM NaCl_400.00nm_21.0-90.0C_R1,,0.8 mM NaCl_400.00nm_90.0-21.0C,,0.8 mM NaCl_400.00nm_21.0-90.0C,,0.8 mM NaCl_400.00nm_90.0-21.0C_R1,,0.8 mM NaCl_400.00nm_21.0-90.0C_R1,,0.08 mM NaCl_400.00nm_90.0-21.0C,,0.08 mM NaCl_400.00nm_21.0-90.0C,,0.08 mM NaCl_400.00nm_90.0-21.0C_R1,,0.08 mM NaCl_400.00nm_21.0-90.0C_R1,
,86,0.59960994498351,25,0.387061428849362,86,0.622396923222845,25,0.399469605715538,86,0.432994283301526,25,0.360580247596653,86,0.433784150874468,25,0.357978729662881,86,0.396810360361423,25,0.359642758659758,86,0.407128642947453,25,0.369890406228116,86,0.423443955353484,25,0.39257528183387,86,0.431021657461183,25,0.397188065028949,86,0.0278982024181654,25,0.0279947387001037,86,0.0278015164483808,25,0.0278290199838634,86,0.00994116946407865,25,0.0098512945060044,86,0.00995665110180582,25,0.00986777783129782,86,0.00997461234546461,25,0.00978979415333427,86,0.0101388703374561,25,0.00980422050795936,86,0.02753104144426,25,0.0275141537377935,86,0.0274526616471065,25,0.0273754920201398
,85,0.596359959507538,26,0.389506364862117,85,0.618382766514913,26,0.402033854698857,85,0.432798523569602,26,0.361987828873981,85,0.433151038971625,26,0.359495995437767,85,0.39695896862537,26,0.360561540721529,85,0.407001270490146,26,0.37090648751353,85,0.42362371820769,26,0.393503927571421,85,0.430889008293315,26,0.398250307032716,85,0.0278829957278987,26,0.0279575337545289,85,0.0277882096405426,26,0.0278134041111412,85,0.00993519118330611,26,0.0098637301947774,85,0.00994678987386009,26,0.00986290660012971,85,0.00997456758395112,26,0.00978006690049554,85,0.0101477890237447,26,0.00976644871241218,85,0.0275283515228641,26,0.0275117003455379,85,0.0274496637879257,26,0.0273500796853699
,84,0.593426680532373,27,0.392052735558727,84,0.614619077920898,27,0.40466199524548,84,0.432336943819557,27,0.363533625047386,84,0.432530095407692,27,0.361192258502344,84,0.39718900804604,27,0.361702134111295,84,0.40705630317724,27,0.37200355774847,84,0.423810456126205,27,0.394647154154169,84,0.430796145851461,27,0.399401320972857,84,0.0279052810223727,27,0.0279343379844143,84,0.0278015289835604,27,0.0278328573055125,84,0.00993609536146285,27,0.00986215238483627,84,0.00994348425258664,27,0.00987352633963922,84,0.00998924761173498,27,0.0097927768451484,84,0.0101804480704076,27,0.00977902309442608,84,0.0275552056617245,27,0.0275025580179894,84,0.0274880992229711,27,0.0273687400683767
,83,0.59009523058627,28,0.394846394516307,83,0.610990301851601,28,0.407396859862036,83,0.432491425411735,28,0.365268441187512,83,0.4320710517975,28,0.363893912836024,83,0.396910154165926,28,0.362836449953108,83,0.407267008641132,28,0.373078844696211,83,0.423989595739807,28,0.395928538732033,83,0.430716346937425,28,0.400655676790825,83,0.0278934902314207,28,0.0279438152678284,83,0.0277740327474768,28,0.0278503072454957,83,0.00993145184392636,28,0.00985945716824211,83,0.0099204461286451,28,0.0098706001000688,83,0.00999002791080882,28,0.0098093294405034,83,0.0101504803166875,28,0.00982230297548072,83,0.0275461173546128,28,0.0274982589358404,83,0.0274671866428133,28,0.0273912962075743
,82,0.586806922585494,29,0.39772217502783,82,0.607320775219373,29,0.410311571014872,82,0.433342229720965,29,0.366936697869975,82,0.431635760617946,29,0.366417754343304,82,0.396362336759421,29,0.36383844133324,82,0.407541033781882,29,0.374111756535816,82,0.424135350674157,29,0.396975027064923,82,0.430670410317179,29,0.401718985529816,82,0.0278748450110952,29,0.0279455288666812,82,0.0277602424051139,29,0.0278217790840895,82,0.00993654892844038,29,0.0098691858770728,82,0.00990616407581031,29,0.00985175417604102,82,0.00997192105476302,29,0.00980570339606735,82,0.0101461285549798,29,0.00980970303793794,82,0.0275231962480418,29,0.0275055432880845,82,0.0274310814252101,29,0.0273851458393139
,81,0.583439413321608,30,0.400554557541072,81,0.603719359188017,30,0.41321243639621,81,0.433541340980037,30,0.368484257231819,81,0.431184176320523,30,0.367180651874357,81,0.396028981850629,30,0.364821498427478,81,0.407722734968485,30,0.375098046256125,81,0.424310884056554,30,0.397834032848959,81,0.430647354600342,30,0.402536213738452,81,0.0278515658870908,30,0.0279250830299348,81,0.0277849633322513,30,0.0278052551243577,81,0.00993266297390031,30,0.00984982900753659,81,0.00993417624275627,30,0.00987366690427058,81,0.00994572864152299,30,0.00978816463153974,81,0.010156039704676,30,0.00978266165331825,81,0.02751445008571,30,0.0274860287405106,81,0.0274486741109231,30,0.0273750504760764
,80,0.580041428420115,31,0.403504984257225,80,0.600008533004837,31,0.416271573096193,80,0.433126527840892,31,0.370030476505829,80,0.430722261187395,31,0.368387999795708,80,0.395877309449066,31,0.365820844796937,80,0.407821914878973,31,0.376148293172401,80,0.424435214646736,31,0.399033114909686,80,0.430634919930496,31,0.403534213961298,80,0.0278333028701048,31,0.0279205314632952,80,0.0277857213643933,31,0.0277856478569784,80,0.00994415510119203,31,0.00983588810509581,80,0.00993921898222259,31,0.00987114013132832,80,0.00993371791857346,31,0.00979772091372056,80,0.0101492837605089,31,0.00976661064032554,80,0.0275107537398897,31,0.0274931837143191,80,0.0274596226097048,31,0.0273634074512935
,79,0.576460986096433,32,0.406441761035924,79,0.596225197728124,32,0.419242093323556,79,0.43235215890901,32,0.371610871338018,79,0.43022511046172,32,0.370016109992238,79,0.395715977495635,32,0.366897613201695,79,0.407874827757487,32,0.377324175660397,79,0.424495634225061,32,0.40031817768207,79,0.430581694738241,32,0.404764771119177,79,0.0278363548423338,32,0.0279476935382406,79,0.0277703468018453,32,0.0277759177197061,79,0.00993766309402992,32,0.00984457060560031,79,0.00993503647521541,32,0.00985840437260204,79,0.00994918111241575,32,0.00982704815421879,79,0.0101344962695336,32,0.00976628688283843,79,0.0275192203164235,32,0.0275043501410845,79,0.0274554436643496,32,0.0273571265380477
,78,0.573033478918984,33,0.40933758068697,78,0.592616986643861,33,0.42230984762286,78,0.431500188986341,33,0.373222306000004,78,0.429754735471577,33,0.371776859993733,78,0.395667324265134,33,0.368116971787609,78,0.407959202999781,33,0.378611404680743,78,0.424492946250227,33,0.401383253872171,78,0.430563082375269,33,0.405848965404839,78,0.0278432262818438,33,0.0279513907011149,78,0.0277309839983339,33,0.027775681493646,78,0.00994318664722958,33,0.00984580784581326,78,0.00994566517975606,33,0.00985031378080692,78,0.00995263124880535,33,0.00983258347436438,78,0.0100913015109021,33,0.00976320486293932,78,0.027522388991458,33,0.0274850363428121,78,0.0274218922955658,33,0.0273676602937759
,77,0.56956285013011,34,0.412342749136362,77,0.5890376468538,34,0.42542037053287,77,0.430629232567696,34,0.374772964610034,77,0.429210860434141,34,0.373358477118066,77,0.395530820429714,34,0.369407989441926,77,0.407952853628078,34,0.380002706674246,77,0.42438925199869,34,0.402554798001023,77,0.430482181057861,34,0.407019347825037,77,0.0278401998581871,34,0.027926847465735,77,0.0277155726263716,34,0.0278086070364069,77,0.0099387565463337,34,0.00985010808501855,77,0.00994171133534238,34,0.00986433270294301,77,0.00994922477477162,34,0.00982464244542043,77,0.0100615320931839,34,0.00980604587324777,77,0.0275170767532967,34,0.0274810005118805,77,0.0274080919312408,34,0.0273999110188238
