CSV Report,2023-11-08_RNA_melting_EDTA_HEPES_KCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,10 mM EDTA_260.00nm_90.0-21.0C,,10 mM EDTA_260.00nm_21.0-90.0C,,10 mM EDTA_260.00nm_90.0-21.0C_R1,,10 mM EDTA_260.00nm_21.0-90.0C_R1,,5 mM EDTA_260.00nm_90.0-21.0C,,5 mM EDTA_260.00nm_21.0-90.0C,,5 mM EDTA_260.00nm_90.0-21.0C_R1,,5 mM EDTA_260.00nm_21.0-90.0C_R1,,1 mM EDTA_260.00nm_90.0-21.0C,,1 mM EDTA_260.00nm_21.0-90.0C,,1 mM EDTA_260.00nm_90.0-21.0C_R1,,1 mM EDTA_260.00nm_21.0-90.0C_R1,,0 mM EDTA_260.00nm_90.0-21.0C,,0 mM EDTA_260.00nm_21.0-90.0C,,0 mM EDTA_260.00nm_90.0-21.0C_R1,,0 mM EDTA_260.00nm_21.0-90.0C_R1,,10 mM EDTA_400.00nm_90.0-21.0C,,10 mM EDTA_400.00nm_21.0-90.0C,,10 mM EDTA_400.00nm_90.0-21.0C_R1,,10 mM EDTA_400.00nm_21.0-90.0C_R1,,5 mM EDTA_400.00nm_90.0-21.0C,,5 mM EDTA_400.00nm_21.0-90.0C,,5 mM EDTA_400.00nm_90.0-21.0C_R1,,5 mM EDTA_400.00nm_21.0-90.0C_R1,,1 mM EDTA_400.00nm_90.0-21.0C,,1 mM EDTA_400.00nm_21.0-90.0C,,1 mM EDTA_400.00nm_90.0-21.0C_R1,,1 mM EDTA_400.00nm_21.0-90.0C_R1,,0 mM EDTA_400.00nm_90.0-21.0C,,0 mM EDTA_400.00nm_21.0-90.0C,,0 mM EDTA_400.00nm_90.0-21.0C_R1,,0 mM EDTA_400.00nm_21.0-90.0C_R1,
,86,0.369497767882788,25,0.296424925442973,86,0.383254303930464,25,0.307086525657516,86,0.339567851765159,25,0.281566446172258,86,0.338646791974502,25,0.280981948594819,86,0.389998649898157,25,0.336776769973936,86,0.405663060177836,25,0.349260247295325,86,0.423380846022271,25,0.370889726513144,86,0.439053929913558,25,0.380150389275149,86,0.025828351674759,25,0.0255394567967984,86,0.0255859556898235,25,0.0251754616477359,86,0.00624737261671905,25,0.00659843875457204,86,0.00623410786067665,25,0.00645729471487278,86,0.0105631005153279,25,0.0107102276474704,86,0.0104441061957797,25,0.0104163721502456,86,0.027851576218011,25,0.0278891403091949,86,0.0277267949019261,25,0.0276365186378587
,85,0.369213386786749,26,0.297619010729862,85,0.382210618896315,26,0.308242061339148,85,0.338989479574826,26,0.282765805732471,85,0.337888950884501,26,0.282091177831628,85,0.389778191780652,26,0.33791831128799,85,0.40511717507967,26,0.350538545865096,85,0.423526277975378,26,0.372112199554031,85,0.438581339569406,26,0.381473912476486,85,0.025826323494747,26,0.0255246982537907,85,0.0255675421848333,26,0.0251586022939052,85,0.00624124342519266,26,0.00658331498760645,85,0.00622866814735311,26,0.00645213773987743,85,0.0105567115574313,26,0.0107103937689575,85,0.0104342625740294,26,0.0103852396600506,85,0.0278481219787374,26,0.027885594161781,85,0.027735350340584,26,0.0276297956445187
,84,0.368110117567626,27,0.299590263044407,84,0.381556785121891,27,0.309511359520482,84,0.338406400229002,27,0.283982203745251,84,0.337802314480618,27,0.283220162606318,84,0.389219495907147,27,0.33912412359698,84,0.40470460041088,27,0.351786731348219,84,0.423131950668172,27,0.373371593612702,84,0.438174008691338,27,0.382766423957625,84,0.0258474024533173,27,0.0255188578608221,84,0.0255507872644046,27,0.025164141869371,84,0.0062539124255361,27,0.00659296877135423,84,0.0062246970146548,27,0.00645342006604425,84,0.0105456874429992,27,0.0106946426298234,84,0.0104223081848352,27,0.0103894879902016,84,0.0278581258389569,27,0.0278896145027321,84,0.027748974270957,27,0.0276307758285341
,83,0.367183935357264,28,0.301348687183988,83,0.380937477946468,28,0.311550388603572,83,0.337776145405146,28,0.285179025262626,83,0.337492747938285,28,0.284386709538727,83,0.388863810647219,28,0.340335319869099,83,0.404325415444665,28,0.353042103912848,83,0.422687133491227,28,0.374590661854258,83,0.437902038033206,28,0.384102775952693,83,0.0258402949723833,28,0.0254968828491287,83,0.0255448786834105,28,0.025175146929155,83,0.00626762994474363,28,0.00658712080324066,83,0.00621636612626636,28,0.00645796497125774,83,0.0105385219790012,28,0.0106770431893623,83,0.0104381964097824,28,0.0104208182092012,83,0.0278694494575134,28,0.027858673088223,83,0.0277316865611632,28,0.0276321956153039
,82,0.366422098263168,29,0.302393406180622,82,0.380191279093853,29,0.313379077754433,82,0.337059786480757,29,0.286365885324049,82,0.336925853697707,29,0.285490660891163,82,0.388651300852341,29,0.341486141504993,82,0.404002732243413,29,0.354235095194782,82,0.422361201601842,29,0.375823995910635,82,0.437676825226796,29,0.385432641504612,82,0.0258471280577616,29,0.0255115431372085,82,0.0255264282480789,29,0.0251784390733718,82,0.00624136512666191,29,0.00658973055363325,82,0.00619253569881785,29,0.00644340267363115,82,0.0105504519183212,29,0.0106782419630432,82,0.0104304827416949,29,0.0104179034797209,82,0.0278540096877733,29,0.0278430264955254,82,0.0277049673139962,29,0.0276465449241715
,81,0.365671932784177,30,0.303643834559969,81,0.379453091893591,30,0.314211117144978,81,0.336357051067355,30,0.287574482451653,81,0.336311356068762,30,0.286580974852597,81,0.388422834863073,30,0.342692573254569,81,0.403719975448036,30,0.355430939050954,81,0.422258104436962,30,0.377098667078231,81,0.437408441889809,30,0.38682477562331,81,0.0258400997113108,30,0.0255445967395347,81,0.0255203645527559,30,0.0251631471325417,81,0.00623670777646561,30,0.00660036223050112,81,0.00621000704384751,30,0.00642744452480376,81,0.01055036009463,30,0.0106936773321662,81,0.0104238560237415,30,0.0103859736044543,81,0.0278539615618802,30,0.0278600749573768,81,0.0277087133249199,30,0.0276407700595221
,80,0.36502234210929,31,0.304976632320339,80,0.378656536747474,31,0.315457151392385,80,0.335648604390732,31,0.28867588802041,80,0.335715639454032,31,0.287747266170554,80,0.388162961063927,31,0.343894039689244,80,0.403423158662092,31,0.356675172601933,80,0.422129699284961,31,0.378359772828616,80,0.437095707090105,31,0.388158181604065,80,0.0258571573224136,31,0.0255281702080425,80,0.025528919996356,31,0.0251667486370338,80,0.00622822316352976,31,0.00659046203909267,80,0.00622939793267442,31,0.00641868660214511,80,0.0105690194400873,31,0.0106979867171233,80,0.0104320824071093,31,0.0103834745016877,80,0.027868958924394,31,0.0278696611417741,80,0.0277195658980276,31,0.0276404496389106
,79,0.364446017506422,32,0.30646514518609,79,0.377754420818377,32,0.317042141340203,79,0.335109297961606,32,0.289803509354481,79,0.335128111917477,32,0.288938027837052,79,0.387914548727461,32,0.345107972846278,79,0.403057656334583,32,0.357898443188228,79,0.421821098220437,32,0.379638352932055,79,0.436727752718089,32,0.389495056953992,79,0.0258124710863884,32,0.0255200006865522,79,0.0255113521052062,32,0.0251727751559065,79,0.00621670296139888,32,0.00658725284823382,79,0.00621643495887166,32,0.00641915976274925,79,0.0105788941475934,32,0.0106902106449196,79,0.0104146021567644,32,0.0103903494786211,79,0.0278727579191702,32,0.0278557939584684,79,0.0277073879969741,32,0.0276490797790805
,78,0.363780174726827,33,0.307757643480573,78,0.376788311810385,33,0.318317888288056,78,0.334600879817792,33,0.290982556490353,78,0.334541785745453,33,0.290089617469985,78,0.387644737300752,33,0.346299027683103,78,0.402662785897675,33,0.359154351077832,78,0.421639920040667,33,0.380933209259463,78,0.436357094505919,33,0.390877399648853,78,0.0258274007198436,33,0.0255194611530326,78,0.0255086757743407,33,0.0251812188880413,78,0.00621489901352496,33,0.00659386438952175,78,0.00622286498703469,33,0.00641719836031784,78,0.0106009186500298,33,0.0106968153835863,78,0.0104102543903971,33,0.0103795961705909,78,0.0278842823962343,33,0.0278498775805049,78,0.0277109792174509,33,0.0276462113285632
,77,0.363407520715268,34,0.308896463572585,77,0.375910749373738,34,0.319644191149703,77,0.334057904367035,34,0.292200182793781,77,0.333961634650098,34,0.291311659494322,77,0.387359835447162,34,0.34755434160809,77,0.402315711486227,34,0.360528578541062,77,0.421405304097642,34,0.38223297188256,77,0.43606497374814,34,0.392320134450511,77,0.0258307385159198,34,0.0255047986331547,77,0.0255264857632497,34,0.0251792217481057,77,0.00621076258200838,34,0.00658134426084447,77,0.00623107265637842,34,0.00639484829153095,77,0.0106352687747925,34,0.0106846677856087,77,0.0104248409338984,34,0.0103761573113535,77,0.0278743318860452,34,0.0278624492158749,77,0.027728474948399,34,0.0276242168364711
