CSV Report,2023-11-20_RNA_melting_MgCl2_NaCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,500 mM MgCl2_260.00nm_90.0-21.0C,,500 mM MgCl2_260.00nm_21.0-90.0C,,500 mM MgCl2_260.00nm_90.0-21.0C_R1,,500 mM MgCl2_260.00nm_21.0-90.0C_R1,,100 mM MgCl2_260.00nm_90.0-21.0C,,100 mM MgCl2_260.00nm_21.0-90.0C,,100 mM MgCl2_260.00nm_90.0-21.0C_R1,,100 mM MgCl2_260.00nm_21.0-90.0C_R1,,25 mM MgCl2_260.00nm_90.0-21.0C,,25 mM MgCl2_260.00nm_21.0-90.0C,,25 mM MgCl2_260.00nm_90.0-21.0C_R1,,25 mM MgCl2_260.00nm_21.0-90.0C_R1,,10 mM MgCl2_260.00nm_90.0-21.0C,,10 mM MgCl2_260.00nm_21.0-90.0C,,10 mM MgCl2_260.00nm_90.0-21.0C_R1,,10 mM MgCl2_260.00nm_21.0-90.0C_R1,,500 mM MgCl2_400.00nm_90.0-21.0C,,500 mM MgCl2_400.00nm_21.0-90.0C,,500 mM MgCl2_400.00nm_90.0-21.0C_R1,,500 mM MgCl2_400.00nm_21.0-90.0C_R1,,100 mM MgCl2_400.00nm_90.0-21.0C,,100 mM MgCl2_400.00nm_21.0-90.0C,,100 mM MgCl2_400.00nm_90.0-21.0C_R1,,100 mM MgCl2_400.00nm_21.0-90.0C_R1,,25 mM MgCl2_400.00nm_90.0-21.0C,,25 mM MgCl2_400.00nm_21.0-90.0C,,25 mM MgCl2_400.00nm_90.0-21.0C_R1,,25 mM MgCl2_400.00nm_21.0-90.0C_R1,,10 mM MgCl2_400.00nm_90.0-21.0C,,10 mM MgCl2_400.00nm_21.0-90.0C,,10 mM MgCl2_400.00nm_90.0-21.0C_R1,,10 mM MgCl2_400.00nm_21.0-90.0C_R1,
,86,0.310210441102891,25,0.284532014716922,86,0.345115355184462,25,0.32844976392795,86,0.295140977688602,25,0.253973371239355,86,0.317174999530655,25,0.274589640588363,86,0.330218199579288,25,0.285005971482418,86,0.349122955950108,25,0.303036766353921,86,0.340592583636382,25,0.288108633376637,86,0.356001665697684,25,0.303770502766152,86,0.0253597295230312,25,0.0242366025061846,86,0.0243373631092145,25,0.0240299518020975,86,0.0120916565199859,25,0.00801595925363779,86,0.00801257187085332,25,0.00802520277576859,86,0.0209549366508161,25,0.0223924071560335,86,0.0214009354051692,25,0.0221073239129482,86,0.0260436982483723,25,0.0260017957144115,86,0.0259862739259053,25,0.0259098081569387
,85,0.311249330297712,26,0.285122180173617,85,0.345363587144503,26,0.328940145418319,85,0.294596921029657,26,0.254766190995784,85,0.316882248071283,26,0.275388170881615,85,0.330100920302929,26,0.285415411124778,85,0.348745199478023,26,0.303764225809601,85,0.339961052852311,26,0.288614443461904,85,0.355492458346796,26,0.304352488595153,85,0.0248994269127487,26,0.0242530217104326,85,0.0243515601847615,26,0.0240314598992527,85,0.0106410631693165,26,0.0080301008384066,85,0.00801929918376789,26,0.00802926932831083,85,0.0209780890361195,26,0.0223512870061702,85,0.0214341027480663,26,0.0220852587756189,85,0.0260385631705608,26,0.0260184604749771,85,0.0260048171555856,26,0.0259218144055753
,84,0.312125974549012,27,0.285710223493469,84,0.345616452477196,27,0.329428871195792,84,0.294124601634071,27,0.255463798574328,84,0.316603377524501,27,0.276097936736222,84,0.32980429766482,27,0.285580531156981,84,0.34833223382775,27,0.304242408488266,84,0.339221401287903,27,0.288935282644872,84,0.354912730612355,27,0.304829792596647,84,0.0247105988514754,27,0.0242693291613191,84,0.0243981238145548,27,0.0240060180991789,84,0.00967490962901033,27,0.00801777179222843,84,0.0080127763439644,27,0.00803111073531565,84,0.0209860814112168,27,0.022319172283133,84,0.0214562879908774,27,0.0220409485070408,84,0.0260409098459481,27,0.0260469326986608,84,0.0260205937314602,27,0.0259106227623273
,83,0.312888792060902,28,0.286335607089728,83,0.345820325768505,28,0.329884506681495,83,0.293880581638023,28,0.255896475304018,83,0.316243962210219,28,0.276580474260731,83,0.329115871440357,28,0.285827899001275,83,0.347823885992128,28,0.304533153181978,83,0.338569085003298,28,0.289223856041935,83,0.354309066088369,28,0.305289512125211,83,0.0247346803574916,28,0.0242975602987691,83,0.0243895233877975,28,0.0239914888125476,83,0.00891238976479777,28,0.00800850540637514,83,0.00803343807551858,28,0.00801083492112593,83,0.0210018108094499,28,0.0222755750204771,83,0.0214512904715242,28,0.0219486239421693,83,0.0260598163073238,28,0.0260398283523927,83,0.0260124168415027,28,0.0258971987389995
,82,0.313339290776096,29,0.286925894490639,82,0.345961314964729,29,0.330244734267262,82,0.293909832734643,29,0.256201362879722,82,0.31583676710606,29,0.277164355476977,82,0.328526814684132,29,0.286331354728065,82,0.347263659240112,29,0.305142490133916,82,0.338010256359366,29,0.289719412682561,82,0.353593297663208,29,0.305923825279538,82,0.0247687843720294,29,0.0242765973362259,82,0.0243857847990463,29,0.0239787297387074,82,0.00852982070853216,29,0.00800403470699845,82,0.00805221919684487,29,0.00801214838819083,82,0.0210487304034519,29,0.0222023907329222,82,0.021464699165333,29,0.021895472975154,82,0.0260817772405588,29,0.0260094598701529,82,0.0260307562977889,29,0.0258833937573416
,81,0.313960382749271,30,0.287479611904887,81,0.346048751770463,30,0.330622383369324,81,0.294078112288776,30,0.256814398572532,81,0.315503124323546,30,0.278117777823986,81,0.327914148441915,30,0.286786851596756,81,0.346729149840396,30,0.305913449383535,81,0.337353643469398,30,0.290246959057645,81,0.352893948111713,30,0.306583277123662,81,0.0246934909337802,30,0.0242111359188657,81,0.0243807869494714,30,0.0239677699844051,81,0.00829777433237835,30,0.00800116282081429,81,0.00805921490748078,30,0.00802119437711756,81,0.0210431586389941,30,0.022151396008715,81,0.0214745556508668,30,0.0218685984090537,81,0.0260791948668254,30,0.0260090659858758,81,0.0260291524116331,30,0.0258765700705566
,80,0.314105046672962,31,0.288135630552297,80,0.346064848231588,31,0.331040320586122,80,0.293895941774081,31,0.257571674803293,80,0.31508721347065,31,0.278907724638598,80,0.327247579846552,31,0.287177763173757,80,0.346087940665378,31,0.306444894177019,80,0.336620967745626,31,0.290644370518237,80,0.352175450002124,31,0.307154601148025,80,0.0246889514165626,31,0.0242213934839394,80,0.0243573223420633,31,0.0239515249548322,80,0.00814421320654851,31,0.00798760493661673,80,0.00805514701452172,31,0.00801251654963784,80,0.0210379516600537,31,0.0221386492672557,80,0.0214586929821874,31,0.0218423849712887,80,0.0260761662402527,31,0.0260210790422897,80,0.0259965794770049,31,0.0258755932630277
,79,0.314220274607411,32,0.288831524582581,79,0.346105809923675,32,0.331490067941987,79,0.293434096990843,32,0.258046109257244,79,0.314536930147774,32,0.279508111308562,79,0.326483743360673,32,0.287673746751771,79,0.345379006369912,32,0.307074387883165,79,0.335764060033691,32,0.291116767435039,79,0.351332056432328,32,0.307820467548902,79,0.0247092199354376,32,0.024247372415895,79,0.0243421774929491,32,0.0239693031067366,79,0.00805952448632086,32,0.00799237140277224,79,0.00804082568481452,32,0.00801336191124065,79,0.0210468812982551,32,0.0220904690722481,79,0.0214471743688212,32,0.0218343257937727,79,0.0260671970629521,32,0.0260102432214797,79,0.025985868648586,32,0.0259009454794446
,78,0.314245514644943,33,0.289523405992852,78,0.346091366338433,33,0.331977597849072,78,0.292940650060387,33,0.258641775235163,78,0.313963648841331,33,0.280278370109352,78,0.325680251179559,33,0.288153635922649,78,0.344672569357814,33,0.30781594454396,78,0.334736249723392,33,0.291670785281992,78,0.350450847333073,33,0.308493859038775,78,0.0246867118978334,33,0.024238064516469,78,0.0243370698326455,33,0.0239820968868835,78,0.00799788390370406,33,0.00799655161297218,78,0.00802972648738702,33,0.00799214709770575,78,0.0210507806950828,33,0.0220479770212161,78,0.0214591131885643,33,0.0218045778999893,78,0.0260404422420198,33,0.0260030591943553,78,0.0260022596435285,33,0.025901022622718
,77,0.314150443624829,34,0.290243608374479,77,0.346001221487158,34,0.332377945342554,77,0.292300730774843,34,0.259415320996512,77,0.313373595702766,34,0.281122186216473,77,0.324724404646426,34,0.288664794782144,77,0.343871275111302,34,0.308449290804965,77,0.333670504962868,34,0.292181431793285,77,0.349485450275992,34,0.309116517698085,77,0.0246963679011727,34,0.0242393037668961,77,0.0243489796826839,34,0.0239722130165627,77,0.00795241965611231,34,0.00797616262347555,77,0.0080504361952438,34,0.00797816467892698,77,0.021072010470373,34,0.0220214063574968,77,0.0214791087183892,34,0.0217634271118924,77,0.026053368620572,34,0.0259914325016769,77,0.0260098847018848,34,0.0258866884741826
,76,0.313980219246117,35,0.290963786592633,76,0.345944458667469,35,0.332853335647871,76,0.291595824298825,35,0.259984469204265,76,0.312744074774046,35,0.281875285448469,76,0.323692072849164,35,0.289219646776066,76,0.34307897744729,35,0.30922790870318,76,0.332535378701286,35,0.292766022009524,76,0.348455233775406,35,0.30983290481254,76,0.0247273457073478,35,0.0242666113926997,76,0.0243614599727481,35,0.023978395783369,76,0.00798463076415233,35,0.00799640390929247,76,0.00807467661784666,35,0.008002263841908,76,0.021125989386404,35,0.0220089582735438,76,0.021487268513864,35,0.0217489552893343,76,0.0260932173920679,35,0.0260013746460207,76,0.0260153654962367,35,0.0258904450108441
