KL 1.1 1
2/14/2023 6:45 AM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.30333	
//WLCalib: 261S 	0.17000	
//WLCalib: 362S 	-0.17000	
//WLCalib: 484S 	-0.22000	
//WLCalib: 529S 	0.26000	
//WLCalib: 823S 	-0.40000	
//QSpecEnd: 
342.5	-0.002
343.0	-0.001
343.5	-0.002
344.0	-0.001
344.5	-0.001
345.0	-0.002
345.5	-0.002
346.0	-0.001
346.5	-0.002
347.0	-0.001
347.5	-0.002
348.0	-0.002
348.5	-0.002
349.0	-0.002
349.5	-0.003
350.0	-0.004


TL 2.1 1
2/14/2023 6:48 AM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.30333	
//WLCalib: 261S 	0.17000	
//WLCalib: 362S 	-0.17000	
//WLCalib: 484S 	-0.22000	
//WLCalib: 529S 	0.26000	
//WLCalib: 823S 	-0.40000	
//QSpecEnd: 
220.0	0.444
220.5	0.425
221.0	0.402
221.5	0.385
222.0	0.366
222.5	0.348
223.0	0.334
223.5	0.318
224.0	0.301
224.5	0.284
225.0	0.272
225.5	0.263
226.0	0.254
226.5	0.249
227.0	0.244
227.5	0.242
228.0	0.240
228.5	0.239
229.0	0.239
229.5	0.239
230.0	0.240
230.5	0.240
231.0	0.241
231.5	0.243
232.0	0.247
232.5	0.251
233.0	0.255
233.5	0.260
234.0	0.266
234.5	0.273
235.0	0.281
235.5	0.288
236.0	0.297
236.5	0.307
237.0	0.317
237.5	0.330
238.0	0.343
238.5	0.356
239.0	0.369
239.5	0.382
240.0	0.394
240.5	0.407
241.0	0.419
241.5	0.431
242.0	0.442
242.5	0.455
243.0	0.468
243.5	0.481
244.0	0.493
244.5	0.506
245.0	0.520
245.5	0.533
246.0	0.546
246.5	0.559
247.0	0.573
247.5	0.585
248.0	0.597
248.5	0.610
249.0	0.621
249.5	0.630
250.0	0.641
250.5	0.651
251.0	0.663
251.5	0.676
252.0	0.688
252.5	0.697
253.0	0.707
253.5	0.715
254.0	0.724
254.5	0.729
255.0	0.736
255.5	0.742
256.0	0.747
256.5	0.748
257.0	0.748
257.5	0.748
258.0	0.747
258.5	0.747
259.0	0.746
259.5	0.744
260.0	0.742
260.5	0.740
261.0	0.738
261.5	0.734
262.0	0.729
262.5	0.724
263.0	0.719
263.5	0.712
264.0	0.704
264.5	0.698
265.0	0.688
265.5	0.677
266.0	0.665
266.5	0.652
267.0	0.640
267.5	0.628
268.0	0.617
268.5	0.604
269.0	0.591
269.5	0.579
270.0	0.567
270.5	0.554
271.0	0.543
271.5	0.530
272.0	0.517
272.5	0.504
273.0	0.492
273.5	0.480
274.0	0.467
274.5	0.454
275.0	0.442
275.5	0.428
276.0	0.414
276.5	0.399
277.0	0.385
277.5	0.371
278.0	0.358
278.5	0.344
279.0	0.330
279.5	0.318
280.0	0.306
280.5	0.294
281.0	0.282
281.5	0.271
282.0	0.261
282.5	0.251
283.0	0.241
283.5	0.231
284.0	0.223
284.5	0.213
285.0	0.205
285.5	0.197
286.0	0.188
286.5	0.180
287.0	0.170
287.5	0.162
288.0	0.153
288.5	0.145
289.0	0.138
289.5	0.130
290.0	0.122
290.5	0.114
291.0	0.106
291.5	0.099
292.0	0.093
292.5	0.087
293.0	0.082
293.5	0.075
294.0	0.070
294.5	0.064
295.0	0.060
295.5	0.056
296.0	0.053
296.5	0.050
297.0	0.047
297.5	0.045
298.0	0.043
298.5	0.040
299.0	0.037
299.5	0.034
300.0	0.032
300.5	0.029
301.0	0.029
301.5	0.027
302.0	0.026
302.5	0.024
303.0	0.023
303.5	0.022
304.0	0.019
304.5	0.017
305.0	0.015
305.5	0.013
306.0	0.014
306.5	0.015
307.0	0.014
307.5	0.013
308.0	0.013
308.5	0.013
309.0	0.013
309.5	0.014
310.0	0.013
310.5	0.014
311.0	0.014
311.5	0.014
312.0	0.014
312.5	0.015
313.0	0.015
313.5	0.015
314.0	0.014
314.5	0.014
315.0	0.014
315.5	0.014
316.0	0.014
316.5	0.014
317.0	0.014
317.5	0.014
318.0	0.013
318.5	0.012
319.0	0.012
319.5	0.013
320.0	0.013
320.5	0.013
321.0	0.013
321.5	0.013
322.0	0.014
322.5	0.015
323.0	0.014
323.5	0.015
324.0	0.015
324.5	0.014
325.0	0.013
325.5	0.013
326.0	0.013
326.5	0.011
327.0	0.011
327.5	0.010
328.0	0.010
328.5	0.010
329.0	0.010
329.5	0.009
330.0	0.009
330.5	0.008
331.0	0.007
331.5	0.005
332.0	0.003
332.5	0.004
333.0	0.004
333.5	0.004
334.0	0.006
334.5	0.007
335.0	0.005
335.5	0.005
336.0	0.005
336.5	0.003
337.0	0.003
337.5	0.002
338.0	0.002
338.5	0.000
339.0	0.000
339.5	0.001
340.0	0.000
340.5	-0.002
341.0	-0.002
341.5	-0.003
342.0	-0.004
342.5	-0.003
343.0	-0.002
343.5	-0.004
344.0	-0.002
344.5	-0.003
345.0	-0.003
345.5	-0.003
346.0	-0.003
346.5	-0.004
347.0	-0.004
347.5	-0.005
348.0	-0.004
348.5	-0.005
349.0	-0.006
349.5	-0.007
350.0	-0.007


TL 2.1 2
2/14/2023 6:49 AM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.30333	
//WLCalib: 261S 	0.17000	
//WLCalib: 362S 	-0.17000	
//WLCalib: 484S 	-0.22000	
//WLCalib: 529S 	0.26000	
//WLCalib: 823S 	-0.40000	
//QSpecEnd: 
220.0	0.414
220.5	0.394
221.0	0.376
221.5	0.360
222.0	0.342
222.5	0.325
223.0	0.310
223.5	0.298
224.0	0.282
224.5	0.267
225.0	0.254
225.5	0.247
226.0	0.239
226.5	0.235
227.0	0.232
227.5	0.229
228.0	0.227
228.5	0.226
229.0	0.226
229.5	0.226
230.0	0.227
230.5	0.227
231.0	0.228
231.5	0.229
232.0	0.233
232.5	0.237
233.0	0.241
233.5	0.245
234.0	0.251
234.5	0.258
235.0	0.265
235.5	0.274
236.0	0.284
236.5	0.292
237.0	0.304
237.5	0.315
238.0	0.329
238.5	0.342
239.0	0.355
239.5	0.369
240.0	0.383
240.5	0.395
241.0	0.406
241.5	0.418
242.0	0.430
242.5	0.444
243.0	0.458
243.5	0.471
244.0	0.485
244.5	0.498
245.0	0.512
245.5	0.524
246.0	0.538
246.5	0.552
247.0	0.565
247.5	0.578
248.0	0.591
248.5	0.604
249.0	0.616
249.5	0.626
250.0	0.636
250.5	0.646
251.0	0.658
251.5	0.671
252.0	0.684
252.5	0.696
253.0	0.707
253.5	0.715
254.0	0.724
254.5	0.731
255.0	0.738
255.5	0.743
256.0	0.748
256.5	0.750
257.0	0.748
257.5	0.748
258.0	0.747
258.5	0.745
259.0	0.744
259.5	0.742
260.0	0.740
260.5	0.737
261.0	0.735
261.5	0.731
262.0	0.726
262.5	0.720
263.0	0.714
263.5	0.706
264.0	0.698
264.5	0.691
265.0	0.682
265.5	0.670
266.0	0.658
266.5	0.646
267.0	0.633
267.5	0.620
268.0	0.606
268.5	0.593
269.0	0.579
269.5	0.568
270.0	0.557
270.5	0.545
271.0	0.532
271.5	0.519
272.0	0.506
272.5	0.494
273.0	0.481
273.5	0.468
274.0	0.455
274.5	0.444
275.0	0.431
275.5	0.417
276.0	0.404
276.5	0.389
277.0	0.375
277.5	0.359
278.0	0.346
278.5	0.333
279.0	0.318
279.5	0.304
280.0	0.291
280.5	0.279
281.0	0.267
281.5	0.255
282.0	0.243
282.5	0.232
283.0	0.221
283.5	0.210
284.0	0.201
284.5	0.192
285.0	0.184
285.5	0.176
286.0	0.167
286.5	0.160
287.0	0.151
287.5	0.142
288.0	0.133
288.5	0.126
289.0	0.119
289.5	0.113
290.0	0.106
290.5	0.098
291.0	0.091
291.5	0.084
292.0	0.077
292.5	0.071
293.0	0.064
293.5	0.058
294.0	0.052
294.5	0.047
295.0	0.042
295.5	0.038
296.0	0.036
296.5	0.032
297.0	0.029
297.5	0.027
298.0	0.026
298.5	0.024
299.0	0.021
299.5	0.019
300.0	0.017
300.5	0.016
301.0	0.015
301.5	0.014
302.0	0.014
302.5	0.014
303.0	0.013
303.5	0.011
304.0	0.009
304.5	0.008
305.0	0.007
305.5	0.005
306.0	0.005
306.5	0.007
307.0	0.006
307.5	0.006
308.0	0.004
308.5	0.005
309.0	0.005
309.5	0.005
310.0	0.005
310.5	0.006
311.0	0.006
311.5	0.007
312.0	0.007
312.5	0.007
313.0	0.009
313.5	0.009
314.0	0.008
314.5	0.008
315.0	0.008
315.5	0.010
316.0	0.009
316.5	0.009
317.0	0.009
317.5	0.009
318.0	0.009
318.5	0.008
319.0	0.009
319.5	0.009
320.0	0.010
320.5	0.010
321.0	0.010
321.5	0.009
322.0	0.010
322.5	0.011
323.0	0.010
323.5	0.010
324.0	0.010
324.5	0.009
325.0	0.009
325.5	0.009
326.0	0.009
326.5	0.007
327.0	0.008
327.5	0.007
328.0	0.006
328.5	0.006
329.0	0.006
329.5	0.006
330.0	0.006
330.5	0.005
331.0	0.004
331.5	0.003
332.0	0.003
332.5	0.004
333.0	0.003
333.5	0.002
334.0	0.004
334.5	0.005
335.0	0.004
335.5	0.004
336.0	0.003
336.5	0.003
337.0	0.003
337.5	0.001
338.0	0.002
338.5	0.002
339.0	0.002
339.5	0.002
340.0	0.000
340.5	0.000
341.0	0.001
341.5	0.001
342.0	0.000
342.5	0.000
343.0	0.000
343.5	-0.001
344.0	0.001
344.5	0.000
345.0	0.000
345.5	0.000
346.0	-0.001
346.5	-0.001
347.0	0.000
347.5	0.000
348.0	-0.001
348.5	-0.002
349.0	-0.003
349.5	-0.003
350.0	-0.003


TL 2.1 3
2/14/2023 6:49 AM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.30333	
//WLCalib: 261S 	0.17000	
//WLCalib: 362S 	-0.17000	
//WLCalib: 484S 	-0.22000	
//WLCalib: 529S 	0.26000	
//WLCalib: 823S 	-0.40000	
//QSpecEnd: 
220.0	0.425
220.5	0.407
221.0	0.387
221.5	0.372
222.0	0.356
222.5	0.340
223.0	0.328
223.5	0.314
224.0	0.296
224.5	0.281
225.0	0.267
225.5	0.257
226.0	0.248
226.5	0.242
227.0	0.239
227.5	0.237
228.0	0.235
228.5	0.233
229.0	0.232
229.5	0.231
230.0	0.232
230.5	0.232
231.0	0.232
231.5	0.235
232.0	0.239
232.5	0.243
233.0	0.248
233.5	0.253
234.0	0.259
234.5	0.266
235.0	0.273
235.5	0.281
236.0	0.291
236.5	0.301
237.0	0.312
237.5	0.323
238.0	0.336
238.5	0.348
239.0	0.362
239.5	0.375
240.0	0.388
240.5	0.400
241.0	0.411
241.5	0.424
242.0	0.435
242.5	0.449
243.0	0.462
243.5	0.475
244.0	0.488
244.5	0.502
245.0	0.516
245.5	0.528
246.0	0.542
246.5	0.555
247.0	0.569
247.5	0.581
248.0	0.595
248.5	0.607
249.0	0.619
249.5	0.629
250.0	0.638
250.5	0.650
251.0	0.663
251.5	0.676
252.0	0.689
252.5	0.700
253.0	0.712
253.5	0.722
254.0	0.731
254.5	0.738
255.0	0.745
255.5	0.750
256.0	0.754
256.5	0.756
257.0	0.754
257.5	0.754
258.0	0.753
258.5	0.752
259.0	0.752
259.5	0.749
260.0	0.746
260.5	0.743
261.0	0.740
261.5	0.736
262.0	0.731
262.5	0.726
263.0	0.720
263.5	0.712
264.0	0.703
264.5	0.698
265.0	0.689
265.5	0.676
266.0	0.664
266.5	0.651
267.0	0.638
267.5	0.625
268.0	0.613
268.5	0.601
269.0	0.588
269.5	0.575
270.0	0.562
270.5	0.549
271.0	0.538
271.5	0.527
272.0	0.514
272.5	0.501
273.0	0.490
273.5	0.477
274.0	0.463
274.5	0.452
275.0	0.439
275.5	0.426
276.0	0.412
276.5	0.397
277.0	0.385
277.5	0.370
278.0	0.357
278.5	0.343
279.0	0.327
279.5	0.313
280.0	0.301
280.5	0.288
281.0	0.276
281.5	0.264
282.0	0.252
282.5	0.242
283.0	0.231
283.5	0.221
284.0	0.212
284.5	0.203
285.0	0.195
285.5	0.187
286.0	0.178
286.5	0.170
287.0	0.161
287.5	0.151
288.0	0.143
288.5	0.135
289.0	0.128
289.5	0.122
290.0	0.114
290.5	0.106
291.0	0.098
291.5	0.090
292.0	0.083
292.5	0.077
293.0	0.070
293.5	0.065
294.0	0.059
294.5	0.056
295.0	0.052
295.5	0.048
296.0	0.045
296.5	0.042
297.0	0.039
297.5	0.036
298.0	0.035
298.5	0.032
299.0	0.030
299.5	0.029
300.0	0.027
300.5	0.025
301.0	0.023
301.5	0.022
302.0	0.021
302.5	0.021
303.0	0.020
303.5	0.019
304.0	0.016
304.5	0.015
305.0	0.013
305.5	0.011
306.0	0.012
306.5	0.012
307.0	0.011
307.5	0.010
308.0	0.009
308.5	0.009
309.0	0.008
309.5	0.008
310.0	0.007
310.5	0.007
311.0	0.008
311.5	0.008
312.0	0.008
312.5	0.009
313.0	0.010
313.5	0.010
314.0	0.009
314.5	0.010
315.0	0.009
315.5	0.010
316.0	0.010
316.5	0.010
317.0	0.010
317.5	0.010
318.0	0.008
318.5	0.007
319.0	0.008
319.5	0.008
320.0	0.010
320.5	0.009
321.0	0.008
321.5	0.007
322.0	0.007
322.5	0.010
323.0	0.009
323.5	0.009
324.0	0.009
324.5	0.009
325.0	0.009
325.5	0.008
326.0	0.009
326.5	0.008
327.0	0.008
327.5	0.005
328.0	0.006
328.5	0.007
329.0	0.007
329.5	0.008
330.0	0.006
330.5	0.005
331.0	0.004
331.5	0.002
332.0	0.001
332.5	0.002
333.0	0.002
333.5	0.001
334.0	0.002
334.5	0.003
335.0	0.003
335.5	0.003
336.0	0.002
336.5	0.000
337.0	-0.001
337.5	-0.002
338.0	-0.001
338.5	-0.001
339.0	0.000
339.5	0.000
340.0	0.000
340.5	-0.001
341.0	-0.001
341.5	-0.001
342.0	-0.003
342.5	-0.003
343.0	-0.003
343.5	-0.003
344.0	-0.002
344.5	-0.003
345.0	-0.003
345.5	-0.002
346.0	-0.003
346.5	-0.004
347.0	-0.004
347.5	-0.004
348.0	-0.004
348.5	-0.004
349.0	-0.005
349.5	-0.005
350.0	-0.006


TL 2.2 1
2/14/2023 6:50 AM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.30333	
//WLCalib: 261S 	0.17000	
//WLCalib: 362S 	-0.17000	
//WLCalib: 484S 	-0.22000	
//WLCalib: 529S 	0.26000	
//WLCalib: 823S 	-0.40000	
//QSpecEnd: 
220.0	0.485
220.5	0.467
221.0	0.445
221.5	0.428
222.0	0.406
222.5	0.387
223.0	0.369
223.5	0.351
224.0	0.333
224.5	0.315
225.0	0.299
225.5	0.287
226.0	0.277
226.5	0.269
227.0	0.264
227.5	0.259
228.0	0.255
228.5	0.253
229.0	0.251
229.5	0.249
230.0	0.248
230.5	0.247
231.0	0.247
231.5	0.246
232.0	0.247
232.5	0.249
233.0	0.251
233.5	0.254
234.0	0.258
234.5	0.261
235.0	0.267
235.5	0.273
236.0	0.280
236.5	0.287
237.0	0.297
237.5	0.307
238.0	0.319
238.5	0.331
239.0	0.344
239.5	0.356
240.0	0.369
240.5	0.381
241.0	0.392
241.5	0.403
242.0	0.414
242.5	0.427
243.0	0.440
243.5	0.452
244.0	0.464
244.5	0.476
245.0	0.489
245.5	0.500
246.0	0.512
246.5	0.524
247.0	0.537
247.5	0.549
248.0	0.561
248.5	0.572
249.0	0.584
249.5	0.593
250.0	0.603
250.5	0.613
251.0	0.624
251.5	0.637
252.0	0.649
252.5	0.660
253.0	0.673
253.5	0.682
254.0	0.692
254.5	0.699
255.0	0.706
255.5	0.712
256.0	0.719
256.5	0.722
257.0	0.724
257.5	0.727
258.0	0.728
258.5	0.729
259.0	0.729
259.5	0.728
260.0	0.726
260.5	0.724
261.0	0.723
261.5	0.721
262.0	0.718
262.5	0.714
263.0	0.710
263.5	0.703
264.0	0.696
264.5	0.691
265.0	0.682
265.5	0.672
266.0	0.660
266.5	0.649
267.0	0.638
267.5	0.627
268.0	0.615
268.5	0.602
269.0	0.589
269.5	0.578
270.0	0.567
270.5	0.555
271.0	0.543
271.5	0.531
272.0	0.517
272.5	0.504
273.0	0.493
273.5	0.479
274.0	0.466
274.5	0.454
275.0	0.442
275.5	0.428
276.0	0.414
276.5	0.397
277.0	0.382
277.5	0.366
278.0	0.352
278.5	0.336
279.0	0.321
279.5	0.306
280.0	0.293
280.5	0.279
281.0	0.266
281.5	0.253
282.0	0.241
282.5	0.229
283.0	0.218
283.5	0.207
284.0	0.198
284.5	0.189
285.0	0.182
285.5	0.173
286.0	0.164
286.5	0.156
287.0	0.147
287.5	0.139
288.0	0.130
288.5	0.122
289.0	0.114
289.5	0.108
290.0	0.100
290.5	0.093
291.0	0.085
291.5	0.077
292.0	0.070
292.5	0.062
293.0	0.056
293.5	0.050
294.0	0.043
294.5	0.038
295.0	0.034
295.5	0.030
296.0	0.028
296.5	0.025
297.0	0.023
297.5	0.021
298.0	0.019
298.5	0.016
299.0	0.015
299.5	0.014
300.0	0.012
300.5	0.011
301.0	0.011
301.5	0.011
302.0	0.011
302.5	0.011
303.0	0.010
303.5	0.009
304.0	0.008
304.5	0.007
305.0	0.005
305.5	0.005
306.0	0.005
306.5	0.005
307.0	0.004
307.5	0.003
308.0	0.002
308.5	0.003
309.0	0.002
309.5	0.002
310.0	0.001
310.5	0.001
311.0	0.002
311.5	0.001
312.0	0.001
312.5	0.001
313.0	0.001
313.5	0.002
314.0	0.002
314.5	0.003
315.0	0.003
315.5	0.005
316.0	0.004
316.5	0.004
317.0	0.006
317.5	0.005
318.0	0.006
318.5	0.006
319.0	0.008
319.5	0.008
320.0	0.008
320.5	0.007
321.0	0.007
321.5	0.007
322.0	0.006
322.5	0.007
323.0	0.006
323.5	0.007
324.0	0.006
324.5	0.005
325.0	0.006
325.5	0.005
326.0	0.005
326.5	0.003
327.0	0.003
327.5	0.004
328.0	0.004
328.5	0.004
329.0	0.004
329.5	0.004
330.0	0.003
330.5	0.002
331.0	0.001
331.5	0.001
332.0	0.002
332.5	0.002
333.0	0.003
333.5	0.002
334.0	0.003
334.5	0.003
335.0	0.001
335.5	0.002
336.0	0.001
336.5	0.000
337.0	0.000
337.5	0.000
338.0	0.001
338.5	0.001
339.0	0.001
339.5	0.002
340.0	0.000
340.5	-0.001
341.0	-0.001
341.5	-0.001
342.0	-0.001
342.5	0.001
343.0	0.001
343.5	0.002
344.0	0.003
344.5	0.002
345.0	0.002
345.5	0.002
346.0	0.002
346.5	0.002
347.0	0.002
347.5	0.002
348.0	0.002
348.5	0.001
349.0	0.000
349.5	-0.001
350.0	-0.001


TL 2.2 2
2/14/2023 6:51 AM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.30333	
//WLCalib: 261S 	0.17000	
//WLCalib: 362S 	-0.17000	
//WLCalib: 484S 	-0.22000	
//WLCalib: 529S 	0.26000	
//WLCalib: 823S 	-0.40000	
//QSpecEnd: 
220.0	0.350
220.5	0.337
221.0	0.321
221.5	0.308
222.0	0.293
222.5	0.281
223.0	0.269
223.5	0.256
224.0	0.242
224.5	0.228
225.0	0.218
225.5	0.211
226.0	0.203
226.5	0.197
227.0	0.194
227.5	0.192
228.0	0.190
228.5	0.189
229.0	0.189
229.5	0.188
230.0	0.188
230.5	0.188
231.0	0.189
231.5	0.191
232.0	0.194
232.5	0.196
233.0	0.199
233.5	0.203
234.0	0.208
234.5	0.214
235.0	0.220
235.5	0.226
236.0	0.234
236.5	0.241
237.0	0.251
237.5	0.261
238.0	0.270
238.5	0.280
239.0	0.292
239.5	0.302
240.0	0.313
240.5	0.324
241.0	0.332
241.5	0.343
242.0	0.353
242.5	0.363
243.0	0.374
243.5	0.384
244.0	0.394
244.5	0.404
245.0	0.414
245.5	0.425
246.0	0.437
246.5	0.448
247.0	0.459
247.5	0.470
248.0	0.480
248.5	0.491
249.0	0.500
249.5	0.507
250.0	0.516
250.5	0.525
251.0	0.535
251.5	0.546
252.0	0.559
252.5	0.570
253.0	0.579
253.5	0.587
254.0	0.594
254.5	0.600
255.0	0.606
255.5	0.611
256.0	0.618
256.5	0.620
257.0	0.621
257.5	0.622
258.0	0.624
258.5	0.625
259.0	0.625
259.5	0.624
260.0	0.623
260.5	0.621
261.0	0.620
261.5	0.619
262.0	0.616
262.5	0.614
263.0	0.610
263.5	0.604
264.0	0.599
264.5	0.596
265.0	0.589
265.5	0.581
266.0	0.571
266.5	0.562
267.0	0.552
267.5	0.542
268.0	0.531
268.5	0.521
269.0	0.510
269.5	0.500
270.0	0.491
270.5	0.480
271.0	0.471
271.5	0.461
272.0	0.448
272.5	0.437
273.0	0.427
273.5	0.415
274.0	0.402
274.5	0.392
275.0	0.381
275.5	0.370
276.0	0.357
276.5	0.342
277.0	0.330
277.5	0.315
278.0	0.302
278.5	0.289
279.0	0.276
279.5	0.264
280.0	0.253
280.5	0.241
281.0	0.230
281.5	0.220
282.0	0.209
282.5	0.198
283.0	0.189
283.5	0.179
284.0	0.172
284.5	0.163
285.0	0.157
285.5	0.150
286.0	0.142
286.5	0.135
287.0	0.126
287.5	0.117
288.0	0.111
288.5	0.104
289.0	0.098
289.5	0.092
290.0	0.086
290.5	0.080
291.0	0.073
291.5	0.066
292.0	0.060
292.5	0.054
293.0	0.049
293.5	0.042
294.0	0.037
294.5	0.032
295.0	0.029
295.5	0.026
296.0	0.023
296.5	0.020
297.0	0.018
297.5	0.016
298.0	0.014
298.5	0.013
299.0	0.011
299.5	0.009
300.0	0.008
300.5	0.007
301.0	0.006
301.5	0.007
302.0	0.007
302.5	0.008
303.0	0.007
303.5	0.006
304.0	0.003
304.5	0.002
305.0	0.000
305.5	0.000
306.0	0.000
306.5	0.000
307.0	0.000
307.5	-0.001
308.0	-0.002
308.5	-0.001
309.0	-0.002
309.5	-0.002
310.0	-0.002
310.5	-0.003
311.0	-0.002
311.5	-0.001
312.0	-0.001
312.5	0.000
313.0	0.001
313.5	0.000
314.0	-0.001
314.5	0.000
315.0	0.000
315.5	0.002
316.0	0.003
316.5	0.003
317.0	0.004
317.5	0.004
318.0	0.004
318.5	0.004
319.0	0.004
319.5	0.005
320.0	0.006
320.5	0.004
321.0	0.006
321.5	0.005
322.0	0.006
322.5	0.007
323.0	0.005
323.5	0.005
324.0	0.004
324.5	0.003
325.0	0.003
325.5	0.002
326.0	0.002
326.5	0.001
327.0	0.002
327.5	0.001
328.0	0.001
328.5	0.001
329.0	0.001
329.5	0.001
330.0	-0.001
330.5	-0.001
331.0	0.000
331.5	-0.002
332.0	-0.001
332.5	-0.001
333.0	-0.001
333.5	-0.001
334.0	0.001
334.5	0.002
335.0	0.001
335.5	0.002
336.0	0.002
336.5	0.001
337.0	0.002
337.5	0.000
338.0	0.002
338.5	0.000
339.0	0.001
339.5	0.001
340.0	0.000
340.5	0.000
341.0	-0.001
341.5	-0.001
342.0	-0.003
342.5	-0.003
343.0	-0.004
343.5	-0.005
344.0	-0.004
344.5	-0.006
345.0	-0.005
345.5	-0.005
346.0	-0.005
346.5	-0.005
347.0	-0.004
347.5	-0.005
348.0	-0.005
348.5	-0.005
349.0	-0.006
349.5	-0.006
350.0	-0.007


TL 2.2 3
2/14/2023 6:51 AM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.30333	
//WLCalib: 261S 	0.17000	
//WLCalib: 362S 	-0.17000	
//WLCalib: 484S 	-0.22000	
//WLCalib: 529S 	0.26000	
//WLCalib: 823S 	-0.40000	
//QSpecEnd: 
220.0	0.437
220.5	0.421
221.0	0.405
221.5	0.390
222.0	0.372
222.5	0.355
223.0	0.341
223.5	0.326
224.0	0.309
224.5	0.294
225.0	0.279
225.5	0.268
226.0	0.259
226.5	0.252
227.0	0.247
227.5	0.243
228.0	0.240
228.5	0.238
229.0	0.237
229.5	0.236
230.0	0.235
230.5	0.234
231.0	0.235
231.5	0.236
232.0	0.237
232.5	0.239
233.0	0.241
233.5	0.245
234.0	0.248
234.5	0.252
235.0	0.259
235.5	0.266
236.0	0.273
236.5	0.279
237.0	0.288
237.5	0.298
238.0	0.311
238.5	0.321
239.0	0.333
239.5	0.345
240.0	0.356
240.5	0.368
241.0	0.377
241.5	0.388
242.0	0.399
242.5	0.410
243.0	0.422
243.5	0.433
244.0	0.443
244.5	0.455
245.0	0.466
245.5	0.476
246.0	0.488
246.5	0.498
247.0	0.510
247.5	0.521
248.0	0.533
248.5	0.545
249.0	0.554
249.5	0.563
250.0	0.571
250.5	0.581
251.0	0.591
251.5	0.604
252.0	0.616
252.5	0.627
253.0	0.638
253.5	0.647
254.0	0.655
254.5	0.663
255.0	0.669
255.5	0.674
256.0	0.679
256.5	0.682
257.0	0.682
257.5	0.685
258.0	0.685
258.5	0.686
259.0	0.687
259.5	0.686
260.0	0.684
260.5	0.684
261.0	0.682
261.5	0.681
262.0	0.678
262.5	0.675
263.0	0.671
263.5	0.665
264.0	0.659
264.5	0.656
265.0	0.649
265.5	0.640
266.0	0.630
266.5	0.620
267.0	0.610
267.5	0.600
268.0	0.588
268.5	0.576
269.0	0.566
269.5	0.554
270.0	0.543
270.5	0.531
271.0	0.520
271.5	0.509
272.0	0.496
272.5	0.485
273.0	0.473
273.5	0.460
274.0	0.447
274.5	0.435
275.0	0.424
275.5	0.411
276.0	0.397
276.5	0.381
277.0	0.368
277.5	0.353
278.0	0.339
278.5	0.324
279.0	0.310
279.5	0.296
280.0	0.283
280.5	0.272
281.0	0.261
281.5	0.250
282.0	0.239
282.5	0.228
283.0	0.217
283.5	0.206
284.0	0.197
284.5	0.188
285.0	0.180
285.5	0.173
286.0	0.165
286.5	0.158
287.0	0.150
287.5	0.142
288.0	0.134
288.5	0.126
289.0	0.118
289.5	0.113
290.0	0.106
290.5	0.099
291.0	0.092
291.5	0.086
292.0	0.080
292.5	0.075
293.0	0.069
293.5	0.063
294.0	0.057
294.5	0.051
295.0	0.046
295.5	0.043
296.0	0.041
296.5	0.039
297.0	0.037
297.5	0.034
298.0	0.032
298.5	0.030
299.0	0.028
299.5	0.027
300.0	0.025
300.5	0.023
301.0	0.023
301.5	0.023
302.0	0.024
302.5	0.024
303.0	0.023
303.5	0.022
304.0	0.019
304.5	0.017
305.0	0.015
305.5	0.015
306.0	0.015
306.5	0.015
307.0	0.013
307.5	0.011
308.0	0.011
308.5	0.011
309.0	0.010
309.5	0.008
310.0	0.008
310.5	0.009
311.0	0.009
311.5	0.008
312.0	0.009
312.5	0.010
313.0	0.010
313.5	0.010
314.0	0.009
314.5	0.009
315.0	0.010
315.5	0.011
316.0	0.011
316.5	0.011
317.0	0.012
317.5	0.012
318.0	0.011
318.5	0.011
319.0	0.011
319.5	0.011
320.0	0.011
320.5	0.011
321.0	0.011
321.5	0.010
322.0	0.011
322.5	0.013
323.0	0.012
323.5	0.012
324.0	0.012
324.5	0.010
325.0	0.010
325.5	0.009
326.0	0.009
326.5	0.008
327.0	0.008
327.5	0.006
328.0	0.004
328.5	0.005
329.0	0.004
329.5	0.004
330.0	0.003
330.5	0.003
331.0	0.003
331.5	0.001
332.0	0.002
332.5	0.003
333.0	0.004
333.5	0.004
334.0	0.004
334.5	0.005
335.0	0.004
335.5	0.006
336.0	0.005
336.5	0.004
337.0	0.005
337.5	0.003
338.0	0.002
338.5	0.001
339.0	0.002
339.5	0.001
340.0	0.000
340.5	-0.002
341.0	-0.002
341.5	-0.001
342.0	-0.003
342.5	-0.003
343.0	-0.002
343.5	-0.002
344.0	-0.001
344.5	-0.002
345.0	-0.002
345.5	-0.002
346.0	-0.001
346.5	-0.001
347.0	-0.001
347.5	-0.002
348.0	-0.002
348.5	-0.001
349.0	-0.001
349.5	-0.002
350.0	-0.001


KL 1.1 (2) 1
2/14/2023 6:52 AM
Wavelength (nm)	10mm Absorbance
