KL 1.1 1
2/14/2023 6:45 AM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.30333	
//WLCalib: 261S 	0.17000	
//WLCalib: 362S 	-0.17000	
//WLCalib: 484S 	-0.22000	
//WLCalib: 529S 	0.26000	
//WLCalib: 823S 	-0.40000	
//QSpecEnd: 
268.5	0.361
269.0	0.354
269.5	0.347
270.0	0.341
270.5	0.332
271.0	0.325
271.5	0.317
272.0	0.308
272.5	0.300
273.0	0.294
273.5	0.287
274.0	0.278
274.5	0.273
275.0	0.267
275.5	0.259
276.0	0.251
276.5	0.242
277.0	0.233
277.5	0.224
278.0	0.217
278.5	0.209
279.0	0.202
279.5	0.195
280.0	0.188
280.5	0.180
281.0	0.172
281.5	0.166
282.0	0.158
282.5	0.151
283.0	0.144
283.5	0.137
284.0	0.132
284.5	0.127
285.0	0.122
285.5	0.116
286.0	0.109
286.5	0.103
287.0	0.097
287.5	0.091
288.0	0.086
288.5	0.081
289.0	0.077
289.5	0.073
290.0	0.068
290.5	0.064
291.0	0.060
291.5	0.054
292.0	0.051
292.5	0.048
293.0	0.044
293.5	0.041
294.0	0.038
294.5	0.037
295.0	0.035
295.5	0.033
296.0	0.031
296.5	0.029
297.0	0.027
297.5	0.027
298.0	0.027
298.5	0.025
299.0	0.024
299.5	0.022
300.0	0.019
300.5	0.018
301.0	0.017
301.5	0.016
302.0	0.014
302.5	0.012
303.0	0.011
303.5	0.009
304.0	0.007
304.5	0.004
305.0	0.002
305.5	0.001
306.0	0.000
306.5	0.002
307.0	0.001
307.5	0.001
308.0	0.001
308.5	0.001
309.0	0.001
309.5	0.002
310.0	0.003
310.5	0.002
311.0	0.003
311.5	0.004
312.0	0.006
312.5	0.006
313.0	0.007
313.5	0.006
314.0	0.005
314.5	0.005
315.0	0.005
315.5	0.006
316.0	0.006
316.5	0.005
317.0	0.005
317.5	0.004
318.0	0.003
318.5	0.002
319.0	0.003
319.5	0.002
320.0	0.002
320.5	0.001
321.0	0.002
321.5	0.002
322.0	0.003
322.5	0.004
323.0	0.004
323.5	0.004
324.0	0.004
324.5	0.005
325.0	0.005
325.5	0.005
326.0	0.006
326.5	0.005
327.0	0.005
327.5	0.004
328.0	0.004
328.5	0.004
329.0	0.004
329.5	0.003
330.0	0.003
330.5	0.001
331.0	0.000
331.5	-0.001
332.0	-0.002
332.5	-0.002
333.0	-0.002
333.5	-0.001
334.0	-0.001
334.5	0.000
335.0	0.000
335.5	0.001
336.0	0.001
336.5	-0.001
337.0	-0.001
337.5	-0.001
338.0	-0.001
338.5	-0.002
339.0	0.000
339.5	0.000
340.0	0.000
340.5	-0.002
341.0	-0.002
341.5	-0.002
342.0	-0.003
342.5	-0.003
343.0	-0.002
343.5	-0.003
344.0	-0.002
344.5	-0.003
345.0	-0.002
345.5	-0.003
346.0	-0.002
346.5	-0.003
347.0	-0.003
347.5	-0.003
348.0	-0.004
348.5	-0.004
349.0	-0.005
349.5	-0.005
350.0	-0.006


KL 1.1 3
