	Measurement	Sample Name	Wavelength (nm)	Temperature Start (°C)	Temperature End (°C)	Run	Ramp Type	gi	file_name	Sample	bg in mM	[Buffer] in mM	Monovalent Ion	Concentration	Concentration Unit	direct_melt_Tm_C	direct_melt_DTm	direct_melt_DH_J/mol	direct_melt_DDH	direct_melt_m1	direct_melt_Dm1	direct_melt_n1	direct_melt_Dn1	direct_melt_m2	direct_melt_Dm2	direct_melt_n2	direct_melt_Dn2	direct_melt_DS_J/mol/K	direct_melt_DDS	deri_fit_Tm_C	deri_fit_dEd/dT	deri_fit_DTm
49	18	5 mM CaCl2	400.0	21.0	90.0	1	Heating	50	2023-08-04_RNA_melting_VS.csv																							
50	19	5 mM CaCl2	400.0	90.0	21.0	2	Cooling	51	2023-08-04_RNA_melting_VS.csv																							
51	20	5 mM CaCl2	400.0	21.0	90.0	2	Heating	52	2023-08-04_RNA_melting_VS.csv																							
52	21	10 mM MgCl2	400.0	90.0	21.0	1	Cooling	53	2023-08-04_RNA_melting_VS.csv																							
53	22	10 mM MgCl2	400.0	21.0	90.0	1	Heating	54	2023-08-04_RNA_melting_VS.csv																							
54	23	10 mM MgCl2	400.0	90.0	21.0	2	Cooling	55	2023-08-04_RNA_melting_VS.csv																							
55	24	10 mM MgCl2	400.0	21.0	90.0	2	Heating	56	2023-08-04_RNA_melting_VS.csv																							
56	25	25 mM CaCl2	400.0	90.0	21.0	1	Cooling	57	2023-08-04_RNA_melting_VS.csv																							
57	26	25 mM CaCl2	400.0	21.0	90.0	1	Heating	58	2023-08-04_RNA_melting_VS.csv																							
58	27	25 mM CaCl2	400.0	90.0	21.0	2	Cooling	59	2023-08-04_RNA_melting_VS.csv																							
59	28	25 mM CaCl2	400.0	21.0	90.0	2	Heating	60	2023-08-04_RNA_melting_VS.csv																							
60	29	25 mM MgCl2	400.0	90.0	21.0	1	Cooling	61	2023-08-04_RNA_melting_VS.csv																							
61	30	25 mM MgCl2	400.0	21.0	90.0	1	Heating	62	2023-08-04_RNA_melting_VS.csv																							
62	31	25 mM MgCl2	400.0	90.0	21.0	2	Cooling	63	2023-08-04_RNA_melting_VS.csv																							
63	32	25 mM MgCl2	400.0	21.0	90.0	2	Heating	64	2023-08-04_RNA_melting_VS.csv																							
64	1	10 mM MgCl2	260.0	90.0	21.0	1	Cooling	65	2023-08-16_RNA_melting_CaCl2_VS.csv																							
65	2	10 mM MgCl2	260.0	21.0	90.0	1	Heating	66	2023-08-16_RNA_melting_CaCl2_VS.csv																							
66	3	10 mM MgCl2	260.0	90.0	21.0	2	Cooling	67	2023-08-16_RNA_melting_CaCl2_VS.csv																							
67	4	10 mM MgCl2	260.0	21.0	90.0	2	Heating	68	2023-08-16_RNA_melting_CaCl2_VS.csv																							
68	5	5 mM MgCl2	260.0	90.0	21.0	1	Cooling	69	2023-08-16_RNA_melting_CaCl2_VS.csv																							
69	6	5 mM MgCl2	260.0	21.0	90.0	1	Heating	70	2023-08-16_RNA_melting_CaCl2_VS.csv																							
70	7	5 mM MgCl2	260.0	90.0	21.0	2	Cooling	71	2023-08-16_RNA_melting_CaCl2_VS.csv																							
71	8	5 mM MgCl2	260.0	21.0	90.0	2	Heating	72	2023-08-16_RNA_melting_CaCl2_VS.csv																							
72	9	1 mM MgCl2	260.0	90.0	21.0	1	Cooling	73	2023-08-16_RNA_melting_CaCl2_VS.csv																							
73	10	1 mM MgCl2	260.0	21.0	90.0	1	Heating	74	2023-08-16_RNA_melting_CaCl2_VS.csv																							
74	11	1 mM MgCl2	260.0	90.0	21.0	2	Cooling	75	2023-08-16_RNA_melting_CaCl2_VS.csv																							
75	12	1 mM MgCl2	260.0	21.0	90.0	2	Heating	76	2023-08-16_RNA_melting_CaCl2_VS.csv																							
76	13	0.1 mM MgCl2	260.0	90.0	21.0	1	Cooling	77	2023-08-16_RNA_melting_CaCl2_VS.csv																							
77	14	0.1 mM MgCl2	260.0	21.0	90.0	1	Heating	78	2023-08-16_RNA_melting_CaCl2_VS.csv																							
78	15	0.1 mM MgCl2	260.0	90.0	21.0	2	Cooling	79	2023-08-16_RNA_melting_CaCl2_VS.csv																							
79	16	0.1 mM MgCl2	260.0	21.0	90.0	2	Heating	80	2023-08-16_RNA_melting_CaCl2_VS.csv																							
80	17	10 mM MgCl2	400.0	90.0	21.0	1	Cooling	81	2023-08-16_RNA_melting_CaCl2_VS.csv																							
81	18	10 mM MgCl2	400.0	21.0	90.0	1	Heating	82	2023-08-16_RNA_melting_CaCl2_VS.csv																							
