Measurement,Sample Name,Wavelength (nm),Temperature Start (°C),Temperature End (°C),Run,Ramp Type,gi,file_name,Sample,bg in mM,[Buffer] in mM,Monovalent Ion,Concentration,Concentration Unit
10,0.8 mM NaCl,260.0,21.0,90.0,1,Heating,874,2024-01-29_RNA_melting_NaCl_HEPES.csv,RNA,0.0,0.0,Na(I),0.8,mM
11,0.8 mM NaCl,260.0,90.0,21.0,2,Cooling,875,2024-01-29_RNA_melting_NaCl_HEPES.csv,RNA,0.0,0.0,Na(I),0.8,mM
12,0.8 mM NaCl,260.0,21.0,90.0,2,Heating,876,2024-01-29_RNA_melting_NaCl_HEPES.csv,RNA,0.0,0.0,Na(I),0.8,mM
13,0.08 mM NaCl,260.0,90.0,21.0,1,Cooling,877,2024-01-29_RNA_melting_NaCl_HEPES.csv,RNA,0.0,0.0,Na(I),0.08,mM
14,0.08 mM NaCl,260.0,21.0,90.0,1,Heating,878,2024-01-29_RNA_melting_NaCl_HEPES.csv,RNA,0.0,0.0,Na(I),0.08,mM
15,0.08 mM NaCl,260.0,90.0,21.0,2,Cooling,879,2024-01-29_RNA_melting_NaCl_HEPES.csv,RNA,0.0,0.0,Na(I),0.08,mM
16,0.08 mM NaCl,260.0,21.0,90.0,2,Heating,880,2024-01-29_RNA_melting_NaCl_HEPES.csv,RNA,0.0,0.0,Na(I),0.08,mM
1,26 mM NaCl,260.0,90.0,21.0,1,Cooling,897,2024-01-31_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),26.0,mM
2,26 mM NaCl,260.0,21.0,90.0,1,Heating,898,2024-01-31_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),26.0,mM
3,26 mM NaCl,260.0,90.0,21.0,2,Cooling,899,2024-01-31_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),26.0,mM
4,26 mM NaCl,260.0,21.0,90.0,2,Heating,900,2024-01-31_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),26.0,mM
5,21 mM NaCl,260.0,90.0,21.0,1,Cooling,901,2024-01-31_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),21.0,mM
6,21 mM NaCl,260.0,21.0,90.0,1,Heating,902,2024-01-31_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),21.0,mM
7,21 mM NaCl,260.0,90.0,21.0,2,Cooling,903,2024-01-31_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),21.0,mM
8,21 mM NaCl,260.0,21.0,90.0,2,Heating,904,2024-01-31_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),21.0,mM
9,17 mM NaCl,260.0,90.0,21.0,1,Cooling,905,2024-01-31_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),17.0,mM
10,17 mM NaCl,260.0,21.0,90.0,1,Heating,906,2024-01-31_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),17.0,mM
11,17 mM NaCl,260.0,90.0,21.0,2,Cooling,907,2024-01-31_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),17.0,mM
12,17 mM NaCl,260.0,21.0,90.0,2,Heating,908,2024-01-31_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),17.0,mM
13,8.3 mM NaCl,260.0,90.0,21.0,1,Cooling,909,2024-01-31_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),8.3,mM
14,8.3 mM NaCl,260.0,21.0,90.0,1,Heating,910,2024-01-31_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),8.3,mM
15,8.3 mM NaCl,260.0,90.0,21.0,2,Cooling,911,2024-01-31_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),8.3,mM
16,8.3 mM NaCl,260.0,21.0,90.0,2,Heating,912,2024-01-31_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),8.3,mM
1,516 mM NaCl,260.0,90.0,21.0,1,Cooling,929,2024-02-01_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),516.0,mM
2,516 mM NaCl,260.0,21.0,90.0,1,Heating,930,2024-02-01_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),516.0,mM
3,516 mM NaCl,260.0,90.0,21.0,2,Cooling,931,2024-02-01_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),516.0,mM
4,516 mM NaCl,260.0,21.0,90.0,2,Heating,932,2024-02-01_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),516.0,mM
5,116 mM NaCl,260.0,90.0,21.0,1,Cooling,933,2024-02-01_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),116.0,mM
6,116 mM NaCl,260.0,21.0,90.0,1,Heating,934,2024-02-01_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),116.0,mM
7,116 mM NaCl,260.0,90.0,21.0,2,Cooling,935,2024-02-01_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),116.0,mM
8,116 mM NaCl,260.0,21.0,90.0,2,Heating,936,2024-02-01_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),116.0,mM
9,66 mM NaCl,260.0,90.0,21.0,1,Cooling,937,2024-02-01_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),66.0,mM
10,66 mM NaCl,260.0,21.0,90.0,1,Heating,938,2024-02-01_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),66.0,mM
11,66 mM NaCl,260.0,90.0,21.0,2,Cooling,939,2024-02-01_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),66.0,mM
12,66 mM NaCl,260.0,21.0,90.0,2,Heating,940,2024-02-01_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),66.0,mM
13,41 mM NaCl,260.0,90.0,21.0,1,Cooling,941,2024-02-01_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),41.0,mM
14,41 mM NaCl,260.0,21.0,90.0,1,Heating,942,2024-02-01_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),41.0,mM
15,41 mM NaCl,260.0,90.0,21.0,2,Cooling,943,2024-02-01_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),41.0,mM
16,41 mM NaCl,260.0,21.0,90.0,2,Heating,944,2024-02-01_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),41.0,mM
