Measurement,Sample Name,Wavelength (nm),Temperature Start (°C),Temperature End (°C),Run,Ramp Type,gi,file_name,Sample,bg in mM,[Buffer] in mM,Monovalent Ion,Concentration,Concentration Unit
9,0.8 mM KCl,260.0,90.0,21.0,1,Cooling,361,2023-09-21_RNA_melting_HEPES_KCl.csv,RNA,0.0,0.0,K(I),0.8,mM
10,0.8 mM KCl,260.0,21.0,90.0,1,Heating,362,2023-09-21_RNA_melting_HEPES_KCl.csv,RNA,0.0,0.0,K(I),0.8,mM
11,0.8 mM KCl,260.0,90.0,21.0,2,Cooling,363,2023-09-21_RNA_melting_HEPES_KCl.csv,RNA,0.0,0.0,K(I),0.8,mM
12,0.8 mM KCl,260.0,21.0,90.0,2,Heating,364,2023-09-21_RNA_melting_HEPES_KCl.csv,RNA,0.0,0.0,K(I),0.8,mM
13,0.08 mM KCl,260.0,90.0,21.0,1,Cooling,365,2023-09-21_RNA_melting_HEPES_KCl.csv,RNA,0.0,0.0,K(I),0.08,mM
14,0.08 mM KCl,260.0,21.0,90.0,1,Heating,366,2023-09-21_RNA_melting_HEPES_KCl.csv,RNA,0.0,0.0,K(I),0.08,mM
15,0.08 mM KCl,260.0,90.0,21.0,2,Cooling,367,2023-09-21_RNA_melting_HEPES_KCl.csv,RNA,0.0,0.0,K(I),0.08,mM
16,0.08 mM KCl,260.0,21.0,90.0,2,Heating,368,2023-09-21_RNA_melting_HEPES_KCl.csv,RNA,0.0,0.0,K(I),0.08,mM
1,516 mM NaCl,260.0,90.0,21.0,1,Cooling,385,2023-09-21_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),516.0,mM
2,516 mM NaCl,260.0,21.0,90.0,1,Heating,386,2023-09-21_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),516.0,mM
3,516 mM NaCl,260.0,90.0,21.0,2,Cooling,387,2023-09-21_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),516.0,mM
