	Measurement	Sample Name	Wavelength (nm)	Temperature Start (°C)	Temperature End (°C)	Run	Ramp Type	Sample	bg in mM	[Buffer] in mM	Divalent Ion	Monovalent Ion	gi	file_name	Concentration	Concentration Unit	Ion	deri_fit_Tm_C	deri_fit_dEd/dT	deri_fit_DTm	direct_melt_Tm_C	direct_melt_DTm	direct_melt_DH_J/mol	direct_melt_DDH	direct_melt_m1	direct_melt_Dm1	direct_melt_n1	direct_melt_Dn1	direct_melt_m2	direct_melt_Dm2	direct_melt_n2	direct_melt_Dn2	direct_melt_DS_J/mol/K	direct_melt_DDS
128	1	500 mM CaCl2	260.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	129	2023-08-18_RNA_melting_CaCl2_VS.csv	500.0	mM	CaCl2																	
129	2	500 mM CaCl2	260.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Ca(II)	K(I)	130	2023-08-18_RNA_melting_CaCl2_VS.csv	500.0	mM	CaCl2																	
130	3	500 mM CaCl2	260.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	131	2023-08-18_RNA_melting_CaCl2_VS.csv	500.0	mM	CaCl2																	
131	4	500 mM CaCl2	260.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Ca(II)	K(I)	132	2023-08-18_RNA_melting_CaCl2_VS.csv	500.0	mM	CaCl2																	
132	5	100 mM CaCl2	260.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	133	2023-08-18_RNA_melting_CaCl2_VS.csv	100.0	mM	CaCl2																	
133	6	100 mM CaCl2	260.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Ca(II)	K(I)	134	2023-08-18_RNA_melting_CaCl2_VS.csv	100.0	mM	CaCl2																	
134	7	100 mM CaCl2	260.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	135	2023-08-18_RNA_melting_CaCl2_VS.csv	100.0	mM	CaCl2																	
135	8	100 mM CaCl2	260.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Ca(II)	K(I)	136	2023-08-18_RNA_melting_CaCl2_VS.csv	100.0	mM	CaCl2																	
136	9	50 mM CaCl2	260.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	137	2023-08-18_RNA_melting_CaCl2_VS.csv	50.0	mM	CaCl2																	
137	10	50 mM CaCl2	260.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Ca(II)	K(I)	138	2023-08-18_RNA_melting_CaCl2_VS.csv	50.0	mM	CaCl2																	
138	11	50 mM CaCl2	260.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	139	2023-08-18_RNA_melting_CaCl2_VS.csv	50.0	mM	CaCl2																	
139	12	50 mM CaCl2	260.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Ca(II)	K(I)	140	2023-08-18_RNA_melting_CaCl2_VS.csv	50.0	mM	CaCl2																	
140	13	0 mM CaCl2	260.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	141	2023-08-18_RNA_melting_CaCl2_VS.csv	0.0	mM	CaCl2																	
141	14	0 mM CaCl2	260.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Ca(II)	K(I)	142	2023-08-18_RNA_melting_CaCl2_VS.csv	0.0	mM	CaCl2																	
142	15	0 mM CaCl2	260.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	143	2023-08-18_RNA_melting_CaCl2_VS.csv	0.0	mM	CaCl2																	
143	16	0 mM CaCl2	260.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Ca(II)	K(I)	144	2023-08-18_RNA_melting_CaCl2_VS.csv	0.0	mM	CaCl2																	
144	17	500 mM CaCl2	400.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	145	2023-08-18_RNA_melting_CaCl2_VS.csv	500.0	mM	CaCl2																	
145	18	500 mM CaCl2	400.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Ca(II)	K(I)	146	2023-08-18_RNA_melting_CaCl2_VS.csv	500.0	mM	CaCl2																	
146	19	500 mM CaCl2	400.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	147	2023-08-18_RNA_melting_CaCl2_VS.csv	500.0	mM	CaCl2																	
147	20	500 mM CaCl2	400.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Ca(II)	K(I)	148	2023-08-18_RNA_melting_CaCl2_VS.csv	500.0	mM	CaCl2																	
148	21	100 mM CaCl2	400.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	149	2023-08-18_RNA_melting_CaCl2_VS.csv	100.0	mM	CaCl2																	
149	22	100 mM CaCl2	400.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Ca(II)	K(I)	150	2023-08-18_RNA_melting_CaCl2_VS.csv	100.0	mM	CaCl2																	
150	23	100 mM CaCl2	400.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	151	2023-08-18_RNA_melting_CaCl2_VS.csv	100.0	mM	CaCl2																	
151	24	100 mM CaCl2	400.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Ca(II)	K(I)	152	2023-08-18_RNA_melting_CaCl2_VS.csv	100.0	mM	CaCl2																	
152	25	50 mM CaCl2	400.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	153	2023-08-18_RNA_melting_CaCl2_VS.csv	50.0	mM	CaCl2																	
153	26	50 mM CaCl2	400.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Ca(II)	K(I)	154	2023-08-18_RNA_melting_CaCl2_VS.csv	50.0	mM	CaCl2																	
154	27	50 mM CaCl2	400.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	155	2023-08-18_RNA_melting_CaCl2_VS.csv	50.0	mM	CaCl2																	
155	28	50 mM CaCl2	400.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Ca(II)	K(I)	156	2023-08-18_RNA_melting_CaCl2_VS.csv	50.0	mM	CaCl2																	
156	29	0 mM CaCl2	400.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	157	2023-08-18_RNA_melting_CaCl2_VS.csv	0.0	mM	CaCl2																	
157	30	0 mM CaCl2	400.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Ca(II)	K(I)	158	2023-08-18_RNA_melting_CaCl2_VS.csv	0.0	mM	CaCl2																	
158	31	0 mM CaCl2	400.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	159	2023-08-18_RNA_melting_CaCl2_VS.csv	0.0	mM	CaCl2																	
159	32	0 mM CaCl2	400.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Ca(II)	K(I)	160	2023-08-18_RNA_melting_CaCl2_VS.csv	0.0	mM	CaCl2																	
160	1	10 mM MgCl2	260.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Mg(II)	Na(I)	161	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv	10.0	mM	MgCl2																	
161	2	10 mM MgCl2	260.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Mg(II)	Na(I)	162	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv	10.0	mM	MgCl2																	
162	3	10 mM MgCl2	260.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Mg(II)	Na(I)	163	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv	10.0	mM	MgCl2																	
163	4	10 mM MgCl2	260.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Mg(II)	Na(I)	164	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv	10.0	mM	MgCl2																	
164	5	5 mM MgCl2	260.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Mg(II)	Na(I)	165	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv	5.0	mM	MgCl2																	
165	6	5 mM MgCl2	260.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Mg(II)	Na(I)	166	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv	5.0	mM	MgCl2																	
166	7	5 mM MgCl2	260.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Mg(II)	Na(I)	167	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv	5.0	mM	MgCl2																	
167	8	5 mM MgCl2	260.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Mg(II)	Na(I)	168	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv	5.0	mM	MgCl2																	
168	9	1 mM MgCl2	260.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Mg(II)	Na(I)	169	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv	1.0	mM	MgCl2																	
169	10	1 mM MgCl2	260.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Mg(II)	Na(I)	170	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv	1.0	mM	MgCl2																	
170	11	1 mM MgCl2	260.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Mg(II)	Na(I)	171	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv	1.0	mM	MgCl2																	
171	12	1 mM MgCl2	260.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Mg(II)	Na(I)	172	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv	1.0	mM	MgCl2																	
172	13	0.1 mM MgCl2	260.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Mg(II)	Na(I)	173	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv	0.1	mM	MgCl2																	
173	14	0.1 mM MgCl2	260.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Mg(II)	Na(I)	174	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv	0.1	mM	MgCl2																	
174	15	0.1 mM MgCl2	260.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Mg(II)	Na(I)	175	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv	0.1	mM	MgCl2																	
175	16	0.1 mM MgCl2	260.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Mg(II)	Na(I)	176	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv	0.1	mM	MgCl2																	
176	17	10 mM MgCl2	400.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Mg(II)	Na(I)	177	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv	10.0	mM	MgCl2																	
177	18	10 mM MgCl2	400.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Mg(II)	Na(I)	178	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv	10.0	mM	MgCl2																	
178	19	10 mM MgCl2	400.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Mg(II)	Na(I)	179	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv	10.0	mM	MgCl2																	
179	20	10 mM MgCl2	400.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Mg(II)	Na(I)	180	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv	10.0	mM	MgCl2																	
180	21	5 mM MgCl2	400.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Mg(II)	Na(I)	181	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv	5.0	mM	MgCl2																	
181	22	5 mM MgCl2	400.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Mg(II)	Na(I)	182	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv	5.0	mM	MgCl2																	
182	23	5 mM MgCl2	400.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Mg(II)	Na(I)	183	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv	5.0	mM	MgCl2																	
183	24	5 mM MgCl2	400.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Mg(II)	Na(I)	184	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv	5.0	mM	MgCl2																	
184	25	1 mM MgCl2	400.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Mg(II)	Na(I)	185	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv	1.0	mM	MgCl2																	
185	26	1 mM MgCl2	400.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Mg(II)	Na(I)	186	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv	1.0	mM	MgCl2																	
186	27	1 mM MgCl2	400.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Mg(II)	Na(I)	187	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv	1.0	mM	MgCl2																	
187	28	1 mM MgCl2	400.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Mg(II)	Na(I)	188	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv	1.0	mM	MgCl2																	
188	29	0.1 mM MgCl2	400.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Mg(II)	Na(I)	189	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv	0.1	mM	MgCl2																	
189	30	0.1 mM MgCl2	400.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Mg(II)	Na(I)	190	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv	0.1	mM	MgCl2																	
190	31	0.1 mM MgCl2	400.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Mg(II)	Na(I)	191	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv	0.1	mM	MgCl2																	
191	32	0.1 mM MgCl2	400.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Mg(II)	Na(I)	192	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv	0.1	mM	MgCl2																	
192	1	10 mM CaCl2	260.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Ca(II)	Na(I)	193	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv	10.0	mM	CaCl2																	
193	2	10 mM CaCl2	260.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Ca(II)	Na(I)	194	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv	10.0	mM	CaCl2																	
194	3	10 mM CaCl2	260.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Ca(II)	Na(I)	195	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv	10.0	mM	CaCl2																	
195	4	10 mM CaCl2	260.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Ca(II)	Na(I)	196	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv	10.0	mM	CaCl2																	
196	5	5 mM CaCl2	260.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Ca(II)	Na(I)	197	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv	5.0	mM	CaCl2																	
197	6	5 mM CaCl2	260.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Ca(II)	Na(I)	198	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv	5.0	mM	CaCl2																	
198	7	5 mM CaCl2	260.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Ca(II)	Na(I)	199	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv	5.0	mM	CaCl2																	
199	8	5 mM CaCl2	260.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Ca(II)	Na(I)	200	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv	5.0	mM	CaCl2																	
200	9	1 mM CaCl2	260.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Ca(II)	Na(I)	201	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv	1.0	mM	CaCl2																	
201	10	1 mM CaCl2	260.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Ca(II)	Na(I)	202	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv	1.0	mM	CaCl2																	
202	11	1 mM CaCl2	260.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Ca(II)	Na(I)	203	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv	1.0	mM	CaCl2																	
203	12	1 mM CaCl2	260.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Ca(II)	Na(I)	204	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv	1.0	mM	CaCl2																	
204	13	0.1 mM CaCl2	260.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Ca(II)	Na(I)	205	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv	0.1	mM	CaCl2																	
205	14	0.1 mM CaCl2	260.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Ca(II)	Na(I)	206	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv	0.1	mM	CaCl2																	
206	15	0.1 mM CaCl2	260.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Ca(II)	Na(I)	207	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv	0.1	mM	CaCl2																	
207	16	0.1 mM CaCl2	260.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Ca(II)	Na(I)	208	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv	0.1	mM	CaCl2																	
208	17	10 mM CaCl2	400.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Ca(II)	Na(I)	209	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv	10.0	mM	CaCl2																	
209	18	10 mM CaCl2	400.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Ca(II)	Na(I)	210	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv	10.0	mM	CaCl2																	
210	19	10 mM CaCl2	400.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Ca(II)	Na(I)	211	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv	10.0	mM	CaCl2																	
211	20	10 mM CaCl2	400.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Ca(II)	Na(I)	212	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv	10.0	mM	CaCl2																	
212	21	5 mM CaCl2	400.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Ca(II)	Na(I)	213	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv	5.0	mM	CaCl2																	
213	22	5 mM CaCl2	400.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Ca(II)	Na(I)	214	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv	5.0	mM	CaCl2																	
214	23	5 mM CaCl2	400.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Ca(II)	Na(I)	215	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv	5.0	mM	CaCl2																	
215	24	5 mM CaCl2	400.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Ca(II)	Na(I)	216	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv	5.0	mM	CaCl2																	
216	25	1 mM CaCl2	400.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Ca(II)	Na(I)	217	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv	1.0	mM	CaCl2																	
217	26	1 mM CaCl2	400.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Ca(II)	Na(I)	218	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv	1.0	mM	CaCl2																	
218	27	1 mM CaCl2	400.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Ca(II)	Na(I)	219	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv	1.0	mM	CaCl2																	
219	28	1 mM CaCl2	400.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Ca(II)	Na(I)	220	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv	1.0	mM	CaCl2																	
220	29	0.1 mM CaCl2	400.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Ca(II)	Na(I)	221	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv	0.1	mM	CaCl2																	
221	30	0.1 mM CaCl2	400.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Ca(II)	Na(I)	222	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv	0.1	mM	CaCl2																	
222	31	0.1 mM CaCl2	400.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Ca(II)	Na(I)	223	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv	0.1	mM	CaCl2																	
223	32	0.1 mM CaCl2	400.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Ca(II)	Na(I)	224	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv	0.1	mM	CaCl2																	
224	1	50 mM CaCl2	260.0	90.0	21.0	1	Cooling	RNA	116.0	20.0		Na(I)	225	2023-08-23_RNA_melting_2_VS.csv	50.0	mM	CaCl2																	
225	2	50 mM CaCl2	260.0	21.0	90.0	1	Heating	RNA	116.0	20.0		Na(I)	226	2023-08-23_RNA_melting_2_VS.csv	50.0	mM	CaCl2																	
226	3	50 mM CaCl2	260.0	90.0	21.0	2	Cooling	RNA	116.0	20.0		Na(I)	227	2023-08-23_RNA_melting_2_VS.csv	50.0	mM	CaCl2																	
227	4	50 mM CaCl2	260.0	21.0	90.0	2	Heating	RNA	116.0	20.0		Na(I)	228	2023-08-23_RNA_melting_2_VS.csv	50.0	mM	CaCl2																	
228	5	25 mM CaCl2	260.0	90.0	21.0	1	Cooling	RNA	116.0	20.0		Na(I)	229	2023-08-23_RNA_melting_2_VS.csv	25.0	mM	CaCl2																	
229	6	25 mM CaCl2	260.0	21.0	90.0	1	Heating	RNA	116.0	20.0		Na(I)	230	2023-08-23_RNA_melting_2_VS.csv	25.0	mM	CaCl2																	
230	7	25 mM CaCl2	260.0	90.0	21.0	2	Cooling	RNA	116.0	20.0		Na(I)	231	2023-08-23_RNA_melting_2_VS.csv	25.0	mM	CaCl2																	
231	8	25 mM CaCl2	260.0	21.0	90.0	2	Heating	RNA	116.0	20.0		Na(I)	232	2023-08-23_RNA_melting_2_VS.csv	25.0	mM	CaCl2																	
232	9	50 mM MgCl2	260.0	90.0	21.0	1	Cooling	RNA	116.0	20.0		Na(I)	233	2023-08-23_RNA_melting_2_VS.csv	50.0	mM	MgCl2																	
233	10	50 mM MgCl2	260.0	21.0	90.0	1	Heating	RNA	116.0	20.0		Na(I)	234	2023-08-23_RNA_melting_2_VS.csv	50.0	mM	MgCl2																	
234	11	50 mM MgCl2	260.0	90.0	21.0	2	Cooling	RNA	116.0	20.0		Na(I)	235	2023-08-23_RNA_melting_2_VS.csv	50.0	mM	MgCl2																	
235	12	50 mM MgCl2	260.0	21.0	90.0	2	Heating	RNA	116.0	20.0		Na(I)	236	2023-08-23_RNA_melting_2_VS.csv	50.0	mM	MgCl2																	
236	13	25 mM MgCl2	260.0	90.0	21.0	1	Cooling	RNA	116.0	20.0		Na(I)	237	2023-08-23_RNA_melting_2_VS.csv	25.0	mM	MgCl2																	
237	14	25 mM MgCl2	260.0	21.0	90.0	1	Heating	RNA	116.0	20.0		Na(I)	238	2023-08-23_RNA_melting_2_VS.csv	25.0	mM	MgCl2																	
238	15	25 mM MgCl2	260.0	90.0	21.0	2	Cooling	RNA	116.0	20.0		Na(I)	239	2023-08-23_RNA_melting_2_VS.csv	25.0	mM	MgCl2																	
239	16	25 mM MgCl2	260.0	21.0	90.0	2	Heating	RNA	116.0	20.0		Na(I)	240	2023-08-23_RNA_melting_2_VS.csv	25.0	mM	MgCl2																	
240	17	50 mM CaCl2	400.0	90.0	21.0	1	Cooling	RNA	116.0	20.0		Na(I)	241	2023-08-23_RNA_melting_2_VS.csv	50.0	mM	CaCl2																	
241	18	50 mM CaCl2	400.0	21.0	90.0	1	Heating	RNA	116.0	20.0		Na(I)	242	2023-08-23_RNA_melting_2_VS.csv	50.0	mM	CaCl2																	
242	19	50 mM CaCl2	400.0	90.0	21.0	2	Cooling	RNA	116.0	20.0		Na(I)	243	2023-08-23_RNA_melting_2_VS.csv	50.0	mM	CaCl2																	
243	20	50 mM CaCl2	400.0	21.0	90.0	2	Heating	RNA	116.0	20.0		Na(I)	244	2023-08-23_RNA_melting_2_VS.csv	50.0	mM	CaCl2																	
244	21	25 mM CaCl2	400.0	90.0	21.0	1	Cooling	RNA	116.0	20.0		Na(I)	245	2023-08-23_RNA_melting_2_VS.csv	25.0	mM	CaCl2																	
245	22	25 mM CaCl2	400.0	21.0	90.0	1	Heating	RNA	116.0	20.0		Na(I)	246	2023-08-23_RNA_melting_2_VS.csv	25.0	mM	CaCl2																	
246	23	25 mM CaCl2	400.0	90.0	21.0	2	Cooling	RNA	116.0	20.0		Na(I)	247	2023-08-23_RNA_melting_2_VS.csv	25.0	mM	CaCl2																	
247	24	25 mM CaCl2	400.0	21.0	90.0	2	Heating	RNA	116.0	20.0		Na(I)	248	2023-08-23_RNA_melting_2_VS.csv	25.0	mM	CaCl2																	
248	25	50 mM MgCl2	400.0	90.0	21.0	1	Cooling	RNA	116.0	20.0		Na(I)	249	2023-08-23_RNA_melting_2_VS.csv	50.0	mM	MgCl2																	
249	26	50 mM MgCl2	400.0	21.0	90.0	1	Heating	RNA	116.0	20.0		Na(I)	250	2023-08-23_RNA_melting_2_VS.csv	50.0	mM	MgCl2																	
250	27	50 mM MgCl2	400.0	90.0	21.0	2	Cooling	RNA	116.0	20.0		Na(I)	251	2023-08-23_RNA_melting_2_VS.csv	50.0	mM	MgCl2																	
251	28	50 mM MgCl2	400.0	21.0	90.0	2	Heating	RNA	116.0	20.0		Na(I)	252	2023-08-23_RNA_melting_2_VS.csv	50.0	mM	MgCl2																	
252	29	25 mM MgCl2	400.0	90.0	21.0	1	Cooling	RNA	116.0	20.0		Na(I)	253	2023-08-23_RNA_melting_2_VS.csv	25.0	mM	MgCl2																	
253	30	25 mM MgCl2	400.0	21.0	90.0	1	Heating	RNA	116.0	20.0		Na(I)	254	2023-08-23_RNA_melting_2_VS.csv	25.0	mM	MgCl2																	
254	31	25 mM MgCl2	400.0	90.0	21.0	2	Cooling	RNA	116.0	20.0		Na(I)	255	2023-08-23_RNA_melting_2_VS.csv	25.0	mM	MgCl2																	
255	32	25 mM MgCl2	400.0	21.0	90.0	2	Heating	RNA	116.0	20.0		Na(I)	256	2023-08-23_RNA_melting_2_VS.csv	25.0	mM	MgCl2																	
256	1	500 mM CaCl2	260.0	90.0	21.0	1	Cooling	RNA	116.0	20.0		Na(I)	257	2023-08-23_RNA_melting_NaCl_VS.csv	500.0	mM	CaCl2																	
257	2	500 mM CaCl2	260.0	21.0	90.0	1	Heating	RNA	116.0	20.0		Na(I)	258	2023-08-23_RNA_melting_NaCl_VS.csv	500.0	mM	CaCl2																	
258	3	500 mM CaCl2	260.0	90.0	21.0	2	Cooling	RNA	116.0	20.0		Na(I)	259	2023-08-23_RNA_melting_NaCl_VS.csv	500.0	mM	CaCl2																	
259	4	500 mM CaCl2	260.0	21.0	90.0	2	Heating	RNA	116.0	20.0		Na(I)	260	2023-08-23_RNA_melting_NaCl_VS.csv	500.0	mM	CaCl2																	
260	5	100 mM CaCl2	260.0	90.0	21.0	1	Cooling	RNA	116.0	20.0		Na(I)	261	2023-08-23_RNA_melting_NaCl_VS.csv	100.0	mM	CaCl2																	
261	6	100 mM CaCl2	260.0	21.0	90.0	1	Heating	RNA	116.0	20.0		Na(I)	262	2023-08-23_RNA_melting_NaCl_VS.csv	100.0	mM	CaCl2																	
262	7	100 mM CaCl2	260.0	90.0	21.0	2	Cooling	RNA	116.0	20.0		Na(I)	263	2023-08-23_RNA_melting_NaCl_VS.csv	100.0	mM	CaCl2																	
263	8	100 mM CaCl2	260.0	21.0	90.0	2	Heating	RNA	116.0	20.0		Na(I)	264	2023-08-23_RNA_melting_NaCl_VS.csv	100.0	mM	CaCl2																	
264	9	500 mM MgCl2	260.0	90.0	21.0	1	Cooling	RNA	116.0	20.0		Na(I)	265	2023-08-23_RNA_melting_NaCl_VS.csv	500.0	mM	MgCl2																	
