Temperature (C),Abs,Measurement,Name,norm_Abs,dabs_dt
90.0,0.2912212253148314,1,10 mM MgCl2_260.00nm_90.0-21.0C,1.0,0.01679867488367126
89.0,0.29042409254307,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.9832013251163287,0.009320244577659953
88.0,0.2903366945473593,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.9813595108446801,0.005364974242004494
87.0,0.2899149337174397,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.9724713766323198,0.00925150343258313
86.0,0.2894586876063066,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.9628565039795138,0.007453164745807095
85.0,0.2892075967502847,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.9575650471407056,0.00956116468326429
84.0,0.2885512924982977,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.9437341746129853,0.014642514270252538
83.0,0.2878179600001684,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.9282800186002005,0.01579011553133458
82.0,0.2870527435178468,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.9121539435503161,0.017220624181512212
81.0,0.2861836496774401,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.8938387702371761,0.018505056031941747
80.0,0.2852965351611174,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.8751438314864326,0.019378904252489726
79.0,0.2843445094157875,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.8550809617321966,0.02081804680320143
78.0,0.2833208141633826,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.8335077378800297,0.023035478740377036
77.0,0.2821583447159734,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.8090100042514425,0.024577722704306526
76.0,0.2809882839657882,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.7843522924714167,0.023524212522627153
75.0,0.2799257971059362,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.7619615792061882,0.02251336068922999
74.0,0.2788516704850053,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.7393255710929567,0.02297363465558505
73.0,0.277745501672248,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.7160143098950181,0.020510212529296024
72.0,0.2769051642663767,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.6983051460343647,0.017677785197924567
71.0,0.2760678048287759,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.680658739499169,0.021056218455555886
70.0,0.2749068397679835,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.6561927091232529,0.02461804613442764
69.0,0.273731447766522,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.6314226472303137,0.024204021281349353
68.0,0.2726097754214941,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.6077846665605542,0.02306604899249526
67.0,0.2715423818200354,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.5852905492453232,0.021163154162241238
66.0,0.2706013022706792,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.5654583582360717,0.019145428617872384
65.0,0.269725399387027,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.5469996920095784,0.017777856628199418
64.0,0.2689141082237501,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.5299026449796729,0.016869520436854968
63.0,0.2681244102998238,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.5132606511358685,0.01713436718480063
62.0,0.2672879840561023,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.4956339106100716,0.0173270143118176
61.0,0.2664800031021877,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.4786066225122333,0.0163678890303324
60.0,0.2657346019184059,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.4628981325494068,0.015459770483148838
59.0,0.2650128052688626,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.4476870815459356,0.0153922605407667
58.0,0.2642738110651391,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.4321136114678734,0.016097994692685302
57.0,0.2634850372492965,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.415491092160565,0.016551086159453027
56.0,0.2627030427423625,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.39901143914896736,0.01587773591688052
55.0,0.2619781727223782,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.383735620326804,0.01531957480080931
54.0,0.261249150074311,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.36837228954734874,0.015401999540829575
53.0,0.2605164575966711,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.3529316212451448,0.015786493383312866
52.0,0.2597509448510805,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.336799302780723,0.016295087078986165
51.0,0.258969984673144,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.3203414470871725,0.017202934819899207
50.0,0.2581183133238466,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.3023934331409246,0.01724751468696903
49.0,0.257333122327319,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.28584641771323444,0.015857655576161367
48.0,0.2566133545064877,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.27067812198860186,0.015152696721174724
47.0,0.25589506709729,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.255541024270885,0.015346349793493932
46.0,0.2551569207779918,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.239985422401614,0.01495333244481839
45.0,0.2544759323832306,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.2256343593812482,0.014153913965090137
44.0,0.2538136542705565,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.21167759447143372,0.014311470661078282
43.0,0.2531177130766427,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.19701141805909164,0.013842787440497745
42.0,0.2524999149907906,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.18399201959043823,0.012886705678668536
41.0,0.2518947100138838,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.17123800670175457,0.011657880190165934
40.0,0.251393532682281,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.16067625921010636,0.011054418115452089
39.0,0.2508455988174828,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.1491291704708504,0.011845080702865968
38.0,0.2502693842505983,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.13698609780437443,0.011558758000151381
37.0,0.2497486236255007,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.12601165447054763,0.0103126896725233
36.0,0.2492906662314807,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.11636071845932783,0.009361164250796819
35.0,0.2488602094073763,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.10728932596895399,0.009126452017529305
34.0,0.2484245272004608,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.09810781442426922,0.00935497406126612
33.0,0.2479723826645108,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.08857937784642175,0.009047551620882846
32.0,0.2475658761519523,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.08001271118250353,0.008967395399923375
31.0,0.247121338781571,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.070644587046575,0.009196857105564223
30.0,0.2466930553792641,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.06161899697137508,0.007913343845482226
29.0,0.2463703288647612,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.05481789935561055,0.007696715464262961
28.0,0.2459626044152478,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.04622556604284916,0.008419225042177094
27.0,0.2455713086753203,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.03797944927125636,0.007443261819902451
26.0,0.2452562072777912,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.031339042403044255,0.006671978507427406
25.0,0.244938109597704,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.02463549225640155,0.007283046926434354
24.0,0.24456501521371,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.016772948550175547,0.007316762412129672
23.0,0.2442437177909348,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.010001967432142208,0.00627714244026233
22.0,0.2439692877546339,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.004218663669650886,0.00592645196541912
21.299999237060547,0.2437691032110669,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.0,0.00602665581668199
21.0,0.2432907824465842,2,10 mM MgCl2_260.00nm_21.0-90.0C,0.0,0.0006508021534948301
22.0,0.243324640049267,2,10 mM MgCl2_260.00nm_21.0-90.0C,0.0006508021534948301,0.0012549307422290196
23.0,0.2434213565273141,2,10 mM MgCl2_260.00nm_21.0-90.0C,0.002509861484458039,0.004008305723603251
24.0,0.2437416995869226,2,10 mM MgCl2_260.00nm_21.0-90.0C,0.008667413600701333,0.007526199390739537
25.0,0.2442044487998726,2,10 mM MgCl2_260.00nm_21.0-90.0C,0.017562260265937112,0.00795710013742804
26.0,0.2445696265798297,2,10 mM MgCl2_260.00nm_21.0-90.0C,0.02458161387555741,0.006723149063873637
27.0,0.2449039846221173,2,10 mM MgCl2_260.00nm_21.0-90.0C,0.031008558393684386,0.0057880598180032865
28.0,0.2451718674561692,2,10 mM MgCl2_260.00nm_21.0-90.0C,0.03615773351156398,0.00517111555226848
29.0,0.2454420331668411,2,10 mM MgCl2_260.00nm_21.0-90.0C,0.041350789498221345,0.006734541779902931
30.0,0.2458725886772351,2,10 mM MgCl2_260.00nm_21.0-90.0C,0.049626817071369844,0.008447357363130886
31.0,0.2463209708525404,2,10 mM MgCl2_260.00nm_21.0-90.0C,0.058245504224483116,0.007250063276325533
32.0,0.2466269493090085,2,10 mM MgCl2_260.00nm_21.0-90.0C,0.06412694362402091,0.00668118590344912
33.0,0.2470161404568636,2,10 mM MgCl2_260.00nm_21.0-90.0C,0.07160787603138136,0.008379094482116892
34.0,0.2474987843215192,2,10 mM MgCl2_260.00nm_21.0-90.0C,0.0808851325882547,0.008753866800986734
35.0,0.2479269700922429,2,10 mM MgCl2_260.00nm_21.0-90.0C,0.08911560963335483,0.008277155037573175
36.0,0.2483600126536662,2,10 mM MgCl2_260.00nm_21.0-90.0C,0.09743944266340104,0.0091130615240681
37.0,0.2488751735198094,2,10 mM MgCl2_260.00nm_21.0-90.0C,0.10734173268149103,0.00922967032641625
38.0,0.2493203490911744,2,10 mM MgCl2_260.00nm_21.0-90.0C,0.11589878331623354,0.0092011160462529
39.0,0.2498325389177552,2,10 mM MgCl2_260.00nm_21.0-90.0C,0.12574396477399682,0.009644330683967611
40.0,0.2503238304554745,2,10 mM MgCl2_260.00nm_21.0-90.0C,0.13518744468416877,0.010424292771617438
41.0,0.250917174427995,2,10 mM MgCl2_260.00nm_21.0-90.0C,0.1465925503172317,0.011203230381567592
42.0,0.2514895135159437,2,10 mM MgCl2_260.00nm_21.0-90.0C,0.15759390544730395,0.010809003380537766
43.0,0.2520418386285971,2,10 mM MgCl2_260.00nm_21.0-90.0C,0.16821055707830723,0.011582227971005332
44.0,0.2526946308337582,2,10 mM MgCl2_260.00nm_21.0-90.0C,0.18075836138931461,0.012067895809553864
