Temperature (C),Abs,Measurement,Name,norm_Abs,dabs_dt
90.0,0.3538066743405684,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.9298975320808934,-0.0325324562505479
89.0,0.3555978373897477,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.9624299883314413,-0.02898059506764533
88.0,0.3569978856422063,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.9878587222161841,-0.018785005834279334
87.0,0.3576663567828023,1,5 mM MgCl2_260.00nm_90.0-21.0C,1.0,-0.0048078969538911664
86.0,0.3575273093845606,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.9974745161239664,0.0023870397193355153
85.0,0.3574035068270984,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.995225920561329,0.005885620970260963
84.0,0.3568792115758851,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.9857032741834445,0.009039532225360136
83.0,0.3564081146575534,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.9771468561106087,0.012477703556375175
82.0,0.3555052236189557,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.9607478670706942,0.017650802741412897
81.0,0.3544644885498113,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.9418452506277829,0.019104419482669388
80.0,0.3534015318478923,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.9225390281053554,0.01863237117921296
79.0,0.3524127765906666,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.904580508269357,0.017503714249431368
78.0,0.3514741024558096,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.8875315996064926,0.01906681108081254
77.0,0.3503132260857422,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.8664468861077319,0.021975326034141374
76.0,0.3490542795145056,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.8435809475382099,0.022258230269197266
75.0,0.3478622510169514,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.8219304255693374,0.023199003784166894
74.0,0.346499710745646,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.7971829399698761,0.02386045072985027
73.0,0.3452348467192294,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.7742095241096368,0.024367682424340176
72.0,0.3438164524010272,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.7484475751211958,0.02608984439734341
71.0,0.3423619517319305,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.72202983531495,0.0250026958998254
70.0,0.3410632692610434,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.698442183321545,0.022866338687104415
69.0,0.3398440145303292,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.6762971579407412,0.021290123925289783
68.0,0.3387188976591122,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.6558619354709654,0.019104714806116474
67.0,0.3377402902395912,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.6380877283285082,0.018027986304320398
66.0,0.3367337378131589,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.6198059628623246,0.02054072119714906
65.0,0.3354784394571924,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.5970062859342101,0.02205805175881692
64.0,0.3343048054913572,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.5756898593446907,0.02026773942779936
63.0,0.3332466481854923,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.5564708070786114,0.018622834321517845
62.0,0.3322541436876006,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.5384441907016551,0.017627683401994443
61.0,0.3313055678742415,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.5212154402746225,0.01679332986595289
60.0,0.3304049385924232,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.5048575309697493,0.01656967105466914
59.0,0.3294809910699813,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.48807609816528424,0.015754382426437424
58.0,0.3286701376633111,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.47334876611687443,0.015200688636978266
57.0,0.3278071603823168,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.4576747208913277,0.016371926438780215
56.0,0.32686733559665,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.440604913239314,0.016663207107141725
55.0,0.325972283813436,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.42434830667704426,0.016806627776427663
54.0,0.3250166661960608,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.4069916576864587,0.01801409548219965
53.0,0.323988653561628,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.38832011571264496,0.018642213774353655
52.0,0.3229638704151113,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.36970723013775136,0.01854022645273712
51.0,0.321947088160614,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.3512396628071707,0.01935082053337414
50.0,0.3208330460811758,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.3310055890710031,0.01869488696259808
49.0,0.3198884922477754,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.31384988888197457,0.017410479903901988
48.0,0.3189158832311175,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.2961846292631991,0.017743473708787927
47.0,0.3179346616346485,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.2783629414643987,0.017216022801798625
46.0,0.3170201331125945,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.26175258365960186,0.015118227078242813
45.0,0.31626991123873,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.2481264873079131,0.01294045914781429
44.0,0.315595188614923,1,5 mM MgCl2_260.00nm_90.0-21.0C,0.23587166536397328,0.017116726215434114
