CSV Report,2024-02-19_RNA_melting_CaCl2_KCl_only_HEPES.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,500 mM CaCl2_260.00nm_90.0-21.0C,,500 mM CaCl2_260.00nm_21.0-90.0C,,500 mM CaCl2_260.00nm_90.0-21.0C_R1,,500 mM CaCl2_260.00nm_21.0-90.0C_R1,,100 mM CaCl2_260.00nm_90.0-21.0C,,100 mM CaCl2_260.00nm_21.0-90.0C,,100 mM CaCl2_260.00nm_90.0-21.0C_R1,,100 mM CaCl2_260.00nm_21.0-90.0C_R1,,50 mM CaCl2_260.00nm_90.0-21.0C,,50 mM CaCl2_260.00nm_21.0-90.0C,,50 mM CaCl2_260.00nm_90.0-21.0C_R1,,50 mM CaCl2_260.00nm_21.0-90.0C_R1,,25 mM CaCl2_260.00nm_90.0-21.0C,,25 mM CaCl2_260.00nm_21.0-90.0C,,25 mM CaCl2_260.00nm_90.0-21.0C_R1,,25 mM CaCl2_260.00nm_21.0-90.0C_R1,,500 mM CaCl2_400.00nm_90.0-21.0C,,500 mM CaCl2_400.00nm_21.0-90.0C,,500 mM CaCl2_400.00nm_90.0-21.0C_R1,,500 mM CaCl2_400.00nm_21.0-90.0C_R1,,100 mM CaCl2_400.00nm_90.0-21.0C,,100 mM CaCl2_400.00nm_21.0-90.0C,,100 mM CaCl2_400.00nm_90.0-21.0C_R1,,100 mM CaCl2_400.00nm_21.0-90.0C_R1,,50 mM CaCl2_400.00nm_90.0-21.0C,,50 mM CaCl2_400.00nm_21.0-90.0C,,50 mM CaCl2_400.00nm_90.0-21.0C_R1,,50 mM CaCl2_400.00nm_21.0-90.0C_R1,,25 mM CaCl2_400.00nm_90.0-21.0C,,25 mM CaCl2_400.00nm_21.0-90.0C,,25 mM CaCl2_400.00nm_90.0-21.0C_R1,,25 mM CaCl2_400.00nm_21.0-90.0C_R1,
Collection Time,2024-02-19 09:51:34 (+01:00),,2024-02-19 09:51:34 (+01:00),,2024-02-19 09:51:34 (+01:00),,2024-02-19 09:51:34 (+01:00),,2024-02-19 09:51:34 (+01:00),,2024-02-19 09:51:34 (+01:00),,2024-02-19 09:51:34 (+01:00),,2024-02-19 09:51:34 (+01:00),,2024-02-19 09:51:34 (+01:00),,2024-02-19 09:51:34 (+01:00),,2024-02-19 09:51:34 (+01:00),,2024-02-19 09:51:34 (+01:00),,2024-02-19 09:51:34 (+01:00),,2024-02-19 09:51:34 (+01:00),,2024-02-19 09:51:34 (+01:00),,2024-02-19 09:51:34 (+01:00),,2024-02-19 09:51:34 (+01:00),,2024-02-19 09:51:34 (+01:00),,2024-02-19 09:51:34 (+01:00),,2024-02-19 09:51:34 (+01:00),,2024-02-19 09:51:34 (+01:00),,2024-02-19 09:51:34 (+01:00),,2024-02-19 09:51:34 (+01:00),,2024-02-19 09:51:34 (+01:00),,2024-02-19 09:51:34 (+01:00),,2024-02-19 09:51:34 (+01:00),,2024-02-19 09:51:34 (+01:00),,2024-02-19 09:51:34 (+01:00),,2024-02-19 09:51:34 (+01:00),,2024-02-19 09:51:34 (+01:00),,2024-02-19 09:51:34 (+01:00),,2024-02-19 09:51:34 (+01:00),
Cell Number,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,
Module Serial Number,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,
Instrument Serial Number,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
Instrument Name,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs
,90,0.286007382803026,21,0.326229683841241,90,0.387701606658295,21,0.371709876306052,90,0.248319215315569,21,0.254391634719732,90,0.319413166772308,21,0.282187696497073,90,0.279441773388482,21,0.256769979437801,90,0.319774593409223,21,0.281936886830824,90,0.299084801744746,21,0.277433188053762,90,0.340774880690482,21,0.301267801657038,90,0.0875178813757475,21,0.0241668561939317,90,0.0232136376137667,21,0.0231089564511382,90,0.0734710970343599,21,0.0166646330884569,90,0.00492675150260763,21,0.00482085204986567,90,0.0661192138660951,21,0.0187256636458943,90,0.00614339907191046,21,0.00564191345350682,90,0.0818490138338883,21,0.0358968896213036,90,0.0251784860686473,21,0.0239091191386508
,89,0.314537848631288,22,0.326215836130971,89,0.389251916026006,22,0.371735684687075,89,0.25452611796545,22,0.254985390686747,89,0.321176577251566,22,0.282211109160483,89,0.276455503046622,22,0.256613567705054,89,0.320988740606451,22,0.282045915852346,89,0.298975796062086,22,0.276996356344266,89,0.342689290765828,22,0.301318451765648,89,0.0677379672066407,22,0.0241370101024958,89,0.0232579604670807,22,0.023098828698971,89,0.0645312086028537,22,0.0167956429624473,89,0.00489838422577343,22,0.00477503326715755,89,0.0602275677286365,22,0.0187156503254894,89,0.00594615444302638,22,0.0055904095622461,89,0.0774936523723294,22,0.0357584135241637,89,0.0245106222199206,22,0.0238623337414983
,88,0.329676337982436,23,0.32656589858688,88,0.389897438772364,23,0.37191293051654,88,0.259998475377526,23,0.255241121755119,88,0.321766901810628,23,0.28251177101237,88,0.275927477892269,23,0.256957122072654,88,0.322142415617571,23,0.282367664252367,88,0.300647578091503,23,0.277188488507577,88,0.342893923779484,23,0.301922822127819,88,0.0554059429186776,23,0.0241224277420701,88,0.0232222043871166,23,0.0230779201697515,88,0.0568272711662944,23,0.0168205589616258,88,0.00486955656984823,23,0.00477101320070911,88,0.0553782380437119,23,0.0187037857310855,88,0.00585492846558714,23,0.00560137470883944,88,0.0735146554559942,23,0.0358149567863075,88,0.0244435513983472,23,0.0238972654885139
,87,0.340134626235278,24,0.327265484098545,87,0.390306357933629,24,0.372350325187177,87,0.264839929485841,24,0.255382423484482,87,0.321879888936128,24,0.283196778551891,87,0.276448783974139,24,0.25747494548436,87,0.322594231980799,24,0.282938007621781,87,0.301147225557314,24,0.278444131164375,87,0.342635723558433,24,0.302808123577375,87,0.0462932387287984,24,0.0241193425430631,87,0.023200008798069,24,0.0230807299527499,87,0.0505178359060755,24,0.0166912521452353,87,0.00486411226743724,24,0.00478909658910398,87,0.0511951994020756,24,0.0186699364435943,87,0.00580068756697813,24,0.0055956003675352,87,0.0698710491130828,24,0.0360410340844709,87,0.024123976026325,24,0.0239491996272492
