CSV Report,2023-09-20_RNA_melting_KCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,500 mM KCl_260.00nm_90.0-21.0C,,500 mM KCl_260.00nm_21.0-90.0C,,500 mM KCl_260.00nm_90.0-21.0C_R1,,500 mM KCl_260.00nm_21.0-90.0C_R1,,5 mM KCl_260.00nm_90.0-21.0C,,5 mM KCl_260.00nm_21.0-90.0C,,5 mM KCl_260.00nm_90.0-21.0C_R1,,5 mM KCl_260.00nm_21.0-90.0C_R1,,1 mM KCl_260.00nm_90.0-21.0C,,1 mM KCl_260.00nm_21.0-90.0C,,1 mM KCl_260.00nm_90.0-21.0C_R1,,1 mM KCl_260.00nm_21.0-90.0C_R1,,0.1 mM KCl_260.00nm_90.0-21.0C,,0.1 mM KCl_260.00nm_21.0-90.0C,,0.1 mM KCl_260.00nm_90.0-21.0C_R1,,0.1 mM KCl_260.00nm_21.0-90.0C_R1,,500 mM KCl_400.00nm_90.0-21.0C,,500 mM KCl_400.00nm_21.0-90.0C,,500 mM KCl_400.00nm_90.0-21.0C_R1,,500 mM KCl_400.00nm_21.0-90.0C_R1,,5 mM KCl_400.00nm_90.0-21.0C,,5 mM KCl_400.00nm_21.0-90.0C,,5 mM KCl_400.00nm_90.0-21.0C_R1,,5 mM KCl_400.00nm_21.0-90.0C_R1,,1 mM KCl_400.00nm_90.0-21.0C,,1 mM KCl_400.00nm_21.0-90.0C,,1 mM KCl_400.00nm_90.0-21.0C_R1,,1 mM KCl_400.00nm_21.0-90.0C_R1,,0.1 mM KCl_400.00nm_90.0-21.0C,,0.1 mM KCl_400.00nm_21.0-90.0C,,0.1 mM KCl_400.00nm_90.0-21.0C_R1,,0.1 mM KCl_400.00nm_21.0-90.0C_R1,
,66,0.598289077009513,45,0.472529632949065,66,0.603794256686566,45,0.472821636034299,66,0.47696975475291,45,0.394778299207101,66,0.494730706837022,45,0.408473698172818,66,0.37396898718471,45,0.344568811015606,66,0.388753884104034,45,0.356608743446166,66,0.353213632974921,45,0.336174837984554,66,0.365063792840004,45,0.346627315253071,66,0.0248153423445856,45,0.0247702069160715,66,0.0246434201049641,45,0.0245494923368268,66,0.00578747182486559,45,0.00553948021959692,66,0.00564097041066805,45,0.00547409409515323,66,0.00747367509396292,45,0.00749112079426732,66,0.00721536514279987,45,0.0071953697325144,66,0.0245347036700335,45,0.0243372129629127,66,0.0243298841259381,45,0.0241322767801832
,65,0.591833040683264,46,0.477347499170204,65,0.597411048218729,46,0.477724240816247,65,0.473611280240443,46,0.398116873853748,65,0.491198985918281,46,0.411697662415895,65,0.373043635495862,46,0.346238981120361,65,0.387768476452034,46,0.358200730718317,65,0.352796530829247,46,0.337275952139348,65,0.364570432672553,46,0.347773081044317,65,0.0248320717197531,46,0.024766364230271,65,0.0246188624037928,46,0.0245684154492959,65,0.00577444565191421,46,0.00556883684622142,65,0.00565011077885306,46,0.00549823192769076,65,0.00746710948145226,46,0.0075084203999242,65,0.00721978614285889,46,0.00720371653949224,65,0.0245263918449295,46,0.0243350170699537,65,0.0243105429366272,46,0.0241564294792277
,64,0.585716280985706,47,0.482422613243178,64,0.591150252360317,47,0.482709412119097,64,0.470126800868599,47,0.401481323024344,64,0.48774620866215,47,0.41512394762705,64,0.372117896371827,47,0.347936548419989,64,0.386783480117475,47,0.359882642574971,64,0.352317526358064,47,0.338446089163825,64,0.36404322780336,47,0.349009687482902,64,0.0248252160794,47,0.0247984621830313,64,0.0246259825573934,47,0.0245611204025358,64,0.00573424749546237,47,0.00556904668295418,64,0.00567039930658176,47,0.00549787292411565,64,0.00744678642883436,47,0.00753041927554565,64,0.0072422081315364,47,0.00721463336917042,64,0.0244761034857213,47,0.0243492553205802,64,0.0242996863302077,47,0.0241575411836202
,63,0.57959390721645,48,0.487343736490493,63,0.584773003715656,48,0.487931395860711,63,0.466682133294413,48,0.404853069921942,63,0.48424269573722,48,0.418644414585793,63,0.371255594181656,48,0.349584564463586,63,0.385709642748912,48,0.361631425229311,63,0.351859426264512,48,0.339590343480123,63,0.363552283576549,48,0.350274361229349,63,0.0248159786465497,48,0.0248258833931129,63,0.0246309995418596,48,0.0245732733851075,63,0.00575876579850329,48,0.0055504574173296,63,0.00565872954696747,48,0.00548452735129359,63,0.00741891720810113,48,0.0075460106298411,63,0.00724855221493107,48,0.00722548978996457,63,0.0244824605174731,48,0.0243688343448779,63,0.024307743974205,48,0.0241507287246938
,62,0.57374099474485,49,0.492234473089609,62,0.578626270505743,49,0.493145816495635,62,0.463269010649733,49,0.408286717573353,62,0.480688872256323,49,0.422221579209707,62,0.37034872094007,49,0.351234822535085,62,0.384582518820658,49,0.363405156612552,62,0.351366445220233,49,0.340746354173256,62,0.363000029154656,49,0.351351548763476,62,0.0248266980418784,49,0.0247758455584174,62,0.0246266671463923,49,0.0246049738257387,62,0.00575513347075864,49,0.00558042923466238,62,0.00563392678396627,49,0.00549814910609352,62,0.00743181175830404,49,0.0075324503541241,62,0.00723699641557678,49,0.00724321296426259,62,0.0244731739832552,49,0.0243644813924777,62,0.0242935867967053,49,0.0241670286517065
,61,0.567920922459634,50,0.497371423109547,61,0.572600671177322,50,0.498422048755393,61,0.459911963968748,50,0.411863142226171,61,0.47709129061505,50,0.425877366423126,61,0.369414456279886,50,0.35296896090731,61,0.38345972136128,50,0.365196422965363,61,0.350939518241295,50,0.34187235403602,61,0.362444839275471,50,0.352534487196589,61,0.0248375486823262,50,0.0247673529318791,61,0.0246699221743286,50,0.0245943163719141,61,0.00574236441915395,50,0.0055927635029009,61,0.00561086191894704,50,0.00548298127345853,61,0.00746053420916895,50,0.00754406614218168,61,0.00725393707693025,50,0.0072402101244445,61,0.0244802315053619,50,0.0243650889281526,61,0.0242823530849141,50,0.0241693061167893
,60,0.562578845126938,51,0.502353534655622,60,0.566876892432442,51,0.503632706757429,60,0.456357054251894,51,0.415481723969931,60,0.473546749032591,51,0.429627390239381,60,0.368466991432647,51,0.354695697658667,60,0.382426511832861,51,0.366963986431054,60,0.35053508088075,51,0.343020430407309,60,0.361894842059497,51,0.353663023611966,60,0.0248719268036291,51,0.024770692741914,60,0.0246569380695315,51,0.0245979499636704,60,0.00573057422333884,51,0.00558543235173535,60,0.00561949949109084,51,0.00549793863615732,60,0.00746194610043475,51,0.00751933489649747,60,0.0072631750732868,51,0.00722476066176541,60,0.0244673733872925,51,0.0243712198424988,60,0.0242695242925703,51,0.0241630037505711
,59,0.556754893848207,52,0.507730434115254,59,0.56106232591034,52,0.508618877194661,59,0.452714528675237,52,0.419115049014922,59,0.469817925984151,52,0.433425986192944,59,0.367368322107429,52,0.356422404401264,59,0.38124486454347,52,0.368742527483178,59,0.350040092984375,52,0.344126162465875,59,0.361332992841028,52,0.354745131421295,59,0.0248562232829204,52,0.0247747108589878,59,0.0245851712802343,52,0.0245900996200434,59,0.00572248252670302,52,0.0056023224367719,59,0.00563007206879446,52,0.00548820555789303,59,0.00744778298929363,52,0.00752263056027299,59,0.00722135000480136,52,0.00720981369627322,59,0.024495997199447,52,0.0243794661008861,59,0.0242480264873092,52,0.0241434766392435
,58,0.551157684054994,53,0.512866151676235,58,0.555300842952496,53,0.513796232653864,58,0.449070751932786,53,0.422855078678107,58,0.466009008035744,53,0.437262925396036,58,0.366281631465421,53,0.358087682563142,58,0.380043865195828,53,0.370525270478451,58,0.349479089230242,53,0.345108646850117,58,0.360783087847699,53,0.355778526199179,58,0.0248248562475118,53,0.0247531862595621,58,0.0246214461699337,53,0.0246335233386805,58,0.00572963630509774,53,0.00558919516979346,58,0.00564040202884405,53,0.00549166232763723,58,0.0074325563909229,53,0.00753696730963643,58,0.00723008676934699,53,0.00723719646603026,58,0.0244914745876001,53,0.0243818318678718,58,0.0242637146526123,53,0.024164689315319
,57,0.5455301286292,54,0.518218624482358,57,0.549662067805416,54,0.519087161906058,57,0.445461034056354,54,0.42692851940327,57,0.462011847516995,54,0.441280626274957,57,0.365168223185995,54,0.359808761325267,57,0.378765484239936,54,0.372326842665087,57,0.348876640694659,54,0.346083535982868,57,0.360155139314221,54,0.356780229813402,57,0.0247761736151884,54,0.0247259757449867,57,0.0246554688661659,54,0.0246160426880249,57,0.00574061647273924,54,0.00559669485747603,57,0.00562569193078668,54,0.00550056117840813,57,0.00742388964487944,54,0.00751107188524685,57,0.00724868292548166,54,0.00727121165514597,57,0.0244323491949528,54,0.0243686060143357,57,0.0242826371272733,54,0.0241590918489993
,56,0.540184693621856,55,0.523641918489236,56,0.544129565880396,55,0.524344269759348,56,0.441858149030004,55,0.430819927914202,56,0.458259692120032,55,0.445207171716868,56,0.364055273600537,55,0.361428368034911,56,0.377508996609978,55,0.373903411521814,56,0.348248988773564,55,0.346983555389874,56,0.359493913670421,55,0.357715733497261,56,0.0247959780090115,55,0.0247811971880847,56,0.0246101194983878,55,0.0246114454081617,56,0.00572455095820498,55,0.00559163899945406,56,0.00562806818648631,55,0.00552139646873014,56,0.007448261970509,55,0.00751176363609915,56,0.0072201884922175,55,0.00724744563475176,56,0.0244255542100822,55,0.0243708406750749,56,0.0242590076499384,55,0.0241612583126119
,55,0.534746392063085,56,0.529031049112573,55,0.538738349809587,56,0.529526294927026,55,0.437984949809356,56,0.434605391387525,55,0.454344294462402,56,0.449284134496654,55,0.362800151635652,56,0.362965174633085,55,0.376173122973492,56,0.375550949419427,55,0.347634350387826,56,0.347848682871642,55,0.358824051959012,56,0.358587333337684,55,0.0247951653411627,56,0.0247782378557107,55,0.0246376349857138,56,0.0246132196505636,55,0.00572891636191237,56,0.00560737888851144,55,0.00562473876059614,56,0.00553356602611499,55,0.00747050655625235,56,0.00749990614095507,55,0.00720009642535076,56,0.00723708425530625,55,0.0244311091352532,56,0.0243700397848975,55,0.0242338739839572,56,0.0241877604912454
,54,0.529468304778685,57,0.534577817883322,54,0.533348471560489,57,0.535114721174352,54,0.434099632501822,57,0.438677173174675,54,0.450322242897781,57,0.453483159774971,54,0.36147054604776,57,0.364554788880358,54,0.374766207328487,57,0.37718986619887,54,0.346950063339973,57,0.348714840280986,54,0.358116780713121,57,0.359434328652471,54,0.0248114382003951,57,0.024762282940183,54,0.0246513285856302,57,0.0246199057384967,54,0.0057016876976984,57,0.00561516735653009,54,0.00562906426947242,57,0.00551226186971815,54,0.00743445173194961,57,0.00749603006352807,54,0.00723275558167485,57,0.00723738993849817,54,0.0244293112277557,57,0.0243772819374012,54,0.0242468484695336,57,0.0241895742697007
,53,0.524119692432934,58,0.540174796189171,53,0.52781633087747,58,0.540487293790434,53,0.430302341831105,58,0.442674578438951,53,0.446375457204618,58,0.457453880341637,53,0.360090212616832,58,0.366015287571245,53,0.373306261204173,58,0.378621225190234,53,0.346213193569252,58,0.349541487069551,53,0.357293827810899,58,0.360214880253609,53,0.0248114858782995,58,0.0247812393829342,53,0.0246471807363285,58,0.0245853163154283,53,0.00569725386389034,58,0.00561026656033588,53,0.00564287788402248,58,0.00552954711897136,53,0.00742650414419962,58,0.00750415655580541,53,0.00724895652768111,58,0.00722624635895127,53,0.0244226809047202,58,0.0243792767431419,53,0.0242627551832377,58,0.0241778259846023
,52,0.518897084010957,59,0.545683146639763,52,0.522367943737365,59,0.545790143618266,52,0.426510870533006,59,0.446520692626821,52,0.442435365501555,59,0.461542613985555,52,0.358714803514602,59,0.367344891492878,52,0.371774613117102,59,0.380048249041165,52,0.345432576809061,59,0.350287273887714,52,0.356434656024737,59,0.36096066444995,52,0.0248139601432386,59,0.0247832292480738,52,0.0245915214396797,59,0.0245749100172312,52,0.00570902335530042,59,0.00561679978192385,52,0.00562326348170812,59,0.00554133723027192,52,0.00747543862071372,59,0.00749817559523468,52,0.00720441555367508,59,0.00720631403788598,52,0.0244259844648697,59,0.0243706706357594,52,0.0242181794189174,59,0.0241693168847555
,51,0.513701988755761,60,0.551594209511084,51,0.517279204916487,60,0.551424442620324,51,0.422795019502038,60,0.450503353237114,51,0.438623190524239,60,0.465642795622374,51,0.357276578226566,60,0.36865554477987,51,0.370253463505287,60,0.3814828252922,51,0.344592790078438,60,0.351006502893283,51,0.355545449618096,60,0.361718306009597,51,0.0248469888077407,60,0.0247885597215248,51,0.0246458439492274,60,0.0245759765271883,51,0.00568573621508294,60,0.00560766487153048,51,0.00561273805476978,60,0.00554866101238448,51,0.00746373816704479,60,0.0074933161747836,51,0.0072497238460612,60,0.00719104619617486,51,0.024402953067134,60,0.0243727513603508,51,0.0242568369586252,60,0.0241636097464147
,50,0.508730349786094,61,0.558202870986582,50,0.512243032581908,61,0.556599094491077,50,0.419168381350216,61,0.454324996024775,50,0.434774852007896,61,0.469509465489666,50,0.355724406106053,61,0.369891823239486,50,0.368655109017711,61,0.382822687751515,50,0.343704218359186,61,0.35173711843412,50,0.354599089143112,61,0.362425784409996,50,0.0248811918444992,61,0.0247342700821603,50,0.0247146852623078,61,0.0245837846939861,50,0.00567836455299995,61,0.00561365597977062,50,0.00560964616724161,61,0.00554499307948684,50,0.00747007967023349,61,0.00747159179362287,50,0.00730700704793301,61,0.00721857659369034,50,0.0244232917372996,61,0.0243917605193185,50,0.0242526795283651,61,0.024191540062788
,49,0.503701361356921,62,0.564559254465303,49,0.507028769105707,62,0.561529552634549,49,0.415544346410839,62,0.458107538976735,49,0.430871721586197,62,0.473201062025266,49,0.354167237476763,62,0.37118873338846,49,0.366909505263689,62,0.38407064565877,49,0.342726340581007,62,0.352772151064054,49,0.35358213592699,62,0.363062771909495,49,0.024868235065454,62,0.02475081048599,49,0.0246607932390216,62,0.0245554567998274,49,0.00567863529264057,62,0.00561988011120421,49,0.00561031982844785,62,0.00552064904779504,49,0.007479852858477,62,0.00748542181403944,49,0.00727896106260812,62,0.00720083330768749,49,0.024437015393524,62,0.0244099261438084,49,0.0242183613342625,62,0.0241945823400302
,48,0.498586663778949,63,0.569298414471173,48,0.501884216539906,63,0.56718541954096,48,0.411909022054504,63,0.461832586817434,48,0.427223120592146,63,0.477197519809221,48,0.352542852827431,63,0.372445165000474,48,0.365260832948486,63,0.385401341875577,48,0.341638755570422,63,0.353513303958291,48,0.352467295313933,63,0.36371687405661,48,0.0248439584099649,63,0.0247489108274208,48,0.0247206828593912,63,0.0245621571283356,48,0.00566946948503287,63,0.00561050030415065,48,0.00558365291282743,63,0.00553729210816439,48,0.00747871988845663,63,0.00748760003810089,48,0.00730170741070354,63,0.00722704204168565,48,0.0243839933726537,63,0.0244295560714578,48,0.0242283838527255,63,0.024185124575271
,47,0.493579971952994,64,0.575024882359763,47,0.496840794326968,64,0.572940893203467,47,0.408355860289404,64,0.465439751595817,47,0.423609961107827,64,0.481565422972764,47,0.35091140032388,64,0.373545414948535,47,0.363582025758047,64,0.386610142158054,47,0.340547228514344,64,0.353909734763245,47,0.351389681183755,64,0.364353529538593,47,0.0248242128197767,64,0.0247245456313321,47,0.0246924712925687,64,0.0245795456585944,47,0.00566557634877499,64,0.0056322243863132,47,0.00559543681658822,64,0.00555941478722619,47,0.0074786487327051,64,0.00748104700145774,47,0.00731829519288679,64,0.00723793941733497,47,0.0243685165732953,64,0.02442729540307,47,0.0242188058265533,64,0.0241989964709434
,46,0.488758810833328,65,0.581395040324275,46,0.49183479937475,65,0.579256602563071,46,0.404950201193207,65,0.469280636347048,46,0.420104124353962,65,0.48591217080362,46,0.349335595649423,65,0.374632478406323,46,0.361868805472007,65,0.387938386861675,46,0.339540808213191,65,0.354498725521229,46,0.350223158793715,65,0.364994189544786,46,0.0248496191682911,65,0.0247401308327837,46,0.0246569408101101,65,0.0245527394186138,46,0.00568376974000028,65,0.00561865832837436,46,0.00559092007889515,65,0.00558001813651469,46,0.00751366379503289,65,0.00749868267650231,46,0.00729045909469596,65,0.0072034260693304,46,0.0244178165989635,65,0.0244269637626393,46,0.0242104068254848,65,0.0241942374966898
,45,0.483945948397525,66,0.587545221849142,45,0.48699919090862,66,0.585462917539806,45,0.401637508442836,66,0.473146700168216,45,0.416594455278631,66,0.489250753100446,45,0.347777795001255,66,0.375760635336742,45,0.36015107753896,66,0.389330230319561,45,0.338491433609774,66,0.355028191873131,45,0.349046629793386,66,0.365623528033026,45,0.0248870246687379,66,0.0247959180952961,45,0.0246719635569746,66,0.0245616551679064,45,0.00566042193911781,66,0.00561138318555488,45,0.00559192448624748,66,0.00558650143975707,45,0.00751986286856878,66,0.00749350950308752,45,0.00728212514484927,66,0.00721560363807818,45,0.0244260245329438,66,0.0244269789474487,45,0.0241804937420058,66,0.0242104058361763
,44,0.479184697039984,67,0.594090976112106,44,0.482271427237957,67,0.591259859301998,44,0.398290493378059,67,0.476583078371871,44,0.413231506303851,67,0.492807027905073,44,0.346166559007853,67,0.376914618748314,44,0.358536480557937,67,0.390342819221452,44,0.337314006647201,67,0.355638905290339,44,0.347962775271142,67,0.366231956173857,44,0.0248353085436093,67,0.0247743602662681,44,0.0246636310120443,67,0.0245614256784362,44,0.0056594064689938,67,0.00562283799306024,44,0.00558600665006173,67,0.00557043356408826,44,0.00748428459150757,67,0.00746864367127145,44,0.007272540637117,67,0.00722636510095144,44,0.0243823137374572,67,0.0244248607344231,44,0.0242025921428518,67,0.0242246452704514
,43,0.47458066841388,68,0.600794178469254,43,0.477589524075097,68,0.596622844943194,43,0.395019510571049,68,0.48015264227191,43,0.409846485073776,68,0.496382859303921,43,0.34465122893775,68,0.37811871739604,43,0.356887665049061,68,0.391491116608355,43,0.336260430736626,68,0.356224930202969,43,0.346834863302028,68,0.366835614454841,43,0.0248769320750265,68,0.0247166636297653,43,0.0246969163771936,68,0.0245365652373104,43,0.00566152819155521,68,0.00562201699118613,43,0.00558893241970329,68,0.00557786362410368,43,0.00750239734401567,68,0.00747984674394256,43,0.00727565318542701,68,0.00722390199540729,43,0.0243835183293626,68,0.0244475637056457,43,0.0241995474917498,68,0.0242132870816365
,42,0.470017379443501,69,0.607755928246141,42,0.472571047848227,69,0.601922207973443,42,0.391906319578341,69,0.483693410478988,42,0.406555555338709,69,0.499919659909746,42,0.343142357306668,69,0.379309333131339,42,0.355255087081423,69,0.392569157392288,42,0.335223600715531,69,0.356765202253406,42,0.345670235872162,69,0.367509718488881,42,0.0249071708673451,69,0.0247780677453196,42,0.024724476641049,69,0.0245431924063875,42,0.00563119507665885,69,0.00563860480302935,42,0.00557696936862874,69,0.00557302808629182,42,0.00751044245589859,69,0.00754468517596523,42,0.0073316740782824,69,0.0072204602316894,42,0.0243791017211986,69,0.0244801300586771,42,0.0242109441985685,69,0.0242115357875049
,41,0.465355881650531,70,0.614892063424159,41,0.467970894682178,70,0.608158611966594,41,0.388767228065613,70,0.487286969479039,41,0.40325617305238,70,0.503816079768915,41,0.341589763071609,70,0.380549346725837,41,0.353640571498372,70,0.393817716741552,41,0.334205774048552,70,0.357300888766029,41,0.344647527071146,70,0.368189125312648,41,0.0248585629467494,70,0.0247996134154902,41,0.0246658400598146,70,0.0245173216584953,41,0.00562234236666947,70,0.00563969417473466,41,0.00554908842922424,70,0.00557289542168255,41,0.0075211586084204,70,0.00755837584634783,41,0.00731085760685487,70,0.00721716292877969,41,0.0243709798896458,70,0.0244676810753727,41,0.0241737348103598,70,0.0242065294315456
,40,0.460944455264828,71,0.622080681288737,40,0.463561730070148,71,0.615833679920798,40,0.385783985194743,71,0.490855156802583,40,0.400204788206271,71,0.507651930251749,40,0.340171341207074,71,0.381780780635991,40,0.352094148085213,71,0.395092368699301,40,0.33318764115515,71,0.357890643675992,40,0.343604474555969,71,0.368841739997708,40,0.0249089273241333,71,0.0247385465412276,40,0.0246310678419618,71,0.0245336514818569,40,0.00564898381383521,71,0.00564173525005405,40,0.00553084250287431,71,0.00556888562553446,40,0.00753719755622098,71,0.00751323431508875,40,0.00731354529286104,71,0.00722673818780747,40,0.0243885678813644,71,0.0244431462685224,40,0.0241502366906202,71,0.0241977034932099
,39,0.456667402195155,72,0.62921984736894,39,0.459170963983355,72,0.624009679313186,39,0.382755664138151,72,0.494461599491479,39,0.39708526537853,72,0.511687525370786,39,0.338660115867831,72,0.382874997820118,39,0.350497231978831,72,0.396299608474535,39,0.332195740855063,72,0.358479112067048,39,0.342558195037525,72,0.369494583373487,39,0.0249566704856213,72,0.0247420324106014,39,0.0246474348334373,72,0.024554504447315,39,0.00563756196354548,72,0.0056482226996835,39,0.0055276226705433,72,0.00556588435974409,39,0.00754367979066428,72,0.00749904535218322,39,0.00734090875835982,72,0.00722278514727445,39,0.0243847566203494,72,0.0244743181821768,39,0.0241684970665304,72,0.0241979820894913
,38,0.45225904501469,73,0.636326168083772,38,0.454769246493696,73,0.631466158391057,38,0.379766490839232,73,0.4979825830607,38,0.393985422013859,73,0.515731510230678,38,0.337104776800913,73,0.384014046093088,38,0.348924975804003,73,0.39753554558573,38,0.331203197521548,73,0.359073306577256,38,0.341499686815827,73,0.370200223196794,38,0.0249136551122122,73,0.024741437492417,38,0.0246400450042951,73,0.0245598698145087,38,0.00565538826364574,73,0.0056160459307224,38,0.0055503422969925,73,0.00558925352648196,38,0.00755141787840579,73,0.00750123779677906,38,0.00733243032335216,73,0.00722810665405571,38,0.0243780486874873,73,0.0244773267505586,38,0.024154554424694,73,0.0241959147733719
,37,0.44825068814447,74,0.643595045578479,37,0.4504757903392,74,0.638241960671793,37,0.376880360348111,74,0.501512972207437,37,0.390840628622142,74,0.519249509283639,37,0.335645534614208,74,0.385152446384624,37,0.347422552900982,74,0.398746826522542,37,0.330263643723204,74,0.359632398106777,37,0.340416089323209,74,0.3709795776833,37,0.0248970775850629,74,0.024726516350923,37,0.0246523296570269,74,0.0245440450667686,37,0.00566158600499299,74,0.00560826875378295,37,0.0055492960615478,74,0.0056021907374937,37,0.00751961713706244,74,0.0074868118966137,37,0.00733037593880072,74,0.00723697481764295,37,0.0243778865895031,74,0.0244429146535072,37,0.0241515081452089,74,0.0242154394679637
,36,0.444149810242294,75,0.651127999688849,36,0.446540339683998,75,0.64545395604779,36,0.374020881755995,75,0.505440684422515,36,0.387977551867015,75,0.522906975919146,36,0.334219503934476,75,0.386322486930765,36,0.345990022608972,75,0.399897014855904,36,0.32928212942717,75,0.360314596702093,36,0.33943526404203,75,0.371740176943982,36,0.0248746729144216,75,0.0247571183600283,36,0.0246823905813231,75,0.0245417964733964,36,0.00564237774632106,75,0.00563388653306829,36,0.00557701966844181,75,0.0056099290101358,36,0.00753909413247298,75,0.00748104357465187,36,0.00735936779382594,75,0.0072167397910727,36,0.0243789866895452,75,0.0244375914024064,36,0.0241617127971591,75,0.0242090524525381
,35,0.440136116686963,76,0.658485146845317,35,0.442513158782909,76,0.652751003297858,35,0.371048477169041,76,0.509311864075597,35,0.384986764573396,76,0.526928755059031,35,0.332770319580372,76,0.387515418918822,35,0.34443374675555,76,0.401228589090707,35,0.328270221859782,76,0.36111760453195,35,0.338388577917639,76,0.372469065277286,35,0.0248306931759344,76,0.0247633478031685,35,0.0246842581782174,76,0.0245452137326142,35,0.00560914210072374,76,0.00564925998252229,35,0.0055404752142611,76,0.00560678973219024,35,0.00755652330286449,76,0.00750706333084053,35,0.00734580534064806,76,0.00721754157967083,35,0.0243514455174204,76,0.0244729199412196,35,0.0241527776509487,76,0.0242043858595883
,34,0.436499202558013,77,0.665578201787892,34,0.438576903305273,77,0.659518641981557,34,0.368135930061105,77,0.513205187181052,34,0.381884767063055,77,0.531072355164906,34,0.331311160048719,77,0.388700012920303,34,0.342858661364932,77,0.402603220169997,34,0.327246914228219,77,0.361957752911638,34,0.337349317211129,77,0.373159550426745,34,0.0248773570447652,77,0.0247313655138109,34,0.0246862184627167,77,0.0245317145056314,34,0.00561164892458328,77,0.00566975187214918,34,0.00554354112625707,77,0.00561117954813612,34,0.00752937552020195,77,0.00751110325390989,34,0.00733726304323671,77,0.00720454512595523,34,0.0243403006266222,77,0.0244913008833019,34,0.0241328735353763,77,0.0242132502859859
,33,0.432665096001928,78,0.672105544742266,33,0.43469024341175,78,0.666309266305428,33,0.365337709641246,78,0.517162717722817,33,0.378932373791607,78,0.535345584791537,33,0.329909508157354,78,0.389883766744403,33,0.341401419240997,78,0.403920734646396,33,0.326207356439615,78,0.362684111727944,33,0.336268691839335,78,0.373794055033429,33,0.0249126788378554,78,0.0246933155791464,33,0.0246637724857134,78,0.0245293573947879,33,0.00562940123540319,78,0.00566314844258485,33,0.00556219469873628,78,0.00564062040978034,33,0.00752283643953325,78,0.0074994601119935,33,0.00734538879270872,78,0.00721089398575865,33,0.0243409184911433,78,0.0244689166789011,33,0.0241597868575434,78,0.0242137321580745
,32,0.428791797506868,79,0.679122574594248,32,0.430859292457376,79,0.673577486112852,32,0.362452721082912,79,0.52106143929924,32,0.375941685006524,79,0.539419454839673,32,0.328492943455642,79,0.391059438790519,32,0.33995066045872,79,0.405288359204415,32,0.325147495987049,79,0.363324952483319,32,0.335177106227368,79,0.374386479616368,32,0.0248163505124126,79,0.0247064352817989,32,0.0247063011522853,79,0.0245516106520908,32,0.00562399629546477,79,0.00563352457127169,32,0.00556325407765774,79,0.00562087586733322,32,0.00754072790192112,79,0.00749128620684587,32,0.00736015446355624,79,0.00723551928967726,32,0.0243553430922064,79,0.0244533348845972,32,0.0241656695102526,79,0.02422772149303
,31,0.42534493625442,80,0.686195635526136,31,0.427330847452026,80,0.680900433969743,31,0.359640884175695,80,0.524890451470758,31,0.37300338964353,80,0.54324177991669,31,0.327128507737663,80,0.39218272052125,31,0.338549736579088,80,0.406508761923585,31,0.324134098917882,80,0.3639416233978,31,0.334079610128208,80,0.375048924991913,31,0.0248652924938061,80,0.0247264999522042,31,0.024724576832489,80,0.0245684137794364,31,0.00563448239439582,80,0.00564060816658297,31,0.00556269137764388,80,0.00562010862129971,31,0.00756561030466449,80,0.00749894732890605,31,0.00739747328094924,80,0.00724003745285261,31,0.0243641488321591,80,0.0244654046714765,31,0.0241987139663925,80,0.0242454294235773
,30,0.421819696466284,81,0.693247917350552,30,0.423586019430551,81,0.68814735032379,30,0.356815490067446,81,0.528961154410682,30,0.370088096696029,81,0.547301840167662,30,0.325764968048991,81,0.3934032267878,30,0.337152173991326,81,0.407738243215955,30,0.323048958272955,81,0.364546898290166,30,0.3330043164186,81,0.376108783949699,30,0.0248695804938531,81,0.02470137670396,30,0.0246555354850387,81,0.0245802013489107,30,0.00563471552298389,81,0.00567048170660555,30,0.00552651514558086,81,0.00563259304820738,30,0.00757016255984713,81,0.00752220792572918,30,0.00737111344873172,81,0.00723108456796667,30,0.0243519641393961,81,0.0244841733795219,30,0.0241413463086218,81,0.0242354816849322
,29,0.418212338097805,82,0.700217647506765,29,0.420131462233011,82,0.695250243328634,29,0.353891293160937,82,0.53321849909473,29,0.367179051243897,82,0.551423841203036,29,0.324352172207473,82,0.394688797889235,29,0.335732731827737,82,0.409127279007414,29,0.321971172260124,82,0.365263792430013,29,0.331968065088766,82,0.377114079173647,29,0.0248558333534075,82,0.0246987079112267,29,0.024653757583844,82,0.0245840364911643,29,0.00564365393547836,82,0.00565710192391874,29,0.00554373175072404,82,0.00565424605229277,29,0.00760036827240498,82,0.00752073492576291,29,0.00736014749757186,82,0.00724252557160594,29,0.0243724387578126,82,0.024473671026383,29,0.0241401150696974,82,0.0242343413223054
