CSV Report,2023-09-20_RNA_melting_KCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,500 mM KCl_260.00nm_90.0-21.0C,,500 mM KCl_260.00nm_21.0-90.0C,,500 mM KCl_260.00nm_90.0-21.0C_R1,,500 mM KCl_260.00nm_21.0-90.0C_R1,,5 mM KCl_260.00nm_90.0-21.0C,,5 mM KCl_260.00nm_21.0-90.0C,,5 mM KCl_260.00nm_90.0-21.0C_R1,,5 mM KCl_260.00nm_21.0-90.0C_R1,,1 mM KCl_260.00nm_90.0-21.0C,,1 mM KCl_260.00nm_21.0-90.0C,,1 mM KCl_260.00nm_90.0-21.0C_R1,,1 mM KCl_260.00nm_21.0-90.0C_R1,,0.1 mM KCl_260.00nm_90.0-21.0C,,0.1 mM KCl_260.00nm_21.0-90.0C,,0.1 mM KCl_260.00nm_90.0-21.0C_R1,,0.1 mM KCl_260.00nm_21.0-90.0C_R1,,500 mM KCl_400.00nm_90.0-21.0C,,500 mM KCl_400.00nm_21.0-90.0C,,500 mM KCl_400.00nm_90.0-21.0C_R1,,500 mM KCl_400.00nm_21.0-90.0C_R1,,5 mM KCl_400.00nm_90.0-21.0C,,5 mM KCl_400.00nm_21.0-90.0C,,5 mM KCl_400.00nm_90.0-21.0C_R1,,5 mM KCl_400.00nm_21.0-90.0C_R1,,1 mM KCl_400.00nm_90.0-21.0C,,1 mM KCl_400.00nm_21.0-90.0C,,1 mM KCl_400.00nm_90.0-21.0C_R1,,1 mM KCl_400.00nm_21.0-90.0C_R1,,0.1 mM KCl_400.00nm_90.0-21.0C,,0.1 mM KCl_400.00nm_21.0-90.0C,,0.1 mM KCl_400.00nm_90.0-21.0C_R1,,0.1 mM KCl_400.00nm_21.0-90.0C_R1,
,86,0.734296605884407,25,0.397890150728473,86,0.745513878308146,25,0.399438226244621,86,0.541968965565847,25,0.337832546211781,86,0.564246562288244,25,0.3500646426417,86,0.391947483649024,25,0.315721286742096,86,0.406973678905661,25,0.326665183634419,86,0.359108531127185,25,0.315437007874979,86,0.372980573272114,25,0.325110168311964,86,0.0251087936021817,25,0.0247703295449595,86,0.0246740252921663,25,0.0245902757823634,86,0.00590812543010453,25,0.00546883998220741,86,0.00565470885099137,25,0.0054033247093702,86,0.00745865915885213,25,0.0075297687008363,86,0.00738044012447446,25,0.00730672436576523,86,0.0245584835188797,25,0.0243157004004197,86,0.0244905026619509,25,0.0241130757646611
,85,0.727499728611276,26,0.400762067853784,85,0.738462904202742,26,0.402357185308257,85,0.538894573924648,26,0.339673767624787,85,0.560488301728802,26,0.352467187776532,85,0.391431234831889,26,0.317085399286913,85,0.406017477100832,26,0.328056780895884,85,0.359278798257485,26,0.316388095780697,85,0.372558076600058,26,0.326236896518574,85,0.0250537311486305,26,0.0247872193591624,85,0.0246709341274621,26,0.0245802363981297,85,0.00587793477105143,26,0.005465941405193,85,0.00565215788747783,26,0.00542784236233855,85,0.00743854874061193,26,0.0075137052575276,85,0.00734565238270103,26,0.00728916759994327,85,0.0245462423052166,26,0.0243236360256347,85,0.0244699663493772,26,0.024112863883444
,84,0.72043115127117,27,0.403649077567681,84,0.731491130505869,27,0.404998622738323,84,0.535607903829376,27,0.342059553129439,84,0.55705344963158,27,0.354814261064726,84,0.390745056233519,27,0.318416043534831,84,0.405109106762423,27,0.329443714425561,84,0.359325340646603,27,0.317343116454724,84,0.372137651198596,27,0.327222354010431,84,0.024996463959863,27,0.0248328599726943,84,0.0246803647276397,27,0.0246030206179949,84,0.00585932251377299,27,0.00550013880812771,84,0.00565537854875556,27,0.00542196067414654,84,0.00745462309962796,27,0.0075348776069813,84,0.00733495696042169,27,0.00728031632561751,84,0.0245281307418733,27,0.0243321519365956,84,0.0244690348218032,27,0.0241194881346346
,83,0.714263392352948,28,0.406552251533376,83,0.724395717837252,28,0.407884018907621,83,0.532389518057806,28,0.345078744410997,83,0.553521572565646,28,0.357323819318107,83,0.389622914222145,28,0.319704358264736,83,0.404099977887132,28,0.330813565899144,83,0.359049405731373,28,0.318408221952751,83,0.371723948469255,28,0.328227022585865,83,0.0249360514588577,28,0.0248055497033438,83,0.0246872451004252,28,0.0246114311786055,83,0.00585854744340807,28,0.0055096884862337,83,0.00564239364605446,28,0.0054181285309237,83,0.00750041570153402,28,0.00752562523703915,83,0.00731923080528453,28,0.00726982216717146,83,0.0245276181681277,28,0.0243309623299499,83,0.0244794941557258,28,0.0241259681247663
,82,0.707527484737591,29,0.409643986997301,82,0.717348374600688,29,0.410930664055604,82,0.52899068353742,29,0.348080515745125,82,0.550045195314481,29,0.359968098942475,82,0.388230933082092,29,0.321088601979517,82,0.403191432215059,29,0.332186949432049,82,0.358647657555671,29,0.319545021231439,82,0.37140511208741,29,0.329280376484265,82,0.024988567054719,29,0.0247744843778358,82,0.0246958310038062,29,0.0245767812282465,82,0.00587105754797508,29,0.00552317516380449,82,0.00565828428949354,29,0.00543071966702094,82,0.00748650287138123,29,0.00750588717259844,82,0.00732948538390114,29,0.00724523496240913,82,0.0245347688809864,29,0.0243670384194508,82,0.0244492076672537,29,0.0241076521246911
,81,0.7005064124132,30,0.412842178990987,81,0.710628085215295,30,0.414216685556376,81,0.525809181039135,30,0.350597196035946,81,0.546630233223097,30,0.362843623580349,81,0.387169271769176,30,0.322480326268504,81,0.402333776457452,30,0.333671030899655,81,0.358289911343152,30,0.320539214377737,81,0.371115879417493,30,0.330354415391721,81,0.0249787962032785,30,0.024781274589287,81,0.0247061572093483,30,0.0245669687878192,81,0.00584961622980888,30,0.00554462430481739,81,0.00570006162726906,30,0.00543238761594969,81,0.00745878317874395,30,0.00752927730799801,81,0.00733131746925512,30,0.00723603445417792,81,0.0245397017294467,30,0.0243650098002964,81,0.0244436398259212,30,0.024087117320217
,80,0.694034089992713,31,0.416175112809897,80,0.703384050333567,31,0.417418858730067,80,0.522591478748048,31,0.353708102580839,80,0.543109168961484,31,0.365658553630626,80,0.386101261437393,31,0.323879019362902,80,0.401493234947731,31,0.335126266384301,80,0.357990205896678,31,0.321520211946636,80,0.370758718420153,31,0.331426834678762,80,0.0249193026308264,31,0.0247732397675866,80,0.02470048099341,31,0.024541771801452,80,0.00583959171149741,31,0.0055384299136876,80,0.00575525689669969,31,0.00542287783593065,80,0.00744108197872304,31,0.00752960620593851,80,0.00732410583209223,31,0.00722525861971991,80,0.0245497990817058,31,0.0243265100278803,80,0.0244368098670299,31,0.024075949639075
,79,0.687306955243249,32,0.419641261349841,79,0.696567854109855,32,0.420743778289161,79,0.519336938780172,32,0.356636640784474,79,0.53970545440445,32,0.368496840293995,79,0.385039409167118,32,0.325223427116754,79,0.400734908506557,32,0.336526791462213,79,0.357704249444742,32,0.32261496361524,79,0.370393245508163,32,0.33251622330218,79,0.0249613137364696,32,0.0248029113346938,79,0.0246900265194202,32,0.0245239856652154,79,0.00583158204434448,32,0.00552095358939812,79,0.0057167484875426,32,0.00542120568047178,79,0.00745015993147543,32,0.00751457105597466,79,0.00732134202866784,32,0.00723143054904747,79,0.0245589873411906,32,0.0243200242302382,79,0.0244168418231259,32,0.0240723331512105
,78,0.680196756414455,33,0.423211752759691,78,0.689485632080856,33,0.424181135167774,78,0.516247593493627,33,0.359027067824459,78,0.536164655644254,33,0.371460395581277,78,0.384139951508386,33,0.326608038874215,78,0.399844343760473,33,0.337957704777224,78,0.35741632071608,33,0.32365525271761,78,0.369973769015633,33,0.3336082541511,78,0.0250714341846363,33,0.0248156120832078,78,0.0246555218394662,33,0.0245667607744396,78,0.00582671653167215,33,0.00552316530298434,78,0.00566562916927245,33,0.00541958649563186,78,0.00745346632988575,33,0.00755000274882115,78,0.0072866865671818,33,0.00725991136927549,78,0.024556333722674,33,0.0243505215771918,78,0.024392186316307,33,0.0241146819313157
,77,0.673116224983462,34,0.426809237635742,77,0.682225965088727,34,0.427821584119765,77,0.512777856813273,34,0.361942949052005,77,0.532606472001733,34,0.37444051188776,77,0.383234751252385,34,0.328063461593183,77,0.398933189007572,34,0.339423665297347,77,0.357054348363814,34,0.324777703453218,77,0.369564717582882,34,0.334712925902589,77,0.0249977133432413,34,0.0248304564431545,77,0.0246589157673989,34,0.0246001332070128,77,0.00582238364868008,34,0.0055367162908398,77,0.00566963802922207,34,0.00542412623921366,77,0.00744917702766198,34,0.00755892921921951,77,0.00727646867504799,34,0.00727397315141292,77,0.0245317876180523,34,0.0243654199835487,77,0.0243768920476038,34,0.0241479998517304
