CSV Report,2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,10 mM CaCl2_260.00nm_90.0-21.0C,,10 mM CaCl2_260.00nm_21.0-90.0C,,10 mM CaCl2_260.00nm_90.0-21.0C_R1,,10 mM CaCl2_260.00nm_21.0-90.0C_R1,,5 mM CaCl2_260.00nm_90.0-21.0C,,5 mM CaCl2_260.00nm_21.0-90.0C,,5 mM CaCl2_260.00nm_90.0-21.0C_R1,,5 mM CaCl2_260.00nm_21.0-90.0C_R1,,1 mM CaCl2_260.00nm_90.0-21.0C,,1 mM CaCl2_260.00nm_21.0-90.0C,,1 mM CaCl2_260.00nm_90.0-21.0C_R1,,1 mM CaCl2_260.00nm_21.0-90.0C_R1,,0.1 mM CaCl2_260.00nm_90.0-21.0C,,0.1 mM CaCl2_260.00nm_21.0-90.0C,,0.1 mM CaCl2_260.00nm_90.0-21.0C_R1,,0.1 mM CaCl2_260.00nm_21.0-90.0C_R1,,10 mM CaCl2_400.00nm_90.0-21.0C,,10 mM CaCl2_400.00nm_21.0-90.0C,,10 mM CaCl2_400.00nm_90.0-21.0C_R1,,10 mM CaCl2_400.00nm_21.0-90.0C_R1,,5 mM CaCl2_400.00nm_90.0-21.0C,,5 mM CaCl2_400.00nm_21.0-90.0C,,5 mM CaCl2_400.00nm_90.0-21.0C_R1,,5 mM CaCl2_400.00nm_21.0-90.0C_R1,,1 mM CaCl2_400.00nm_90.0-21.0C,,1 mM CaCl2_400.00nm_21.0-90.0C,,1 mM CaCl2_400.00nm_90.0-21.0C_R1,,1 mM CaCl2_400.00nm_21.0-90.0C_R1,,0.1 mM CaCl2_400.00nm_90.0-21.0C,,0.1 mM CaCl2_400.00nm_21.0-90.0C,,0.1 mM CaCl2_400.00nm_90.0-21.0C_R1,,0.1 mM CaCl2_400.00nm_21.0-90.0C_R1,
,86,0.312919021285598,25,0.265439307512319,86,0.329705007940024,25,0.282729870118435,86,0.306352351071578,25,0.255987146238405,86,0.322465648537278,25,0.272111681668822,86,0.332334183041026,25,0.27388377706697,86,0.344042109705313,25,0.284152626986709,86,0.360787848374424,25,0.303257536338443,86,0.375101447219792,25,0.313402367926455,86,0.0240067029808694,25,0.0237115344111871,86,0.0238731700181059,25,0.0237638648768212,86,0.00509956177059737,25,0.00555041144235355,86,0.00513840422241089,25,0.00580996329328324,86,0.00735302304736087,25,0.00712012901282619,86,0.00756459471027317,25,0.00740434582148041,86,0.0266945478615031,25,0.0272278982598102,86,0.027249523819018,25,0.0273812097881649
,85,0.312900795577284,26,0.265854566916103,85,0.329420095563797,26,0.28337290955277,85,0.30627924553834,26,0.256652224465395,85,0.322179462319888,26,0.272829170453178,85,0.332714865890321,26,0.274459662556692,85,0.343615353745059,26,0.284609287249161,85,0.360746042019088,26,0.303828422293806,85,0.37460426633501,26,0.313960618767179,85,0.0240077093497909,26,0.0236926154446758,85,0.0238586693738158,26,0.0237875554372905,85,0.00509185524509575,26,0.00557866105629865,85,0.00512321218253346,26,0.00581652645747817,85,0.0073231811456554,26,0.00710916315845375,85,0.00753212945602238,26,0.0073971756951859,85,0.0266967923793634,26,0.0272675366465106,85,0.027241614241227,26,0.0273890320062055
,84,0.312765263348606,27,0.266257268388274,84,0.32903973684538,27,0.283946607454677,84,0.305741603266272,27,0.257048079892476,84,0.321754701932356,27,0.273321233184814,84,0.332248139717303,27,0.274972086430082,84,0.343133659180075,27,0.285090107838316,84,0.360696170360962,27,0.304330975208949,84,0.373999952475103,27,0.314484981294146,84,0.0239792857543434,27,0.0236901070786609,84,0.0238874620455728,27,0.0237689265687928,84,0.00506440331360747,27,0.00559167237940511,84,0.00512832493772598,27,0.00582288620332422,84,0.00727981769623107,27,0.00713490769374515,84,0.00753471855030428,27,0.00740810615571259,84,0.026715334294867,27,0.0272948595553949,84,0.0272479149546301,27,0.0273924603574898
,83,0.312199930143809,28,0.266749929427584,83,0.328665301543453,28,0.284540260162381,83,0.305167367346282,28,0.257346305212603,83,0.321321879823411,28,0.27368847517445,83,0.331630459583817,28,0.27541057035811,83,0.342758393341598,28,0.285590144318606,83,0.36020769723421,28,0.304918560540192,83,0.373561576765143,28,0.315088752325097,83,0.0239768772231132,28,0.0236745134612607,83,0.0239206660351642,28,0.0237511694681055,83,0.00510252120803751,28,0.00557543177927915,83,0.00514086210964582,28,0.00581124324859005,83,0.00730569022325308,28,0.00716818850874636,83,0.00757930761421235,28,0.00740280646996865,83,0.0267184984826542,28,0.0272916246071137,83,0.0272698447858224,28,0.0273939535841914
,82,0.312025266805649,29,0.267280979332329,82,0.328398345492828,29,0.285206709906874,82,0.304709550349475,29,0.257921233753938,82,0.320866874681875,29,0.27442349119671,82,0.331065225906367,29,0.275832831546568,82,0.342238100425092,29,0.286156190203859,82,0.359707584113333,29,0.30562553794097,82,0.373029914489413,29,0.315781315875353,82,0.0239434019801059,29,0.0236862226184495,82,0.0239035914032274,29,0.0237635913447575,82,0.00510285255197212,29,0.00557266703850085,82,0.00515350435462235,29,0.00581427879284419,82,0.00727640244671225,29,0.00716604223154019,82,0.00753311431175701,29,0.00738817265803762,82,0.0267026824100819,29,0.0273268152644839,82,0.027256649645495,29,0.0274092929760326
,81,0.31169630260276,30,0.267830623551844,81,0.328099216630762,30,0.285981499393932,81,0.304315845656366,30,0.258604624189664,81,0.320450273939597,30,0.275330824455046,81,0.33057753200876,30,0.276427873685327,81,0.341676269852356,30,0.28679797060162,81,0.359343120484539,30,0.306265499493946,81,0.372529859840155,30,0.316464820061651,81,0.0239812627332931,30,0.0237104095924079,81,0.0238676989044304,30,0.0237580199079486,81,0.00510004505896481,30,0.00559864587873663,81,0.00515345045709621,30,0.00582957024479743,81,0.00729778933757878,30,0.00716259000226745,81,0.00749065096839156,30,0.00737354640873076,81,0.0267244780589127,30,0.0273427838264063,81,0.0272505835040836,30,0.0274105636153203
,80,0.311340123604614,31,0.268381573700479,80,0.32765793477112,31,0.286738524530049,80,0.303981295816749,31,0.259059613208193,80,0.31994132862036,31,0.275897630828368,80,0.33011318771096,31,0.277042709002543,80,0.341148034442351,31,0.287408042647093,80,0.359024452426184,31,0.306892589887746,80,0.372102927861891,31,0.317142914458543,80,0.0239776726740853,31,0.0236879161713234,80,0.0238528052679871,31,0.0237788212466659,80,0.00510470155526919,31,0.00560283731345097,80,0.00514679268952139,31,0.00583841814723516,80,0.00730240319115988,31,0.00713732406182041,80,0.00750001192599441,31,0.00739416498835796,80,0.0267387223600573,31,0.0272988334887444,80,0.0272515350010518,31,0.0274205786308767
,79,0.310997162885856,32,0.268928484906868,79,0.327144080739665,32,0.287445667208016,79,0.303593556701215,32,0.259541274894562,79,0.319328221882574,32,0.276441719738438,79,0.3295885826956,32,0.277565636979086,79,0.34062451131779,32,0.287989246526192,79,0.358680875391905,32,0.307624683308476,79,0.371662285768639,32,0.317879277161483,79,0.0239696907849572,32,0.0236834025942262,79,0.0238262920965825,32,0.0237877963651694,79,0.00510656000324499,32,0.00560113563947618,79,0.00514446763940886,32,0.00583494705528432,79,0.00731320762133844,32,0.00713262915050854,79,0.00749992920784934,32,0.00741085827349985,79,0.0267310544819711,32,0.0272951105211248,79,0.0272385827948525,32,0.0274379666691801
,78,0.310436103463245,33,0.269535630493858,78,0.326573179930791,33,0.288177085638722,78,0.303111351719619,33,0.260201097009107,78,0.318638602974039,33,0.277288961806469,78,0.329002247287491,33,0.278219446999812,78,0.339967963421464,33,0.288642583658691,78,0.358288263134777,33,0.308373362971981,78,0.37123487565252,33,0.318629645266262,78,0.0239343267516483,33,0.0237134918118758,78,0.023836255449839,33,0.0237783799583533,78,0.00510642799652862,33,0.00560737048038488,78,0.0051501809005387,33,0.00582337060875716,78,0.00730092422985815,33,0.00716912493277206,78,0.00752195808023121,33,0.00739198529264808,78,0.0267210369313131,33,0.0273150999017016,78,0.0272436841337101,33,0.027429421717895
,77,0.309847227628283,34,0.270110372676436,77,0.325997843410455,34,0.288948488338213,77,0.302420250916627,34,0.26075666923352,77,0.317970436881106,34,0.277965135621359,77,0.328303953148804,34,0.278885109472024,77,0.339266852362205,34,0.289329211605749,77,0.357817544516141,34,0.309179990161047,77,0.370935450846767,34,0.319452904438227,77,0.0239332988681102,34,0.0237144156156371,77,0.0238388034656548,34,0.0237860809182794,77,0.00510531718849683,34,0.00562176240889231,77,0.00514231787269411,34,0.00585219472164452,77,0.0073120640457156,34,0.00717148511305594,77,0.00749482617590241,34,0.00739931675002319,77,0.0267478953259849,34,0.0273179971311918,77,0.0272453040495039,34,0.0274372978633467
