CSV Report,2023-08-16_RNA_melting_CaCl2_VS.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),90

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,10 mM MgCl2_260.00nm_90.0-21.0C,,10 mM MgCl2_260.00nm_21.0-90.0C,,10 mM MgCl2_260.00nm_90.0-21.0C_R1,,10 mM MgCl2_260.00nm_21.0-90.0C_R1,,5 mM MgCl2_260.00nm_90.0-21.0C,,5 mM MgCl2_260.00nm_21.0-90.0C,,5 mM MgCl2_260.00nm_90.0-21.0C_R1,,5 mM MgCl2_260.00nm_21.0-90.0C_R1,,1 mM MgCl2_260.00nm_90.0-21.0C,,1 mM MgCl2_260.00nm_21.0-90.0C,,1 mM MgCl2_260.00nm_90.0-21.0C_R1,,1 mM MgCl2_260.00nm_21.0-90.0C_R1,,0.1 mM MgCl2_260.00nm_90.0-21.0C,,0.1 mM MgCl2_260.00nm_21.0-90.0C,,0.1 mM MgCl2_260.00nm_90.0-21.0C_R1,,0.1 mM MgCl2_260.00nm_21.0-90.0C_R1,,10 mM MgCl2_400.00nm_90.0-21.0C,,10 mM MgCl2_400.00nm_21.0-90.0C,,10 mM MgCl2_400.00nm_90.0-21.0C_R1,,10 mM MgCl2_400.00nm_21.0-90.0C_R1,,5 mM MgCl2_400.00nm_90.0-21.0C,,5 mM MgCl2_400.00nm_21.0-90.0C,,5 mM MgCl2_400.00nm_90.0-21.0C_R1,,5 mM MgCl2_400.00nm_21.0-90.0C_R1,,1 mM MgCl2_400.00nm_90.0-21.0C,,1 mM MgCl2_400.00nm_21.0-90.0C,,1 mM MgCl2_400.00nm_90.0-21.0C_R1,,1 mM MgCl2_400.00nm_21.0-90.0C_R1,,0.1 mM MgCl2_400.00nm_90.0-21.0C,,0.1 mM MgCl2_400.00nm_21.0-90.0C,,0.1 mM MgCl2_400.00nm_90.0-21.0C_R1,,0.1 mM MgCl2_400.00nm_21.0-90.0C_R1,
,86,0.3076588995328,25,0.261982535042584,86,0.321670382901975,25,0.277207512233774,86,0.288757348971828,25,0.237087924798966,86,0.289878677250132,25,0.244020917870985,86,0.320980914678871,25,0.263995906132903,86,0.328892485150062,25,0.272941356744832,86,0.352352809828541,25,0.295514176661724,86,0.36419041878507,25,0.307452207311233,86,0.0280524683629733,25,0.0277403503517502,86,0.0279728565785342,25,0.0279648866132186,86,0.00874318253782804,25,0.00793351285678669,86,0.00874708831065905,25,0.0085560136690503,86,0.00964117215157432,25,0.00939258569285916,86,0.00964156071614704,25,0.00962377228021574,86,0.0282516001970286,25,0.0279687888469745,86,0.0282130208407163,25,0.0283368756054579
,85,0.307412224834134,26,0.26252440242888,85,0.321368916376381,26,0.277620109876556,85,0.288221454342318,26,0.237579164480535,85,0.28947361507712,26,0.244684656884774,85,0.32027537119795,26,0.264659992728769,85,0.328325534530527,26,0.273916767517568,85,0.351770936008267,26,0.296047248753451,85,0.363834256279409,26,0.308080439278078,85,0.0280883404552061,26,0.0277387083404251,85,0.0279494857697057,26,0.0279217507273818,85,0.00874318678797723,26,0.0079368384543084,85,0.00873332891131165,26,0.0085789202972919,85,0.00966947353110294,26,0.00938281889638034,85,0.0096518722394732,26,0.00961704983677013,85,0.0282777301958838,26,0.0279828387896936,85,0.0282234331297488,26,0.0283325346470297
,84,0.307215540542356,27,0.263108902114416,84,0.321091007530728,27,0.278247319510426,84,0.287702395966354,27,0.238018355598972,84,0.289129583783186,27,0.245269308941951,84,0.31957677125207,27,0.265201939190972,84,0.327728575372812,27,0.274362208871739,84,0.351288833160097,27,0.29656082163318,84,0.363438132905336,27,0.30839806089094,84,0.0280540201258912,27,0.0277241889868593,84,0.0279336666901572,27,0.027931579898815,84,0.00872714150118726,27,0.00793915849556685,84,0.00870872179093285,27,0.00857307348320898,84,0.00967490377520498,27,0.00934518072455462,84,0.00966044209748543,27,0.00959196312448754,84,0.0282604308716508,27,0.027969027619256,84,0.0282282307042916,27,0.028342477656554
,83,0.307036505524965,28,0.263572116601535,83,0.320731516119641,28,0.279130791250312,83,0.287162960829224,28,0.238462260621763,83,0.28872577034851,28,0.245793404033638,83,0.31900365878575,28,0.265646167853887,83,0.327123205608438,28,0.274696659053698,83,0.350920076116339,28,0.297119843668709,83,0.363061435043974,28,0.308859250429151,83,0.0280252834472046,28,0.0277529207452687,83,0.0279232545131932,28,0.0279915447094392,83,0.00871213440004418,28,0.00795842581933987,83,0.00871265463312409,28,0.00856325814490427,83,0.00967855697710586,28,0.00935165123695391,83,0.00964637642448626,28,0.00960015899992662,83,0.0282770152745867,28,0.0279534317575313,83,0.0282243964973509,28,0.0283698382299724
,82,0.306751883908113,29,0.263970412647679,82,0.320292274033558,29,0.279969988518346,82,0.286559505571383,29,0.23895192527765,82,0.28833732180199,29,0.246354434609573,82,0.31844066880909,29,0.266091143705203,82,0.326485918921056,29,0.275197168989777,82,0.35064875826606,29,0.297767852125447,82,0.36263107218124,29,0.309710562881439,82,0.0280451958927102,29,0.0277850682092712,82,0.0278533916822446,29,0.0280054692510799,82,0.00871458964578598,29,0.00796057172270288,82,0.008700854958553,29,0.00856659574465376,82,0.00967085479846089,29,0.00936565524247625,82,0.009592493418046,29,0.00960608735446301,82,0.0282897680912246,29,0.0279620328366207,82,0.0281914362772106,29,0.0283804614476075
,81,0.306300362503764,30,0.264533631791222,81,0.319809059236943,30,0.280531308945518,81,0.285942921665928,30,0.239531705452033,81,0.287922671164664,30,0.247006294500692,81,0.317862528605214,30,0.266701926223433,81,0.325827841856424,30,0.275808945503128,81,0.350403212020916,30,0.298377855141052,81,0.362232567550309,30,0.31050169637452,81,0.0280528214483584,30,0.0277537867141063,81,0.0278444837006248,30,0.0279523633674999,81,0.00871907671739643,30,0.00797380270101116,81,0.00868508793375624,30,0.00859015408647165,81,0.00968052615936721,30,0.00935402795527051,81,0.00959424647388087,30,0.00959390875203556,81,0.0283129088205759,30,0.0279679909612572,81,0.0282166832249844,30,0.0283661339701449
,80,0.305760864202245,31,0.265176064896313,80,0.319336518964312,31,0.281146343245296,80,0.285461947296415,31,0.240053572662738,80,0.287484741828746,31,0.247672689482008,80,0.317195506209129,31,0.267266249574433,80,0.325239794161304,31,0.276321505761038,80,0.350039653235766,31,0.299036692949653,80,0.361846810040943,31,0.311002181260876,80,0.0280568027524131,31,0.0277751727446106,80,0.0278878669747342,31,0.0279276511154253,80,0.00872642351143133,31,0.00798533574177105,80,0.00868619773800322,31,0.00860835873872682,80,0.0097224869383758,31,0.00936268349154398,80,0.00963545032770272,31,0.00958888340502335,80,0.0283055319963505,31,0.0279803070487828,80,0.0282361727664069,31,0.0283545419352049
,79,0.305230798895062,32,0.26568933565949,79,0.318858784806914,32,0.281959207363925,79,0.284746317275477,32,0.240608461164002,79,0.286981719483892,32,0.248286026318902,79,0.316534894019185,32,0.267750185652117,79,0.324583119905629,32,0.276878099228493,79,0.34967239938038,32,0.299770773160858,79,0.361409080242801,32,0.311725348798763,79,0.0280509668227828,32,0.0278000141323779,79,0.0278829291432379,32,0.0279550867109998,79,0.00869245872266896,32,0.00799452425413903,79,0.00867418059243286,32,0.00859112329261019,79,0.00971058348391996,32,0.00936695814790206,79,0.00962507296352765,32,0.0095817229470782,79,0.0282770145824338,32,0.0279944629788757,79,0.0282197167286312,32,0.0283536753667974
,78,0.30460362595805,33,0.266196141070859,78,0.318300685151111,33,0.282697868261282,78,0.283929335767896,33,0.241211631102467,78,0.286425313280995,33,0.248909014512118,78,0.315787460933906,33,0.268352576999658,78,0.323800551173221,33,0.277588252536552,78,0.349136030899842,33,0.300492149455589,78,0.360872832928198,33,0.312589106845293,78,0.0280191776893013,33,0.0277885330109625,78,0.0278632869619816,33,0.0279574247332243,78,0.00869153804837717,33,0.00801626424363803,78,0.00866376989920196,33,0.0085982536586301,78,0.00969619577467084,33,0.00937416813859916,78,0.00959424899443074,33,0.00958523409334362,78,0.0282547429795693,33,0.0279785207718044,78,0.0282004762236571,33,0.0283538186242055
,77,0.303927425359829,34,0.266862693300728,77,0.317840882227976,34,0.283362621831179,77,0.283215883631937,34,0.241756722390657,77,0.285817790662394,34,0.249587672064399,77,0.315066955616091,34,0.268991823406393,77,0.322990615680429,34,0.278225209470386,77,0.348590747146102,34,0.301274101039954,77,0.36028639342679,34,0.313324605822408,77,0.0280082286995809,34,0.0277563622673326,77,0.027874932025249,34,0.0279320008076282,77,0.00867987826792705,34,0.00800599998075504,77,0.00867351719734371,34,0.00863316557019058,77,0.00971595539261062,34,0.00935856908311109,77,0.00959894319238298,34,0.00958974881763535,77,0.028270716791402,34,0.027965940037661,77,0.0282099826837142,34,0.0283588825990449
