CSV Report,2024-02-23_RNA_melting_CaCl2_KCl_only_HEPES.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,50 mM CaCl2_260.00nm_90.0-21.0C,,50 mM CaCl2_260.00nm_21.0-90.0C,,50 mM CaCl2_260.00nm_90.0-21.0C_R1,,50 mM CaCl2_260.00nm_21.0-90.0C_R1,,25 mM CaCl2_260.00nm_90.0-21.0C,,25 mM CaCl2_260.00nm_21.0-90.0C,,25 mM CaCl2_260.00nm_90.0-21.0C_R1,,25 mM CaCl2_260.00nm_21.0-90.0C_R1,,10 mM CaCl2_260.00nm_90.0-21.0C,,10 mM CaCl2_260.00nm_21.0-90.0C,,10 mM CaCl2_260.00nm_90.0-21.0C_R1,,10 mM CaCl2_260.00nm_21.0-90.0C_R1,,5 mM CaCl2_260.00nm_90.0-21.0C,,5 mM CaCl2_260.00nm_21.0-90.0C,,5 mM CaCl2_260.00nm_90.0-21.0C_R1,,5 mM CaCl2_260.00nm_21.0-90.0C_R1,,50 mM CaCl2_400.00nm_90.0-21.0C,,50 mM CaCl2_400.00nm_21.0-90.0C,,50 mM CaCl2_400.00nm_90.0-21.0C_R1,,50 mM CaCl2_400.00nm_21.0-90.0C_R1,,25 mM CaCl2_400.00nm_90.0-21.0C,,25 mM CaCl2_400.00nm_21.0-90.0C,,25 mM CaCl2_400.00nm_90.0-21.0C_R1,,25 mM CaCl2_400.00nm_21.0-90.0C_R1,,10 mM CaCl2_400.00nm_90.0-21.0C,,10 mM CaCl2_400.00nm_21.0-90.0C,,10 mM CaCl2_400.00nm_90.0-21.0C_R1,,10 mM CaCl2_400.00nm_21.0-90.0C_R1,,5 mM CaCl2_400.00nm_90.0-21.0C,,5 mM CaCl2_400.00nm_21.0-90.0C,,5 mM CaCl2_400.00nm_90.0-21.0C_R1,,5 mM CaCl2_400.00nm_21.0-90.0C_R1,
,86,0.359667744094621,25,0.355250904664934,86,0.449291450346274,25,0.398884369444188,86,0.349651415202725,25,0.323077880585641,86,0.421302335436067,25,0.356592646197373,86,0.374219893629122,25,0.347793767295614,86,0.440314980900294,25,0.383406062615457,86,0.445049601213556,25,0.381953870607666,86,0.456488058404911,25,0.396740552950847,86,0.0917451232076179,25,0.0502738754477413,86,0.0270349396796594,25,0.0267936003341698,86,0.0755651665899596,25,0.0312669307480787,86,0.00678941025244877,25,0.00630477849297424,86,0.0798942066066648,25,0.0296278741574178,86,0.00777526419177431,25,0.00660292585499457,86,0.0720582880183409,25,0.0330101620355441,86,0.0247944943902425,25,0.0247845727297984
,85,0.360741135308065,26,0.355830213520885,85,0.449604629056626,26,0.399891060926234,85,0.34992738137977,26,0.324160642303401,85,0.421731751992727,26,0.358511144422533,85,0.373106505992255,26,0.348734430253135,85,0.440409418282123,26,0.384422905084595,85,0.441840729265065,26,0.382654998637439,85,0.456292636774816,26,0.397661734945151,85,0.0861336187232355,26,0.0501979491188524,85,0.0269601695993855,26,0.0268157473844642,85,0.0712487318758119,26,0.031427131836932,85,0.00664695685394521,26,0.00627337042773408,85,0.0751243138030688,26,0.0297410702132985,85,0.00749247659971476,26,0.00662635115508587,85,0.0694346861159413,26,0.0330078639603838,85,0.0247417438774211,26,0.0247955861528052
,84,0.36301693377388,27,0.356509133143501,84,0.449889866586115,27,0.400784732277771,84,0.350104207679957,27,0.324231380501083,84,0.421448413150181,27,0.35990797648727,84,0.371856277187756,27,0.349435316261935,84,0.44058507174343,27,0.385265843137511,84,0.439457401652917,27,0.382505107669789,84,0.45606340019624,27,0.398285668046298,84,0.0820780626492249,27,0.0502010516971504,84,0.026920156622905,27,0.0267891528689811,84,0.0671648823183707,27,0.0313346231468569,84,0.00656081892688966,27,0.00624440438871512,84,0.071026052398082,27,0.0297952704304345,84,0.00730102931133386,27,0.00662193927606577,84,0.0671634409017015,27,0.0329417745169039,84,0.0247232384263328,27,0.0247701747304607
,83,0.365144745244776,28,0.357288396462321,83,0.450045147695539,28,0.401579120736854,83,0.350448641270183,28,0.323051676737537,83,0.420690310608716,28,0.360402686135133,83,0.371058802472304,28,0.349046292744085,83,0.440666024478699,28,0.386021455121314,83,0.437596760067813,28,0.38315885841892,83,0.455796251764992,28,0.399110948596223,83,0.0786832632684173,28,0.0503475058795739,83,0.0269244969714564,28,0.0267705230220982,83,0.0638871166631754,28,0.0307612823863283,83,0.00650378169635963,28,0.00624933036104384,83,0.0676289267104918,28,0.0295850480255898,83,0.00718808964313554,28,0.00662591078005031,83,0.0655548916519508,28,0.0329602358156462,83,0.0247277974516838,28,0.0247760423543006
,82,0.366814193814729,29,0.357340618792572,82,0.450022641252536,29,0.402607007465116,82,0.350155434810291,29,0.323951288561344,82,0.419896973432406,29,0.360579685338737,82,0.370575638365388,29,0.349103934385697,82,0.440681328496785,29,0.386926739388724,82,0.436189033480319,29,0.384446244687371,82,0.455435499275361,29,0.400296865400624,82,0.0758024583888587,29,0.0503139867552499,82,0.0269321409781871,29,0.0267878181507362,82,0.0610017502984239,29,0.0309286496900214,82,0.00644965507495224,29,0.00630413660950576,82,0.0650290261957819,29,0.029528241437848,82,0.00711955510620538,29,0.0066189644599099,82,0.0640728841789825,29,0.0330425513302844,82,0.0247577285486879,29,0.0247995507609429
,81,0.369033944868592,30,0.357779060037636,81,0.450070464321685,30,0.40397146122918,81,0.348831643620528,30,0.326083836064182,81,0.419369109892726,30,0.361765477491603,81,0.370873935336428,30,0.350515044951024,81,0.440682122022942,30,0.388200529288959,81,0.434943976785543,30,0.384595794763613,81,0.455055123252167,30,0.401271345965402,81,0.0737903351429053,30,0.0502628077534244,81,0.0269239865627904,30,0.0268281575656261,81,0.0580008378522045,30,0.0315286634224419,81,0.00640007261795686,30,0.00631177850665325,81,0.0630462412899868,30,0.0298715763731817,81,0.00706480959812803,30,0.00661599092975227,81,0.0627078627098711,30,0.0329992594754421,81,0.0247485651160504,30,0.0248069504359874
,80,0.370608591534476,31,0.359040475384296,80,0.450090001412251,31,0.405123918791685,80,0.347661000027106,31,0.325773475792144,80,0.418902112579594,31,0.363493865577105,80,0.370893026181547,31,0.351129962157802,80,0.440599915725007,31,0.389431350294193,80,0.433681353282564,31,0.385160618621872,80,0.454597371698808,31,0.402194768519276,80,0.0718000381078683,31,0.0504682903391969,80,0.026915741455213,31,0.026834385043061,80,0.0554805869865124,31,0.0312504728661485,80,0.00637171645840018,31,0.00626940652280156,80,0.0613829836549241,31,0.0298878446544849,80,0.00703014394560209,31,0.00662850373872595,80,0.0616891430810982,31,0.0329998846233833,80,0.0247309721086212,31,0.0248060244546408
,79,0.371911402363481,32,0.359955956868375,79,0.450039768017094,32,0.406255316533316,79,0.347382078819045,32,0.325793893770014,79,0.418324666245087,32,0.364453121077263,79,0.370858774414749,32,0.351067710922885,79,0.440418863272778,32,0.390426134200572,79,0.431673823005876,32,0.38644190524108,79,0.454082232239437,32,0.403329549134431,79,0.0702608125725355,32,0.050641471152125,79,0.0269201661542052,32,0.0268435593542497,79,0.0538642990552217,32,0.0311311566966834,79,0.00636488216222336,32,0.00626983270845592,79,0.060084537918973,32,0.0297621907079702,79,0.00700590765638902,32,0.00664673456645355,79,0.0605647102422231,32,0.0330889514650465,79,0.024736265774977,32,0.0248282168152283
,78,0.373360871466586,33,0.360318249860398,78,0.449958293555228,33,0.407389220631998,78,0.347915658055239,33,0.327421277597864,78,0.417533167803415,33,0.365632576402199,78,0.370879811267509,33,0.352196284578781,78,0.440154850041931,33,0.391583601310711,78,0.429223565515164,33,0.38684447760544,78,0.453530142964877,33,0.404336467400493,78,0.0691519220599152,33,0.0506127669005611,78,0.0269172048364665,33,0.026835497097284,78,0.0529147181143001,33,0.0315574877899783,78,0.00635394260502886,33,0.0062823581904193,78,0.0589366186303607,33,0.0300860964074094,78,0.00698505102388333,33,0.00663973085717875,78,0.0594749546575696,33,0.033104190731424,78,0.0247405939368975,33,0.0248057350818954
,77,0.374632363266476,34,0.361017437410037,77,0.449833823099418,34,0.408517619718115,77,0.349304514495985,34,0.327707447095609,77,0.416579080241635,34,0.367081297374355,77,0.370750772108749,34,0.353138839736106,77,0.439787977032636,34,0.392787331167021,77,0.427307682747275,34,0.387747150183953,77,0.452890225337721,34,0.405390288908103,77,0.0682542842269586,34,0.0506127588823571,77,0.0269021907084706,34,0.0268263026118861,77,0.0526131761735607,34,0.0315500585686852,77,0.00634168539092255,34,0.0062915273042728,77,0.0580280376110725,34,0.0302599151026384,77,0.00698604611911678,34,0.0066452997987085,77,0.0586165522397173,34,0.0331498579161213,77,0.0247214453855901,34,0.0247936617546555
