CSV Report,2023-09-19_RNA_melting_KCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,100 mM KCl_260.00nm_90.0-21.0C,,100 mM KCl_260.00nm_21.0-90.0C,,100 mM KCl_260.00nm_90.0-21.0C_R1,,100 mM KCl_260.00nm_21.0-90.0C_R1,,50 mM KCl_260.00nm_90.0-21.0C,,50 mM KCl_260.00nm_21.0-90.0C,,50 mM KCl_260.00nm_90.0-21.0C_R1,,50 mM KCl_260.00nm_21.0-90.0C_R1,,25 mM KCl_260.00nm_90.0-21.0C,,25 mM KCl_260.00nm_21.0-90.0C,,25 mM KCl_260.00nm_90.0-21.0C_R1,,25 mM KCl_260.00nm_21.0-90.0C_R1,,10 mM KCl_260.00nm_90.0-21.0C,,10 mM KCl_260.00nm_21.0-90.0C,,10 mM KCl_260.00nm_90.0-21.0C_R1,,10 mM KCl_260.00nm_21.0-90.0C_R1,,100 mM KCl_400.00nm_90.0-21.0C,,100 mM KCl_400.00nm_21.0-90.0C,,100 mM KCl_400.00nm_90.0-21.0C_R1,,100 mM KCl_400.00nm_21.0-90.0C_R1,,50 mM KCl_400.00nm_90.0-21.0C,,50 mM KCl_400.00nm_21.0-90.0C,,50 mM KCl_400.00nm_90.0-21.0C_R1,,50 mM KCl_400.00nm_21.0-90.0C_R1,,25 mM KCl_400.00nm_90.0-21.0C,,25 mM KCl_400.00nm_21.0-90.0C,,25 mM KCl_400.00nm_90.0-21.0C_R1,,25 mM KCl_400.00nm_21.0-90.0C_R1,,10 mM KCl_400.00nm_90.0-21.0C,,10 mM KCl_400.00nm_21.0-90.0C,,10 mM KCl_400.00nm_90.0-21.0C_R1,,10 mM KCl_400.00nm_21.0-90.0C_R1,
,86,0.519139267043502,25,0.327281773654174,86,0.541165764201397,25,0.338293356682216,86,0.52372323683249,25,0.322645734800834,86,0.52907242718572,25,0.323063469333452,86,0.538157222798083,25,0.338871318417491,86,0.56018356214574,25,0.351473933471754,86,0.566047641751794,25,0.368402327960445,86,0.589319680021871,25,0.379999675104781,86,0.0239747016245606,25,0.0235955771226365,86,0.0237042738569807,25,0.0233883618038692,86,0.00523055463419328,25,0.00524245560346366,86,0.00505465162048729,25,0.00518153181630556,86,0.00878392510814905,25,0.0087030373839491,86,0.00857744295640956,25,0.008601723472035,86,0.0248353187636834,25,0.0247135310550058,86,0.024420078597038,25,0.0249216349778447
,85,0.516666372754598,26,0.329109218722053,85,0.537559923086656,26,0.340055908979509,85,0.520613891394049,26,0.324638585289421,85,0.525267551396946,26,0.325069971617035,85,0.535822727396999,26,0.34093304402485,85,0.556815597863239,26,0.353639283220475,85,0.563329346596165,26,0.37109013206089,85,0.585872891332327,26,0.382318987537283,85,0.0239962372307795,26,0.0235820577349181,85,0.0237001114905105,26,0.0233779633989498,85,0.00522672178558032,26,0.00526423193360059,85,0.0050507487970744,26,0.00519785741753643,85,0.00880234084491893,26,0.00868209394053015,85,0.00855739530284286,26,0.00860889799748354,85,0.0247845724769497,26,0.0247536644504506,85,0.024401136149509,26,0.0248844656180445
,84,0.513815854865399,27,0.33085452837089,84,0.534035749399128,27,0.341869876553866,84,0.517041743179624,27,0.326630868068896,84,0.521469430160568,27,0.32713579618,84,0.532550415189747,27,0.342914003556085,84,0.553472669972446,27,0.355826316905866,84,0.560848628111891,27,0.372618661940856,84,0.582367750998823,27,0.384448477169017,84,0.0239984877899853,27,0.023569777079526,84,0.0236987627571037,27,0.023361125151841,84,0.0052009594583391,27,0.0052756020031058,84,0.00504899238416726,27,0.00519840899809066,84,0.00878354912128692,27,0.00869470162321079,84,0.00856277876934824,27,0.00861160602360991,84,0.0247401944366931,27,0.0248131872698422,84,0.0244020344628414,27,0.0248451923969688
,83,0.510439265545898,28,0.332588481659079,83,0.530202137954708,28,0.343882760260121,83,0.513749100801887,28,0.328802612745402,83,0.517644816297609,28,0.329252274346248,83,0.529202300696553,28,0.345070799969615,83,0.550045515265767,28,0.357991606478552,83,0.557602058683441,28,0.374544277242387,83,0.578690181369831,28,0.386887512664774,83,0.0240263070981854,28,0.0236053294038721,83,0.0236656291373689,28,0.0233642791103603,83,0.00518691087092414,28,0.00528709991493701,83,0.00505496670167574,28,0.00522294519762574,83,0.00878614970798632,28,0.00874004960812919,83,0.00854641703925925,28,0.00857929144139601,83,0.0247948668328381,28,0.0248763389412438,83,0.0243768717047141,28,0.0248213325406776
,82,0.507267811533631,29,0.334552010820164,82,0.526605244829672,29,0.345981134824086,82,0.510542387827084,29,0.331038290965566,82,0.513767381037013,29,0.331555688740178,82,0.52614179940286,29,0.34744583199665,82,0.546594953820888,29,0.360462161834819,82,0.554591956612259,29,0.377544549061293,82,0.575307426992279,29,0.389501444972059,82,0.0240161859930721,29,0.0236238418412268,82,0.0236613969068679,29,0.0233741147610594,82,0.00517143835151483,29,0.00528831279724598,82,0.00503913194521433,29,0.00523783819811174,82,0.00880856688126354,29,0.00873554458808804,82,0.00852359108706205,29,0.0085793501706363,82,0.0247959388907085,29,0.0249050832372034,82,0.0243895497862128,29,0.0248010203370017
,81,0.504049176887114,30,0.336797868074572,81,0.523080466019487,30,0.348035464730129,81,0.507143288987739,30,0.333353466365492,81,0.510013001909323,30,0.333771707127159,81,0.522817359357563,30,0.349962334303957,81,0.543113394583328,30,0.362946112772281,81,0.551687275395673,30,0.380037208343167,81,0.571840072135087,30,0.392079071553993,81,0.0239926568842925,30,0.0235990208137166,81,0.0236927886058918,30,0.0233885480861428,81,0.00516060520203364,30,0.00528897139373937,81,0.00506198080989339,30,0.00521439359050774,81,0.00878571707122213,30,0.00869971547460854,81,0.00856362736069689,30,0.00860251025109209,81,0.0247540411521257,30,0.0248650493991524,81,0.0244027730101845,30,0.0247290329888302
,80,0.501005198116729,31,0.338927584803923,80,0.51941462096113,31,0.350168745970583,80,0.503944420248257,31,0.335737489922844,80,0.506331152284893,31,0.336158745288686,80,0.519659402910856,31,0.352405530764663,80,0.539616076241991,31,0.365614634360478,80,0.54842017458165,31,0.382434951695991,80,0.568189925912798,31,0.394784348206306,80,0.0239820643781439,31,0.023594635913416,80,0.0237093528123244,31,0.0233600731055811,80,0.00514721432669175,31,0.00528896937383926,80,0.00507967369709003,31,0.00519902077283138,80,0.00878980093331183,31,0.0087001473301831,80,0.00856897307200042,31,0.00859176918254991,80,0.0247250258986701,31,0.0248323012220672,80,0.0243928006320666,31,0.0246759394514788
,79,0.49754432014725,32,0.340921146803832,79,0.515873176516211,32,0.352467770701226,79,0.500734065011469,32,0.338225492670147,79,0.502731691939971,32,0.338606127019817,79,0.516470188335624,32,0.354890770264992,79,0.536217543985154,32,0.368230834418617,79,0.545008446489194,32,0.385238378062912,79,0.564868332604155,32,0.397559464713322,79,0.0239887206111824,32,0.0236087813251582,79,0.0237218067632394,32,0.0233420488555193,79,0.00511521958190686,32,0.00529891620617898,79,0.00509217589332338,32,0.00520670409922854,79,0.00878043904518625,32,0.00871279956583777,79,0.00858967765235604,32,0.00858825044003191,79,0.02470545586433,32,0.0247993893102028,79,0.0244072296906307,32,0.0246321067225188
,78,0.494280173844218,33,0.343258167688547,78,0.512452625174227,33,0.354780747070696,78,0.49731959094619,33,0.340746645359206,78,0.499275713651848,33,0.341177149834056,78,0.513150667904088,33,0.3575809153214,78,0.532989472474372,33,0.370963257611328,78,0.541650423007638,33,0.387801376884935,78,0.561614488150169,33,0.400334512735511,78,0.0240033516563316,33,0.0236086620145972,78,0.0237163691825999,33,0.0233439114190308,78,0.00511106479763353,33,0.0052900225237782,78,0.00509446252766053,33,0.00522001276658651,78,0.00878674575804731,33,0.00872519349684859,78,0.00860365695322542,33,0.00857249154026147,78,0.0247204759494777,33,0.0247570702788116,78,0.0244200221145652,33,0.0245644784239825
,77,0.491072315936546,34,0.345625011511782,77,0.5088525194753,34,0.357161229524525,77,0.493979822707282,34,0.343394245290204,77,0.495631070800003,34,0.343851957587626,77,0.509820820885329,34,0.360337694020716,77,0.529509823259134,34,0.373903467003143,77,0.538470536377204,34,0.390612468918357,77,0.558118512244188,34,0.403264963816699,77,0.0239739800615051,34,0.0235920696465,77,0.0236865380136735,34,0.0233734951582786,77,0.00513196689582768,34,0.00526840608609786,77,0.00510655906455235,34,0.00521088756525862,77,0.00875700291003775,34,0.00871364466361282,77,0.00859407984783035,34,0.00857889201916616,77,0.0247256298302044,34,0.0247140046204058,77,0.0244033456339927,34,0.0245446792029854
