CSV Report,2023-09-19_RNA_melting_KCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,100 mM KCl_260.00nm_90.0-21.0C,,100 mM KCl_260.00nm_21.0-90.0C,,100 mM KCl_260.00nm_90.0-21.0C_R1,,100 mM KCl_260.00nm_21.0-90.0C_R1,,50 mM KCl_260.00nm_90.0-21.0C,,50 mM KCl_260.00nm_21.0-90.0C,,50 mM KCl_260.00nm_90.0-21.0C_R1,,50 mM KCl_260.00nm_21.0-90.0C_R1,,25 mM KCl_260.00nm_90.0-21.0C,,25 mM KCl_260.00nm_21.0-90.0C,,25 mM KCl_260.00nm_90.0-21.0C_R1,,25 mM KCl_260.00nm_21.0-90.0C_R1,,10 mM KCl_260.00nm_90.0-21.0C,,10 mM KCl_260.00nm_21.0-90.0C,,10 mM KCl_260.00nm_90.0-21.0C_R1,,10 mM KCl_260.00nm_21.0-90.0C_R1,,100 mM KCl_400.00nm_90.0-21.0C,,100 mM KCl_400.00nm_21.0-90.0C,,100 mM KCl_400.00nm_90.0-21.0C_R1,,100 mM KCl_400.00nm_21.0-90.0C_R1,,50 mM KCl_400.00nm_90.0-21.0C,,50 mM KCl_400.00nm_21.0-90.0C,,50 mM KCl_400.00nm_90.0-21.0C_R1,,50 mM KCl_400.00nm_21.0-90.0C_R1,,25 mM KCl_400.00nm_90.0-21.0C,,25 mM KCl_400.00nm_21.0-90.0C,,25 mM KCl_400.00nm_90.0-21.0C_R1,,25 mM KCl_400.00nm_21.0-90.0C_R1,,10 mM KCl_400.00nm_90.0-21.0C,,10 mM KCl_400.00nm_21.0-90.0C,,10 mM KCl_400.00nm_90.0-21.0C_R1,,10 mM KCl_400.00nm_21.0-90.0C_R1,
,66,0.452624524717532,45,0.375751409770095,66,0.468136084566702,45,0.387934346016073,66,0.456381041003272,45,0.375340847013904,66,0.456772843121617,45,0.375424875696429,66,0.47326680637286,45,0.392139322941439,66,0.491187499343507,45,0.40671687112849,66,0.502771794000139,45,0.422345945337256,66,0.520642824791666,45,0.436483389017539,66,0.0238733551281597,45,0.0236487433018922,66,0.0236226050339407,45,0.0234551344147795,66,0.00521003045930803,45,0.00526430717029761,66,0.00510498027069089,45,0.00521693876635126,66,0.00866996525490369,45,0.00868115294669558,66,0.00854356997526715,45,0.0086141338660186,66,0.0246464910725468,45,0.0245113313356731,66,0.0243259915253021,45,0.0243855360103073
,65,0.448887968946297,46,0.37856490643185,65,0.464083253614092,46,0.39092558961959,65,0.452682469049871,46,0.378315440709082,65,0.453055953920179,46,0.378323172777701,65,0.469707051174585,46,0.39505728013676,65,0.487512652863571,46,0.40968798820119,65,0.499814182578069,46,0.425358406072653,65,0.517330580083282,46,0.439732618821517,65,0.023896329064189,46,0.0236737721040091,65,0.0236270555974161,46,0.0234281804313596,65,0.00520602143787999,46,0.00529860085285709,65,0.00511559633808941,46,0.0051906580314332,65,0.00867669725003558,46,0.00870002990178597,65,0.00855358467790109,46,0.00858015865122546,65,0.0246258185041057,46,0.024512430087434,65,0.0243406051851556,46,0.0243557865082124
,64,0.44504199175104,47,0.381508616688326,64,0.460364901462029,47,0.393849568307039,64,0.448966900664508,47,0.381315695266791,64,0.449395260664112,47,0.381436358626443,64,0.466292226239404,47,0.398102200928634,64,0.48397873751236,47,0.412904415485423,64,0.496334169358826,47,0.42840560528504,64,0.514324461451002,47,0.442934710449821,64,0.0238783258331464,47,0.0236625661874641,64,0.0236285127539653,47,0.0234392210315036,64,0.0051626381199686,47,0.00528012569259839,64,0.00512911620716957,47,0.00520148818022748,64,0.00866077499871883,47,0.00868507746664691,64,0.00858594710891816,47,0.00857824460987701,64,0.0246223137083191,47,0.0245141404293288,64,0.0243493667184233,47,0.0243285888376722
,63,0.441291243736484,48,0.384540858459669,63,0.456383687993398,48,0.396924554816644,63,0.445284873825855,48,0.384324686104187,63,0.445523069949899,48,0.384505028304421,63,0.462815426582439,48,0.401184809404151,63,0.480215686604906,48,0.416100687172118,63,0.493143311505174,48,0.431658144983313,63,0.510595997106054,48,0.446290196715332,63,0.0238582657344316,48,0.0236456839116929,63,0.0236229850357063,48,0.0234257267311715,63,0.00517014432402101,48,0.00525006218264452,63,0.00512536812769596,48,0.00521923250264885,63,0.00861718463592059,48,0.00866264873397874,63,0.008614694879206,48,0.00855812084378391,63,0.024639837891267,48,0.0244841888618015,63,0.0243605355392773,48,0.0243328416716079
,62,0.437445820302542,49,0.387472341550202,62,0.452225110959984,49,0.399981121471464,62,0.441394695257403,49,0.387551279499565,62,0.441454569624427,49,0.38756175286039,62,0.459156793878034,49,0.404474995511169,62,0.476191039897876,49,0.419357992697453,62,0.489682607909009,49,0.43502299929111,62,0.506944281372664,49,0.449690078634028,62,0.0238502485362665,49,0.023638279923418,62,0.023621333832441,49,0.0234130775868359,62,0.00519175721784742,49,0.00524899591144967,62,0.00512854740447502,49,0.00518310148786394,62,0.00861705048445848,49,0.00868281094803604,62,0.0086223427181327,49,0.00854569808231989,62,0.0246230629245804,49,0.0244746778905196,62,0.0243611008525647,49,0.0243178645201939
,61,0.433507267644808,50,0.390400215234979,61,0.44828234256331,50,0.402988599969581,61,0.437399935127607,50,0.390573947942891,61,0.437720282025999,50,0.390694700154607,61,0.455399001150171,50,0.407598929975437,61,0.472432397199522,50,0.422712040905304,61,0.486150938760681,50,0.438473909935863,61,0.503359247074031,50,0.453252075413688,61,0.023830069012498,50,0.0236436985657514,61,0.0236220905766441,50,0.0234261591749388,61,0.0051710818027574,50,0.00524342726509664,61,0.00517510487803247,50,0.00517536117906518,61,0.00861238637562707,50,0.00869907592546353,61,0.00861327849126968,50,0.00855030298766387,61,0.0245616952229256,50,0.02448924657479,61,0.0243707702520924,50,0.0243212542236659
,60,0.429761361814031,51,0.393545184608388,60,0.44455126754747,51,0.406168636270925,60,0.433491133792913,51,0.393804633940172,60,0.433975136438029,51,0.393859888243398,60,0.451655890539776,51,0.410936647998472,60,0.468729860366784,51,0.426173763435484,60,0.482534004404605,51,0.441898406413701,60,0.499745564596527,51,0.456837806037731,60,0.0238049505366645,51,0.0236656202535767,60,0.0236114640521101,51,0.0234222826790583,60,0.00515989765113835,51,0.00524747127336014,60,0.00517125400430257,51,0.00518055619205538,60,0.00862921859878262,51,0.0086954044508106,60,0.00863462698076516,51,0.00856423179894068,60,0.0245981550344865,51,0.0244877545950736,60,0.0243675359281946,51,0.0242979613877636
,59,0.426122805626437,52,0.39657496504296,59,0.440714813764177,52,0.409359236401079,59,0.429715783899183,52,0.397026404314434,59,0.430021359411713,52,0.397124910542033,59,0.448021895306705,52,0.414342018821276,59,0.464664874156577,52,0.429687596637276,59,0.47917081402335,52,0.445353781083677,59,0.496106509199192,52,0.460518694319226,59,0.0237891985802266,52,0.0236779861713532,59,0.0236173686059493,52,0.0233923069756546,59,0.00516440065084225,52,0.00523213288321716,59,0.00516165151340077,52,0.00519268704837009,59,0.0086502916701303,52,0.0086931381397471,59,0.00860781027059121,52,0.00854910774661025,59,0.024610644923926,52,0.0244437887947867,59,0.0243539320178748,52,0.0243015346243054
,58,0.422697674818823,53,0.399676040123354,58,0.437022855671654,53,0.412582717408969,58,0.425903444360409,53,0.400425064800682,58,0.426197430755594,53,0.40041491239106,58,0.444257966911482,53,0.418022356538618,58,0.460763348421471,53,0.433247311770883,58,0.47542722239841,53,0.449009326675928,58,0.492274923100849,53,0.464355907212805,58,0.0237978691347689,53,0.0236536278322248,58,0.0236150219864162,53,0.0234207957857853,58,0.00516075995496912,53,0.00520648075824362,58,0.00515865461103606,53,0.00518311576131301,58,0.00864191420766949,53,0.00866802379616191,58,0.00857318472677009,53,0.00857735138391179,58,0.0245594680043058,53,0.0244453906570277,58,0.0243612599958235,53,0.0242892332094102
,57,0.419385579301474,54,0.40282009602148,57,0.433477961967309,54,0.415738060804751,57,0.422085776648004,54,0.403898454930787,57,0.422385645711856,54,0.40381915646714,57,0.440456278181336,54,0.421769049979705,57,0.456782478120923,54,0.437007891330828,57,0.471739973814478,54,0.452785241503344,57,0.488485620483222,54,0.468136664624123,57,0.0238259948121372,54,0.0236837094045312,57,0.0235984072278225,54,0.0234483519623441,57,0.00517727062604801,54,0.00523143176018306,57,0.00516492048805698,54,0.00517817215353235,57,0.00865353057620435,54,0.00870030002109186,57,0.00858647821456685,54,0.00858350972132272,57,0.0245197549863764,54,0.0244592031631647,57,0.0243594902014002,54,0.0242946294116941
,56,0.416044314600767,55,0.406015951566112,56,0.430013794879643,55,0.418978405405685,56,0.41835189507485,55,0.407284863834113,56,0.418635808680361,55,0.407239484617738,56,0.436583846800263,55,0.425411778977081,56,0.4527462591811,55,0.440838193730109,56,0.46789972993415,55,0.456513141384704,56,0.484568481964342,55,0.472004229965959,56,0.0238132046568144,55,0.0236851981603004,56,0.0235790317326341,55,0.0234419462901469,56,0.00520452182809106,55,0.00525186361177948,56,0.00518519375277078,55,0.00518542402158459,56,0.00868238147466179,55,0.00871324086617219,56,0.00859821411357139,55,0.00861083360827765,56,0.0245490269511264,55,0.0244622046285773,56,0.024341505946795,55,0.0242920450337936
,55,0.412699506294153,56,0.409187020773731,55,0.426598826989003,56,0.422333414398831,55,0.414577715914101,56,0.410906798103601,55,0.41493773753223,56,0.410776216774451,55,0.432625838419229,56,0.429299428809207,55,0.448731376281426,56,0.444770824193014,55,0.464078750201112,56,0.460297725496827,55,0.480793119716187,56,0.475968134195209,55,0.0238551115044495,56,0.0236737819360096,55,0.0235647992032562,56,0.0234456184837735,55,0.00520179532308872,56,0.00523206226271605,55,0.00517424532228063,56,0.00521491948001016,55,0.00868810569151533,56,0.00870228200861394,55,0.00857313248175555,56,0.00860841139084342,55,0.0245785232669599,56,0.0244693456047132,55,0.0243426187530908,56,0.024298411566832
,54,0.409469139955568,57,0.412540389063921,54,0.423148922820487,57,0.425851427923836,54,0.411007887285788,57,0.414527295473425,54,0.411240469642359,57,0.414372635867183,54,0.428901011983693,57,0.433092754534779,54,0.444714026740308,57,0.448770040737563,54,0.46037561930107,57,0.464247264178807,54,0.47663206573774,57,0.479976107923534,54,0.0238584884832526,57,0.0237069636384435,54,0.0235768441480131,57,0.0234293086081241,54,0.00521278137511583,57,0.00523343828260285,54,0.00518206651025093,57,0.00519344089600371,54,0.00869300364785291,57,0.00872003173734772,54,0.00857239480640271,57,0.00861875642195388,54,0.0245492598492671,57,0.0244854401159996,54,0.0243505046341984,57,0.0243022598565386
,53,0.406246294856989,58,0.415926385581596,53,0.419933335832343,58,0.429266600213082,53,0.407595211831044,58,0.418348345600369,53,0.407789868293694,58,0.418129986706438,53,0.425309259543086,58,0.437102532521485,53,0.440930357941909,58,0.452815721458708,53,0.456622885320529,58,0.468106245975459,53,0.472838217019239,58,0.484027757435066,53,0.0238116890741129,58,0.0237286029481534,53,0.0235643978338263,58,0.023407333879117,53,0.00522740431315245,58,0.00525153720028469,53,0.00519399250053821,58,0.0051888431924743,53,0.00866001185090775,58,0.00872600053159532,53,0.00858072812272478,58,0.00856528456049879,53,0.0245098986441439,58,0.0244992091742014,53,0.0243115563271906,58,0.02429435075001
,52,0.403168791739843,59,0.419433893287849,52,0.416806466782603,59,0.432762975394951,52,0.404114748779156,59,0.42219747882175,52,0.404526666351452,59,0.421960495336957,52,0.421664886664676,59,0.441098221050843,52,0.437358355819696,59,0.456897520036611,52,0.452988970224735,59,0.472066878426016,52,0.469134689082019,59,0.488031511833512,52,0.0238007962241399,59,0.0236958391591749,52,0.023544511133552,59,0.0234445321997347,52,0.00523190473975092,59,0.00522575699758444,52,0.00519375313638276,59,0.00517338987251658,52,0.00865402812810906,59,0.00870502843290311,52,0.00857446132726431,59,0.00858459784819661,52,0.0244917162860119,59,0.0244638931706734,52,0.0243089086761303,59,0.0242872651382593
,51,0.400183260305465,60,0.423125463330187,51,0.413726617339004,60,0.436335372769459,51,0.400975780813869,60,0.426091899642928,51,0.401118009280471,60,0.425877803016068,51,0.418344221447701,60,0.445039940695267,51,0.43368754902533,60,0.460981320135574,51,0.449388997437993,60,0.475843090527163,51,0.465237645588839,60,0.491865991214982,51,0.0238296855203415,60,0.0237023327004193,51,0.0235426928369166,60,0.0234543475340975,51,0.00524131398449742,60,0.00520295731156595,51,0.00519465703401731,60,0.00514177593992757,51,0.00869195490588225,60,0.00870510894789178,51,0.0085675431723853,60,0.00858945112191701,51,0.0245171528951859,60,0.0244381987142046,51,0.0243036644949409,60,0.024269046723152
,50,0.397171633645145,61,0.426680916463721,50,0.410580261366637,61,0.44009240108032,50,0.397800747723665,61,0.430161307512836,50,0.397885657559785,61,0.42998558876246,50,0.414970714495146,61,0.449038043925734,50,0.430149811357245,61,0.465090420353411,50,0.445750093148437,61,0.479663325599986,50,0.461410803241404,61,0.495744886197324,50,0.0238449956544607,61,0.023737781552724,50,0.0235453332466131,61,0.0234613442370273,50,0.00525468047426107,61,0.00521438642023633,50,0.00519352608745256,61,0.00517502102654791,50,0.00872637499329853,61,0.00871427085812982,50,0.00856322188909662,61,0.00858506726702637,50,0.0245227423374483,61,0.0244677609343227,50,0.0243027616117804,61,0.0242607122562069
,49,0.394143601683753,62,0.430387763147183,49,0.407508392303195,62,0.443933951371633,49,0.394608782099957,62,0.434200540262296,49,0.394819950750377,62,0.434128394914212,49,0.411645385138554,62,0.453024619421648,49,0.426908893462618,62,0.469303534834765,49,0.44231690089075,62,0.483315613173557,49,0.457839098066318,62,0.499736264017074,49,0.0237961547620434,62,0.023762355357931,49,0.0235349134105889,62,0.0234489242760098,49,0.00527721939338277,62,0.00521786657574848,49,0.00520117496572996,62,0.00517500792135278,49,0.00869018749969722,62,0.00873033744128384,49,0.00859456437965966,62,0.00859942637448704,49,0.0244948737048849,62,0.0244845966694454,49,0.0243000841441972,62,0.0242712959795349
,48,0.39133097553396,63,0.435580184846851,48,0.404512328867901,63,0.447899792407932,48,0.391540737227086,63,0.438226899870081,48,0.391688428880975,63,0.438145557352323,48,0.408438814368951,63,0.456930355924829,48,0.423474972924739,63,0.473591847287018,48,0.438953774215911,63,0.487095658424359,48,0.454412523008882,63,0.503462119059908,48,0.0237602903568905,63,0.0237214080334246,48,0.0235607486311988,63,0.023453612024505,48,0.00528072090533592,63,0.00518126759106376,48,0.00522438340344219,63,0.00514683732433533,48,0.0086416247999477,63,0.00872197267828744,48,0.00859392591105015,63,0.00860555303145039,48,0.0244899530717522,63,0.0244638099306193,48,0.0243163911267403,63,0.0242789115899411
,47,0.388403304999027,64,0.440219884730835,47,0.40140659815314,64,0.451912365624562,47,0.388440445640798,64,0.442308392663597,47,0.388611684104285,64,0.442241385098629,47,0.405274296122409,64,0.460829942859054,47,0.420137506360106,64,0.477972776092673,47,0.435572681775746,64,0.490657282598906,47,0.450922011828787,64,0.507317243993375,47,0.0237828368025803,64,0.0237128508267058,47,0.023554864026005,64,0.0234556004181368,47,0.00527446764358236,64,0.00515261851193617,47,0.00524360961401538,64,0.00514866065636663,47,0.00869664367878894,64,0.00870264454590292,47,0.00860283338230741,64,0.00860714033467157,47,0.0244811211664532,64,0.024449132207453,47,0.0243212246727293,64,0.0242814805062234
,46,0.385426358865355,65,0.442778484133138,46,0.398511839430008,65,0.455958774666174,46,0.385389173703498,65,0.446408999216739,46,0.385607847040963,65,0.446207595609093,46,0.402221839866583,65,0.464654921296039,46,0.417008353689078,65,0.482049477431492,46,0.432240256960276,65,0.494382722573194,46,0.447476537030264,65,0.511164895067687,46,0.0237825500983732,65,0.0237250477534637,46,0.0235424488657658,65,0.0234461197414224,46,0.00528171363055004,65,0.00513890779306045,46,0.00522068512816063,65,0.00512974879516663,46,0.00873119668037423,65,0.0086881089226328,46,0.00862473989187109,65,0.00859057082107303,46,0.024471214666465,65,0.0244142594409654,46,0.0243213874522088,65,0.0242955481388014
,45,0.382567241060548,66,0.447229910764345,45,0.39550605704874,66,0.460139660402935,45,0.382446771893421,66,0.450495154757613,45,0.382625087826025,66,0.450218415620688,45,0.399224282973039,66,0.468361666279927,45,0.413862291786985,66,0.485919342826033,45,0.429083689459045,66,0.4981497209088,45,0.444146718301868,66,0.514798420281656,45,0.0237853716020663,66,0.0237402169408984,45,0.023550548570113,66,0.0234828301710997,45,0.00528430545513273,66,0.00515105183231328,45,0.00524287802608378,66,0.00512086241684461,45,0.00870985702082669,66,0.00869861452237592,45,0.00865984454320735,66,0.00863825071701207,45,0.024503902128557,66,0.0244462283491674,45,0.0243245694486404,66,0.0243033300408968
,44,0.379679527973375,67,0.451597057435411,44,0.39256102537873,67,0.46420163842779,44,0.37941823479581,67,0.45469366955526,44,0.379682884192333,67,0.454128271677675,44,0.396130107971016,67,0.472236937463423,44,0.410720022890861,67,0.489789698821761,44,0.42593368506014,67,0.501759665168912,44,0.440892346590397,67,0.518406516593074,44,0.0237903072534825,67,0.0237226168127198,44,0.0235605031372538,67,0.0234875623184514,44,0.00530271307553589,67,0.00515070040826536,44,0.00523315862405834,67,0.00513121102717882,44,0.00873605508989984,67,0.00867701149014722,44,0.00864501189281675,67,0.00864836543154814,44,0.0245072445315031,67,0.0244576906143244,44,0.0243200184494931,67,0.0242917272223455
,43,0.376718997150491,68,0.455856306182845,43,0.389619414831356,68,0.468640406393738,43,0.376369888547907,68,0.458574700542745,43,0.376669217680502,68,0.458046041101876,43,0.393058481557292,68,0.475818580256895,43,0.407669885505708,68,0.493677717803703,43,0.422675045364358,68,0.505290384308107,43,0.437602561831545,68,0.522398485564297,43,0.0238035292252836,68,0.0237435073022,43,0.0235656466284027,68,0.0235280375063801,43,0.00531303758881226,68,0.00515764520493602,43,0.00525487927366339,68,0.00511427656682546,43,0.00874158185070001,68,0.00868358292110859,43,0.0086399507334384,68,0.00864563813529462,43,0.0244877214566142,68,0.0244596398871272,43,0.0243200583144068,68,0.0243238769695449
,42,0.373860910062401,69,0.459699289441153,42,0.386544622441294,69,0.473402158355616,42,0.37334302913687,69,0.462418106047863,42,0.373705038232422,69,0.461880140053211,42,0.390084102529359,69,0.479502921404407,42,0.404783111297777,69,0.497625424700176,42,0.419573632228558,69,0.508746141332398,42,0.434433755740697,69,0.526792470569716,42,0.0237674312314896,69,0.0237453288939444,42,0.0235113820375102,69,0.0235195887521567,42,0.00531344414382872,69,0.00516480528725771,42,0.00523466648610054,69,0.00511180072917543,42,0.00874107121801616,69,0.00870755345044903,42,0.00862947697958611,69,0.00865397998124146,42,0.0244879214393127,69,0.0244813303881782,42,0.0242912934073087,69,0.0243129444434591
,41,0.370998492607711,70,0.463780882088494,41,0.38359982899425,70,0.47809264860242,41,0.370421609362319,70,0.466215483506884,41,0.370707213294409,70,0.465569319782896,41,0.3872278242958,70,0.483771393310332,41,0.401721437780771,70,0.501619582946088,41,0.416627222886416,70,0.51240670823032,41,0.431350616162838,70,0.530027756388684,41,0.0237989794855227,70,0.0237145672419024,41,0.023510954492999,70,0.0235431115290834,41,0.00533041083841503,70,0.00515029152072187,41,0.00525077478616513,70,0.00511767166686768,41,0.0087531089878395,70,0.00869424989811427,41,0.0086417083562221,70,0.00865648928485994,41,0.024483183668524,70,0.0244440217966134,41,0.0243061254177941,70,0.0243248800967155
,40,0.368182947806767,71,0.467804479233435,40,0.380649901454011,71,0.481881573292959,40,0.367512547173433,71,0.46969688423056,40,0.367867301630235,71,0.469105947378423,40,0.384365392293518,71,0.487913447525881,40,0.398743814436071,71,0.505578546054934,40,0.413655824465943,71,0.51621521914503,40,0.428302047062481,71,0.533916836858029,40,0.023789410172089,71,0.0237104969670083,40,0.0235224264410125,71,0.0235393765363751,40,0.00532808608266883,71,0.00514644805173088,40,0.00526377974246348,71,0.00513321867803045,40,0.00873328703251285,71,0.00867023326612428,40,0.00866061961970356,71,0.00866016649936876,40,0.0244697209990595,71,0.0244139574336184,40,0.0242905772658664,71,0.0243433313784264
,39,0.365342324444026,72,0.471752722475827,39,0.377803863028684,72,0.485934876141762,39,0.364589189380314,72,0.472540501239568,39,0.364958794065216,72,0.47276586369862,39,0.381513806565888,72,0.491519674054433,39,0.39568570760613,72,0.509510230576969,39,0.41086357416719,72,0.520174701009732,39,0.425304608922502,72,0.537940858614486,39,0.0237694698344066,72,0.0237130078044316,39,0.0234919384609197,72,0.023533050802099,39,0.00530921235091667,72,0.0051612211259131,39,0.00524442715572868,72,0.0051422803969973,39,0.00874944900588557,72,0.008690472387572,39,0.00861297568816978,72,0.00866066739629842,39,0.0244643832441057,72,0.0244358600720006,39,0.0242629011277611,72,0.0243251383420778
,38,0.362621826378772,73,0.475601746277747,38,0.374896850283348,73,0.489936806893109,38,0.361701567821077,73,0.474771801649561,38,0.362012984047425,73,0.476234201348064,38,0.378669894892775,73,0.494906926263189,38,0.392597290621007,73,0.513263877475116,38,0.407956253478418,73,0.523973110545162,38,0.422217196681946,73,0.541852876629042,38,0.0237674751990566,73,0.0237156490721782,38,0.0234695473964994,73,0.0235328796884433,38,0.00531405297406526,73,0.0051483647672625,38,0.00525190601287781,73,0.0051113647974575,38,0.00875019630651551,73,0.00870769539495272,38,0.00860380742138761,73,0.00865491127484063,38,0.0244619168583729,73,0.0244518572270229,38,0.0242581178237501,73,0.0243067811066093
,37,0.359833322212417,74,0.479493075332464,37,0.372101297968959,74,0.493970151046463,37,0.358810114859651,74,0.476112910923602,37,0.359127795361375,74,0.47904144227782,37,0.375741909791433,74,0.498601148273539,37,0.389625477874975,74,0.517137787688202,37,0.405088449320882,74,0.527771882488568,37,0.419263711056552,74,0.545633745008937,37,0.0237445214625663,74,0.0237181141680636,37,0.0234914770169895,74,0.0235423375171822,37,0.00533549783785632,74,0.0051403115986564,37,0.0052534800694871,74,0.00509965739382849,37,0.00875237333917543,74,0.00870407828693878,37,0.00860257999297259,74,0.00864259823887419,37,0.0244685886747835,74,0.0244443355213035,37,0.0242729683723924,74,0.0243033884672038
,36,0.357073682103466,75,0.483560418461965,36,0.369195565181685,75,0.49808770556183,36,0.355905244687529,75,0.479097356773446,36,0.356259347596512,75,0.481396829567402,36,0.37283588627995,75,0.502453106397528,36,0.386578239790122,75,0.521166658392952,36,0.402181540510045,75,0.531684843314399,36,0.416213067857801,75,0.549659970557392,36,0.0237684267725082,75,0.0237452741783523,36,0.0234639661160527,75,0.0235219647242821,36,0.00535164891141166,75,0.00515560994949855,36,0.00527518311956472,75,0.00514390410186763,36,0.008758723339689,75,0.00873406754106558,36,0.00859169147601917,75,0.00862113482515558,36,0.0244807636105519,75,0.0244488816847288,36,0.0242567715422626,75,0.0243022630591073
,35,0.354485871681044,76,0.487355339699291,35,0.366365920412279,76,0.502416925124825,35,0.352978423492356,76,0.484963202062404,35,0.353340599091229,76,0.483959997479689,35,0.369953882000928,76,0.506009966134951,35,0.383513028648471,76,0.525068247192421,35,0.399234126898692,76,0.535341222873942,35,0.413246265021962,76,0.553692291275194,35,0.0237459157670979,76,0.0237323803469381,35,0.0234684706370668,76,0.0235128822451209,35,0.00534099151083847,76,0.0051373226485936,35,0.00527176772203942,76,0.00515034880222816,35,0.00874541054705246,76,0.00869658744599891,35,0.00859582706164322,76,0.00861420804539917,35,0.0244747315172832,76,0.024454917274291,35,0.0242939468343332,76,0.0243047442712756
,34,0.35189148396201,77,0.491245502516723,34,0.363808048065573,77,0.506368765873239,34,0.350173067751626,77,0.488969713492497,34,0.350540622312156,77,0.487355440690385,34,0.367165752846923,77,0.509614120172215,34,0.380675254032212,77,0.52926035717291,34,0.396499165555277,77,0.538971259567905,34,0.410354383828413,77,0.557973682225014,34,0.0237335653969216,77,0.023749598774113,34,0.0234560451064408,77,0.0235390200274843,34,0.00532919105338904,77,0.0051448180830937,34,0.00525824706553719,77,0.00512036426295865,34,0.00875334914378212,77,0.00869335853383453,34,0.00859938389747998,77,0.00864883800573134,34,0.0244529838701141,77,0.0244631566946262,34,0.0242811412895777,77,0.0243192852438164
,33,0.349567533202303,78,0.495138374559852,33,0.361253533231704,78,0.510589874853623,33,0.347486275363828,78,0.491694475070173,33,0.347877689901139,78,0.491767059275969,33,0.364479462672795,78,0.513748497017384,33,0.377886255536641,78,0.533626727615962,33,0.393672737195616,78,0.542757882911405,33,0.407463122330735,78,0.562240758286894,33,0.0237503534210794,78,0.0237606553242307,33,0.0234666307164784,78,0.0235442681029377,33,0.00533935790018406,78,0.00514934625035018,33,0.00524235549153773,78,0.00509421928330649,33,0.00876845584879891,78,0.00871760169399622,33,0.00859482882655728,78,0.00864844900437799,33,0.0244581326386672,78,0.0244502539968471,33,0.0242563126507841,78,0.0243542005425642
,32,0.347005492462544,79,0.499085402375099,32,0.358755873944055,79,0.514669843077268,32,0.344771409938035,79,0.494517992476016,32,0.345178499377158,79,0.495603897778254,32,0.36166814485362,79,0.517700596238441,32,0.374984090452215,79,0.537376658853654,32,0.390843271091681,79,0.546685449030622,32,0.404594296405971,79,0.566402055851535,32,0.0237357004050211,79,0.023733560338639,32,0.0234698461691101,79,0.0235338984016312,32,0.00534293623196119,79,0.00516464062947051,32,0.00530477597427961,79,0.00509059020378574,32,0.0087604273737277,79,0.0087035126519565,32,0.00861072335092645,79,0.00859955900406623,32,0.0244770652490936,79,0.0244325999919439,32,0.0243257067069937,79,0.0243582508400155
,31,0.344570911751669,80,0.502806748886086,31,0.356306182327646,80,0.518401264049259,31,0.342111298391274,80,0.497636764692715,31,0.342574061365215,80,0.4988539716111,31,0.358900739030801,80,0.521379396523709,31,0.372221878132224,80,0.541010753163705,31,0.388098131972677,80,0.550490472785146,31,0.40170524395648,80,0.570087715053156,31,0.0237139143895135,80,0.0237433921622469,31,0.0235520297698693,80,0.0235246585663827,31,0.00533837823751722,80,0.00516636874618894,31,0.0052898610240095,80,0.00510681278571094,31,0.00876894304293301,80,0.00870268249585495,31,0.00871025764214085,80,0.00859328653721233,31,0.0245203220746417,80,0.0244515999824297,31,0.024379459194525,80,0.0243371976281898
,30,0.342260953250778,81,0.506613022997467,30,0.353908383838371,81,0.52245005750167,30,0.339518701348465,81,0.500875428717357,30,0.340056279853189,81,0.502018110680589,30,0.356216973481294,81,0.525221220973825,30,0.369486644307981,81,0.544935744704219,30,0.385415878221339,81,0.554271803190341,30,0.398900951417057,81,0.574319718649091,30,0.0237120279573346,81,0.0237256284919101,30,0.0234491297397727,81,0.0235427672334049,30,0.00532812599523305,81,0.00514352512600839,30,0.00525124496538061,81,0.00510494859680652,30,0.0087689548098542,81,0.00868962469591339,30,0.00862856214068088,81,0.0086090903380792,30,0.0245340304584154,81,0.0244433906568832,30,0.0243216084760083,81,0.0243248826125081
,29,0.340074529981507,82,0.510525025416289,29,0.351519934913638,82,0.526546479124598,29,0.337025624416957,82,0.504353902203804,29,0.337399266914492,82,0.505297017670078,29,0.353609514993125,82,0.529098658938749,29,0.366575727004037,82,0.549181265953976,29,0.382748179833164,82,0.558525338562355,29,0.395895068891181,82,0.578570641787475,29,0.0237087307121726,82,0.0237177423695945,29,0.0234615922676679,82,0.0235451440321037,29,0.00532180391201158,82,0.00515304350480937,29,0.00525243750845457,82,0.00509640500321461,29,0.00876620911619366,82,0.0086773572626065,29,0.00857882140577077,82,0.00861041425385421,29,0.0245439855564008,82,0.0244426111766781,29,0.0243472358254458,82,0.0243326774739585
