CSV Report,2024-02-22_RNA_melting_only_HEPES.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,500 mM MgCl2_260.00nm_90.0-21.0C,,500 mM MgCl2_260.00nm_21.0-90.0C,,500 mM MgCl2_260.00nm_90.0-21.0C_R1,,500 mM MgCl2_260.00nm_21.0-90.0C_R1,,0 mM NaCl_260.00nm_90.0-21.0C,,0 mM NaCl_260.00nm_21.0-90.0C,,0 mM NaCl_260.00nm_90.0-21.0C_R1,,0 mM NaCl_260.00nm_21.0-90.0C_R1,,0 mM NaCl_EDTA_260.00nm_90.0-21.0C,,0 mM NaCl_EDTA_260.00nm_21.0-90.0C,,0 mM NaCl_EDTA_260.00nm_90.0-21.0C_R1,,0 mM NaCl_EDTA_260.00nm_21.0-90.0C_R1,,0 mM KCl_EDTA_260.00nm_90.0-21.0C,,0 mM KCl_EDTA_260.00nm_21.0-90.0C,,0 mM KCl_EDTA_260.00nm_90.0-21.0C_R1,,0 mM KCl_EDTA_260.00nm_21.0-90.0C_R1,,500 mM MgCl2_400.00nm_90.0-21.0C,,500 mM MgCl2_400.00nm_21.0-90.0C,,500 mM MgCl2_400.00nm_90.0-21.0C_R1,,500 mM MgCl2_400.00nm_21.0-90.0C_R1,,0 mM NaCl_400.00nm_90.0-21.0C,,0 mM NaCl_400.00nm_21.0-90.0C,,0 mM NaCl_400.00nm_90.0-21.0C_R1,,0 mM NaCl_400.00nm_21.0-90.0C_R1,,0 mM NaCl_EDTA_400.00nm_90.0-21.0C,,0 mM NaCl_EDTA_400.00nm_21.0-90.0C,,0 mM NaCl_EDTA_400.00nm_90.0-21.0C_R1,,0 mM NaCl_EDTA_400.00nm_21.0-90.0C_R1,,0 mM KCl_EDTA_400.00nm_90.0-21.0C,,0 mM KCl_EDTA_400.00nm_21.0-90.0C,,0 mM KCl_EDTA_400.00nm_90.0-21.0C_R1,,0 mM KCl_EDTA_400.00nm_21.0-90.0C_R1,
,76,0.340811707268606,35,0.313689511010585,76,0.37331001172612,35,0.356557663769212,76,0.344871079256793,35,0.304593815796868,76,0.359116773513684,35,0.315530904718095,76,0.781676029148905,35,0.475661556552986,76,0.814526157437873,35,0.494414736089587,76,0.765367204379591,35,0.465445374182655,76,0.793476776144629,35,0.482032133756793,76,0.0278017522197906,35,0.0273513080603616,76,0.0274236643569602,35,0.0271987369601804,76,0.00660773555720587,35,0.00664389771581721,76,0.00665231904170546,35,0.00663098907934529,76,0.00676121543619579,35,0.00671768802111344,76,0.00684139966171017,35,0.00670776899749024,76,0.0258363918482786,35,0.0259971104458106,76,0.0258500319596169,35,0.0259333356082166
,75,0.340586395984416,36,0.314482313685903,75,0.373101952052465,36,0.357108391523715,75,0.344520586883918,36,0.305898986433996,75,0.358721061620229,36,0.316895376570367,75,0.773818376067457,36,0.481231798404716,75,0.806158623719221,36,0.50013029992793,75,0.757400589354807,36,0.471074193849312,75,0.78516665644351,36,0.487575043466989,75,0.0277947825441939,36,0.0273459407607644,75,0.0274322602874881,36,0.0271687371036893,75,0.00659462216543875,36,0.00664326539292967,75,0.00665935123519454,36,0.00664469545475174,75,0.00674483119157381,36,0.00670009277648729,75,0.00684811140039588,36,0.00669039298176333,75,0.0258226021846559,36,0.0259784094734167,75,0.0258537417577955,36,0.0259311815608324
,74,0.339847890091049,37,0.31529227863425,74,0.37291720678265,37,0.35761866019711,74,0.344132334347825,37,0.307190377352633,74,0.358327327770584,37,0.31829315373869,74,0.765701326801081,37,0.486807539576009,74,0.79790976034964,37,0.506025571054539,74,0.749446961905943,37,0.476343133124556,74,0.777102823011598,37,0.493320988495042,74,0.0277719872609197,37,0.0273728244575367,74,0.0274342344905244,37,0.0271654738720864,74,0.00659510562162049,37,0.00664801568083182,74,0.00665134851999053,37,0.00663682261420063,74,0.00675767835425311,37,0.00672525642044765,74,0.0068255595771295,37,0.00669691916865084,74,0.02585941066699,37,0.025993648482516,74,0.0258521939251496,37,0.0259090707060025
,73,0.339457206020485,38,0.316054615040891,73,0.372701211084185,38,0.358194615945123,73,0.343775322271652,38,0.308550932878314,73,0.357919592123311,38,0.319693069665014,73,0.757960696371921,38,0.492727713382516,73,0.789706584510862,38,0.511938009806841,73,0.741541269504303,38,0.481958513162529,73,0.768768931910104,38,0.499064529299225,73,0.0277233422348411,38,0.0273550218577431,73,0.0274097688962448,38,0.0271979565744705,73,0.00658840642845627,38,0.00662790996489575,73,0.00665049688210229,38,0.00663430566446397,73,0.0067312254784371,38,0.00673244179042771,73,0.00680642837096757,38,0.00669942299109131,73,0.0258439752839309,38,0.0259952845798102,73,0.0258560174909478,38,0.0259210600474198
,72,0.339049190454742,39,0.316852119729135,72,0.372453376206544,39,0.35875514544905,72,0.343350037732284,39,0.30987012654536,72,0.35753823358406,39,0.321058025641379,72,0.749944152630956,39,0.498572348594215,72,0.781446634641799,39,0.517940063810378,72,0.733700169526858,39,0.487681383260475,72,0.760711201854235,39,0.504885993703348,72,0.0277155161521252,39,0.027327569919922,72,0.0273747892283069,39,0.0271624972081795,72,0.00658106923535519,39,0.00659417174018124,72,0.00664334531546328,39,0.0066497468369759,72,0.00672634997526511,39,0.006696118215779,72,0.0067798094797762,39,0.00667765522008331,72,0.0258168262198504,39,0.0259657009103704,72,0.0258358760468487,39,0.025904745964044
,71,0.338621962656265,40,0.317649779512981,71,0.372209404458533,40,0.359280785293126,71,0.34284992859145,40,0.311241342622233,71,0.357110983066057,40,0.322432827399711,71,0.742140558256249,40,0.504325513882892,71,0.773623573851378,40,0.523912130490145,71,0.725908553151882,40,0.493268376854654,71,0.752752837616403,40,0.510950099612239,71,0.0277813895983298,40,0.0273378300675949,71,0.0273617083544783,40,0.0272016669995294,71,0.00658506645120812,40,0.00663080419408482,71,0.00664032876339655,40,0.00663259853007003,71,0.00673086230617922,40,0.0066805065300171,71,0.00677469202506876,40,0.00668336058116931,71,0.0258394144262928,40,0.0259560889400333,71,0.0258160090946228,40,0.0259063180154272
,70,0.338098362907308,41,0.318394508385384,70,0.371992682059333,41,0.359821313187009,70,0.342352225760883,41,0.312559313022994,70,0.356620245197725,41,0.323875952566785,70,0.734444375260228,41,0.510179477283675,70,0.765449487622285,41,0.530292448387825,70,0.718370265068019,41,0.498982659814941,70,0.745037714019567,41,0.516767007435158,70,0.0277601231690807,41,0.0273080087637269,70,0.0273652255178803,41,0.0272312648058166,70,0.00660254491081043,41,0.00664823204844951,70,0.00664280962693225,41,0.00662155364887166,70,0.00672715676996075,41,0.00669562958280325,70,0.00678886791063452,41,0.00670361243933021,70,0.0258386036513246,41,0.0259594663021414,70,0.025841786073428,41,0.0259255898335849
,69,0.337567432945962,42,0.319206547065039,69,0.371766145750237,42,0.360325007977757,69,0.341884176081604,42,0.313896467940363,69,0.356129047503477,42,0.325304850781638,69,0.727208248729401,42,0.516443293153371,69,0.757234203953982,42,0.536663023425769,69,0.710837475109091,42,0.505091667954245,69,0.73696989696583,42,0.522860732781417,69,0.0277383447603412,42,0.0273199532251884,69,0.027366532160003,42,0.0271948338884639,69,0.00660994568168812,42,0.00659690039836572,69,0.00663572811840429,42,0.0066174890123193,69,0.00674394598128269,42,0.00669896050784939,69,0.00677831345592792,42,0.0067065775810918,69,0.0258497003906606,42,0.0259853375156163,69,0.0258419571074172,42,0.0259152920908748
,68,0.337065592094135,43,0.319965685537337,68,0.371496660075644,43,0.360824268243881,68,0.341356842896233,43,0.315196102423819,68,0.355628061274555,43,0.326670684781231,68,0.719632494453407,43,0.522289868857935,68,0.74928052592108,43,0.542961856304268,68,0.703400620867435,43,0.510856977751721,68,0.729193750622418,43,0.529004974590305,68,0.027746055333831,43,0.0273332142151573,68,0.0273603418179494,43,0.0271708782056946,68,0.0066353215120187,43,0.00661513426978717,68,0.00663884040216923,43,0.00662819104791884,68,0.00675330442322214,43,0.00670447771956713,68,0.0067680410737204,43,0.00670581276020055,68,0.0258660691703016,43,0.025987909528674,68,0.025832834094206,43,0.0259133066679982
,67,0.336644786846402,44,0.320764725765073,67,0.371210622838513,44,0.361310479050446,67,0.340817027721477,44,0.316513188361772,67,0.355121619744819,44,0.32804281435558,67,0.712087129511895,44,0.528452098607522,67,0.741391293078302,44,0.549218761807827,67,0.696126234872145,44,0.516636359764411,67,0.721553729537811,44,0.53499102131175,67,0.0277106237308442,44,0.0273513021882634,67,0.0273743293982686,44,0.0271798502230641,67,0.00663398294785704,44,0.00662103132907282,67,0.00665621390967768,44,0.0066404748734483,67,0.00673692872230983,44,0.00671410945919873,67,0.00676627366054182,44,0.00671167241937329,67,0.0258618785121152,44,0.0259521421166428,67,0.0258421189042793,44,0.025913970084406
,66,0.335963393086995,45,0.321576542056179,66,0.37086106207214,45,0.361856290969704,66,0.340251373645169,45,0.317852003235765,66,0.354569475134993,45,0.32942722452611,66,0.704182538968359,45,0.534799625956511,66,0.733241975717477,45,0.555681535165723,66,0.688371031572382,45,0.522972204076232,66,0.713700515150704,45,0.5414163342582,66,0.0276674163238012,45,0.0273773975781714,66,0.0273227286617976,45,0.0271629114520842,66,0.00662165623792984,45,0.00661029422681321,66,0.00665020544849088,45,0.0066378393149892,66,0.00676449112209247,45,0.00671182472446584,66,0.00674243185509111,45,0.00669561004214131,66,0.0258554925803319,45,0.0259468768452397,66,0.0258157308601429,45,0.0259041069340971
,65,0.335453805668446,46,0.322361584313553,65,0.370549321916199,46,0.362336588016933,65,0.339702769701963,46,0.319202730549545,65,0.353987372093588,46,0.330824778998366,65,0.696572861939313,46,0.541126379875516,65,0.725180354698799,46,0.562247422695131,65,0.680931159751275,46,0.529133211818699,65,0.706011762103812,46,0.547752606994569,65,0.0277145339705361,46,0.0273665401054372,65,0.0273351933892147,46,0.0271610307263958,65,0.00660381439538974,46,0.00659631452035652,65,0.00664088266768719,46,0.00663285198850099,65,0.00677049970553824,46,0.0067000969485213,65,0.00675179588090487,46,0.00671325702307123,65,0.0258314355948096,46,0.0259338786726517,65,0.0258241224531834,46,0.0259069338772491
,64,0.334943685312731,47,0.323150827963184,64,0.370270696451913,47,0.362825426636797,64,0.339176921969299,47,0.320564512488592,64,0.353395559888899,47,0.33224812058354,64,0.689026076095826,47,0.547592298308375,64,0.717463722860414,47,0.568862196310795,64,0.673576343683037,47,0.535361194450449,64,0.698400522550741,47,0.554342383563553,64,0.0276970347806694,47,0.0273714156289452,64,0.0273585036729726,47,0.0271831469420206,64,0.00664064386228408,47,0.00660113299444827,64,0.00664411805211388,47,0.00662714674221546,64,0.00677324039757095,47,0.00670443940242773,64,0.00676136598244246,47,0.00671945506175372,64,0.0258489524482768,47,0.0259246231682329,64,0.025815232927749,47,0.0258893108220975
,63,0.334367936385633,48,0.323927169922798,63,0.369925296503502,48,0.36334859562376,63,0.338644955584838,48,0.321928146706591,63,0.352732106160721,48,0.333663214814054,63,0.681719683475883,48,0.553979690640992,63,0.709514959500617,48,0.575609299220992,63,0.666631401408498,48,0.541743180769422,63,0.690975287935821,48,0.560992358555164,63,0.0276610531406362,48,0.0273989177449492,63,0.027340730309975,48,0.0271529146637543,63,0.00665411199197658,48,0.00662270776330272,63,0.00663046404628321,48,0.00662314850784788,63,0.00678292867171493,48,0.00672885552160985,63,0.00676631855226998,48,0.00666563139999903,63,0.0258611562074653,48,0.0259150076633111,63,0.025795326925541,48,0.0258745425693376
,62,0.333821658635949,49,0.324723336550618,62,0.369629983915352,49,0.363808798155923,62,0.33802471210104,49,0.323346890459032,62,0.352075005732022,49,0.335110364721641,62,0.674155664559241,49,0.560651599899521,62,0.701790300388805,49,0.582501730103727,62,0.65912334294063,49,0.548349037189685,62,0.683595632481359,49,0.567733681493737,62,0.0276282982087266,49,0.0274006384670908,62,0.0273363894142801,49,0.0271545183869038,62,0.00661599158683091,49,0.00663183147120758,62,0.00665531111284121,49,0.00661944130177166,62,0.00676054575678628,49,0.00671927364513805,62,0.00676564478363279,49,0.00668224210500877,62,0.025863736621866,49,0.0259091592346226,62,0.0257856390087438,49,0.0258840245077942
,61,0.333290840520709,50,0.325593864210157,61,0.369305390652187,50,0.364297298338366,61,0.337404249707216,50,0.324742072453461,61,0.351359670005349,50,0.336617253183605,61,0.666542843781473,50,0.567425218021614,61,0.693598109566855,50,0.589686385432092,61,0.651792844003043,50,0.554906897655681,61,0.675773104688663,50,0.574579638497908,61,0.0276573224362764,50,0.0273793734218275,61,0.0273329216388453,50,0.0271921876499661,61,0.0066170532782617,50,0.00660806571241597,61,0.006643240678534,50,0.00663126999721173,61,0.00674230529089061,50,0.00669747481120657,61,0.00674839092757651,50,0.00670915340510999,61,0.0258611731603969,50,0.0258986237318047,61,0.0257879661949175,50,0.0258946275238993
,60,0.332779693366866,51,0.32641215002824,60,0.368964820846405,51,0.36478950064784,60,0.336758887795289,51,0.326161439675894,60,0.350624219756799,51,0.338080747238493,60,0.658799662580118,51,0.574399392177439,60,0.685696669897533,51,0.596825693070923,60,0.644344441976781,51,0.561733983131258,60,0.667675351364894,51,0.581357120248497,60,0.0276161440007168,51,0.027401882113574,60,0.0273226281231118,51,0.0272065708202308,60,0.00659864072144357,51,0.00660275767274894,60,0.00664665971849401,51,0.00663964717575388,60,0.00674244250434771,51,0.00671356742316317,60,0.00674218399250339,51,0.00672281290287309,60,0.0258306512653657,51,0.0259100166556624,60,0.0258209318036181,51,0.0258955940061441
,59,0.332277080286122,52,0.327122279726424,59,0.36858309444822,52,0.365280906959195,59,0.336129769065721,52,0.327539659200346,59,0.34984393801726,52,0.339546403014611,59,0.651505142386652,52,0.58142959986344,59,0.677608126445636,52,0.604140719270923,59,0.637064994129853,52,0.568660300906933,59,0.659774593159556,52,0.588421805060183,59,0.0276293115588248,52,0.0273813487322502,59,0.0273440078234519,52,0.0272102565141028,59,0.00660309570778929,52,0.00661209051691819,59,0.00664149624704875,52,0.00664019088675798,59,0.00673296318058972,52,0.00670402354604795,59,0.00677731326661599,52,0.00672057282886472,59,0.0258359391357767,52,0.025917566071714,59,0.025831221112051,52,0.0258932096018898
,58,0.331679973366572,53,0.327797747174378,58,0.368184960613044,53,0.365761981907146,58,0.335396330308044,53,0.328938760717805,58,0.349008299331497,53,0.340998686528609,58,0.643567094203266,53,0.588885268593027,58,0.669670722193506,53,0.611803955756791,58,0.629839398006352,53,0.575624565484139,58,0.652241516144843,53,0.595789995023508,58,0.0275727343218421,53,0.0273782121986048,58,0.0273514777480322,53,0.0272002339756322,58,0.00661004266031094,53,0.00661826871802448,58,0.00664484553821995,53,0.00664462921336705,58,0.00670189077374509,53,0.00671576171319614,58,0.00675786714815622,53,0.00670752608505448,58,0.0258278277922469,53,0.025939772206207,58,0.0258290757020464,53,0.025891752716494
,57,0.331074473202174,54,0.328509755163805,57,0.367806418374684,54,0.366272955962732,57,0.334632606481784,54,0.330248818470308,57,0.348121283529041,54,0.342414592272767,57,0.635967070373375,54,0.596227011750129,57,0.661741609082087,54,0.619688005303362,57,0.62224347563234,54,0.582844651254161,57,0.644392890249585,54,0.603562405816933,57,0.0276263916301356,54,0.0273892873215014,57,0.0273375308975183,54,0.0272028291702558,57,0.00664159104041894,54,0.00660016761264307,57,0.00665136050365573,54,0.00662141085089062,57,0.00675043688468481,54,0.00672579269076981,57,0.00672289029377698,54,0.00670973414461717,57,0.025867526383885,54,0.0259257174848995,57,0.0258203862885025,54,0.0258767723907711
,56,0.330444544137521,55,0.329299245423887,56,0.367391849037436,55,0.366749489930049,56,0.333784266925863,55,0.331488420740841,56,0.347146900437916,55,0.343742343364721,56,0.628289579213276,55,0.603803717097544,56,0.653529422061781,55,0.627438467567144,56,0.61454006327814,55,0.590264225392336,56,0.636261824567342,55,0.611302323361359,56,0.027629028642186,55,0.0273992680635527,56,0.0273129870212903,55,0.027189236314343,56,0.00666098607360825,55,0.0066011237014937,56,0.00664071923777371,55,0.00661555917359307,56,0.00678057954097758,55,0.00673098888554356,56,0.00672235645920137,55,0.00670536238290841,56,0.0259022807385443,55,0.0259072979568112,56,0.0258201171611874,55,0.0258642840517666
,55,0.329831110198375,56,0.330007199637654,55,0.366984496127991,56,0.367242865003405,55,0.332870362514501,56,0.332719533313025,55,0.346076401835417,56,0.34506893776326,55,0.620573129042436,56,0.611749058579916,55,0.645200239573048,56,0.635604631842584,55,0.607109942908865,56,0.597795387253161,55,0.628581325385149,56,0.618798205079318,55,0.0275611617572608,56,0.0273986576723429,55,0.0273161849405226,56,0.0271862461728851,55,0.00663869132653379,56,0.00661255333573577,55,0.00662048400007419,56,0.00660137235674784,55,0.00673290077995898,56,0.00672282671114933,55,0.006738428510737,56,0.00671281908058526,55,0.0258874206297214,56,0.0259108720080399,55,0.0258016675399452,56,0.0258564603608298
,54,0.329188838398109,57,0.330791217511198,54,0.366571196649452,57,0.367720369125755,54,0.331874165167773,57,0.333875234255783,54,0.34495333971428,57,0.346292419220254,54,0.612866195693167,57,0.619562912886171,54,0.637383281028667,57,0.643714250882514,54,0.599641054843721,57,0.605428184961159,54,0.620693035410314,57,0.626568718842319,54,0.0275416628156412,57,0.0274339849529498,54,0.0273002713480504,57,0.0271770742980919,54,0.00663395393339885,57,0.00660051926993527,54,0.00663946995308873,57,0.00661029036904033,54,0.00672018831582143,57,0.00673660876653265,54,0.00674475236194089,57,0.006717372894453,54,0.0258851421199251,57,0.0259047976144714,54,0.0258097450572469,57,0.0258694695787093
,53,0.328596713510354,58,0.331522718540882,53,0.366180241295471,58,0.368234714679844,53,0.330804826060456,58,0.334909678723125,53,0.343722205131103,58,0.347410393327186,53,0.60535464821199,58,0.627391077171203,53,0.629406206368548,58,0.651740011981958,53,0.59234174867686,58,0.61322796640262,53,0.613090437676476,58,0.634566195529903,53,0.0275607641394601,58,0.0274105188780146,53,0.0272583876257732,58,0.0272295662029875,53,0.00664006113363448,58,0.00658326255411052,53,0.0066481294787601,58,0.00660293926695257,53,0.00672664476447276,58,0.00672606991356157,53,0.0067119001171203,58,0.00672317323010694,53,0.0258830072487394,58,0.0258994314670894,53,0.0257980097702379,58,0.0258518976728332
,52,0.327961166729073,59,0.33226954741614,52,0.365774446306322,59,0.368753071107312,52,0.329695354162485,59,0.335939640317353,52,0.34243772317539,59,0.348514036501568,52,0.598101064090637,59,0.635594623954338,52,0.621572319620616,59,0.660393935360623,52,0.585375246799822,59,0.621038636299387,52,0.605593489207053,59,0.642808574870206,52,0.0275507123076615,59,0.0273983372302267,52,0.0272642729142499,59,0.0272107030948055,52,0.00664042846309151,59,0.00658493851911745,52,0.00665024571232633,59,0.00659730422438793,52,0.00671977207100907,59,0.00669555939980965,52,0.00672231812050033,59,0.00673404485457704,52,0.0258643444300006,59,0.0258858742789022,52,0.0258007770535456,59,0.025852612615963
,51,0.327287719084247,60,0.333020359909669,51,0.365354586236173,60,0.369260954863664,51,0.328450169540937,60,0.336895151507813,51,0.341071881619079,60,0.349503856554864,51,0.590514559231896,60,0.643763749993687,51,0.61378367097312,60,0.668632543555241,51,0.578050368149513,60,0.629075588487605,51,0.597937599327225,60,0.650563860933801,51,0.0275531908100485,60,0.0274171000602225,51,0.0272972354349044,60,0.0272098322306273,51,0.006631775888387,60,0.00658339632289884,51,0.00664029590249907,60,0.00661150293544863,51,0.00673320918738364,60,0.00672014429351584,51,0.00675360565164719,60,0.00671979872676415,51,0.025862002352869,60,0.0258941823251232,51,0.025821621571392,60,0.0258585029854445
,50,0.326623377471347,61,0.333814738060779,50,0.364984431778945,61,0.369796724139995,50,0.327212760171683,61,0.33776557534181,50,0.33970285653132,61,0.350455500096312,50,0.583623361075162,61,0.651671337046416,50,0.606550657687306,61,0.677041668624415,50,0.571152294243909,61,0.636877800705746,50,0.590934421160081,61,0.658746763360848,50,0.0275713456589412,61,0.0273875176265605,50,0.0273260155587898,61,0.0272040138363124,50,0.00664983354703728,61,0.00660566242756477,50,0.00662918036182647,61,0.00664112505616444,50,0.00674069984433141,61,0.00671248386076065,50,0.00676441572096162,61,0.00673170736771725,50,0.0258821463167277,61,0.0258773044983645,50,0.0258337904872331,61,0.0258607761549479
,49,0.325988509858701,62,0.334627556171501,49,0.364514918251199,62,0.370552572588579,49,0.325884870481969,62,0.338609428818896,49,0.338279012040062,62,0.351328091307323,49,0.576556344228067,62,0.659717763976159,49,0.599227628453485,62,0.685167540855127,49,0.564610865119729,62,0.644782412497618,49,0.584079581957302,62,0.666703602380723,49,0.0275633950643909,62,0.0273932545531844,49,0.0272964993331993,62,0.0272339591634053,49,0.00667544451277031,62,0.00662880002349456,49,0.00664692405104177,62,0.00663805413344438,49,0.0067475929964956,62,0.00672617819906031,49,0.00674304363542406,62,0.00674119117940461,49,0.0258825390348529,62,0.0258893267658627,49,0.0258471501869039,62,0.0258636927895767
,48,0.325303438238928,63,0.33544700950686,48,0.364095542958086,63,0.371235907846258,48,0.3245905247899,63,0.339404179870029,48,0.336875665809803,63,0.352128501573474,48,0.569892015167928,63,0.667808286827334,48,0.59243344972422,63,0.693551384503993,48,0.557634127042501,63,0.652403230468747,48,0.577218168253458,63,0.674864188994154,48,0.0275341706458684,63,0.0274118921767784,48,0.0273221681718846,63,0.0272254611014284,48,0.00667821657973794,63,0.00663265312446334,48,0.00663951542299531,63,0.00662887436649369,48,0.00675552165082615,63,0.00673729601547303,48,0.00675776209849242,63,0.00671681083332511,48,0.0259051049555001,63,0.0258983369938824,48,0.0258472669528475,63,0.0258568565469716
,47,0.324557199497581,64,0.336334518502205,47,0.363661528559646,64,0.371647473457944,47,0.323169681031568,64,0.340175697547925,47,0.335419453649219,64,0.35289867768984,47,0.562798886879319,64,0.676147577604074,47,0.585203916355491,64,0.701862473636072,47,0.551096400239226,64,0.660212917142008,47,0.570403175695213,64,0.683316277570995,47,0.0274992920544324,64,0.027421821679224,47,0.0273345413662007,64,0.0271938611491742,47,0.00668323299808866,64,0.00665111208842034,47,0.00664242710551399,64,0.00664255567676168,47,0.00676160547098046,64,0.0067441429123433,47,0.00677128496231004,64,0.00674146931360288,47,0.0259024587489125,64,0.0259027561793102,47,0.0258534937909508,64,0.0258902277913449
,46,0.323864030842426,65,0.33730041901753,46,0.363182359842566,65,0.372177553932052,46,0.321851724785191,65,0.340872149875333,46,0.33400960372209,65,0.353660591295704,46,0.556457656993502,65,0.684033544745633,46,0.578343112934681,65,0.71046647553554,46,0.544826864519194,65,0.66798514842584,46,0.563840368335283,65,0.691452335285602,46,0.0275246426100052,65,0.0274236077780245,46,0.0272749584284827,65,0.0272088322447451,46,0.00669024530548015,65,0.00666985192526928,46,0.00662611978555675,65,0.00664154271336176,46,0.00677302195000698,65,0.00674433642910589,46,0.00674400880798973,65,0.00675061354299993,46,0.0258954885041613,65,0.0258993636632912,46,0.0257994744422857,65,0.0258987587091895
,45,0.32320374375169,66,0.338327327271893,45,0.362721556992465,66,0.372641694084255,45,0.32051337249518,66,0.341571046483087,45,0.33261683603383,66,0.354338726251687,45,0.550040787957643,66,0.69195158289531,45,0.571758349120523,66,0.718674666460353,45,0.538437630316785,66,0.676020214471892,45,0.557460883877914,66,0.699495906399941,45,0.0275515603919888,66,0.02742981035277,45,0.027275190881454,66,0.0271326487194315,45,0.00669725007222108,66,0.00667784757849529,45,0.0066391181285248,66,0.00663114540372359,45,0.00677017859997217,66,0.00672761950186645,45,0.0067601100754583,66,0.0066968779924706,45,0.0259018617703718,66,0.0258756977492361,45,0.0258206711738002,66,0.0258326190056786
,44,0.322439624566695,67,0.339204539137234,44,0.362306003495424,67,0.373235675243722,44,0.319178497495899,67,0.342592613844076,44,0.331253657774975,67,0.354973574276003,44,0.543540235011496,67,0.700189494859967,44,0.565412093079806,67,0.727122232395949,44,0.53219942761611,67,0.684112974064767,44,0.551241318811807,67,0.707675252512134,44,0.0275397796915119,67,0.027421090594097,44,0.0273080756910551,67,0.027132669642443,44,0.00670953304852761,67,0.00665962443867548,44,0.00663207629520825,67,0.00663234105402093,44,0.00678232066060839,67,0.0067389752609813,44,0.00677635616488031,67,0.00669671736880609,44,0.0259262552072352,67,0.025878028143001,44,0.0258462158813645,67,0.0258225734748389
,43,0.321746582296662,68,0.340029082669821,43,0.361805920527731,68,0.374024693886862,43,0.317855070545363,68,0.343552933923842,43,0.329867375213981,68,0.355626024539321,43,0.537203185783701,68,0.708399135813167,43,0.558776768976379,68,0.73607839590561,43,0.52601080702335,68,0.6919302889896,43,0.544697877924344,68,0.716157364072795,43,0.0275545497310703,68,0.0273976164467666,43,0.0272749827275783,68,0.027184053847755,43,0.0067163348572115,68,0.00664648288871256,43,0.00663686262122104,68,0.00663250997030498,43,0.00678748714046056,68,0.00674014316040971,43,0.00675707030003507,68,0.00673405241220009,43,0.0259445870784782,68,0.0258681087419582,43,0.0258400942101547,68,0.0258474675900469
,42,0.32103550450861,69,0.340962932264854,42,0.361333374211658,69,0.374843572422574,42,0.316567468377679,69,0.344164198606329,42,0.328461111998983,69,0.356250324992572,42,0.53105190931433,69,0.716562683084793,42,0.552273307432512,69,0.744455959001364,42,0.519854078623422,69,0.699865497954899,42,0.538485081460693,69,0.724220198175668,42,0.0275303062650452,69,0.027412235797494,42,0.027296172091273,69,0.0271722458547334,42,0.0066985000369509,69,0.00665159255817926,42,0.00665349093043391,69,0.00662670543191533,42,0.00677807756320113,69,0.00674381585525257,42,0.00678336158757512,69,0.00672980214110258,42,0.0259314935113029,69,0.0258228597314321,42,0.0258582714573323,69,0.0258465290483238
,41,0.320279002297643,70,0.341908671876452,41,0.360878356136368,70,0.37558112556837,41,0.315307269601321,70,0.344970303066468,41,0.327084894622594,70,0.357450351588751,41,0.525031679056526,70,0.724735535018694,41,0.545804480321032,70,0.752611626093226,41,0.513991202463414,70,0.707905021650311,41,0.53226264269948,70,0.732296362044735,41,0.0275120195982253,70,0.0274163977642498,41,0.0272864054591055,70,0.0271557582972192,41,0.0067006490415012,70,0.00665836480995347,41,0.00666337817390406,70,0.00662513528594113,41,0.00679697423413965,70,0.00674530873891987,41,0.00677257186244687,70,0.00671396933589384,41,0.0259515249998497,70,0.0258399970014511,41,0.0258349318365629,70,0.025850217726679
,40,0.319533240781246,71,0.342877233541056,40,0.360386676096529,71,0.376333190609296,40,0.313992184275077,71,0.34571415081698,40,0.325705871567432,71,0.358741517021036,40,0.518887611562831,71,0.733135811834207,40,0.539388085449548,71,0.760851954189351,40,0.508261550227755,71,0.716250781340452,40,0.526054196717609,71,0.740419241826442,40,0.0275233474758756,71,0.027437319424526,40,0.0272601942491122,71,0.0271509983264373,40,0.00669251346856493,71,0.00666194700435341,40,0.00664536033633617,71,0.00663848427184607,40,0.00679289092165177,71,0.00675172440504887,40,0.00674526482615654,71,0.0067125926706113,40,0.0259502351950606,71,0.0258725247021551,40,0.0258347543291288,71,0.0258518533259903
