CSV Report,2024-02-22_RNA_melting_only_HEPES.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,500 mM MgCl2_260.00nm_90.0-21.0C,,500 mM MgCl2_260.00nm_21.0-90.0C,,500 mM MgCl2_260.00nm_90.0-21.0C_R1,,500 mM MgCl2_260.00nm_21.0-90.0C_R1,,0 mM NaCl_260.00nm_90.0-21.0C,,0 mM NaCl_260.00nm_21.0-90.0C,,0 mM NaCl_260.00nm_90.0-21.0C_R1,,0 mM NaCl_260.00nm_21.0-90.0C_R1,,0 mM NaCl_EDTA_260.00nm_90.0-21.0C,,0 mM NaCl_EDTA_260.00nm_21.0-90.0C,,0 mM NaCl_EDTA_260.00nm_90.0-21.0C_R1,,0 mM NaCl_EDTA_260.00nm_21.0-90.0C_R1,,0 mM KCl_EDTA_260.00nm_90.0-21.0C,,0 mM KCl_EDTA_260.00nm_21.0-90.0C,,0 mM KCl_EDTA_260.00nm_90.0-21.0C_R1,,0 mM KCl_EDTA_260.00nm_21.0-90.0C_R1,,500 mM MgCl2_400.00nm_90.0-21.0C,,500 mM MgCl2_400.00nm_21.0-90.0C,,500 mM MgCl2_400.00nm_90.0-21.0C_R1,,500 mM MgCl2_400.00nm_21.0-90.0C_R1,,0 mM NaCl_400.00nm_90.0-21.0C,,0 mM NaCl_400.00nm_21.0-90.0C,,0 mM NaCl_400.00nm_90.0-21.0C_R1,,0 mM NaCl_400.00nm_21.0-90.0C_R1,,0 mM NaCl_EDTA_400.00nm_90.0-21.0C,,0 mM NaCl_EDTA_400.00nm_21.0-90.0C,,0 mM NaCl_EDTA_400.00nm_90.0-21.0C_R1,,0 mM NaCl_EDTA_400.00nm_21.0-90.0C_R1,,0 mM KCl_EDTA_400.00nm_90.0-21.0C,,0 mM KCl_EDTA_400.00nm_21.0-90.0C,,0 mM KCl_EDTA_400.00nm_90.0-21.0C_R1,,0 mM KCl_EDTA_400.00nm_21.0-90.0C_R1,
,86,0.336477642091317,25,0.306788332222386,86,0.373212019974685,25,0.351061878492383,86,0.346106140568707,25,0.291678189603571,86,0.36223541387277,25,0.302456773026713,86,0.861202347663994,25,0.426564532918244,86,0.900211991864569,25,0.443662362514734,86,0.846907040866514,25,0.418007986908782,86,0.880248665814068,25,0.432926720833347,86,0.0309357878252722,25,0.0273501196465757,86,0.0274352168413176,25,0.0272223643239702,86,0.00661164235170809,25,0.00665613375068433,86,0.00664982655111725,25,0.00663187900578,86,0.00671294540218465,25,0.00671916590471832,86,0.00683252805782279,25,0.00668024608649788,86,0.0259042863734824,25,0.0260393540060414,86,0.0258137720214668,25,0.0258974295746614
,85,0.338061054754716,26,0.30746404549524,85,0.373396141955987,26,0.351621248137386,85,0.345950816091143,26,0.292804777698998,85,0.361906013050586,26,0.303539255211,85,0.854011826738844,26,0.430840349701836,85,0.891811011967198,26,0.448029130917203,85,0.839175789782205,26,0.422094002648695,85,0.871604654127535,26,0.437248374510084,85,0.0294466330448025,26,0.0273853960266236,85,0.0274444710419074,26,0.0272087383274951,85,0.0065921593270562,26,0.00663771415413185,85,0.0066522312118118,26,0.00664363586208248,85,0.00671672053857366,26,0.0067226459058527,85,0.00685094554110632,26,0.00670892763255967,85,0.0258807377359239,26,0.0260437437745359,85,0.0258292533732168,26,0.0259161478116877
,84,0.339253175320049,27,0.308132127720074,84,0.373546665228208,27,0.352184086371435,84,0.345769854895921,27,0.293971411170792,84,0.361563597786751,27,0.304676891516847,84,0.846091735226074,27,0.435291956321136,84,0.882985355724062,27,0.45241312923791,84,0.831445585974505,27,0.426268603286864,84,0.862626594993848,27,0.441410760600426,84,0.0286516819782661,27,0.0273718273764199,84,0.027430295741352,27,0.0272147385991795,84,0.00659775991137502,27,0.00661674220961114,84,0.0066342167014373,27,0.00664723739068014,84,0.00672567192690852,27,0.0067204300002408,84,0.00682339872268839,27,0.00670828402612058,84,0.0258561319921842,27,0.0259992211914658,84,0.0258295080663924,27,0.0259290625039262
,83,0.339985093129771,28,0.308812762083127,83,0.373593429892939,28,0.352726592418147,83,0.345745215428862,28,0.295246532955135,83,0.361199695126479,28,0.305927071423486,83,0.837744338794824,28,0.439924266940006,83,0.874272890804805,28,0.456957361779707,83,0.823209808115431,28,0.430705232051333,83,0.853619774856367,28,0.445793962097709,83,0.0282642181801609,28,0.0273331415102328,83,0.027426944870965,28,0.0272105850803781,83,0.00660445991528802,28,0.00663152415446027,83,0.00664732277858227,28,0.00666288763570271,83,0.00675795558393035,28,0.00672097131332607,83,0.0068156119315179,28,0.00670208786662803,83,0.0258900246718713,28,0.0259893810628292,83,0.0258412403155196,28,0.0259379889057278
,82,0.340689061584079,29,0.309460908781167,82,0.373650476966282,29,0.353255818246067,82,0.345688073981545,29,0.296508813890865,82,0.360873475532049,29,0.307253453531306,82,0.829421695254861,29,0.444280715146903,82,0.865546249028066,29,0.46175894491267,82,0.814604297974201,29,0.435244362391808,82,0.844956836214722,29,0.450611659713291,82,0.0280605141012894,29,0.0273296915864187,82,0.0274314184280454,29,0.0272092521323163,82,0.00661715312083668,29,0.00663682654988666,82,0.00663913794285792,29,0.00664387801009985,82,0.00677730799683319,29,0.00671182422572993,82,0.00683671844491865,29,0.00670214365110512,82,0.0259044241623241,29,0.0259980329407583,82,0.0258597193275431,29,0.0259344657626566
,81,0.341267167038602,30,0.310053147073287,81,0.373673869988266,30,0.35374120737343,81,0.34579823956001,30,0.297901838715009,81,0.360647790221821,30,0.308574444514803,81,0.821532808698466,30,0.449184389545917,81,0.856949577153383,30,0.466934455779627,81,0.806418692579106,30,0.439965680131895,81,0.836108573240003,30,0.455649619165469,81,0.0279408861242998,30,0.0273335870648174,81,0.0274070741287297,30,0.0272066476518196,81,0.00660526658135696,30,0.00663906061246381,81,0.0066490256789468,30,0.00664263107621407,81,0.00674959022779535,30,0.00672088491392453,81,0.00682937387142307,30,0.00669593041196273,81,0.0258590509990212,30,0.0260013987877578,81,0.0258537302694429,30,0.0259343401017136
,80,0.341597241057437,31,0.310723833625325,80,0.373597486459338,31,0.354290691627894,80,0.345867540961868,31,0.299235117863093,80,0.360346098014106,31,0.30989660764224,80,0.813187489561896,31,0.454485391341154,80,0.848086764755888,31,0.472134149290896,80,0.798010027991209,31,0.444870093828838,80,0.827605789587489,31,0.460649812139652,80,0.0278489069399707,31,0.0273420275271045,80,0.0273665485855678,31,0.0272169554364513,80,0.00658706291718837,31,0.0066441675081373,80,0.00666524684405417,31,0.00664994808697769,80,0.00672958063472961,31,0.00673535843749867,80,0.00683093240967771,31,0.0066922265437168,80,0.0258138123444571,31,0.0259988393282152,80,0.0258477644487254,31,0.0259371843291244
,79,0.34133369193651,32,0.311424004572764,79,0.373676392735863,32,0.35485777121456,79,0.345742635891598,32,0.300537873140159,79,0.360023747653805,32,0.31135530973483,79,0.805213238033413,32,0.459562265459622,79,0.839475760038107,32,0.477653318298514,79,0.78981099540874,32,0.449820857690282,79,0.81862052129267,32,0.465721348356547,79,0.0278655822461226,32,0.0273473356278107,79,0.0273921479027924,32,0.0272108172964979,79,0.00660974350082796,32,0.00663765849460725,79,0.00666793162379653,32,0.00663618085684141,79,0.00678026666009926,32,0.00673152030365063,79,0.00682513989631857,32,0.00668406717668766,79,0.0258700256120982,32,0.0260324105292304,79,0.0258624225009755,32,0.025936223021631
,78,0.341158441965369,33,0.312182107095132,78,0.373666570383012,33,0.355426880040872,78,0.345500210946554,33,0.30189118576585,78,0.359753416522694,33,0.312737242749306,78,0.797469222047459,33,0.464638076305669,78,0.831194524801487,33,0.483064080462903,78,0.781972789680356,33,0.454946395828156,78,0.810077960155725,33,0.471076230067899,78,0.0278614782070807,33,0.0273451990687295,78,0.0274386346009441,33,0.0272022143606271,78,0.0066196505206528,33,0.00664463987099393,78,0.00665871954343412,33,0.0066471087154178,78,0.00679535483453013,33,0.00672684246905358,78,0.00680933493207185,33,0.00670249001693997,78,0.0258936007469224,33,0.0260457500991713,78,0.0258478421250246,33,0.0259428509078854
,77,0.340908416867114,34,0.31292560618077,77,0.373494972614633,34,0.355978346715206,77,0.345202761482236,34,0.303221013804022,77,0.359476859511857,34,0.314125073546513,77,0.789478680442457,34,0.470004566674217,77,0.823158482389875,34,0.488704495904547,77,0.773595761581157,34,0.460191519371711,77,0.80238029874991,34,0.476685620048976,77,0.0278186225522053,34,0.0273548036629979,77,0.0274112391648267,34,0.0272167257601804,77,0.00659464220598636,34,0.00665190329040434,77,0.00664018679292479,34,0.00664827143054864,77,0.00677282150046035,34,0.00672853526101666,77,0.00680401613362794,34,0.00672676894466035,77,0.0258454585765561,34,0.026013575106469,77,0.0258327091783169,34,0.0259352044461029
