CSV Report,2024-02-01_RNA_melting_NaCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,516 mM NaCl_260.00nm_90.0-21.0C,,516 mM NaCl_260.00nm_21.0-90.0C,,516 mM NaCl_260.00nm_90.0-21.0C_R1,,516 mM NaCl_260.00nm_21.0-90.0C_R1,,116 mM NaCl_260.00nm_90.0-21.0C,,116 mM NaCl_260.00nm_21.0-90.0C,,116 mM NaCl_260.00nm_90.0-21.0C_R1,,116 mM NaCl_260.00nm_21.0-90.0C_R1,,66 mM NaCl_260.00nm_90.0-21.0C,,66 mM NaCl_260.00nm_21.0-90.0C,,66 mM NaCl_260.00nm_90.0-21.0C_R1,,66 mM NaCl_260.00nm_21.0-90.0C_R1,,41 mM NaCl_260.00nm_90.0-21.0C,,41 mM NaCl_260.00nm_21.0-90.0C,,41 mM NaCl_260.00nm_90.0-21.0C_R1,,41 mM NaCl_260.00nm_21.0-90.0C_R1,,516 mM NaCl_400.00nm_90.0-21.0C,,516 mM NaCl_400.00nm_21.0-90.0C,,516 mM NaCl_400.00nm_90.0-21.0C_R1,,516 mM NaCl_400.00nm_21.0-90.0C_R1,,116 mM NaCl_400.00nm_90.0-21.0C,,116 mM NaCl_400.00nm_21.0-90.0C,,116 mM NaCl_400.00nm_90.0-21.0C_R1,,116 mM NaCl_400.00nm_21.0-90.0C_R1,,66 mM NaCl_400.00nm_90.0-21.0C,,66 mM NaCl_400.00nm_21.0-90.0C,,66 mM NaCl_400.00nm_90.0-21.0C_R1,,66 mM NaCl_400.00nm_21.0-90.0C_R1,,41 mM NaCl_400.00nm_90.0-21.0C,,41 mM NaCl_400.00nm_21.0-90.0C,,41 mM NaCl_400.00nm_90.0-21.0C_R1,,41 mM NaCl_400.00nm_21.0-90.0C_R1,
,86,0.659262061565633,25,0.349400051157581,86,0.680891062363494,25,0.359407262742382,86,0.683127314568202,25,0.339594267188688,86,0.705537556325261,25,0.353424239830408,86,0.707778439446885,25,0.35865243152277,86,0.737716817511637,25,0.371364512586283,86,0.735467497815522,25,0.386223274087569,86,0.770647605834853,25,0.401060593270639,86,0.0243052889029526,25,0.0240651862841348,86,0.0242474292685204,25,0.0240141040372324,86,0.00558160096794679,25,0.00549823407642126,86,0.00572495516204064,25,0.00556501853217902,86,0.00767995365494161,25,0.00779673660105186,86,0.00788608781011408,25,0.00779368138205987,86,0.0258695034580539,25,0.0259564234730659,86,0.0258871515636547,25,0.0259034269330226
,85,0.654240728975019,26,0.352092177982493,85,0.674674366007321,26,0.362094278762016,85,0.677100953206487,26,0.342740750454448,85,0.699003983202956,26,0.356684631342522,85,0.702559009352863,26,0.36174822626887,85,0.731270514005482,26,0.374592394537668,85,0.729625472025331,26,0.389803195242816,85,0.76344408362991,26,0.40464170088444,85,0.024351419335487,26,0.0240694503301405,85,0.0242148713778873,26,0.0240294347410662,85,0.0055879830176086,26,0.00549578516818107,85,0.00571503926594501,26,0.00556926530599682,85,0.00770365407585467,26,0.00779605038184539,85,0.00784325029833663,26,0.00779279818261381,85,0.0258722893983459,26,0.0259710072854899,85,0.0258458627678288,26,0.0259214702238082
,84,0.648205252450445,27,0.354746985673425,84,0.66834063185678,27,0.364820487512884,84,0.670963590448594,27,0.345849827929211,84,0.691915637143263,27,0.359792191096732,84,0.696626065437136,27,0.36484284634744,84,0.723961752911746,27,0.377825736370354,84,0.723006450294864,27,0.393067013663926,84,0.75645231930347,27,0.407933079960145,84,0.0243065539165577,27,0.0240758889885716,84,0.0242513314799093,27,0.0240226462518759,84,0.0056038084187818,27,0.00553144221684216,84,0.00571775728771156,27,0.00556851939580563,84,0.00769206692999925,27,0.00779736813349226,84,0.00789043520169293,27,0.0077863415676126,84,0.0258543597460961,27,0.02596716646967,84,0.0258748617243638,27,0.0259268698635059
,83,0.641853529729338,28,0.357470082066856,83,0.661659289504712,28,0.367543059123983,83,0.66446064298461,28,0.349089081499415,83,0.685144243073417,28,0.362802570254422,83,0.689686697353439,28,0.36820655386062,83,0.717029094336319,28,0.381202908919688,83,0.716121941199871,28,0.396280955356816,83,0.749307265257492,28,0.411489753329364,83,0.024278976018643,28,0.0240951409688812,83,0.0242708873936044,28,0.0239969602798762,83,0.00558199200582462,28,0.00553386316274859,83,0.00571219912956471,28,0.00558567075162821,83,0.00768077550698891,28,0.00781853766892924,83,0.00788643766390402,28,0.00774465593263394,83,0.02586429731187,28,0.0259821486519858,83,0.0258662197749852,28,0.0258983057827585
,82,0.635711018104706,29,0.360198216457247,82,0.655107040929618,29,0.370440829815616,82,0.658038946572253,29,0.352494483768901,82,0.678420981485053,29,0.366164153158915,82,0.683028106259237,29,0.371828747139474,82,0.71022118679857,29,0.384953466370378,82,0.709807311245162,29,0.400055078957795,82,0.742515284950541,29,0.415359785847513,82,0.0243164037453019,29,0.0240905042862377,82,0.0242496540478159,29,0.0239833784320002,82,0.00558226229617985,29,0.00551874910926527,82,0.00572029969146766,29,0.00559093209298709,82,0.00767731017311244,29,0.00781280461903233,82,0.00788929555653201,29,0.0077254826625681,82,0.0258728791908301,29,0.0259764659656003,82,0.0258689361970371,29,0.0258725364004818
,81,0.629402900445005,30,0.363290710056947,81,0.648773236275201,30,0.373536445339857,81,0.65228573515644,30,0.356028884074757,81,0.67172725643445,30,0.369894861241184,81,0.676727550092504,30,0.37555704559179,81,0.703337014492256,30,0.388686270049551,81,0.703681393592833,30,0.404133176749045,81,0.735497696051587,30,0.419407453789343,81,0.0242802989840797,30,0.0240919377459209,81,0.0242514811844094,30,0.0239853517434899,81,0.00558173996034692,30,0.00552687149343517,81,0.00573492230435382,30,0.00557646471921483,81,0.0076634855319391,30,0.00778946237156609,81,0.0078801066826706,30,0.00774127988822674,81,0.0258574516255822,30,0.0259681594030711,81,0.0258813122412189,30,0.0258856209651225
,80,0.623193336648166,31,0.366312283861555,80,0.642357890959646,31,0.376559724655804,80,0.646465101503167,31,0.359634160454491,80,0.665185949033581,31,0.37371560346331,80,0.670449616384162,31,0.379279093361768,80,0.696543845045263,31,0.392566317614603,80,0.697172973801005,31,0.40786534350506,80,0.728727521989837,31,0.423336250591058,80,0.0243026341438211,31,0.0241032776449272,80,0.024249411028212,31,0.0239684263566832,80,0.00558937402744674,31,0.00554565719161606,80,0.0057270489222893,31,0.00556885630419357,80,0.00769024904371292,31,0.00778217128572318,80,0.0078640567231512,31,0.00772782070001058,80,0.0258679213938116,31,0.0259796606824581,80,0.0258530568377185,31,0.0258901424130968
,79,0.616799421481671,32,0.36948670830109,79,0.635632577357399,32,0.379810905731295,79,0.639569180049484,32,0.363283138468613,79,0.658675213957222,32,0.377408557093632,79,0.664008314707263,32,0.383153011359303,79,0.68976328061736,32,0.396599949744859,79,0.690821145737062,32,0.41180128121467,79,0.721793485566918,32,0.427660694215983,79,0.0243336912712409,32,0.0240969522559303,79,0.0242290267450415,32,0.023968256161584,79,0.00557908518971125,32,0.00553847476316481,79,0.00572772501657509,32,0.00558235523157063,79,0.00770229774573908,32,0.00777827840886317,79,0.00784671796206331,32,0.00772391702875929,79,0.0259026038466229,32,0.0259747875114452,79,0.025835816146595,32,0.0258942424491716
,78,0.610611990258886,33,0.372596319079314,78,0.629093776525329,33,0.383191006546024,78,0.632658829540733,33,0.367004382825281,78,0.652028224302568,33,0.381335149752424,78,0.657557041153738,33,0.38704951956586,78,0.682837570876707,33,0.400718395393097,78,0.684604384230902,33,0.416090252621017,78,0.715200080632435,33,0.432119329976691,78,0.0243075798416148,33,0.0241174325689685,78,0.0242184724048921,33,0.0239822692357953,78,0.00559183669149967,33,0.00553177599507534,78,0.00572265459779376,33,0.00558712497195034,78,0.00768207962767069,33,0.00778902341305584,78,0.007846548030633,33,0.00774727132354334,78,0.0259010284717745,33,0.0259973312853848,78,0.0258639838802598,33,0.0258940091404723
,77,0.604297543238436,34,0.375977596563388,77,0.622530749956042,34,0.386532351585505,77,0.625613324888916,34,0.370955010005088,77,0.645556010749711,34,0.385284888886669,77,0.651220599756977,34,0.391115675693872,77,0.676107303689492,34,0.404912164879411,77,0.678265693156592,34,0.420342863485391,77,0.708193261899811,34,0.436394630224552,77,0.0243063197104886,34,0.0240910092124288,77,0.0242183967701081,34,0.0239874933947182,77,0.00561161098144632,34,0.0055391174924219,77,0.00571286619031614,34,0.00557346116271166,77,0.00769297445095743,34,0.00777493681766428,77,0.00785526139762587,34,0.00773216125366821,77,0.0258972990770814,34,0.0259962291682151,77,0.0258695097005094,34,0.0258997404726742
