CSV Report,2024-02-01_RNA_melting_NaCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,516 mM NaCl_260.00nm_90.0-21.0C,,516 mM NaCl_260.00nm_21.0-90.0C,,516 mM NaCl_260.00nm_90.0-21.0C_R1,,516 mM NaCl_260.00nm_21.0-90.0C_R1,,116 mM NaCl_260.00nm_90.0-21.0C,,116 mM NaCl_260.00nm_21.0-90.0C,,116 mM NaCl_260.00nm_90.0-21.0C_R1,,116 mM NaCl_260.00nm_21.0-90.0C_R1,,66 mM NaCl_260.00nm_90.0-21.0C,,66 mM NaCl_260.00nm_21.0-90.0C,,66 mM NaCl_260.00nm_90.0-21.0C_R1,,66 mM NaCl_260.00nm_21.0-90.0C_R1,,41 mM NaCl_260.00nm_90.0-21.0C,,41 mM NaCl_260.00nm_21.0-90.0C,,41 mM NaCl_260.00nm_90.0-21.0C_R1,,41 mM NaCl_260.00nm_21.0-90.0C_R1,,516 mM NaCl_400.00nm_90.0-21.0C,,516 mM NaCl_400.00nm_21.0-90.0C,,516 mM NaCl_400.00nm_90.0-21.0C_R1,,516 mM NaCl_400.00nm_21.0-90.0C_R1,,116 mM NaCl_400.00nm_90.0-21.0C,,116 mM NaCl_400.00nm_21.0-90.0C,,116 mM NaCl_400.00nm_90.0-21.0C_R1,,116 mM NaCl_400.00nm_21.0-90.0C_R1,,66 mM NaCl_400.00nm_90.0-21.0C,,66 mM NaCl_400.00nm_21.0-90.0C,,66 mM NaCl_400.00nm_90.0-21.0C_R1,,66 mM NaCl_400.00nm_21.0-90.0C_R1,,41 mM NaCl_400.00nm_90.0-21.0C,,41 mM NaCl_400.00nm_21.0-90.0C,,41 mM NaCl_400.00nm_90.0-21.0C_R1,,41 mM NaCl_400.00nm_21.0-90.0C_R1,
,66,0.534841479014256,45,0.417869779824423,66,0.550411813630597,45,0.429573918969795,66,0.554434478280075,45,0.419950177963538,66,0.572636044670123,45,0.433424226036158,66,0.581441600681503,45,0.442621121210514,66,0.601597137818598,45,0.458075329126988,66,0.609473630846845,45,0.472633857260407,66,0.63510243497709,45,0.490921863546028,66,0.0242621714990021,45,0.0241066438836946,66,0.0241926942049116,45,0.0240003570032662,66,0.00562718095042838,45,0.0055387563166452,66,0.0057313320521446,45,0.00556161162538476,66,0.00771964561617031,45,0.00775335285376187,66,0.00783480685284613,45,0.00770664801717292,66,0.0259318038345817,45,0.0259634193454859,66,0.0258622409996413,45,0.025878380023434
,65,0.528941829639825,46,0.422224775179303,65,0.544372903968544,46,0.434147548091441,65,0.547747035625543,46,0.424865418321712,65,0.565701466881727,46,0.438271219486699,65,0.57489270246242,46,0.447638056019296,65,0.59458528327112,46,0.463514038408761,65,0.603215572353036,46,0.47769507519134,65,0.62844003122009,46,0.496396672126172,65,0.0242610344030595,46,0.0240891475644523,65,0.0241813633220556,46,0.0240263154880084,65,0.00561982479884641,46,0.0055270049326481,65,0.00569867056822826,46,0.00557427072715233,65,0.00771746995286694,46,0.00771015014368699,65,0.00783756609784201,46,0.00770972269842632,65,0.0259431745305801,46,0.0259335909056489,65,0.0258689452734702,46,0.025905732034731
,64,0.523068418776607,47,0.426818593085451,64,0.53843801994894,47,0.438785026597288,64,0.541158245521983,47,0.430030146708748,64,0.558963326804529,47,0.443085565776425,64,0.568285470496092,47,0.452924776811064,64,0.587857848406673,47,0.468982499204538,64,0.596606150674835,47,0.482828209406437,64,0.621790237415609,47,0.501734527675687,64,0.024249293249951,47,0.0240946494472044,64,0.0241772152102886,47,0.0240010381274492,64,0.00559952120662299,47,0.00554039349252215,64,0.00569650698012614,47,0.00557623071467086,64,0.00770935674461932,47,0.007720670645617,64,0.00781774481538088,47,0.00768939849871826,64,0.0259195009240018,47,0.0259350388033521,64,0.0258389456090238,47,0.0258880191848481
,63,0.517650122885508,48,0.431224601771535,63,0.532628202978788,48,0.443506388747189,63,0.534679671265781,48,0.435131706544694,63,0.552099731332513,48,0.447709280315639,63,0.56187580967732,48,0.4581297432271,63,0.580910848842836,48,0.474295387924349,63,0.590503190993127,48,0.487970587243791,63,0.615111380023952,48,0.507204034513963,63,0.0242797990048545,48,0.0241067525339353,63,0.0241658146878888,48,0.024004378831305,63,0.00560670361412447,48,0.00555402789113765,63,0.00570236767532262,48,0.00558639933299472,63,0.00772017983593603,48,0.00773554757647901,63,0.00778809232373107,48,0.00769247049382135,63,0.0259279332905702,48,0.0259582368981965,63,0.0258145776606496,48,0.0258592217082105
,62,0.512217770272724,49,0.436186627379615,62,0.527003425970657,49,0.44811201855485,62,0.528013610268076,49,0.440354859037424,62,0.545590224113251,49,0.45261784580838,62,0.555226140486349,49,0.46346638643474,62,0.574243059781024,49,0.479801514081837,62,0.5841438203164,49,0.493362597147876,62,0.608491188691498,49,0.512658146338222,62,0.0242784025817638,49,0.0241052874345326,62,0.0241687279918332,49,0.0240185042170721,62,0.00561007267192357,49,0.00554854428058551,62,0.00571598449461054,49,0.00557668971154191,62,0.0077027769108933,49,0.00772120378891523,62,0.00780356920246628,49,0.00771048338255872,62,0.0259293590352985,49,0.0259495157507147,62,0.0258389826484845,49,0.025875688188401
,61,0.506683982573612,50,0.440887165182168,61,0.521440834631609,50,0.45303782581652,61,0.521700454378862,50,0.445556607631096,61,0.539012009921098,50,0.457672291086146,61,0.548791209055229,50,0.468797515287451,61,0.567409921176248,50,0.485263695707886,61,0.577631050243694,50,0.498696098738686,61,0.601552784565593,50,0.518257711730624,61,0.0242429826682543,50,0.0241138183625393,61,0.0241662212551265,50,0.023984135932314,61,0.00561208064965195,50,0.00554980615149301,61,0.0057010102378523,50,0.00557266014661181,61,0.00768192627071043,50,0.00772206064077313,61,0.00778322862846924,50,0.00768245337129949,61,0.0259247351692986,50,0.0259343506447791,61,0.0258483136449254,50,0.0258559648177441
,60,0.501295895143656,51,0.44571591298741,60,0.515895818256828,51,0.457990906426395,60,0.515124827006735,51,0.450931878716389,60,0.53238946622387,51,0.462938907592516,60,0.541990681210747,51,0.474296530015731,60,0.560434048898799,51,0.490834733603114,60,0.571574843256149,51,0.504107823796808,60,0.594967062219676,51,0.523974250708959,60,0.0242505791877239,51,0.0241178737986875,60,0.024153205879003,51,0.0239997175261972,60,0.00561318134584819,51,0.00556239393279408,60,0.00568507383284612,51,0.00557918982748836,60,0.00767489836721234,51,0.00774537957278326,60,0.00779547219386199,51,0.00768675455359949,60,0.0259208254749376,51,0.0259411112005865,60,0.0258617999709716,51,0.0258227996781951
,59,0.496235620143219,52,0.450516862511423,59,0.510466600480571,52,0.463070569516223,59,0.50905475799772,52,0.456189752568266,59,0.526140509832202,52,0.468508532094735,59,0.535632922213957,52,0.479692308999864,59,0.553825403954659,52,0.496615173976196,59,0.565189330299232,52,0.509943733629413,59,0.588062190676249,52,0.529801847248476,59,0.0242385464285786,52,0.0241212846864737,59,0.0241512772703991,52,0.0240240511123288,59,0.00559460549700339,52,0.00556584804911628,59,0.00568016895940914,52,0.00559974890867127,59,0.00769170035817134,52,0.00777817779383215,59,0.00777776040434355,52,0.007703215559051,59,0.0259271662130555,52,0.0259450529853019,59,0.0258359164043178,52,0.0258502949084065
,58,0.491112525856797,53,0.455448783229724,58,0.505221519945134,53,0.468112533048897,58,0.502982481646621,53,0.461590735893464,58,0.519872208515763,53,0.474103000714241,58,0.52922285751457,53,0.485295158201095,58,0.547102848894805,53,0.502348488975945,58,0.55863382499168,53,0.515669250681902,58,0.581523643080749,53,0.535829549469317,58,0.02425777462948,53,0.0241105822641005,58,0.0241274342648923,53,0.0240305210205478,58,0.00559920688351408,53,0.00556762987913821,58,0.0056733479578523,53,0.00560407261377447,58,0.00769878568054386,53,0.00775455246849608,58,0.00776616820524441,53,0.00772479520334626,58,0.0259223905152962,53,0.0259164726354987,58,0.0258122897089053,53,0.0258447914134656
,57,0.485899702474619,54,0.460451678071539,57,0.499954055362487,54,0.473229821802382,57,0.496867811162339,54,0.467006842334682,57,0.513726459968921,54,0.479949281034085,57,0.522744168411626,54,0.490952821960914,57,0.54046833094251,54,0.508302429004746,57,0.55212247802069,54,0.521512550717105,57,0.574794999670088,54,0.541796880368821,57,0.0242304977229699,54,0.0241060383985619,57,0.0241103063597189,54,0.0240448584550697,57,0.00562593404827069,54,0.00558325491288313,57,0.00567615986315079,54,0.00558877669705806,57,0.0076981992267252,54,0.0077233027112668,57,0.00774646395649945,54,0.00773324698291132,57,0.0259224145765609,54,0.0259213951719068,57,0.0258083401538247,54,0.0258503139416014
,56,0.480851279171729,55,0.465545210777115,56,0.494652998006262,55,0.478208086482205,56,0.491119853274183,55,0.472446225451391,56,0.507829001257872,55,0.485669816938824,56,0.516625946654148,55,0.496668519266025,56,0.534162710679684,55,0.514054577021344,56,0.545797591090934,55,0.52740914773884,56,0.568125118427706,55,0.54807061123566,56,0.0242466484090853,55,0.0241304925458341,56,0.0241018441977843,55,0.024016414229071,56,0.00561943982449836,55,0.00557679061923188,56,0.00567525635086022,55,0.00558957301457026,56,0.00770947123036254,55,0.00773111362951941,56,0.00774227489420285,55,0.00769465837963516,56,0.0259268748378429,55,0.0259357325329329,56,0.0258327509880197,55,0.0258579909998856
,55,0.475958920204412,56,0.470619144280898,55,0.489486830791191,56,0.483497586051663,55,0.485503512536503,56,0.478033948135373,55,0.501956321458206,56,0.492239989280407,55,0.510703146313631,56,0.50254303762668,55,0.527825373725369,56,0.520522296552426,55,0.539860255349641,56,0.533857787998362,55,0.561621203859289,56,0.554455220762917,55,0.0242408665732716,56,0.0241412541877377,55,0.0241133646033931,56,0.0240088889142059,55,0.0056154487016204,56,0.00557693672574494,55,0.00566813928940344,56,0.00561655776422785,55,0.0077311794427857,56,0.00773560967921841,55,0.00775612976798598,56,0.00768097346198588,55,0.0259192803696145,56,0.0259305051966737,55,0.0258410998607298,56,0.025826634927465
,54,0.470926846413785,57,0.475648997222837,54,0.484352228450064,57,0.488863373309683,54,0.479836531792593,57,0.483741343261529,54,0.496177424457937,57,0.49893895064582,54,0.504672487918828,57,0.508598401069836,54,0.52156423577481,57,0.52688816152773,54,0.533767866048434,57,0.539933508324329,54,0.55519918000471,57,0.561251928603662,54,0.0242414056143852,57,0.0241472855205853,54,0.024103990665728,57,0.024025241126968,54,0.00561334555096801,57,0.00559785258937148,54,0.00566954726654159,57,0.00562185778390857,54,0.00772800011265705,57,0.00773688471194618,54,0.00776977189075991,57,0.00769140336922523,54,0.0259246378614228,57,0.0259307130390864,54,0.0258420660606531,57,0.0258414010481287
,53,0.46598906546675,58,0.481081621974248,53,0.479283383864321,58,0.494025472845484,53,0.474386029509205,58,0.489490884189703,53,0.490687526603107,58,0.505593946417312,53,0.498802125165867,58,0.514737646093509,53,0.51570922693636,58,0.533191432003491,53,0.5277855337434,58,0.546431006915644,53,0.548989374371711,58,0.567901809028315,53,0.0242243181709145,58,0.0241399173896809,53,0.0241102820266216,58,0.0240602683367994,53,0.00562350650169796,58,0.00558149231403287,53,0.00566915350232184,58,0.00559742080281928,53,0.00768720212988631,58,0.00772027037940411,53,0.0077749685866689,58,0.00771247077681929,53,0.0259240208371733,58,0.0259042571216093,53,0.0258464459768282,58,0.0258557809955361
,52,0.461095785312498,59,0.486573141757573,52,0.474103131366339,59,0.49952557261848,52,0.468851962070652,59,0.495551075802039,52,0.485174636187148,59,0.512035531701261,52,0.493005642576991,59,0.521249633956069,52,0.509806942908732,59,0.539671143630687,52,0.521763634973113,59,0.553478942133556,52,0.542813510470546,59,0.574454793609801,52,0.0242394733258465,59,0.0241593004847454,52,0.0241213570081631,59,0.0240373512886404,52,0.00563566772335897,59,0.00558400879307814,52,0.00566984225257947,59,0.00559638466472651,52,0.00771828254895936,59,0.00773903195399891,52,0.00777743553299897,59,0.00771651914305116,52,0.0259273957702073,59,0.0259170370062598,52,0.0258345626052772,59,0.0258353023639323
,51,0.456177564559869,60,0.491755253986727,51,0.468989744938121,60,0.504915001539391,51,0.463518901944317,60,0.501546876821129,51,0.479675454832456,60,0.518416821231567,51,0.487450372658884,60,0.527668686843682,51,0.503939842658021,60,0.546430995649834,51,0.516188786592299,60,0.559929719480613,51,0.536775947424847,60,0.581505515833948,51,0.0241999581514506,60,0.0241328763068294,51,0.0241287903701725,60,0.02406458342871,51,0.00562758531085052,60,0.00559305406545536,51,0.00565410580494233,60,0.00560401974925857,51,0.007704408040615,60,0.0077528649166833,51,0.00778443157560899,60,0.00774080473413027,51,0.0259327474469491,60,0.0258991085188744,51,0.0258590664776469,60,0.0258429250582793
,50,0.451320407458175,61,0.497242118271712,50,0.464144915088408,61,0.510371491355578,50,0.458251797588271,61,0.50762965498593,50,0.474357440367727,61,0.524693257537008,50,0.481952291521907,61,0.534209492364611,50,0.498378929156695,61,0.553182005181737,50,0.510508834208758,61,0.566536024031972,50,0.530967451202536,61,0.588500206500418,50,0.0241949541124226,61,0.0241241317048646,50,0.0241249079923329,61,0.0240601448527685,50,0.00560768128319602,61,0.00560760925245936,50,0.00565428641531492,61,0.00562066324110995,50,0.00769705995164307,61,0.00774086800680124,50,0.00778659015548515,61,0.0077278133319462,50,0.0259451042742645,61,0.0258638232678198,50,0.0258820913141111,61,0.0258599528435747
,49,0.446524685683445,62,0.502625737311388,49,0.459209420070519,62,0.515832554605998,49,0.452877584551401,62,0.514092511276303,49,0.469121360974459,62,0.53087755261627,49,0.476429321154005,62,0.541220767641453,49,0.49290322290887,62,0.559940519413765,49,0.505108363135985,62,0.573413137386425,49,0.525382930413398,62,0.595251926292832,49,0.0242131174054709,62,0.02411811590253,49,0.0241166384274808,62,0.0240517599531208,49,0.00561481320718496,62,0.005615549719385,49,0.00565163246470155,62,0.00562790040808317,49,0.00770586510567327,62,0.00775891246381675,49,0.00776714861876304,62,0.00772339832101783,49,0.0259312931077226,62,0.0258666403421278,49,0.0258530248897206,62,0.025825527757683
,48,0.441903548943199,63,0.508082158556423,48,0.45442263339026,63,0.521529621792972,48,0.447832822007545,63,0.520379548060818,48,0.463916292597882,63,0.537246954155878,48,0.471247776638066,63,0.54796110748312,48,0.487552962127364,63,0.566901627181711,48,0.499772830988413,63,0.580376894279043,48,0.519882275162239,63,0.602381281669289,48,0.024189179004016,63,0.0241344937720157,48,0.0241005913465046,63,0.0240328077397233,48,0.00561626063169134,63,0.00560605981583142,48,0.00565276852274396,63,0.00564094860519713,48,0.00770593654137109,63,0.00778573588675673,48,0.00778492667939691,63,0.00772934813726041,48,0.0259208078929209,63,0.0259152549502091,48,0.0258359476231579,63,0.02581293206732
,47,0.437322663848703,64,0.513648131122987,47,0.449755683054435,64,0.527320212327503,47,0.442565686297544,64,0.526884352038984,47,0.458545263767111,64,0.544057774765595,47,0.465830016623416,64,0.554879709297214,47,0.482084636876276,64,0.574343603209853,47,0.494558862272732,64,0.587168226799323,47,0.514341950875327,64,0.609448391251092,47,0.0242025547521004,64,0.0241574821190807,47,0.0241268066676524,64,0.0240414503168899,47,0.00560232863571915,64,0.00562167388049086,47,0.00564058336603218,64,0.00563840916350349,47,0.00772955902719751,64,0.00779092261100715,47,0.00779685513380035,64,0.00773501955593615,47,0.0259261848431332,64,0.0259286017682252,47,0.0258761360838676,64,0.0258181813737763
,46,0.432628305720008,65,0.519469013859808,46,0.445007512144765,65,0.533344336154681,46,0.437644608846316,65,0.533554926241324,46,0.453267091896398,65,0.550601090149046,46,0.46079840680155,65,0.561999386467096,46,0.476660260187973,65,0.581620004626737,46,0.489256548016064,65,0.593599823598638,46,0.508802650157127,65,0.616521983649503,46,0.0242336846309832,65,0.0241486800479438,46,0.0241296668552725,65,0.0240732419861313,46,0.00562386682428744,65,0.00562063104334501,46,0.00561588853141706,65,0.00563155342722603,46,0.00773605186279772,65,0.00778731690386759,46,0.00779107657936627,65,0.00775990844593207,46,0.0259379072635915,65,0.025896436781774,46,0.0258626365415932,65,0.0258379506493423
,45,0.428239955122282,66,0.525501922910813,45,0.440165125522936,66,0.539758090035997,45,0.432547067081583,66,0.540427817846126,45,0.448038012987109,66,0.557492668143699,45,0.455582627806441,66,0.569138957350238,45,0.471265778165931,66,0.589054716974257,45,0.484275402733192,66,0.600520584345774,45,0.503366706025999,66,0.623807180407984,45,0.0242245334517966,66,0.0241516603261047,45,0.0241077085732651,66,0.024090438418344,45,0.00565136436150262,66,0.00560045464703411,45,0.00560735258199318,66,0.00564488451033115,45,0.00773581619793051,66,0.00780027600170149,45,0.00778369677839206,66,0.00777402549801711,45,0.0259554791050485,66,0.0258776487337847,45,0.0258422535385543,66,0.0258573543737365
,44,0.42375723136798,67,0.53161535381079,44,0.435724577022166,67,0.546186982926436,44,0.427532264635365,67,0.547257432216015,44,0.442891964553747,67,0.564230613358325,44,0.450505805690822,67,0.575987258761437,44,0.466074829605574,67,0.596158161959103,44,0.479214240191384,67,0.607385150986502,44,0.498064871966115,67,0.63051318876004,44,0.0242050201451408,67,0.0241656791313665,44,0.0240921959108226,67,0.0240743857866687,44,0.00562952519799822,67,0.00561914898789878,44,0.00562758057676794,67,0.00565262803611572,44,0.00773452386105068,67,0.00780466403974773,44,0.00777441033723373,67,0.00775373775305677,44,0.0259339937112267,67,0.025883517561642,44,0.0258530928668762,67,0.0258223354128005
,43,0.419460727531106,68,0.538048636911265,43,0.431336976753778,68,0.552223184336863,43,0.422547958330343,68,0.554236656626818,43,0.437814524981423,68,0.571157234632316,43,0.445426748656356,68,0.582926158348846,43,0.46086931891472,68,0.603726445647881,43,0.474200784812065,68,0.614281420430788,43,0.49283886831727,68,0.637539290171114,43,0.0241964343837747,68,0.0241738471404408,43,0.0240667826168551,68,0.0240637818935087,43,0.00560058357194407,68,0.00562365090300684,43,0.00561839706755564,68,0.00565283492945241,43,0.00772755601531269,68,0.00778507748646452,43,0.00778215038766604,68,0.00775007866969673,43,0.0259223569539508,68,0.0259123612154441,43,0.0258270578493262,68,0.0257994122149486
,42,0.415193955184432,69,0.544271161120236,42,0.426846622803264,69,0.55910770965389,42,0.417599039052956,69,0.561122407811784,42,0.432607307544435,69,0.578198874087644,42,0.440312654586936,69,0.589771219235723,42,0.455491173268657,69,0.611363992555704,42,0.469178687286581,69,0.620849660022783,42,0.487693170568858,69,0.644567348683094,42,0.0242176787515938,69,0.0241716095927544,42,0.0241170995926257,69,0.0240869304843942,42,0.00561283806796693,69,0.00561640415844683,42,0.00563398000621794,69,0.00566471852132467,42,0.00774527828980344,69,0.0078081493968348,42,0.00779621275797761,69,0.00775406565979546,42,0.0259655349094306,69,0.0259050491167737,42,0.0258740364969916,69,0.0258261617922936
,41,0.411079273746566,70,0.550757850105541,41,0.422705200897525,70,0.565757378009975,41,0.412883872474291,70,0.568311920475974,41,0.427871634028835,70,0.585194419126308,41,0.435500194691828,70,0.596812012058279,41,0.450637347297636,70,0.618805103386382,41,0.464310436136661,70,0.627345878109063,41,0.482493074856394,70,0.651461224379186,41,0.0242080685159542,70,0.0241813584935134,41,0.0240921966003429,70,0.024114968394107,41,0.00561171349829052,70,0.00563011232067841,41,0.00562128838892784,70,0.00566753864386419,41,0.00773868914252094,70,0.00780603733978446,41,0.00778150968082781,70,0.00775572971338201,41,0.0259412466613193,70,0.0258937330846667,41,0.0258907647118738,70,0.0258376319379133
,40,0.406968883331882,71,0.557182737028207,40,0.418626241392443,71,0.572367260213207,40,0.408019518748416,71,0.575221972876458,40,0.423023200073397,71,0.592218489799643,40,0.430527768666745,71,0.603577858182424,40,0.445680776367572,71,0.625875864502299,40,0.459469096339351,71,0.634181540626839,40,0.477510431332752,71,0.658100944730611,40,0.0241593420892199,71,0.0242023968506147,40,0.0240639339961143,71,0.0240885397092143,40,0.00559554919116796,71,0.00565805324778078,40,0.00561679242812454,71,0.005655780315846,40,0.00772246007996645,71,0.00780802066725717,40,0.00776744278888928,71,0.00774573824845605,40,0.0259247269765978,71,0.0259020981397739,40,0.0258596532728299,71,0.0258359737111909
,39,0.403103290104741,72,0.563956132515632,39,0.41457905999689,72,0.579384163999545,39,0.403351299929579,72,0.58231587272598,39,0.41807278690075,72,0.599521447839086,39,0.425711733752051,72,0.610430963169643,39,0.440477546570552,72,0.633031576198517,39,0.45453619329907,72,0.640810546627907,39,0.47226334483824,72,0.665589694188488,39,0.0241814877089284,72,0.0242212594891269,39,0.0240807771016313,72,0.0240864696770404,39,0.00559273339488079,72,0.00567776561451401,39,0.00560957591549335,72,0.00566078620484724,39,0.00774305318876604,72,0.0078427054302142,39,0.00777956533005692,72,0.00776314960854433,39,0.0259444585597574,72,0.0259250610742402,39,0.0258640190487424,72,0.0258356437459991
,38,0.399224626608057,73,0.570963309311925,38,0.410526080984654,73,0.586195198752184,38,0.3987529696544,73,0.589679629466196,38,0.413332935251581,73,0.606352080514398,38,0.420917536786349,73,0.617503261448795,38,0.435568145956403,73,0.639726449408236,38,0.449757969968584,73,0.647643170078158,38,0.467255071467533,73,0.672921138826365,38,0.0241894048955803,73,0.0242093596072074,38,0.024072756789179,73,0.0240852361490479,38,0.00559130984203648,73,0.0056828393494927,38,0.00563577112508735,73,0.00566035729656125,38,0.00775610938469773,73,0.00785609331786209,38,0.00777934809446228,73,0.00777218626149693,38,0.0259277230753187,73,0.0259375457382606,38,0.0258532730148154,73,0.0258177144496692
,37,0.39540302589277,74,0.577889008626432,37,0.406694622563868,74,0.59335153032893,37,0.394156352817589,74,0.596911417151343,37,0.40861195685306,74,0.613817465815326,37,0.416102907200297,74,0.624759485716869,37,0.43066268728853,74,0.647046583398599,37,0.444943583664459,74,0.65494000375526,37,0.462316097758283,74,0.680631919678501,37,0.0242000442237747,74,0.0241922476382546,37,0.0240895338612965,74,0.0240976793839795,37,0.00560047401094592,74,0.00566783766222208,37,0.00564411310620814,74,0.00565693408283389,37,0.00776440173620585,74,0.00782990671491922,37,0.00779115270436022,74,0.00778188564055009,37,0.025947609241313,74,0.0258784316131979,37,0.0258517953953114,74,0.0258137709027184
,36,0.391694237767055,75,0.585140563982157,36,0.402747947248254,75,0.600509749755518,36,0.389645272485378,75,0.604140224032208,36,0.404076973952971,75,0.621107052797228,36,0.411407941210832,75,0.631991979585463,36,0.425840698046461,75,0.654134131832342,36,0.440259747311187,75,0.662049865496494,36,0.457373291904298,75,0.687736416104463,36,0.0241844720623825,75,0.0242055172047481,36,0.0240622120108811,75,0.0241153114715679,36,0.00560872125262674,75,0.00566588384090623,36,0.00563133014883992,75,0.00566298103665563,36,0.00774721355191192,75,0.0078403462292963,36,0.00775344113370503,75,0.00777175364598673,36,0.0259710612549244,75,0.0258650621392295,36,0.025861736382624,75,0.0258247964338291
,35,0.38809869776758,76,0.59234698897584,35,0.399006835454527,76,0.608034900243909,35,0.385335977387259,76,0.611585658029716,35,0.399521381238084,76,0.628780255455997,35,0.406911928507768,76,0.639245127956348,35,0.421050314067696,76,0.661442462045953,35,0.435550611133611,76,0.669310070655541,35,0.452434636914513,76,0.69522637141092,35,0.0241761788669682,76,0.0242438989728778,35,0.0240560116821693,76,0.02411663432494,35,0.00561410659648089,76,0.00568481692492266,35,0.00564875707112618,76,0.00566220055995886,35,0.00773199502680363,76,0.00787649419410784,35,0.00775492901411908,76,0.00777633157846837,35,0.02596555463946,76,0.0258917403254146,35,0.0258725460911638,76,0.0258207295279803
,34,0.384587969674214,77,0.599408115512235,34,0.395498321329624,77,0.61494083231377,34,0.381190919211908,77,0.618952551718632,34,0.3952141949507,77,0.636208026924711,34,0.40255867267092,77,0.646295931073919,34,0.416531058665265,77,0.668383688432659,34,0.430899306908177,77,0.676412685710498,34,0.447854203668593,77,0.702645874278014,34,0.0241684600061242,77,0.0242448456677749,34,0.024064299058807,77,0.0241234699670643,34,0.00561020149186744,77,0.00569509115144448,34,0.0056522240536931,77,0.00567434615556038,34,0.00775347003459502,77,0.00789676110334669,34,0.00777349225205742,77,0.00782410852169776,34,0.0259416211923812,77,0.0258888710844163,34,0.0258916795215044,77,0.0258266498008221
,33,0.381078733438576,78,0.606034949462499,33,0.39195014844053,78,0.62237541575252,33,0.377133783745414,78,0.626384880334511,33,0.390878785945627,78,0.643913309775352,33,0.398275188609113,78,0.653201313302351,33,0.411909873976205,78,0.675925933397908,33,0.426543812960366,78,0.683914491695903,33,0.443098737298461,78,0.710534844621127,33,0.0241662800514935,78,0.0242195988006022,33,0.0240593976297258,78,0.0241378740836306,33,0.00560757873375721,78,0.00569597564725795,33,0.00562345021141745,78,0.00569367739494364,33,0.00779343372940931,78,0.00789242782169722,33,0.00777617855755011,78,0.00784025176320609,33,0.0259527499719471,78,0.0258947650667707,33,0.0258825170905348,78,0.0258517620182348
,32,0.377697905665022,79,0.613198838904647,32,0.388464227556222,79,0.629586357511751,32,0.37309231857471,79,0.634011530071433,32,0.386860679655631,79,0.651319510784243,32,0.394006700157069,79,0.660404918522295,32,0.407743895424077,79,0.683307339957792,32,0.42232546926039,79,0.691300819246665,32,0.438564665749072,79,0.718571696233524,32,0.024216066383945,79,0.0242031605886669,32,0.0240710056475336,79,0.0241262000669713,32,0.00560794642161195,79,0.00568272706227991,32,0.00562557306110543,79,0.00568948380951371,32,0.00780013981317915,79,0.00788043698943384,32,0.00775288802316912,79,0.00781915606702013,32,0.0259858487438657,79,0.0258899115905427,32,0.0258812270895226,79,0.0258307666706672
,31,0.374417783549168,80,0.619867401788823,31,0.384996117419538,80,0.637138106681325,31,0.369205917559685,80,0.641570922137772,31,0.382813319623028,80,0.65900502057435,31,0.389885620125019,80,0.667699476673393,31,0.40344882047491,80,0.690700662815696,31,0.418021230511455,80,0.698805472057169,31,0.434122415421079,80,0.726237105916123,31,0.0241746629925896,80,0.0241874676642985,31,0.0240502771353668,80,0.02415197152304,31,0.00561472889953844,80,0.00567912325964525,31,0.00563372094250795,80,0.00570762495547493,31,0.0077801927055486,80,0.0078570375543853,31,0.00775765955575151,80,0.00782733908541513,31,0.0259713222944118,80,0.0258560217165245,31,0.0258611080592615,80,0.0258361248908253
,30,0.371109117986723,81,0.626542462861767,30,0.38171460315742,81,0.644403921085741,30,0.365401096525463,81,0.64939769253464,30,0.378858545723793,81,0.666790274485871,30,0.385935664462043,81,0.674950197199632,30,0.399292493651188,81,0.698221889582672,30,0.413718152335987,81,0.707006346252846,30,0.429777040075242,81,0.734308366650503,30,0.0241235055058649,81,0.0242166868006883,30,0.0240679767855624,81,0.0241648363382386,30,0.00560583005728403,81,0.00569121064009355,30,0.00563411158123228,81,0.00572247967377004,30,0.00779909693170429,81,0.00787871414012473,30,0.00780934757463372,81,0.00784372950213132,30,0.0259375128444555,81,0.0258631617668941,30,0.0259263600577018,81,0.0258485365647204
,29,0.368040599347614,82,0.633263400054977,29,0.378389959365176,82,0.651526274094187,29,0.361676345314453,82,0.657115155103029,29,0.374989477179189,82,0.674541203880701,29,0.382001154182989,82,0.682141464393212,29,0.395160220638683,82,0.70582640360535,29,0.40976998857196,82,0.714676431378414,29,0.425311371051751,82,0.742080404296199,29,0.024145024923399,82,0.0242325831737736,29,0.0240925408987251,82,0.0241292437829383,29,0.00558832026398268,82,0.00569220437092237,29,0.00563081563908499,82,0.00571257751977175,29,0.00782106630949126,82,0.00787787290640126,29,0.00781112470994467,82,0.00784201473571311,29,0.0259556453245819,82,0.0258889625221428,29,0.025898455251952,82,0.0258067385321695
