CSV Report,2024-02-20_RNA_melting_MgCl2_Na_only_HEPES.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,10 mM MgCl2_260.00nm_90.0-21.0C,,10 mM MgCl2_260.00nm_21.0-90.0C,,10 mM MgCl2_260.00nm_90.0-21.0C_R1,,10 mM MgCl2_260.00nm_21.0-90.0C_R1,,5 mM MgCl2_260.00nm_90.0-21.0C,,5 mM MgCl2_260.00nm_21.0-90.0C,,5 mM MgCl2_260.00nm_90.0-21.0C_R1,,5 mM MgCl2_260.00nm_21.0-90.0C_R1,,1 mM MgCl2_260.00nm_90.0-21.0C,,1 mM MgCl2_260.00nm_21.0-90.0C,,1 mM MgCl2_260.00nm_90.0-21.0C_R1,,1 mM MgCl2_260.00nm_21.0-90.0C_R1,,0.1 mM MgCl2_260.00nm_90.0-21.0C,,0.1 mM MgCl2_260.00nm_21.0-90.0C,,0.1 mM MgCl2_260.00nm_90.0-21.0C_R1,,0.1 mM MgCl2_260.00nm_21.0-90.0C_R1,,10 mM MgCl2_400.00nm_90.0-21.0C,,10 mM MgCl2_400.00nm_21.0-90.0C,,10 mM MgCl2_400.00nm_90.0-21.0C_R1,,10 mM MgCl2_400.00nm_21.0-90.0C_R1,,5 mM MgCl2_400.00nm_90.0-21.0C,,5 mM MgCl2_400.00nm_21.0-90.0C,,5 mM MgCl2_400.00nm_90.0-21.0C_R1,,5 mM MgCl2_400.00nm_21.0-90.0C_R1,,1 mM MgCl2_400.00nm_90.0-21.0C,,1 mM MgCl2_400.00nm_21.0-90.0C,,1 mM MgCl2_400.00nm_90.0-21.0C_R1,,1 mM MgCl2_400.00nm_21.0-90.0C_R1,,0.1 mM MgCl2_400.00nm_90.0-21.0C,,0.1 mM MgCl2_400.00nm_21.0-90.0C,,0.1 mM MgCl2_400.00nm_90.0-21.0C_R1,,0.1 mM MgCl2_400.00nm_21.0-90.0C_R1,
,86,0.321895003004179,25,0.270833918925019,86,0.339874425736357,25,0.28862023816747,86,0.297377707275992,25,0.245379107021285,86,0.310723536092363,25,0.25913731429999,86,0.305304204020669,25,0.250391783594582,86,0.31786688455771,25,0.262150584209152,86,0.369044548112731,25,0.304584726341451,86,0.385034389953748,25,0.31769645372223,86,0.0218784833425897,25,0.0215024077716707,86,0.0218249840649805,25,0.0214545534414849,86,0.00432416800996476,25,0.00400639921201031,86,0.00434935474156053,25,0.00407684178369574,86,0.00387154127522159,25,0.00360228024086318,86,0.00378884178552827,25,0.00355444872749294,86,0.0227383702652962,25,0.0225322880606773,86,0.0227446742815789,25,0.022543847388124
,85,0.321601751213397,26,0.271243638818117,85,0.339516354215973,26,0.289210784278938,85,0.296851765638791,26,0.245692391858583,85,0.310212890498817,26,0.259697826769521,85,0.304925972106491,26,0.250741495652934,85,0.317287368048575,26,0.262587371433962,85,0.368585292654532,26,0.305016619496118,85,0.384335816302558,26,0.318226352732897,85,0.0219053572980905,26,0.0214970019139873,85,0.0217752739892407,26,0.021453636829344,85,0.004339454679041,26,0.00402148564915142,85,0.00434522808031135,26,0.00407937589668162,85,0.00385387150658009,26,0.00357707332456094,85,0.00378105283640205,26,0.00354668119160228,85,0.0227428467617014,26,0.0225485597613024,85,0.022718380597431,26,0.0225373503580366
,84,0.321145105681682,27,0.27155531582512,84,0.339047144533483,27,0.289756504106968,84,0.296278921520622,27,0.246005438844318,84,0.309677506132021,27,0.26022220655376,84,0.304358800188063,27,0.251063456836209,84,0.316638595780547,27,0.262996064587855,84,0.367847550030486,27,0.305470100898203,84,0.38367026886975,27,0.318715225742647,84,0.0219157766440906,27,0.0215263311342113,84,0.0217652517501394,27,0.0214797752674665,84,0.00434670107646192,27,0.00404315162154348,84,0.00433044266454837,27,0.00406563270758724,84,0.00389359882922297,27,0.00360912409245877,84,0.00378024303168048,27,0.00356575264952398,84,0.0227452110925151,27,0.0225686891040112,84,0.0227141488784878,27,0.0225337026200562
,83,0.320666150485091,28,0.271967254629234,83,0.338534105590404,28,0.290327938265082,83,0.295658543684164,28,0.246388556077247,83,0.309113466679412,28,0.260780395454662,83,0.303696810009938,28,0.251429147729152,83,0.315975266202242,28,0.263418156573285,83,0.367049010146523,28,0.305951776310356,83,0.383136915768633,28,0.319179698689565,83,0.0219537960392464,28,0.0215343758444774,83,0.0217923557896641,28,0.0214967971080125,83,0.00432339139090319,28,0.00403852982415354,83,0.00434143613111335,28,0.00406904696998405,83,0.00390907221203697,28,0.00361936634640892,83,0.00380643496897557,28,0.0035657790212869,83,0.0227665855427746,28,0.0225670495278719,83,0.0227317350831672,28,0.0225417055535234
,82,0.319965818121742,29,0.272590486468436,82,0.337957863022739,29,0.291033255126357,82,0.295068580581935,29,0.246822693732454,82,0.308500603187424,29,0.261342151801912,82,0.302932026248706,29,0.251817192065904,82,0.315300669471495,29,0.263872601556769,82,0.366450606265083,29,0.306419384325879,82,0.382605314216062,29,0.319676516675449,82,0.0219509969905095,29,0.0215349107380948,82,0.021799469117501,29,0.0214985470448526,82,0.00431180927997467,29,0.00404305095095864,82,0.00434955505096029,29,0.00409385497338957,82,0.00390164075942269,29,0.00360623470450861,82,0.00381619651645479,29,0.00354652173313664,82,0.0227888097280856,29,0.0225644359868386,82,0.0227288640102655,29,0.02256513375813
,81,0.319247739357781,30,0.27304422451949,81,0.337270545088405,30,0.291711572922714,81,0.294403647035873,30,0.247265016557178,81,0.307835752533917,30,0.261972511501678,81,0.302093768311735,30,0.252246379536434,81,0.314547991309856,30,0.264400429664725,81,0.36597940559424,30,0.306908252577192,81,0.382017885145336,30,0.320210564814877,81,0.0219307460425353,30,0.0215382324906908,81,0.0218011875592203,30,0.0214848749827341,81,0.00432198953038838,30,0.00404715015007473,81,0.00435394101998075,30,0.00409540603190472,81,0.00391135472265664,30,0.0036103523544835,81,0.00379432103503929,30,0.00351575610721556,81,0.0227983440710323,30,0.0225605279147917,81,0.0227201570419556,30,0.0225657474840219
,80,0.318461739318595,31,0.273457457603732,80,0.336541247948201,31,0.292331821186988,80,0.293645588273625,31,0.247700712750149,80,0.307071665253059,31,0.262608133723693,80,0.301307114911572,31,0.252673537777591,80,0.313662682690045,31,0.264905287247102,80,0.365429287654037,31,0.307408991598655,80,0.381383479441719,31,0.320766137023699,80,0.0219272189580176,31,0.0215150355162296,80,0.0217703506038184,31,0.0214775722147345,80,0.00432387769905298,31,0.00403498523302686,80,0.00433371936404828,31,0.00409850869048307,80,0.003900972486267,31,0.00359979295758651,80,0.0037647365359904,31,0.00351859660395062,80,0.0227870587144171,31,0.0225543614128145,80,0.0227062743827527,31,0.0225577044547166
,79,0.317566228079306,32,0.274011019037138,79,0.335704585215538,32,0.293052057364044,79,0.29275078061516,32,0.248209352177655,79,0.30621910585295,32,0.263192839031721,79,0.300379212473217,32,0.253076469848837,79,0.312649480189048,32,0.265379769229983,79,0.364767018716257,32,0.307933110798038,79,0.380697809297389,32,0.321348153617541,79,0.0219224462551552,32,0.021531152541041,79,0.0217676887703966,32,0.0214796626138165,79,0.00432977778528241,32,0.00404460849732459,79,0.0043298364078982,32,0.0041056919541171,79,0.00390567628000623,32,0.00361327015074095,79,0.00375849831616812,32,0.00353536600121467,79,0.0227827819415798,32,0.0225608287161879,79,0.0227074411446185,32,0.0225572804012533
,78,0.316620929615238,33,0.274506174920061,78,0.334872192150466,33,0.293743767252586,78,0.291699211194896,33,0.248735551227798,78,0.305289027307805,33,0.263842797011938,78,0.299288409751368,33,0.253516303045523,78,0.311556564509087,33,0.265913725447049,78,0.364248550397776,33,0.308537688718765,78,0.379988560622978,33,0.321982002324833,78,0.021938563362231,33,0.0215643820014162,78,0.0217799505619361,33,0.0214899154862823,78,0.00432718153954116,33,0.00406023186686317,78,0.00434320396837565,33,0.00409844107287766,78,0.00390211543780711,33,0.00362937647098013,78,0.00377118288023481,33,0.00355050995552626,78,0.0227917189846442,33,0.0225884696127747,78,0.0227243475300734,33,0.0225580251920424
,77,0.315431000782553,34,0.275023040407134,77,0.333973839228963,34,0.294418100504678,77,0.290546618662106,34,0.249276679610916,77,0.304309776977036,34,0.264516490475088,77,0.298097242828523,34,0.25399503989444,77,0.310419460425749,34,0.266460239625896,77,0.36376449486143,34,0.309140395114196,77,0.379210378362375,34,0.322626817583425,77,0.0219531558247206,34,0.0215558475192159,77,0.021781565344641,34,0.0214980926262289,77,0.0043184693158664,34,0.00405951130802322,77,0.00435120010071303,34,0.00409151699216811,77,0.00391484912632718,34,0.00361735405819664,77,0.00377558714678302,34,0.00356032242452492,77,0.0228073240306695,34,0.0225961439434539,77,0.0227267058186189,34,0.0225836189155955
,76,0.314246451311776,35,0.275627094303487,76,0.333004651633352,35,0.295161582799709,76,0.289293883257667,35,0.249838929347181,76,0.303265392211846,35,0.265165078238761,76,0.29674539238145,35,0.254470536051082,76,0.309190703047984,35,0.266962987130897,76,0.36296560420802,35,0.309789001452832,76,0.378429271779455,35,0.323275463489024,76,0.0219369680554999,35,0.0215311730786497,76,0.0217864541175811,35,0.0214866967749648,76,0.00431445189249569,35,0.00405615816105811,76,0.00437091308635549,35,0.00410116696057311,76,0.00390951285659737,35,0.00361212214571556,76,0.00377006310966932,35,0.00353560715952302,76,0.0228061045756152,35,0.0225831833763049,76,0.0227283702111569,35,0.022575100407499
,75,0.312996440418955,36,0.276187850927873,75,0.33196308266011,36,0.295920180253254,75,0.28794603349698,36,0.25039514141209,75,0.302169278373319,36,0.265895600778021,75,0.295333125839339,36,0.254952172643645,75,0.307880088533625,36,0.267565481059006,75,0.36216428084256,36,0.310470155481814,75,0.377568576518091,36,0.3240151593482,75,0.0219022858699014,36,0.021546442666707,75,0.0217893695641848,36,0.0214562654224034,75,0.00431492680651497,36,0.00407406613047008,75,0.00435920200870453,36,0.00410191620844409,75,0.00389126066145142,36,0.00364074875076914,75,0.00377250121537861,36,0.00351860544158106,75,0.02279511982237,36,0.0225987277314086,75,0.022728256194841,36,0.0225517556047532
