CSV Report,2023-09-24_RNA_melting_NaCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,26 mM NaCl_260.00nm_90.0-21.0C,,26 mM NaCl_260.00nm_21.0-90.0C,,26 mM NaCl_260.00nm_90.0-21.0C_R1,,26 mM NaCl_260.00nm_21.0-90.0C_R1,,21 mM NaCl_260.00nm_90.0-21.0C,,21 mM NaCl_260.00nm_21.0-90.0C,,21 mM NaCl_260.00nm_90.0-21.0C_R1,,21 mM NaCl_260.00nm_21.0-90.0C_R1,,17 mM NaCl_260.00nm_90.0-21.0C,,17 mM NaCl_260.00nm_21.0-90.0C,,17 mM NaCl_260.00nm_90.0-21.0C_R1,,17 mM NaCl_260.00nm_21.0-90.0C_R1,,8.3 mM NaCl_260.00nm_90.0-21.0C,,8.3 mM NaCl_260.00nm_21.0-90.0C,,8.3 mM NaCl_260.00nm_90.0-21.0C_R1,,8.3 mM NaCl_260.00nm_21.0-90.0C_R1,,26 mM NaCl_400.00nm_90.0-21.0C,,26 mM NaCl_400.00nm_21.0-90.0C,,26 mM NaCl_400.00nm_90.0-21.0C_R1,,26 mM NaCl_400.00nm_21.0-90.0C_R1,,21 mM NaCl_400.00nm_90.0-21.0C,,21 mM NaCl_400.00nm_21.0-90.0C,,21 mM NaCl_400.00nm_90.0-21.0C_R1,,21 mM NaCl_400.00nm_21.0-90.0C_R1,,17 mM NaCl_400.00nm_90.0-21.0C,,17 mM NaCl_400.00nm_21.0-90.0C,,17 mM NaCl_400.00nm_90.0-21.0C_R1,,17 mM NaCl_400.00nm_21.0-90.0C_R1,,8.3 mM NaCl_400.00nm_90.0-21.0C,,8.3 mM NaCl_400.00nm_21.0-90.0C,,8.3 mM NaCl_400.00nm_90.0-21.0C_R1,,8.3 mM NaCl_400.00nm_21.0-90.0C_R1,
Collection Time,2023-09-25 10:12:39 (+02:00),,2023-09-25 10:12:39 (+02:00),,2023-09-25 10:12:39 (+02:00),,2023-09-25 10:12:39 (+02:00),,2023-09-25 10:12:39 (+02:00),,2023-09-25 10:12:39 (+02:00),,2023-09-25 10:12:39 (+02:00),,2023-09-25 10:12:39 (+02:00),,2023-09-25 10:12:39 (+02:00),,2023-09-25 10:12:39 (+02:00),,2023-09-25 10:12:39 (+02:00),,2023-09-25 10:12:39 (+02:00),,2023-09-25 10:12:39 (+02:00),,2023-09-25 10:12:39 (+02:00),,2023-09-25 10:12:39 (+02:00),,2023-09-25 10:12:39 (+02:00),,2023-09-25 10:12:39 (+02:00),,2023-09-25 10:12:39 (+02:00),,2023-09-25 10:12:39 (+02:00),,2023-09-25 10:12:39 (+02:00),,2023-09-25 10:12:39 (+02:00),,2023-09-25 10:12:39 (+02:00),,2023-09-25 10:12:39 (+02:00),,2023-09-25 10:12:39 (+02:00),,2023-09-25 10:12:39 (+02:00),,2023-09-25 10:12:39 (+02:00),,2023-09-25 10:12:39 (+02:00),,2023-09-25 10:12:39 (+02:00),,2023-09-25 10:12:39 (+02:00),,2023-09-25 10:12:39 (+02:00),,2023-09-25 10:12:39 (+02:00),,2023-09-25 10:12:39 (+02:00),
Cell Number,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,
Module Serial Number,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,
Instrument Serial Number,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
Instrument Name,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs
,90,0.830475713686337,21,0.41360267662541,90,0.891544667829075,21,0.429703505499354,90,0.561942309672598,21,0.326204750734732,90,0.599717710850057,21,0.33949007717747,90,0.39166543475363,21,0.298605093167676,90,0.412792211528606,21,0.309231037761095,90,0.553447595973773,21,0.348361697478862,90,0.582373441785772,21,0.36025301108646,90,0.0200946142663481,21,0.0196995935980731,90,0.0200497133565333,21,0.0198076717821137,90,0.00173849723960337,21,0.00201804450150633,90,0.0020378042388617,21,0.00224011527515689,90,-0.000371486735169655,21,-0.000286902267576781,90,0.000151271316381693,21,-0.000115766673395515,90,0.0192407505817118,21,0.0194091281839715,90,0.019591728861439,21,0.0194963517311512
,89,0.840991500919148,22,0.414235275118688,89,0.889840154836809,22,0.4302949069901,89,0.565264365730151,22,0.326618919269274,89,0.599542045330657,22,0.339823890311397,89,0.394221503949855,22,0.298845287124759,89,0.413311539004711,22,0.309443872178297,89,0.555210723723716,22,0.348812541052201,89,0.582665980849979,22,0.360644933229382,89,0.0198527557462745,22,0.0196461197455832,89,0.0200979102338523,22,0.0197866237226859,89,0.00172840616671336,22,0.00200418081891283,89,0.00206773353306462,22,0.00222435051146752,89,-0.000286071438002778,22,-0.000317879101647889,89,0.000196889099903533,22,-0.000133256116308438,89,0.0192714303851449,22,0.0194034478169179,89,0.0196243269774417,22,0.0194802973619429
,88,0.843165235150583,23,0.416183515432572,88,0.884121132623191,23,0.432178113079117,88,0.565490774991656,23,0.327825220953836,88,0.596820978254046,23,0.340997945971873,88,0.394793314037198,23,0.299644404642448,88,0.412760644700593,23,0.310220481979179,88,0.554830585601935,23,0.349981499336217,88,0.580437487802783,23,0.361772280481654,88,0.0199112177021798,23,0.0196655802791564,88,0.0200600154351081,23,0.0197777096055931,88,0.00172298541133618,23,0.00200453999683231,88,0.00202430217166324,23,0.00221838019766468,88,-0.00019668520020867,23,-0.000321563816234999,88,0.000199616242319178,23,-0.000144928124461998,88,0.0193060700305913,23,0.0193999912717174,88,0.0196004504870533,23,0.0194740243136559
,87,0.840345471041314,24,0.420064948135527,87,0.877092184880353,24,0.435495086009352,87,0.563861986736944,24,0.330343920943266,87,0.593054197764498,24,0.343206472441502,87,0.39498407597529,24,0.301222422345454,87,0.412243274268506,24,0.311576229599203,87,0.553904979194257,24,0.352262160420701,87,0.577594457345952,24,0.3636884618314,87,0.0199384404752919,24,0.0196829565687223,87,0.0200406917403769,24,0.0197677702384724,87,0.00172652214608026,24,0.00203326234227575,87,0.00204545909779928,24,0.00224111010082215,87,-0.000202092301882052,24,-0.00027903933905918,87,0.000171765935794819,24,-0.000148173523372251,87,0.0193302188129337,24,0.0194222381329854,87,0.0195844100488367,24,0.0194691262425674
