CSV Report,2024-01-31_RNA_melting_NaCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,26 mM NaCl_260.00nm_90.0-21.0C,,26 mM NaCl_260.00nm_21.0-90.0C,,26 mM NaCl_260.00nm_90.0-21.0C_R1,,26 mM NaCl_260.00nm_21.0-90.0C_R1,,21 mM NaCl_260.00nm_90.0-21.0C,,21 mM NaCl_260.00nm_21.0-90.0C,,21 mM NaCl_260.00nm_90.0-21.0C_R1,,21 mM NaCl_260.00nm_21.0-90.0C_R1,,17 mM NaCl_260.00nm_90.0-21.0C,,17 mM NaCl_260.00nm_21.0-90.0C,,17 mM NaCl_260.00nm_90.0-21.0C_R1,,17 mM NaCl_260.00nm_21.0-90.0C_R1,,8.3 mM NaCl_260.00nm_90.0-21.0C,,8.3 mM NaCl_260.00nm_21.0-90.0C,,8.3 mM NaCl_260.00nm_90.0-21.0C_R1,,8.3 mM NaCl_260.00nm_21.0-90.0C_R1,,26 mM NaCl_400.00nm_90.0-21.0C,,26 mM NaCl_400.00nm_21.0-90.0C,,26 mM NaCl_400.00nm_90.0-21.0C_R1,,26 mM NaCl_400.00nm_21.0-90.0C_R1,,21 mM NaCl_400.00nm_90.0-21.0C,,21 mM NaCl_400.00nm_21.0-90.0C,,21 mM NaCl_400.00nm_90.0-21.0C_R1,,21 mM NaCl_400.00nm_21.0-90.0C_R1,,17 mM NaCl_400.00nm_90.0-21.0C,,17 mM NaCl_400.00nm_21.0-90.0C,,17 mM NaCl_400.00nm_90.0-21.0C_R1,,17 mM NaCl_400.00nm_21.0-90.0C_R1,,8.3 mM NaCl_400.00nm_90.0-21.0C,,8.3 mM NaCl_400.00nm_21.0-90.0C,,8.3 mM NaCl_400.00nm_90.0-21.0C_R1,,8.3 mM NaCl_400.00nm_21.0-90.0C_R1,
,86,0.747840655578947,25,0.386814358588659,86,0.780033027740915,25,0.401341084265511,86,0.733315593259413,25,0.369376025693275,86,0.753056693577318,25,0.37059429598224,86,0.723706115001049,25,0.373409137640358,86,0.739128529822639,25,0.371004579785255,86,0.585822400073949,25,0.379600811275595,86,0.608850315539995,25,0.393019675393673,86,0.0248423494310091,25,0.0245742966257031,86,0.0247167717740452,25,0.0244709709007426,86,0.00635313712510766,25,0.00622574447754836,86,0.00641782953161092,25,0.00631000323547068,86,0.0081419560772244,25,0.00822860917440918,86,0.00830308664413938,25,0.00818213712560626,86,0.0254523847067767,25,0.0254716295609169,86,0.0254217340406855,25,0.025397546646508
,85,0.741929700825132,26,0.390380129442338,85,0.773154466767018,26,0.404836348320973,85,0.726038969164706,26,0.373060942225311,85,0.744536691303796,26,0.374014683702028,85,0.717750350545278,26,0.376952282405311,85,0.7309843471026,26,0.374365824037302,85,0.582723585324434,26,0.382164155665853,85,0.605310302635622,26,0.395496490506062,85,0.0248569446401308,26,0.0245701110474192,85,0.0247440557896473,26,0.0244899134055466,85,0.00636099086244273,26,0.00624593704404359,85,0.00642221855249949,26,0.00632892578644687,85,0.00814248014614508,26,0.00823365488905934,85,0.0083272153731445,26,0.00819923510286234,85,0.0254680013626958,26,0.0254511203659939,85,0.0254408423055344,26,0.0254146076435741
,84,0.735171132115937,27,0.393961273307889,84,0.766179732364804,27,0.408418722131805,84,0.718655148732975,27,0.3766803690632,84,0.736501939405082,27,0.377493091120452,84,0.711216407068061,27,0.380689581453785,84,0.72246636846784,27,0.377793205068102,84,0.579441675083783,27,0.384663099239496,84,0.601672317087868,27,0.398044121542315,84,0.0248273998493364,27,0.024574412342469,84,0.0247184959801997,27,0.0244672584455422,84,0.0063442611692438,27,0.00625476556478211,84,0.00640239804333696,27,0.00633378809481467,84,0.00814703282446745,27,0.00824478508629081,84,0.00828921616999403,27,0.00816582435786051,84,0.0254556368900251,27,0.0254574388880882,84,0.0254055306512374,27,0.0253975340986409
,83,0.72864389239315,28,0.397445127832181,83,0.759062950104946,28,0.412036085892047,83,0.711614997547099,28,0.380203170049218,83,0.727156256798261,28,0.381303552197559,83,0.704668105205891,28,0.384349495684976,83,0.714142175694881,28,0.381525103981521,83,0.575892254932925,28,0.387313394651475,83,0.598154992404025,28,0.400699786148019,83,0.0248174056104272,28,0.0245689696888269,83,0.0246957433611812,28,0.0244522750240947,83,0.00634204567492334,28,0.00625669010960864,83,0.00638878756039135,28,0.00632539855752309,83,0.00814533761399586,28,0.00824086458654919,83,0.00829653210236888,28,0.00814870017687999,83,0.0254651280655907,28,0.0254473435502531,83,0.0254104650753905,28,0.0253843579393319
,82,0.721931475948661,29,0.4014116651107,82,0.751706904918801,29,0.416100637197338,82,0.704666550902712,29,0.384261301532386,82,0.719419928357459,29,0.385142743916696,82,0.698194394455334,29,0.388276452928254,82,0.705234731269577,29,0.38526878999463,82,0.572276192405823,29,0.389984133136124,82,0.594684905338532,29,0.403540227928287,82,0.0248407324254079,29,0.024582049735814,82,0.0247371705765137,29,0.0244695801428614,82,0.00635332349079404,29,0.00626091082436612,82,0.00642548746811544,29,0.00631543617097039,82,0.00817890338441652,29,0.00824262654118988,82,0.00834720426793479,29,0.00815255740037072,82,0.0254791612549517,29,0.0254378237564531,82,0.0254489194819787,29,0.0253815576891327
,81,0.715435002284475,30,0.405597571234431,81,0.744620809345266,30,0.420403803957083,81,0.697973918638073,30,0.388476842372814,81,0.710419011327882,30,0.389284607064251,81,0.69196028606468,30,0.3922419527054,81,0.693488684247322,30,0.389290829272935,81,0.568995364316962,30,0.39284823183781,81,0.591321683602564,30,0.406501329388368,81,0.0248418423292737,30,0.0245933232001259,81,0.0247641473218708,30,0.0244891343024412,81,0.00634368077587776,30,0.00626047533155405,81,0.00643517802479437,30,0.00632083117616927,81,0.00818221951969424,30,0.00822945298193741,81,0.00835997255172058,30,0.00815443924862899,81,0.0254904115077085,30,0.0254486077184315,81,0.0254602536288133,30,0.025385272258622
,80,0.708593799167999,31,0.409733336176143,80,0.737575666495098,31,0.424653905352236,80,0.691410285863273,31,0.392673306770113,80,0.704297665324781,31,0.393499678216421,80,0.685728968725736,31,0.396461755891145,80,0.684435965211196,31,0.393371275489777,80,0.565763472533488,31,0.395642093080946,80,0.587956331230407,31,0.40940279943008,80,0.0248590143035745,31,0.0245873464715862,80,0.0247398095323562,31,0.0245001600530036,80,0.00633699539816583,31,0.00624630871611537,80,0.00640409956112851,31,0.00632286183708146,80,0.00814897952154345,31,0.00822223680493909,80,0.00830103750740171,31,0.00815846645980371,80,0.0254867370294635,31,0.0254670769143604,80,0.0254415613462009,31,0.0254054965533974
,79,0.702009224979414,32,0.413759135502536,79,0.730726218512158,32,0.42898207245073,79,0.684574841242297,32,0.39678490486903,79,0.697218285827036,32,0.397735660447426,79,0.679162614317806,32,0.400516678446432,79,0.675457482218375,32,0.397484559194663,79,0.562375490444238,32,0.398531608419715,79,0.584345742075145,32,0.412292918572076,79,0.0248052641029186,32,0.02459509727583,79,0.0247301159777327,32,0.0244697139235589,79,0.00634316206478904,32,0.00625241325624166,79,0.00641027329582725,32,0.006336166559369,79,0.00814389593296918,32,0.0082370790519444,79,0.00830130006297725,32,0.00813983533902314,79,0.0254657696204504,32,0.0254595687678849,79,0.0254396442627808,32,0.0253995551079763
,78,0.695487342456118,33,0.418195014345411,78,0.723599360244961,33,0.433547376136118,78,0.677901078096322,33,0.401478987458725,78,0.688595033521023,33,0.402210217089352,78,0.672745842873943,33,0.404952441988011,78,0.667393429416951,33,0.4017857317967,78,0.559162869144867,33,0.401380126860743,78,0.580838415742471,33,0.415263451856787,78,0.0248222885494898,33,0.0245789229860142,78,0.0247159383685744,33,0.0244598599527086,78,0.00635402669058203,33,0.00626471353927503,78,0.00642574485183045,33,0.0063435928086727,78,0.00813320500826321,33,0.00821269980962817,78,0.00830816574866109,33,0.0081389251098238,78,0.025449784973499,33,0.025441443674534,78,0.0254323056041751,33,0.0253807423919831
,77,0.68902596773742,34,0.422769357823898,77,0.716975242054151,34,0.438178344050068,77,0.671476239565117,34,0.405949598031838,77,0.681946648667139,34,0.406656371583254,77,0.666548902831889,34,0.409394341526944,77,0.661108200076331,34,0.406032348676071,77,0.556015094013532,34,0.404313933196951,77,0.577347440739463,34,0.418319161572793,77,0.0248318079441286,34,0.0245938482681092,77,0.0247148810362649,34,0.0244995307857204,77,0.00634329289743092,34,0.00626555730708134,77,0.00642955744075889,34,0.00632819010807674,77,0.00812570409657166,34,0.0082213853824352,77,0.00829728199033513,34,0.00816752794463558,77,0.0254434297381089,34,0.0254536416013554,77,0.0254258327846604,34,0.025408767099803
