CSV Report,2024-01-31_RNA_melting_NaCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,26 mM NaCl_260.00nm_90.0-21.0C,,26 mM NaCl_260.00nm_21.0-90.0C,,26 mM NaCl_260.00nm_90.0-21.0C_R1,,26 mM NaCl_260.00nm_21.0-90.0C_R1,,21 mM NaCl_260.00nm_90.0-21.0C,,21 mM NaCl_260.00nm_21.0-90.0C,,21 mM NaCl_260.00nm_90.0-21.0C_R1,,21 mM NaCl_260.00nm_21.0-90.0C_R1,,17 mM NaCl_260.00nm_90.0-21.0C,,17 mM NaCl_260.00nm_21.0-90.0C,,17 mM NaCl_260.00nm_90.0-21.0C_R1,,17 mM NaCl_260.00nm_21.0-90.0C_R1,,8.3 mM NaCl_260.00nm_90.0-21.0C,,8.3 mM NaCl_260.00nm_21.0-90.0C,,8.3 mM NaCl_260.00nm_90.0-21.0C_R1,,8.3 mM NaCl_260.00nm_21.0-90.0C_R1,,26 mM NaCl_400.00nm_90.0-21.0C,,26 mM NaCl_400.00nm_21.0-90.0C,,26 mM NaCl_400.00nm_90.0-21.0C_R1,,26 mM NaCl_400.00nm_21.0-90.0C_R1,,21 mM NaCl_400.00nm_90.0-21.0C,,21 mM NaCl_400.00nm_21.0-90.0C,,21 mM NaCl_400.00nm_90.0-21.0C_R1,,21 mM NaCl_400.00nm_21.0-90.0C_R1,,17 mM NaCl_400.00nm_90.0-21.0C,,17 mM NaCl_400.00nm_21.0-90.0C,,17 mM NaCl_400.00nm_90.0-21.0C_R1,,17 mM NaCl_400.00nm_21.0-90.0C_R1,,8.3 mM NaCl_400.00nm_90.0-21.0C,,8.3 mM NaCl_400.00nm_21.0-90.0C,,8.3 mM NaCl_400.00nm_90.0-21.0C_R1,,8.3 mM NaCl_400.00nm_21.0-90.0C_R1,
,76,0.682377151301473,35,0.427164520185319,76,0.709870961316066,35,0.442778650788057,76,0.665214046684618,35,0.410485426285342,76,0.675391045817678,35,0.411249735222712,76,0.660504020861223,35,0.413813574365135,76,0.654946955772398,35,0.410436484324882,76,0.552877895172368,35,0.407171774100737,76,0.573909638729289,35,0.42131601247453,76,0.024869612050811,35,0.0246297678146789,76,0.0247263577782791,35,0.0244904019273297,76,0.00633569984057136,35,0.00628082484278436,76,0.00641572249200396,35,0.00633633569900458,76,0.00812197405182751,35,0.00825742626052725,76,0.00827909081936507,35,0.0081591482227546,76,0.0254544585737041,35,0.0254790377275568,76,0.0254177690243877,35,0.0254055807460296
,75,0.676026920510893,36,0.431934519264393,75,0.703052351782144,36,0.447719512255498,75,0.65891733944259,36,0.415216197104701,75,0.668210575562811,36,0.415932107969108,75,0.654467556192733,36,0.41838972164329,75,0.648865862106887,36,0.414984260268356,75,0.549652939887835,36,0.410120878337534,75,0.57056922369493,36,0.424426078687515,75,0.0247950852487889,36,0.024613078386846,75,0.0247100280054906,36,0.0244683086453772,75,0.00631348372980857,36,0.00626102574494586,75,0.00640715310413613,36,0.00632550788855998,75,0.00809830924006876,36,0.00824459474721236,75,0.00828313042927905,36,0.00816075659177593,75,0.0254573409617309,36,0.0254692363268281,75,0.0254055814098315,36,0.0253875440525242
,74,0.669389554681596,37,0.436702154812724,74,0.696216724173673,37,0.452752390444342,74,0.65214078778497,37,0.419871918321104,74,0.660844104100344,37,0.420497948200808,74,0.647942476566481,37,0.422977502494368,74,0.642516133272036,37,0.419425839420803,74,0.546321156271907,37,0.413097724335332,74,0.567110028981475,37,0.427564775575904,74,0.02482312800706,37,0.0245740643217966,74,0.0246967536257856,37,0.0244761217853621,74,0.00631847384853813,37,0.00622535135458053,74,0.00640796679762832,37,0.00630724232494644,74,0.00812087690489877,37,0.00822105081496337,74,0.00827498029275564,37,0.00816570425166026,74,0.0254639129867359,37,0.0254385781019494,74,0.0254080074604202,37,0.0254104996221023
,73,0.662893219914937,38,0.44144888340492,73,0.689360970997496,38,0.457548870549687,73,0.645584459439037,38,0.424641602673665,73,0.653527508925202,38,0.425218277839544,73,0.641577311388337,38,0.427583212102709,73,0.636258772472284,38,0.424005411666852,73,0.543129779283875,38,0.416096531872218,73,0.563648701912021,38,0.430554292909693,73,0.0247805321422545,38,0.024592930698906,73,0.0246823123635896,38,0.0244745195140413,73,0.00633264207918216,38,0.0062435486919871,73,0.00639210794954261,38,0.00630188253547023,73,0.00811685008851908,38,0.00822807519733899,73,0.0082602309899832,38,0.00816766132480686,73,0.0254560210566398,38,0.0254481482288052,73,0.0253957523954955,38,0.0253948128150468
,72,0.656442200520169,39,0.446331576640762,72,0.682637387529308,39,0.462535438374273,72,0.639295815330359,39,0.429598028542631,72,0.646194990035538,39,0.430010077612277,72,0.635429904141016,39,0.432446575268851,72,0.630000721723091,39,0.428605158560165,72,0.53987838986856,39,0.419101726905036,72,0.560184392405386,39,0.433661961682973,72,0.0247738146678086,39,0.0246051550424981,72,0.0246876351829425,39,0.0244679533370467,72,0.00634924497141845,39,0.00624777695942243,72,0.00641869290080226,39,0.00629030598775063,72,0.00809825449949246,39,0.00825155037361655,72,0.00827199155920668,39,0.0081461040165578,72,0.0254440833457222,39,0.025449871007461,72,0.0254155222493692,39,0.0253786151985035
,71,0.650039656571221,40,0.451351758144019,71,0.67585558041393,40,0.467716067920661,71,0.632823992139135,40,0.434591446808915,71,0.639184035259716,40,0.434878194210499,71,0.629142537038472,40,0.437260037554686,71,0.62401701970803,40,0.433365028604029,71,0.536427994792616,40,0.422269048703358,71,0.556751269169466,40,0.436959034605995,71,0.0247779175268876,40,0.0245789987936789,71,0.0246818034007057,40,0.0244883105311727,71,0.00632681816869288,40,0.00623424596277317,71,0.00641835420921941,40,0.00629031619373921,71,0.00809352764132564,40,0.00823670371880906,71,0.00826049129205515,40,0.0081581655517745,71,0.0254374750101339,40,0.0254351797126549,71,0.025417451013359,40,0.0253843985108026
,70,0.64379240561333,41,0.456422931830982,70,0.669392857113788,41,0.472830902270943,70,0.626620895573711,41,0.439593574007999,70,0.632190959818001,41,0.439813875481671,70,0.623170669986916,41,0.442115094472758,70,0.618007172564748,41,0.438130596075381,70,0.533254620052583,41,0.425342991701435,70,0.553622614602572,41,0.44015027400159,70,0.0248132318596668,41,0.0245675623888943,70,0.0246758110160661,41,0.0244901105697593,70,0.00631662055913105,41,0.00623685773082859,70,0.00643110643907744,41,0.00630944811884452,70,0.00810837170168291,41,0.00821526933777755,70,0.00825440553719601,41,0.00818030688922789,70,0.0254581272606751,41,0.0254282309635424,70,0.0254000808289803,41,0.0254026351611265
,69,0.637348787744409,42,0.46123162889927,69,0.662643087481903,42,0.478088065123581,69,0.620257108480103,42,0.444566736925911,69,0.625227315622968,42,0.444747095994969,69,0.616969437805409,42,0.446926376005443,69,0.611915849434521,42,0.442825481499563,69,0.529869417262673,42,0.428385974200358,69,0.550349309506446,42,0.443461694847702,69,0.0248077400959924,42,0.0245453163221807,69,0.024680160363633,42,0.0245262957663591,69,0.00635150460867332,42,0.00626150800742582,69,0.00642398636750501,42,0.00631773689804803,69,0.00811790312491846,42,0.00820367881975753,69,0.00827505397337859,42,0.00816828878089209,69,0.0254772679351243,42,0.0254253232290193,69,0.0254034187717156,42,0.0254067845240521
,68,0.6310360023867,43,0.466369993772492,68,0.656111087730289,43,0.483275941581276,68,0.613916006192655,43,0.44940545301557,68,0.618421017468357,43,0.44963651778057,68,0.610790203586999,43,0.451591088309316,68,0.605920902867602,43,0.447561534682629,68,0.526517044152747,43,0.431618284529202,68,0.546907583522947,43,0.446795188486397,68,0.0248188706011442,43,0.0245824489131224,68,0.0246622333407011,43,0.0244935789795278,68,0.0063831793849077,43,0.00626988095486607,68,0.00641739714426802,43,0.00630391905380222,68,0.00810555807457294,43,0.0082132852094924,68,0.00826398199031262,43,0.00814773066683445,68,0.025475013654921,43,0.0254487668769299,68,0.0253974560306985,43,0.0253758449416496
,67,0.624812680533593,44,0.471489019320938,67,0.649396870747012,44,0.488733305592777,67,0.607711432962582,44,0.454649680778045,67,0.611553542762701,44,0.45482009549019,67,0.604897162375754,44,0.456709721451014,67,0.599829522294091,44,0.452613873824236,67,0.523305230998046,44,0.434996810624904,67,0.543535465892037,44,0.450249436365575,67,0.024863542583355,44,0.0245891574370028,67,0.0246323113925839,44,0.0244616575255629,67,0.00636474337602299,44,0.00625455512023672,67,0.00639336938565569,44,0.00629277997506767,67,0.00812122321933734,44,0.00822116968241895,67,0.00822077818434507,44,0.0081453311498576,67,0.0254848735564874,44,0.0254449386786102,67,0.0253835797685436,44,0.0253802799711215
,66,0.618477642653909,45,0.476573642418357,66,0.642737292806332,45,0.493969295730886,66,0.601464118582163,45,0.459858945528563,66,0.604981217100458,45,0.45994942332025,66,0.598932921126327,45,0.461817151757712,66,0.594031502751261,45,0.457572987940525,66,0.520114887639924,45,0.438380145585844,66,0.54019592182344,45,0.453759284901898,66,0.0248167613468161,45,0.0245694369478822,66,0.0246699063697367,45,0.0244944595091954,66,0.00632996543490555,45,0.0062498504613419,66,0.00639635782248665,45,0.00629865714706934,66,0.00810795914337369,45,0.00819388398332721,66,0.00825715846116508,45,0.00815965746781855,66,0.0254862034637485,45,0.0254235377983237,66,0.0254112506706188,45,0.025381170297446
,65,0.612221976903731,46,0.48201749794647,65,0.636014854468753,46,0.499355437549014,65,0.595320931518412,46,0.46521370103796,65,0.598054868623478,46,0.465149028766676,65,0.593036597104758,46,0.467044991963029,65,0.587909370050995,46,0.462649709521786,65,0.516973484703029,46,0.441881581444507,65,0.536777302310385,46,0.457315445145699,65,0.0247840711447962,46,0.0245989209992909,65,0.0246865121603914,46,0.0244440496725708,65,0.00633235980792071,46,0.00626069496911943,65,0.00641066454555919,46,0.0062951524146029,65,0.0080556667930443,46,0.00821122002114262,65,0.00828057196376607,46,0.00813160246060729,65,0.0254740438263486,46,0.0254320906093815,65,0.0254234540519015,46,0.0253341836893388
,64,0.606030044972598,47,0.487405849879343,64,0.629223046339155,47,0.504967996256819,64,0.589093091841101,47,0.470708416469303,64,0.591735122027882,47,0.470524845558913,64,0.587073131062559,47,0.472431373018526,64,0.582229776021899,47,0.467934346466694,64,0.513734959780493,47,0.445537536867824,64,0.533322699076482,47,0.461123209340502,64,0.0247549399394586,47,0.0246135177984798,64,0.0246560530361658,47,0.0244965380570655,64,0.00632688998579219,47,0.00626417306061128,64,0.006414930099714,47,0.00628507965397062,64,0.00805494136001414,47,0.00823367448639847,64,0.00821857126910481,47,0.00816906449332465,64,0.0254666075592829,47,0.0254367238423195,64,0.025396212330246,47,0.025351177487966
,63,0.59955313720313,48,0.492750411507988,63,0.622713770073376,48,0.510513226571802,63,0.582775980476523,48,0.47612681919068,63,0.585046011385123,48,0.475766514596006,63,0.581005366040058,48,0.477731240101573,63,0.576176396622512,48,0.473076335118433,63,0.510381811153355,48,0.44917501049806,63,0.529774679364938,48,0.464862218542044,63,0.0247489425969099,48,0.0245992539925633,63,0.0246482312609928,48,0.0244868750310266,63,0.00631866017796091,48,0.00627845640616982,63,0.00642026097704119,48,0.00629165644145626,63,0.00808868646877838,48,0.00823014752642373,63,0.00823598883274203,48,0.0081895536708071,63,0.0254397966445101,48,0.0254393033955924,63,0.0253985120286946,48,0.0253706453134498
,62,0.593060607892276,49,0.498171589324468,62,0.616063153556294,49,0.516141730425168,62,0.576543829717745,49,0.481640074051124,62,0.578413280113773,49,0.48132822042789,62,0.575065617151508,49,0.483147110400695,62,0.570051689888187,49,0.478460530004539,62,0.507285911576205,49,0.452875923739982,62,0.526287340283274,49,0.468699830540741,62,0.0247492059130113,49,0.024597333926257,62,0.0246744144250215,49,0.0245006928666984,62,0.00634455404310857,49,0.00626584181644147,62,0.00640019313856025,49,0.00630687056343763,62,0.00811067210885938,49,0.00820897088754386,62,0.00824785190695527,49,0.00818660903110608,62,0.0254386989171574,49,0.0254189631299494,62,0.0254234442683928,49,0.0253702450704192
,61,0.586704440357659,50,0.503919986519628,61,0.609261096918687,50,0.521962756477554,61,0.570462349119273,50,0.487461838152461,61,0.571939688495392,50,0.486929428220706,61,0.569241721028594,50,0.488856064929958,61,0.564085423027756,50,0.483899893035259,61,0.504003756760729,50,0.456637998331007,61,0.522776099990496,50,0.472561011372858,61,0.0247353414002216,50,0.0246168924916901,61,0.0246851167204566,50,0.0245425201170663,61,0.00634237476498929,50,0.00625143277564827,61,0.00640642304759941,50,0.00632275303237949,61,0.00807919105407107,50,0.00820854498639428,61,0.0082677394454709,50,0.00820671496974368,61,0.0254424588693054,50,0.0254108156584595,61,0.0254246232034935,50,0.0253855136948326
,60,0.580191112622623,51,0.509627930435785,60,0.602573336644555,51,0.527750181702157,60,0.563884653865822,51,0.493109308918943,60,0.565548495750548,51,0.492564198206044,60,0.562907115840668,51,0.494383923556146,60,0.55817006357334,51,0.489428772650328,60,0.500845033163796,51,0.460494536400087,60,0.519418681482806,51,0.47654907252709,60,0.0247591899229938,51,0.0246285795681285,60,0.024670027241869,51,0.0245461863693399,60,0.00633708613326122,51,0.00625626720230671,60,0.00642209443800294,51,0.00629712530227665,60,0.0080742658296756,51,0.0082258254790573,60,0.00827318998390353,51,0.00821073341767193,60,0.0255175913629457,51,0.0254303999854907,60,0.0254124251242811,51,0.025381875776543
,59,0.573785141448942,52,0.515498113009466,59,0.595604765857053,52,0.534004987066976,59,0.557479550407365,52,0.499082290337011,59,0.559105749552564,52,0.498574023995835,59,0.556848006147171,52,0.500180735982054,59,0.552152918732468,52,0.495304049725875,59,0.497509233484715,52,0.464269058272242,59,0.515867582347727,52,0.480605289143132,59,0.0247793199191764,52,0.0245970361650403,59,0.0246427351409917,52,0.0245237528597805,59,0.00634936976473243,52,0.00627357098080163,59,0.00638783468282645,52,0.0062841132400904,59,0.00809310443679095,52,0.00821852298891758,59,0.00825444404346895,52,0.00818349067342855,59,0.0255519250222765,52,0.0254412750391444,59,0.0253934524125886,52,0.0253665334651176
,58,0.567221063122757,53,0.521504473291713,58,0.588789025912167,53,0.540184264761785,58,0.550953881214381,53,0.50526530320692,58,0.552497418265846,53,0.504781658075884,58,0.550639013920588,53,0.506219117925952,58,0.5459143895972,53,0.50135455653175,58,0.494097101924247,53,0.468221164339013,58,0.512139009443344,53,0.48461071680382,58,0.0247772142838383,53,0.0246266803968402,58,0.0246247345994883,53,0.0245102781727825,58,0.00634795807575432,53,0.00630329102195827,58,0.00637575665082672,53,0.006310151515051,58,0.00808443721276461,53,0.00824972224731056,58,0.00821099772403246,53,0.00817802174179138,58,0.0254590209426274,53,0.0254567079216301,58,0.0253769875591174,53,0.025353506202703
,57,0.560796016182001,54,0.528045557438663,57,0.582052900076501,54,0.546771813939813,57,0.544445578290454,54,0.511809402843042,57,0.545914990362419,54,0.510974338670709,57,0.544431663223377,54,0.512647571964186,57,0.539728105446733,54,0.507364338172033,57,0.490678594413865,54,0.472179059952021,57,0.508628719299564,54,0.48873748169508,57,0.0247404934334138,54,0.0246419082018289,57,0.0246199560830049,54,0.0245280351503322,57,0.00634883897111978,54,0.00631012001652204,57,0.00639434442667818,54,0.00631135119291932,57,0.00809387693298184,54,0.00823926516377113,57,0.00818319123558198,54,0.00816257492436601,57,0.0254361373665657,54,0.0254453962510775,57,0.025373500927439,54,0.0253528157355407
,56,0.554271911875933,55,0.534323715462383,56,0.575312311112836,55,0.553341347117812,56,0.53784382495301,55,0.51817345535994,56,0.539458413794877,55,0.517280790002489,56,0.538112576825146,55,0.51882965126404,56,0.533673231372158,55,0.513492238275527,56,0.487098872634903,55,0.47618310683854,56,0.504893168333433,55,0.492779346367905,56,0.0247580337430466,55,0.0246636301182971,56,0.0246269941963255,55,0.0244929267593518,56,0.00635367991105546,55,0.00632800816250307,56,0.00640063643711853,55,0.00632769885240496,56,0.00809341365583474,55,0.00824636654582898,56,0.00819215217198724,55,0.00813896151767786,56,0.0254505570301995,55,0.0254430978729863,56,0.0253699835195591,55,0.0253361472806422
,55,0.547796437755978,56,0.540799815718089,55,0.568435681393792,56,0.559877962354269,55,0.531616348817953,56,0.524698632712599,55,0.532743853980285,56,0.523689745414089,55,0.532120355602677,56,0.525293241383764,55,0.527374209266715,56,0.519717677481679,55,0.48359432028819,56,0.479928260014271,55,0.501094222274711,56,0.49673743337788,55,0.0247163225891792,56,0.0246567697139984,55,0.0246399966656056,56,0.0245174774380971,55,0.00634259119522768,56,0.00630911615964019,55,0.00639677256412896,56,0.00631333718781073,55,0.00807584538439452,56,0.00824269861490225,55,0.00821118409637257,56,0.00818197214036749,55,0.0254292793275359,56,0.0254443537788291,55,0.0253754446507641,56,0.0253664015832215
,54,0.541522652225162,57,0.54734239704574,54,0.561739294047189,57,0.56679567366392,54,0.525218766310144,57,0.5312029864778,54,0.526229363444328,57,0.530407402859506,54,0.525932920929789,57,0.531797061661169,54,0.521279877056682,57,0.526243894669176,54,0.480080694583974,57,0.483698009617884,54,0.497392689719554,57,0.500813250774363,54,0.0247200333067269,57,0.0246553009639507,54,0.0246082698642299,57,0.0245261813634908,54,0.00635736378729437,57,0.00629745902294306,54,0.00638836041402609,57,0.00628908033452733,54,0.00808321682224017,57,0.00823993533111883,54,0.00822693604888595,57,0.00818178382620579,54,0.025441084278184,57,0.025443448986994,54,0.025335192161103,57,0.0253456600460089
,53,0.535059726398493,58,0.554191152237242,53,0.555143955529071,58,0.573583870544203,53,0.518659545133202,58,0.537851416647278,53,0.519548190429887,58,0.536857416682411,53,0.519615969241683,58,0.538239253076449,53,0.514879194662778,58,0.532397553303863,53,0.476353816586634,58,0.487407858956183,53,0.493398307732544,58,0.504482130134961,53,0.024737923937247,58,0.0246374703050161,53,0.0245879965614451,58,0.0245230193949429,53,0.00636507078213892,58,0.00630264920835857,53,0.00639236863270048,58,0.00630847524047507,53,0.00811045035548248,58,0.00821560889805328,53,0.00820590875328612,58,0.00819340711805801,53,0.0254550021010828,58,0.0254186700545102,53,0.0253533289371848,58,0.0253369854855042
,52,0.528648266321964,59,0.561078066215326,52,0.548535727572141,59,0.580872001839258,52,0.512349903272921,59,0.544663725203234,52,0.513307200692515,59,0.543601953660326,52,0.51349522631921,59,0.544837464680223,52,0.508955170845434,59,0.538830936670074,52,0.472597120545103,59,0.49120056224735,52,0.489558670995972,59,0.508378107165393,52,0.0247051274111445,59,0.0246408584351562,52,0.0245457431633963,59,0.024505223997378,52,0.00633879997892436,59,0.00630621575709672,52,0.00639495332587266,59,0.00632129120173042,52,0.00812199076079065,59,0.00822436049167644,52,0.00818242620957611,59,0.00817852117779507,52,0.0254335627662892,59,0.0254269068124294,52,0.0253334350838092,59,0.0253410302536535
,51,0.522634936788517,60,0.567705634115441,51,0.542148612958218,60,0.587935253586404,51,0.506392975897156,60,0.551433840654835,51,0.507208158840167,60,0.550529075751476,51,0.507664278636008,60,0.551332314347645,51,0.50311143115823,60,0.545622247100915,51,0.468884241889168,60,0.494753018462095,51,0.485616369406442,60,0.512205848225949,51,0.0247118408452302,60,0.0246132173592533,51,0.0245770686063739,60,0.0244900391135099,51,0.00633692795548853,60,0.00630337930704184,51,0.00636205116894123,60,0.00630130747068416,51,0.00811827086874027,60,0.00823345905459375,51,0.00818667042979234,60,0.00816476551113247,51,0.0254324749628181,60,0.0254273660218922,51,0.0253580284711977,60,0.0253026931626309
,50,0.516682053266017,61,0.574675083210052,50,0.536057549265538,61,0.594740289671799,50,0.500401141179353,61,0.55818359422433,50,0.50109472037756,61,0.557016365064895,50,0.501772017007211,61,0.557808196032989,50,0.497203563652017,61,0.551989790013162,50,0.465118982692655,61,0.498310702845119,50,0.481609213476062,61,0.515915680365376,50,0.0246991278258414,61,0.0246154630579331,50,0.0246016750909605,61,0.0245154412270088,50,0.00635690958384577,61,0.0063101155859626,50,0.00635726656511694,61,0.00629544501210674,50,0.00811089744390953,61,0.00821548862560604,50,0.00818267036733109,61,0.0081517434598591,50,0.0254382191603615,61,0.0254148293438227,50,0.0253493943172713,61,0.0253101234572301
,49,0.51083935237753,62,0.581243361447788,49,0.530048625475442,62,0.601652733965491,49,0.494252876950666,62,0.564878522113963,49,0.495204826667941,62,0.56338999223382,49,0.495745937742279,62,0.564290144955699,49,0.491587121005256,62,0.557993671864814,49,0.461168822223,62,0.501909197723735,49,0.477780818675776,62,0.51951575546351,49,0.0246950083336963,62,0.024616404987275,49,0.0245580224895658,62,0.0245078719791494,49,0.00635300965067896,62,0.0063163589669344,49,0.00636520174440483,62,0.00629951789495194,49,0.00810186079941997,62,0.0082135201060208,49,0.00817930533341621,62,0.00814011280606634,49,0.0254318147268881,62,0.0254105601308487,49,0.0253268966640347,62,0.0252984682111583
,48,0.505281580407115,63,0.588068471372769,48,0.524373018395148,63,0.608639056828793,48,0.488618085391798,63,0.571622604717465,48,0.489512941478478,63,0.570150758295866,48,0.4902544252909,63,0.570827172294248,48,0.486064574610454,63,0.564421123468499,48,0.457605220145616,63,0.505369855950152,48,0.473936210471026,63,0.52308627753933,48,0.0246987211479774,63,0.024657133412143,48,0.0245878268020496,63,0.0245067326936148,48,0.00634816586522842,63,0.00631238730357324,48,0.00635893010039737,63,0.00631762831716433,48,0.00812971584355932,63,0.00823335203855784,48,0.00820837356986855,63,0.00814917387434235,48,0.0254321465948955,63,0.0254249584563624,48,0.0253698266729926,63,0.025309535462359
,47,0.499776530630114,64,0.594707326898057,47,0.518556627162824,64,0.615552246183367,47,0.483063480913773,64,0.578269477367365,47,0.483947745634665,64,0.576691543868087,47,0.484830312712886,64,0.577213362198155,47,0.480657139834406,64,0.570648235683779,47,0.453914042916058,64,0.508843850127999,47,0.470117582607985,64,0.526710363687184,47,0.0247125520852175,64,0.0246642992207201,47,0.0246077105293555,64,0.0245418007004975,47,0.00633532287394135,64,0.00631886367053705,47,0.00635694857365722,64,0.0063279127264646,47,0.00815118217185178,64,0.00823872200815992,47,0.00821768126311216,64,0.0081872537795744,47,0.0254492162719885,64,0.0254322397780961,47,0.0253543536037618,64,0.0253488611429944
,46,0.494349368461777,65,0.601672006664581,46,0.512757490331647,65,0.622597858608064,46,0.478491863745827,65,0.584827521391859,46,0.478482575080094,65,0.583404539738177,46,0.479494011341219,65,0.583537604699707,46,0.475428334018379,65,0.577096494424483,46,0.45014003163485,65,0.512350572582791,46,0.466387715285137,65,0.530387213652029,46,0.0246888595444467,65,0.0246371757789983,46,0.0245760290401606,65,0.0245398724062439,46,0.00633509107866783,65,0.00631849827614763,46,0.00635268111594188,65,0.00633692746865324,46,0.00819972857791964,65,0.00822988611539759,46,0.00822515995766707,65,0.00818075636915372,46,0.0254618784312398,65,0.0254566245267813,46,0.0253566613138653,65,0.0253530890286021
,45,0.488995892366271,66,0.608319073636064,45,0.507240426121948,66,0.629610008207997,45,0.473750014073602,66,0.59143911937552,45,0.473088415897212,66,0.589884007271134,45,0.474270667224844,66,0.589955034701227,45,0.47014880015844,66,0.583359916910745,45,0.446622061322745,66,0.515853210199439,45,0.462615100227837,66,0.534003767628435,45,0.0247131820534956,66,0.0246607687045292,45,0.0245752994270571,66,0.0245099654506797,45,0.00634173000622782,66,0.0063314133892906,45,0.00635099228324285,66,0.00632478689335997,45,0.00820458065203928,66,0.00825856361444285,45,0.00821432260925152,66,0.00817413212394901,45,0.0254646198606874,66,0.0254890993185652,45,0.0253568405340477,66,0.0253490681561939
,44,0.483707536628992,67,0.615138193060207,44,0.501639295505874,67,0.636629261857673,44,0.467723925493859,67,0.598222472586902,44,0.467826460970606,67,0.596473663759344,44,0.468782814287897,67,0.596511877955377,44,0.464993603406018,67,0.589693698094782,44,0.443098654763419,67,0.519427343401683,44,0.458882935330841,67,0.537750215713904,44,0.0246898933098412,67,0.0246586317287286,44,0.0245871546651943,67,0.0245305347971542,44,0.00633720702198501,67,0.00634812837268404,44,0.00634959961425102,67,0.00631551872876109,44,0.00814990346100706,67,0.00826433100349665,44,0.00822302282100444,67,0.00819759785354121,44,0.0254453719674612,67,0.0254627223527489,44,0.0253585196160866,67,0.0253559042140849
,43,0.47844816645757,68,0.621637375165066,43,0.496271592593741,68,0.64418165542285,43,0.462297392228573,68,0.604697306278909,43,0.462578553542884,68,0.602981700145897,43,0.463733925503737,68,0.602744088820203,43,0.459926534204525,68,0.595808938723501,43,0.439587695068891,68,0.522946692772158,43,0.455328768293247,68,0.541377105254083,43,0.024687637112136,68,0.0246240689710545,43,0.0245549671649289,68,0.0245737235805322,43,0.00633029459704541,68,0.00635924805895962,43,0.00635077962803732,68,0.00633699035993151,43,0.00815750590191563,68,0.00825578549246426,43,0.0081707933633164,68,0.00822514308285285,43,0.0254331107354792,68,0.0254518285284367,43,0.0253411596698712,68,0.025364299454243
,42,0.473295022003973,69,0.628404432011927,42,0.490896075873954,69,0.651280346372652,42,0.456926766632476,69,0.611346224969311,42,0.457320033259025,69,0.609689593379829,42,0.458674612072632,69,0.609219553990682,42,0.454863778773304,69,0.602089536926205,42,0.436227629437958,69,0.526494244246163,42,0.451760144134215,69,0.544993827232488,42,0.0246782157643975,69,0.0246423259578455,42,0.024552742299899,69,0.0245800228982378,42,0.00633268490628826,69,0.00635969270620716,42,0.00634068238011573,69,0.00635863058508518,42,0.0081722517040654,69,0.0082547288913338,42,0.00817108524054921,69,0.00823441764426415,42,0.0254421216761923,69,0.0254577725778203,42,0.0253632139823983,69,0.0253885693230567
,41,0.468363629804407,70,0.635239723729734,41,0.485595030154472,70,0.658164462724838,41,0.451863337940799,70,0.617927060169955,41,0.452296956287026,70,0.616105123083501,41,0.453842700286602,70,0.615725985246202,41,0.449961041522574,70,0.608207727774769,41,0.43293765177782,70,0.530114723910496,41,0.448389960422769,70,0.548699055309945,41,0.0246863420101566,70,0.024649570035099,41,0.0245666545736663,70,0.0245712142889762,41,0.00634315775111861,70,0.00634127079113916,41,0.00634184433835977,70,0.00635665677702998,41,0.00817996578064372,70,0.00824868742216437,41,0.00817669961474363,70,0.00822319539289792,41,0.0254456829911002,70,0.0254618088780198,41,0.0253898355325141,70,0.0253792071832047
,40,0.463229442678881,71,0.641958933858058,40,0.480507773192969,71,0.665230949346024,40,0.446643293542043,71,0.624560603070417,40,0.447382721556009,71,0.622826039465993,40,0.448802500884979,71,0.622266389297985,40,0.445304513276908,71,0.614559216080212,40,0.429656301433402,71,0.533536176714202,40,0.445077069343942,71,0.552305400341436,40,0.0246886668188506,71,0.0246335486744698,40,0.0245760874757696,71,0.0245375325026013,40,0.00633097447583105,71,0.00635103745468058,40,0.00632978192845113,71,0.0063393399316601,40,0.00817017531216256,71,0.00823727421483566,40,0.00818911859212493,71,0.0081989682441813,40,0.0254423749744822,71,0.0254512405469197,40,0.0253621282745306,71,0.0253396945591262
