CSV Report,2023-11-24_RNA_melting_CaCl2_KCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,500 mM CaCl2_260.00nm_90.0-21.0C,,500 mM CaCl2_260.00nm_21.0-90.0C,,500 mM CaCl2_260.00nm_90.0-21.0C_R1,,500 mM CaCl2_260.00nm_21.0-90.0C_R1,,100 mM CaCl2_260.00nm_90.0-21.0C,,100 mM CaCl2_260.00nm_21.0-90.0C,,100 mM CaCl2_260.00nm_90.0-21.0C_R1,,100 mM CaCl2_260.00nm_21.0-90.0C_R1,,50 mM CaCl2_260.00nm_90.0-21.0C,,50 mM CaCl2_260.00nm_21.0-90.0C,,50 mM CaCl2_260.00nm_90.0-21.0C_R1,,50 mM CaCl2_260.00nm_21.0-90.0C_R1,,25 mM CaCl2_260.00nm_90.0-21.0C,,25 mM CaCl2_260.00nm_21.0-90.0C,,25 mM CaCl2_260.00nm_90.0-21.0C_R1,,25 mM CaCl2_260.00nm_21.0-90.0C_R1,,500 mM CaCl2_400.00nm_90.0-21.0C,,500 mM CaCl2_400.00nm_21.0-90.0C,,500 mM CaCl2_400.00nm_90.0-21.0C_R1,,500 mM CaCl2_400.00nm_21.0-90.0C_R1,,100 mM CaCl2_400.00nm_90.0-21.0C,,100 mM CaCl2_400.00nm_21.0-90.0C,,100 mM CaCl2_400.00nm_90.0-21.0C_R1,,100 mM CaCl2_400.00nm_21.0-90.0C_R1,,50 mM CaCl2_400.00nm_90.0-21.0C,,50 mM CaCl2_400.00nm_21.0-90.0C,,50 mM CaCl2_400.00nm_90.0-21.0C_R1,,50 mM CaCl2_400.00nm_21.0-90.0C_R1,,25 mM CaCl2_400.00nm_90.0-21.0C,,25 mM CaCl2_400.00nm_21.0-90.0C,,25 mM CaCl2_400.00nm_90.0-21.0C_R1,,25 mM CaCl2_400.00nm_21.0-90.0C_R1,
,86,0.311206842089023,25,0.29230207621167,86,0.342110490101827,25,0.32743913416035,86,0.269142593883278,25,0.251706855128292,86,0.310983863296436,25,0.278895940728285,86,0.27957939684106,25,0.251682465365599,86,0.316207986371718,25,0.275748079881073,86,0.32753309588015,25,0.291618639136287,86,0.353585077853476,25,0.314114832642808,86,0.0371119726042699,25,0.0250715931482846,86,0.02453656414049,25,0.0243614473581096,86,0.0418101084575805,25,0.0170115050464373,86,0.00747521095705373,25,0.00730379746597963,86,0.0434017109186396,25,0.0206632829645551,86,0.00988077941603489,25,0.00961993396528308,86,0.0638069792214347,25,0.0462867861221559,86,0.0373429539578497,25,0.0371217879288057
,85,0.313535169974969,26,0.292634721853167,85,0.342743297899169,26,0.32783250407553,85,0.271148520196231,26,0.25197295374001,85,0.311213442164794,26,0.279552807730344,85,0.279859146950636,26,0.251852133541841,85,0.316301227011192,26,0.276677330869106,85,0.327978252986797,26,0.29230592234525,85,0.353385095430124,26,0.314792098663796,85,0.0334178532692137,26,0.0251181269791548,85,0.0245362997238015,26,0.0243587773700265,85,0.0382642905345012,26,0.0169431670408409,85,0.00762085162280404,26,0.00729534811299948,85,0.040398308530128,26,0.0206212922538946,85,0.00986897689655357,26,0.00961719180021716,85,0.0613531325923382,26,0.0464277331003952,85,0.0372543278874635,26,0.0371328998364153
,84,0.314998187067577,27,0.293277707322079,84,0.343410409832778,27,0.32823776647776,84,0.273403515762858,27,0.25263420853899,84,0.311273753061971,27,0.280020711143164,84,0.279995985451245,27,0.252898995190327,84,0.316203846809259,27,0.277501515908504,84,0.328189121896354,27,0.292691346092585,84,0.353160833268152,27,0.315049306355834,84,0.0309013271167569,27,0.0251212047977154,84,0.0245102263280767,27,0.0243479648736638,84,0.0351785427855921,27,0.016941465752786,84,0.00753879876324942,27,0.00730122881638846,84,0.0378518486731011,27,0.0207492559932984,84,0.00981623592012721,27,0.00960274560847158,84,0.0594689068875038,27,0.0464723224632438,84,0.0371687682687205,27,0.0370969012738416
,83,0.316094791063352,28,0.294043476336526,83,0.343210635928475,28,0.328668640450564,83,0.274464567142971,28,0.253390152752376,83,0.311294254935016,28,0.280487109539373,83,0.280021456112993,28,0.253587559812999,83,0.316064324352552,28,0.27815900639885,83,0.3276824366334,28,0.292896607701649,83,0.352996576167398,28,0.315517613152106,83,0.0291879678987456,28,0.0250914064479892,83,0.0245102325545392,28,0.0243203631017601,83,0.0325002317240839,28,0.0169791892290462,83,0.00740684585869586,28,0.00729245675387066,83,0.0358154362954682,28,0.0208178888002107,83,0.00978396821639721,28,0.0095667217648751,83,0.0579358495376244,28,0.0464320994992501,83,0.037145930592321,28,0.037058783049248
,82,0.316945465255508,29,0.294911326853543,82,0.342897356408209,29,0.329037695701384,82,0.273935506138401,29,0.253807134074634,82,0.312099674891382,29,0.281400998680405,82,0.279858109167667,29,0.253567667823846,82,0.316102311863265,29,0.278851673874787,82,0.327354943074183,29,0.293569632133142,82,0.352841919159936,29,0.316565609953234,82,0.0281037185732409,29,0.0251152960340146,82,0.0245205146535652,29,0.0243265499350698,82,0.0301605639364358,29,0.0169426145038,82,0.0075152474134827,29,0.0073157634929922,82,0.0341312461947921,29,0.0207476217287776,82,0.00974121243751788,29,0.00958669760690327,82,0.056718337226366,29,0.046491933666083,82,0.0371079805030218,29,0.0371013273787615
,81,0.317610731300597,30,0.295430274816826,81,0.342918022196292,30,0.32937330935941,81,0.273331481749491,30,0.254256096232791,81,0.312204534192737,30,0.282329968436625,81,0.280097688783827,30,0.253743268385048,81,0.315904689040519,30,0.279322476915275,81,0.326848901037687,30,0.294048915793205,81,0.352653131287865,30,0.317250071816774,81,0.0272601880454005,30,0.0251109873906333,81,0.0245199735969014,30,0.024351474056248,81,0.0279993816300873,30,0.0169300257965861,81,0.00754112144648601,30,0.00732982006111499,81,0.0328374712099583,30,0.0206821828715423,81,0.00970559687683249,30,0.00957052538622701,81,0.0556473843817742,30,0.0465434301093789,81,0.0370913319051808,30,0.0371115087665279
,80,0.317913158154453,31,0.295794544402348,80,0.342932233409418,31,0.329743517625148,80,0.274770782947889,31,0.254898007517224,80,0.311717762990399,31,0.282793490411945,80,0.280788845106775,31,0.254514321577904,80,0.315464692645211,31,0.280112178170396,80,0.326457742672315,31,0.294398573276106,80,0.352423064669173,31,0.317826670429819,80,0.0266750947977859,31,0.0250702764428174,80,0.0245470048296441,31,0.0243416518669896,80,0.0268000468979415,31,0.0169505933599531,80,0.00744780031027585,31,0.00728135015778345,80,0.0318892016844883,31,0.0207741390677242,80,0.00972262908003873,31,0.00953952129412434,80,0.0548050566695269,31,0.0465696285056498,80,0.0371024881479313,31,0.0370726211340762
,79,0.318442086229863,32,0.296481893375005,79,0.342914862283144,32,0.330112412696751,79,0.277050859808025,32,0.255537251803826,79,0.311710520111759,32,0.283545877755118,79,0.28126623342518,32,0.254770912961231,79,0.315116689316142,32,0.28093719920721,79,0.326184425746288,32,0.295015606329224,79,0.352153001705293,32,0.318746948466904,79,0.0262784425750195,32,0.0250790564541669,79,0.0245329326697477,32,0.0243305778026809,79,0.0262516894835198,32,0.0170249985735832,79,0.00740811010002208,32,0.00730328666787613,79,0.0310916438390198,32,0.0207650403937739,79,0.00970872127622252,32,0.0095476979148576,79,0.0542481853595981,32,0.0466633539013904,79,0.037080454285223,32,0.0370831655645432
,78,0.318668503969261,33,0.297233053713267,78,0.34286788755325,33,0.330496602724464,78,0.27722112801984,33,0.256353341971495,78,0.311696171084799,33,0.284450290427922,78,0.280631665198856,33,0.255110729087328,78,0.314792456584888,33,0.281742653773049,78,0.325573576732466,33,0.295400941835476,78,0.351849454044427,33,0.319530311495205,78,0.0260610064118116,33,0.0251001044176408,78,0.0245352577648009,33,0.0243348679644176,78,0.0252071505499166,33,0.0171290851531404,78,0.00740377449731591,33,0.00733566824931355,78,0.0301805315367977,33,0.0207576352711178,78,0.00972537098457828,33,0.00957438472226192,78,0.0537831815899643,33,0.0467044095386446,78,0.0370983300987288,33,0.0370887423380811
,77,0.318609284676755,34,0.297845757100784,77,0.342872727300343,34,0.330883760370571,77,0.277140359251144,34,0.257319694088104,77,0.311779319305663,34,0.285079347677646,77,0.28014740418553,34,0.255943073014074,77,0.314497405122865,34,0.282332617931629,77,0.324924060318504,34,0.295860712026518,77,0.351505651645659,34,0.3202994800767,77,0.0257770056463437,34,0.0250932431040255,77,0.0245442415859038,34,0.0243472766175214,77,0.0243734942543973,34,0.0172278164329107,77,0.00745128079519641,34,0.00729632991737198,77,0.0294631636453927,34,0.020883021716299,77,0.00971552612803619,34,0.00950730240807486,77,0.0533935538211647,34,0.0467475825181014,77,0.0370810041377752,34,0.0371029210714355
