CSV Report,2023-11-24_RNA_melting_CaCl2_KCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,500 mM CaCl2_260.00nm_90.0-21.0C,,500 mM CaCl2_260.00nm_21.0-90.0C,,500 mM CaCl2_260.00nm_90.0-21.0C_R1,,500 mM CaCl2_260.00nm_21.0-90.0C_R1,,100 mM CaCl2_260.00nm_90.0-21.0C,,100 mM CaCl2_260.00nm_21.0-90.0C,,100 mM CaCl2_260.00nm_90.0-21.0C_R1,,100 mM CaCl2_260.00nm_21.0-90.0C_R1,,50 mM CaCl2_260.00nm_90.0-21.0C,,50 mM CaCl2_260.00nm_21.0-90.0C,,50 mM CaCl2_260.00nm_90.0-21.0C_R1,,50 mM CaCl2_260.00nm_21.0-90.0C_R1,,25 mM CaCl2_260.00nm_90.0-21.0C,,25 mM CaCl2_260.00nm_21.0-90.0C,,25 mM CaCl2_260.00nm_90.0-21.0C_R1,,25 mM CaCl2_260.00nm_21.0-90.0C_R1,,500 mM CaCl2_400.00nm_90.0-21.0C,,500 mM CaCl2_400.00nm_21.0-90.0C,,500 mM CaCl2_400.00nm_90.0-21.0C_R1,,500 mM CaCl2_400.00nm_21.0-90.0C_R1,,100 mM CaCl2_400.00nm_90.0-21.0C,,100 mM CaCl2_400.00nm_21.0-90.0C,,100 mM CaCl2_400.00nm_90.0-21.0C_R1,,100 mM CaCl2_400.00nm_21.0-90.0C_R1,,50 mM CaCl2_400.00nm_90.0-21.0C,,50 mM CaCl2_400.00nm_21.0-90.0C,,50 mM CaCl2_400.00nm_90.0-21.0C_R1,,50 mM CaCl2_400.00nm_21.0-90.0C_R1,,25 mM CaCl2_400.00nm_90.0-21.0C,,25 mM CaCl2_400.00nm_21.0-90.0C,,25 mM CaCl2_400.00nm_90.0-21.0C_R1,,25 mM CaCl2_400.00nm_21.0-90.0C_R1,
,76,0.318579126588126,35,0.298408535956407,76,0.342838301768452,35,0.3312458119285,76,0.277323960805787,35,0.257542654717151,76,0.311689421482376,35,0.285974954337909,76,0.279716875886099,35,0.256313239508078,76,0.314007135266934,35,0.283399937686869,76,0.324163095881331,35,0.296424527587289,76,0.351112296309251,35,0.32115552853073,76,0.0256430402128966,35,0.0250867757380193,76,0.0245269720617183,35,0.0243270364451089,76,0.0238124743062864,35,0.0171784707482065,76,0.00747638611740868,35,0.00730286776053643,76,0.0289239662071513,35,0.0208715550911846,76,0.0096779855880349,35,0.00955257497606521,76,0.0530653081127787,35,0.0468413098230099,76,0.0370607194708136,35,0.0371139793860552
,75,0.318649278673426,36,0.299084027164994,75,0.342773522252551,36,0.33162373938026,75,0.277649188230543,36,0.257905068521951,75,0.311188705135902,36,0.286872102531349,75,0.279427172571149,36,0.256678565633167,75,0.313386121437617,36,0.284290328732708,75,0.323957510361384,36,0.296877756857579,75,0.350711692120457,36,0.321850037221641,75,0.0255022166958969,36,0.0250761773579737,75,0.0245201822030717,36,0.0243149248640725,75,0.0233548887895984,36,0.0171465981924828,75,0.00745784200669442,36,0.00729029877379563,75,0.0285317956129754,36,0.0208565765648362,75,0.00964904146800785,36,0.00957819541495479,75,0.0529592086545593,36,0.0469008975148309,75,0.0370683441761652,36,0.0370977404104642
,74,0.318582493972007,37,0.299685757754234,74,0.34264869520581,37,0.332002464638095,74,0.278132865815721,37,0.257666219450605,74,0.310784956601245,37,0.287655090883749,74,0.279159189433126,37,0.257195961492688,74,0.313135244091031,37,0.285185992393438,74,0.322925025265367,37,0.297445129633765,74,0.350206909642442,37,0.322678192855453,74,0.0253950165649804,37,0.0250614996962262,74,0.0245114865446966,37,0.0243228621950931,74,0.0230543904644871,37,0.0169582877742723,74,0.00742155789362479,37,0.0072959461844967,74,0.0282597395515496,37,0.0208832003482556,74,0.00967536318201119,37,0.00955450584260947,74,0.0526155475679854,37,0.0469574981625505,74,0.0370726063181242,37,0.037099872290317
,73,0.318399544694133,38,0.30025441389344,73,0.342501892314194,38,0.332397678363611,73,0.278768699581087,38,0.256984653327446,73,0.310389099865052,38,0.288441235739567,73,0.278622694104093,38,0.257633564120769,73,0.312579213366467,38,0.285972996689178,73,0.322196534633695,38,0.297906784359932,73,0.349670396925049,38,0.32339731258539,73,0.0253853758113861,38,0.0250694820265129,73,0.0244954029125232,38,0.0243185671086888,73,0.0229283946937826,38,0.0166491298728886,73,0.00739068359244208,38,0.00730184690953769,73,0.0280259926129412,38,0.0208782134209032,73,0.00966166469852643,38,0.00954735008891752,73,0.0524255311254249,38,0.0470177316108909,73,0.0370550442790739,38,0.0370896773686021
,72,0.318242788819437,39,0.300829565488829,72,0.342450562693142,39,0.332775587786133,72,0.278646902915751,39,0.257596432880183,72,0.30999156418452,39,0.28924214916928,72,0.278890340743081,39,0.25820409937614,72,0.311977075124752,39,0.286761260388463,72,0.321412218685071,39,0.298411130934082,72,0.349060144997269,39,0.324198229266711,72,0.0253502754326849,39,0.0251002966361007,72,0.0244821617709738,39,0.0243143437773932,72,0.0226678749078349,39,0.0167205597283073,72,0.00737667180119142,39,0.00730411861930682,72,0.0279978957944004,39,0.0209456205158633,72,0.00964635856730185,39,0.00954313431590205,72,0.0522318871861988,39,0.04711721868682,72,0.0370287690700626,39,0.0370766691096347
,71,0.31808417293088,40,0.301430209502744,71,0.34244221605824,40,0.333145509703558,71,0.278250033566993,40,0.258480054243262,71,0.310566194726518,40,0.289875316652678,71,0.279955888458963,40,0.258572337001831,71,0.311264891501222,40,0.287359416438726,71,0.320169043804009,40,0.298945087117746,71,0.348474796755659,40,0.325038708408138,71,0.0252723929998173,40,0.0251069775840957,71,0.0244754116648615,40,0.0243186613381392,71,0.02237236981355,40,0.0168384280789811,71,0.00755041154017804,40,0.00728885692270821,71,0.0282989178636914,40,0.0209199246222768,71,0.00963092157928349,40,0.00952086183045673,71,0.051946869154325,40,0.0471947074102008,71,0.0370131946370386,40,0.037105497741327
,70,0.318029807724639,41,0.302006637252077,70,0.342449615421205,41,0.333474328750232,70,0.278084939242982,41,0.259260935068975,70,0.310083025410837,41,0.29074069555378,70,0.279663931540995,41,0.259109636180121,70,0.31063590289367,41,0.288048748103662,70,0.319809511688108,41,0.299386607762207,70,0.347900436578274,41,0.325704577793031,70,0.0252769867707077,41,0.0250894549622895,70,0.0244672901763394,41,0.024350251982364,70,0.0221461363779127,41,0.0168418859849316,70,0.00755578046733362,41,0.00731960910580527,70,0.0281610419706511,41,0.0209603914729302,70,0.00965178489716029,41,0.00954311593533281,70,0.0519358617965229,41,0.0472059624947078,70,0.0370251770691937,41,0.0370999218647233
,69,0.317586341785126,42,0.302566123418018,69,0.342396565737598,42,0.333817428320262,69,0.278089515868955,42,0.260561268334324,69,0.309141357032583,42,0.291414906617569,69,0.279250101538004,42,0.259686256868027,69,0.309941823822028,42,0.28869070590577,69,0.319339926078715,42,0.299941604984108,69,0.347235602969922,42,0.326429921047122,69,0.0252319593423352,42,0.0250621157082175,69,0.024495308148142,42,0.0243755709709679,69,0.0220622173306814,42,0.0170450230511583,69,0.00745550801226313,42,0.00731244980918545,69,0.0279770550305056,42,0.0209858282326946,69,0.00965466229672417,42,0.0095251802055552,69,0.051795631585819,42,0.0472510409377973,69,0.0370400898034864,42,0.0370896489041934
,68,0.317251160822513,43,0.303148319008592,68,0.342230782028989,43,0.334228522283621,68,0.277756626557492,43,0.261582776324745,68,0.308626227292651,43,0.292113509224279,68,0.278619381106208,43,0.260181756167645,68,0.309222587614275,43,0.289644873161581,68,0.318517032786462,43,0.300504781974459,68,0.346564190560896,43,0.327206125868937,68,0.025137975384445,43,0.0250648907153037,68,0.0245215312581367,43,0.0243510122631934,68,0.0219074127987383,43,0.017158717185689,68,0.00743652058191354,43,0.00730122874435654,68,0.0276524360674533,43,0.0209885683807345,68,0.00965074006496265,43,0.00954221399862372,68,0.0514635452463059,43,0.0472969029184513,68,0.0370552472423728,43,0.0370928212660594
,67,0.316887957919872,44,0.303672997477907,67,0.342084144578107,44,0.334633019147283,67,0.277362437992619,44,0.262223662639537,67,0.308018422234368,44,0.292948860487705,67,0.277894489728461,44,0.260793036644197,67,0.308592181648556,44,0.290335155638662,67,0.31803065638971,44,0.30106972470519,67,0.345884831058537,44,0.328018750719552,67,0.0251302592497212,44,0.0250494046637988,67,0.0245070316533771,44,0.024371827566096,67,0.0217329456280733,44,0.0171423552196415,67,0.00741432682791448,44,0.00732373403851657,67,0.0273014595726598,44,0.0210339827440252,67,0.00964018548345916,44,0.00955382778216478,67,0.0512995665029906,44,0.0473563906110374,67,0.0370534831422759,44,0.0370919861799302
,66,0.316512559996472,45,0.304115845703047,66,0.341898526637126,45,0.335011812217091,66,0.27714785777611,45,0.262353953143144,66,0.30767577621636,45,0.293689088076873,66,0.2774819792893,45,0.261164579968109,66,0.308051558404471,45,0.291163540126821,66,0.317599858658473,45,0.301567021017787,66,0.345204913770088,45,0.328792554304892,66,0.0251104677907381,45,0.0250324527056554,66,0.0244910520288993,45,0.0243744918573174,66,0.0216266210731133,45,0.0170590695356783,66,0.00743490669869946,45,0.00732546520275933,66,0.0270384953842649,45,0.0209753758416901,66,0.00964097385901827,45,0.00954223580827359,66,0.0511083968749316,45,0.0474031540716408,66,0.0370689338885419,45,0.0370836626793162
,65,0.316182881935825,46,0.304671982139337,65,0.341666423134231,46,0.335376437113504,65,0.27661800835354,46,0.263179989401209,65,0.307628331296074,46,0.294661834070729,65,0.276945426680898,46,0.261676292182276,65,0.307302317136955,46,0.291874328379786,65,0.316829459604499,46,0.30204586091531,65,0.344549522859919,46,0.329511621597074,65,0.0250836633742812,46,0.0250379635043078,65,0.0244997725034971,46,0.0243565082708482,65,0.0214304720960537,46,0.0172149689511498,65,0.00751697041104809,46,0.00737797006652804,65,0.0266650768193802,46,0.0210145237896812,65,0.00962409902705939,46,0.00953486497252598,65,0.050754152922259,46,0.0474320493308398,65,0.0370956488687209,46,0.0370668802921999
,64,0.315799264414734,47,0.305269136900133,64,0.341481087095315,47,0.335760716048127,64,0.275990623722333,47,0.265154230723069,64,0.307061902517461,47,0.295224513997572,64,0.276232302739877,47,0.262342135051556,64,0.30662503993364,47,0.292525492425846,64,0.316062915102559,47,0.302512515313889,64,0.343970307540001,47,0.330272109487997,64,0.025137292421437,47,0.025036220543556,64,0.0245036479223428,47,0.0243458059142385,64,0.0212076114748536,47,0.0176082673059195,64,0.0074737910686681,47,0.00733581945301325,64,0.0263074120744377,47,0.0211077154013792,64,0.00961871993626896,47,0.00950666054614471,64,0.0504504403457993,47,0.0474199062658731,64,0.0370964084691617,47,0.0370458817484519
,63,0.315394144693087,48,0.305826578762277,63,0.341294316498115,48,0.336139901965248,63,0.2755665192394,48,0.266130485016482,63,0.306290177695101,48,0.295732334801836,63,0.275473406750253,48,0.2628587117338,63,0.30599198532525,48,0.293229037139174,63,0.315978175759541,48,0.303036684821176,63,0.343296760283554,48,0.331020408643663,63,0.025181595314472,48,0.0250246793603522,63,0.0245131832139578,48,0.0243206415398456,63,0.0210256391457746,48,0.0176396521928384,63,0.00740330525364901,48,0.00729548644166986,63,0.0259474872149599,48,0.0211104907809992,63,0.00962661519186059,48,0.00948730377196939,63,0.0503642773863184,48,0.047434071200312,63,0.0370555579482361,48,0.0370237456935709
,62,0.315071474404504,49,0.306375361766927,62,0.341084265097444,49,0.336527030357992,62,0.274778356537094,49,0.265458047539386,62,0.306278344380407,49,0.296282248612963,62,0.275015031269254,49,0.263385490327341,62,0.305251987304315,49,0.294028497067275,62,0.315708978229287,49,0.303511335605999,62,0.342531170623103,49,0.331865447331848,62,0.0251841975529629,49,0.0250216729419915,62,0.0244774939923391,49,0.0243600886083301,62,0.020696944241477,49,0.0173353805619644,62,0.00746086687358072,49,0.00730705565055749,62,0.0255844456246762,49,0.0211654484975878,62,0.00959431133277391,49,0.00952505795825424,62,0.0501712902563424,49,0.0474478227347687,62,0.0370072747158165,49,0.0370767646176664
,61,0.314683769304514,50,0.306882933373272,61,0.340852441616469,50,0.33685785094092,61,0.274291111339409,50,0.265635426410842,61,0.305575225170907,50,0.296967747585418,61,0.274684181199223,50,0.264049058906262,61,0.30460472333541,50,0.294763773345122,61,0.315096851552771,50,0.303957372616756,61,0.341895104926134,50,0.332617681926847,61,0.025145938688727,50,0.0250040813075934,61,0.0244709999291956,50,0.0243724005504897,61,0.0204661769299055,50,0.0172453806739755,61,0.00745378024570408,50,0.00733847620702424,61,0.0252395690531502,50,0.0212374509126527,61,0.00958514417988266,50,0.00953811654393462,61,0.0498180954121674,50,0.0474449444625531,61,0.0370522662454634,50,0.0370774353652868
,60,0.314187136184844,51,0.3074519761161,60,0.340565305675095,51,0.337210569465552,60,0.273581283475742,51,0.267356791385353,60,0.304772902248481,51,0.297765950962566,60,0.274144882110598,51,0.265024514482593,60,0.304044538041816,51,0.295365494809311,60,0.314376754534522,51,0.30443191961445,60,0.341264877902939,51,0.333341386014922,60,0.0251275226759369,51,0.0250248937696783,60,0.0244609537014618,51,0.024336031671564,60,0.0201956887463607,51,0.0176067916082029,60,0.00741215186779099,51,0.00736099684446219,60,0.024916202544054,51,0.0214661279380072,60,0.00959872183675944,51,0.00948564324146944,60,0.049518212049308,51,0.0474747504029846,60,0.0370426325922444,51,0.0370438337522297
,59,0.313757161603818,52,0.30802268244268,59,0.340283411465706,52,0.337615059239638,59,0.272969570830445,52,0.269502147963486,59,0.30417021215361,52,0.298310784283206,59,0.273545833560673,52,0.265998251003468,59,0.303553835554164,52,0.296360988647686,59,0.313837424176334,52,0.304852941709564,59,0.340583294602545,52,0.334079133552213,59,0.0251358540141689,52,0.0250087855839729,59,0.0244637642530102,52,0.0243466505844371,59,0.0199615567387367,52,0.0182477674757474,59,0.00740313391494594,52,0.0073344425325476,59,0.0245860452347175,52,0.0217083907908806,59,0.00962948212118185,52,0.00952286776521411,59,0.049322056984741,52,0.0474598447403819,59,0.0370139702596817,52,0.0370308645639452
,58,0.313352581549251,53,0.308566500495788,58,0.340012343442748,53,0.338048117090248,58,0.272564680717645,53,0.271353845176129,58,0.303790809215285,53,0.298853334119845,58,0.273061671055639,53,0.266219906570549,58,0.302954145110935,53,0.296894079232706,58,0.313457436908943,53,0.305425543596367,58,0.339908923676995,53,0.334830821167504,58,0.0251016588117969,53,0.0249864524250199,58,0.0244455343522809,53,0.0243042561860402,58,0.0197418892182569,53,0.0186950686455163,58,0.0074218299957106,53,0.0073246827390914,58,0.0242475747940464,53,0.0216384764305629,58,0.00960519203765331,53,0.00946266346408534,58,0.0491516592303996,53,0.0475178987205892,58,0.0369891916674567,53,0.0370011335559416
,57,0.31282509469034,54,0.30917086652956,57,0.339739434356451,54,0.338637818518238,57,0.272171172451108,54,0.270108507011194,57,0.303449086043737,54,0.29941392561587,57,0.272486711442615,54,0.266558126193096,57,0.302297932089739,54,0.297568072016519,57,0.312871130500871,54,0.306056971492219,57,0.33925723845747,54,0.335635820845201,57,0.0250892256880321,54,0.0249958223296238,57,0.0244186328698608,54,0.0243443227369763,57,0.0195570310230623,54,0.0182177856955921,57,0.00742635680531864,54,0.00729576975323522,57,0.0239450071868394,54,0.0216680850686598,57,0.00958489795319174,54,0.00947621569979009,57,0.0489594471608987,54,0.0475712368142767,57,0.0370059194930366,54,0.0370267755737213
,56,0.312416526076071,55,0.309757539048206,56,0.339431458500639,55,0.339051427308075,56,0.271798603466375,55,0.271757984001665,56,0.302636529797261,55,0.300073996315506,56,0.272050629705113,55,0.267274792961082,56,0.301632397045157,55,0.298425758412544,56,0.312170440768229,55,0.306562981595483,56,0.338554119078167,55,0.336484345537679,56,0.0251035095700172,55,0.0249765938078893,56,0.02443568004698,55,0.024374056310376,56,0.019422837519463,55,0.0189945790586089,56,0.00739578573345857,55,0.00732787826524481,56,0.0237529035855207,55,0.0218228727764059,56,0.00960437188607091,55,0.00951365552809386,56,0.0488104269080576,55,0.0475725169115332,56,0.0370138215524241,55,0.0370673380326964
,55,0.311908742381558,56,0.310284136574593,55,0.339109021419537,56,0.339361818317936,55,0.271253268481129,56,0.270953992923446,55,0.302127822785134,56,0.300830165321992,55,0.271519914730619,56,0.267668969411031,55,0.301004750203847,56,0.299243546915216,55,0.31155693252096,56,0.307023658133454,55,0.337849848820971,56,0.337141058810224,55,0.0251357853392842,56,0.0249679710837756,55,0.0244293835581363,56,0.0243844312974303,55,0.0192194588745342,56,0.0189099439289194,55,0.00739912706748175,56,0.0073625397508404,55,0.0235434183666509,56,0.0219396551780826,55,0.00959441503744931,56,0.00953677556234398,55,0.0486648942766268,56,0.047582674195998,55,0.0369934721372807,56,0.0370521818445787
,54,0.31142647158339,57,0.310868146711959,54,0.33882313936444,57,0.339723835764469,54,0.270595824442685,57,0.270697918861033,54,0.301522565736674,57,0.301393711540507,54,0.271093065661613,57,0.268062309958503,54,0.300268105944585,57,0.299818653882761,54,0.310827071441932,57,0.307582149323357,54,0.33717891452929,57,0.337875740196524,54,0.0251116359531072,57,0.0249509854771343,54,0.0244106884699683,57,0.0243473293606564,54,0.0190184585045251,57,0.0183273146258951,54,0.00739961819016098,57,0.00731983716566796,54,0.0233226667433717,57,0.0220645378928429,54,0.00957760217600948,57,0.00946475496010662,54,0.0484857923197504,57,0.0476197540639822,54,0.036985770642646,57,0.03699921963648
,53,0.310963211397915,58,0.31142752761633,53,0.33852974647823,58,0.340076219854208,53,0.270036039692861,58,0.273953401842812,53,0.30126561376134,58,0.301827460675151,53,0.270531108791599,58,0.268534918183807,53,0.299485758502151,58,0.300413047553169,53,0.310092457985974,58,0.308082702266925,53,0.336404239031632,58,0.338628419057423,53,0.0251212599819631,58,0.0249338181787416,53,0.0244311276643737,58,0.0243621198712123,53,0.0188251342213707,58,0.0189130942743715,53,0.00746069241431763,58,0.00730743453297087,53,0.0231130147222942,58,0.0222814295796164,53,0.0095687215176083,58,0.00943981352083733,53,0.0483604577828197,58,0.0476844203064115,53,0.0369965079943306,58,0.0370255325013697
,52,0.310448773845795,59,0.312042036979889,52,0.338207935011558,59,0.340459382786705,52,0.26964288291675,59,0.274916570153653,52,0.30047611802189,59,0.302456443255605,52,0.269842159448261,59,0.26918667854197,52,0.298936237287216,59,0.301140710988487,52,0.309505808489519,59,0.308561793664639,52,0.3356891972074,59,0.33942971056446,52,0.0251319394586351,59,0.0249323996231705,52,0.0244161924231843,59,0.0243557486225504,52,0.0186503490946522,59,0.0187581283347726,52,0.0074122427828314,59,0.00729969123052943,52,0.0229120833248857,59,0.0225173716471183,52,0.00957626951455546,59,0.009454682239859,52,0.0482797353074613,59,0.0476966489690662,52,0.0369940056164327,59,0.0370016847197083
,51,0.309899309461429,60,0.312685188182173,51,0.337906304746698,60,0.340832159497598,51,0.269280057417908,60,0.273787389013063,51,0.299753137308541,60,0.303086889094154,51,0.269284210441687,60,0.269568329170754,51,0.29824194957929,60,0.30187103523811,51,0.30878942993445,60,0.308939668767769,51,0.335052689873002,60,0.340290625597274,51,0.0251456027645985,60,0.0248852165175807,51,0.0244320204883375,60,0.0243448829659967,51,0.0186005871227717,60,0.0182464666914939,51,0.00737131664974985,60,0.00729900897918458,51,0.0227584121364782,60,0.0225942971014678,51,0.00957897936298125,60,0.00945736944385849,51,0.0481782463396355,60,0.0477215946736504,51,0.0369948423044624,60,0.0369932757660031
,50,0.309373041621553,61,0.313318424569813,50,0.337570071935486,61,0.341197942777642,50,0.268440311261637,61,0.27290723414143,50,0.29929610866012,61,0.3037289726737,50,0.268705790333749,61,0.270036004988628,50,0.29772835962702,61,0.302845052897125,50,0.308020308426739,61,0.309202468504162,50,0.334390935472528,61,0.341014736923997,50,0.0251566620169968,61,0.0248871378030629,50,0.0244261093681448,61,0.0243652660710804,50,0.0184224261804604,61,0.0185378734924266,50,0.00738255210082077,61,0.00731545965573556,50,0.0226144379644958,61,0.0227839764425689,50,0.00959969620224884,61,0.00948548181037614,50,0.0480868765484377,61,0.0477306751727689,50,0.0369874472782696,61,0.0369879391153633
,49,0.308845089720219,62,0.313941250268125,49,0.337245282209281,62,0.341573247603805,49,0.267753580328203,62,0.27435933224009,49,0.298499743654764,62,0.30432565248847,49,0.268078790318138,62,0.270658391682118,49,0.29708544300405,62,0.303715924948081,49,0.307353830550998,62,0.30966641958621,49,0.333686735609616,62,0.341800878100099,49,0.0251649140718332,62,0.0248928723305425,49,0.0243997287736491,62,0.0244021841517273,49,0.0182342676355555,62,0.019271497521438,49,0.00738655789404478,62,0.00731514402380509,49,0.0224401257524935,62,0.0231041985020054,49,0.00960275730397438,62,0.00954694729139698,49,0.0480070408288474,62,0.0478571388600389,49,0.0370012339026831,62,0.0370132660311011
,48,0.308230339301076,63,0.314678904267941,48,0.33692220981606,63,0.341940710234905,48,0.267020649264951,63,0.276868057904082,48,0.297960574750982,63,0.305243478576263,48,0.267563143937571,63,0.27148552713984,48,0.296287231011413,63,0.304427106233223,48,0.306591773522268,63,0.310288303824284,48,0.332914957642293,63,0.342631416644963,48,0.0251649979413976,63,0.0248567970095312,48,0.0243971788975482,63,0.0243986201296743,48,0.0180959236449407,63,0.0196548748758333,48,0.00738759150789244,63,0.00732400654212438,48,0.0223223419302441,63,0.0234112740273885,48,0.00957161928744121,63,0.00954276168299865,48,0.0479148521162389,63,0.0480971273754981,48,0.0369860816392003,63,0.0370243190518715
,47,0.307667358122382,64,0.315488384852579,47,0.336605933720602,64,0.342321759034418,47,0.267262986565058,64,0.276297474765885,47,0.297529130712456,64,0.30605845749034,47,0.266965478550154,64,0.272330941637317,47,0.295576449222642,64,0.305318354463253,47,0.305837173882272,64,0.310843749125405,47,0.332166311740621,64,0.34340403313235,47,0.0251659645362159,64,0.0248273924903702,47,0.0244075662539398,64,0.0243873994322743,47,0.0181602682367246,64,0.0190383244830895,47,0.00740515603165365,64,0.00731695606279118,47,0.0222126946001109,64,0.0236326322199607,47,0.00959958004572552,64,0.00950871496649427,47,0.0478456364099989,64,0.0483035047850244,47,0.0370025057873949,64,0.0370190202295572
,46,0.307100599622659,65,0.31634382200111,46,0.336311483313109,65,0.34271550916236,46,0.266314554259328,65,0.275258516101074,46,0.296850655952505,65,0.306722332197707,46,0.266323970598317,65,0.272972306527642,46,0.294829644472192,65,0.306272680825207,46,0.305160502880399,65,0.311348611598197,46,0.331469870901235,65,0.344248927567417,46,0.025172324561693,65,0.0248256034897588,46,0.0243957881317658,65,0.0244192091037584,46,0.0180166115764475,65,0.0190895938268033,46,0.00738514967567327,65,0.00734135861204351,46,0.0221064398293177,65,0.0239504009131708,46,0.00959590491505,65,0.00953375766860115,46,0.047796057518755,65,0.0485935996675801,46,0.0369774586734126,65,0.0369998389798905
,45,0.306479580050284,66,0.317080112824148,45,0.335968001319604,66,0.34329399146314,45,0.265383049617397,66,0.276989145446782,45,0.295940997654901,66,0.307543212335739,45,0.265617043947065,66,0.273664345904201,45,0.294116141998249,66,0.30695556633196,45,0.304451629319968,66,0.31187131472643,45,0.330735864439828,66,0.345117887680312,45,0.0251467408475797,66,0.0247884095032073,45,0.024408273138774,66,0.0244119267196325,45,0.017862120773798,66,0.0191519093113576,45,0.00733187982291937,66,0.00734245416600292,45,0.0219803736302363,66,0.0240964264462304,45,0.00957078030480885,66,0.0095100258380833,45,0.0477080191054272,66,0.0489124494047974,45,0.0369982674604258,66,0.0369847373629829
,44,0.305971564173396,67,0.317747600265364,44,0.335554277431438,67,0.343934497874843,44,0.264659956874952,67,0.276435450379457,44,0.295185600835652,67,0.308367363332304,44,0.265083919229621,67,0.274353394532118,44,0.293363635071388,67,0.307505753199858,44,0.303805276846465,67,0.312467022969821,44,0.329864919992973,67,0.346073933696112,44,0.0251499176530598,67,0.0247478158292048,44,0.0244255008878626,67,0.0243892425868852,44,0.0177196763240178,67,0.0180377684210599,44,0.00734225111477426,67,0.00734797703795977,44,0.0219287109079984,67,0.0241704628475221,44,0.0095763936586763,67,0.0094576523158318,44,0.0476389640452659,67,0.0491814642913517,44,0.0369890257412396,67,0.0369760919223271
,43,0.305434005142971,68,0.318468516438607,43,0.335236791962635,68,0.344190204025438,43,0.263853661807169,68,0.277540378584974,43,0.294658890679807,68,0.309147620307686,43,0.264484027951267,68,0.27507406551357,43,0.292740689219057,68,0.308667290567626,43,0.303175327795948,68,0.313072920246016,43,0.329186862936842,68,0.347168988258893,43,0.0251447312700612,68,0.0247526810795763,43,0.0244077072934556,68,0.0243931137114559,43,0.0176355732499253,68,0.0181629585679862,43,0.00735801323540508,68,0.00736540350952787,43,0.0218364686871968,68,0.0242961643214512,43,0.00959378643926783,68,0.00950834617480596,43,0.0475912520093197,68,0.0494304231734035,43,0.0370127721756665,68,0.0369729247512605
,42,0.304821849101959,69,0.319270455470489,42,0.334902200202855,69,0.34463410843416,42,0.26374996247637,69,0.279617491617592,42,0.293931622031179,69,0.309978480727631,42,0.263779222830249,69,0.275795227363301,42,0.292003351791049,69,0.309532766872862,42,0.302484779990624,69,0.313668824539236,42,0.328510974848159,69,0.348065532006444,42,0.025146812815326,69,0.0247370887365972,42,0.0244257361341333,69,0.0243942452485134,42,0.0177133596307793,69,0.0184608056259975,42,0.00735713756255591,69,0.00737160625209666,42,0.0217283325709448,69,0.0243592655616732,42,0.00958464964315226,69,0.0094783111965463,42,0.0475132005365198,69,0.0496732867988728,42,0.0370071564358918,69,0.0369544780720356
,41,0.30423982111081,70,0.32008163153211,41,0.334525941811423,70,0.345023900940905,41,0.263175647827278,70,0.277574014471288,41,0.293152304704397,70,0.310425911067033,41,0.2630812331963,70,0.27623903286002,41,0.291182931633102,70,0.310119182695161,41,0.301855688759339,70,0.314212692262081,41,0.327755759126658,70,0.349065131914814,41,0.0251682805812712,70,0.0246872005295463,41,0.0244174380942354,70,0.0244238551407758,41,0.0176261421920777,70,0.0177766951889292,41,0.00733890197994866,70,0.00735210752255692,41,0.021628994380539,70,0.02405697975323,41,0.00959780389483384,70,0.00948729315006959,41,0.0474378790092101,70,0.0496750889030973,41,0.0370293166892542,70,0.0369579626619156
,40,0.303683708859834,71,0.320938425334679,40,0.334220277842744,71,0.345385377938655,40,0.262355594724424,71,0.276937291446598,40,0.292511163543737,71,0.311191352488424,40,0.262462896631472,71,0.276703047777854,40,0.290558510814816,71,0.311212798615592,40,0.301182987946835,71,0.314879528529183,40,0.32702745467268,71,0.350530081117226,40,0.0251499177911522,71,0.0247028780233195,40,0.0244023445350974,71,0.0244235914686363,40,0.0175002279721083,71,0.0168582776519706,40,0.0073544071718737,71,0.00736403286817411,40,0.021541331498206,71,0.0237085562424325,40,0.00960010630155979,71,0.00951904209440603,40,0.0473465591956212,71,0.0496107540297831,40,0.0370337471324278,71,0.0369501801245663
