CSV Report,2023-08-18_RNA_melting_CaCl2_VS.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,500 mM CaCl2_260.00nm_90.0-21.0C,,500 mM CaCl2_260.00nm_21.0-90.0C,,500 mM CaCl2_260.00nm_90.0-21.0C_R1,,500 mM CaCl2_260.00nm_21.0-90.0C_R1,,100 mM CaCl2_260.00nm_90.0-21.0C,,100 mM CaCl2_260.00nm_21.0-90.0C,,100 mM CaCl2_260.00nm_90.0-21.0C_R1,,100 mM CaCl2_260.00nm_21.0-90.0C_R1,,50 mM CaCl2_260.00nm_90.0-21.0C,,50 mM CaCl2_260.00nm_21.0-90.0C,,50 mM CaCl2_260.00nm_90.0-21.0C_R1,,50 mM CaCl2_260.00nm_21.0-90.0C_R1,,0 mM CaCl2_260.00nm_90.0-21.0C,,0 mM CaCl2_260.00nm_21.0-90.0C,,0 mM CaCl2_260.00nm_90.0-21.0C_R1,,0 mM CaCl2_260.00nm_21.0-90.0C_R1,,500 mM CaCl2_400.00nm_90.0-21.0C,,500 mM CaCl2_400.00nm_21.0-90.0C,,500 mM CaCl2_400.00nm_90.0-21.0C_R1,,500 mM CaCl2_400.00nm_21.0-90.0C_R1,,100 mM CaCl2_400.00nm_90.0-21.0C,,100 mM CaCl2_400.00nm_21.0-90.0C,,100 mM CaCl2_400.00nm_90.0-21.0C_R1,,100 mM CaCl2_400.00nm_21.0-90.0C_R1,,50 mM CaCl2_400.00nm_90.0-21.0C,,50 mM CaCl2_400.00nm_21.0-90.0C,,50 mM CaCl2_400.00nm_90.0-21.0C_R1,,50 mM CaCl2_400.00nm_21.0-90.0C_R1,,0 mM CaCl2_400.00nm_90.0-21.0C,,0 mM CaCl2_400.00nm_21.0-90.0C,,0 mM CaCl2_400.00nm_90.0-21.0C_R1,,0 mM CaCl2_400.00nm_21.0-90.0C_R1,
,74,0.333006403874936,37,0.312478033350172,74,0.36317711957099,37,0.350652409214128,74,0.270295927195525,37,0.248710741778419,74,0.302722725815245,37,0.279457965406723,74,0.284087557442867,37,0.259182589729996,74,0.316079096779274,37,0.288949272569951,74,0.708929489084923,37,0.473606942548112,74,0.733551705231418,37,0.489203902736587,74,0.0239759645722908,37,0.0232566159082683,74,0.0224271737614993,37,0.0219512115674683,74,0.0211650195118516,37,0.0155311241567437,74,0.00578294558304996,37,0.0054030817470401,74,0.0285112855435959,37,0.0204465186583093,74,0.00901683745325773,37,0.00889171672385221,74,0.0355823219559059,37,0.035832387577573,74,0.0363149704716762,37,0.0357459850295703
,73,0.332804391200124,38,0.313138839911334,73,0.363079630331659,38,0.351257778611548,73,0.269976518288851,38,0.24971768853074,73,0.302375995356557,38,0.2803815542932,73,0.283805518112328,38,0.259783719766023,73,0.315596365191855,38,0.289936972514725,73,0.702046383946199,38,0.478215941883528,73,0.726226182705829,38,0.494081533310417,73,0.0238656672039699,38,0.0232467609858061,73,0.0224683937309022,38,0.0220494302510061,73,0.0208880182724389,38,0.0157003826689087,73,0.00579241731455239,38,0.00550917187542052,73,0.0283852991390065,38,0.0205496322628527,73,0.00903828428909565,38,0.00898907464483628,73,0.0355800074960137,38,0.0358483114596801,73,0.0363097829692271,38,0.0358523311435244
,72,0.332743297480302,39,0.313761784560528,72,0.362974819093629,39,0.351954015991078,72,0.269839086507836,39,0.250370234703901,72,0.301967260890841,39,0.28143151711559,72,0.283715636051469,39,0.260393254686841,72,0.315057881355909,39,0.291022009453475,72,0.694894096818945,39,0.482932846020959,72,0.719029876815363,39,0.499241382963512,72,0.0238691438736727,39,0.0232211232084042,72,0.0224582346326777,39,0.0222064458466941,72,0.0207750061929176,39,0.0157563364919684,72,0.00580097301737061,39,0.00564556198468383,72,0.0283586361820057,39,0.0206045170327153,72,0.00904537939340409,39,0.00912520776813928,72,0.0355949191676247,39,0.0358382824816224,72,0.0362723235078211,39,0.0360013976900247
,71,0.332552737468305,40,0.314432172959038,71,0.362816036816101,40,0.352362413486571,71,0.269828483713136,40,0.25094900298942,71,0.301594656979249,40,0.282116045722225,71,0.283670100256271,40,0.260823394626789,71,0.314512669379301,40,0.291789219563786,71,0.687979528611719,40,0.487760676001384,71,0.712480971364118,40,0.504259102676878,71,0.0237876099100913,40,0.0232527222599696,71,0.0224127069327775,40,0.0221900744305681,71,0.0207792928510677,40,0.0157937749280732,71,0.00579610680167875,40,0.0056503624681044,71,0.0282839474601506,40,0.0205882264349917,71,0.00902486782199539,40,0.00911158006696307,71,0.0356031500036191,40,0.0358536938964025,71,0.0362238085107857,40,0.0359953854010657
,70,0.33232902847194,41,0.315027193514897,70,0.362646448170944,41,0.352766704709595,70,0.269679206130626,41,0.251583431350355,70,0.301203067932438,41,0.282850692613388,70,0.283087648556169,41,0.261208606593779,70,0.313932857131636,41,0.29254128882689,70,0.681247518836668,41,0.492563404131559,70,0.705317117221571,41,0.509356869203775,70,0.0237504410322516,41,0.0232453276981264,70,0.0224012823232542,41,0.0221947411644467,70,0.0207016160532267,41,0.0158217616229511,70,0.00578570735600012,41,0.00564832569260099,70,0.0280557052346903,41,0.0205602452799143,70,0.00899530162598129,41,0.00909625390575424,70,0.0356045781519767,41,0.035859976178871,70,0.0361805580348605,41,0.0359895276257225
,69,0.332040564140442,42,0.315638378847711,69,0.362417736135071,42,0.353143095332721,69,0.269279407820081,42,0.252366288506764,69,0.300759876428033,42,0.283573820156066,69,0.282518330091182,42,0.261722572454308,69,0.313374062068045,42,0.293352525198028,69,0.674243826665338,42,0.497560818796396,69,0.698092034243081,42,0.514535417832253,69,0.0236679494630296,42,0.0232186717160935,69,0.0224113088406034,42,0.0221991853879339,69,0.020567973907666,42,0.0159353439893485,69,0.00576555332622659,42,0.00562819503434737,69,0.0278210127504052,42,0.0205895205415354,69,0.00898627045854272,42,0.00911888052073566,69,0.0356203861226398,42,0.0358691806099281,69,0.0361685698476725,42,0.0360058657476545
,68,0.331711366549925,43,0.316276071119788,68,0.362200982797577,43,0.353629359564066,68,0.269211518308332,43,0.252985890398036,68,0.300290890641801,43,0.284310488605856,68,0.281842915374149,43,0.262229131791026,68,0.312818905121086,43,0.294168012718334,68,0.66714838986168,43,0.502415632824569,68,0.690704625351953,43,0.519824828242942,68,0.0236552674652348,43,0.0232299320846202,68,0.0224293511976217,43,0.0222284177357028,68,0.0205864788790483,43,0.0160018259424385,68,0.0057649977739662,43,0.00566621328461945,68,0.0274822551102458,43,0.0206204505346315,68,0.0089975122266463,43,0.00914054074381061,68,0.0356123071167384,43,0.0358854515458782,68,0.0361687412729264,43,0.0360235238577895
,67,0.33144778660801,44,0.316934790321006,67,0.361980678731526,44,0.354095307540209,67,0.269120556034418,44,0.253389951960755,67,0.299796014811027,44,0.285113870223656,67,0.281254746194851,44,0.262708909810881,67,0.312255185642814,44,0.295047023684054,67,0.65993616484781,44,0.507734166701136,67,0.68314742204807,44,0.525137449600991,67,0.023579243241916,44,0.0232052541387303,67,0.0224106040020497,44,0.022267497579812,67,0.0205732202416734,44,0.015931448632331,67,0.0057578210788354,44,0.00572216167874724,67,0.0272288074853601,44,0.0205937705205067,67,0.00897664525911324,44,0.00919233550069041,67,0.035603475090353,44,0.0358583024676754,67,0.0361288634005035,44,0.036090902918718
,66,0.331222736723534,45,0.31755794863832,66,0.361719552101967,45,0.354474077566739,66,0.268671610373083,45,0.253960099680621,66,0.299292159631579,45,0.285771823997881,66,0.280611528906563,45,0.263070919734793,66,0.31159948762599,45,0.296509064193446,66,0.652888094572547,45,0.512858264627063,66,0.675493758079878,45,0.530526090591167,66,0.0236089169197769,45,0.0232137846828733,66,0.0223981897083915,45,0.0222585717974652,66,0.0204529466535307,45,0.015928353669963,66,0.00575859465950009,45,0.00571182339651726,66,0.026918492145262,45,0.0205600491946284,66,0.00898383661374787,45,0.00917004952639899,66,0.0356234865321345,45,0.0358640683639223,66,0.0361177009203885,45,0.0360874341498174
,65,0.330845675061568,46,0.318156317282461,65,0.361506172071574,46,0.354861018877409,65,0.268161084272311,46,0.2546625467887,65,0.298760743896382,46,0.286442899127007,65,0.279660975617926,46,0.263430295013734,65,0.310998829130701,46,0.297843197823123,65,0.646129240839315,46,0.518101808991024,65,0.668042641213408,46,0.536107199780697,65,0.02365927111453,46,0.023214952367723,65,0.0223998764272572,46,0.0222558799691998,65,0.0203245519532698,46,0.0160263001250216,65,0.00575267904037341,46,0.00569638118886145,65,0.0264056055065327,46,0.0205519532345884,65,0.00900156683405769,46,0.00916121320977113,65,0.0356241345146705,46,0.0358788838704749,65,0.0360998965318677,46,0.0360756438683234
,64,0.330327753674198,47,0.318675836916655,64,0.361313898462267,47,0.355284815038894,64,0.267443599431541,47,0.255067618846772,64,0.298251203367594,47,0.2872060761865,64,0.279021971945989,47,0.263885673178153,64,0.310461068803811,47,0.297383543027097,64,0.638980895881099,47,0.52331584354454,64,0.660680737829928,47,0.541473667088468,64,0.0236503457587857,47,0.0231932570953495,64,0.0224177931022494,47,0.0222617177553718,64,0.0200951060221541,47,0.0160543546617842,64,0.00577003341795688,47,0.00568327572357913,64,0.0259373813554871,47,0.0205419823869763,64,0.00901181153965319,47,0.00915712152703788,64,0.0356408010904422,47,0.0358667146318987,64,0.0361048847001202,47,0.0360884594881002
,63,0.329814255665504,48,0.319298325828994,63,0.361127514644565,48,0.355720023873147,63,0.266945145829896,48,0.255447656908417,63,0.297728312594938,48,0.287889399063196,63,0.278879647220361,48,0.2643953363476,63,0.309837272866205,48,0.298260875373451,63,0.632111111943508,48,0.528766318574823,63,0.653643961966528,48,0.546997802241042,63,0.0236178449723621,48,0.0231913486902559,63,0.0224073267991001,48,0.0222737738959758,63,0.0199183945177865,48,0.0160443416484987,63,0.00575759128444274,48,0.00569381286848312,63,0.0257048494799962,48,0.0205588144967388,63,0.00900249694579722,48,0.0091496846268988,63,0.0356719279571733,48,0.0358836120326019,63,0.0360802991393379,48,0.0361122302049882
,62,0.329507335996145,49,0.320062003877357,62,0.360842359736478,49,0.356175214262211,62,0.266483621119113,49,0.255879377825068,62,0.297231192635606,49,0.288654444133318,62,0.278434187503887,49,0.264857107447889,62,0.309177568404212,49,0.299069948173798,62,0.625369171179255,49,0.534303787959059,62,0.646090619601933,49,0.552862137150976,62,0.023630021716889,49,0.0231807373894851,62,0.0224085361905076,49,0.0223457471347424,62,0.0197109832037565,49,0.0160900595292991,62,0.0057611402912997,49,0.00574041824721775,62,0.0253596013449002,49,0.0205544092243848,62,0.00901716016222789,49,0.00922137343814785,62,0.0356401647862871,49,0.0358927311607744,62,0.0360586096976099,49,0.0361665155176484
,61,0.328978010182562,50,0.320728258906544,61,0.360574704473127,50,0.356541069951596,61,0.265912580495893,50,0.256222803791418,61,0.296709810821754,50,0.289273927943601,61,0.277627405458566,50,0.265238954327269,61,0.308564449810615,50,0.299777854393552,61,0.618418779198355,50,0.539621628414985,61,0.639132544238831,50,0.55824503468837,61,0.0236208797671989,50,0.0231770178898697,61,0.0223661474149952,50,0.0222850918716566,61,0.0194523635174377,50,0.0161030745200485,61,0.00575641228922171,50,0.00567226843018438,61,0.0248441138186341,50,0.0205353954715513,61,0.00899657639410054,50,0.00917533190950359,61,0.0355909812620852,50,0.0358783780697866,61,0.0360157043790688,50,0.0361131288755126
,60,0.328410426462012,51,0.32125009128241,60,0.36034480514793,51,0.356920051483632,60,0.265410534452033,51,0.25699967977463,60,0.296110305175207,51,0.289876445648235,60,0.277013550819486,51,0.265950522122373,60,0.307884951788825,51,0.300440558619729,60,0.611530400552474,51,0.545307288778711,60,0.63210637525859,51,0.564102407110069,60,0.0235749771017604,51,0.0231417102522177,60,0.0223386930113376,51,0.0222784638007177,60,0.0192069182711119,51,0.0162139404223862,60,0.00570549189587446,51,0.0056644758164862,60,0.0244760445268595,51,0.0206512674361783,60,0.00895329329525546,51,0.0091383812145114,60,0.0355652633621573,51,0.0358794027065381,60,0.0359624528940864,51,0.0361063108391258
,59,0.327968958986896,52,0.32177940574043,59,0.3599948128167,52,0.357285055806659,59,0.26478704485229,52,0.257564178678798,59,0.295480463574786,52,0.290518880528974,59,0.276325392486421,52,0.267335894879989,59,0.307266690737968,52,0.301171747650283,59,0.605006063610591,52,0.550692537440133,59,0.625102162790443,52,0.569831021497454,59,0.0236087062085711,52,0.0231179552857254,59,0.0223183240282817,52,0.0222473580201463,59,0.0189486867648282,52,0.0163081858044976,59,0.00563929263049988,52,0.00565007509242123,59,0.0241300990937319,52,0.0210211820512813,59,0.00895450848029478,52,0.00911510535123991,59,0.0355665510122648,52,0.0358911706872838,59,0.0358829248633583,52,0.0361050939069163
,58,0.327375443345058,53,0.322347683710038,58,0.359666167020685,53,0.357749587945578,58,0.264049645556296,53,0.257765846661816,58,0.294831164924793,53,0.291273574890489,58,0.275786239292193,53,0.268194313820989,58,0.306586987599011,53,0.30204005049214,58,0.598458915285409,53,0.556274406219962,58,0.618320138111112,53,0.57586878984864,58,0.0235608071285879,53,0.0231114887739838,58,0.0223088161969377,53,0.0222943898313543,58,0.0186082075098862,53,0.0162995876937823,58,0.00557937334747804,53,0.00570632305760119,58,0.0237995530786469,53,0.0212939498161912,58,0.00895145840798998,53,0.00916704658607455,58,0.0355723465611835,53,0.0359078753966237,58,0.0358558833216619,53,0.0361806771262068
,57,0.326735059388114,54,0.322999513059436,57,0.359348348855015,54,0.358302497027832,57,0.263342745596255,54,0.258129080473544,57,0.294228995972637,54,0.29204847160743,57,0.275221359156089,54,0.268292402256909,57,0.305883755133291,54,0.302818041972901,57,0.592232090110379,54,0.562277512544442,57,0.611710905335834,54,0.582192973645891,57,0.0234824618865742,54,0.0230820345694608,57,0.0222638791425623,54,0.022384450757482,57,0.0183247293479585,54,0.016306757749883,57,0.00552340909312109,54,0.00582639558213237,57,0.0235095859706269,54,0.0212855918794272,57,0.00891670778194243,54,0.00923244227793241,57,0.0355713190776951,54,0.0359230141444122,57,0.0358192638128813,54,0.0362569204303442
,56,0.3261333518017,55,0.323622462290352,56,0.358980687258646,55,0.358679285319734,56,0.262686651985628,55,0.258701408812301,56,0.293690922578066,55,0.292648369467793,56,0.274692491428443,55,0.268400435955387,56,0.305231385381118,55,0.303493262141829,56,0.586095438534217,55,0.568111307487607,56,0.605203800248275,55,0.588175817123314,56,0.0234928424763542,55,0.0230597155387355,56,0.0222335240376,55,0.0223303399528099,56,0.0181111068370161,55,0.0163823601318796,56,0.00550163010908218,55,0.00580041068153234,56,0.0232748895942464,55,0.021344973045392,56,0.00891578505025446,55,0.00918102990813072,56,0.0355921407960153,55,0.0359439541460735,56,0.0358112303802605,55,0.0362135928598399
,55,0.325623630184799,56,0.324220940408626,55,0.358624118942784,56,0.359278126497859,55,0.262117360019121,56,0.259257931972479,55,0.293100214429076,56,0.293353360405903,55,0.274204039755219,56,0.268613981008371,55,0.30455925288896,56,0.30430867696303,55,0.58005939313562,56,0.573914999057292,55,0.598974098737604,56,0.594600668015434,55,0.0234847811151022,56,0.0230425802916642,55,0.0222289680307161,56,0.0223639202876467,55,0.0178946293976265,56,0.016529826525905,55,0.00553220634038098,56,0.00582967965383449,55,0.0230414187898051,56,0.0214752179201782,55,0.00893447578955031,56,0.00922532965272705,55,0.0355756975333917,56,0.035951839280186,55,0.0358293014235285,56,0.0362491034724749
,54,0.324952349190166,57,0.324860453904006,54,0.35824908620893,57,0.360169092972481,54,0.26177822336332,57,0.259586528781929,54,0.292488079489073,57,0.294174805990666,54,0.273590390121134,57,0.268701101393031,54,0.303862819751459,57,0.305198084883585,54,0.574014248568734,57,0.580015513563773,54,0.592671938992958,57,0.600852670714565,54,0.0234440781453503,57,0.0230153549627409,54,0.0221909897944351,57,0.0224738816273361,54,0.0178001815112968,57,0.0165737706294154,54,0.00552157167815048,57,0.0059274480799382,54,0.0227860923564865,57,0.0215553809820427,54,0.00892486480770218,57,0.00935771115264974,54,0.0355438714281605,57,0.035948405348029,54,0.0357795884465516,57,0.0363576920640026
,53,0.324438705001584,58,0.325422085715034,53,0.357892821959001,58,0.360609607246162,53,0.261372395038112,58,0.260167331521842,53,0.291874468164665,58,0.295188766412006,53,0.272860152143433,58,0.268712765879557,53,0.303147847804167,58,0.30625719573985,53,0.568395435403319,58,0.58626563442226,53,0.586425464780886,58,0.607617104506982,53,0.0234135087613981,58,0.0230039054762191,53,0.0221585915545776,58,0.0226736330803765,53,0.0176952858296055,58,0.016667880879904,53,0.00549538152223447,58,0.0061687179407264,53,0.0225203901155509,58,0.0216476280558033,53,0.00888344914202853,58,0.00956255171240607,53,0.0355929578070806,58,0.035981788944532,53,0.0357382452878595,58,0.0365894249802494
,52,0.323963668860367,59,0.326038601612524,52,0.357576056830077,59,0.361160074657038,52,0.261032204636186,59,0.260680408411892,52,0.291322922488819,59,0.295845979941727,52,0.272141762484434,59,0.268894922538104,52,0.302506362897887,59,0.307012594589572,52,0.562546331079055,59,0.592760141350019,52,0.580553428149099,59,0.61440167171916,52,0.0234356571368533,59,0.0229658818267532,52,0.0221293520197837,59,0.0227121832614182,52,0.017559194418208,59,0.0167658675335155,52,0.00549071012858933,59,0.0061556699711645,52,0.0222888489902955,59,0.0217506191310382,52,0.00888688636862703,59,0.00956504387852552,52,0.0356081871397303,59,0.0359928359388906,52,0.0357169630671976,59,0.0366200937866138
,51,0.323337561798623,60,0.32674373498012,51,0.357195627626347,60,0.361830450024575,51,0.260422278266133,60,0.261497763765388,51,0.290724649603017,60,0.296817545765872,51,0.27146785400063,60,0.269187963289317,51,0.301798678020464,60,0.308184198806632,51,0.556829611856877,60,0.599194325699617,51,0.574713103604395,60,0.621339692651765,51,0.0234182505313083,60,0.0229436042166416,51,0.0221371244371306,60,0.0229758021663666,51,0.0173877443560776,60,0.0169552996691,51,0.00548605636801937,60,0.006432993906417,51,0.0221072411772529,60,0.0219000816763926,51,0.00892949332538295,60,0.00980094976636544,51,0.0355765770339211,60,0.0360351939232512,51,0.0357146090959952,60,0.0368968960552899
,50,0.322799358732907,61,0.327471779807459,50,0.356819061725754,61,0.36286957649034,50,0.259827597265419,61,0.261830577631328,50,0.290116145874387,61,0.298134812370999,50,0.27073079331875,61,0.26971265032371,50,0.301118335392844,61,0.309887015865997,50,0.551121181311386,61,0.605687480818097,50,0.56887333414165,61,0.628795533419544,50,0.0234517401383533,61,0.0229645653452764,50,0.0221427371222299,61,0.0234765565485887,50,0.0172705940139709,61,0.0170855822630825,50,0.005501707627728,61,0.00693289582331971,50,0.0219328356146751,61,0.0221824518663621,50,0.00895287142651642,61,0.0102855737449011,50,0.0355712516754903,61,0.0360642877522589,50,0.0356926001774034,61,0.0373761654238152
,49,0.322242233215911,62,0.328216509667311,49,0.356476814941041,62,0.363265245516073,49,0.259177038707179,62,0.262425949469155,49,0.289491456941764,62,0.298813024741562,49,0.269976956942252,62,0.270256082764639,49,0.300380176789063,62,0.310646950789801,49,0.545542863718083,62,0.612431394193801,49,0.563267834785075,62,0.635769461845319,49,0.0234702840343998,62,0.0229652101627899,49,0.022156055978094,62,0.0233839683041889,49,0.0171187543789749,62,0.0172397869040421,49,0.00547565512670118,62,0.00682963881643332,49,0.021745588326287,62,0.0225630923478329,49,0.00894166893188606,62,0.0101608176374094,49,0.0355747002377464,62,0.0360864190021059,49,0.0356746188060917,62,0.0372854273957316
,48,0.321616601465219,63,0.328914830432063,48,0.356114423031879,63,0.363541954363872,48,0.258689909395973,63,0.262971650751656,48,0.288841248137435,63,0.299326455109433,48,0.269385552013356,63,0.270640463653188,48,0.299640099420368,63,0.310982860798293,48,0.540225829040066,63,0.619410121553082,48,0.55748695871351,63,0.642820184499656,48,0.0234800149482799,63,0.0229679272950997,48,0.0221776238427903,63,0.0231471126937203,48,0.0170532212058807,63,0.0173503619267953,48,0.00548042435993189,63,0.00665686123410195,48,0.0216436681878615,63,0.022811979409154,48,0.00894213728034847,63,0.0099404258510147,48,0.0355883836690013,63,0.0361409006117766,48,0.0356563468627386,63,0.0371226551943
,47,0.321052964247788,64,0.329649470247101,47,0.355768941411301,64,0.364653138570612,47,0.258158740737078,64,0.263800426385492,47,0.288297885477365,64,0.300772081912556,47,0.268795317991198,64,0.271056074180437,47,0.298913851239674,64,0.312258534027937,47,0.534790761382805,64,0.62620439108746,47,0.551995581565407,64,0.651351492102464,47,0.0234371375010372,64,0.0229580723414615,47,0.0221408688373112,64,0.0236544161949698,47,0.0169780281367443,64,0.017529899792642,47,0.00547261810415499,64,0.0071923685932242,47,0.0215594664081097,64,0.0230073187993832,47,0.00892471622009334,64,0.0104127842816778,47,0.0356014991122755,64,0.0362282958921235,47,0.0356340598248398,64,0.0377044127936459
,46,0.32061538213822,65,0.330420100208463,46,0.355340756816863,65,0.366279846271322,46,0.257344239649212,65,0.26474649933607,46,0.287635241561255,65,0.302676179361982,46,0.268046025296632,65,0.271633047944404,46,0.298140797425553,65,0.313966486001434,46,0.529475302913448,65,0.633601983800237,46,0.546474422291046,65,0.660441961655668,46,0.023471796438335,65,0.0229187352938154,46,0.0220907151790779,65,0.0246081530365848,46,0.0168256316776273,65,0.0176142720428798,46,0.00548781603988849,65,0.00809251664774352,46,0.0214202512766418,65,0.0233371814506295,46,0.00890600700989043,65,0.0112960340147322,46,0.0355981922937079,65,0.0363253127277148,46,0.0355994829463235,65,0.0386131639148403
,45,0.320024212036861,66,0.331178900774344,45,0.355008496232805,66,0.366983840764889,45,0.256883800252737,66,0.265508134526645,45,0.28699157961146,66,0.303448966324872,45,0.267457684153522,66,0.272206012328458,45,0.297415580209551,66,0.31484856214383,45,0.524346372686244,66,0.640997513884367,45,0.540866460548962,66,0.668226200900277,45,0.0234857809091751,66,0.0229198970354297,45,0.0221032605913544,66,0.0247255176981972,45,0.0167746888366003,66,0.0175603587293456,45,0.00549258362757618,66,0.00821201604647743,45,0.0213572908220936,66,0.0236705558577733,45,0.00890769173754049,66,0.0114116391707007,45,0.0355866506165554,66,0.0363279463194393,45,0.035597270916241,66,0.0387622742557371
,44,0.319378440103585,67,0.331914363627368,44,0.354610866124241,67,0.368082131122088,44,0.256477515385494,67,0.266282996676762,44,0.286371423497543,67,0.304646169601447,44,0.266903057929202,67,0.272754001999764,44,0.296674246867227,67,0.31625398175424,44,0.520453432549811,67,0.649294095414672,44,0.53530183272186,67,0.676100576392963,44,0.0234899305430275,67,0.02287082581073,44,0.0220823680072553,67,0.0250962833603832,44,0.0167298003736371,67,0.017600292547037,44,0.00549573367630775,67,0.00864337836083039,44,0.0213042616526705,67,0.0238412970012357,44,0.00891362022140153,67,0.0118210856186127,44,0.0355794905257823,67,0.0363074745403952,44,0.0355880673634422,67,0.0391761300753085
,43,0.318761074440779,68,0.332614125700979,43,0.354196715166265,68,0.368971791997344,43,0.255864687771089,68,0.267523843422436,43,0.285663628632862,68,0.305904463150575,43,0.26614384353075,68,0.273436333036083,43,0.295881739528892,68,0.318867720494288,43,0.515332147090256,68,0.65802311025574,43,0.529880832066422,68,0.684148179760779,43,0.0234856903103207,68,0.0227944776475976,43,0.0221023047165768,68,0.025582851273117,43,0.0166703775511624,68,0.0176224689921102,43,0.00548420071034807,68,0.0091113220583532,43,0.0211485618296706,68,0.0240104846876716,43,0.00892280279018421,68,0.0122851624095507,43,0.0355521425120825,68,0.0362976670177723,43,0.0355967472663419,68,0.0396648322872551
,42,0.318143273048899,69,0.333627714592522,42,0.353876712071427,69,0.369817717029901,42,0.255092628793383,69,0.268951878208721,42,0.285043629368141,69,0.30707878407748,42,0.265489423389741,69,0.274277121064301,42,0.295092184364397,69,0.321967662704301,42,0.509103641390556,69,0.665342271791638,42,0.524488253694812,69,0.69214025443513,42,0.0234480282926787,69,0.0227585198171151,42,0.0221559387615989,69,0.0259708275239992,42,0.0165588102999423,69,0.0173977628441738,42,0.00549196954500252,69,0.00947522073416815,42,0.0210789927723701,69,0.0242272112600675,42,0.00893246033209387,69,0.0126745419853424,42,0.0355655196998786,69,0.0363450261079054,42,0.0355781250438698,69,0.0400563648022138
,41,0.31744896963845,70,0.334664138831667,41,0.353465291210067,70,0.371233285232632,41,0.254349745526419,70,0.269805412249759,41,0.284330428392804,70,0.308811596035494,41,0.264927253659577,70,0.275593513302995,41,0.294382520724387,70,0.322276980465742,41,0.503785387095358,70,0.672677979731262,41,0.51922493291053,70,0.701178805419545,41,0.0234499330402397,70,0.0227157096787264,41,0.0221161121431843,70,0.0267893182598979,41,0.0164655959480122,70,0.0170006967459931,41,0.00549569864908387,70,0.0103950613888461,41,0.0210688653410759,70,0.0244535519371955,41,0.00893598794657105,70,0.0135985222953469,41,0.0355929960975065,70,0.0363703359531823,41,0.0355344097606609,70,0.0410136445664329
,40,0.316790677652104,71,0.335538904793124,40,0.353060774984127,71,0.374047985435773,40,0.253806085010909,71,0.269542179412356,40,0.283642492048426,71,0.311572078079802,40,0.264291928142197,71,0.2770302513141,40,0.293649405851486,71,0.324727473614783,40,0.498699251592461,71,0.680103873559179,40,0.51407321942594,71,0.711540760383808,40,0.0234598434983843,71,0.0226903786456615,40,0.0220892463113657,71,0.0289331199328989,40,0.0164538847129858,71,0.0162677652601635,40,0.00551167507636262,71,0.012323915318936,40,0.020986522127139,71,0.0244846664321981,40,0.00894214246855906,71,0.0155397306685395,40,0.0356203659926123,71,0.0363905552796119,40,0.0355296814191558,71,0.04302363976445
,39,0.316167982724827,72,0.336633804122051,39,0.352686025879211,72,0.377038556527187,39,0.253149022839839,72,0.268812835466657,39,0.282908605638999,72,0.314886782710825,39,0.263667961783806,72,0.277576160603818,39,0.292845710307665,72,0.328074623615894,39,0.493721634347618,72,0.68732852108813,39,0.508831747005172,72,0.722399817622735,39,0.0234476155952856,72,0.0226356856852071,39,0.0221044945273653,72,0.0313335275036285,39,0.0163730579371925,72,0.0152858922024062,39,0.00551029258200006,72,0.0148041145924285,39,0.0209514004422847,72,0.0239523154859967,39,0.00893760824203704,72,0.0180364421953103,39,0.035643217909264,72,0.0364184782947745,39,0.0355032220133298,72,0.0456396421958408
,38,0.315468779717717,73,0.337746462161259,38,0.352257209286186,73,0.380152271244874,38,0.252377635521762,73,0.269007506637766,38,0.282205367531617,73,0.318298370262351,38,0.262924016088253,73,0.278638446646181,38,0.29202524062251,73,0.331662408795615,38,0.488762241547327,73,0.695001849700381,38,0.5037136435411,73,0.732501641462033,38,0.0234444536955327,73,0.0225749433855584,38,0.0220901356053937,73,0.0338667632440676,38,0.0162566637428699,73,0.0145084909494308,38,0.0055041270147667,73,0.0173316278208522,38,0.0208615000431178,73,0.0235395707121753,38,0.00895119462109862,73,0.0205249887293677,38,0.0356144821940533,73,0.0364354405000532,38,0.0355123156823276,73,0.0479314375234063
