CSV Report,2023-08-18_RNA_melting_CaCl2_VS.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,500 mM CaCl2_260.00nm_90.0-21.0C,,500 mM CaCl2_260.00nm_21.0-90.0C,,500 mM CaCl2_260.00nm_90.0-21.0C_R1,,500 mM CaCl2_260.00nm_21.0-90.0C_R1,,100 mM CaCl2_260.00nm_90.0-21.0C,,100 mM CaCl2_260.00nm_21.0-90.0C,,100 mM CaCl2_260.00nm_90.0-21.0C_R1,,100 mM CaCl2_260.00nm_21.0-90.0C_R1,,50 mM CaCl2_260.00nm_90.0-21.0C,,50 mM CaCl2_260.00nm_21.0-90.0C,,50 mM CaCl2_260.00nm_90.0-21.0C_R1,,50 mM CaCl2_260.00nm_21.0-90.0C_R1,,0 mM CaCl2_260.00nm_90.0-21.0C,,0 mM CaCl2_260.00nm_21.0-90.0C,,0 mM CaCl2_260.00nm_90.0-21.0C_R1,,0 mM CaCl2_260.00nm_21.0-90.0C_R1,,500 mM CaCl2_400.00nm_90.0-21.0C,,500 mM CaCl2_400.00nm_21.0-90.0C,,500 mM CaCl2_400.00nm_90.0-21.0C_R1,,500 mM CaCl2_400.00nm_21.0-90.0C_R1,,100 mM CaCl2_400.00nm_90.0-21.0C,,100 mM CaCl2_400.00nm_21.0-90.0C,,100 mM CaCl2_400.00nm_90.0-21.0C_R1,,100 mM CaCl2_400.00nm_21.0-90.0C_R1,,50 mM CaCl2_400.00nm_90.0-21.0C,,50 mM CaCl2_400.00nm_21.0-90.0C,,50 mM CaCl2_400.00nm_90.0-21.0C_R1,,50 mM CaCl2_400.00nm_21.0-90.0C_R1,,0 mM CaCl2_400.00nm_90.0-21.0C,,0 mM CaCl2_400.00nm_21.0-90.0C,,0 mM CaCl2_400.00nm_90.0-21.0C_R1,,0 mM CaCl2_400.00nm_21.0-90.0C_R1,
,86,0.319809376246398,25,0.304516297285917,86,0.362808168565957,25,0.345806114688497,86,0.262458440477716,25,0.242347077505592,86,0.30502949174694,25,0.270167642045157,86,0.2838872919265,25,0.253809960885851,86,0.318706748141077,25,0.279718172368896,86,0.790335022667013,25,0.426331916145889,86,0.820518781755574,25,0.4402938050715,86,0.0396242776928972,25,0.0233331622167104,86,0.0225288159236592,25,0.022044121674321,86,0.038303314274163,25,0.0154289895837005,86,0.00587949452307485,25,0.00538011085857949,86,0.0435551375367582,25,0.0201979938330784,86,0.00922945876863851,25,0.00898515250050473,86,0.0355592088251069,25,0.0359069167263301,86,0.0366494220910943,25,0.0357067042884632
,85,0.324259701532822,26,0.305118567564649,85,0.363003833366891,26,0.346189862109664,85,0.264158611914014,26,0.243296832343745,85,0.30501972092609,26,0.271042725380177,85,0.283452218002805,26,0.254534216385456,85,0.318632766804309,26,0.280453222170912,85,0.78409703407065,26,0.42966733616487,85,0.812855665348009,26,0.444356203801489,85,0.0350297222051979,26,0.0233263464435312,85,0.0225178627569875,26,0.0220294187540865,85,0.0344814519198689,26,0.0154853664714054,85,0.0058740217591002,26,0.00538903951668485,85,0.0401997703978415,26,0.0203001504048256,85,0.00917724117004903,26,0.00896700572314671,85,0.0355480973124711,26,0.0359030890957158,85,0.0366191979149162,26,0.0357111917080362
,84,0.326970827278619,27,0.305793830034271,84,0.363149209769293,27,0.346582038162859,84,0.265709526405536,27,0.243616322126943,84,0.304975084822236,27,0.271822149361527,84,0.283795665923228,27,0.254916211074821,84,0.318655749139668,27,0.281096815455925,84,0.777116518363627,27,0.433085085996257,84,0.80564457941148,27,0.447498717285254,84,0.031882592229806,27,0.02334288619875,84,0.0225254137780491,27,0.0220268495958568,84,0.0314449290392638,27,0.0153777282598947,84,0.00584654997832315,27,0.00536938970132881,84,0.0376562314551392,27,0.0202979431129581,84,0.00915562281844401,27,0.00895743997149522,84,0.0355694908645926,27,0.0358667188623964,84,0.036584838227231,27,0.0357108106926194
,83,0.329241705149632,28,0.306379528176232,83,0.363320618706542,28,0.346947629354906,83,0.267241377581475,28,0.243576624523204,83,0.304897015670649,28,0.272489941870988,83,0.284315135719247,28,0.25510021850183,83,0.318568114111536,28,0.281717509015633,83,0.769977464508005,28,0.436450000271796,83,0.798448035741174,28,0.450457845077229,83,0.0295970651713838,28,0.0233001516895858,83,0.0225379020613329,28,0.022003385636667,83,0.029283385996766,28,0.0153222861712879,83,0.00583610287919353,28,0.00536829652327037,83,0.0357679690011353,28,0.0202811707428996,83,0.00915334784007241,28,0.00893923028503209,83,0.0355783694065618,28,0.0358514478175355,83,0.0365620786612394,28,0.0357032047284747
,82,0.330982178934715,29,0.30724029772353,82,0.363458925570096,29,0.347301758016227,82,0.268632844781082,29,0.244194945596162,82,0.304798458712654,29,0.273076748065504,82,0.283932653472692,29,0.255422422602171,82,0.318410917954649,29,0.282456584853065,82,0.763133664202805,29,0.440028485122988,82,0.791262666223625,29,0.454241776097408,82,0.0280561640110912,29,0.0233415956548658,82,0.0225306229804007,29,0.0219869640892395,82,0.0274156517566157,29,0.0154518788886428,82,0.00583913656770082,29,0.00538510674427322,82,0.0339119237967021,29,0.0202785109956652,82,0.0091116189897767,29,0.00892935490046323,82,0.0355858306351539,29,0.0358355811852365,82,0.0365327173449135,29,0.0357147872842677
,81,0.332082988664878,30,0.308011338769369,81,0.363489002199014,30,0.347748215152965,81,0.269731736021705,30,0.245087828962372,81,0.304644047010693,30,0.273896152826431,81,0.284056020356387,30,0.256009878753073,81,0.318184839435407,30,0.283347717927705,81,0.756283403326985,30,0.443951462949553,81,0.784093862726115,30,0.459035289658309,81,0.026892073264792,30,0.0233732471577393,81,0.0225036972781618,30,0.0220416643622811,81,0.0260285741246525,30,0.0155124763062617,81,0.00584100673982042,30,0.00537249111459457,81,0.0326048243194491,30,0.0203075140640736,81,0.00908583886095888,30,0.00896931559247457,81,0.0356078790101629,30,0.0358319298712351,81,0.0364865727020501,30,0.0357337615756242
,80,0.3327098096518,31,0.308448258949335,80,0.363460981306254,31,0.3481688110347,80,0.27031603823299,31,0.245448912905254,80,0.30442353055709,31,0.274728083706358,80,0.284565467902277,31,0.256585391020967,80,0.317895205675466,31,0.284127293448791,80,0.749503448695226,31,0.447754424621168,80,0.776717773456793,31,0.463069668246044,80,0.0260276490750394,31,0.0232853327141133,80,0.0224706446519863,31,0.0220259042787333,80,0.0248969777577961,31,0.0154363283306783,80,0.00582256948791711,31,0.00537037324572664,80,0.031635675533266,31,0.0203777820470989,80,0.00907267378844604,31,0.00896981034544169,80,0.0356198381870277,31,0.0358515930732751,80,0.0364475983657824,31,0.0357420639171833
,79,0.332820490842133,32,0.309079040865155,79,0.363430057567216,32,0.348578970450624,79,0.270460966185617,32,0.245899466372984,79,0.304225365891694,32,0.275491892979581,79,0.284563229184136,32,0.256952230783506,79,0.317641859596635,32,0.28489983742755,79,0.742782937240479,32,0.451686043888313,79,0.769457315181071,32,0.466772158352393,79,0.0253955125012422,32,0.0232681408514337,79,0.0224719209064648,32,0.0219930688060751,79,0.0239278008840348,32,0.0154868563232386,79,0.0058016682170627,32,0.00539057241558259,79,0.0307252145425938,32,0.0204282045034784,79,0.00908717454130685,32,0.00893372442864582,79,0.035604190670156,32,0.0358486388615941,79,0.0364397607670453,32,0.0357179661814134
,78,0.332950333960095,33,0.309823578299613,78,0.36347165589623,33,0.348985394803392,78,0.270351010862841,33,0.246771957447182,78,0.304000249098175,33,0.276271726124602,78,0.284324811759854,33,0.257565537299193,78,0.31755962500466,33,0.285705957207415,78,0.735732486281499,33,0.455830958447397,78,0.762304653283139,33,0.47127248899262,78,0.0249616481155069,33,0.0232932106976232,78,0.0224857027708645,33,0.0219888263292072,78,0.0230362611123866,33,0.0156052809735207,78,0.00580882609166223,33,0.00537674230700034,78,0.0299755464375889,33,0.0205047934477275,78,0.00909102907682852,33,0.00890671621556682,78,0.0356240205740421,33,0.0358336259045313,78,0.0364479056152412,33,0.0356932716404348
,77,0.333076588250806,34,0.310480258594836,77,0.363482514163032,34,0.349367794255065,77,0.270485068053501,34,0.247411956376597,77,0.3036840151017,34,0.277139676634816,77,0.284889802127176,34,0.258068465417557,77,0.317351629306756,34,0.286524127264706,77,0.728863543271192,34,0.460174036419873,77,0.755194632066688,34,0.475450610029326,77,0.0246629437178977,34,0.0232812227227735,77,0.0224891498694262,34,0.0219643279194915,77,0.0223603164641309,34,0.0156216280754252,77,0.0058202472813868,34,0.00539771714399235,77,0.0296532856891341,34,0.0205151558663419,77,0.00906807564076942,34,0.00890900248502487,77,0.0356227015931745,34,0.0358284888526695,77,0.0364083384510281,34,0.0357203360769926
,76,0.332965589439615,35,0.311137686698195,76,0.363399401253283,35,0.349802972270982,76,0.270497640790385,35,0.2478260997933,76,0.303382355520924,35,0.277854674963344,76,0.285519107733727,35,0.258365786419205,76,0.316938518219207,35,0.287314995031333,76,0.722141513052559,35,0.464417440590214,76,0.748159694210464,35,0.479911907455725,76,0.0243448748304732,35,0.0232695010306781,76,0.0224858944493846,35,0.021966008418559,76,0.021833858100057,35,0.0156123749683323,76,0.0058236426155631,35,0.00541209813821941,76,0.0294515738575285,35,0.0205157031572286,76,0.00905378195276274,35,0.00892884587860644,76,0.0356214083377476,35,0.0358235621372997,76,0.0363828116866163,35,0.0357349635398708
,75,0.333041787014894,36,0.311823302203762,75,0.363289354934579,36,0.350211653195879,75,0.270330358394323,36,0.248224205507092,75,0.303047914688091,36,0.27866286037697,75,0.284654314509939,36,0.25880837271476,75,0.316544615280299,36,0.288169682351702,75,0.715681867854003,36,0.468891011697871,75,0.740927218978795,36,0.484619711814657,75,0.0241438138576747,36,0.0232619034653124,75,0.0224578841092491,36,0.0219318481017585,75,0.021426517439824,36,0.0155447149486738,75,0.00579719606257109,36,0.0053821384949842,75,0.0288719183579298,36,0.0204940172353896,75,0.00904845827475015,36,0.00889395753981516,75,0.0356102885379601,36,0.0358151036712426,75,0.0363596743756719,36,0.0357207885492215
