CSV Report,2023_08_03_DNA_MOPS_75_Na_salz.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),2
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),21.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,5
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,No,1.0,2.0,80.0,5.00
Stage 2,Yes,0.5,1.0,5.0,5.00
Stage 3,Yes,0.5,1.0,80.0,5.00
Stage 4,Yes,0.5,1.0,5.0,5.00
Stage 5,Yes,0.5,1.0,80.0,0.00

SAMPLES
Name,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_260.00nm_80.0-5.0C,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_260.00nm_5.0-80.0C,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_260.00nm_80.0-5.0C_R1,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_260.00nm_5.0-80.0C_R1,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_260.00nm_80.0-5.0C,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_260.00nm_5.0-80.0C,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_260.00nm_80.0-5.0C_R1,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_260.00nm_5.0-80.0C_R1,,0_mM_unentsalzen_260.00nm_80.0-5.0C,,0_mM_unentsalzen_260.00nm_5.0-80.0C,,0_mM_unentsalzen_260.00nm_80.0-5.0C_R1,,0_mM_unentsalzen_260.00nm_5.0-80.0C_R1,,0_mM_entsalzen_260.00nm_80.0-5.0C,,0_mM_entsalzen_260.00nm_5.0-80.0C,,0_mM_entsalzen_260.00nm_80.0-5.0C_R1,,0_mM_entsalzen_260.00nm_5.0-80.0C_R1,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_400.00nm_80.0-5.0C,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_400.00nm_5.0-80.0C,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_400.00nm_80.0-5.0C_R1,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_400.00nm_5.0-80.0C_R1,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_400.00nm_80.0-5.0C,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_400.00nm_5.0-80.0C,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_400.00nm_80.0-5.0C_R1,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_400.00nm_5.0-80.0C_R1,,0_mM_unentsalzen_400.00nm_80.0-5.0C,,0_mM_unentsalzen_400.00nm_5.0-80.0C,,0_mM_unentsalzen_400.00nm_80.0-5.0C_R1,,0_mM_unentsalzen_400.00nm_5.0-80.0C_R1,,0_mM_entsalzen_400.00nm_80.0-5.0C,,0_mM_entsalzen_400.00nm_5.0-80.0C,,0_mM_entsalzen_400.00nm_80.0-5.0C_R1,,0_mM_entsalzen_400.00nm_5.0-80.0C_R1,
,68,0.239387012701302,17,0.194287246038896,,,,,68,0.28739003018523,17,0.228855581487554,,,,,68,0.252478302034755,17,0.199936383417282,,,,,68,0.27292328546393,17,0.215308033965549,,,,,68,0.0186152070057346,17,0.0217642490074071,,,,,68,0.0331806263285296,17,0.0336914101221873,,,,,68,0.0129119895805432,17,0.0139984284900901,,,,,68,0.0157198140955121,17,0.0154226388391994,,,,
,67.5,0.239257314646029,17.5,0.193336239231086,,,,,67.5,0.287358233134044,17.5,0.228216246096985,,,,,67.5,0.252527038023668,17.5,0.19863142590752,,,,,67.5,0.272867885880331,17.5,0.214513124244488,,,,,67.5,0.018631705218469,17.5,0.0209442403782811,,,,,67.5,0.0331805222681089,17.5,0.0331333415524586,,,,,67.5,0.0129151687532854,17.5,0.0128110000812508,,,,,67.5,0.0157056027131018,17.5,0.0146472163231857,,,,
,67,0.23920301637134,18,0.19083880251992,,,,,67,0.287357934141726,18,0.226693822184674,,,,,67,0.252490235254619,18,0.196885946097781,,,,,67,0.272849319220286,18,0.21417324730358,,,,,67,0.0186326772626559,18,0.0190079887082423,,,,,67,0.0331893116657326,18,0.0319339910449265,,,,,67,0.0129261752025075,18,0.0113926496061234,,,,,67,0.015726565150823,18,0.01417933919919,,,,
,66.5,0.239177970957834,18.5,0.18821681525911,,,,,66.5,0.287440519674552,18.5,0.224807992850054,,,,,66.5,0.252502236425719,18.5,0.195873269731489,,,,,66.5,0.272852098973055,18.5,0.213981415895394,,,,,66.5,0.0186352516582518,18.5,0.0170704664319699,,,,,66.5,0.0331915063338805,18.5,0.0304785457423615,,,,,66.5,0.0129274783755173,18.5,0.0104965900320598,,,,,66.5,0.0157268831114785,18.5,0.0136596867147494,,,,
,66,0.239199152846717,19,0.187298461074664,,,,,66,0.287555097412405,19,0.223729021126753,,,,,66,0.252499373383218,19,0.195368703930229,,,,,66,0.272901567523886,19,0.213686197363484,,,,,66,0.0186327160562374,19,0.0162357226345525,,,,,66,0.0331891221322202,19,0.029545651201,,,,,66,0.0129365380032919,19,0.00978678276380924,,,,,66,0.0157409978797225,19,0.0129961935296156,,,,
,65.5,0.239148735953795,19.5,0.186671812947318,,,,,65.5,0.287463846118166,19.5,0.223025412293969,,,,,65.5,0.252472961649376,19.5,0.194929259708971,,,,,65.5,0.272933982114768,19.5,0.213339208772004,,,,,65.5,0.0186508279455228,19.5,0.0154813254385467,,,,,65.5,0.0331957902181366,19.5,0.0287902471748098,,,,,65.5,0.012934469275789,19.5,0.0091177635552661,,,,,65.5,0.0157492950795317,19.5,0.0123131403332225,,,,
,65,0.239120328845654,20,0.186540741947264,,,,,65,0.287331259727292,20,0.222743589143616,,,,,65,0.252499940487017,20,0.194954466822233,,,,,65,0.272869582768645,20,0.213413564241214,,,,,65,0.0186749610219734,20,0.0152475059326018,,,,,65,0.0331923031824169,20,0.0285041920022491,,,,,65,0.0129390261702862,20,0.00890126243808768,,,,,65,0.0157435669942434,20,0.0120733712602503,,,,
,64.5,0.239090008461043,20.5,0.186846001409068,,,,,64.5,0.287241600787519,20.5,0.222944480545626,,,,,64.5,0.252533065813616,20.5,0.195411406876282,,,,,64.5,0.27273657686491,20.5,0.213914710302877,,,,,64.5,0.0186918505505479,20.5,0.0153739950513295,,,,,64.5,0.033189987839975,20.5,0.0286050138505805,,,,,64.5,0.0129437614001531,20.5,0.00903515295532665,,,,,64.5,0.0157353835233138,20.5,0.0121721624943116,,,,
,64,0.239065807839254,21,0.187855819930776,,,,,64,0.287193813669262,21,0.223890323406038,,,,,64,0.252523890659818,21,0.196490572426357,,,,,64,0.272705320156744,21,0.215079293987486,,,,,64,0.0186615269342465,21,0.0161429829838302,,,,,64,0.0332056990030354,21,0.0293727696803331,,,,,64,0.0129430562994152,21,0.00973154024218304,,,,,64,0.0157349684400254,21,0.012850479591063,,,,
,63.5,0.239032890553633,21.5,0.189755392687795,,,,,63.5,0.287130830109351,21.5,0.225777099324191,,,,,63.5,0.252464203083473,21.5,0.198453887612079,,,,,63.5,0.272721269400008,21.5,0.217156113343052,,,,,63.5,0.0186629298467098,21.5,0.0177065934429341,,,,,63.5,0.0332142175453821,21.5,0.030966751955098,,,,,63.5,0.012946322183187,21.5,0.0112323039030491,,,,,63.5,0.0157432740333346,21.5,0.0143281946576715,,,,
,63,0.238977846169623,22,0.19190304652775,,,,,63,0.287126244576982,22,0.227988183864328,,,,,63,0.252363477262968,22,0.200940580646476,,,,,63,0.272677302168917,22,0.219781951661106,,,,,63,0.0186700210220675,22,0.0195324194122133,,,,,63,0.0332166222831412,22,0.0328644707701178,,,,,63,0.0129441769363793,22,0.0132350182134476,,,,,63,0.01574393813196,22,0.0162846985857459,,,,
,62.5,0.238946434629003,22.5,0.192922913286699,,,,,62.5,0.287077575269397,22.5,0.229033542360389,,,,,62.5,0.252271396481878,22.5,0.202115260055153,,,,,62.5,0.272671899627854,22.5,0.221148919028884,,,,,62.5,0.0186782622511701,22.5,0.0201864163954332,,,,,62.5,0.0332193856151496,22.5,0.0335759275600711,,,,,62.5,0.0129405254180038,22.5,0.0138852923339463,,,,,62.5,0.0157437841575278,22.5,0.0169219788745494,,,,
,62,0.238898595708288,23,0.193113201158571,,,,,62,0.286996872723418,23,0.229210090349842,,,,,62,0.252181747801538,23,0.202473418115596,,,,,62,0.272626859977806,23,0.22169941365502,,,,,62,0.0186748189907491,23,0.020132674683255,,,,,62,0.0332132126813681,23,0.0335795261650553,,,,,62,0.0129456130120316,23,0.0138383001127669,,,,,62,0.0157550162258379,23,0.0168732934113468,,,,
,61.5,0.238857518885339,23.5,0.193304131830665,,,,,61.5,0.286914497810163,23.5,0.229446748113819,,,,,61.5,0.252095218357515,23.5,0.202878481345468,,,,,61.5,0.272539451382423,23.5,0.222231213772039,,,,,61.5,0.0186960372441023,23.5,0.020079578543686,,,,,61.5,0.0332058521023691,23.5,0.0336258153794421,,,,,61.5,0.012941569324986,23.5,0.0138137936940517,,,,,61.5,0.0157461112175936,23.5,0.016817552757071,,,,
,61,0.238798067830603,24,0.193496848753417,,,,,61,0.286834754251979,24,0.229638182110814,,,,,61,0.251997378521762,24,0.203271095873835,,,,,61,0.27246604048453,24,0.222715701722446,,,,,61,0.0187356736686421,24,0.0200552633191219,,,,,61,0.0332157205004901,24,0.0336743949816745,,,,,61,0.0129461995245757,24,0.0138143119173412,,,,,61,0.0157547157232691,24,0.0167713235405555,,,,
,60.5,0.238760467041633,24.5,0.193732772093845,,,,,60.5,0.286763188752615,24.5,0.229779212583034,,,,,60.5,0.251917436373677,24.5,0.2037041173794,,,,,60.5,0.272397458763595,24.5,0.223280749589498,,,,,60.5,0.0186942643026527,24.5,0.0200372995366449,,,,,60.5,0.0332273070586698,24.5,0.0336854448589998,,,,,60.5,0.0129600072424526,24.5,0.0138077629626491,,,,,60.5,0.0157655489783429,24.5,0.0167491461088779,,,,
,60,0.23870876660619,25,0.194011577144744,,,,,60,0.286664659627977,25,0.229937065273798,,,,,60,0.251839195880596,25,0.204174806577473,,,,,60,0.272296765158842,25,0.223891293471106,,,,,60,0.0187015480407342,25,0.0200223612208966,,,,,60,0.0332204795167383,25,0.0336649877718359,,,,,60,0.0129529612364044,25,0.0137972813612338,,,,,60,0.015750733918401,25,0.0167309141666479,,,,
,59.5,0.238656640737472,25.5,0.194311503026913,,,,,59.5,0.286574728764155,25.5,0.230082804602099,,,,,59.5,0.251756218631398,25.5,0.20473724661309,,,,,59.5,0.272210691395825,25.5,0.224566233919862,,,,,59.5,0.0186994189024585,25.5,0.0200307728464937,,,,,59.5,0.0332146399681377,25.5,0.0336822782720087,,,,,59.5,0.012956134964665,25.5,0.0138191881004668,,,,,59.5,0.0157445515624956,25.5,0.0167595967927505,,,,
,59,0.238610444947038,26,0.194687175516534,,,,,59,0.286504347215523,26,0.23030555032625,,,,,59,0.251673267141486,26,0.205334925468977,,,,,59,0.272153280452652,26,0.225245055387509,,,,,59,0.0187053732834499,26,0.020042246461459,,,,,59,0.0332130454056284,26,0.0336909236256293,,,,,59,0.0129440094788652,26,0.0138431609680485,,,,,59,0.01574328440922,26,0.0167162613527698,,,,
,58.5,0.2385443135312,26.5,0.195004489743417,,,,,58.5,0.286417732555053,26.5,0.230513588693006,,,,,58.5,0.251615042448006,26.5,0.205923168853105,,,,,58.5,0.272066761142107,26.5,0.225968036148945,,,,,58.5,0.0187038345511805,26.5,0.0200321010880417,,,,,58.5,0.0332115768825553,26.5,0.0337597258222004,,,,,58.5,0.0129539679436969,26.5,0.0138564496720936,,,,,58.5,0.0157488003002311,26.5,0.0167207578324533,,,,
,58,0.238507678754238,27,0.195346373822048,,,,,58,0.286316940623212,27,0.230756042244328,,,,,58,0.251548334726641,27,0.20650392600849,,,,,58,0.271995914292901,27,0.226743806723713,,,,,58,0.01871780383223,27,0.0200296873162629,,,,,58,0.0332218465138867,27,0.0337028207159522,,,,,58,0.0129620497262199,27,0.0138482946676866,,,,,58,0.0157566460695217,27,0.0167233632250778,,,,
,57.5,0.238446210534189,27.5,0.195747338494764,,,,,57.5,0.286229624693504,27.5,0.231047120866074,,,,,57.5,0.251466328034507,27.5,0.207091761161324,,,,,57.5,0.271937152439008,27.5,0.227479705724002,,,,,57.5,0.0187216085413381,27.5,0.020043848112409,,,,,57.5,0.0332218675819517,27.5,0.0337116750294844,,,,,57.5,0.0129715398287726,27.5,0.0138555038166008,,,,,57.5,0.0157725369315049,27.5,0.0167335494946312,,,,
,57,0.238419296655211,28,0.196116983096521,,,,,57,0.286150461018583,28,0.231381635032351,,,,,57,0.251416056885914,28,0.207704185516317,,,,,57,0.271851211952617,28,0.228199148465676,,,,,57,0.018732481169989,28,0.0200332983701694,,,,,57,0.0332367164154331,28,0.0337718139987723,,,,,57,0.0129805106521379,28,0.0138622480047361,,,,,57,0.0157771744454838,28,0.0167237936281729,,,,
,56.5,0.238397878142552,28.5,0.196494114009939,,,,,56.5,0.28606398344649,28.5,0.231616949266032,,,,,56.5,0.251362303875312,28.5,0.20835856746879,,,,,56.5,0.271787945241393,28.5,0.228928359251116,,,,,56.5,0.0187578231056302,28.5,0.020008018960807,,,,,56.5,0.0332417021914415,28.5,0.0337187515352468,,,,,56.5,0.0129983672311761,28.5,0.013858961859831,,,,,56.5,0.0157906546747345,28.5,0.0167186651519308,,,,
,56,0.238428786352774,29,0.196978545979674,,,,,56,0.285979038002201,29,0.231912233025628,,,,,56,0.251302403997523,29,0.209021129175115,,,,,56,0.271728535176444,29,0.22961230140152,,,,,56,0.0187906989915702,29,0.0200246841590558,,,,,56,0.0332426930003556,29,0.0337235998723333,,,,,56,0.0130075711461206,29,0.0138597526765882,,,,,56,0.0157977416892303,29,0.0167192308752426,,,,
,55.5,0.238492916360662,29.5,0.197451657154454,,,,,55.5,0.285894096616891,29.5,0.232219305841783,,,,,55.5,0.251243355046296,29.5,0.2098055615894,,,,,55.5,0.271643251143127,29.5,0.230373924598507,,,,,55.5,0.018866237005545,29.5,0.0200410183637797,,,,,55.5,0.0332767394740994,29.5,0.033711504360448,,,,,55.5,0.0130335017507403,29.5,0.0138681647097709,,,,,55.5,0.015814579989567,29.5,0.0167166149961609,,,,
,55,0.238312573022591,30,0.197946737773313,,,,,55,0.285829749612093,30,0.232559288280437,,,,,55,0.251181806470728,30,0.210542177782867,,,,,55,0.271577153207115,30,0.231114133386715,,,,,55,0.0188237611267724,30,0.0200440329313411,,,,,55,0.0332878623572796,30,0.0337289239329403,,,,,55,0.0130435930567426,30,0.0138836621662988,,,,,55,0.0158355724755664,30,0.0167305130585253,,,,
,54.5,0.238295424137636,30.5,0.198413560310562,,,,,54.5,0.285730863193585,30.5,0.232937657959058,,,,,54.5,0.251120632982337,30.5,0.211326916793895,,,,,54.5,0.271507483995472,30.5,0.232007864561274,,,,,54.5,0.0188583070538892,30.5,0.0200451143676716,,,,,54.5,0.0332927598066713,30.5,0.0337161569055744,,,,,54.5,0.013051955343329,30.5,0.0138804435291413,,,,,54.5,0.0158373627638405,30.5,0.0167333516741821,,,,
,54,0.238257985117769,31,0.198891914859075,,,,,54,0.285655234811244,31,0.233350662289879,,,,,54,0.25105425119163,31,0.212019928787587,,,,,54,0.271442435963509,31,0.232854052087956,,,,,54,0.0188888029715797,31,0.0200373143352785,,,,,54,0.0333160487818552,31,0.0337426869412402,,,,,54,0.0130727121513096,31,0.0138695971900538,,,,,54,0.0158691952047657,31,0.0167284634306954,,,,
,53.5,0.238230541769223,31.5,0.199441761790957,,,,,53.5,0.285557131428102,31.5,0.233826098976307,,,,,53.5,0.250988958510845,31.5,0.212703702079589,,,,,53.5,0.271376992701098,31.5,0.233705866258623,,,,,53.5,0.0189106554328228,31.5,0.0200281614603057,,,,,53.5,0.0333237202865439,31.5,0.033742407207794,,,,,53.5,0.0130785342954229,31.5,0.0138652152239418,,,,,53.5,0.0158901451427223,31.5,0.0167096482011306,,,,
,53,0.238167577260577,32,0.200026734930546,,,,,53,0.285448170723121,32,0.23428728312033,,,,,53,0.250911828590579,32,0.213417596190936,,,,,53,0.271292373180939,32,0.234589733977745,,,,,53,0.0189302165997836,32,0.0200295839919195,,,,,53,0.0333413558756597,32,0.0337598219202392,,,,,53,0.0130830733371109,32,0.0138497514738865,,,,,53,0.0158994495354402,32,0.0167158275122795,,,,
,52.5,0.238121202678195,32.5,0.200681150006148,,,,,52.5,0.285355009363642,32.5,0.234728211997299,,,,,52.5,0.250848540920833,32.5,0.214257390119465,,,,,52.5,0.271194671173046,32.5,0.235534481069133,,,,,52.5,0.0189451819416749,32.5,0.0200176776794602,,,,,52.5,0.0333494815723649,32.5,0.0337559990561618,,,,,52.5,0.0130888169026602,32.5,0.0138396787352673,,,,,52.5,0.0158968152941986,32.5,0.0166893485122937,,,,
,52,0.238062110057849,33,0.201449595139051,,,,,52,0.285235770475188,33,0.235235583390422,,,,,52,0.250779780211543,33,0.215075778782986,,,,,52,0.271134917289526,33,0.236533974284606,,,,,52,0.0189701518218551,33,0.0200199240064145,,,,,52,0.033352210153913,33,0.0337700674950463,,,,,52,0.0131009703383492,33,0.0138371697580229,,,,,52,0.0159118662953476,33,0.0166854183639687,,,,
,51.5,0.238044730647926,33.5,0.202248067625706,,,,,51.5,0.285101588667154,33.5,0.235750894265965,,,,,51.5,0.250686329545621,33.5,0.215904561120839,,,,,51.5,0.271067000706396,33.5,0.237682394439648,,,,,51.5,0.0189863183833386,33.5,0.0200074310290363,,,,,51.5,0.0333485211759763,33.5,0.0337610801657501,,,,,51.5,0.0131035101713982,33.5,0.013827446120308,,,,,51.5,0.0159272168128176,33.5,0.0166659327816915,,,,
,51,0.238037350389903,34,0.203190312083332,,,,,51,0.28498473895348,34,0.236331322817146,,,,,51,0.250603363978904,34,0.216776915723969,,,,,51,0.270950715411159,34,0.238928359669492,,,,,51,0.0189894850396608,34,0.0200048936340466,,,,,51,0.0333463815017267,34,0.0337932333146805,,,,,51,0.0131085500403829,34,0.0138150913905706,,,,,51,0.0159185072667355,34,0.0166854794358171,,,,
,50.5,0.237875877985422,34.5,0.20429583840092,,,,,50.5,0.284844633839063,34.5,0.236865861393058,,,,,50.5,0.250518319144109,34.5,0.217734993716869,,,,,50.5,0.270848626516629,34.5,0.240230676565681,,,,,50.5,0.0189996388260724,34.5,0.0199901878004419,,,,,50.5,0.033374305351126,34.5,0.0337737302895187,,,,,50.5,0.0131164427542969,34.5,0.0138061337059688,,,,,50.5,0.0159385136023594,34.5,0.0166595990918283,,,,
,50,0.237836706570636,35,0.205660842879074,,,,,50,0.284694949428564,35,0.237463705502762,,,,,50,0.250441693148947,35,0.218858530454976,,,,,50,0.270777871957916,35,0.241773411734084,,,,,50,0.0190293289880605,35,0.0199826422583879,,,,,50,0.0333763943381885,35,0.0337662622625456,,,,,50,0.0131135049779782,35,0.0137887608200053,,,,,50,0.0159503710012598,35,0.0166471016173503,,,,
,49.5,0.237785096059816,35.5,0.207175148215783,,,,,49.5,0.28452233661582,35.5,0.238074647875574,,,,,49.5,0.250340246581671,35.5,0.220075083438514,,,,,49.5,0.270665076739967,35.5,0.243334559885559,,,,,49.5,0.0190247093665928,35.5,0.0199673382344782,,,,,49.5,0.0333514021343293,35.5,0.0337609896099575,,,,,49.5,0.013110713779525,35.5,0.0137830819392471,,,,,49.5,0.0159434242158095,35.5,0.0166224172370917,,,,
,49,0.237661655788475,36,0.208865576236435,,,,,49,0.284324173613104,36,0.23875741112405,,,,,49,0.250249645745881,36,0.221393254617105,,,,,49,0.270540679410939,36,0.245102399433493,,,,,49,0.0190268535048236,36,0.01997857299924,,,,,49,0.0333601049465176,36,0.0337626053796559,,,,,49,0.0131140605970855,36,0.0137790146774709,,,,,49,0.0159381579949085,36,0.0166134787806478,,,,
,48.5,0.237589374059832,36.5,0.21072413066638,,,,,48.5,0.284121569851043,36.5,0.239459478125509,,,,,48.5,0.250143300545085,36.5,0.222784197560001,,,,,48.5,0.270434619643345,36.5,0.246851267832842,,,,,48.5,0.0190574751548903,36.5,0.019967497937397,,,,,48.5,0.0333813360397621,36.5,0.0337649025538692,,,,,48.5,0.0131204795026545,36.5,0.0137690587568537,,,,,48.5,0.0159365980346818,36.5,0.0166040242539068,,,,
,48,0.237500881620733,37,0.212751089207096,,,,,48,0.283857454310319,37,0.240231137408598,,,,,48,0.250025877453531,37,0.224312475660498,,,,,48,0.270325897326186,37,0.248642751033524,,,,,48,0.0190547542727481,37,0.0199486500270995,,,,,48,0.0333767429638157,37,0.0337614165442089,,,,,48,0.013121081258391,37,0.0137576950488661,,,,,48,0.0159438450547219,37,0.0165814753125193,,,,
,47.5,0.237419189098007,37.5,0.215007247827774,,,,,47.5,0.283534312884046,37.5,0.241150717634589,,,,,47.5,0.249908332868203,37.5,0.225967793923299,,,,,47.5,0.270199413208642,37.5,0.250539351348403,,,,,47.5,0.0190498906927494,37.5,0.0199490719390705,,,,,47.5,0.0333650376417422,37.5,0.0337797621958931,,,,,47.5,0.0131292812110908,37.5,0.013767592489035,,,,,47.5,0.0159355060567837,37.5,0.0165937436433177,,,,
,47,0.237324336104469,38,0.217268957495795,,,,,47,0.283134673737237,38,0.242179013058794,,,,,47,0.249768301417763,38,0.227644598888917,,,,,47,0.270059410789167,38,0.252391804159576,,,,,47,0.0190623550025164,38,0.019941098949629,,,,,47,0.0333623439617589,38,0.0337698558144523,,,,,47,0.0131292919879038,38,0.0137581476359211,,,,,47,0.0159348150871456,38,0.0165658339354841,,,,
,46.5,0.237240393622806,38.5,0.219575867923968,,,,,46.5,0.282689884642694,38.5,0.243356957906962,,,,,46.5,0.249615570869783,38.5,0.229496205442843,,,,,46.5,0.26992818199501,38.5,0.2543317339353,,,,,46.5,0.0190667210489405,38.5,0.019931757055462,,,,,46.5,0.0333592357350939,38.5,0.0337750374844333,,,,,46.5,0.0131228924780485,38.5,0.013751943553861,,,,,46.5,0.0159358501238293,38.5,0.0165633789099724,,,,
,46,0.237204213217311,39,0.221940067514701,,,,,46,0.282094191546417,39,0.244741051779619,,,,,46,0.249448495579783,39,0.231158306455416,,,,,46,0.269801538815963,39,0.255993319361647,,,,,46,0.0190747732679858,39,0.0199287941516873,,,,,46,0.0333753434266899,39,0.0337747512655313,,,,,46,0.0131258466007939,39,0.0137469684721591,,,,,46,0.0159423462150837,39,0.0165531764420236,,,,
,45.5,0.237107630720532,39.5,0.224068981680832,,,,,45.5,0.281363755158916,39.5,0.246257226996245,,,,,45.5,0.249253125619355,39.5,0.233063713385749,,,,,45.5,0.269659960064721,39.5,0.257846953535395,,,,,45.5,0.0190823391451133,39.5,0.0199190021656309,,,,,45.5,0.0333812558650175,39.5,0.0337591085005722,,,,,45.5,0.0131340731381882,39.5,0.0137289928958168,,,,,45.5,0.0159575328380424,39.5,0.0165380608787894,,,,
,45,0.236890632910569,40,0.226190611615588,,,,,45,0.280478007897738,40,0.24806238038968,,,,,45,0.249015557622773,40,0.234911494661258,,,,,45,0.269484401686859,40,0.259569497397968,,,,,45,0.0190928251718354,40,0.0199123347496301,,,,,45,0.0333731414311283,40,0.0337700439120494,,,,,45,0.01313597141831,40,0.0137282830147465,,,,,45,0.0159753508377087,40,0.0165388853433402,,,,
,44.5,0.236753572034969,40.5,0.228211052378561,,,,,44.5,0.27937016795332,40.5,0.250180303469449,,,,,44.5,0.248720862445134,40.5,0.236741691838662,,,,,44.5,0.26927656059364,40.5,0.261174969116853,,,,,44.5,0.0191060750904683,40.5,0.019900318112743,,,,,44.5,0.0333789441991009,40.5,0.033759638955974,,,,,44.5,0.0131345646260359,40.5,0.0137182951376367,,,,,44.5,0.0159659626652943,40.5,0.0165116225997263,,,,
,44,0.236603178149618,41,0.229907585785499,,,,,44,0.278127476424275,41,0.252345113127388,,,,,44,0.248410470482089,41,0.238378724323714,,,,,44,0.26908117839812,41,0.262600442524587,,,,,44,0.0191154609500128,41,0.0199059982223617,,,,,44,0.0333834838109989,41,0.033764393753354,,,,,44,0.013139904816637,41,0.0137190244243636,,,,,44,0.0159625091938975,41,0.0165032288577262,,,,
,43.5,0.236409055044826,41.5,0.231561967813879,,,,,43.5,0.276577454366065,41.5,0.254926337801952,,,,,43.5,0.248020088511512,41.5,0.24023161851199,,,,,43.5,0.268857726194522,41.5,0.264087316135094,,,,,43.5,0.0191182607323995,41.5,0.0198932967331733,,,,,43.5,0.0333898188088787,41.5,0.0337898340454269,,,,,43.5,0.0131395458142046,41.5,0.013706277537481,,,,,43.5,0.0159698201544286,41.5,0.0164893434715376,,,,
,43,0.236165069697718,42,0.232792656839424,,,,,43,0.274672384310935,42,0.257386397175444,,,,,43,0.247509998353337,42,0.241786047982722,,,,,43,0.268563474268523,42,0.265272370064501,,,,,43,0.0191273668282365,42,0.0198809520600121,,,,,43,0.0333866071247882,42,0.0337595280314472,,,,,43,0.0131483430948607,42,0.0137052715908354,,,,,43,0.0159712375635467,42,0.0164928959074626,,,,
,42.5,0.235902177753949,42.5,0.233996815257785,,,,,42.5,0.272647264543748,42.5,0.260274196256659,,,,,42.5,0.24689471348244,42.5,0.243343551208856,,,,,42.5,0.268185974325965,42.5,0.26640043158911,,,,,42.5,0.0191403998623406,42.5,0.0198493046422321,,,,,42.5,0.0333934121820414,42.5,0.0337320645209893,,,,,42.5,0.0131518640120308,42.5,0.0136787538296019,,,,,42.5,0.0159664097208836,42.5,0.0164637765673049,,,,
,42,0.235562769837236,43,0.234904920531158,,,,,42,0.270233179570201,43,0.262972709700752,,,,,42,0.246177860965765,43,0.244704004494982,,,,,42,0.267762814129785,43,0.267288185466358,,,,,42,0.019154217366499,43,0.0198222948082772,,,,,42,0.0333883176491959,43,0.0337173877886941,,,,,42,0.0131423138162443,43,0.0136526130025423,,,,,42,0.0159781420437866,43,0.0164476653379603,,,,
,41.5,0.235114785329267,43.5,0.235652382177975,,,,,41.5,0.267707854803517,43.5,0.265731779767462,,,,,41.5,0.245320735488837,43.5,0.245953608924838,,,,,41.5,0.267252412294117,43.5,0.268070599151984,,,,,41.5,0.0191646301491219,43.5,0.019792720689216,,,,,41.5,0.0333860443619223,43.5,0.0336788432428291,,,,,41.5,0.013150263090281,43.5,0.0136297674614097,,,,,41.5,0.0159932575349455,43.5,0.0164015317110733,,,,
,41,0.234572181613415,44,0.236265134404081,,,,,41,0.2651185269107,44,0.268397305442254,,,,,41,0.244335908416804,44,0.247024159209178,,,,,41,0.266637071661882,44,0.268688922167037,,,,,41,0.0191603648187379,44,0.0197768125561496,,,,,41,0.0333797638387589,44,0.0336756972989928,,,,,41,0.0131506499974986,44,0.013600776563922,,,,,41,0.0159884056977361,44,0.0163862723206873,,,,
,40.5,0.233933218647126,44.5,0.236752484083481,,,,,40.5,0.262453068706235,44.5,0.271091588182026,,,,,40.5,0.243297692559299,44.5,0.248028978064676,,,,,40.5,0.265970557075144,44.5,0.269231299538434,,,,,40.5,0.0191704169095565,44.5,0.0197171593822382,,,,,40.5,0.0333833434291516,44.5,0.0336385185302613,,,,,40.5,0.0131476359303587,44.5,0.013552710003223,,,,,40.5,0.0159861994356276,44.5,0.0163368711570665,,,,
,40,0.233147699344109,45,0.237078915956335,,,,,40,0.259765828440393,45,0.273389497555672,,,,,40,0.242087487677697,45,0.248831402232463,,,,,40,0.265171697232007,45,0.269636728671183,,,,,40,0.0191883684674654,45,0.0196782454256807,,,,,40,0.0333967956543126,45,0.0335991979066755,,,,,40,0.0131537502989406,45,0.0135223594149242,,,,,40,0.0160243759555275,45,0.0162970411246753,,,,
