CSV Report,2023_08_03_DNA_MOPS_75_Na_salz.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),2
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),21.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,5
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,No,1.0,2.0,80.0,5.00
Stage 2,Yes,0.5,1.0,5.0,5.00
Stage 3,Yes,0.5,1.0,80.0,5.00
Stage 4,Yes,0.5,1.0,5.0,5.00
Stage 5,Yes,0.5,1.0,80.0,0.00

SAMPLES
Name,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_260.00nm_80.0-5.0C,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_260.00nm_5.0-80.0C,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_260.00nm_80.0-5.0C_R1,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_260.00nm_5.0-80.0C_R1,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_260.00nm_80.0-5.0C,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_260.00nm_5.0-80.0C,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_260.00nm_80.0-5.0C_R1,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_260.00nm_5.0-80.0C_R1,,0_mM_unentsalzen_260.00nm_80.0-5.0C,,0_mM_unentsalzen_260.00nm_5.0-80.0C,,0_mM_unentsalzen_260.00nm_80.0-5.0C_R1,,0_mM_unentsalzen_260.00nm_5.0-80.0C_R1,,0_mM_entsalzen_260.00nm_80.0-5.0C,,0_mM_entsalzen_260.00nm_5.0-80.0C,,0_mM_entsalzen_260.00nm_80.0-5.0C_R1,,0_mM_entsalzen_260.00nm_5.0-80.0C_R1,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_400.00nm_80.0-5.0C,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_400.00nm_5.0-80.0C,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_400.00nm_80.0-5.0C_R1,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_400.00nm_5.0-80.0C_R1,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_400.00nm_80.0-5.0C,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_400.00nm_5.0-80.0C,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_400.00nm_80.0-5.0C_R1,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_400.00nm_5.0-80.0C_R1,,0_mM_unentsalzen_400.00nm_80.0-5.0C,,0_mM_unentsalzen_400.00nm_5.0-80.0C,,0_mM_unentsalzen_400.00nm_80.0-5.0C_R1,,0_mM_unentsalzen_400.00nm_5.0-80.0C_R1,,0_mM_entsalzen_400.00nm_80.0-5.0C,,0_mM_entsalzen_400.00nm_5.0-80.0C,,0_mM_entsalzen_400.00nm_80.0-5.0C_R1,,0_mM_entsalzen_400.00nm_5.0-80.0C_R1,
,78,0.190920622360191,7,0.196013476417262,,,,,78,0.239614344740394,7,0.233349571770126,,,,,78,0.201615346714875,7,0.20456046524513,,,,,78,0.222978324556928,7,0.214068245031296,,,,,78,-0.0174710254592286,7,0.0246208192728571,,,,,78,-0.00283840374365786,7,0.0394685100755388,,,,,78,-0.0239472082762013,7,0.019957632775614,,,,,78,-0.021086951275942,7,0.0181454773604976,,,,
,77.5,0.216261376806253,7.5,0.198815236673091,,,,,77.5,0.264674882227808,7.5,0.235698879729218,,,,,77.5,0.227878649056065,7.5,0.20854568798272,,,,,77.5,0.249162097488753,7.5,0.214692333294429,,,,,77.5,0.00196113426267235,7.5,0.0269127736795354,,,,,77.5,0.0165835767596524,7.5,0.041353809058953,,,,,77.5,-0.00368291711014823,7.5,0.0226639337624068,,,,,77.5,-0.00082773674272766,7.5,0.0185399800855989,,,,
,77,0.231952485872629,8,0.201972340063329,,,,,77,0.280165229369678,8,0.238181400971425,,,,,77,0.243320228569342,8,0.212468011259883,,,,,77,0.264637660316714,8,0.215245284836151,,,,,77,0.0137987522040724,8,0.0296329741221179,,,,,77,0.0284203676930855,8,0.043173935092239,,,,,77,0.00806370289236398,8,0.0252491269260336,,,,,77,0.0109173978400812,8,0.0188151952643764,,,,
,76.5,0.238935025478688,8.5,0.205228672658241,,,,,76.5,0.287130905291525,8.5,0.240499300029761,,,,,76.5,0.250658600503584,8.5,0.216160561333734,,,,,76.5,0.272011872088502,8.5,0.215778884932156,,,,,76.5,0.0181183456249744,8.5,0.0325136545193343,,,,,76.5,0.0327324883643946,8.5,0.0447225499618806,,,,,76.5,0.0125210339836261,8.5,0.0276667385427744,,,,,76.5,0.0153698563802931,8.5,0.0190261530086157,,,,
,76,0.240137982250458,9,0.208603917251336,,,,,76,0.288358531495898,9,0.242735932486388,,,,,76,0.251865085645048,9,0.219970692924327,,,,,76,0.273241645496019,9,0.216299251340688,,,,,76,0.0187498938373057,9,0.0354822575494832,,,,,76,0.0333468242079471,9,0.0461435470041604,,,,,76,0.0130775659680061,9,0.0301856016294726,,,,,76,0.0159301605923542,9,0.0191843204613414,,,,
,75.5,0.240224226811502,9.5,0.211804982466021,,,,,75.5,0.288383067974854,9.5,0.244658682513528,,,,,75.5,0.251941782988556,9.5,0.223221897288069,,,,,75.5,0.273304552611956,9.5,0.216680528444619,,,,,75.5,0.0187661849698939,9.5,0.0382512286993783,,,,,75.5,0.03338216815401,9.5,0.0473470335096294,,,,,75.5,0.0131153764515031,9.5,0.0323167768962303,,,,,75.5,0.0159590198138,9.5,0.0192327285189767,,,,
,75,0.240204641116521,10,0.2149442308246,,,,,75,0.288351234826098,10,0.246044500150281,,,,,75,0.251915510632802,10,0.226517147454017,,,,,75,0.273268836996388,10,0.217097459314518,,,,,75,0.0187456258995131,10,0.0409588869824112,,,,,75,0.0333557165136262,10,0.0481979127625536,,,,,75,0.0130831686216821,10,0.0343760439311873,,,,,75,0.0159415058046107,10,0.0192551888295112,,,,
,74.5,0.240101883886605,10.5,0.217347472874798,,,,,74.5,0.288554483523516,10.5,0.246532312072127,,,,,74.5,0.251855231587346,10.5,0.228982231250435,,,,,74.5,0.273312330512387,10.5,0.217458418962616,,,,,74.5,0.0186975107305978,10.5,0.0429515940932958,,,,,74.5,0.0333083154344293,10.5,0.0483991237622218,,,,,74.5,0.0130372652268609,10.5,0.0358872700826996,,,,,74.5,0.0159098475850757,10.5,0.0192327486574126,,,,
,74,0.239991701511143,11,0.218680742150298,,,,,74,0.28820057584174,11,0.246610403138747,,,,,74,0.251828333975179,11,0.230599198949163,,,,,74,0.273313044788597,11,0.217611538871478,,,,,74,0.018654473263229,11,0.0438630667401672,,,,,74,0.0332542371964103,11,0.0482596111225757,,,,,74,0.0129932982343235,11,0.0368684422511493,,,,,74,0.015822959426438,11,0.0190898003742314,,,,
,73.5,0.239860092176202,11.5,0.219046547600705,,,,,73.5,0.287978059232916,11.5,0.246692795731836,,,,,73.5,0.251783579297075,11.5,0.231919397190504,,,,,73.5,0.272794215287058,11.5,0.217595733519444,,,,,73.5,0.0186027147188749,11.5,0.0439137946453503,,,,,73.5,0.0332020412295921,11.5,0.0481509161629755,,,,,73.5,0.0129314324858829,11.5,0.0375901385860801,,,,,73.5,0.015769004802061,11.5,0.0188537963456293,,,,
