CSV Report,2023_08_30_DNA_TRIS-HCl_85_Na.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),2
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),21.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,7
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,No,1.0,2.0,80.0,5.00
Stage 2,Yes,0.5,1.0,20.0,5.00
Stage 3,Yes,0.5,1.0,80.0,5.00
Stage 4,Yes,0.5,1.0,20.0,5.00
Stage 5,Yes,0.5,1.0,80.0,5.00
Stage 6,Yes,0.5,1.0,20.0,5.00
Stage 7,Yes,0.5,1.0,80.0,0.00

SAMPLES
Name,0_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C,,0_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C,,0_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R1,,0_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R1,,0_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R2,,0_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R2,,10_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C,,10_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C,,10_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R1,,10_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R1,,10_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R2,,10_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R2,,30_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C,,30_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C,,30_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R1,,30_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R1,,30_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R2,,30_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R2,,100_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C,,100_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C,,100_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R1,,100_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R1,,100_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R2,,100_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R2,,0_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C,,0_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C,,0_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R1,,0_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R1,,0_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R2,,0_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R2,,10_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C,,10_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C,,10_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R1,,10_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R1,,10_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R2,,10_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R2,,30_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C,,30_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C,,30_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R1,,30_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R1,,30_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R2,,30_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R2,,100_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C,,100_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C,,100_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R1,,100_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R1,,100_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R2,,100_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R2,
Collection Time,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),,2023-08-30 09:50:52 (+02:00),
Cell Number,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 7,
Module Serial Number,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,
Instrument Serial Number,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
Instrument Name,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs
,80,0.246525785882703,20,0.197102453882995,80,0.255372384794191,20,0.20220922420422,80,0.2536556788428,20,0.200072414174914,80,0.227826934256572,20,0.177647491893733,80,0.23457777669023,20,0.182040372424215,80,0.23923310557812,20,0.186241916306788,80,0.239636278618696,20,0.190848509740082,80,0.246594965190991,20,0.195591131134253,80,0.253146388918762,20,0.200614093361389,80,0.260519062858218,20,0.210553071813473,80,0.267270846335913,20,0.215121016772659,80,0.273180726398145,20,0.219758013892704,80,0.0237416678427804,20,0.0236130056163516,80,0.0235709063090145,20,0.023462609704496,80,0.0234616628261674,20,0.023383633661341,80,0.00367471634086732,20,0.00343340330459455,80,0.00366293952995712,20,0.00343897026628881,80,0.0036114362234837,20,0.00356698910752164,80,0.00469514310322651,20,0.00495060466382332,80,0.0046258331820244,20,0.00487799661411655,80,0.00453637017769845,20,0.00475669415769665,80,0.0242190383824771,20,0.0241960896951912,80,0.024087509708828,20,0.0240856785966364,80,0.0240281444381386,20,0.0239938682206702
,79.5,0.247472092634324,20.5,0.197123364281764,79.5,0.255492405121736,20.5,0.202267359388572,79.5,0.253717428130027,20.5,0.20011200912629,79.5,0.227985508588143,20.5,0.177689970756333,79.5,0.234711186907839,20.5,0.182097573307479,79.5,0.239804890638159,20.5,0.18637692705031,79.5,0.240005899321276,20.5,0.190871009762458,79.5,0.246649598557395,20.5,0.195623841003363,79.5,0.253172269187828,20.5,0.200626760516327,79.5,0.260692316528422,20.5,0.210540231845191,79.5,0.267518813622783,20.5,0.215152142095377,79.5,0.273312211952933,20.5,0.219792364108981,79.5,0.023722326087682,20.5,0.0235906759584892,79.5,0.0235600663065609,20.5,0.0234519211386993,79.5,0.0234579840847411,20.5,0.023389367959691,79.5,0.0036809628380818,20.5,0.00344311281064412,79.5,0.0036620525889105,20.5,0.00345029538838769,79.5,0.00361154522388254,20.5,0.00361053507762203,79.5,0.0047001386166767,20.5,0.00494418081569168,79.5,0.00461154429293689,20.5,0.00486055437042794,79.5,0.00452215243678868,20.5,0.00474232332312757,79.5,0.0241860954423703,20.5,0.0241941609704996,79.5,0.0240897902347634,20.5,0.0240824177079374,79.5,0.0240329300512449,20.5,0.0239934486403376
,79,0.247619457692575,21,0.197218057016699,79,0.255833877745133,21,0.202328265590751,79,0.253744720666869,21,0.200172167047143,79,0.227980489367414,21,0.177754362967544,79,0.234751552175726,21,0.182170042284422,79,0.239690353547078,21,0.186476767189813,79,0.239827496463181,21,0.190930334743336,79,0.246647182645797,21,0.195678995315858,79,0.25319278962879,21,0.200705282901555,79,0.260749573023347,21,0.21057206522861,79,0.267574398479034,21,0.215206034143175,79,0.273359100740404,21,0.21984484029524,79,0.0237247289252763,21,0.023589769294236,79,0.0235617828542279,21,0.0234463855803137,79,0.0234509474767482,21,0.0233920108675497,79,0.0036764007817539,21,0.00345402182404957,79,0.00365763483012485,21,0.0034545581608871,79,0.00362398625385556,21,0.00363019767043111,79,0.00467355630823986,21,0.00494272522730847,79,0.00460960265557187,21,0.00485475657640174,79,0.00452818749367757,21,0.00474725788046613,79,0.0241935260844301,21,0.0241954583525469,79,0.0240917937258042,21,0.0240792549736916,79,0.024029134369268,21,0.0240018597998572
,78.5,0.247077093721584,21.5,0.197336496263521,78.5,0.25585700934306,21.5,0.202372996065596,78.5,0.253576500622237,21.5,0.200256788822028,78.5,0.227784615081229,21.5,0.177856323198522,78.5,0.234684610728314,21.5,0.182252417223703,78.5,0.239673972476852,21.5,0.186583054234048,78.5,0.239527409792585,21.5,0.191004598595584,78.5,0.246456660983493,21.5,0.19574303635521,78.5,0.253106627679922,21.5,0.200773335171465,78.5,0.260656177273274,21.5,0.210597096550542,78.5,0.2683693642605,21.5,0.215261508589217,78.5,0.273248466155334,21.5,0.219881806440629,78.5,0.0237175676728513,21.5,0.0235931734202659,78.5,0.023565501188644,21.5,0.0234318719262903,78.5,0.0234457785694954,21.5,0.0234035144560683,78.5,0.00367057795024462,21.5,0.00345708333713627,78.5,0.00365635664892036,21.5,0.00346481226959782,78.5,0.00363245929623009,21.5,0.00364750667422444,78.5,0.00468266800408792,21.5,0.00494634718569695,78.5,0.00461505986217461,21.5,0.00484964932306695,78.5,0.00452606914888033,21.5,0.00473474179177359,78.5,0.0241964286911921,21.5,0.0241894290905512,78.5,0.0240896190755659,21.5,0.0240785445350573,78.5,0.0240290981761984,21.5,0.0239929888613429
