CSV Report,2023_08_03_DNA_MOPS_75_Na_salz_2.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),2
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),21.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,5
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,No,1.0,2.0,60.0,5.00
Stage 2,Yes,0.5,1.0,20.0,5.00
Stage 3,Yes,0.5,1.0,60.0,5.00
Stage 4,Yes,0.5,1.0,20.0,5.00
Stage 5,Yes,0.5,1.0,60.0,5.00

SAMPLES
Name,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_260.00nm_60.0-20.0C,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_260.00nm_20.0-60.0C,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_260.00nm_60.0-20.0C_R1,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_260.00nm_20.0-60.0C_R1,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_260.00nm_60.0-20.0C,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_260.00nm_20.0-60.0C,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_260.00nm_60.0-20.0C_R1,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_260.00nm_20.0-60.0C_R1,,0_mM_unentsalzen_260.00nm_60.0-20.0C,,0_mM_unentsalzen_260.00nm_20.0-60.0C,,0_mM_unentsalzen_260.00nm_60.0-20.0C_R1,,0_mM_unentsalzen_260.00nm_20.0-60.0C_R1,,0_mM_entsalzen_260.00nm_60.0-20.0C,,0_mM_entsalzen_260.00nm_20.0-60.0C,,0_mM_entsalzen_260.00nm_60.0-20.0C_R1,,0_mM_entsalzen_260.00nm_20.0-60.0C_R1,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_400.00nm_60.0-20.0C,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_400.00nm_20.0-60.0C,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_400.00nm_60.0-20.0C_R1,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_400.00nm_20.0-60.0C_R1,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_400.00nm_60.0-20.0C,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_400.00nm_20.0-60.0C,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_400.00nm_60.0-20.0C_R1,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_400.00nm_20.0-60.0C_R1,,0_mM_unentsalzen_400.00nm_60.0-20.0C,,0_mM_unentsalzen_400.00nm_20.0-60.0C,,0_mM_unentsalzen_400.00nm_60.0-20.0C_R1,,0_mM_unentsalzen_400.00nm_20.0-60.0C_R1,,0_mM_entsalzen_400.00nm_60.0-20.0C,,0_mM_entsalzen_400.00nm_20.0-60.0C,,0_mM_entsalzen_400.00nm_60.0-20.0C_R1,,0_mM_entsalzen_400.00nm_20.0-60.0C_R1,
,58,0.0905075051659407,22,0.154916987866988,58,0.242493264004899,22,0.19386769526854,58,0.138085442782162,22,0.192501166873883,58,0.291488973115697,22,0.232230826179841,58,0.103425780988465,22,0.164351610859463,58,0.255482194067558,22,0.204480878344552,58,0.123345758900823,22,0.183326893628041,58,0.275778322157758,22,0.223614579597392,58,-0.116431060903758,22,-0.0138518989550282,58,0.0195731097753651,22,0.0196030104148798,58,-0.102231051286174,22,-2.47849278522259E-05,58,0.0337780236922842,22,0.0334877144709886,58,-0.122450717383706,22,-0.0206711386915648,58,0.0136153969315034,22,0.0134010011173109,58,-0.11990748792532,22,-0.0178220126880626,58,0.0162139305121914,22,0.0162454983200322
,57.5,0.095216300619958,22.5,0.14357677021807,57.5,0.242488444237706,22.5,0.194055331775717,57.5,0.142801623799756,22.5,0.181126721784598,57.5,0.291581338201223,22.5,0.232378982142276,57.5,0.108007841619335,22.5,0.153448923778231,57.5,0.255441240616216,22.5,0.204683709721761,57.5,0.127960665945318,22.5,0.172582962947582,57.5,0.275882660730012,22.5,0.224066897261524,57.5,-0.117777292542369,22.5,-0.0244221174323063,57.5,0.0195782652790755,22.5,0.0196247353214702,57.5,-0.103566536656428,22.5,-0.0105841787329013,57.5,0.0337889903397837,22.5,0.0334988044700146,57.5,-0.124012784556962,22.5,-0.0308781900505328,57.5,0.0136298011256253,22.5,0.0134208571842936,57.5,-0.12146852378241,22.5,-0.0280494939796324,57.5,0.0162091215114685,22.5,0.0162539284536216
,57,0.0943364906538489,23,0.132173748870179,57,0.242502460427542,23,0.19425606896463,57,0.142482898173357,23,0.169681998931232,57,0.291726212383373,23,0.232512468275135,57,0.107086250613511,23,0.142847513423058,57,0.255362741771784,23,0.20483316312597,57,0.126990523072425,23,0.162244897444629,57,0.275682189783933,23,0.224487289951868,57,-0.122637704550906,23,-0.0347392778353224,57,0.0195922740843071,23,0.0196210838959745,57,-0.108426963247329,23,-0.0208827913339379,57,0.0338002836467613,23,0.0334966443536266,57,-0.12898735126243,23,-0.0404841640438994,57,0.0136440580742529,23,0.0134084158823658,57,-0.126447491359054,23,-0.0376679424707585,57,0.01621961640053,23,0.0162205693283668
,56.5,0.0929692578850903,23.5,0.120500321265677,56.5,0.242396024827448,23.5,0.194525615514143,56.5,0.142439050659584,23.5,0.157890411787955,56.5,0.291550709148013,23.5,0.232704727102317,56.5,0.105764489266386,23.5,0.130480321231176,56.5,0.255348293555138,23.5,0.205136552284941,56.5,0.125635935913662,23.5,0.150156193544804,56.5,0.275657146790377,23.5,0.225010320689022,56.5,-0.126796327666302,23.5,-0.0453891194208129,56.5,0.0195931739203661,23.5,0.0196512616252228,56.5,-0.112592613645253,23.5,-0.0315138096548087,56.5,0.0338104714953629,23.5,0.0335481731787294,56.5,-0.133166700537,23.5,-0.0517618923220132,56.5,0.0136491143224344,23.5,0.0134361885609869,56.5,-0.13062505032885,23.5,-0.0489546293683537,56.5,0.0162340783236846,23.5,0.0162345220770317
,56,0.0907548873158475,24,0.114499327153248,56,0.242355649370109,24,0.194848808732091,56,0.13907620946895,24,0.151808316892218,56,0.291472400390519,24,0.232913711242426,56,0.103342024582773,24,0.12494857603774,56,0.2552986457232,24,0.205638108946324,56,0.12318118732502,24,0.144677190502798,56,0.275659691507989,24,0.225557768037758,56,-0.130937743702723,24,-0.0510903911762129,56,0.0196157669698446,24,0.0196756369115596,56,-0.116746174254612,24,-0.0372000114853596,56,0.0338177860907738,24,0.0335777599785103,56,-0.137297873931668,24,-0.057224709708224,56,0.0136523935365271,24,0.0134609629324081,56,-0.134757644195997,24,-0.0544455042254002,56,0.016252594168248,24,0.0162342314799008
,55.5,0.0881831813499489,24.5,0.109318739846717,55.5,0.242339733978301,24.5,0.19517674461226,55.5,0.136306823148874,24.5,0.146564903604059,55.5,0.291507286302506,24.5,0.233100460029937,55.5,0.101317352402541,24.5,0.11962829037365,55.5,0.255243199957653,24.5,0.206171305952468,55.5,0.121104335905029,24.5,0.139423007145268,55.5,0.275593279603801,24.5,0.226176724104841,55.5,-0.133644362843085,24.5,-0.0558813573710166,55.5,0.0196201540163296,24.5,0.0197124446746232,55.5,-0.119453391627341,24.5,-0.0419750059570329,55.5,0.033810402313805,24.5,0.0336045633629321,55.5,-0.139575489755884,24.5,-0.062389158925742,55.5,0.0136532187371161,24.5,0.0134814574898361,55.5,-0.137042864499666,24.5,-0.0596146467435035,55.5,0.016240009786915,24.5,0.0162378273900677
,55,0.0904331976284459,25,0.105011291889767,55,0.242241478435595,25,0.195467765450381,55,0.138341839248589,25,0.14209477517482,55,0.291421147551131,25,0.233259804558471,55,0.103781079713839,25,0.115830412328114,55,0.2551660213707,25,0.206659024002024,55,0.123603575471213,25,0.135650384288444,55,0.275501139424764,25,0.226820282172891,55,-0.131700478295671,25,-0.059530249452459,55,0.0196310092141629,25,0.0197242844520149,55,-0.117520635328713,25,-0.0456109862733645,55,0.0338240809570684,25,0.0336216712461732,55,-0.137324752060263,25,-0.0657196170362166,55,0.013663392551305,25,0.0134763620914029,55,-0.134774946827338,25,-0.0629820195816423,55,0.0162425715042255,25,0.016253163498228
,54.5,0.0945918442083761,25.5,0.105558034127949,54.5,0.242153587031374,25.5,0.195749376592653,54.5,0.142434961430926,25.5,0.142500206208776,54.5,0.291291848625526,25.5,0.233444091763202,54.5,0.108403771664803,25.5,0.116172266127311,54.5,0.255095607542543,25.5,0.207217339871179,54.5,0.128209109585593,25.5,0.13607962727989,54.5,0.275413680197697,25.5,0.227449090901358,54.5,-0.127472868645078,25.5,-0.0588890984424737,54.5,0.019630764616265,25.5,0.0197215397770768,54.5,-0.113298447118581,25.5,-0.0449719533391393,54.5,0.0338302165799414,25.5,0.0336228520534601,54.5,-0.132620237190169,25.5,-0.0652715134892706,54.5,0.0136702687622979,25.5,0.0134836445976226,54.5,-0.130072119589845,25.5,-0.062525972114852,54.5,0.0162535003876312,25.5,0.0162445594184813
,54,0.102568629202698,26,0.101126910950474,54,0.242118370109705,26,0.196118266304102,54,0.150468822595646,26,0.137960219101758,54,0.291232185435505,26,0.233637893662559,54,0.115989056152004,26,0.112194696012506,54,0.255010894351297,26,0.207786146146695,54,0.135771036853791,26,0.132145320068582,54,0.275368727657294,26,0.228088855094112,54,-0.119270287191618,26,-0.0629279882676499,54,0.0196197065380067,26,0.0197701258545833,54,-0.10509467983077,26,-0.0489952176704804,54,0.0338145981085368,26,0.0336373619102128,54,-0.124881938955838,26,-0.069344545217933,54,0.0136492728890051,26,0.0134992292542248,54,-0.122349055495245,26,-0.0666120748187112,54,0.0162374320311449,26,0.016241991363347
,53.5,0.112415378342379,26.5,0.0981784198361362,53.5,0.242069163713097,26.5,0.196502492314177,53.5,0.160307896430137,26.5,0.134897038830536,53.5,0.291164843991528,26.5,0.233845598558165,53.5,0.126764277564829,26.5,0.10951814979408,53.5,0.25496770054643,26.5,0.208327089333699,53.5,0.146539777724546,26.5,0.129543123468521,53.5,0.275296370451534,26.5,0.228738872531028,53.5,-0.109076221571301,26.5,-0.0656946716814953,53.5,0.019642081878703,26.5,0.0197904723250686,53.5,-0.0949124389007132,26.5,-0.0517547804580767,53.5,0.0338291134308229,26.5,0.0336289380626612,53.5,-0.113702333735206,26.5,-0.0720131115410607,53.5,0.0136697941737382,26.5,0.0135073470658242,53.5,-0.111167082129984,26.5,-0.0692812800593463,53.5,0.0162517478241157,26.5,0.0162458411841558
